#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
25500at50557_13686_0:0020f5|STRG.12295.1:163-1968|+    -            602 25500at50557         -            513  1.6e-291  966.3   7.4   1   1    2e-290  8.5e-289  957.4   7.4     1   513     6   599     6   599 0.91 -
40115at50557_7213_0:0002de|STRG.12299.1:403-1941|+     -            513 25500at50557         -            513   1.3e-19   69.2   3.4   3   7   1.6e-06   6.6e-05   20.7   0.0    55   112   105   161    95   256 0.88 -
40115at50557_7213_0:0002de|STRG.12299.1:403-1941|+     -            513 25500at50557         -            513   1.3e-19   69.2   3.4   4   7     0.044       1.8    6.1   0.0    45    80   257   293   251   296 0.81 -
40115at50557_7213_0:0002de|STRG.12299.1:403-1941|+     -            513 25500at50557         -            513   1.3e-19   69.2   3.4   5   7   0.00069     0.029   12.0   0.0   294   338   297   340   293   349 0.87 -
40115at50557_7213_0:0002de|STRG.12299.1:403-1941|+     -            513 25500at50557         -            513   1.3e-19   69.2   3.4   6   7      0.13       5.3    4.5   0.0   222   262   388   428   374   437 0.78 -
40115at50557_7213_0:0002de|STRG.12299.1:403-1941|+     -            513 25500at50557         -            513   1.3e-19   69.2   3.4   7   7     0.001     0.043   11.4   0.0    51   116   441   506   431   511 0.88 -
40115at50557_103372_0:0021d6|STRG.8786.11:187-1702|+   -            481 25500at50557         -            513   1.5e-19   69.0   7.1   1   4   2.4e-05     0.001   16.8   0.0   438   479   117   158    90   163 0.88 -
40115at50557_103372_0:0021d6|STRG.8786.11:187-1702|+   -            481 25500at50557         -            513   1.5e-19   69.0   7.1   2   4   2.8e-07   1.2e-05   23.2   1.6   223   354   161   301   158   310 0.79 -
40115at50557_103372_0:0021d6|STRG.8786.11:187-1702|+   -            481 25500at50557         -            513   1.5e-19   69.0   7.1   3   4   4.8e-08     2e-06   25.7   0.0   155   255   339   442   331   448 0.82 -
40115at50557_103372_0:0021d6|STRG.8786.11:187-1702|+   -            481 25500at50557         -            513   1.5e-19   69.0   7.1   4   4      0.22       9.2    3.8   0.0   222   247   450   475   442   481 0.52 -
40115at50557_103372_0:0021d6|STRG.8786.10:187-1692|+   -            463 25500at50557         -            513   1.7e-18   65.5   3.4   1   4   7.9e-06   0.00033   18.4   0.0   438   501   117   178    85   191 0.79 -
40115at50557_103372_0:0021d6|STRG.8786.10:187-1692|+   -            463 25500at50557         -            513   1.7e-18   65.5   3.4   2   4   0.00013    0.0056   14.4   0.1   280   354   211   283   203   292 0.81 -
40115at50557_103372_0:0021d6|STRG.8786.10:187-1692|+   -            463 25500at50557         -            513   1.7e-18   65.5   3.4   3   4   4.5e-08   1.9e-06   25.8   0.0   155   255   321   424   313   430 0.82 -
40115at50557_103372_0:0021d6|STRG.8786.10:187-1692|+   -            463 25500at50557         -            513   1.7e-18   65.5   3.4   4   4      0.21       8.8    3.8   0.0   222   247   432   457   424   463 0.52 -
40115at50557_103372_0:0021d6|STRG.8786.4:187-1578|+    -            464 25500at50557         -            513   5.5e-18   63.9   4.1   1   4   2.5e-05     0.001   16.8   0.0   439   479   118   158    91   163 0.88 -
40115at50557_103372_0:0021d6|STRG.8786.4:187-1578|+    -            464 25500at50557         -            513   5.5e-18   63.9   4.1   2   4   1.9e-07   7.7e-06   23.8   1.1   223   354   161   301   158   310 0.79 -
40115at50557_103372_0:0021d6|STRG.8786.4:187-1578|+    -            464 25500at50557         -            513   5.5e-18   63.9   4.1   3   4     2e-06   8.5e-05   20.4   0.0   155   247   339   433   331   439 0.80 -
40115at50557_103372_0:0021d6|STRG.8786.4:187-1578|+    -            464 25500at50557         -            513   5.5e-18   63.9   4.1   4   4      0.48        20    2.6   0.0   220   246   432   458   425   463 0.57 -
49370at50557_2015173_0:001990|STRG.7563.1:60-1046|+    -            329 25500at50557         -            513     9e-18   63.2   1.3   1   3   5.1e-06   0.00021   19.0   0.0   293   338    30    75     7    80 0.82 -
49370at50557_2015173_0:001990|STRG.7563.1:60-1046|+    -            329 25500at50557         -            513     9e-18   63.2   1.3   2   3   5.4e-06   0.00022   19.0   0.1   183   256    83   162    76   171 0.81 -
49370at50557_2015173_0:001990|STRG.7563.1:60-1046|+    -            329 25500at50557         -            513     9e-18   63.2   1.3   3   3     3e-07   1.2e-05   23.1   0.0   192   331   185   328   167   329 0.80 -
40115at50557_597456_0:00265e|STRG.8786.8:187-1611|+    -            450 25500at50557         -            513   8.5e-16   56.7   1.8   1   3     0.042       1.8    6.1   0.0   450   498   120   166   107   182 0.74 -
40115at50557_597456_0:00265e|STRG.8786.8:187-1611|+    -            450 25500at50557         -            513   8.5e-16   56.7   1.8   2   3   4.4e-12   1.8e-10   39.0   0.3   279   471   201   409   193   410 0.74 -
40115at50557_597456_0:00265e|STRG.8786.8:187-1611|+    -            450 25500at50557         -            513   8.5e-16   56.7   1.8   3   3      0.13       5.3    4.5   0.0    51    79   419   448   404   450 0.48 -
33043at50557_7038_0:0032a9|STRG.16108.1:78-1970|+      -            631 25500at50557         -            513   1.9e-15   55.5  11.8   1   4   4.9e-05    0.0021   15.8   0.1    25   115     3    96     1   100 0.82 -
33043at50557_7038_0:0032a9|STRG.16108.1:78-1970|+      -            631 25500at50557         -            513   1.9e-15   55.5  11.8   2   4       1.6        69    0.9   0.0   201   257   100   158    92   195 0.76 -
33043at50557_7038_0:0032a9|STRG.16108.1:78-1970|+      -            631 25500at50557         -            513   1.9e-15   55.5  11.8   3   4   8.2e-07   3.4e-05   21.7   0.2   222   339   339   461   322   464 0.86 -
33043at50557_7038_0:0032a9|STRG.16108.1:78-1970|+      -            631 25500at50557         -            513   1.9e-15   55.5  11.8   4   4   1.3e-05   0.00053   17.7   1.7   295   434   461   625   459   629 0.62 -
40115at50557_103372_0:0021d6|STRG.8786.7:187-1583|+    -            458 25500at50557         -            513     2e-15   55.4   4.7   1   4      0.19       7.7    4.0   0.0   450   478   120   148   116   151 0.85 -
40115at50557_103372_0:0021d6|STRG.8786.7:187-1583|+    -            458 25500at50557         -            513     2e-15   55.4   4.7   2   4   1.6e-07   6.8e-06   24.0   1.9   222   354   151   292   125   301 0.77 -
40115at50557_103372_0:0021d6|STRG.8786.7:187-1583|+    -            458 25500at50557         -            513     2e-15   55.4   4.7   3   4   4.7e-08     2e-06   25.8   0.0   155   255   330   433   322   438 0.82 -
40115at50557_103372_0:0021d6|STRG.8786.7:187-1583|+    -            458 25500at50557         -            513     2e-15   55.4   4.7   4   4         9   3.7e+02   -1.6   0.0   221   238   440   457   433   458 0.87 -
40115at50557_156304_0:001c45|STRG.9047.1:153-1079|+    -            309 25500at50557         -            513   2.8e-15   55.0   1.2   1   2     1e-07   4.4e-06   24.6   0.1   403   511    18   131    11   132 0.78 -
40115at50557_156304_0:001c45|STRG.9047.1:153-1079|+    -            309 25500at50557         -            513   2.8e-15   55.0   1.2   2   2   1.9e-10   8.1e-09   33.6   0.4   138   334   102   302    93   307 0.84 -
40115at50557_156304_0:001c45|STRG.9047.3:195-1121|+    -            309 25500at50557         -            513   2.8e-15   55.0   1.2   1   2     1e-07   4.4e-06   24.6   0.1   403   511    18   131    11   132 0.78 -
40115at50557_156304_0:001c45|STRG.9047.3:195-1121|+    -            309 25500at50557         -            513   2.8e-15   55.0   1.2   2   2   1.9e-10   8.1e-09   33.6   0.4   138   334   102   302    93   307 0.84 -
40115at50557_156304_0:001c45|STRG.9047.2:292-1242|+    -            317 25500at50557         -            513     3e-15   54.9   1.2   1   2   1.1e-07   4.6e-06   24.5   0.1   403   511    26   139    19   140 0.78 -
40115at50557_156304_0:001c45|STRG.9047.2:292-1242|+    -            317 25500at50557         -            513     3e-15   54.9   1.2   2   2   2.3e-10   9.6e-09   33.4   0.3   139   334   111   310   106   315 0.84 -
78072at50557_34720_0:000cf9|STRG.6360.3:144-1058|+     -            305 25500at50557         -            513   3.4e-15   54.7   0.6   1   2   2.2e-10   9.3e-09   33.4   0.0   158   255    35   139    14   149 0.85 -
78072at50557_34720_0:000cf9|STRG.6360.3:144-1058|+     -            305 25500at50557         -            513   3.4e-15   54.7   0.6   2   2   9.5e-06    0.0004   18.1   0.1   181   250   149   224   140   258 0.80 -
78072at50557_286306_0:00290a|STRG.6360.1:136-1603|+    -            463 25500at50557         -            513   2.3e-14   51.9   1.7   1   2   5.1e-10   2.1e-08   32.3   0.0   158   255    36   140    15   150 0.85 -
78072at50557_286306_0:00290a|STRG.6360.1:136-1603|+    -            463 25500at50557         -            513   2.3e-14   51.9   1.7   2   2   2.3e-05   0.00094   16.9   0.1   181   250   150   225   141   246 0.80 -
80377at50557_121845_0:0030d4|STRG.6089.1:117-983|+     -            289 25500at50557         -            513   6.8e-14   50.4   3.8   1   2   0.00033     0.014   13.0   0.4    51   112     3    63     1    65 0.79 -
80377at50557_121845_0:0030d4|STRG.6089.1:117-983|+     -            289 25500at50557         -            513   6.8e-14   50.4   3.8   2   2   2.4e-12     1e-10   39.9   0.2   156   349    62   264    60   280 0.84 -
57752at50557_103372_0:000c5a|STRG.11653.2:0-1298|+     -            433 25500at50557         -            513   9.9e-14   49.8   0.0   1   2   9.3e-05    0.0039   14.9   0.0   293   355   112   174   108   204 0.89 -
57752at50557_103372_0:000c5a|STRG.11653.2:0-1298|+     -            433 25500at50557         -            513   9.9e-14   49.8   0.0   2   2   4.4e-10   1.8e-08   32.4   0.0   112   261   221   369   177   418 0.82 -
57752at50557_103372_0:000c5a|STRG.11653.1:397-1758|+   -            454 25500at50557         -            513   1.2e-13   49.6   0.0   1   2     9e-05    0.0038   14.9   0.0   293   355   133   195   128   231 0.88 -
57752at50557_103372_0:000c5a|STRG.11653.1:397-1758|+   -            454 25500at50557         -            513   1.2e-13   49.6   0.0   2   2   4.8e-10     2e-08   32.3   0.0   112   261   242   390   198   440 0.82 -
49370at50557_456900_0:00265d|STRG.19222.2:0-1568|+     -            523 25500at50557         -            513   3.2e-13   48.2   0.0   1   3       0.1       4.3    4.8   0.0   302   354   222   274   210   284 0.86 -
49370at50557_456900_0:00265d|STRG.19222.2:0-1568|+     -            523 25500at50557         -            513   3.2e-13   48.2   0.0   2   3      0.17       7.1    4.1   0.0   193   261   293   362   268   377 0.69 -
49370at50557_456900_0:00265d|STRG.19222.2:0-1568|+     -            523 25500at50557         -            513   3.2e-13   48.2   0.0   3   3   1.7e-12     7e-11   40.4   0.0    58   248   329   517   313   523 0.86 -
49370at50557_456900_0:00265d|STRG.19222.1:235-1800|+   -            522 25500at50557         -            513   3.6e-13   48.0   0.0   1   3      0.12         5    4.6   0.0   302   354   222   274   217   285 0.89 -
49370at50557_456900_0:00265d|STRG.19222.1:235-1800|+   -            522 25500at50557         -            513   3.6e-13   48.0   0.0   2   3       0.2       8.2    3.9   0.0   193   261   293   362   273   376 0.70 -
49370at50557_456900_0:00265d|STRG.19222.1:235-1800|+   -            522 25500at50557         -            513   3.6e-13   48.0   0.0   3   3   2.1e-12   8.6e-11   40.1   0.0    59   247   330   516   314   521 0.87 -
80377at50557_456900_0:000374|STRG.1267.1:0-1046|+      -            349 25500at50557         -            513   5.5e-13   47.4   0.6   1   3   1.6e-05   0.00067   17.4   0.0   192   254    69   131    56   138 0.82 -
80377at50557_456900_0:000374|STRG.1267.1:0-1046|+      -            349 25500at50557         -            513   5.5e-13   47.4   0.6   2   3   2.1e-05   0.00086   17.0   0.0   129   253   131   256   129   265 0.83 -
80377at50557_456900_0:000374|STRG.1267.1:0-1046|+      -            349 25500at50557         -            513   5.5e-13   47.4   0.6   3   3   0.00018    0.0076   13.9   0.0    60   165   233   342   223   347 0.77 -
80377at50557_38123_0:002ff9|STRG.2736.1:333-1874|+     -            514 25500at50557         -            513   6.5e-13   47.1   1.8   1   4   0.00015    0.0063   14.2   0.0   296   355    23    82    11    85 0.93 -
80377at50557_38123_0:002ff9|STRG.2736.1:333-1874|+     -            514 25500at50557         -            513   6.5e-13   47.1   1.8   2   4     9e-05    0.0038   14.9   0.2   454   512    86   143    79   144 0.81 -
80377at50557_38123_0:002ff9|STRG.2736.1:333-1874|+     -            514 25500at50557         -            513   6.5e-13   47.1   1.8   3   4   0.00017    0.0069   14.1   0.0   217   334   360   478   340   482 0.83 -
80377at50557_38123_0:002ff9|STRG.2736.1:333-1874|+     -            514 25500at50557         -            513   6.5e-13   47.1   1.8   4   4     0.032       1.3    6.5   0.0   200   271   426   496   412   508 0.85 -
80377at50557_38123_0:002ff9|STRG.2736.2:325-1866|+     -            514 25500at50557         -            513   6.5e-13   47.1   1.8   1   4   0.00015    0.0063   14.2   0.0   296   355    23    82    11    85 0.93 -
80377at50557_38123_0:002ff9|STRG.2736.2:325-1866|+     -            514 25500at50557         -            513   6.5e-13   47.1   1.8   2   4     9e-05    0.0038   14.9   0.2   454   512    86   143    79   144 0.81 -
80377at50557_38123_0:002ff9|STRG.2736.2:325-1866|+     -            514 25500at50557         -            513   6.5e-13   47.1   1.8   3   4   0.00017    0.0069   14.1   0.0   217   334   360   478   340   482 0.83 -
80377at50557_38123_0:002ff9|STRG.2736.2:325-1866|+     -            514 25500at50557         -            513   6.5e-13   47.1   1.8   4   4     0.032       1.3    6.5   0.0   200   271   426   496   412   508 0.85 -
80377at50557_38123_0:002ff9|STRG.2736.4:102-1643|+     -            514 25500at50557         -            513   6.5e-13   47.1   1.8   1   4   0.00015    0.0063   14.2   0.0   296   355    23    82    11    85 0.93 -
80377at50557_38123_0:002ff9|STRG.2736.4:102-1643|+     -            514 25500at50557         -            513   6.5e-13   47.1   1.8   2   4     9e-05    0.0038   14.9   0.2   454   512    86   143    79   144 0.81 -
80377at50557_38123_0:002ff9|STRG.2736.4:102-1643|+     -            514 25500at50557         -            513   6.5e-13   47.1   1.8   3   4   0.00017    0.0069   14.1   0.0   217   334   360   478   340   482 0.83 -
80377at50557_38123_0:002ff9|STRG.2736.4:102-1643|+     -            514 25500at50557         -            513   6.5e-13   47.1   1.8   4   4     0.032       1.3    6.5   0.0   200   271   426   496   412   508 0.85 -
80377at50557_38123_0:002ff9|STRG.2736.5:246-1787|+     -            514 25500at50557         -            513   6.5e-13   47.1   1.8   1   4   0.00015    0.0063   14.2   0.0   296   355    23    82    11    85 0.93 -
80377at50557_38123_0:002ff9|STRG.2736.5:246-1787|+     -            514 25500at50557         -            513   6.5e-13   47.1   1.8   2   4     9e-05    0.0038   14.9   0.2   454   512    86   143    79   144 0.81 -
80377at50557_38123_0:002ff9|STRG.2736.5:246-1787|+     -            514 25500at50557         -            513   6.5e-13   47.1   1.8   3   4   0.00017    0.0069   14.1   0.0   217   334   360   478   340   482 0.83 -
80377at50557_38123_0:002ff9|STRG.2736.5:246-1787|+     -            514 25500at50557         -            513   6.5e-13   47.1   1.8   4   4     0.032       1.3    6.5   0.0   200   271   426   496   412   508 0.85 -
13625at50557_34720_0:001854|STRG.11388.1:116-2269|+    -            718 25500at50557         -            513   6.6e-13   47.1   3.1   1   4   0.00022    0.0091   13.7   0.0   407   481   135   222   105   255 0.65 -
13625at50557_34720_0:001854|STRG.11388.1:116-2269|+    -            718 25500at50557         -            513   6.6e-13   47.1   3.1   2   4   0.00085     0.035   11.7   0.3   225   355   312   443   306   443 0.84 -
13625at50557_34720_0:001854|STRG.11388.1:116-2269|+    -            718 25500at50557         -            513   6.6e-13   47.1   3.1   3   4   0.00021    0.0089   13.7   0.1    52    82   433   464   433   473 0.86 -
13625at50557_34720_0:001854|STRG.11388.1:116-2269|+    -            718 25500at50557         -            513   6.6e-13   47.1   3.1   4   4     0.047         2    6.0   0.0   128   216   550   642   532   702 0.61 -
80377at50557_30019_0:0008bb|STRG.11728.1:369-1136|+    -            256 25500at50557         -            513   9.7e-13   46.6   1.1   1   2   4.1e-08   1.7e-06   26.0   0.0   405   472     6    79     1    82 0.80 -
80377at50557_30019_0:0008bb|STRG.11728.1:369-1136|+    -            256 25500at50557         -            513   9.7e-13   46.6   1.1   2   2   4.5e-06   0.00019   19.2   0.3   129   260    79   209    77   253 0.68 -
80377at50557_30019_0:0008bb|STRG.11728.2:216-983|+     -            256 25500at50557         -            513   9.7e-13   46.6   1.1   1   2   4.1e-08   1.7e-06   26.0   0.0   405   472     6    79     1    82 0.80 -
80377at50557_30019_0:0008bb|STRG.11728.2:216-983|+     -            256 25500at50557         -            513   9.7e-13   46.6   1.1   2   2   4.5e-06   0.00019   19.2   0.3   129   260    79   209    77   253 0.68 -
80377at50557_30019_0:0008bb|STRG.11728.3:180-947|+     -            256 25500at50557         -            513   9.7e-13   46.6   1.1   1   2   4.1e-08   1.7e-06   26.0   0.0   405   472     6    79     1    82 0.80 -
80377at50557_30019_0:0008bb|STRG.11728.3:180-947|+     -            256 25500at50557         -            513   9.7e-13   46.6   1.1   2   2   4.5e-06   0.00019   19.2   0.3   129   260    79   209    77   253 0.68 -
80377at50557_30019_0:0008bb|STRG.11728.4:27-794|+      -            256 25500at50557         -            513   9.7e-13   46.6   1.1   1   2   4.1e-08   1.7e-06   26.0   0.0   405   472     6    79     1    82 0.80 -
80377at50557_30019_0:0008bb|STRG.11728.4:27-794|+      -            256 25500at50557         -            513   9.7e-13   46.6   1.1   2   2   4.5e-06   0.00019   19.2   0.3   129   260    79   209    77   253 0.68 -
31374at50557_103372_0:0017b9|STRG.19481.1:100-2055|+   -            652 25500at50557         -            513   1.3e-12   46.2   0.3   1   3       3.1   1.3e+02   -0.1   0.0   449   490   332   372   320   386 0.84 -
31374at50557_103372_0:0017b9|STRG.19481.1:100-2055|+   -            652 25500at50557         -            513   1.3e-12   46.2   0.3   2   3   1.6e-08   6.8e-07   27.3   0.3   206   345   381   522   375   523 0.82 -
31374at50557_103372_0:0017b9|STRG.19481.1:100-2055|+   -            652 25500at50557         -            513   1.3e-12   46.2   0.3   3   3   9.4e-05    0.0039   14.9   0.0   400   476   518   600   515   614 0.77 -
40115at50557_110193_0:00292f|STRG.15028.1:541-1401|+   -            287 25500at50557         -            513   2.9e-12   45.0   9.3   1   2   4.6e-06   0.00019   19.2   0.8   223   355     5   142     2   146 0.79 -
40115at50557_110193_0:00292f|STRG.15028.1:541-1401|+   -            287 25500at50557         -            513   2.9e-12   45.0   9.3   2   2   1.3e-11   5.6e-10   37.5   2.2   124   331    75   287    73   287 0.82 -
40115at50557_110193_0:00292f|STRG.15028.2:384-1244|+   -            287 25500at50557         -            513   2.9e-12   45.0   9.3   1   2   4.6e-06   0.00019   19.2   0.8   223   355     5   142     2   146 0.79 -
40115at50557_110193_0:00292f|STRG.15028.2:384-1244|+   -            287 25500at50557         -            513   2.9e-12   45.0   9.3   2   2   1.3e-11   5.6e-10   37.5   2.2   124   331    75   287    73   287 0.82 -
78072at50557_7070_0:002a52|STRG.2231.1:617-1459|+      -            281 25500at50557         -            513   4.2e-12   44.5   2.1   1   2   0.00011    0.0044   14.7   0.1   297   353    33    88     3    91 0.81 -
78072at50557_7070_0:002a52|STRG.2231.1:617-1459|+      -            281 25500at50557         -            513   4.2e-12   44.5   2.1   2   2   3.3e-09   1.4e-07   29.6   0.3    51   248    79   278    75   281 0.77 -
80377at50557_30019_0:0008bb|STRG.11985.1:1377-2237|+   -            287 25500at50557         -            513   6.5e-12   43.8   5.6   1   2   5.5e-10   2.3e-08   32.1   4.3   294   513     5   243     2   243 0.64 -
80377at50557_30019_0:0008bb|STRG.11985.1:1377-2237|+   -            287 25500at50557         -            513   6.5e-12   43.8   5.6   2   2      0.17       7.1    4.1   0.0    52    80   258   285   247   287 0.66 -
80377at50557_30019_0:0008bb|STRG.11985.2:1377-2237|+   -            287 25500at50557         -            513   6.5e-12   43.8   5.6   1   2   5.5e-10   2.3e-08   32.1   4.3   294   513     5   243     2   243 0.64 -
80377at50557_30019_0:0008bb|STRG.11985.2:1377-2237|+   -            287 25500at50557         -            513   6.5e-12   43.8   5.6   2   2      0.17       7.1    4.1   0.0    52    80   258   285   247   287 0.66 -
80377at50557_30019_0:0008bb|STRG.11985.3:1033-1893|+   -            287 25500at50557         -            513   6.5e-12   43.8   5.6   1   2   5.5e-10   2.3e-08   32.1   4.3   294   513     5   243     2   243 0.64 -
80377at50557_30019_0:0008bb|STRG.11985.3:1033-1893|+   -            287 25500at50557         -            513   6.5e-12   43.8   5.6   2   2      0.17       7.1    4.1   0.0    52    80   258   285   247   287 0.66 -
80377at50557_30019_0:0008bb|STRG.11985.4:1597-2457|+   -            287 25500at50557         -            513   6.5e-12   43.8   5.6   1   2   5.5e-10   2.3e-08   32.1   4.3   294   513     5   243     2   243 0.64 -
80377at50557_30019_0:0008bb|STRG.11985.4:1597-2457|+   -            287 25500at50557         -            513   6.5e-12   43.8   5.6   2   2      0.17       7.1    4.1   0.0    52    80   258   285   247   287 0.66 -
80377at50557_30019_0:0008bb|STRG.11985.5:1377-2237|+   -            287 25500at50557         -            513   6.5e-12   43.8   5.6   1   2   5.5e-10   2.3e-08   32.1   4.3   294   513     5   243     2   243 0.64 -
80377at50557_30019_0:0008bb|STRG.11985.5:1377-2237|+   -            287 25500at50557         -            513   6.5e-12   43.8   5.6   2   2      0.17       7.1    4.1   0.0    52    80   258   285   247   287 0.66 -
80377at50557_30019_0:0008bb|STRG.11985.8:921-1781|+    -            287 25500at50557         -            513   6.5e-12   43.8   5.6   1   2   5.5e-10   2.3e-08   32.1   4.3   294   513     5   243     2   243 0.64 -
80377at50557_30019_0:0008bb|STRG.11985.8:921-1781|+    -            287 25500at50557         -            513   6.5e-12   43.8   5.6   2   2      0.17       7.1    4.1   0.0    52    80   258   285   247   287 0.66 -
40115at50557_108931_0:001d6b|STRG.17037.2:480-1517|+   -            346 25500at50557         -            513   9.9e-12   43.2   3.9   1   3    0.0019      0.08   10.6   0.0   440   512    11    95     3    96 0.71 -
40115at50557_108931_0:001d6b|STRG.17037.2:480-1517|+   -            346 25500at50557         -            513   9.9e-12   43.2   3.9   2   3   6.2e-07   2.6e-05   22.1   0.4   194   350    81   237    79   245 0.77 -
40115at50557_108931_0:001d6b|STRG.17037.2:480-1517|+   -            346 25500at50557         -            513   9.9e-12   43.2   3.9   3   3   0.00046     0.019   12.6   0.1   159   215   260   319   223   346 0.50 -
33043at50557_454923_0:001231|STRG.5794.1:3409-4779|+   -            457 25500at50557         -            513   1.1e-11   43.1   0.8   1   3     0.027       1.1    6.7   0.0   223   336     1   117     1   124 0.80 -
33043at50557_454923_0:001231|STRG.5794.1:3409-4779|+   -            457 25500at50557         -            513   1.1e-11   43.1   0.8   2   3      0.03       1.2    6.6   0.0   299   356   173   230   138   232 0.86 -
33043at50557_454923_0:001231|STRG.5794.1:3409-4779|+   -            457 25500at50557         -            513   1.1e-11   43.1   0.8   3   3    0.0043      0.18    9.4   0.0   447   512   226   289   217   290 0.84 -
33043at50557_454923_0:001231|STRG.5794.2:2369-3739|+   -            457 25500at50557         -            513   1.1e-11   43.1   0.8   1   3     0.027       1.1    6.7   0.0   223   336     1   117     1   124 0.80 -
33043at50557_454923_0:001231|STRG.5794.2:2369-3739|+   -            457 25500at50557         -            513   1.1e-11   43.1   0.8   2   3      0.03       1.2    6.6   0.0   299   356   173   230   138   232 0.86 -
33043at50557_454923_0:001231|STRG.5794.2:2369-3739|+   -            457 25500at50557         -            513   1.1e-11   43.1   0.8   3   3    0.0043      0.18    9.4   0.0   447   512   226   289   217   290 0.84 -
43553at50557_79782_0:002ee3|STRG.1233.1:273-1064|+     -            264 25500at50557         -            513   2.9e-11   41.7   1.9   1   3   0.00086     0.036   11.7   0.1   298   476     9    50     2    62 0.57 -
43553at50557_79782_0:002ee3|STRG.1233.1:273-1064|+     -            264 25500at50557         -            513   2.9e-11   41.7   1.9   2   3    0.0077      0.32    8.6   0.0   193   256    70   137    56   142 0.63 -
43553at50557_79782_0:002ee3|STRG.1233.1:273-1064|+     -            264 25500at50557         -            513   2.9e-11   41.7   1.9   3   3   8.8e-06   0.00037   18.3   0.1   222   333   144   261   139   263 0.81 -
71739at50557_30019_0:000544|STRG.11291.1:21-878|+      -            286 25500at50557         -            513   3.2e-11   41.5   1.1   1   3   3.4e-11   1.4e-09   36.1   0.1   182   338    13   171     7   176 0.84 -
71739at50557_30019_0:000544|STRG.11291.1:21-878|+      -            286 25500at50557         -            513   3.2e-11   41.5   1.1   2   3       1.3        55    1.2   0.1   311   336   185   209   178   239 0.78 -
71739at50557_30019_0:000544|STRG.11291.1:21-878|+      -            286 25500at50557         -            513   3.2e-11   41.5   1.1   3   3      0.76        32    2.0   0.1   194   241   232   277   191   285 0.50 -
40115at50557_108931_0:001d6b|STRG.17037.1:531-1466|+   -            312 25500at50557         -            513   3.4e-11   41.5   3.2   1   3    0.0016     0.066   10.8   0.0   440   512    11    95     3    96 0.71 -
40115at50557_108931_0:001d6b|STRG.17037.1:531-1466|+   -            312 25500at50557         -            513   3.4e-11   41.5   3.2   2   3   4.9e-07     2e-05   22.4   0.4   194   350    81   237    79   245 0.77 -
