#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
27737at50557_13686_0:00042a|STRG.17337.1:0-1832|+     -            611 27737at50557         -            506  4.4e-264  875.6  10.1   1   1  2.2e-265  1.6e-263  873.8  10.1     6   506    27   605    22   605 0.91 -
40115at50557_156304_0:001c45|STRG.9047.3:195-1121|+   -            309 27737at50557         -            506   2.5e-09   35.2   3.1   3   3     2e-06   0.00015   19.4   1.5    43   207   116   299   102   303 0.65 -
40115at50557_156304_0:001c45|STRG.9047.2:292-1242|+   -            317 27737at50557         -            506   2.6e-09   35.1   3.3   1   5     0.035       2.6    5.5   0.0   177   206    64    96     4    97 0.74 -
40115at50557_156304_0:001c45|STRG.9047.2:292-1242|+   -            317 27737at50557         -            506   2.6e-09   35.1   3.3   2   5     0.034       2.5    5.5   0.0   177   207    64    97    56   108 0.82 -
40115at50557_156304_0:001c45|STRG.9047.2:292-1242|+   -            317 27737at50557         -            506   2.6e-09   35.1   3.3   3   5   8.4e-06   0.00061   17.4   0.3    43    98   124   185   104   247 0.73 -
40115at50557_156304_0:001c45|STRG.9047.2:292-1242|+   -            317 27737at50557         -            506   2.6e-09   35.1   3.3   4   5      0.21        16    2.9   0.1    80    98   251   269   213   279 0.72 -
40115at50557_156304_0:001c45|STRG.9047.2:292-1242|+   -            317 27737at50557         -            506   2.6e-09   35.1   3.3   5   5      0.08       5.8    4.3   0.0   182   208   282   308   275   311 0.88 -
33043at50557_7038_0:0032a9|STRG.16108.1:78-1970|+     -            631 27737at50557         -            506   6.3e-08   30.6   1.6   1   4   0.00012    0.0089   13.6   0.1    31   105   425   508   418   517 0.72 -
33043at50557_7038_0:0032a9|STRG.16108.1:78-1970|+     -            631 27737at50557         -            506   6.3e-08   30.6   1.6   2   4      0.42        31    1.9   0.0   187   219   518   550   511   558 0.89 -
33043at50557_7038_0:0032a9|STRG.16108.1:78-1970|+     -            631 27737at50557         -            506   6.3e-08   30.6   1.6   3   4      0.16        12    3.3   0.0   185   216   559   590   552   595 0.85 -
33043at50557_7038_0:0032a9|STRG.16108.1:78-1970|+     -            631 27737at50557         -            506   6.3e-08   30.6   1.6   4   4     0.011      0.79    7.1   0.2    31    63   595   628   592   630 0.81 -
14512at50557_56086_0:000590|STRG.6400.1:621-1088|+    -            156 27737at50557         -            506   9.3e-08   30.0   0.0   1   3    0.0034      0.25    8.8   0.0   184   219     5    40     1    49 0.90 -
14512at50557_56086_0:000590|STRG.6400.1:621-1088|+    -            156 27737at50557         -            506   9.3e-08   30.0   0.0   2   3      0.07       5.1    4.5   0.0    42    60    54    72    42    78 0.78 -
14512at50557_56086_0:000590|STRG.6400.1:621-1088|+    -            156 27737at50557         -            506   9.3e-08   30.0   0.0   3   3    0.0001    0.0077   13.8   0.0   184   225    89   130    70   144 0.83 -
14512at50557_56086_0:000590|STRG.6400.2:1384-1851|+   -            156 27737at50557         -            506   9.3e-08   30.0   0.0   1   3    0.0034      0.25    8.8   0.0   184   219     5    40     1    49 0.90 -
14512at50557_56086_0:000590|STRG.6400.2:1384-1851|+   -            156 27737at50557         -            506   9.3e-08   30.0   0.0   2   3      0.07       5.1    4.5   0.0    42    60    54    72    42    78 0.78 -
14512at50557_56086_0:000590|STRG.6400.2:1384-1851|+   -            156 27737at50557         -            506   9.3e-08   30.0   0.0   3   3    0.0001    0.0077   13.8   0.0   184   225    89   130    70   144 0.83 -
14512at50557_56086_0:000590|STRG.6400.3:489-956|+     -            156 27737at50557         -            506   9.3e-08   30.0   0.0   1   3    0.0034      0.25    8.8   0.0   184   219     5    40     1    49 0.90 -
14512at50557_56086_0:000590|STRG.6400.3:489-956|+     -            156 27737at50557         -            506   9.3e-08   30.0   0.0   2   3      0.07       5.1    4.5   0.0    42    60    54    72    42    78 0.78 -
14512at50557_56086_0:000590|STRG.6400.3:489-956|+     -            156 27737at50557         -            506   9.3e-08   30.0   0.0   3   3    0.0001    0.0077   13.8   0.0   184   225    89   130    70   144 0.83 -
80377at50557_30019_0:0008bb|STRG.9047.4:293-883|+     -            197 27737at50557         -            506   1.7e-07   29.1   2.1   1   1   1.6e-06   0.00012   19.8   2.1    44   204    15   194     1   197 0.62 -
40115at50557_1629725_0:001335|STRG.8342.1:1526-2329|+ -            268 27737at50557         -            506   7.1e-07   27.1   2.3   1   4     0.017       1.2    6.5   0.1    46   105     3    66     2    86 0.77 -
40115at50557_1629725_0:001335|STRG.8342.1:1526-2329|+ -            268 27737at50557         -            506   7.1e-07   27.1   2.3   2   4     0.009      0.66    7.4   0.1    44    99    41   100    33   109 0.69 -
40115at50557_1629725_0:001335|STRG.8342.1:1526-2329|+ -            268 27737at50557         -            506   7.1e-07   27.1   2.3   3   4   3.6e-05    0.0026   15.3   0.0    32    96   113   180   107   190 0.82 -
40115at50557_1629725_0:001335|STRG.8342.1:1526-2329|+ -            268 27737at50557         -            506   7.1e-07   27.1   2.3   4   4      0.64        47    1.3   0.0    38    59   198   219   187   225 0.79 -
80377at50557_30019_0:0008bb|STRG.11985.1:1377-2237|+  -            287 27737at50557         -            506   1.3e-06   26.3   2.2   1   3      0.11       7.9    3.8   0.0   183   225    97   139    88   152 0.82 -
80377at50557_30019_0:0008bb|STRG.11985.1:1377-2237|+  -            287 27737at50557         -            506   1.3e-06   26.3   2.2   2   3     0.055         4    4.8   0.0    45    98   188   245   165   253 0.72 -
80377at50557_30019_0:0008bb|STRG.11985.1:1377-2237|+  -            287 27737at50557         -            506   1.3e-06   26.3   2.2   3   3    0.0028      0.21    9.1   0.2    31    59   258   285   256   287 0.79 -
80377at50557_30019_0:0008bb|STRG.11985.2:1377-2237|+  -            287 27737at50557         -            506   1.3e-06   26.3   2.2   1   3      0.11       7.9    3.8   0.0   183   225    97   139    88   152 0.82 -
80377at50557_30019_0:0008bb|STRG.11985.2:1377-2237|+  -            287 27737at50557         -            506   1.3e-06   26.3   2.2   2   3     0.055         4    4.8   0.0    45    98   188   245   165   253 0.72 -
80377at50557_30019_0:0008bb|STRG.11985.2:1377-2237|+  -            287 27737at50557         -            506   1.3e-06   26.3   2.2   3   3    0.0028      0.21    9.1   0.2    31    59   258   285   256   287 0.79 -
80377at50557_30019_0:0008bb|STRG.11985.3:1033-1893|+  -            287 27737at50557         -            506   1.3e-06   26.3   2.2   1   3      0.11       7.9    3.8   0.0   183   225    97   139    88   152 0.82 -
80377at50557_30019_0:0008bb|STRG.11985.3:1033-1893|+  -            287 27737at50557         -            506   1.3e-06   26.3   2.2   2   3     0.055         4    4.8   0.0    45    98   188   245   165   253 0.72 -
80377at50557_30019_0:0008bb|STRG.11985.3:1033-1893|+  -            287 27737at50557         -            506   1.3e-06   26.3   2.2   3   3    0.0028      0.21    9.1   0.2    31    59   258   285   256   287 0.79 -
80377at50557_30019_0:0008bb|STRG.11985.4:1597-2457|+  -            287 27737at50557         -            506   1.3e-06   26.3   2.2   1   3      0.11       7.9    3.8   0.0   183   225    97   139    88   152 0.82 -
80377at50557_30019_0:0008bb|STRG.11985.4:1597-2457|+  -            287 27737at50557         -            506   1.3e-06   26.3   2.2   2   3     0.055         4    4.8   0.0    45    98   188   245   165   253 0.72 -
80377at50557_30019_0:0008bb|STRG.11985.4:1597-2457|+  -            287 27737at50557         -            506   1.3e-06   26.3   2.2   3   3    0.0028      0.21    9.1   0.2    31    59   258   285   256   287 0.79 -
80377at50557_30019_0:0008bb|STRG.11985.5:1377-2237|+  -            287 27737at50557         -            506   1.3e-06   26.3   2.2   1   3      0.11       7.9    3.8   0.0   183   225    97   139    88   152 0.82 -
80377at50557_30019_0:0008bb|STRG.11985.5:1377-2237|+  -            287 27737at50557         -            506   1.3e-06   26.3   2.2   2   3     0.055         4    4.8   0.0    45    98   188   245   165   253 0.72 -
80377at50557_30019_0:0008bb|STRG.11985.5:1377-2237|+  -            287 27737at50557         -            506   1.3e-06   26.3   2.2   3   3    0.0028      0.21    9.1   0.2    31    59   258   285   256   287 0.79 -
80377at50557_30019_0:0008bb|STRG.11985.8:921-1781|+   -            287 27737at50557         -            506   1.3e-06   26.3   2.2   1   3      0.11       7.9    3.8   0.0   183   225    97   139    88   152 0.82 -
80377at50557_30019_0:0008bb|STRG.11985.8:921-1781|+   -            287 27737at50557         -            506   1.3e-06   26.3   2.2   2   3     0.055         4    4.8   0.0    45    98   188   245   165   253 0.72 -
80377at50557_30019_0:0008bb|STRG.11985.8:921-1781|+   -            287 27737at50557         -            506   1.3e-06   26.3   2.2   3   3    0.0028      0.21    9.1   0.2    31    59   258   285   256   287 0.79 -
43553at50557_136037_0:001d49|STRG.1233.4:37-933|+     -            299 27737at50557         -            506   2.2e-06   25.5   0.0   1   4    0.0038      0.28    8.6   0.0    34   102    16    90     5    99 0.79 -
43553at50557_136037_0:001d49|STRG.1233.4:37-933|+     -            299 27737at50557         -            506   2.2e-06   25.5   0.0   2   4      0.15        11    3.4   0.0   173   213   137   177   116   183 0.66 -
43553at50557_136037_0:001d49|STRG.1233.4:37-933|+     -            299 27737at50557         -            506   2.2e-06   25.5   0.0   3   4       0.1       7.5    3.9   0.0   176   218   182   224   173   228 0.83 -
43553at50557_136037_0:001d49|STRG.1233.4:37-933|+     -            299 27737at50557         -            506   2.2e-06   25.5   0.0   4   4     0.076       5.5    4.4   0.0   182   206   274   298   260   299 0.90 -
78072at50557_7038_0:0021a3|STRG.10589.1:379-1227|+    -            283 27737at50557         -            506   3.2e-06   24.9   0.0   1   2   1.2e-07   8.8e-06   23.5   0.0    44    98   103   165    99   175 0.85 -
78072at50557_7038_0:0021a3|STRG.10589.1:379-1227|+    -            283 27737at50557         -            506   3.2e-06   24.9   0.0   2   2         9   6.6e+02   -2.5   0.0    81    99   244   262   226   271 0.67 -
78072at50557_7038_0:0021a3|STRG.10589.2:180-1028|+    -            283 27737at50557         -            506   3.2e-06   24.9   0.0   1   2   1.2e-07   8.8e-06   23.5   0.0    44    98   103   165    99   175 0.85 -
78072at50557_7038_0:0021a3|STRG.10589.2:180-1028|+    -            283 27737at50557         -            506   3.2e-06   24.9   0.0   2   2         9   6.6e+02   -2.5   0.0    81    99   244   262   226   271 0.67 -
78072at50557_7070_0:002a52|STRG.2231.1:617-1459|+     -            281 27737at50557         -            506   5.4e-06   24.2   1.1   1   3   0.00042     0.031   11.8   0.2    37    95    46   109    29   110 0.68 -
78072at50557_7070_0:002a52|STRG.2231.1:617-1459|+     -            281 27737at50557         -            506   5.4e-06   24.2   1.1   2   3    0.0098      0.71    7.3   0.0   185   217    86   118    81   122 0.87 -
78072at50557_7070_0:002a52|STRG.2231.1:617-1459|+     -            281 27737at50557         -            506   5.4e-06   24.2   1.1   3   3     0.012       0.9    7.0   0.1    45    99   137   199   122   217 0.61 -
40115at50557_103372_0:0021d6|STRG.8786.1:1-1233|+     -            411 27737at50557         -            506   9.2e-06   23.4   0.1   1   4    0.0097      0.71    7.3   0.0   183   211    54    82    31    90 0.85 -
40115at50557_103372_0:0021d6|STRG.8786.1:1-1233|+     -            411 27737at50557         -            506   9.2e-06   23.4   0.1   2   4      0.23        17    2.8   0.0    31    64   182   215   153   234 0.84 -
40115at50557_103372_0:0021d6|STRG.8786.1:1-1233|+     -            411 27737at50557         -            506   9.2e-06   23.4   0.1   3   4    0.0075      0.55    7.7   0.0    36    96   303   370   293   378 0.61 -
40115at50557_103372_0:0021d6|STRG.8786.1:1-1233|+     -            411 27737at50557         -            506   9.2e-06   23.4   0.1   4   4       1.9   1.4e+02   -0.3   0.0   171   207   374   410   370   411 0.90 -
40115at50557_103372_0:0021d6|STRG.8786.10:187-1692|+  -            463 27737at50557         -            506   1.5e-05   22.7   0.1   1   4    0.0088      0.65    7.4   0.0   180   211   120   151    98   159 0.83 -
40115at50557_103372_0:0021d6|STRG.8786.10:187-1692|+  -            463 27737at50557         -            506   1.5e-05   22.7   0.1   2   4      0.27        20    2.5   0.0    31    64   233   266   205   285 0.84 -
40115at50557_103372_0:0021d6|STRG.8786.10:187-1692|+  -            463 27737at50557         -            506   1.5e-05   22.7   0.1   3   4    0.0086      0.63    7.5   0.0    36    96   354   421   344   430 0.61 -
40115at50557_103372_0:0021d6|STRG.8786.10:187-1692|+  -            463 27737at50557         -            506   1.5e-05   22.7   0.1   4   4         3   2.2e+02   -0.9   0.0   170   207   424   461   418   462 0.89 -
40115at50557_103372_0:0021d6|STRG.8786.11:187-1702|+  -            481 27737at50557         -            506   1.7e-05   22.5   0.1   1   4    0.0093      0.68    7.4   0.0   180   211   120   151    98   159 0.83 -
40115at50557_103372_0:0021d6|STRG.8786.11:187-1702|+  -            481 27737at50557         -            506   1.7e-05   22.5   0.1   2   4      0.29        21    2.4   0.0    31    64   251   284   223   303 0.84 -
40115at50557_103372_0:0021d6|STRG.8786.11:187-1702|+  -            481 27737at50557         -            506   1.7e-05   22.5   0.1   3   4    0.0091      0.67    7.4   0.0    36    96   372   439   362   448 0.61 -
40115at50557_103372_0:0021d6|STRG.8786.11:187-1702|+  -            481 27737at50557         -            506   1.7e-05   22.5   0.1   4   4       3.1   2.3e+02   -1.0   0.0   170   207   442   479   436   480 0.89 -
40115at50557_110193_0:00292f|STRG.15028.1:541-1401|+  -            287 27737at50557         -            506   1.9e-05   22.4   3.0   1   6      0.85        62    0.9   0.2    31    95     5    77     4    80 0.54 -
40115at50557_110193_0:00292f|STRG.15028.1:541-1401|+  -            287 27737at50557         -            506   1.9e-05   22.4   3.0   2   6         1        76    0.6   0.0   187   213    56    82    44    93 0.88 -
40115at50557_110193_0:00292f|STRG.15028.1:541-1401|+  -            287 27737at50557         -            506   1.9e-05   22.4   3.0   3   6     0.002      0.14    9.6   0.0    41    96   101   162    88   175 0.75 -
40115at50557_110193_0:00292f|STRG.15028.1:541-1401|+  -            287 27737at50557         -            506   1.9e-05   22.4   3.0   4   6      0.31        23    2.3   0.0   185   209   180   204   164   211 0.84 -
40115at50557_110193_0:00292f|STRG.15028.1:541-1401|+  -            287 27737at50557         -            506   1.9e-05   22.4   3.0   5   6     0.049       3.6    5.0   0.0   184   213   222   251   214   263 0.83 -
40115at50557_110193_0:00292f|STRG.15028.1:541-1401|+  -            287 27737at50557         -            506   1.9e-05   22.4   3.0   6   6       7.2   5.3e+02   -2.2   0.0    31    58   259   287   249   287 0.71 -
40115at50557_110193_0:00292f|STRG.15028.2:384-1244|+  -            287 27737at50557         -            506   1.9e-05   22.4   3.0   1   6      0.85        62    0.9   0.2    31    95     5    77     4    80 0.54 -
40115at50557_110193_0:00292f|STRG.15028.2:384-1244|+  -            287 27737at50557         -            506   1.9e-05   22.4   3.0   2   6         1        76    0.6   0.0   187   213    56    82    44    93 0.88 -
40115at50557_110193_0:00292f|STRG.15028.2:384-1244|+  -            287 27737at50557         -            506   1.9e-05   22.4   3.0   3   6     0.002      0.14    9.6   0.0    41    96   101   162    88   175 0.75 -
40115at50557_110193_0:00292f|STRG.15028.2:384-1244|+  -            287 27737at50557         -            506   1.9e-05   22.4   3.0   4   6      0.31        23    2.3   0.0   185   209   180   204   164   211 0.84 -
40115at50557_110193_0:00292f|STRG.15028.2:384-1244|+  -            287 27737at50557         -            506   1.9e-05   22.4   3.0   5   6     0.049       3.6    5.0   0.0   184   213   222   251   214   263 0.83 -
40115at50557_110193_0:00292f|STRG.15028.2:384-1244|+  -            287 27737at50557         -            506   1.9e-05   22.4   3.0   6   6       7.2   5.3e+02   -2.2   0.0    31    58   259   287   249   287 0.71 -
40115at50557_103372_0:0021d6|STRG.8786.9:0-1442|+     -            481 27737at50557         -            506   2.2e-05   22.2   0.1   1   4     0.012      0.87    7.0   0.0   183   211   123   151   100   159 0.85 -
40115at50557_103372_0:0021d6|STRG.8786.9:0-1442|+     -            481 27737at50557         -            506   2.2e-05   22.2   0.1   2   4      0.29        21    2.4   0.0    31    64   251   284   223   303 0.84 -
40115at50557_103372_0:0021d6|STRG.8786.9:0-1442|+     -            481 27737at50557         -            506   2.2e-05   22.2   0.1   3   4    0.0091      0.67    7.4   0.0    36    96   372   439   362   448 0.61 -
40115at50557_103372_0:0021d6|STRG.8786.9:0-1442|+     -            481 27737at50557         -            506   2.2e-05   22.2   0.1   4   4       3.1   2.3e+02   -1.0   0.0   170   207   442   479   436   480 0.89 -
80377at50557_37344_0:0017d3|STRG.18292.1:868-1827|+   -            320 27737at50557         -            506   2.6e-05   21.9   0.3   1   3     0.063       4.6    4.6   0.1    38    62    22    46    10    62 0.82 -
80377at50557_37344_0:0017d3|STRG.18292.1:868-1827|+   -            320 27737at50557         -            506   2.6e-05   21.9   0.3   2   3     0.075       5.5    4.4   0.1   142   209    28    98    23   124 0.57 -
80377at50557_37344_0:0017d3|STRG.18292.1:868-1827|+   -            320 27737at50557         -            506   2.6e-05   21.9   0.3   3   3   0.00041      0.03   11.8   0.0    18   100   157   248   139   269 0.72 -
80377at50557_37344_0:0017d3|STRG.18292.2:868-1827|+   -            320 27737at50557         -            506   2.6e-05   21.9   0.3   1   3     0.063       4.6    4.6   0.1    38    62    22    46    10    62 0.82 -
80377at50557_37344_0:0017d3|STRG.18292.2:868-1827|+   -            320 27737at50557         -            506   2.6e-05   21.9   0.3   2   3     0.075       5.5    4.4   0.1   142   209    28    98    23   124 0.57 -
80377at50557_37344_0:0017d3|STRG.18292.2:868-1827|+   -            320 27737at50557         -            506   2.6e-05   21.9   0.3   3   3   0.00041      0.03   11.8   0.0    18   100   157   248   139   269 0.72 -
80377at50557_37344_0:0017d3|STRG.18292.3:991-1950|+   -            320 27737at50557         -            506   2.6e-05   21.9   0.3   1   3     0.063       4.6    4.6   0.1    38    62    22    46    10    62 0.82 -
80377at50557_37344_0:0017d3|STRG.18292.3:991-1950|+   -            320 27737at50557         -            506   2.6e-05   21.9   0.3   2   3     0.075       5.5    4.4   0.1   142   209    28    98    23   124 0.57 -
80377at50557_37344_0:0017d3|STRG.18292.3:991-1950|+   -            320 27737at50557         -            506   2.6e-05   21.9   0.3   3   3   0.00041      0.03   11.8   0.0    18   100   157   248   139   269 0.72 -
43553at50557_13686_0:000241|STRG.17850.1:141-1607|+   -            489 27737at50557         -            506     3e-05   21.7   0.0   1   2       0.5        36    1.7   0.0    24    63   169   211   149   274 0.61 -
43553at50557_13686_0:000241|STRG.17850.1:141-1607|+   -            489 27737at50557         -            506     3e-05   21.7   0.0   2   2     7e-06   0.00051   17.7   0.0    31   100   344   420   315   464 0.80 -
71739at50557_103372_0:00145d|STRG.17862.1:0-965|+     -            322 27737at50557         -            506   6.2e-05   20.7   0.0   1   3       8.2     6e+02   -2.4   0.0   187   214    55    82    49    91 0.80 -
71739at50557_103372_0:00145d|STRG.17862.1:0-965|+     -            322 27737at50557         -            506   6.2e-05   20.7   0.0   2   3   4.3e-06   0.00032   18.4   0.0    44   108   156   226   144   244 0.79 -
71739at50557_103372_0:00145d|STRG.17862.1:0-965|+     -            322 27737at50557         -            506   6.2e-05   20.7   0.0   3   3         6   4.4e+02   -1.9   0.0   184   210   286   312   260   315 0.79 -
80377at50557_121845_0:0030d4|STRG.6089.1:117-983|+    -            289 27737at50557         -            506   6.7e-05   20.6   0.5   1   6     0.056       4.1    4.8   0.0   180   217     5    42     1    46 0.89 -
80377at50557_121845_0:0030d4|STRG.6089.1:117-983|+    -            289 27737at50557         -            506   6.7e-05   20.6   0.5   2   6     0.029       2.1    5.7   0.0    41    97    57   119    44   131 0.70 -
80377at50557_121845_0:0030d4|STRG.6089.1:117-983|+    -            289 27737at50557         -            506   6.7e-05   20.6   0.5   3   6       3.5   2.5e+02   -1.1   0.0    31    60   130   160   120   164 0.72 -
