#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
34006at50557_34720_0:00248d|STRG.17583.1:0-1976|+      -            659 34006at50557         -            414  5.2e-229  758.9   4.6   1   1  5.9e-230  2.3e-228  756.8   4.6     1   414   178   643   178   643 0.93 -
40115at50557_156304_0:001c45|STRG.9047.1:153-1079|+    -            309 34006at50557         -            414     9e-19   66.4   1.8   3   3   0.00011    0.0043   14.8   0.0   119   181   238   300   227   306 0.74 -
40115at50557_156304_0:001c45|STRG.9047.3:195-1121|+    -            309 34006at50557         -            414     9e-19   66.4   1.8   1   3   9.7e-11   3.7e-09   34.8   0.1   119   245    28   164    14   165 0.76 -
40115at50557_156304_0:001c45|STRG.9047.3:195-1121|+    -            309 34006at50557         -            414     9e-19   66.4   1.8   2   3   9.4e-08   3.6e-06   24.9   0.1   128   217   162   260   161   265 0.84 -
40115at50557_156304_0:001c45|STRG.9047.3:195-1121|+    -            309 34006at50557         -            414     9e-19   66.4   1.8   3   3   0.00011    0.0043   14.8   0.0   119   181   238   300   227   306 0.74 -
40115at50557_156304_0:001c45|STRG.9047.2:292-1242|+    -            317 34006at50557         -            414   9.4e-19   66.4   1.7   1   3     1e-10   3.8e-09   34.7   0.1   119   245    36   172    21   173 0.76 -
40115at50557_156304_0:001c45|STRG.9047.2:292-1242|+    -            317 34006at50557         -            414   9.4e-19   66.4   1.7   2   3   9.9e-08   3.8e-06   24.9   0.1   128   217   170   268   169   273 0.84 -
40115at50557_156304_0:001c45|STRG.9047.2:292-1242|+    -            317 34006at50557         -            414   9.4e-19   66.4   1.7   3   3   0.00012    0.0045   14.8   0.0   119   181   246   308   235   314 0.74 -
13625at50557_34720_0:001854|STRG.11388.1:116-2269|+    -            718 34006at50557         -            414   1.4e-16   59.3   2.2   1   6       1.1        44    1.6   0.0   209   247    72   112    54   131 0.84 -
13625at50557_34720_0:001854|STRG.11388.1:116-2269|+    -            718 34006at50557         -            414   1.4e-16   59.3   2.2   2   6     0.086       3.3    5.3   0.0   149   184   178   213   162   256 0.75 -
13625at50557_34720_0:001854|STRG.11388.1:116-2269|+    -            718 34006at50557         -            414   1.4e-16   59.3   2.2   3   6       1.3        50    1.4   0.0   154   199   350   396   341   404 0.73 -
13625at50557_34720_0:001854|STRG.11388.1:116-2269|+    -            718 34006at50557         -            414   1.4e-16   59.3   2.2   4   6   4.1e-09   1.6e-07   29.4   0.1   129   221   409   510   404   540 0.80 -
13625at50557_34720_0:001854|STRG.11388.1:116-2269|+    -            718 34006at50557         -            414   1.4e-16   59.3   2.2   5   6   0.00012    0.0048   14.7   0.0   111   183   563   636   553   652 0.77 -
13625at50557_34720_0:001854|STRG.11388.1:116-2269|+    -            718 34006at50557         -            414   1.4e-16   59.3   2.2   6   6       7.1   2.7e+02   -1.0   0.0   151   185   665   700   636   710 0.68 -
80377at50557_166361_0:002fc1|STRG.2287.1:501-1214|+    -            238 34006at50557         -            414   6.3e-16   57.1   0.5   1   2   0.00075     0.029   12.1   0.0   153   189     5    41     2    47 0.87 -
80377at50557_166361_0:002fc1|STRG.2287.1:501-1214|+    -            238 34006at50557         -            414   6.3e-16   57.1   0.5   2   2   9.4e-12   3.6e-10   38.1   0.1    15   182    67   227    59   230 0.75 -
80377at50557_121845_0:0030d4|STRG.6089.1:117-983|+     -            289 34006at50557         -            414   7.3e-15   53.6   0.7   1   4     0.029       1.1    6.8   0.0   189   245     5    65     2    67 0.86 -
80377at50557_121845_0:0030d4|STRG.6089.1:117-983|+     -            289 34006at50557         -            414   7.3e-15   53.6   0.7   2   4   6.4e-07   2.5e-05   22.2   0.1   127   184    62   120    48   131 0.88 -
80377at50557_121845_0:0030d4|STRG.6089.1:117-983|+     -            289 34006at50557         -            414   7.3e-15   53.6   0.7   3   4   2.4e-11   9.2e-10   36.8   0.1   110   236    86   224    83   260 0.75 -
80377at50557_121845_0:0030d4|STRG.6089.1:117-983|+     -            289 34006at50557         -            414   7.3e-15   53.6   0.7   4   4       3.8   1.5e+02   -0.1   0.0    23    46   229   252   211   283 0.65 -
40115at50557_144034_0:000898|STRG.19187.1:1281-2150|+  -            290 34006at50557         -            414   1.4e-14   52.7   2.8   1   3   0.00011    0.0041   14.9   0.1   110   183     3    78     1    88 0.79 -
40115at50557_144034_0:000898|STRG.19187.1:1281-2150|+  -            290 34006at50557         -            414   1.4e-14   52.7   2.8   2   3   1.1e-10   4.2e-09   34.6   0.1   110   242    91   236    84   239 0.81 -
40115at50557_144034_0:000898|STRG.19187.1:1281-2150|+  -            290 34006at50557         -            414   1.4e-14   52.7   2.8   3   3   0.00047     0.018   12.7   0.1   127   214   192   290   190   290 0.70 -
43553at50557_79782_0:002ee3|STRG.1233.1:273-1064|+     -            264 34006at50557         -            414   2.1e-14   52.0   1.6   1   3   0.00014    0.0055   14.4   0.1   108   185    10    89     3   110 0.78 -
43553at50557_79782_0:002ee3|STRG.1233.1:273-1064|+     -            264 34006at50557         -            414   2.1e-14   52.0   1.6   2   3   8.8e-05    0.0034   15.2   0.1   154   221   106   180    95   188 0.70 -
43553at50557_79782_0:002ee3|STRG.1233.1:273-1064|+     -            264 34006at50557         -            414   2.1e-14   52.0   1.6   3   3   1.8e-06   6.8e-05   20.7   0.0   111   184   186   263   182   264 0.73 -
40115at50557_103372_0:0021d6|STRG.8786.1:1-1233|+      -            411 34006at50557         -            414   2.3e-14   52.0   6.6   1   4     0.001     0.039   11.7   0.0    11    42    49    80    40    87 0.86 -
40115at50557_103372_0:0021d6|STRG.8786.1:1-1233|+      -            411 34006at50557         -            414   2.3e-14   52.0   6.6   2   4      0.33        13    3.4   0.0   154   183    94   123    87   134 0.81 -
40115at50557_103372_0:0021d6|STRG.8786.1:1-1233|+      -            411 34006at50557         -            414   2.3e-14   52.0   6.6   3   4    0.0011     0.041   11.6   1.0   118   181   143   210   125   221 0.61 -
40115at50557_103372_0:0021d6|STRG.8786.1:1-1233|+      -            411 34006at50557         -            414   2.3e-14   52.0   6.6   4   4   5.7e-08   2.2e-06   25.7   0.0   119   221   263   375   258   406 0.77 -
49370at50557_2015173_0:001990|STRG.7563.1:60-1046|+    -            329 34006at50557         -            414   2.6e-14   51.7   2.1   1   3     3e-05    0.0011   16.7   0.1   110   181    38   111    30   115 0.82 -
49370at50557_2015173_0:001990|STRG.7563.1:60-1046|+    -            329 34006at50557         -            414   2.6e-14   51.7   2.1   2   3   8.9e-09   3.4e-07   28.3   0.0   106   227   121   255   113   265 0.77 -
49370at50557_2015173_0:001990|STRG.7563.1:60-1046|+    -            329 34006at50557         -            414   2.6e-14   51.7   2.1   3   3     0.087       3.3    5.3   0.0   159   214   265   328   250   329 0.47 -
80377at50557_456900_0:000374|STRG.1267.1:0-1046|+      -            349 34006at50557         -            414   4.3e-14   51.0   0.3   1   2   3.2e-13   1.2e-11   42.9   0.2   105   220   134   259    46   298 0.71 -
80377at50557_456900_0:000374|STRG.1267.1:0-1046|+      -            349 34006at50557         -            414   4.3e-14   51.0   0.3   2   2       1.3        51    1.4   0.0   154   183   277   306   264   326 0.80 -
40115at50557_103372_0:0021d6|STRG.8786.11:187-1702|+   -            481 34006at50557         -            414   5.2e-14   50.8   7.9   1   3   7.3e-06   0.00028   18.7   4.7    10   182   117   280   110   290 0.77 -
40115at50557_103372_0:0021d6|STRG.8786.11:187-1702|+   -            481 34006at50557         -            414   5.2e-14   50.8   7.9   2   3   8.7e-08   3.3e-06   25.0   0.0   119   220   332   443   327   470 0.78 -
40115at50557_103372_0:0021d6|STRG.8786.11:187-1702|+   -            481 34006at50557         -            414   5.2e-14   50.8   7.9   3   3       8.9   3.4e+02   -1.3   0.0    16    41   455   480   445   481 0.71 -
40115at50557_103372_0:0021d6|STRG.8786.9:0-1442|+      -            481 34006at50557         -            414   7.3e-14   50.3   8.0   1   5    0.0013     0.049   11.3   0.0    11    42   118   149   109   155 0.86 -
40115at50557_103372_0:0021d6|STRG.8786.9:0-1442|+      -            481 34006at50557         -            414   7.3e-14   50.3   8.0   2   5      0.42        16    3.0   0.0   154   183   163   192   157   203 0.81 -
40115at50557_103372_0:0021d6|STRG.8786.9:0-1442|+      -            481 34006at50557         -            414   7.3e-14   50.3   8.0   3   5    0.0014     0.052   11.2   1.0   118   181   212   279   194   290 0.61 -
40115at50557_103372_0:0021d6|STRG.8786.9:0-1442|+      -            481 34006at50557         -            414   7.3e-14   50.3   8.0   4   5   8.7e-08   3.3e-06   25.0   0.0   119   220   332   443   327   470 0.78 -
40115at50557_103372_0:0021d6|STRG.8786.9:0-1442|+      -            481 34006at50557         -            414   7.3e-14   50.3   8.0   5   5       8.9   3.4e+02   -1.3   0.0    16    41   455   480   445   481 0.71 -
43553at50557_136037_0:001d49|STRG.1233.4:37-933|+      -            299 34006at50557         -            414   1.3e-13   49.5   3.3   1   3     0.019      0.74    7.4   0.0   127   185    28    87    22   107 0.76 -
43553at50557_136037_0:001d49|STRG.1233.4:37-933|+      -            299 34006at50557         -            414   1.3e-13   49.5   3.3   2   3   5.7e-05    0.0022   15.8   0.1   154   223   104   180    92   196 0.68 -
43553at50557_136037_0:001d49|STRG.1233.4:37-933|+      -            299 34006at50557         -            414   1.3e-13   49.5   3.3   3   3   2.5e-08   9.5e-07   26.8   0.1   111   214   184   299   178   299 0.70 -
40115at50557_103372_0:0021d6|STRG.8786.10:187-1692|+   -            463 34006at50557         -            414   1.4e-13   49.4   5.4   1   4   0.00059     0.022   12.4   0.0    10    43   117   150   110   183 0.83 -
40115at50557_103372_0:0021d6|STRG.8786.10:187-1692|+   -            463 34006at50557         -            414   1.4e-13   49.4   5.4   2   4    0.0015     0.059   11.1   0.9   118   181   194   261   181   270 0.59 -
40115at50557_103372_0:0021d6|STRG.8786.10:187-1692|+   -            463 34006at50557         -            414   1.4e-13   49.4   5.4   3   4   8.1e-08   3.1e-06   25.1   0.0   119   220   314   425   309   452 0.78 -
40115at50557_103372_0:0021d6|STRG.8786.10:187-1692|+   -            463 34006at50557         -            414   1.4e-13   49.4   5.4   4   4       8.7   3.3e+02   -1.3   0.0    16    41   437   462   428   463 0.71 -
80377at50557_568069_0:004eea|STRG.1411.1:60-914|+      -            285 34006at50557         -            414   1.9e-13   48.9   0.5   1   3      0.89        34    2.0   0.1    15    41    10    36     1    49 0.66 -
80377at50557_568069_0:004eea|STRG.1411.1:60-914|+      -            285 34006at50557         -            414   1.9e-13   48.9   0.5   2   3   1.9e-09   7.4e-08   30.5   0.2   111   191    50   132    40   154 0.86 -
80377at50557_568069_0:004eea|STRG.1411.1:60-914|+      -            285 34006at50557         -            414   1.9e-13   48.9   0.5   3   3   0.00028     0.011   13.5   0.0    15    76   179   235   161   252 0.76 -
48053at50557_104421_0:0017a2|STRG.1421.1:6-1523|+      -            506 34006at50557         -            414   4.3e-13   47.7   0.2   1   3     0.004      0.15    9.7   0.0    52   142   206   296   201   312 0.70 -
48053at50557_104421_0:0017a2|STRG.1421.1:6-1523|+      -            506 34006at50557         -            414   4.3e-13   47.7   0.2   2   3   7.4e-10   2.8e-08   31.9   0.0   156   241   354   450   304   459 0.77 -
48053at50557_104421_0:0017a2|STRG.1421.1:6-1523|+      -            506 34006at50557         -            414   4.3e-13   47.7   0.2   3   3     0.041       1.6    6.4   0.1   159   216   442   505   438   506 0.78 -
80377at50557_30019_0:0008bb|STRG.11985.1:1377-2237|+   -            287 34006at50557         -            414   4.4e-13   47.7   5.6   1   3     0.016       0.6    7.7   0.1   192   216    19    43     9    85 0.70 -
80377at50557_30019_0:0008bb|STRG.11985.1:1377-2237|+   -            287 34006at50557         -            414   4.4e-13   47.7   5.6   2   3   6.4e-08   2.5e-06   25.5   0.3   110   217    93   204    87   213 0.79 -
80377at50557_30019_0:0008bb|STRG.11985.1:1377-2237|+   -            287 34006at50557         -            414   4.4e-13   47.7   5.6   3   3   7.4e-07   2.8e-05   22.0   0.3   127   217   189   287   173   287 0.76 -
80377at50557_30019_0:0008bb|STRG.11985.2:1377-2237|+   -            287 34006at50557         -            414   4.4e-13   47.7   5.6   1   3     0.016       0.6    7.7   0.1   192   216    19    43     9    85 0.70 -
80377at50557_30019_0:0008bb|STRG.11985.2:1377-2237|+   -            287 34006at50557         -            414   4.4e-13   47.7   5.6   2   3   6.4e-08   2.5e-06   25.5   0.3   110   217    93   204    87   213 0.79 -
80377at50557_30019_0:0008bb|STRG.11985.2:1377-2237|+   -            287 34006at50557         -            414   4.4e-13   47.7   5.6   3   3   7.4e-07   2.8e-05   22.0   0.3   127   217   189   287   173   287 0.76 -
80377at50557_30019_0:0008bb|STRG.11985.3:1033-1893|+   -            287 34006at50557         -            414   4.4e-13   47.7   5.6   1   3     0.016       0.6    7.7   0.1   192   216    19    43     9    85 0.70 -
80377at50557_30019_0:0008bb|STRG.11985.3:1033-1893|+   -            287 34006at50557         -            414   4.4e-13   47.7   5.6   2   3   6.4e-08   2.5e-06   25.5   0.3   110   217    93   204    87   213 0.79 -
80377at50557_30019_0:0008bb|STRG.11985.3:1033-1893|+   -            287 34006at50557         -            414   4.4e-13   47.7   5.6   3   3   7.4e-07   2.8e-05   22.0   0.3   127   217   189   287   173   287 0.76 -
80377at50557_30019_0:0008bb|STRG.11985.4:1597-2457|+   -            287 34006at50557         -            414   4.4e-13   47.7   5.6   1   3     0.016       0.6    7.7   0.1   192   216    19    43     9    85 0.70 -
80377at50557_30019_0:0008bb|STRG.11985.4:1597-2457|+   -            287 34006at50557         -            414   4.4e-13   47.7   5.6   2   3   6.4e-08   2.5e-06   25.5   0.3   110   217    93   204    87   213 0.79 -
80377at50557_30019_0:0008bb|STRG.11985.4:1597-2457|+   -            287 34006at50557         -            414   4.4e-13   47.7   5.6   3   3   7.4e-07   2.8e-05   22.0   0.3   127   217   189   287   173   287 0.76 -
80377at50557_30019_0:0008bb|STRG.11985.5:1377-2237|+   -            287 34006at50557         -            414   4.4e-13   47.7   5.6   1   3     0.016       0.6    7.7   0.1   192   216    19    43     9    85 0.70 -
80377at50557_30019_0:0008bb|STRG.11985.5:1377-2237|+   -            287 34006at50557         -            414   4.4e-13   47.7   5.6   2   3   6.4e-08   2.5e-06   25.5   0.3   110   217    93   204    87   213 0.79 -
80377at50557_30019_0:0008bb|STRG.11985.5:1377-2237|+   -            287 34006at50557         -            414   4.4e-13   47.7   5.6   3   3   7.4e-07   2.8e-05   22.0   0.3   127   217   189   287   173   287 0.76 -
80377at50557_30019_0:0008bb|STRG.11985.8:921-1781|+    -            287 34006at50557         -            414   4.4e-13   47.7   5.6   1   3     0.016       0.6    7.7   0.1   192   216    19    43     9    85 0.70 -
80377at50557_30019_0:0008bb|STRG.11985.8:921-1781|+    -            287 34006at50557         -            414   4.4e-13   47.7   5.6   2   3   6.4e-08   2.5e-06   25.5   0.3   110   217    93   204    87   213 0.79 -
80377at50557_30019_0:0008bb|STRG.11985.8:921-1781|+    -            287 34006at50557         -            414   4.4e-13   47.7   5.6   3   3   7.4e-07   2.8e-05   22.0   0.3   127   217   189   287   173   287 0.76 -
14512at50557_103372_0:0005b9|STRG.10595.3:359-2671|+   -            771 34006at50557         -            414   5.3e-13   47.4   0.0   1   1   5.4e-14   2.1e-12   45.5   0.0   110   267    58   224    51   260 0.76 -
14512at50557_103372_0:0005b9|STRG.10595.1:359-2938|+   -            860 34006at50557         -            414   6.9e-13   47.1   0.0   1   1   6.1e-14   2.3e-12   45.3   0.0   110   267    58   224    39   259 0.77 -
14512at50557_103372_0:0005b9|STRG.10595.2:359-2995|+   -            879 34006at50557         -            414   7.3e-13   47.0   0.0   1   1   7.1e-14   2.7e-12   45.1   0.0   110   267    58   224    52   259 0.76 -
43553at50557_136037_0:001d49|STRG.1233.2:37-822|+      -            262 34006at50557         -            414   1.3e-12   46.2   1.0   1   3     0.012      0.46    8.1   0.1   127   185    28    87    21   110 0.74 -
43553at50557_136037_0:001d49|STRG.1233.2:37-822|+      -            262 34006at50557         -            414   1.3e-12   46.2   1.0   2   3   8.5e-05    0.0033   15.2   0.1   155   222   105   179    94   187 0.70 -
43553at50557_136037_0:001d49|STRG.1233.2:37-822|+      -            262 34006at50557         -            414   1.3e-12   46.2   1.0   3   3   1.5e-06   5.9e-05   20.9   0.0   111   184   184   261   178   262 0.73 -
40115at50557_103372_0:0021d6|STRG.8786.7:187-1583|+    -            458 34006at50557         -            414   2.3e-12   45.3   7.5   1   3     0.001     0.039   11.7   0.3   126   183   125   183   103   194 0.80 -
40115at50557_103372_0:0021d6|STRG.8786.7:187-1583|+    -            458 34006at50557         -            414   2.3e-12   45.3   7.5   2   3    0.0012     0.048   11.4   1.0   118   181   203   270   184   281 0.61 -
40115at50557_103372_0:0021d6|STRG.8786.7:187-1583|+    -            458 34006at50557         -            414   2.3e-12   45.3   7.5   3   3   9.2e-08   3.5e-06   25.0   0.0   119   220   323   434   318   454 0.79 -
40115at50557_7213_0:0002de|STRG.12299.1:403-1941|+     -            513 34006at50557         -            414   5.8e-12   44.0   7.9   1   5    0.0066      0.25    9.0   0.0   185   246    10    79     3   101 0.75 -
40115at50557_7213_0:0002de|STRG.12299.1:403-1941|+     -            513 34006at50557         -            414   5.8e-12   44.0   7.9   2   5   8.2e-05    0.0032   15.2   0.1   127   229    75   187    58   205 0.63 -
40115at50557_7213_0:0002de|STRG.12299.1:403-1941|+     -            513 34006at50557         -            414   5.8e-12   44.0   7.9   3   5       0.7        27    2.3   0.1   117   169   214   269   208   276 0.68 -
40115at50557_7213_0:0002de|STRG.12299.1:403-1941|+     -            513 34006at50557         -            414   5.8e-12   44.0   7.9   4   5   9.2e-07   3.5e-05   21.7   0.3   111   193   263   347   253   353 0.88 -
40115at50557_7213_0:0002de|STRG.12299.1:403-1941|+     -            513 34006at50557         -            414   5.8e-12   44.0   7.9   5   5      0.65        25    2.4   0.1   128   177   459   510   441   513 0.57 -
33043at50557_7038_0:0032a9|STRG.16108.1:78-1970|+      -            631 34006at50557         -            414   1.1e-11   43.1  12.4   1   4      0.23       8.9    3.9   0.1    68   222    85   159    19   198 0.49 -
33043at50557_7038_0:0032a9|STRG.16108.1:78-1970|+      -            631 34006at50557         -            414   1.1e-11   43.1  12.4   2   4   0.00023     0.009   13.8   0.3   120   220   349   459   329   467 0.70 -
33043at50557_7038_0:0032a9|STRG.16108.1:78-1970|+      -            631 34006at50557         -            414   1.1e-11   43.1  12.4   3   4   9.5e-06   0.00037   18.3   0.3   153   249   427   533   403   548 0.73 -
33043at50557_7038_0:0032a9|STRG.16108.1:78-1970|+      -            631 34006at50557         -            414   1.1e-11   43.1  12.4   4   4   8.8e-07   3.4e-05   21.7   0.6   124   182   566   625   550   630 0.83 -
80377at50557_30019_0:0008bb|STRG.9047.4:293-883|+      -            197 34006at50557         -            414   1.4e-11   42.8   0.7   1   3    0.0063      0.24    9.0   0.0   190   244     3    61     1    63 0.75 -
80377at50557_30019_0:0008bb|STRG.9047.4:293-883|+      -            197 34006at50557         -            414   1.4e-11   42.8   0.7   2   3     5e-09   1.9e-07   29.1   0.1   111   217    42   158    38   163 0.80 -
80377at50557_30019_0:0008bb|STRG.9047.4:293-883|+      -            197 34006at50557         -            414   1.4e-11   42.8   0.7   3   3   0.00014    0.0055   14.5   0.0   119   180   136   197   122   197 0.73 -
40115at50557_597456_0:00265e|STRG.8786.8:187-1611|+    -            450 34006at50557         -            414   1.4e-11   42.7   6.0   1   3      0.21       7.9    4.1   0.0   153   182   111   140    83   150 0.66 -
40115at50557_597456_0:00265e|STRG.8786.8:187-1611|+    -            450 34006at50557         -            414   1.4e-11   42.7   6.0   2   3    0.0012     0.046   11.4   0.9   118   181   185   252   164   263 0.60 -
40115at50557_597456_0:00265e|STRG.8786.8:187-1611|+    -            450 34006at50557         -            414   1.4e-11   42.7   6.0   3   3   2.1e-08   8.2e-07   27.1   0.1   119   220   305   412   300   439 0.81 -
40115at50557_1629725_0:001335|STRG.8342.1:1526-2329|+  -            268 34006at50557         -            414     2e-11   42.3   8.0   1   3   8.9e-06   0.00034   18.4   1.3   131   219     7   100     1   108 0.73 -
40115at50557_1629725_0:001335|STRG.8342.1:1526-2329|+  -            268 34006at50557         -            414     2e-11   42.3   8.0   2   3   6.6e-08   2.5e-06   25.4   0.2   111   218   111   222   106   233 0.73 -
40115at50557_1629725_0:001335|STRG.8342.1:1526-2329|+  -            268 34006at50557         -            414     2e-11   42.3   8.0   3   3       1.4        53    1.3   0.0   185   215   238   268   231   268 0.85 -
49370at50557_456900_0:00265d|STRG.19222.2:0-1568|+     -            523 34006at50557         -            414   2.2e-11   42.1   0.9   1   3         6   2.3e+02   -0.8   0.0   233   246   230   243   220   305 0.76 -
49370at50557_456900_0:00265d|STRG.19222.2:0-1568|+     -            523 34006at50557         -            414   2.2e-11   42.1   0.9   2   3   7.2e-10   2.8e-08   31.9   0.1   118   218   331   439   311   451 0.78 -
49370at50557_456900_0:00265d|STRG.19222.2:0-1568|+     -            523 34006at50557         -            414   2.2e-11   42.1   0.9   3   3     0.033       1.3    6.7   0.0   121   180   460   520   444   522 0.77 -
49370at50557_456900_0:00265d|STRG.19222.1:235-1800|+   -            522 34006at50557         -            414   2.4e-11   42.0   0.9   1   3       6.5   2.5e+02   -0.9   0.0   233   246   230   243   224   305 0.76 -
49370at50557_456900_0:00265d|STRG.19222.1:235-1800|+   -            522 34006at50557         -            414   2.4e-11   42.0   0.9   2   3   6.6e-10   2.5e-08   32.0   0.1   118   218   331   439   311   453 0.78 -
49370at50557_456900_0:00265d|STRG.19222.1:235-1800|+   -            522 34006at50557         -            414   2.4e-11   42.0   0.9   3   3     0.033       1.3    6.7   0.0   121   180   460   520   444   522 0.77 -
80377at50557_30019_0:0008bb|STRG.11728.1:369-1136|+    -            256 34006at50557         -            414   5.9e-11   40.7   2.1   1   2   3.5e-08   1.3e-06   26.4   0.2   116   218    52   163    36   168 0.82 -
80377at50557_30019_0:0008bb|STRG.11728.1:369-1136|+    -            256 34006at50557         -            414   5.9e-11   40.7   2.1   2   2   0.00038     0.014   13.1   0.1   157   220   176   249   168   255 0.75 -
80377at50557_30019_0:0008bb|STRG.11728.2:216-983|+     -            256 34006at50557         -            414   5.9e-11   40.7   2.1   1   2   3.5e-08   1.3e-06   26.4   0.2   116   218    52   163    36   168 0.82 -
80377at50557_30019_0:0008bb|STRG.11728.2:216-983|+     -            256 34006at50557         -            414   5.9e-11   40.7   2.1   2   2   0.00038     0.014   13.1   0.1   157   220   176   249   168   255 0.75 -
80377at50557_30019_0:0008bb|STRG.11728.3:180-947|+     -            256 34006at50557         -            414   5.9e-11   40.7   2.1   1   2   3.5e-08   1.3e-06   26.4   0.2   116   218    52   163    36   168 0.82 -
80377at50557_30019_0:0008bb|STRG.11728.3:180-947|+     -            256 34006at50557         -            414   5.9e-11   40.7   2.1   2   2   0.00038     0.014   13.1   0.1   157   220   176   249   168   255 0.75 -
80377at50557_30019_0:0008bb|STRG.11728.4:27-794|+      -            256 34006at50557         -            414   5.9e-11   40.7   2.1   1   2   3.5e-08   1.3e-06   26.4   0.2   116   218    52   163    36   168 0.82 -
80377at50557_30019_0:0008bb|STRG.11728.4:27-794|+      -            256 34006at50557         -            414   5.9e-11   40.7   2.1   2   2   0.00038     0.014   13.1   0.1   157   220   176   249   168   255 0.75 -
31374at50557_103372_0:0017b9|STRG.19481.1:100-2055|+   -            652 34006at50557         -            414   6.1e-11   40.7   0.2   1   2     0.086       3.3    5.3   0.1   123   181   408   467   369   476 0.62 -
31374at50557_103372_0:0017b9|STRG.19481.1:100-2055|+   -            652 34006at50557         -            414   6.1e-11   40.7   0.2   2   2   7.1e-10   2.7e-08   31.9   0.0   111   221   479   599   474   615 0.83 -
80377at50557_77166_0:002f29|STRG.16282.1:593-1507|+    -            305 34006at50557         -            414   9.7e-11   40.0   2.7   1   1   2.1e-10   7.9e-09   33.7   2.6     1   247    10   257    10   291 0.72 -
40115at50557_108931_0:001d6b|STRG.17037.2:480-1517|+   -            346 34006at50557         -            414     1e-10   39.9   6.0   1   3   0.00035     0.014   13.2   0.5   107   216     6   137     2   147 0.64 -
40115at50557_108931_0:001d6b|STRG.17037.2:480-1517|+   -            346 34006at50557         -            414     1e-10   39.9   6.0   2   3     0.001     0.039   11.6   0.4   121   186   158   224   141   245 0.83 -
40115at50557_108931_0:001d6b|STRG.17037.2:480-1517|+   -            346 34006at50557         -            414     1e-10   39.9   6.0   3   3   3.7e-05    0.0014   16.4   0.0   117   184   247   315   238   329 0.86 -
69548at50557_609295_0:0005e7|STRG.6727.1:246-1070|+    -            275 34006at50557         -            414   1.1e-10   39.8   0.4   1   2   6.9e-07   2.6e-05   22.1   0.1   119   202    12   101     3   112 0.68 -
69548at50557_609295_0:0005e7|STRG.6727.1:246-1070|+    -            275 34006at50557         -            414   1.1e-10   39.8   0.4   2   2   7.9e-05     0.003   15.3   0.0   157   207   119   171   107   188 0.79 -
