#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
89456at50557_34720_0:000c24|STRG.6096.1:0-1019|+      -            340 89456at50557         -            230   7.9e-75  249.9   2.7   1   1   1.4e-75   2.4e-73  245.0   2.7     1   226    52   329    52   336 0.84 -
89456at50557_121225_0:0003b4|STRG.10263.2:468-992|+   -            175 89456at50557         -            230   1.2e-07   30.1   0.0   1   2     2e-07   3.3e-05   22.0   0.0     7    65     1    58     1    84 0.83 -
89456at50557_121225_0:0003b4|STRG.10263.2:468-992|+   -            175 89456at50557         -            230   1.2e-07   30.1   0.0   2   2     0.012       2.1    6.4   0.1    98   143   110   161    94   168 0.83 -
36185at50557_34720_0:000ec6|STRG.7249.2:0-2180|+      -            727 89456at50557         -            230   1.6e-07   29.6   3.2   1   3       1.4   2.4e+02   -0.4   0.0    99   110   257   268   248   274 0.88 -
36185at50557_34720_0:000ec6|STRG.7249.2:0-2180|+      -            727 89456at50557         -            230   1.6e-07   29.6   3.2   2   3   5.8e-09   9.9e-07   27.1   0.0     3    72   319   384   317   411 0.78 -
36185at50557_34720_0:000ec6|STRG.7249.2:0-2180|+      -            727 89456at50557         -            230   1.6e-07   29.6   3.2   3   3      0.72   1.2e+02    0.6   0.5   141   177   615   651   542   696 0.77 -
111718at50557_34720_0:00177f|STRG.11514.3:209-1186|+  -            326 89456at50557         -            230   1.8e-07   29.5   0.1   1   2     0.037       6.2    4.8   0.0    70   112    36    84    25   124 0.72 -
111718at50557_34720_0:00177f|STRG.11514.3:209-1186|+  -            326 89456at50557         -            230   1.8e-07   29.5   0.1   2   2   1.5e-07   2.6e-05   22.4   0.0     4    62   142   206   139   219 0.73 -
89456at50557_7536_0:0022e4|STRG.2262.1:468-1040|+     -            191 89456at50557         -            230   2.1e-07   29.3   0.1   1   2   1.4e-07   2.4e-05   22.5   0.0     4    68     3    67     1   118 0.79 -
89456at50557_7536_0:0022e4|STRG.2262.1:468-1040|+     -            191 89456at50557         -            230   2.1e-07   29.3   0.1   2   2     0.036         6    4.9   0.4    89   116   116   142    97   151 0.68 -
36185at50557_121225_0:0002d9|STRG.2230.1:357-1592|+   -            412 89456at50557         -            230   1.6e-06   26.4   0.1   1   2       1.7   2.9e+02   -0.7   0.0    95   114    84   102    50   125 0.71 -
36185at50557_121225_0:0002d9|STRG.2230.1:357-1592|+   -            412 89456at50557         -            230   1.6e-06   26.4   0.1   2   2   5.6e-08   9.6e-06   23.8   0.0     4    63   250   306   247   318 0.81 -
105221at50557_224129_0:000e95|STRG.11041.1:275-763|+  -            163 89456at50557         -            230   2.5e-05   22.4   0.3   1   1   3.2e-07   5.5e-05   21.3   0.3     4   117     7   128     4   163 0.65 -
105221at50557_224129_0:000e95|STRG.11041.2:272-760|+  -            163 89456at50557         -            230   2.5e-05   22.4   0.3   1   1   3.2e-07   5.5e-05   21.3   0.3     4   117     7   128     4   163 0.65 -
105221at50557_224129_0:000e95|STRG.11041.3:426-914|+  -            163 89456at50557         -            230   2.5e-05   22.4   0.3   1   1   3.2e-07   5.5e-05   21.3   0.3     4   117     7   128     4   163 0.65 -
105221at50557_224129_0:000e95|STRG.11041.4:423-911|+  -            163 89456at50557         -            230   2.5e-05   22.4   0.3   1   1   3.2e-07   5.5e-05   21.3   0.3     4   117     7   128     4   163 0.65 -
66657at50557_34720_0:001d68|STRG.14161.2:0-2120|+     -            707 89456at50557         -            230   0.00016   19.9   0.5   1   2     0.025       4.3    5.3   0.1    97   154   311   382   303   385 0.64 -
66657at50557_34720_0:001d68|STRG.14161.2:0-2120|+     -            707 89456at50557         -            230   0.00016   19.9   0.5   2   2   0.00018     0.031   12.4   0.0     4    30   383   409   380   421 0.87 -
66657at50557_34720_0:001d68|STRG.14161.3:0-2345|+     -            707 89456at50557         -            230   0.00016   19.9   0.5   1   2     0.025       4.3    5.3   0.1    97   154   311   382   303   385 0.64 -
66657at50557_34720_0:001d68|STRG.14161.3:0-2345|+     -            707 89456at50557         -            230   0.00016   19.9   0.5   2   2   0.00018     0.031   12.4   0.0     4    30   383   409   380   421 0.87 -
66657at50557_34720_0:001d68|STRG.14161.1:273-2628|+   -            757 89456at50557         -            230   0.00019   19.6   0.5   1   2     0.025       4.2    5.4   0.1    96   154   358   430   347   433 0.65 -
66657at50557_34720_0:001d68|STRG.14161.1:273-2628|+   -            757 89456at50557         -            230   0.00019   19.6   0.5   2   2   0.00019     0.033   12.3   0.0     4    30   431   457   427   469 0.87 -
89456at50557_2015173_0:001860|STRG.6380.1:145-771|+   -            209 89456at50557         -            230   0.00091   17.4   0.1   1   1   1.2e-05    0.0021   16.2   0.1     3    27     9    33     7    38 0.88 -
89456at50557_609295_0:001f5d|STRG.6380.2:530-1132|+   -            201 89456at50557         -            230    0.0013   16.8   0.0   1   1   1.8e-05     0.003   15.6   0.0     3    27     1    25     1    30 0.88 -
115559at50557_42026_0:0013f7|STRG.2545.1:767-1258|+   -            164 89456at50557         -            230    0.0047   15.0   0.0   1   1   0.00036     0.061   11.4   0.0     3   113     9   127     7   132 0.69 -
115559at50557_42026_0:0013f7|STRG.2545.2:1467-1958|+  -            164 89456at50557         -            230    0.0047   15.0   0.0   1   1   0.00036     0.061   11.4   0.0     3   113     9   127     7   132 0.69 -
99773at50557_34720_0:00204d|STRG.15441.1:156-1337|+   -            394 89456at50557         -            230     0.005   14.9   2.7   1   3      0.12        20    3.1   0.0     5    25    37    57    33    62 0.88 -
99773at50557_34720_0:00204d|STRG.15441.1:156-1337|+   -            394 89456at50557         -            230     0.005   14.9   2.7   2   3     0.011       1.9    6.5   0.5    96   112   194   210   106   221 0.69 -
99773at50557_34720_0:00204d|STRG.15441.1:156-1337|+   -            394 89456at50557         -            230     0.005   14.9   2.7   3   3      0.21        36    2.3   0.0   130   152   256   278   239   286 0.82 -
99773at50557_34720_0:00204d|STRG.15441.2:142-1323|+   -            394 89456at50557         -            230     0.005   14.9   2.7   1   3      0.12        20    3.1   0.0     5    25    37    57    33    62 0.88 -
99773at50557_34720_0:00204d|STRG.15441.2:142-1323|+   -            394 89456at50557         -            230     0.005   14.9   2.7   2   3     0.011       1.9    6.5   0.5    96   112   194   210   106   221 0.69 -
99773at50557_34720_0:00204d|STRG.15441.2:142-1323|+   -            394 89456at50557         -            230     0.005   14.9   2.7   3   3      0.21        36    2.3   0.0   130   152   256   278   239   286 0.82 -
99773at50557_34720_0:00204d|STRG.15441.3:0-1181|+     -            394 89456at50557         -            230     0.005   14.9   2.7   1   3      0.12        20    3.1   0.0     5    25    37    57    33    62 0.88 -
99773at50557_34720_0:00204d|STRG.15441.3:0-1181|+     -            394 89456at50557         -            230     0.005   14.9   2.7   2   3     0.011       1.9    6.5   0.5    96   112   194   210   106   221 0.69 -
99773at50557_34720_0:00204d|STRG.15441.3:0-1181|+     -            394 89456at50557         -            230     0.005   14.9   2.7   3   3      0.21        36    2.3   0.0   130   152   256   278   239   286 0.82 -
117348at50557_104452_0:003894|STRG.12875.2:146-655|+  -            170 89456at50557         -            230    0.0053   14.8   0.1   1   2   6.7e-05     0.011   13.8   0.1     3    23     6    26     4    53 0.89 -
117348at50557_104452_0:003894|STRG.12875.2:146-655|+  -            170 89456at50557         -            230    0.0053   14.8   0.1   2   2       2.7   4.6e+02   -1.3   0.0    99   109   112   122    62   169 0.64 -
117348at50557_456900_0:002c58|STRG.5497.1:4-273|+     -             90 89456at50557         -            230    0.0074   14.4   0.0   1   1   4.4e-05    0.0075   14.3   0.0   128   157    50    79    12    83 0.92 -
104262at50557_132113_0:00109a|STRG.9220.1:519-1067|+  -            183 89456at50557         -            230    0.0092   14.1   0.1   1   1   0.00035      0.06   11.4   0.1     2   111    13   131    12   144 0.64 -
104262at50557_132113_0:00109a|STRG.9220.2:519-1067|+  -            183 89456at50557         -            230    0.0092   14.1   0.1   1   1   0.00035      0.06   11.4   0.1     2   111    13   131    12   144 0.64 -
106023at50557_37001_0:0016d5|STRG.6758.1:3-512|+      -            170 89456at50557         -            230     0.017   13.2   0.0   1   2   0.00019     0.032   12.3   0.0     2    88     7    91     6   107 0.73 -
106023at50557_37001_0:0016d5|STRG.6758.1:3-512|+      -            170 89456at50557         -            230     0.017   13.2   0.0   2   2       6.3   1.1e+03   -2.5   0.0   175   198   145   168   132   170 0.70 -
106023at50557_39758_0:004d29|STRG.6758.2:122-658|+    -            179 89456at50557         -            230      0.02   13.0   0.0   1   2   0.00021     0.036   12.1   0.0     2    88    16   100    15   116 0.73 -
106023at50557_39758_0:004d29|STRG.6758.2:122-658|+    -            179 89456at50557         -            230      0.02   13.0   0.0   2   2       6.8   1.2e+03   -2.6   0.0   175   198   154   177   141   179 0.70 -
117348at50557_37344_0:00207e|STRG.2629.1:292-654|+    -            121 89456at50557         -            230     0.024   12.7   0.1   1   1    0.0002     0.034   12.2   0.1     4    24    17    37    14    48 0.84 -
108271at50557_7536_0:004142|STRG.4390.2:420-959|+     -            180 89456at50557         -            230     0.025   12.6   0.0   1   2   0.00024     0.041   11.9   0.0     4    44     1    41     1    99 0.70 -
108271at50557_7536_0:004142|STRG.4390.2:420-959|+     -            180 89456at50557         -            230     0.025   12.6   0.0   2   2         9   1.5e+03   -3.0   0.0    98   113   105   120   102   128 0.77 -
115559at50557_286306_0:000620|STRG.16600.2:493-1098|+ -            202 89456at50557         -            230     0.028   12.5   0.5   1   1    0.0007      0.12   10.4   0.5     3   154    27   191    25   202 0.68 -
115559at50557_286306_0:000620|STRG.16600.3:126-731|+  -            202 89456at50557         -            230     0.028   12.5   0.5   1   1    0.0007      0.12   10.4   0.5     3   154    27   191    25   202 0.68 -
115559at50557_286306_0:000620|STRG.16600.4:150-755|+  -            202 89456at50557         -            230     0.028   12.5   0.5   1   1    0.0007      0.12   10.4   0.5     3   154    27   191    25   202 0.68 -
107632at50557_38123_0:001c0e|STRG.5158.1:386-1798|+   -            471 89456at50557         -            230     0.044   11.8   0.1   1   1    0.0005     0.085   10.9   0.1     5    34    42    71    40    79 0.91 -
107216at50557_51655_0:0016fc|STRG.12147.1:785-1288|+  -            168 89456at50557         -            230     0.044   11.8   0.0   1   2    0.0006       0.1   10.6   0.0     2    31     8    37     7    76 0.80 -
107216at50557_51655_0:0016fc|STRG.12147.1:785-1288|+  -            168 89456at50557         -            230     0.044   11.8   0.0   2   2       4.5   7.6e+02   -2.0   0.0    98   115   118   135   115   140 0.77 -
107216at50557_51655_0:0016fc|STRG.12147.2:785-1288|+  -            168 89456at50557         -            230     0.044   11.8   0.0   1   2    0.0006       0.1   10.6   0.0     2    31     8    37     7    76 0.80 -
107216at50557_51655_0:0016fc|STRG.12147.2:785-1288|+  -            168 89456at50557         -            230     0.044   11.8   0.0   2   2       4.5   7.6e+02   -2.0   0.0    98   115   118   135   115   140 0.77 -
107216at50557_51655_0:0016fc|STRG.12147.3:785-1288|+  -            168 89456at50557         -            230     0.044   11.8   0.0   1   2    0.0006       0.1   10.6   0.0     2    31     8    37     7    76 0.80 -
107216at50557_51655_0:0016fc|STRG.12147.3:785-1288|+  -            168 89456at50557         -            230     0.044   11.8   0.0   2   2       4.5   7.6e+02   -2.0   0.0    98   115   118   135   115   140 0.77 -
107216at50557_51655_0:0016fc|STRG.12147.4:57-560|+    -            168 89456at50557         -            230     0.044   11.8   0.0   1   2    0.0006       0.1   10.6   0.0     2    31     8    37     7    76 0.80 -
107216at50557_51655_0:0016fc|STRG.12147.4:57-560|+    -            168 89456at50557         -            230     0.044   11.8   0.0   2   2       4.5   7.6e+02   -2.0   0.0    98   115   118   135   115   140 0.77 -
107216at50557_51655_0:0016fc|STRG.12147.5:57-560|+    -            168 89456at50557         -            230     0.044   11.8   0.0   1   2    0.0006       0.1   10.6   0.0     2    31     8    37     7    76 0.80 -
107216at50557_51655_0:0016fc|STRG.12147.5:57-560|+    -            168 89456at50557         -            230     0.044   11.8   0.0   2   2       4.5   7.6e+02   -2.0   0.0    98   115   118   135   115   140 0.77 -
108271at50557_28612_0:005172|STRG.4894.1:39-596|+     -            186 89456at50557         -            230     0.045   11.8   0.1   1   1    0.0011      0.19    9.8   0.1     6   122     3   129     1   134 0.69 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/89456at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/89456at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/89456at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:57:12 2024
# [ok]
