#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
84764at50557_286306_0:001d5c|STRG.15388.1:0-1013|+    -            338 84764at50557         -            287  8.6e-160  529.3   4.4   1   1  4.7e-160  8.1e-159  526.2   4.4     1   286     7   324     7   325 0.93 -
84764at50557_37344_0:000c86|STRG.13596.1:3120-4124|+  -            335 84764at50557         -            287   4.4e-36  123.4   0.0   1   1   3.2e-37   5.5e-36  123.1   0.0     1   224     1   228     1   254 0.79 -
84764at50557_37344_0:000c86|STRG.13596.2:804-1808|+   -            335 84764at50557         -            287   4.4e-36  123.4   0.0   1   1   3.2e-37   5.5e-36  123.1   0.0     1   224     1   228     1   254 0.79 -
84764at50557_91411_0:001d03|STRG.17920.1:68-622|+     -            185 84764at50557         -            287     9e-35  119.1   0.0   1   1   6.2e-36   1.1e-34  118.8   0.0     1   178     6   184     6   185 0.87 -
84764at50557_91411_0:001d03|STRG.4952.1:334-1026|+    -            231 84764at50557         -            287   8.8e-34  115.8   0.0   1   1   6.6e-35   1.1e-33  115.5   0.0    82   229     1   158     1   214 0.84 -
84764at50557_224129_0:000e1f|STRG.18033.2:1085-1759|+ -            225 84764at50557         -            287   4.5e-33  113.5   0.0   1   1   2.9e-34   5.1e-33  113.3   0.0     1   219     1   225     1   225 0.83 -
84764at50557_123851_0:00190f|STRG.9628.2:249-1106|+   -            286 84764at50557         -            287   8.2e-32  109.4   0.3   1   1     6e-33     1e-31  109.0   0.3     2   221     1   216     1   235 0.84 -
84764at50557_123851_0:00190f|STRG.9628.3:108-965|+    -            286 84764at50557         -            287   8.2e-32  109.4   0.3   1   1     6e-33     1e-31  109.0   0.3     2   221     1   216     1   235 0.84 -
57980at50557_7220_0:000304|STRG.12533.1:6-854|+       -            283 84764at50557         -            287   1.1e-30  105.6   0.0   1   1   7.9e-32   1.4e-30  105.4   0.0     1   203     1   203     1   222 0.86 -
84764at50557_54969_0:0028ad|STRG.9757.1:1121-1813|+   -            231 84764at50557         -            287   2.1e-30  104.7   0.0   1   1   1.4e-31   2.4e-30  104.5   0.0     1   220     5   230     5   231 0.83 -
84764at50557_54969_0:0028ad|STRG.9757.2:1121-1813|+   -            231 84764at50557         -            287   2.1e-30  104.7   0.0   1   1   1.4e-31   2.4e-30  104.5   0.0     1   220     5   230     5   231 0.83 -
84764at50557_54969_0:0028ad|STRG.9757.3:1121-1813|+   -            231 84764at50557         -            287   2.1e-30  104.7   0.0   1   1   1.4e-31   2.4e-30  104.5   0.0     1   220     5   230     5   231 0.83 -
84764at50557_54969_0:0028ad|STRG.9757.4:1121-1813|+   -            231 84764at50557         -            287   2.1e-30  104.7   0.0   1   1   1.4e-31   2.4e-30  104.5   0.0     1   220     5   230     5   231 0.83 -
84764at50557_123851_0:00190f|STRG.9628.1:198-932|+    -            245 84764at50557         -            287   4.6e-30  103.6   0.1   1   1   3.3e-31   5.6e-30  103.3   0.1    48   221     1   175     1   195 0.87 -
57980at50557_211228_0:0018dc|STRG.18443.1:714-1517|+  -            268 84764at50557         -            287   1.4e-29  102.0   0.0   1   1     1e-30   1.8e-29  101.7   0.0     2   196    17   211    16   228 0.90 -
84764at50557_37344_0:000c86|STRG.18033.3:1645-2193|+  -            183 84764at50557         -            287   1.4e-28   98.7   0.0   1   1   8.9e-30   1.5e-28   98.6   0.0    51   219    15   183     1   183 0.84 -
84764at50557_211228_0:0017ca|STRG.8287.2:677-1189|+   -            171 84764at50557         -            287   1.9e-28   98.3   0.0   1   1   1.3e-29   2.2e-28   98.1   0.0   122   258     2   141     1   163 0.86 -
57980at50557_64459_0:000345|STRG.13569.2:940-1740|+   -            267 84764at50557         -            287   1.6e-26   92.0   0.0   1   1     1e-27   1.8e-26   91.9   0.0     8   193     3   191     1   230 0.85 -
57980at50557_110193_0:0003c9|STRG.1692.1:0-830|+      -            277 84764at50557         -            287   2.2e-26   91.5   0.0   1   1   1.5e-27   2.6e-26   91.3   0.0     2   223    23   247    22   270 0.85 -
93513at50557_7395_0:0011bf|STRG.18867.1:17-1129|+     -            371 84764at50557         -            287   3.5e-26   90.9   0.1   1   1   2.7e-27   4.6e-26   90.5   0.1     1   222    44   271    44   288 0.85 -
93513at50557_7395_0:0011bf|STRG.18867.3:17-1129|+     -            371 84764at50557         -            287   3.5e-26   90.9   0.1   1   1   2.7e-27   4.6e-26   90.5   0.1     1   222    44   271    44   288 0.85 -
84764at50557_7539_0:000ea4|STRG.576.1:1726-2685|+     -            320 84764at50557         -            287     4e-26   90.7   0.1   1   1   2.9e-27     5e-26   90.4   0.1     2   211     2   216     1   231 0.82 -
84764at50557_7539_0:000ea4|STRG.576.2:2225-3184|+     -            320 84764at50557         -            287     4e-26   90.7   0.1   1   1   2.9e-27     5e-26   90.4   0.1     2   211     2   216     1   231 0.82 -
84764at50557_7539_0:000ea4|STRG.576.3:2067-3026|+     -            320 84764at50557         -            287     4e-26   90.7   0.1   1   1   2.9e-27     5e-26   90.4   0.1     2   211     2   216     1   231 0.82 -
93513at50557_7395_0:0011bf|STRG.18867.2:17-1228|+     -            404 84764at50557         -            287   4.3e-26   90.6   0.1   1   1   3.4e-27   5.9e-26   90.1   0.1     1   222    44   271    44   288 0.85 -
58206at50557_197043_0:005f1b|STRG.16209.1:16-264|+    -             83 84764at50557         -            287   5.3e-26   90.3   0.0   1   1   3.3e-27   5.8e-26   90.2   0.0   119   202     1    83     1    83 0.96 -
58206at50557_103372_0:002486|STRG.5716.3:655-1899|+   -            415 84764at50557         -            287   2.7e-24   84.7   0.0   1   1   2.1e-25   3.5e-24   84.3   0.0     2   194    85   276    84   293 0.84 -
65033at50557_13249_0:002565|STRG.14867.1:191-964|+    -            258 84764at50557         -            287   5.3e-24   83.7   0.0   1   1   3.4e-25   5.8e-24   83.6   0.0     2   212     4   218     3   256 0.83 -
65033at50557_13249_0:002565|STRG.14867.2:191-964|+    -            258 84764at50557         -            287   5.3e-24   83.7   0.0   1   1   3.4e-25   5.8e-24   83.6   0.0     2   212     4   218     3   256 0.83 -
57980at50557_286706_0:000fec|STRG.16320.1:230-1129|+  -            300 84764at50557         -            287   6.8e-24   83.4   0.0   1   1   5.7e-25   9.8e-24   82.8   0.0     1   192     1   193     1   249 0.91 -
57980at50557_286706_0:000fec|STRG.16320.2:1948-2847|+ -            300 84764at50557         -            287   6.8e-24   83.4   0.0   1   1   5.7e-25   9.8e-24   82.8   0.0     1   192     1   193     1   249 0.91 -
57980at50557_286706_0:000fec|STRG.16320.3:453-1352|+  -            300 84764at50557         -            287   6.8e-24   83.4   0.0   1   1   5.7e-25   9.8e-24   82.8   0.0     1   192     1   193     1   249 0.91 -
57980at50557_286706_0:000fec|STRG.16320.4:200-1111|+  -            304 84764at50557         -            287   7.2e-24   83.3   0.0   1   1   5.9e-25     1e-23   82.8   0.0     1   192     1   193     1   250 0.91 -
57980at50557_286706_0:000fec|STRG.16320.5:214-1125|+  -            304 84764at50557         -            287   7.2e-24   83.3   0.0   1   1   5.9e-25     1e-23   82.8   0.0     1   192     1   193     1   250 0.91 -
57980at50557_286706_0:000fec|STRG.16320.6:405-1316|+  -            304 84764at50557         -            287   7.2e-24   83.3   0.0   1   1   5.9e-25     1e-23   82.8   0.0     1   192     1   193     1   250 0.91 -
57980at50557_286706_0:000fec|STRG.16320.7:405-1316|+  -            304 84764at50557         -            287   7.2e-24   83.3   0.0   1   1   5.9e-25     1e-23   82.8   0.0     1   192     1   193     1   250 0.91 -
57980at50557_286706_0:000fec|STRG.19298.3:33-857|+    -            275 84764at50557         -            287   8.1e-24   83.1   0.1   1   1   5.5e-25   9.5e-24   82.9   0.1     6   232    27   254    22   271 0.82 -
47at50557_34720_0:00180d|STRG.11995.4:495-11354|+     -           3620 84764at50557         -            287   1.6e-23   82.2   0.1   1   2   3.1e-15   5.4e-14   50.9   0.0    48   227  2628  2808  2598  2831 0.86 -
47at50557_34720_0:00180d|STRG.11995.4:495-11354|+     -           3620 84764at50557         -            287   1.6e-23   82.2   0.1   2   2   1.6e-08   2.8e-07   28.9   0.0     1   200  3297  3498  3297  3527 0.72 -
47at50557_34720_0:00180d|STRG.11995.2:85-11298|+      -           3738 84764at50557         -            287   1.7e-23   82.1   0.1   1   2   3.3e-15   5.6e-14   50.8   0.0    48   227  2746  2926  2716  2949 0.86 -
47at50557_34720_0:00180d|STRG.11995.2:85-11298|+      -           3738 84764at50557         -            287   1.7e-23   82.1   0.1   2   2   1.7e-08   2.9e-07   28.8   0.0     1   200  3415  3616  3415  3645 0.72 -
47at50557_34720_0:00180d|STRG.11995.3:85-11346|+      -           3754 84764at50557         -            287   1.7e-23   82.1   0.1   1   2   3.3e-15   5.6e-14   50.8   0.0    48   227  2762  2942  2732  2965 0.86 -
47at50557_34720_0:00180d|STRG.11995.3:85-11346|+      -           3754 84764at50557         -            287   1.7e-23   82.1   0.1   2   2   1.7e-08   2.9e-07   28.8   0.0     1   200  3431  3632  3431  3661 0.72 -
47at50557_34720_0:00180d|STRG.11995.1:85-11490|+      -           3802 84764at50557         -            287   1.8e-23   82.0   0.1   1   2   3.3e-15   5.7e-14   50.8   0.0    48   227  2810  2990  2780  3013 0.86 -
47at50557_34720_0:00180d|STRG.11995.1:85-11490|+      -           3802 84764at50557         -            287   1.8e-23   82.0   0.1   2   2   1.7e-08     3e-07   28.8   0.0     1   200  3479  3680  3479  3709 0.72 -
47at50557_34720_0:00180d|STRG.11995.6:163-11862|+     -           3900 84764at50557         -            287   1.9e-23   81.9   0.1   1   2   3.4e-15   5.9e-14   50.8   0.0    48   227  2908  3088  2878  3111 0.86 -
47at50557_34720_0:00180d|STRG.11995.6:163-11862|+     -           3900 84764at50557         -            287   1.9e-23   81.9   0.1   2   2   1.8e-08     3e-07   28.7   0.0     1   200  3577  3778  3577  3807 0.72 -
57980at50557_456900_0:001387|STRG.5596.3:230-1652|+   -            387 84764at50557         -            287   1.9e-23   81.9   0.0   1   1   1.7e-24     3e-23   81.3   0.0     1   225    22   257    22   300 0.80 -
65033at50557_7130_0:000ccb|STRG.13765.1:44-823|+      -            260 84764at50557         -            287   5.7e-23   80.3   0.0   1   1   4.4e-24   7.6e-23   79.9   0.0     6   197    22   216    18   235 0.83 -
57980at50557_456900_0:001387|STRG.5596.2:178-1341|+   -            388 84764at50557         -            287   6.3e-23   80.2   0.0   1   1   5.8e-24     1e-22   79.5   0.0     1   225    22   257    22   295 0.80 -
57980at50557_7070_0:001946|STRG.3967.1:113-868|+      -            252 84764at50557         -            287   6.5e-23   80.2   0.1   1   1   4.6e-24   7.9e-23   79.9   0.1     6   206     3   207     2   245 0.78 -
57980at50557_7070_0:001946|STRG.3967.2:1614-2396|+    -            261 84764at50557         -            287   7.2e-23   80.0   0.1   1   1   5.1e-24   8.8e-23   79.7   0.1     6   206     3   207     2   246 0.78 -
57980at50557_456900_0:001387|STRG.5596.1:178-1425|+   -            416 84764at50557         -            287   8.2e-23   79.8   0.0   1   1   8.1e-24   1.4e-22   79.1   0.0     1   224    22   256    22   266 0.78 -
84764at50557_41427_0:0022ec|STRG.19629.2:816-2408|+   -            531 84764at50557         -            287   1.2e-22   79.3   0.0   1   2   5.5e-10   9.5e-09   33.7   0.0   108   206     9   115     1   146 0.76 -
84764at50557_41427_0:0022ec|STRG.19629.2:816-2408|+   -            531 84764at50557         -            287   1.2e-22   79.3   0.0   2   2   6.9e-13   1.2e-11   43.2   0.0     9   192   289   466   286   476 0.76 -
17813at50557_378494_0:006207|STRG.17080.1:572-1192|+  -            207 84764at50557         -            287   1.4e-22   79.1   0.1   1   1   9.4e-24   1.6e-22   78.9   0.1     4   191     8   200     5   205 0.86 -
17813at50557_378494_0:006207|STRG.17080.2:572-1192|+  -            207 84764at50557         -            287   1.4e-22   79.1   0.1   1   1   9.4e-24   1.6e-22   78.9   0.1     4   191     8   200     5   205 0.86 -
17813at50557_378494_0:006207|STRG.17080.3:572-1192|+  -            207 84764at50557         -            287   1.4e-22   79.1   0.1   1   1   9.4e-24   1.6e-22   78.9   0.1     4   191     8   200     5   205 0.86 -
57980at50557_7536_0:003723|STRG.6244.1:805-1617|+     -            271 84764at50557         -            287   1.5e-22   79.0   0.0   1   1   1.2e-23     2e-22   78.5   0.0     2   191     2   204     1   212 0.85 -
57980at50557_69319_0:002e57|STRG.7988.1:338-1147|+    -            270 84764at50557         -            287   1.5e-22   78.9   0.0   1   1   1.2e-23     2e-22   78.6   0.0     1   199     1   206     1   212 0.86 -
84269at50557_108931_0:00068a|STRG.18472.1:353-1144|+  -            264 84764at50557         -            287     2e-22   78.6   0.0   1   1   1.4e-23   2.4e-22   78.3   0.0     4   213    10   221     7   254 0.79 -
17813at50557_378494_0:006207|STRG.18531.1:684-1328|+  -            215 84764at50557         -            287     3e-22   78.0   0.1   1   1     2e-23   3.4e-22   77.8   0.1     1   191    22   209    22   214 0.86 -
65033at50557_136037_0:0017d6|STRG.14560.1:1045-1890|+ -            282 84764at50557         -            287   3.2e-22   77.9   0.0   1   1   2.4e-23     4e-22   77.6   0.0    46   193    63   214     3   230 0.80 -
65033at50557_136037_0:0017d6|STRG.14560.2:1242-2087|+ -            282 84764at50557         -            287   3.2e-22   77.9   0.0   1   1   2.4e-23     4e-22   77.6   0.0    46   193    63   214     3   230 0.80 -
57980at50557_286706_0:000fec|STRG.18969.1:112-879|+   -            256 84764at50557         -            287   3.6e-22   77.7   0.0   1   1   2.5e-23   4.3e-22   77.5   0.0     6   211     5   213     1   222 0.85 -
57980at50557_286706_0:000fec|STRG.18969.2:552-1319|+  -            256 84764at50557         -            287   3.6e-22   77.7   0.0   1   1   2.5e-23   4.3e-22   77.5   0.0     6   211     5   213     1   222 0.85 -
57980at50557_286706_0:000fec|STRG.18969.3:112-879|+   -            256 84764at50557         -            287   3.6e-22   77.7   0.0   1   1   2.5e-23   4.3e-22   77.5   0.0     6   211     5   213     1   222 0.85 -
57980at50557_286706_0:000fec|STRG.18969.4:112-879|+   -            256 84764at50557         -            287   3.6e-22   77.7   0.0   1   1   2.5e-23   4.3e-22   77.5   0.0     6   211     5   213     1   222 0.85 -
57980at50557_1629725_0:000be4|STRG.8778.1:480-1310|+  -            277 84764at50557         -            287   1.5e-21   75.7   0.0   1   1   1.2e-22     2e-21   75.3   0.0    17   205    24   223    11   235 0.77 -
57980at50557_7038_0:000334|STRG.4250.1:1226-1999|+    -            258 84764at50557         -            287   2.5e-21   74.9   0.0   1   1   1.6e-22   2.8e-21   74.8   0.0     7   211     6   213     1   250 0.78 -
57980at50557_7038_0:000334|STRG.4250.2:984-1757|+     -            258 84764at50557         -            287   2.5e-21   74.9   0.0   1   1   1.6e-22   2.8e-21   74.8   0.0     7   211     6   213     1   250 0.78 -
57980at50557_7038_0:000334|STRG.4250.3:1620-2393|+    -            258 84764at50557         -            287   2.5e-21   74.9   0.0   1   1   1.6e-22   2.8e-21   74.8   0.0     7   211     6   213     1   250 0.78 -
65033at50557_7038_0:001d12|STRG.10977.9:45-812|+      -            256 84764at50557         -            287   4.6e-21   74.1   0.1   1   1   3.3e-22   5.7e-21   73.8   0.1     8   193    10   197     3   207 0.80 -
65033at50557_13686_0:0008e0|STRG.14176.1:93-1385|+    -            431 84764at50557         -            287   4.6e-21   74.1   0.0   1   1   3.9e-22   6.7e-21   73.6   0.0     2   190    67   265    66   288 0.82 -
65033at50557_13686_0:0008e0|STRG.14176.2:93-1396|+    -            431 84764at50557         -            287   4.6e-21   74.1   0.0   1   1   3.9e-22   6.7e-21   73.6   0.0     2   190    67   265    66   288 0.82 -
65033at50557_35570_0:001139|STRG.10977.1:465-1286|+   -            274 84764at50557         -            287   5.5e-21   73.8   0.1   1   1   4.1e-22   7.1e-21   73.5   0.1     8   193    28   215    21   225 0.80 -
65033at50557_35570_0:001139|STRG.10977.2:232-1053|+   -            274 84764at50557         -            287   5.5e-21   73.8   0.1   1   1   4.1e-22   7.1e-21   73.5   0.1     8   193    28   215    21   225 0.80 -
65033at50557_35570_0:001139|STRG.10977.4:468-1289|+   -            274 84764at50557         -            287   5.5e-21   73.8   0.1   1   1   4.1e-22   7.1e-21   73.5   0.1     8   193    28   215    21   225 0.80 -
65033at50557_35570_0:001139|STRG.10977.5:229-1050|+   -            274 84764at50557         -            287   5.5e-21   73.8   0.1   1   1   4.1e-22   7.1e-21   73.5   0.1     8   193    28   215    21   225 0.80 -
65033at50557_35570_0:001139|STRG.10977.8:629-1450|+   -            274 84764at50557         -            287   5.5e-21   73.8   0.1   1   1   4.1e-22   7.1e-21   73.5   0.1     8   193    28   215    21   225 0.80 -
65033at50557_35570_0:001139|STRG.10977.3:611-1453|+   -            281 84764at50557         -            287   5.9e-21   73.7   0.1   1   1   4.5e-22   7.7e-21   73.4   0.1     8   193    35   222    28   232 0.80 -
65033at50557_39758_0:002fd0|STRG.10977.6:668-1579|+   -            304 84764at50557         -            287   7.3e-21   73.4   0.1   1   1   5.6e-22   9.7e-21   73.0   0.1     8   193    59   246    52   256 0.80 -
65033at50557_39758_0:002fd0|STRG.10977.7:668-1582|+   -            305 84764at50557         -            287   7.4e-21   73.4   0.1   1   1   5.7e-22   9.8e-21   73.0   0.1     8   193    60   247    53   257 0.80 -
