#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
135254at50557_103372_0:002a85|STRG.656.1:9-383|+       -            125 135254at50557        -            104   1.2e-58  194.6   1.6   1   1   7.6e-61   1.4e-58  194.4   1.6     1   104     7   120     7   120 0.92 -
101501at50557_34720_0:0002e2|STRG.1408.4:0-2342|+      -            781 135254at50557        -            104   0.00053   19.0   8.2   1   3       8.1   1.5e+03   -1.7   0.0    11    65    44   102    38   109 0.66 -
101501at50557_34720_0:0002e2|STRG.1408.4:0-2342|+      -            781 135254at50557        -            104   0.00053   19.0   8.2   2   3     6e-05     0.011   14.8   0.1    15   100   191   281   176   285 0.81 -
101501at50557_34720_0:0002e2|STRG.1408.4:0-2342|+      -            781 135254at50557        -            104   0.00053   19.0   8.2   3   3     0.011       1.9    7.6   0.0    10    66   383   447   375   477 0.69 -
129956at50557_441921_0:0017da|STRG.6134.2:155-397|+    -             81 135254at50557        -            104   0.00073   18.6   0.0   1   1   4.5e-06   0.00083   18.4   0.0    17    76    15    75     7    80 0.82 -
129956at50557_441921_0:0017da|STRG.6134.3:155-397|+    -             81 135254at50557        -            104   0.00073   18.6   0.0   1   1   4.5e-06   0.00083   18.4   0.0    17    76    15    75     7    80 0.82 -
129956at50557_441921_0:0017da|STRG.6134.4:155-397|+    -             81 135254at50557        -            104   0.00073   18.6   0.0   1   1   4.5e-06   0.00083   18.4   0.0    17    76    15    75     7    80 0.82 -
129956at50557_441921_0:0017da|STRG.6134.5:155-397|+    -             81 135254at50557        -            104   0.00073   18.6   0.0   1   1   4.5e-06   0.00083   18.4   0.0    17    76    15    75     7    80 0.82 -
129956at50557_441921_0:0017da|STRG.6134.6:155-397|+    -             81 135254at50557        -            104   0.00073   18.6   0.0   1   1   4.5e-06   0.00083   18.4   0.0    17    76    15    75     7    80 0.82 -
129956at50557_441921_0:0017da|STRG.6134.8:155-397|+    -             81 135254at50557        -            104   0.00073   18.6   0.0   1   1   4.5e-06   0.00083   18.4   0.0    17    76    15    75     7    80 0.82 -
129956at50557_441921_0:0017da|STRG.6134.9:155-397|+    -             81 135254at50557        -            104   0.00073   18.6   0.0   1   1   4.5e-06   0.00083   18.4   0.0    17    76    15    75     7    80 0.82 -
129956at50557_34720_0:00189a|STRG.11550.1:2-490|+      -            136 135254at50557        -            104     0.001   18.1   0.1   1   1   8.4e-06    0.0015   17.5   0.1    25    94    48   117    27   126 0.73 -
129956at50557_7160_0:003f5c|STRG.19976.1:551-763|+     -             71 135254at50557        -            104    0.0017   17.4   0.0   1   1     1e-05    0.0019   17.3   0.0    26    77    12    66     4    70 0.80 -
129956at50557_7160_0:003f5c|STRG.19976.2:551-763|+     -             71 135254at50557        -            104    0.0017   17.4   0.0   1   1     1e-05    0.0019   17.3   0.0    26    77    12    66     4    70 0.80 -
129956at50557_441921_0:0017da|STRG.8491.1:15-239|+     -             75 135254at50557        -            104    0.0033   16.4   0.0   1   1   2.1e-05    0.0039   16.2   0.0    23    78    18    71     5    74 0.87 -
117816at50557_7200_0:000429|STRG.19231.2:758-1270|+    -            171 135254at50557        -            104    0.0092   15.0   0.0   1   2    0.0017      0.31   10.1   0.0    27    86     9    68     4    79 0.86 -
117816at50557_7200_0:000429|STRG.19231.2:758-1270|+    -            171 135254at50557        -            104    0.0092   15.0   0.0   2   2      0.26        48    3.1   0.0    27    71    92   139    74   141 0.67 -
101501at50557_1218281_0:0033ae|STRG.16605.1:185-403|+  -             73 135254at50557        -            104     0.012   14.6   0.0   1   1   6.5e-05     0.012   14.6   0.0    28    72    15    59     1    71 0.79 -
101501at50557_1218281_0:0033ae|STRG.16605.2:185-403|+  -             73 135254at50557        -            104     0.012   14.6   0.0   1   1   6.5e-05     0.012   14.6   0.0    28    72    15    59     1    71 0.79 -
129956at50557_441921_0:0017da|STRG.7379.1:1207-1437|+  -             77 135254at50557        -            104     0.013   14.5   0.0   1   1   7.3e-05     0.013   14.5   0.0    26    74    14    64     1    72 0.75 -
129956at50557_441921_0:0017da|STRG.7378.1:579-809|+    -             77 135254at50557        -            104     0.015   14.3   0.0   1   1   8.4e-05     0.015   14.3   0.0    26    74    14    64     1    72 0.76 -
117816at50557_121225_0:000cee|STRG.487.1:257-760|+     -            168 135254at50557        -            104     0.016   14.3   0.0   1   1    0.0002     0.036   13.1   0.0    17    83    94   167    78   168 0.73 -
117816at50557_121225_0:000cee|STRG.487.2:27-530|+      -            168 135254at50557        -            104     0.016   14.3   0.0   1   1    0.0002     0.036   13.1   0.0    17    83    94   167    78   168 0.73 -
117816at50557_123851_0:00306e|STRG.19231.3:1430-2038|+ -            203 135254at50557        -            104     0.017   14.1   0.0   1   2    0.0024      0.44    9.6   0.0    27    86     9    68     4    79 0.86 -
117816at50557_123851_0:00306e|STRG.19231.3:1430-2038|+ -            203 135254at50557        -            104     0.017   14.1   0.0   2   2       0.4        74    2.5   0.0    27    71    92   139    76   141 0.66 -
129956at50557_7425_0:001fb1|STRG.11307.2:798-1040|+    -             81 135254at50557        -            104     0.037   13.1   0.0   1   1   0.00024     0.044   12.8   0.0    26    81    17    72     7    77 0.89 -
129956at50557_7425_0:001fb1|STRG.11307.3:810-1052|+    -             81 135254at50557        -            104     0.037   13.1   0.0   1   1   0.00024     0.044   12.8   0.0    26    81    17    72     7    77 0.89 -
129956at50557_37344_0:0029cb|STRG.1794.2:309-551|+     -             81 135254at50557        -            104     0.037   13.1   0.0   1   1   0.00022      0.04   13.0   0.0    27    81    18    72     2    80 0.74 -
104832at50557_315563_0:002a5b|STRG.3804.1:1238-1861|+  -            208 135254at50557        -            104     0.049   12.7   0.0   1   2     0.039       7.2    5.7   0.0    10    67    50   110    44   122 0.81 -
104832at50557_315563_0:002a5b|STRG.3804.1:1238-1861|+  -            208 135254at50557        -            104     0.049   12.7   0.0   2   2     0.071        13    4.9   0.0    33    81   155   200   143   205 0.77 -
104832at50557_315563_0:002a5b|STRG.3804.3:1238-1861|+  -            208 135254at50557        -            104     0.049   12.7   0.0   1   2     0.039       7.2    5.7   0.0    10    67    50   110    44   122 0.81 -
104832at50557_315563_0:002a5b|STRG.3804.3:1238-1861|+  -            208 135254at50557        -            104     0.049   12.7   0.0   2   2     0.071        13    4.9   0.0    33    81   155   200   143   205 0.77 -
104832at50557_315563_0:002a5b|STRG.3804.4:1238-1861|+  -            208 135254at50557        -            104     0.049   12.7   0.0   1   2     0.039       7.2    5.7   0.0    10    67    50   110    44   122 0.81 -
104832at50557_315563_0:002a5b|STRG.3804.4:1238-1861|+  -            208 135254at50557        -            104     0.049   12.7   0.0   2   2     0.071        13    4.9   0.0    33    81   155   200   143   205 0.77 -
104832at50557_315563_0:002a5b|STRG.3804.5:1290-1913|+  -            208 135254at50557        -            104     0.049   12.7   0.0   1   2     0.039       7.2    5.7   0.0    10    67    50   110    44   122 0.81 -
104832at50557_315563_0:002a5b|STRG.3804.5:1290-1913|+  -            208 135254at50557        -            104     0.049   12.7   0.0   2   2     0.071        13    4.9   0.0    33    81   155   200   143   205 0.77 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/135254at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/135254at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/135254at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:52:54 2024
# [ok]
