#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
35897at50557_34720_0:0012e8|STRG.9199.1:0-2072|+      -            691 35897at50557         -            554    1e-229  762.4  15.1   1   1  3.9e-232  2.1e-229  761.4  15.1     4   554    73   685    68   685 0.90 -
35897at50557_136037_0:00227d|STRG.12543.4:777-2273|+  -            499 35897at50557         -            554     1e-14   52.7  17.2   5   5   2.5e-05     0.013   12.7   0.1   272   344   421   498   391   499 0.78 -
35897at50557_136037_0:00227d|STRG.12543.5:730-2226|+  -            499 35897at50557         -            554     1e-14   52.7  17.2   1   5   1.7e-05    0.0092   13.2   0.4   281   346    25    94     1   105 0.69 -
35897at50557_136037_0:00227d|STRG.12543.5:730-2226|+  -            499 35897at50557         -            554     1e-14   52.7  17.2   2   5   2.5e-06    0.0013   16.0   0.6   250   359   118   235   114   244 0.77 -
35897at50557_136037_0:00227d|STRG.12543.5:730-2226|+  -            499 35897at50557         -            554     1e-14   52.7  17.2   3   5   0.00069      0.37    8.0   0.9   291   343   242   298   237   303 0.84 -
35897at50557_136037_0:00227d|STRG.12543.5:730-2226|+  -            499 35897at50557         -            554     1e-14   52.7  17.2   4   5   8.1e-05     0.043   11.0   0.0   246   308   326   390   321   398 0.71 -
35897at50557_136037_0:00227d|STRG.12543.5:730-2226|+  -            499 35897at50557         -            554     1e-14   52.7  17.2   5   5   2.5e-05     0.013   12.7   0.1   272   344   421   498   391   499 0.78 -
35897at50557_136037_0:00227d|STRG.12543.6:483-1979|+  -            499 35897at50557         -            554     1e-14   52.7  17.2   1   5   1.7e-05    0.0092   13.2   0.4   281   346    25    94     1   105 0.69 -
35897at50557_136037_0:00227d|STRG.12543.6:483-1979|+  -            499 35897at50557         -            554     1e-14   52.7  17.2   2   5   2.5e-06    0.0013   16.0   0.6   250   359   118   235   114   244 0.77 -
35897at50557_136037_0:00227d|STRG.12543.6:483-1979|+  -            499 35897at50557         -            554     1e-14   52.7  17.2   3   5   0.00069      0.37    8.0   0.9   291   343   242   298   237   303 0.84 -
35897at50557_136037_0:00227d|STRG.12543.6:483-1979|+  -            499 35897at50557         -            554     1e-14   52.7  17.2   4   5   8.1e-05     0.043   11.0   0.0   246   308   326   390   321   398 0.71 -
35897at50557_136037_0:00227d|STRG.12543.6:483-1979|+  -            499 35897at50557         -            554     1e-14   52.7  17.2   5   5   2.5e-05     0.013   12.7   0.1   272   344   421   498   391   499 0.78 -
35897at50557_29031_0:00079e|STRG.1830.1:2672-4090|+   -            473 35897at50557         -            554   1.7e-13   48.6   0.2   1   3    0.0009      0.48    7.6   0.0   304   357    51   110    35   119 0.52 -
35897at50557_29031_0:00079e|STRG.1830.1:2672-4090|+   -            473 35897at50557         -            554   1.7e-13   48.6   0.2   2   3     4e-08   2.1e-05   22.0   0.0    48   110   118   181   113   264 0.88 -
35897at50557_29031_0:00079e|STRG.1830.1:2672-4090|+   -            473 35897at50557         -            554   1.7e-13   48.6   0.2   3   3   3.1e-06    0.0016   15.7   0.1   258   342   338   431   328   437 0.79 -
35897at50557_29031_0:00079e|STRG.1830.2:2672-4090|+   -            473 35897at50557         -            554   1.7e-13   48.6   0.2   1   3    0.0009      0.48    7.6   0.0   304   357    51   110    35   119 0.52 -
35897at50557_29031_0:00079e|STRG.1830.2:2672-4090|+   -            473 35897at50557         -            554   1.7e-13   48.6   0.2   2   3     4e-08   2.1e-05   22.0   0.0    48   110   118   181   113   264 0.88 -
35897at50557_29031_0:00079e|STRG.1830.2:2672-4090|+   -            473 35897at50557         -            554   1.7e-13   48.6   0.2   3   3   3.1e-06    0.0016   15.7   0.1   258   342   338   431   328   437 0.79 -
35897at50557_29031_0:00079e|STRG.1830.4:2672-4090|+   -            473 35897at50557         -            554   1.7e-13   48.6   0.2   1   3    0.0009      0.48    7.6   0.0   304   357    51   110    35   119 0.52 -
35897at50557_29031_0:00079e|STRG.1830.4:2672-4090|+   -            473 35897at50557         -            554   1.7e-13   48.6   0.2   2   3     4e-08   2.1e-05   22.0   0.0    48   110   118   181   113   264 0.88 -
35897at50557_29031_0:00079e|STRG.1830.4:2672-4090|+   -            473 35897at50557         -            554   1.7e-13   48.6   0.2   3   3   3.1e-06    0.0016   15.7   0.1   258   342   338   431   328   437 0.79 -
35897at50557_29031_0:00079e|STRG.1830.5:2672-4090|+   -            473 35897at50557         -            554   1.7e-13   48.6   0.2   1   3    0.0009      0.48    7.6   0.0   304   357    51   110    35   119 0.52 -
35897at50557_29031_0:00079e|STRG.1830.5:2672-4090|+   -            473 35897at50557         -            554   1.7e-13   48.6   0.2   2   3     4e-08   2.1e-05   22.0   0.0    48   110   118   181   113   264 0.88 -
35897at50557_29031_0:00079e|STRG.1830.5:2672-4090|+   -            473 35897at50557         -            554   1.7e-13   48.6   0.2   3   3   3.1e-06    0.0016   15.7   0.1   258   342   338   431   328   437 0.79 -
6568at50557_28588_0:002ef2|STRG.3467.1:280-2433|+     -            718 35897at50557         -            554    0.0037   14.5   0.2   1   3   0.00014     0.074   10.2   0.0   272   341    44   113    36   122 0.91 -
6568at50557_28588_0:002ef2|STRG.3467.1:280-2433|+     -            718 35897at50557         -            554    0.0037   14.5   0.2   2   3      0.23   1.2e+02   -0.4   0.0   294   327   153   186   144   207 0.79 -
6568at50557_28588_0:002ef2|STRG.3467.1:280-2433|+     -            718 35897at50557         -            554    0.0037   14.5   0.2   3   3       0.3   1.6e+02   -0.8   0.1   411   434   440   463   376   469 0.81 -
6568at50557_28588_0:002ef2|STRG.3467.2:126-2279|+     -            718 35897at50557         -            554    0.0037   14.5   0.2   1   3   0.00014     0.074   10.2   0.0   272   341    44   113    36   122 0.91 -
6568at50557_28588_0:002ef2|STRG.3467.2:126-2279|+     -            718 35897at50557         -            554    0.0037   14.5   0.2   2   3      0.23   1.2e+02   -0.4   0.0   294   327   153   186   144   207 0.79 -
6568at50557_28588_0:002ef2|STRG.3467.2:126-2279|+     -            718 35897at50557         -            554    0.0037   14.5   0.2   3   3       0.3   1.6e+02   -0.8   0.1   411   434   440   463   376   469 0.81 -
55950at50557_307658_0:002463|STRG.2303.1:188-1932|+   -            578 35897at50557         -            554      0.09   10.0   3.8   1   2   0.00026      0.14    9.4   0.9   102   368   170   243   143   250 0.58 -
55950at50557_307658_0:002463|STRG.2303.1:188-1932|+   -            578 35897at50557         -            554      0.09   10.0   3.8   2   2      0.11        58    0.7   0.1   314   364   341   391   329   398 0.67 -
55950at50557_307658_0:002463|STRG.2303.2:74-1807|+    -            578 35897at50557         -            554      0.09   10.0   3.8   1   2   0.00026      0.14    9.4   0.9   102   368   170   243   143   250 0.58 -
55950at50557_307658_0:002463|STRG.2303.2:74-1807|+    -            578 35897at50557         -            554      0.09   10.0   3.8   2   2      0.11        58    0.7   0.1   314   364   341   391   329   398 0.67 -
55950at50557_307658_0:002463|STRG.2303.3:0-1733|+     -            578 35897at50557         -            554      0.09   10.0   3.8   1   2   0.00026      0.14    9.4   0.9   102   368   170   243   143   250 0.58 -
55950at50557_307658_0:002463|STRG.2303.3:0-1733|+     -            578 35897at50557         -            554      0.09   10.0   3.8   2   2      0.11        58    0.7   0.1   314   364   341   391   329   398 0.67 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/35897at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/35897at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/35897at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:54:32 2024
# [ok]
