#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
15573at50557_103372_0:00195a|STRG.6019.1:0-1781|+      -            594 15573at50557         -            318  8.8e-140  464.3  11.3   1   1  1.7e-139  3.1e-137  456.0  11.3     1   318   126   527   126   527 0.88 -
15573at50557_1155016_0:00335e|STRG.2197.1:2722-3075|+  -            118 15573at50557         -            318   2.9e-12   45.4   0.0   1   1   2.9e-14   5.2e-12   44.5   0.0   163   263     1   118     1   118 0.75 -
15573at50557_42026_0:0003ae|STRG.13000.1:1313-1642|+   -            110 15573at50557         -            318   2.1e-11   42.5   0.0   1   1   1.4e-13   2.5e-11   42.3   0.0   162   260     2   110     1   110 0.79 -
15573at50557_7536_0:003fbe|STRG.7786.1:3034-3315|+     -             94 15573at50557         -            318   4.1e-11   41.6   0.0   1   1   2.4e-13   4.3e-11   41.5   0.0   220   296     1    79     1    92 0.87 -
15573at50557_7536_0:003fbe|STRG.7786.3:2459-2740|+     -             94 15573at50557         -            318   4.1e-11   41.6   0.0   1   1   2.4e-13   4.3e-11   41.5   0.0   220   296     1    79     1    92 0.87 -
15573at50557_7536_0:003fbe|STRG.7786.4:1815-2096|+     -             94 15573at50557         -            318   4.1e-11   41.6   0.0   1   1   2.4e-13   4.3e-11   41.5   0.0   220   296     1    79     1    92 0.87 -
80623at50557_34720_0:000aaf|STRG.5197.1:422-3016|+     -            865 15573at50557         -            318   4.6e-11   41.4   0.1   1   1     7e-13   1.3e-10   40.0   0.1   137   297    63   243    46   263 0.76 -
80623at50557_34720_0:000aaf|STRG.5197.2:0-2699|+       -            900 15573at50557         -            318   4.9e-11   41.3   0.1   1   1   7.5e-13   1.4e-10   39.9   0.1   137   297    63   243    46   263 0.76 -
80623at50557_168631_0:001146|STRG.6052.1:4375-4629|+   -             85 15573at50557         -            318   1.3e-10   40.0   0.1   1   1   7.1e-13   1.3e-10   40.0   0.1   236   293     1    59     1    83 0.88 -
80623at50557_168631_0:001146|STRG.6052.2:4042-4296|+   -             85 15573at50557         -            318   1.3e-10   40.0   0.1   1   1   7.1e-13   1.3e-10   40.0   0.1   236   293     1    59     1    83 0.88 -
80623at50557_168631_0:001146|STRG.6052.3:4090-4344|+   -             85 15573at50557         -            318   1.3e-10   40.0   0.1   1   1   7.1e-13   1.3e-10   40.0   0.1   236   293     1    59     1    83 0.88 -
20997at50557_319348_0:0039e8|STRG.14062.2:878-1414|+   -            179 15573at50557         -            318   1.8e-10   39.5   0.0   1   1   1.7e-12     3e-10   38.7   0.0   172   290     1   142     1   175 0.72 -
20997at50557_319348_0:0039e8|STRG.14062.3:2556-3092|+  -            179 15573at50557         -            318   1.8e-10   39.5   0.0   1   1   1.7e-12     3e-10   38.7   0.0   172   290     1   142     1   175 0.72 -
20997at50557_319348_0:0039e8|STRG.14062.4:738-1274|+   -            179 15573at50557         -            318   1.8e-10   39.5   0.0   1   1   1.7e-12     3e-10   38.7   0.0   172   290     1   142     1   175 0.72 -
80623at50557_197043_0:007fc2|STRG.13056.3:1852-2238|+  -            129 15573at50557         -            318   6.7e-09   34.3   1.3   1   1     4e-11   7.2e-09   34.2   1.3   206   317     4   127     1   128 0.73 -
20997at50557_411798_0:002eb2|STRG.1266.1:491-4099|+    -           1203 15573at50557         -            318   8.1e-08   30.7   3.0   1   2       1.8   3.2e+02   -0.8   2.7    40    83   520   563   511   584 0.78 -
20997at50557_411798_0:002eb2|STRG.1266.1:491-4099|+    -           1203 15573at50557         -            318   8.1e-08   30.7   3.0   2   2   1.3e-09   2.3e-07   29.3   0.0   199   300  1071  1178  1011  1196 0.73 -
20997at50557_411798_0:002eb2|STRG.1266.2:81-3828|+     -           1122 15573at50557         -            318   9.7e-08   30.5   3.4   1   2       2.3   4.1e+02   -1.1   3.1    40    83   439   482   432   503 0.78 -
20997at50557_411798_0:002eb2|STRG.1266.2:81-3828|+     -           1122 15573at50557         -            318   9.7e-08   30.5   3.4   2   2   1.2e-09   2.1e-07   29.4   0.0   199   300   990  1097   930  1115 0.73 -
15573at50557_7536_0:003fbe|STRG.7786.5:1827-2039|+     -             71 15573at50557         -            318   3.2e-05   22.2   0.0   1   1   1.8e-07   3.2e-05   22.2   0.0   253   296    12    56     5    70 0.77 -
19423at50557_144034_0:001c3e|STRG.18685.1:915-3827|+   -            971 15573at50557         -            318   0.00089   17.5   3.9   1   2     0.018       3.2    5.8   1.6     2    71   190   270   189   276 0.75 -
19423at50557_144034_0:001c3e|STRG.18685.1:915-3827|+   -            971 15573at50557         -            318   0.00089   17.5   3.9   2   2   0.00039      0.07   11.2   0.0   101   145   347   393   310   406 0.83 -
19423at50557_144034_0:001c3e|STRG.18685.2:0-3008|+     -           1003 15573at50557         -            318   0.00097   17.3   3.9   1   2     0.019       3.4    5.7   1.6     2    71   190   270   189   276 0.75 -
19423at50557_144034_0:001c3e|STRG.18685.2:0-3008|+     -           1003 15573at50557         -            318   0.00097   17.3   3.9   2   2    0.0004     0.073   11.2   0.0   101   145   347   393   310   406 0.83 -
15573at50557_77166_0:001be9|STRG.7864.1:291-797|+      -            169 15573at50557         -            318     0.015   13.4   0.0   1   1   0.00014     0.025   12.7   0.0     5    69    68   143    64   152 0.66 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/15573at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/15573at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/15573at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:53:15 2024
# [ok]
