#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
31374at50557_103372_0:0017b9|STRG.19481.1:100-2055|+   -            652 31374at50557         -            569  3.8e-290  962.0  17.0   1   1  3.4e-290  9.2e-289  957.5  17.0     1   569     4   647     4   647 0.94 -
33043at50557_103372_0:000263|STRG.15997.2:192-2916|+   -            797 31374at50557         -            569   4.4e-50  169.5  10.8   1   3   2.4e-20   6.6e-19   66.5   0.7   334   486    93   246    79   274 0.81 -
33043at50557_103372_0:000263|STRG.15997.2:192-2916|+   -            797 31374at50557         -            569   4.4e-50  169.5  10.8   2   3   3.7e-14     1e-12   46.1   0.3   336   473   372   525   350   525 0.80 -
33043at50557_103372_0:000263|STRG.15997.2:192-2916|+   -            797 31374at50557         -            569   4.4e-50  169.5  10.8   3   3   3.9e-20   1.1e-18   65.8   0.2   343   464   521   642   513   663 0.94 -
33043at50557_103372_0:000263|STRG.15997.3:192-2943|+   -            797 31374at50557         -            569   4.4e-50  169.5  10.8   1   3   2.4e-20   6.6e-19   66.5   0.7   334   486    93   246    79   274 0.81 -
33043at50557_103372_0:000263|STRG.15997.3:192-2943|+   -            797 31374at50557         -            569   4.4e-50  169.5  10.8   2   3   3.7e-14     1e-12   46.1   0.3   336   473   372   525   350   525 0.80 -
33043at50557_103372_0:000263|STRG.15997.3:192-2943|+   -            797 31374at50557         -            569   4.4e-50  169.5  10.8   3   3   3.9e-20   1.1e-18   65.8   0.2   343   464   521   642   513   663 0.94 -
40115at50557_156304_0:001c45|STRG.9047.1:153-1079|+    -            309 31374at50557         -            569   4.9e-50  169.3   3.3   1   3   1.1e-24   3.1e-23   80.8   0.5   342   473    15   146     1   150 0.94 -
40115at50557_156304_0:001c45|STRG.9047.1:153-1079|+    -            309 31374at50557         -            569   4.9e-50  169.3   3.3   2   3   2.3e-25   6.3e-24   83.1   0.1   341   476   140   275   132   276 0.95 -
40115at50557_156304_0:001c45|STRG.9047.1:153-1079|+    -            309 31374at50557         -            569   4.9e-50  169.3   3.3   3   3    0.0014     0.039   11.1   0.0   503   532   271   300   270   304 0.89 -
40115at50557_156304_0:001c45|STRG.9047.3:195-1121|+    -            309 31374at50557         -            569   4.9e-50  169.3   3.3   1   3   1.1e-24   3.1e-23   80.8   0.5   342   473    15   146     1   150 0.94 -
40115at50557_156304_0:001c45|STRG.9047.3:195-1121|+    -            309 31374at50557         -            569   4.9e-50  169.3   3.3   2   3   2.3e-25   6.3e-24   83.1   0.1   341   476   140   275   132   276 0.95 -
40115at50557_156304_0:001c45|STRG.9047.3:195-1121|+    -            309 31374at50557         -            569   4.9e-50  169.3   3.3   3   3    0.0014     0.039   11.1   0.0   503   532   271   300   270   304 0.89 -
40115at50557_103372_0:0021d6|STRG.8786.11:187-1702|+   -            481 31374at50557         -            569     6e-47  159.1   8.3   1   4   5.5e-14   1.5e-12   45.5   0.9   342   473   115   205   106   219 0.54 -
40115at50557_103372_0:0021d6|STRG.8786.11:187-1702|+   -            481 31374at50557         -            569     6e-47  159.1   8.3   2   4   8.1e-15   2.2e-13   48.3   0.4   399   539   220   360   203   364 0.88 -
40115at50557_103372_0:0021d6|STRG.8786.11:187-1702|+   -            481 31374at50557         -            569     6e-47  159.1   8.3   3   4   1.8e-07   4.9e-06   24.0   0.0   362   419   340   398   333   403 0.77 -
40115at50557_103372_0:0021d6|STRG.8786.11:187-1702|+   -            481 31374at50557         -            569     6e-47  159.1   8.3   4   4     1e-14   2.8e-13   47.9   0.1   342   417   405   480   400   481 0.97 -
40115at50557_103372_0:0021d6|STRG.8786.9:0-1442|+      -            481 31374at50557         -            569   8.1e-47  158.7   8.0   1   4   6.7e-14   1.8e-12   45.3   0.6   341   434   114   208   105   221 0.63 -
40115at50557_103372_0:0021d6|STRG.8786.9:0-1442|+      -            481 31374at50557         -            569   8.1e-47  158.7   8.0   2   4   1.3e-14   3.7e-13   47.6   0.1   399   537   220   358   216   361 0.88 -
40115at50557_103372_0:0021d6|STRG.8786.9:0-1442|+      -            481 31374at50557         -            569   8.1e-47  158.7   8.0   3   4   1.6e-07   4.4e-06   24.2   0.0   362   419   340   398   330   404 0.77 -
40115at50557_103372_0:0021d6|STRG.8786.9:0-1442|+      -            481 31374at50557         -            569   8.1e-47  158.7   8.0   4   4     1e-14   2.8e-13   47.9   0.1   342   417   405   480   400   481 0.97 -
40115at50557_103372_0:0021d6|STRG.8786.1:1-1233|+      -            411 31374at50557         -            569   1.6e-45  154.4   6.7   1   4   6.3e-14   1.7e-12   45.3   0.8   341   434    45   139    37   150 0.62 -
40115at50557_103372_0:0021d6|STRG.8786.1:1-1233|+      -            411 31374at50557         -            569   1.6e-45  154.4   6.7   2   4   7.2e-15     2e-13   48.5   0.1   399   538   151   290   147   294 0.88 -
40115at50557_103372_0:0021d6|STRG.8786.1:1-1233|+      -            411 31374at50557         -            569   1.6e-45  154.4   6.7   3   4   1.3e-07   3.7e-06   24.5   0.0   362   419   271   329   260   334 0.78 -
40115at50557_103372_0:0021d6|STRG.8786.1:1-1233|+      -            411 31374at50557         -            569   1.6e-45  154.4   6.7   4   4     1e-12   2.8e-11   41.4   0.1   342   415   336   409   328   411 0.96 -
40115at50557_103372_0:0021d6|STRG.8786.10:187-1692|+   -            463 31374at50557         -            569   2.3e-45  153.9   9.6   1   4   1.7e-12   4.8e-11   40.6   1.7   340   418   113   191   103   197 0.94 -
40115at50557_103372_0:0021d6|STRG.8786.10:187-1692|+   -            463 31374at50557         -            569   2.3e-45  153.9   9.6   2   4     1e-14   2.8e-13   48.0   0.1   399   538   202   341   194   344 0.88 -
40115at50557_103372_0:0021d6|STRG.8786.10:187-1692|+   -            463 31374at50557         -            569   2.3e-45  153.9   9.6   3   4   1.6e-07   4.5e-06   24.2   0.0   362   419   322   380   314   385 0.78 -
40115at50557_103372_0:0021d6|STRG.8786.10:187-1692|+   -            463 31374at50557         -            569   2.3e-45  153.9   9.6   4   4   9.4e-15   2.6e-13   48.1   0.1   342   417   387   462   381   463 0.97 -
40115at50557_110193_0:00292f|STRG.15028.1:541-1401|+   -            287 31374at50557         -            569   2.8e-44  150.3   7.4   1   3   7.3e-22     2e-20   71.5   0.3   343   477     2   137     1   146 0.96 -
40115at50557_110193_0:00292f|STRG.15028.1:541-1401|+   -            287 31374at50557         -            569   2.8e-44  150.3   7.4   2   3   2.6e-12     7e-11   40.0   0.1   404   475   148   220   144   222 0.93 -
40115at50557_110193_0:00292f|STRG.15028.1:541-1401|+   -            287 31374at50557         -            569   2.8e-44  150.3   7.4   3   3   5.8e-15   1.6e-13   48.8   0.1   382   458   211   287   206   287 0.80 -
40115at50557_110193_0:00292f|STRG.15028.2:384-1244|+   -            287 31374at50557         -            569   2.8e-44  150.3   7.4   1   3   7.3e-22     2e-20   71.5   0.3   343   477     2   137     1   146 0.96 -
40115at50557_110193_0:00292f|STRG.15028.2:384-1244|+   -            287 31374at50557         -            569   2.8e-44  150.3   7.4   2   3   2.6e-12     7e-11   40.0   0.1   404   475   148   220   144   222 0.93 -
40115at50557_110193_0:00292f|STRG.15028.2:384-1244|+   -            287 31374at50557         -            569   2.8e-44  150.3   7.4   3   3   5.8e-15   1.6e-13   48.8   0.1   382   458   211   287   206   287 0.80 -
49370at50557_456900_0:00265d|STRG.19222.2:0-1568|+     -            523 31374at50557         -            569   1.3e-41  141.5  10.3   1   3     4e-07   1.1e-05   22.9   0.0   376   444   208   279   188   293 0.79 -
49370at50557_456900_0:00265d|STRG.19222.2:0-1568|+     -            523 31374at50557         -            569   1.3e-41  141.5  10.3   2   3   1.1e-15   3.1e-14   51.1   0.2   361   476   294   411   285   412 0.93 -
49370at50557_456900_0:00265d|STRG.19222.2:0-1568|+     -            523 31374at50557         -            569   1.3e-41  141.5  10.3   3   3     3e-24   8.1e-23   79.4   0.3   343   458   404   520   402   522 0.97 -
49370at50557_456900_0:00265d|STRG.19222.1:235-1800|+   -            522 31374at50557         -            569   1.3e-41  141.5  10.3   1   3     4e-07   1.1e-05   22.9   0.0   376   444   208   279   188   293 0.79 -
49370at50557_456900_0:00265d|STRG.19222.1:235-1800|+   -            522 31374at50557         -            569   1.3e-41  141.5  10.3   2   3   1.1e-15   3.1e-14   51.1   0.2   361   476   294   411   285   412 0.93 -
49370at50557_456900_0:00265d|STRG.19222.1:235-1800|+   -            522 31374at50557         -            569   1.3e-41  141.5  10.3   3   3     3e-24   8.1e-23   79.4   0.3   343   458   404   520   402   522 0.97 -
80377at50557_121845_0:0030d4|STRG.6089.1:117-983|+     -            289 31374at50557         -            569   1.6e-41  141.2   5.1   1   2   3.3e-13   8.9e-12   43.0   0.2   387   473     3    89     1    90 0.97 -
80377at50557_121845_0:0030d4|STRG.6089.1:117-983|+     -            289 31374at50557         -            569   1.6e-41  141.2   5.1   2   2   2.8e-31   7.7e-30  102.6   0.9   343   527    85   284    82   289 0.89 -
40115at50557_7213_0:0002de|STRG.12299.1:403-1941|+     -            513 31374at50557         -            569     2e-40  137.6  13.8   1   5     0.027      0.74    6.9   0.0   421   463     4    45     2    49 0.84 -
40115at50557_7213_0:0002de|STRG.12299.1:403-1941|+     -            513 31374at50557         -            569     2e-40  137.6  13.8   2   5   2.1e-12   5.8e-11   40.3   0.8   342   456    55   170    49   188 0.79 -
40115at50557_7213_0:0002de|STRG.12299.1:403-1941|+     -            513 31374at50557         -            569     2e-40  137.6  13.8   3   5     0.024      0.66    7.1   0.3   344   375   142   173   135   247 0.90 -
40115at50557_7213_0:0002de|STRG.12299.1:403-1941|+     -            513 31374at50557         -            569     2e-40  137.6  13.8   4   5   3.7e-15     1e-13   49.4   1.4   362   461   225   337   212   343 0.79 -
40115at50557_7213_0:0002de|STRG.12299.1:403-1941|+     -            513 31374at50557         -            569     2e-40  137.6  13.8   5   5   5.2e-14   1.4e-12   45.6   0.0   340   458   383   513   366   513 0.83 -
40115at50557_103372_0:0021d6|STRG.8786.4:187-1578|+    -            464 31374at50557         -            569   1.8e-39  134.4   7.4   1   4   7.8e-14   2.1e-12   45.0   0.8   341   434   114   208   106   219 0.62 -
40115at50557_103372_0:0021d6|STRG.8786.4:187-1578|+    -            464 31374at50557         -            569   1.8e-39  134.4   7.4   2   4     1e-14   2.8e-13   48.0   0.1   399   538   220   359   213   362 0.88 -
40115at50557_103372_0:0021d6|STRG.8786.4:187-1578|+    -            464 31374at50557         -            569   1.8e-39  134.4   7.4   3   4   2.7e-12   7.4e-11   40.0   0.0   337   412   358   433   354   435 0.94 -
40115at50557_103372_0:0021d6|STRG.8786.4:187-1578|+    -            464 31374at50557         -            569   1.8e-39  134.4   7.4   4   4     0.083       2.3    5.3   0.0   387   415   434   462   432   464 0.93 -
14512at50557_103372_0:0005b9|STRG.10595.3:359-2671|+   -            771 31374at50557         -            569   3.2e-39  133.6   0.1   1   3     1e-18   2.8e-17   61.2   0.0   341   460    12   132     5   136 0.92 -
14512at50557_103372_0:0005b9|STRG.10595.3:359-2671|+   -            771 31374at50557         -            569   3.2e-39  133.6   0.1   2   3   3.6e-24     1e-22   79.1   0.0   353   461   109   217   106   224 0.96 -
14512at50557_103372_0:0005b9|STRG.10595.3:359-2671|+   -            771 31374at50557         -            569   3.2e-39  133.6   0.1   3   3      0.27       7.3    3.6   0.0   501   526   227   252   220   263 0.84 -
14512at50557_103372_0:0005b9|STRG.10595.1:359-2938|+   -            860 31374at50557         -            569   4.9e-39  133.0   0.1   1   3   1.2e-18   3.2e-17   60.9   0.0   341   460    12   132     5   136 0.92 -
14512at50557_103372_0:0005b9|STRG.10595.1:359-2938|+   -            860 31374at50557         -            569   4.9e-39  133.0   0.1   2   3   4.3e-24   1.2e-22   78.9   0.0   353   461   109   217   106   224 0.96 -
14512at50557_103372_0:0005b9|STRG.10595.1:359-2938|+   -            860 31374at50557         -            569   4.9e-39  133.0   0.1   3   3       0.3       8.3    3.5   0.0   501   526   227   252   220   263 0.84 -
40115at50557_108931_0:001d6b|STRG.17037.2:480-1517|+   -            346 31374at50557         -            569   5.1e-39  132.9  11.6   1   3   9.7e-09   2.7e-07   28.2   0.2   339   420     4    98     2   104 0.78 -
40115at50557_108931_0:001d6b|STRG.17037.2:480-1517|+   -            346 31374at50557         -            569   5.1e-39  132.9  11.6   2   3   2.2e-18   6.1e-17   60.0   1.6   343   475   104   235    98   241 0.94 -
40115at50557_108931_0:001d6b|STRG.17037.2:480-1517|+   -            346 31374at50557         -            569   5.1e-39  132.9  11.6   3   3   6.2e-15   1.7e-13   48.7   0.2   356   429   250   324   247   334 0.90 -
14512at50557_103372_0:0005b9|STRG.10595.2:359-2995|+   -            879 31374at50557         -            569   5.4e-39  132.9   0.1   1   3   1.2e-18   3.3e-17   60.9   0.0   341   460    12   132     5   136 0.92 -
14512at50557_103372_0:0005b9|STRG.10595.2:359-2995|+   -            879 31374at50557         -            569   5.4e-39  132.9   0.1   2   3   4.4e-24   1.2e-22   78.9   0.0   353   461   109   217   106   224 0.96 -
14512at50557_103372_0:0005b9|STRG.10595.2:359-2995|+   -            879 31374at50557         -            569   5.4e-39  132.9   0.1   3   3      0.31       8.5    3.4   0.0   501   526   227   252   220   263 0.84 -
40115at50557_103372_0:0021d6|STRG.8786.7:187-1583|+    -            458 31374at50557         -            569   3.1e-38  130.4   3.7   1   4   4.5e-08   1.2e-06   26.0   0.4   400   474   122   197   118   208 0.79 -
40115at50557_103372_0:0021d6|STRG.8786.7:187-1583|+    -            458 31374at50557         -            569   3.1e-38  130.4   3.7   2   4   8.4e-15   2.3e-13   48.2   0.1   399   538   211   350   204   354 0.88 -
40115at50557_103372_0:0021d6|STRG.8786.7:187-1583|+    -            458 31374at50557         -            569   3.1e-38  130.4   3.7   3   4     2e-07   5.5e-06   23.9   0.0   362   418   331   388   318   391 0.84 -
40115at50557_103372_0:0021d6|STRG.8786.7:187-1583|+    -            458 31374at50557         -            569   3.1e-38  130.4   3.7   4   4   2.4e-16   6.7e-15   53.3   0.0   337   441   349   453   346   457 0.95 -
40115at50557_597456_0:00265e|STRG.8786.8:187-1611|+    -            450 31374at50557         -            569   5.9e-38  129.4  10.3   1   4     4e-06   0.00011   19.6   1.5   358   418   122   182   109   189 0.92 -
40115at50557_597456_0:00265e|STRG.8786.8:187-1611|+    -            450 31374at50557         -            569   5.9e-38  129.4  10.3   2   4     1e-14   2.8e-13   48.0   0.2   399   538   193   332   186   334 0.88 -
40115at50557_597456_0:00265e|STRG.8786.8:187-1611|+    -            450 31374at50557         -            569   5.9e-38  129.4  10.3   3   4   1.5e-06   4.1e-05   21.0   0.0   362   419   313   367   305   375 0.80 -
40115at50557_597456_0:00265e|STRG.8786.8:187-1611|+    -            450 31374at50557         -            569   5.9e-38  129.4  10.3   4   4   7.8e-15   2.1e-13   48.3   0.1   342   417   374   449   365   450 0.96 -
40115at50557_108931_0:001d6b|STRG.17037.1:531-1466|+   -            312 31374at50557         -            569   4.4e-37  126.5  11.0   1   3   7.5e-09   2.1e-07   28.6   0.1   339   420     4    98     2   105 0.78 -
40115at50557_108931_0:001d6b|STRG.17037.1:531-1466|+   -            312 31374at50557         -            569   4.4e-37  126.5  11.0   2   3   2.1e-18   5.9e-17   60.1   1.9   343   475   104   235    99   242 0.94 -
40115at50557_108931_0:001d6b|STRG.17037.1:531-1466|+   -            312 31374at50557         -            569   4.4e-37  126.5  11.0   3   3   1.1e-12     3e-11   41.3   0.2   356   417   250   312   245   312 0.92 -
57752at50557_103372_0:000c5a|STRG.11653.2:0-1298|+     -            433 31374at50557         -            569   5.3e-36  123.0   4.0   1   2   4.3e-08   1.2e-06   26.1   0.0   424   474   116   166   109   167 0.93 -
57752at50557_103372_0:000c5a|STRG.11653.2:0-1298|+     -            433 31374at50557         -            569   5.3e-36  123.0   4.0   2   2   1.9e-30   5.2e-29   99.9   2.6   341   534   159   361   156   369 0.92 -
80377at50557_456900_0:000374|STRG.1267.1:0-1046|+      -            349 31374at50557         -            569   5.3e-36  123.0   0.5   1   2   1.3e-21   3.7e-20   70.7   0.1   381   538    49   218    25   221 0.86 -
80377at50557_456900_0:000374|STRG.1267.1:0-1046|+      -            349 31374at50557         -            569   5.3e-36  123.0   0.5   2   2   5.4e-16   1.5e-14   52.2   0.0   337   457   216   344   213   349 0.90 -
57752at50557_103372_0:000c5a|STRG.11653.1:397-1758|+   -            454 31374at50557         -            569   6.5e-36  122.7   4.0   1   2   4.6e-08   1.3e-06   26.0   0.0   424   474   137   187   130   188 0.93 -
57752at50557_103372_0:000c5a|STRG.11653.1:397-1758|+   -            454 31374at50557         -            569   6.5e-36  122.7   4.0   2   2   2.1e-30   5.9e-29   99.7   2.6   341   534   180   382   177   390 0.92 -
43553at50557_136037_0:001d49|STRG.1233.2:37-822|+      -            262 31374at50557         -            569   6.9e-36  122.6   1.1   1   3    0.0006     0.016   12.4   0.0   486   539    35    90    12    96 0.77 -
43553at50557_136037_0:001d49|STRG.1233.2:37-822|+      -            262 31374at50557         -            569   6.9e-36  122.6   1.1   2   3   1.2e-15   3.2e-14   51.1   0.0   341   442    97   197    91   199 0.95 -
43553at50557_136037_0:001d49|STRG.1233.2:37-822|+      -            262 31374at50557         -            569   6.9e-36  122.6   1.1   3   3   1.6e-21   4.4e-20   70.4   0.1   336   462   133   261   131   262 0.94 -
49370at50557_2015173_0:001990|STRG.7563.1:60-1046|+    -            329 31374at50557         -            569   7.4e-35  119.2   4.4   1   2   1.4e-05   0.00037   17.8   0.0   420   465    30    75    20   103 0.90 -
49370at50557_2015173_0:001990|STRG.7563.1:60-1046|+    -            329 31374at50557         -            569   7.4e-35  119.2   4.4   2   2   5.8e-31   1.6e-29  101.6   2.1   332   531   114   328   101   329 0.88 -
78072at50557_286306_0:00290a|STRG.6360.1:136-1603|+    -            463 31374at50557         -            569     1e-34  118.7  16.0   1   4   8.7e-14   2.4e-12   44.9   0.4   341   420    13    95     8    98 0.91 -
78072at50557_286306_0:00290a|STRG.6360.1:136-1603|+    -            463 31374at50557         -            569     1e-34  118.7  16.0   2   4   1.1e-13   2.9e-12   44.6   0.3   379   459    98   180    95   187 0.93 -
78072at50557_286306_0:00290a|STRG.6360.1:136-1603|+    -            463 31374at50557         -            569     1e-34  118.7  16.0   3   4   3.9e-06   0.00011   19.6   0.7   379   418   188   227   182   231 0.95 -
78072at50557_286306_0:00290a|STRG.6360.1:136-1603|+    -            463 31374at50557         -            569     1e-34  118.7  16.0   4   4   4.3e-06   0.00012   19.5   0.1   378   468   244   348   242   394 0.82 -
33043at50557_454923_0:001231|STRG.5794.1:3409-4779|+   -            457 31374at50557         -            569   1.6e-34  118.1   9.6   1   5   6.6e-07   1.8e-05   22.2   0.0   346   479     1   133     1   144 0.90 -
33043at50557_454923_0:001231|STRG.5794.1:3409-4779|+   -            457 31374at50557         -            569   1.6e-34  118.1   9.6   2   5       4.6   1.3e+02   -0.4   0.0   486   536   107   159   101   164 0.80 -
33043at50557_454923_0:001231|STRG.5794.1:3409-4779|+   -            457 31374at50557         -            569   1.6e-34  118.1   9.6   3   5   6.4e-05    0.0017   15.6   0.0   503   537   177   211   170   215 0.90 -
33043at50557_454923_0:001231|STRG.5794.1:3409-4779|+   -            457 31374at50557         -            569   1.6e-34  118.1   9.6   4   5     7e-12   1.9e-10   38.6   0.2   341   459   214   328   209   336 0.90 -
33043at50557_454923_0:001231|STRG.5794.1:3409-4779|+   -            457 31374at50557         -            569   1.6e-34  118.1   9.6   5   5   2.4e-15   6.7e-14   50.0   4.5   345   533   259   456   257   457 0.85 -
33043at50557_454923_0:001231|STRG.5794.2:2369-3739|+   -            457 31374at50557         -            569   1.6e-34  118.1   9.6   1   5   6.6e-07   1.8e-05   22.2   0.0   346   479     1   133     1   144 0.90 -
33043at50557_454923_0:001231|STRG.5794.2:2369-3739|+   -            457 31374at50557         -            569   1.6e-34  118.1   9.6   2   5       4.6   1.3e+02   -0.4   0.0   486   536   107   159   101   164 0.80 -
33043at50557_454923_0:001231|STRG.5794.2:2369-3739|+   -            457 31374at50557         -            569   1.6e-34  118.1   9.6   3   5   6.4e-05    0.0017   15.6   0.0   503   537   177   211   170   215 0.90 -
33043at50557_454923_0:001231|STRG.5794.2:2369-3739|+   -            457 31374at50557         -            569   1.6e-34  118.1   9.6   4   5     7e-12   1.9e-10   38.6   0.2   341   459   214   328   209   336 0.90 -
33043at50557_454923_0:001231|STRG.5794.2:2369-3739|+   -            457 31374at50557         -            569   1.6e-34  118.1   9.6   5   5   2.4e-15   6.7e-14   50.0   4.5   345   533   259   456   257   457 0.85 -
80377at50557_104452_0:001b3f|STRG.11985.6:1226-1735|+  -            170 31374at50557         -            569   3.1e-34  117.1  13.7   1   2   2.4e-20   6.5e-19   66.5   3.7   343   475     2   129     1   130 0.91 -
80377at50557_104452_0:001b3f|STRG.11985.6:1226-1735|+  -            170 31374at50557         -            569   3.1e-34  117.1  13.7   2   2   3.4e-19   9.2e-18   62.7   2.4   343   474    43   168    41   170 0.93 -
48053at50557_104421_0:0017a2|STRG.1421.1:6-1523|+      -            506 31374at50557         -            569   1.1e-33  115.3   0.2   1   2   2.3e-18   6.4e-17   60.0   0.0   406   537   241   384   237   389 0.83 -
48053at50557_104421_0:0017a2|STRG.1421.1:6-1523|+      -            506 31374at50557         -            569   1.1e-33  115.3   0.2   2   2   7.4e-17     2e-15   55.0   0.0   338   458   384   503   380   506 0.93 -
40115at50557_1629725_0:001335|STRG.8342.1:1526-2329|+  -            268 31374at50557         -            569   4.5e-33  113.3  10.1   1   2   3.3e-12   8.9e-11   39.7   0.4   406   476     5    73     2    78 0.90 -
40115at50557_1629725_0:001335|STRG.8342.1:1526-2329|+  -            268 31374at50557         -            569   4.5e-33  113.3  10.1   2   2     0.043       1.2    6.3   0.1   342   374   237   267   230   268 0.88 -
80377at50557_30019_0:0008bb|STRG.9047.4:293-883|+      -            197 31374at50557         -            569   7.5e-33  112.6   0.6   1   3   9.6e-09   2.6e-07   28.2   0.0   388   441     1    54     1    55 0.84 -
80377at50557_30019_0:0008bb|STRG.9047.4:293-883|+      -            197 31374at50557         -            569   7.5e-33  112.6   0.6   2   3   3.5e-24   9.6e-23   79.2   0.1   353   476    50   173    46   174 0.96 -
80377at50557_30019_0:0008bb|STRG.9047.4:293-883|+      -            197 31374at50557         -            569   7.5e-33  112.6   0.6   3   3    0.0013     0.035   11.3   0.1   503   531   169   197   163   197 0.68 -
80377at50557_30019_0:0008bb|STRG.11985.1:1377-2237|+   -            287 31374at50557         -            569   9.3e-33  112.3  16.0   1   2   6.3e-20   1.7e-18   65.2   4.1   343   476    11   139     6   141 0.91 -
80377at50557_30019_0:0008bb|STRG.11985.1:1377-2237|+   -            287 31374at50557         -            569   9.3e-33  112.3  16.0   2   2   6.1e-07   1.7e-05   22.3   0.7   405   460   230   286   228   287 0.93 -
80377at50557_30019_0:0008bb|STRG.11985.2:1377-2237|+   -            287 31374at50557         -            569   9.3e-33  112.3  16.0   1   2   6.3e-20   1.7e-18   65.2   4.1   343   476    11   139     6   141 0.91 -
80377at50557_30019_0:0008bb|STRG.11985.2:1377-2237|+   -            287 31374at50557         -            569   9.3e-33  112.3  16.0   2   2   6.1e-07   1.7e-05   22.3   0.7   405   460   230   286   228   287 0.93 -
80377at50557_30019_0:0008bb|STRG.11985.3:1033-1893|+   -            287 31374at50557         -            569   9.3e-33  112.3  16.0   1   2   6.3e-20   1.7e-18   65.2   4.1   343   476    11   139     6   141 0.91 -
80377at50557_30019_0:0008bb|STRG.11985.3:1033-1893|+   -            287 31374at50557         -            569   9.3e-33  112.3  16.0   2   2   6.1e-07   1.7e-05   22.3   0.7   405   460   230   286   228   287 0.93 -
80377at50557_30019_0:0008bb|STRG.11985.4:1597-2457|+   -            287 31374at50557         -            569   9.3e-33  112.3  16.0   1   2   6.3e-20   1.7e-18   65.2   4.1   343   476    11   139     6   141 0.91 -
80377at50557_30019_0:0008bb|STRG.11985.4:1597-2457|+   -            287 31374at50557         -            569   9.3e-33  112.3  16.0   2   2   6.1e-07   1.7e-05   22.3   0.7   405   460   230   286   228   287 0.93 -
80377at50557_30019_0:0008bb|STRG.11985.5:1377-2237|+   -            287 31374at50557         -            569   9.3e-33  112.3  16.0   1   2   6.3e-20   1.7e-18   65.2   4.1   343   476    11   139     6   141 0.91 -
80377at50557_30019_0:0008bb|STRG.11985.5:1377-2237|+   -            287 31374at50557         -            569   9.3e-33  112.3  16.0   2   2   6.1e-07   1.7e-05   22.3   0.7   405   460   230   286   228   287 0.93 -
80377at50557_30019_0:0008bb|STRG.11985.8:921-1781|+    -            287 31374at50557         -            569   9.3e-33  112.3  16.0   1   2   6.3e-20   1.7e-18   65.2   4.1   343   476    11   139     6   141 0.91 -
80377at50557_30019_0:0008bb|STRG.11985.8:921-1781|+    -            287 31374at50557         -            569   9.3e-33  112.3  16.0   2   2   6.1e-07   1.7e-05   22.3   0.7   405   460   230   286   228   287 0.93 -
