#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
89317at50557_307658_0:00251a|STRG.6105.2:148-954|+    -            269 89317at50557         -            194  2.6e-113  375.6  14.0   1   1  9.3e-116    3e-113  375.4  14.0     1   194    21   234    21   234 0.95 -
89317at50557_680683_0:000b83|STRG.19731.1:3501-4193|+ -            231 89317at50557         -            194   2.4e-11   42.9  10.4   2   2   3.5e-10   1.1e-07   30.9   4.9     8   111   109   218   102   230 0.82 -
89317at50557_66420_0:0017df|STRG.1571.1:411-812|+     -            134 89317at50557         -            194   4.7e-07   28.9   3.3   1   1   1.9e-08   6.2e-06   25.2   3.3    72   180     9   132     1   134 0.68 -
72000at50557_121845_0:004970|STRG.17737.2:226-507|+   -             94 89317at50557         -            194   0.00062   18.7   0.9   1   1   2.3e-06   0.00074   18.5   0.9     8    55    37    85    29    92 0.87 -
90369at50557_29031_0:002749|STRG.19731.1:5574-7508|+  -            645 89317at50557         -            194    0.0016   17.4   1.3   1   1   8.2e-06    0.0027   16.6   1.3     9    84   465   539   456   548 0.84 -
90369at50557_29031_0:002749|STRG.19731.2:2056-3990|+  -            645 89317at50557         -            194    0.0016   17.4   1.3   1   1   8.2e-06    0.0027   16.6   1.3     9    84   465   539   456   548 0.84 -
89317at50557_286706_0:002e5b|STRG.11058.1:140-751|+   -            204 89317at50557         -            194    0.0038   16.1   8.4   1   1   5.5e-05     0.018   13.9   8.4    70   118    26    74     8   164 0.76 -
89317at50557_286706_0:002e5b|STRG.11058.2:115-726|+   -            204 89317at50557         -            194    0.0038   16.1   8.4   1   1   5.5e-05     0.018   13.9   8.4    70   118    26    74     8   164 0.76 -
89317at50557_286706_0:002e5b|STRG.11058.5:140-751|+   -            204 89317at50557         -            194    0.0038   16.1   8.4   1   1   5.5e-05     0.018   13.9   8.4    70   118    26    74     8   164 0.76 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/89317at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/89317at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/89317at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:57:12 2024
# [ok]
