#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
40442at50557_103372_0:0005ec|STRG.15650.1:174-1759|+  -            502 40442at50557         -            389  5.5e-168  557.5   4.2   1   1  2.1e-169  1.8e-167  555.8   4.2     1   388    39   500    39   501 0.88 -
70122at50557_56086_0:00188d|STRG.3880.2:243-575|+     -            111 40442at50557         -            389   8.9e-10   36.6   0.2   1   1   1.3e-11   1.1e-09   36.4   0.2     5    95    12   100     8   108 0.84 -
70122at50557_56086_0:00188d|STRG.3880.3:243-575|+     -            111 40442at50557         -            389   8.9e-10   36.6   0.2   1   1   1.3e-11   1.1e-09   36.4   0.2     5    95    12   100     8   108 0.84 -
116554at50557_29031_0:00078e|STRG.6803.1:1171-2613|+  -            481 40442at50557         -            389   1.4e-09   35.9   2.0   1   1   2.2e-11   1.8e-09   35.6   2.0    55   210     6   172     1   194 0.78 -
116554at50557_29031_0:00078e|STRG.6803.4:1874-3316|+  -            481 40442at50557         -            389   1.4e-09   35.9   2.0   1   1   2.2e-11   1.8e-09   35.6   2.0    55   210     6   172     1   194 0.78 -
116554at50557_29031_0:00078e|STRG.6803.5:312-1754|+   -            481 40442at50557         -            389   1.4e-09   35.9   2.0   1   1   2.2e-11   1.8e-09   35.6   2.0    55   210     6   172     1   194 0.78 -
70122at50557_197043_0:006b82|STRG.16555.1:58-405|+    -            116 40442at50557         -            389   3.4e-09   34.7   0.0   1   1   4.8e-11   4.1e-09   34.5   0.0     5   104    15   115     5   116 0.86 -
70122at50557_197043_0:006b82|STRG.16555.2:58-405|+    -            116 40442at50557         -            389   3.4e-09   34.7   0.0   1   1   4.8e-11   4.1e-09   34.5   0.0     5   104    15   115     5   116 0.86 -
116554at50557_29031_0:00078e|STRG.771.1:511-2052|+    -            514 40442at50557         -            389   4.5e-09   34.3   0.4   1   1   7.7e-11   6.5e-09   33.8   0.4    57   215     8   177     2   183 0.79 -
116554at50557_29031_0:00078e|STRG.771.2:255-1796|+    -            514 40442at50557         -            389   4.5e-09   34.3   0.4   1   1   7.7e-11   6.5e-09   33.8   0.4    57   215     8   177     2   183 0.79 -
70122at50557_197043_0:006b82|STRG.17678.2:922-1281|+  -            120 40442at50557         -            389   2.9e-08   31.7   0.2   1   1   3.9e-10   3.3e-08   31.5   0.2     7   106    14   115     8   119 0.78 -
70122at50557_197043_0:006b82|STRG.17678.6:905-1264|+  -            120 40442at50557         -            389   2.9e-08   31.7   0.2   1   1   3.9e-10   3.3e-08   31.5   0.2     7   106    14   115     8   119 0.78 -
68878at50557_197043_0:003784|STRG.8999.1:9-446|+      -            146 40442at50557         -            389   6.8e-08   30.4   0.1   1   1   9.7e-10   8.1e-08   30.2   0.1     4   105    15   120    12   129 0.78 -
70122at50557_197043_0:006b82|STRG.16419.1:203-529|+   -            109 40442at50557         -            389   8.2e-08   30.1   0.0   1   1     1e-09   8.8e-08   30.1   0.0     7    97    11   102     5   109 0.80 -
70122at50557_197043_0:006b82|STRG.16419.2:203-529|+   -            109 40442at50557         -            389   8.2e-08   30.1   0.0   1   1     1e-09   8.8e-08   30.1   0.0     7    97    11   102     5   109 0.80 -
70122at50557_197043_0:006b82|STRG.16419.3:203-529|+   -            109 40442at50557         -            389   8.2e-08   30.1   0.0   1   1     1e-09   8.8e-08   30.1   0.0     7    97    11   102     5   109 0.80 -
68878at50557_29031_0:000dd0|STRG.17679.1:516-854|+    -            113 40442at50557         -            389   1.7e-07   29.1   0.1   1   1   2.3e-09   1.9e-07   28.9   0.1     4   103    11   111     8   113 0.79 -
68878at50557_29031_0:000dd0|STRG.17679.2:516-854|+    -            113 40442at50557         -            389   1.7e-07   29.1   0.1   1   1   2.3e-09   1.9e-07   28.9   0.1     4   103    11   111     8   113 0.79 -
68878at50557_29031_0:000dd0|STRG.17679.3:516-854|+    -            113 40442at50557         -            389   1.7e-07   29.1   0.1   1   1   2.3e-09   1.9e-07   28.9   0.1     4   103    11   111     8   113 0.79 -
68878at50557_29031_0:000dd0|STRG.17679.4:466-804|+    -            113 40442at50557         -            389   1.7e-07   29.1   0.1   1   1   2.3e-09   1.9e-07   28.9   0.1     4   103    11   111     8   113 0.79 -
68878at50557_29031_0:000dd0|STRG.17679.5:179-517|+    -            113 40442at50557         -            389   1.7e-07   29.1   0.1   1   1   2.3e-09   1.9e-07   28.9   0.1     4   103    11   111     8   113 0.79 -
68878at50557_29031_0:000dd0|STRG.17679.6:179-517|+    -            113 40442at50557         -            389   1.7e-07   29.1   0.1   1   1   2.3e-09   1.9e-07   28.9   0.1     4   103    11   111     8   113 0.79 -
68878at50557_29031_0:000dd0|STRG.17679.7:179-517|+    -            113 40442at50557         -            389   1.7e-07   29.1   0.1   1   1   2.3e-09   1.9e-07   28.9   0.1     4   103    11   111     8   113 0.79 -
68878at50557_29031_0:000dd0|STRG.17679.8:179-517|+    -            113 40442at50557         -            389   1.7e-07   29.1   0.1   1   1   2.3e-09   1.9e-07   28.9   0.1     4   103    11   111     8   113 0.79 -
68878at50557_121845_0:001d53|STRG.20123.1:453-902|+   -            150 40442at50557         -            389   5.1e-07   27.5   0.1   1   1   7.2e-09   6.1e-07   27.3   0.1     8   109    18   120    11   126 0.83 -
68878at50557_121845_0:001d53|STRG.20123.2:453-902|+   -            150 40442at50557         -            389   5.1e-07   27.5   0.1   1   1   7.2e-09   6.1e-07   27.3   0.1     8   109    18   120    11   126 0.83 -
68878at50557_29031_0:000dd0|STRG.17430.1:552-896|+    -            115 40442at50557         -            389   7.7e-07   27.0   0.0   1   1     1e-08   8.6e-07   26.8   0.0     9   103    16   111     8   114 0.78 -
68878at50557_29031_0:000dd0|STRG.17430.3:320-664|+    -            115 40442at50557         -            389   7.7e-07   27.0   0.0   1   1     1e-08   8.6e-07   26.8   0.0     9   103    16   111     8   114 0.78 -
68878at50557_29031_0:000dd0|STRG.17430.4:320-664|+    -            115 40442at50557         -            389   7.7e-07   27.0   0.0   1   1     1e-08   8.6e-07   26.8   0.0     9   103    16   111     8   114 0.78 -
70122at50557_197043_0:006b82|STRG.17519.2:514-885|+   -            124 40442at50557         -            389   8.2e-07   26.9   0.0   1   1   1.1e-08     9e-07   26.7   0.0     7    94    14    99     9   118 0.77 -
116554at50557_29031_0:00078e|STRG.10909.1:250-1716|+  -            489 40442at50557         -            389   9.6e-07   26.6   0.5   1   1   1.5e-08   1.2e-06   26.3   0.5    53   229     3   194     1   213 0.75 -
68878at50557_29031_0:000dd0|STRG.15343.1:371-730|+    -            120 40442at50557         -            389   9.9e-07   26.6   0.0   1   1   1.4e-08   1.2e-06   26.3   0.0     9   106    16   114     8   119 0.80 -
68878at50557_29031_0:000dd0|STRG.15343.2:371-730|+    -            120 40442at50557         -            389   9.9e-07   26.6   0.0   1   1   1.4e-08   1.2e-06   26.3   0.0     9   106    16   114     8   119 0.80 -
70122at50557_56086_0:00188d|STRG.12296.2:807-1163|+   -            119 40442at50557         -            389   1.3e-06   26.2   0.0   1   1   1.8e-08   1.5e-06   26.0   0.0     5   103    12   112     8   117 0.81 -
70122at50557_56086_0:00188d|STRG.12296.5:372-728|+    -            119 40442at50557         -            389   1.3e-06   26.2   0.0   1   1   1.8e-08   1.5e-06   26.0   0.0     5   103    12   112     8   117 0.81 -
70122at50557_197043_0:006b82|STRG.12296.1:394-741|+   -            116 40442at50557         -            389   1.4e-06   26.1   0.0   1   1   1.7e-08   1.5e-06   26.0   0.0     5   103    12   112     8   116 0.80 -
70122at50557_197043_0:006b82|STRG.12296.3:391-738|+   -            116 40442at50557         -            389   1.4e-06   26.1   0.0   1   1   1.7e-08   1.5e-06   26.0   0.0     5   103    12   112     8   116 0.80 -
70122at50557_197043_0:006b82|STRG.12296.4:432-779|+   -            116 40442at50557         -            389   1.4e-06   26.1   0.0   1   1   1.7e-08   1.5e-06   26.0   0.0     5   103    12   112     8   116 0.80 -
70122at50557_56086_0:00188d|STRG.9100.5:0-353|+       -            118 40442at50557         -            389   1.8e-06   25.8   0.1   1   1   2.5e-08   2.1e-06   25.5   0.1    11   104    21   115    14   117 0.81 -
70122at50557_456900_0:000ad6|STRG.7751.3:298-1554|+   -            419 40442at50557         -            389   2.2e-06   25.5   0.0   1   1   3.6e-08     3e-06   25.0   0.0     5   105    16   117    12   136 0.80 -
70122at50557_456900_0:000ad6|STRG.7751.4:194-1462|+   -            423 40442at50557         -            389   2.2e-06   25.4   0.0   1   1   3.7e-08   3.1e-06   25.0   0.0     5   105    16   117    12   136 0.80 -
70122at50557_411798_0:0024d5|STRG.7751.1:1398-2645|+  -            416 40442at50557         -            389   2.3e-06   25.4   0.0   1   1   3.5e-08     3e-06   25.0   0.0     5   105    16   117    12   136 0.80 -
70122at50557_411798_0:0024d5|STRG.7751.2:449-1696|+   -            416 40442at50557         -            389   2.3e-06   25.4   0.0   1   1   3.5e-08     3e-06   25.0   0.0     5   105    16   117    12   136 0.80 -
70122at50557_246812_0:0007a3|STRG.12378.1:644-1387|+  -            248 40442at50557         -            389   2.5e-06   25.2   0.0   1   1   3.8e-08   3.2e-06   24.9   0.0     4   105    11   113     8   122 0.83 -
70122at50557_56086_0:00188d|STRG.16864.1:374-694|+    -            107 40442at50557         -            389   3.6e-06   24.8   0.3   1   1   4.6e-08   3.9e-06   24.6   0.3     9    97    12    98     6   107 0.83 -
70122at50557_56086_0:00188d|STRG.16864.3:371-691|+    -            107 40442at50557         -            389   3.6e-06   24.8   0.3   1   1   4.6e-08   3.9e-06   24.6   0.3     9    97    12    98     6   107 0.83 -
68878at50557_1629725_0:001c2f|STRG.17430.2:892-1611|+ -            240 40442at50557         -            389   4.3e-06   24.5   0.0   1   1   6.3e-08   5.3e-06   24.2   0.0     9   104    38   134    30   142 0.79 -
70122at50557_286706_0:000bf4|STRG.12378.3:635-1687|+  -            351 40442at50557         -            389     5e-06   24.3   0.0   1   1   7.8e-08   6.5e-06   23.9   0.0     4   105    14   116    11   125 0.82 -
68878at50557_29031_0:000dd0|STRG.7183.1:195-518|+     -            108 40442at50557         -            389   5.1e-06   24.3   0.0   1   1   7.3e-08   6.1e-06   24.0   0.0     9    95     7    94     2   107 0.76 -
70122at50557_34740_0:00443e|STRG.12378.4:36-1181|+    -            382 40442at50557         -            389   5.6e-06   24.1   0.0   1   1   9.1e-08   7.6e-06   23.7   0.0     4   105    11   113     8   122 0.82 -
70122at50557_7130_0:001fba|STRG.12378.2:644-1888|+    -            415 40442at50557         -            389   6.7e-06   23.9   0.0   1   1   1.1e-07   8.9e-06   23.5   0.0     4   105    11   113     8   122 0.82 -
70122at50557_56086_0:00188d|STRG.7183.3:93-410|+      -            106 40442at50557         -            389   7.3e-06   23.7   0.0   1   1   9.3e-08   7.8e-06   23.6   0.0    12    95     5    92     1   103 0.76 -
68878at50557_307491_0:0030a6|STRG.17430.5:141-1175|+  -            345 40442at50557         -            389   8.6e-06   23.5   0.0   1   1   1.3e-07   1.1e-05   23.1   0.0     9   104    16   112     8   119 0.79 -
73720at50557_29031_0:000293|STRG.16179.1:51-428|+     -            126 40442at50557         -            389   9.6e-06   23.3   0.0   1   1   1.2e-07     1e-05   23.2   0.0    11   106     5   102     1   116 0.83 -
68878at50557_121845_0:001d53|STRG.15278.1:158-499|+   -            114 40442at50557         -            389     1e-05   23.3   0.1   1   1   1.3e-07   1.1e-05   23.1   0.1    16    89    26    97    18   114 0.80 -
68878at50557_121845_0:001d53|STRG.15278.2:105-446|+   -            114 40442at50557         -            389     1e-05   23.3   0.1   1   1   1.3e-07   1.1e-05   23.1   0.1    16    89    26    97    18   114 0.80 -
68878at50557_121845_0:001d53|STRG.15278.3:166-507|+   -            114 40442at50557         -            389     1e-05   23.3   0.1   1   1   1.3e-07   1.1e-05   23.1   0.1    16    89    26    97    18   114 0.80 -
68878at50557_286306_0:000f1f|STRG.5868.2:665-2455|+   -            597 40442at50557         -            389     1e-05   23.2   0.0   1   1   1.9e-07   1.6e-05   22.6   0.0     4   107    94   198    91   204 0.81 -
68878at50557_456900_0:00124f|STRG.5868.1:1021-2739|+  -            573 40442at50557         -            389   1.1e-05   23.2   0.0   1   1   1.8e-07   1.5e-05   22.7   0.0     4   107    30   134    27   140 0.81 -
68878at50557_456900_0:00124f|STRG.5868.4:385-2103|+   -            573 40442at50557         -            389   1.1e-05   23.2   0.0   1   1   1.8e-07   1.5e-05   22.7   0.0     4   107    30   134    27   140 0.81 -
68878at50557_456900_0:00124f|STRG.5868.5:751-2469|+   -            573 40442at50557         -            389   1.1e-05   23.2   0.0   1   1   1.8e-07   1.5e-05   22.7   0.0     4   107    30   134    27   140 0.81 -
68878at50557_29031_0:000dd0|STRG.15202.1:102-461|+    -            120 40442at50557         -            389   1.1e-05   23.1   0.0   1   1   1.5e-07   1.3e-05   23.0   0.0     4   105    14   117    11   120 0.78 -
68878at50557_29031_0:000dd0|STRG.15202.2:0-359|+      -            120 40442at50557         -            389   1.1e-05   23.1   0.0   1   1   1.5e-07   1.3e-05   23.0   0.0     4   105    14   117    11   120 0.78 -
70122at50557_197043_0:006b82|STRG.16638.2:172-507|+   -            112 40442at50557         -            389   1.2e-05   23.1   0.0   1   1   1.4e-07   1.2e-05   23.0   0.0     7    91    14    96     8   112 0.80 -
70122at50557_197043_0:006b82|STRG.16638.3:15-350|+    -            112 40442at50557         -            389   1.2e-05   23.1   0.0   1   1   1.4e-07   1.2e-05   23.0   0.0     7    91    14    96     8   112 0.80 -
68878at50557_166423_0:001a36|STRG.5868.3:857-3671|+   -            743 40442at50557         -            389   1.4e-05   22.8   0.0   1   1   2.7e-07   2.3e-05   22.1   0.0     4   107    30   134    27   140 0.81 -
70122at50557_286706_0:000bf4|STRG.9100.3:347-1552|+   -            402 40442at50557         -            389   1.6e-05   22.6   0.1   1   1   2.6e-07   2.2e-05   22.1   0.1    11   105    25   120    19   135 0.82 -
70122at50557_286706_0:000bf4|STRG.9100.2:347-1555|+   -            403 40442at50557         -            389   1.6e-05   22.6   0.1   1   1   2.7e-07   2.2e-05   22.1   0.1    11   105    25   120    19   135 0.82 -
70122at50557_7091_0:0008c7|STRG.9100.1:368-1615|+     -            416 40442at50557         -            389   1.7e-05   22.6   0.1   1   1   2.8e-07   2.4e-05   22.1   0.1    11   105    18   113    12   128 0.82 -
70122at50557_79782_0:0022b6|STRG.9100.4:0-1253|+      -            418 40442at50557         -            389   1.7e-05   22.6   0.1   1   1   2.8e-07   2.4e-05   22.0   0.1    11   105    21   116    15   131 0.82 -
105732at50557_246812_0:0033b1|STRG.16638.1:172-1512|+ -            447 40442at50557         -            389     7e-05   20.5   0.0   1   1   1.2e-06    0.0001   20.0   0.0     8   107    15   115     9   132 0.80 -
70122at50557_56086_0:00188d|STRG.999.1:429-779|+      -            117 40442at50557         -            389   0.00015   19.4   0.1   1   1   1.9e-06   0.00016   19.3   0.1    12   100    22   108    11   117 0.83 -
70122at50557_56086_0:00188d|STRG.999.2:329-679|+      -            117 40442at50557         -            389   0.00015   19.4   0.1   1   1   1.9e-06   0.00016   19.3   0.1    12   100    22   108    11   117 0.83 -
70122at50557_56086_0:00188d|STRG.999.3:329-679|+      -            117 40442at50557         -            389   0.00015   19.4   0.1   1   1   1.9e-06   0.00016   19.3   0.1    12   100    22   108    11   117 0.83 -
70122at50557_56086_0:00188d|STRG.999.4:789-1139|+     -            117 40442at50557         -            389   0.00015   19.4   0.1   1   1   1.9e-06   0.00016   19.3   0.1    12   100    22   108    11   117 0.83 -
70122at50557_56086_0:00188d|STRG.999.5:789-1139|+     -            117 40442at50557         -            389   0.00015   19.4   0.1   1   1   1.9e-06   0.00016   19.3   0.1    12   100    22   108    11   117 0.83 -
70122at50557_56086_0:00188d|STRG.999.6:482-832|+      -            117 40442at50557         -            389   0.00015   19.4   0.1   1   1   1.9e-06   0.00016   19.3   0.1    12   100    22   108    11   117 0.83 -
70122at50557_13686_0:000d36|STRG.18743.1:648-1232|+   -            195 40442at50557         -            389   0.00025   18.7   0.0   1   2   1.6e-05    0.0013   16.3   0.0    14    84     1    73     1    81 0.80 -
70122at50557_13686_0:000d36|STRG.18743.1:648-1232|+   -            195 40442at50557         -            389   0.00025   18.7   0.0   2   2       1.7   1.4e+02   -0.3   0.0    31    52   141   162   138   176 0.81 -
70122at50557_13686_0:000d36|STRG.18743.2:666-1250|+   -            195 40442at50557         -            389   0.00025   18.7   0.0   1   2   1.6e-05    0.0013   16.3   0.0    14    84     1    73     1    81 0.80 -
70122at50557_13686_0:000d36|STRG.18743.2:666-1250|+   -            195 40442at50557         -            389   0.00025   18.7   0.0   2   2       1.7   1.4e+02   -0.3   0.0    31    52   141   162   138   176 0.81 -
70122at50557_56086_0:00188d|STRG.15848.1:13-360|+     -            116 40442at50557         -            389     0.002   15.7   0.1   1   1   2.4e-05     0.002   15.7   0.1     8    86    19    95    12   116 0.70 -
70122at50557_56086_0:00188d|STRG.15848.2:13-360|+     -            116 40442at50557         -            389     0.002   15.7   0.1   1   1   2.4e-05     0.002   15.7   0.1     8    86    19    95    12   116 0.70 -
70122at50557_56086_0:00188d|STRG.15848.3:13-360|+     -            116 40442at50557         -            389     0.002   15.7   0.1   1   1   2.4e-05     0.002   15.7   0.1     8    86    19    95    12   116 0.70 -
70122at50557_56086_0:00188d|STRG.15848.4:0-347|+      -            116 40442at50557         -            389     0.002   15.7   0.1   1   1   2.4e-05     0.002   15.7   0.1     8    86    19    95    12   116 0.70 -
106896at50557_34720_0:0025d6|STRG.18036.1:527-1954|+  -            476 40442at50557         -            389    0.0023   15.5   0.0   1   1   3.5e-05    0.0029   15.2   0.0    31   123     2    97     1   111 0.79 -
70122at50557_197043_0:006b82|STRG.18550.1:3725-4048|+ -            108 40442at50557         -            389    0.0035   14.9   0.0   1   1   4.4e-05    0.0037   14.8   0.0    14   100    18   105     8   108 0.69 -
70122at50557_197043_0:006b82|STRG.18550.2:3731-4054|+ -            108 40442at50557         -            389    0.0035   14.9   0.0   1   1   4.4e-05    0.0037   14.8   0.0    14   100    18   105     8   108 0.69 -
70122at50557_197043_0:006b82|STRG.18550.3:2950-3273|+ -            108 40442at50557         -            389    0.0035   14.9   0.0   1   1   4.4e-05    0.0037   14.8   0.0    14   100    18   105     8   108 0.69 -
68878at50557_121845_0:001d53|STRG.4136.1:1-219|-      -             73 40442at50557         -            389    0.0035   14.9   0.0   1   1   4.4e-05    0.0037   14.8   0.0    12    48    22    58    12    67 0.89 -
39871at50557_103372_0:000e6e|STRG.1889.3:0-1454|+     -            485 40442at50557         -            389     0.024   12.1   0.0   1   1   0.00042     0.035   11.6   0.0    13    92    24   101    15   115 0.78 -
39871at50557_103372_0:000e6e|STRG.1889.1:449-1906|+   -            486 40442at50557         -            389     0.024   12.1   0.0   1   1   0.00042     0.035   11.6   0.0    13    92    25   102    16   116 0.78 -
39871at50557_103372_0:000e6e|STRG.1889.2:77-1534|+    -            486 40442at50557         -            389     0.024   12.1   0.0   1   1   0.00042     0.035   11.6   0.0    13    92    25   102    16   116 0.78 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/40442at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/40442at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/40442at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:54:44 2024
# [ok]
