#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
37657at50557_307658_0:001de5|STRG.14347.1:45-1694|+    -            550 37657at50557         -            403  2.2e-211  700.9   0.2   1   1  8.8e-213  1.7e-210  697.9   0.2     1   402    66   549    66   550 0.90 -
110125at50557_224129_0:002918|STRG.15905.1:2527-2922|+ -            132 37657at50557         -            403   2.7e-05   22.2   0.0   1   1   1.7e-07   3.2e-05   21.9   0.0    42   100    26    84    11   105 0.81 -
10394at50557_38123_0:002dad|STRG.6456.1:4243-4623|+    -            127 37657at50557         -            403   4.5e-05   21.4   0.1   1   2   0.00069      0.13   10.0   0.0    57    88     2    34     1    41 0.80 -
10394at50557_38123_0:002dad|STRG.6456.1:4243-4623|+    -            127 37657at50557         -            403   4.5e-05   21.4   0.1   2   2   0.00068      0.13   10.0   0.0    43    82    86   126    57   127 0.81 -
10394at50557_38123_0:002dad|STRG.6456.2:4243-4623|+    -            127 37657at50557         -            403   4.5e-05   21.4   0.1   1   2   0.00069      0.13   10.0   0.0    57    88     2    34     1    41 0.80 -
10394at50557_38123_0:002dad|STRG.6456.2:4243-4623|+    -            127 37657at50557         -            403   4.5e-05   21.4   0.1   2   2   0.00068      0.13   10.0   0.0    43    82    86   126    57   127 0.81 -
10394at50557_38123_0:002dad|STRG.6456.4:3765-4145|+    -            127 37657at50557         -            403   4.5e-05   21.4   0.1   1   2   0.00069      0.13   10.0   0.0    57    88     2    34     1    41 0.80 -
10394at50557_38123_0:002dad|STRG.6456.4:3765-4145|+    -            127 37657at50557         -            403   4.5e-05   21.4   0.1   2   2   0.00068      0.13   10.0   0.0    43    82    86   126    57   127 0.81 -
10394at50557_38123_0:002dad|STRG.6456.5:3332-3712|+    -            127 37657at50557         -            403   4.5e-05   21.4   0.1   1   2   0.00069      0.13   10.0   0.0    57    88     2    34     1    41 0.80 -
10394at50557_38123_0:002dad|STRG.6456.5:3332-3712|+    -            127 37657at50557         -            403   4.5e-05   21.4   0.1   2   2   0.00068      0.13   10.0   0.0    43    82    86   126    57   127 0.81 -
10394at50557_38123_0:002dad|STRG.6456.6:442-822|+      -            127 37657at50557         -            403   4.5e-05   21.4   0.1   1   2   0.00069      0.13   10.0   0.0    57    88     2    34     1    41 0.80 -
10394at50557_38123_0:002dad|STRG.6456.6:442-822|+      -            127 37657at50557         -            403   4.5e-05   21.4   0.1   2   2   0.00068      0.13   10.0   0.0    43    82    86   126    57   127 0.81 -
110125at50557_103372_0:000b46|STRG.8421.1:263-991|+    -            243 37657at50557         -            403   7.4e-05   20.7   0.0   1   1     6e-07   0.00012   20.1   0.0    45    94    44    93    13   103 0.79 -
110125at50557_7539_0:00092e|STRG.19435.1:2864-3127|+   -             88 37657at50557         -            403   0.00011   20.2   0.4   1   1   6.9e-07   0.00013   19.9   0.4    54    93    31    70     1    72 0.83 -
110125at50557_7539_0:00092e|STRG.19435.2:2861-3124|+   -             88 37657at50557         -            403   0.00011   20.2   0.4   1   1   6.9e-07   0.00013   19.9   0.4    54    93    31    70     1    72 0.83 -
110125at50557_74873_0:001c94|STRG.6456.1:2713-3252|+   -            180 37657at50557         -            403   0.00022   19.2   0.1   1   1   1.4e-06   0.00027   18.9   0.1    43    95     5    57     2    82 0.89 -
110125at50557_74873_0:001c94|STRG.6456.2:2713-3252|+   -            180 37657at50557         -            403   0.00022   19.2   0.1   1   1   1.4e-06   0.00027   18.9   0.1    43    95     5    57     2    82 0.89 -
110125at50557_74873_0:001c94|STRG.6456.4:2235-2774|+   -            180 37657at50557         -            403   0.00022   19.2   0.1   1   1   1.4e-06   0.00027   18.9   0.1    43    95     5    57     2    82 0.89 -
110125at50557_74873_0:001c94|STRG.6456.5:1802-2341|+   -            180 37657at50557         -            403   0.00022   19.2   0.1   1   1   1.4e-06   0.00027   18.9   0.1    43    95     5    57     2    82 0.89 -
37657at50557_76194_0:0021a4|STRG.14795.2:1470-1766|+   -             99 37657at50557         -            403   0.00025   19.0   0.0   1   1   1.3e-06   0.00025   19.0   0.0    12    92    20    98     6    99 0.71 -
132744at50557_319348_0:00228b|STRG.10219.1:364-540|+   -             59 37657at50557         -            403   0.00029   18.8   0.0   1   1   1.6e-06    0.0003   18.7   0.0    42    96     4    57     2    59 0.88 -
37657at50557_76194_0:0021a4|STRG.19435.1:3164-3400|+   -             79 37657at50557         -            403   0.00042   18.2   0.0   1   1   2.3e-06   0.00045   18.1   0.0    35    92    21    78     1    79 0.75 -
37657at50557_76194_0:0021a4|STRG.19435.2:3161-3397|+   -             79 37657at50557         -            403   0.00042   18.2   0.0   1   1   2.3e-06   0.00045   18.1   0.0    35    92    21    78     1    79 0.75 -
10394at50557_52612_0:0049a4|STRG.11812.2:1723-2685|+   -            321 37657at50557         -            403   0.00052   17.9   0.1   1   2     0.004      0.77    7.5   0.1     5    92    10    89     7    91 0.76 -
10394at50557_52612_0:0049a4|STRG.11812.2:1723-2685|+   -            321 37657at50557         -            403   0.00052   17.9   0.1   2   2    0.0025      0.49    8.1   0.0    22    83   221   283   200   285 0.87 -
110125at50557_7425_0:0008a1|STRG.3310.1:891-1292|+     -            134 37657at50557         -            403    0.0019   16.0   0.0   1   1   1.3e-05    0.0026   15.7   0.0    42    93    14    65     6    79 0.91 -
110125at50557_7425_0:0008a1|STRG.3310.2:891-1292|+     -            134 37657at50557         -            403    0.0019   16.0   0.0   1   1   1.3e-05    0.0026   15.7   0.0    42    93    14    65     6    79 0.91 -
132744at50557_7159_0:0011d2|STRG.11814.1:1363-1587|+   -             75 37657at50557         -            403    0.0026   15.6   0.0   1   1   1.3e-05    0.0026   15.6   0.0    50    92    32    74     4    75 0.82 -
37657at50557_76194_0:0021a4|STRG.7542.1:1950-2219|+    -             90 37657at50557         -            403     0.003   15.4   0.1   1   1   1.5e-05     0.003   15.4   0.1    53    93    39    79     1    90 0.84 -
37657at50557_76194_0:0021a4|STRG.7542.4:846-1115|+     -             90 37657at50557         -            403     0.003   15.4   0.1   1   1   1.5e-05     0.003   15.4   0.1    53    93    39    79     1    90 0.84 -
45452at50557_7091_0:000393|STRG.9331.1:50-1153|+       -            368 37657at50557         -            403    0.0045   14.8   0.1   1   1   3.6e-05    0.0069   14.2   0.1   136   218    31   118    12   151 0.87 -
118659at50557_143995_0:001dd5|STRG.4196.2:0-488|+      -            163 37657at50557         -            403     0.015   13.1   0.0   1   1   9.8e-05     0.019   12.8   0.0   139   215    67   152    45   159 0.77 -
118659at50557_143995_0:001dd5|STRG.4196.1:408-878|+    -            157 37657at50557         -            403     0.017   13.0   0.1   1   1   0.00011     0.021   12.7   0.1   139   215    67   152    45   156 0.76 -
110125at50557_74869_0:002858|STRG.14667.1:2423-2668|+  -             82 37657at50557         -            403     0.026   12.3   0.0   1   1   0.00015     0.029   12.2   0.0    46    91    13    61     5    72 0.84 -
110125at50557_74869_0:002858|STRG.14667.2:2334-2579|+  -             82 37657at50557         -            403     0.026   12.3   0.0   1   1   0.00015     0.029   12.2   0.0    46    91    13    61     5    72 0.84 -
110125at50557_74869_0:002858|STRG.14667.4:2067-2312|+  -             82 37657at50557         -            403     0.026   12.3   0.0   1   1   0.00015     0.029   12.2   0.0    46    91    13    61     5    72 0.84 -
10394at50557_378494_0:004c1b|STRG.7542.2:369-1187|+    -            273 37657at50557         -            403      0.08   10.7   0.5   1   3      0.18        35    2.0   0.1    62    93     1    32     1    38 0.93 -
10394at50557_378494_0:004c1b|STRG.7542.2:369-1187|+    -            273 37657at50557         -            403      0.08   10.7   0.5   2   3         2   3.8e+02   -1.4   0.1    64    92   101   129    39   135 0.62 -
10394at50557_378494_0:004c1b|STRG.7542.2:369-1187|+    -            273 37657at50557         -            403      0.08   10.7   0.5   3   3     0.011       2.2    6.0   0.0    53    77   243   267   204   273 0.85 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/37657at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/37657at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/37657at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:54:37 2024
# [ok]
