#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
43121at50557_103372_0:001d6c|STRG.17025.1:106-1101|+   -            332 43121at50557         -            432  2.9e-163  542.8   2.1   1   1  4.3e-164  1.6e-162  540.3   2.1     1   290     1   332     1   332 0.92 -
80377at50557_30019_0:0008bb|STRG.11985.4:1597-2457|+   -            287 43121at50557         -            432   1.7e-27   95.4  19.9   3   5   3.2e-08   1.2e-06   26.7   0.1   263   347   134   217   129   227 0.90 -
80377at50557_30019_0:0008bb|STRG.11985.4:1597-2457|+   -            287 43121at50557         -            432   1.7e-27   95.4  19.9   4   5   2.5e-08   9.3e-07   27.1   0.3   262   333   173   243   168   248 0.91 -
80377at50557_30019_0:0008bb|STRG.11985.4:1597-2457|+   -            287 43121at50557         -            432   1.7e-27   95.4  19.9   5   5   2.8e-06   0.00011   20.3   0.5   277   334   226   287   224   287 0.87 -
80377at50557_30019_0:0008bb|STRG.11985.5:1377-2237|+   -            287 43121at50557         -            432   1.7e-27   95.4  19.9   1   5   1.2e-11   4.6e-10   38.0   1.5   257   360     8   109     3   111 0.85 -
80377at50557_30019_0:0008bb|STRG.11985.5:1377-2237|+   -            287 43121at50557         -            432   1.7e-27   95.4  19.9   2   5   8.9e-07   3.4e-05   22.0   0.0   264   333    95   163    89   172 0.88 -
80377at50557_30019_0:0008bb|STRG.11985.5:1377-2237|+   -            287 43121at50557         -            432   1.7e-27   95.4  19.9   3   5   3.2e-08   1.2e-06   26.7   0.1   263   347   134   217   129   227 0.90 -
80377at50557_30019_0:0008bb|STRG.11985.5:1377-2237|+   -            287 43121at50557         -            432   1.7e-27   95.4  19.9   4   5   2.5e-08   9.3e-07   27.1   0.3   262   333   173   243   168   248 0.91 -
80377at50557_30019_0:0008bb|STRG.11985.5:1377-2237|+   -            287 43121at50557         -            432   1.7e-27   95.4  19.9   5   5   2.8e-06   0.00011   20.3   0.5   277   334   226   287   224   287 0.87 -
80377at50557_30019_0:0008bb|STRG.11985.8:921-1781|+    -            287 43121at50557         -            432   1.7e-27   95.4  19.9   1   5   1.2e-11   4.6e-10   38.0   1.5   257   360     8   109     3   111 0.85 -
80377at50557_30019_0:0008bb|STRG.11985.8:921-1781|+    -            287 43121at50557         -            432   1.7e-27   95.4  19.9   2   5   8.9e-07   3.4e-05   22.0   0.0   264   333    95   163    89   172 0.88 -
80377at50557_30019_0:0008bb|STRG.11985.8:921-1781|+    -            287 43121at50557         -            432   1.7e-27   95.4  19.9   3   5   3.2e-08   1.2e-06   26.7   0.1   263   347   134   217   129   227 0.90 -
80377at50557_30019_0:0008bb|STRG.11985.8:921-1781|+    -            287 43121at50557         -            432   1.7e-27   95.4  19.9   4   5   2.5e-08   9.3e-07   27.1   0.3   262   333   173   243   168   248 0.91 -
80377at50557_30019_0:0008bb|STRG.11985.8:921-1781|+    -            287 43121at50557         -            432   1.7e-27   95.4  19.9   5   5   2.8e-06   0.00011   20.3   0.5   277   334   226   287   224   287 0.87 -
40115at50557_156304_0:001c45|STRG.9047.1:153-1079|+    -            309 43121at50557         -            432   1.1e-25   89.5   1.6   1   4   3.4e-07   1.3e-05   23.4   0.0   263   336    18    94    14   100 0.90 -
40115at50557_156304_0:001c45|STRG.9047.1:153-1079|+    -            309 43121at50557         -            432   1.1e-25   89.5   1.6   2   4     4e-11   1.5e-09   36.3   0.1   262   334   101   176    92   179 0.91 -
40115at50557_156304_0:001c45|STRG.9047.1:153-1079|+    -            309 43121at50557         -            432   1.1e-25   89.5   1.6   3   4   1.1e-08   4.2e-07   28.3   0.0   268   341   149   226   148   232 0.86 -
40115at50557_156304_0:001c45|STRG.9047.1:153-1079|+    -            309 43121at50557         -            432   1.1e-25   89.5   1.6   4   4   6.1e-06   0.00023   19.2   0.0   157   258   198   300   196   303 0.88 -
40115at50557_156304_0:001c45|STRG.9047.3:195-1121|+    -            309 43121at50557         -            432   1.1e-25   89.5   1.6   1   4   3.4e-07   1.3e-05   23.4   0.0   263   336    18    94    14   100 0.90 -
40115at50557_156304_0:001c45|STRG.9047.3:195-1121|+    -            309 43121at50557         -            432   1.1e-25   89.5   1.6   2   4     4e-11   1.5e-09   36.3   0.1   262   334   101   176    92   179 0.91 -
40115at50557_156304_0:001c45|STRG.9047.3:195-1121|+    -            309 43121at50557         -            432   1.1e-25   89.5   1.6   3   4   1.1e-08   4.2e-07   28.3   0.0   268   341   149   226   148   232 0.86 -
40115at50557_156304_0:001c45|STRG.9047.3:195-1121|+    -            309 43121at50557         -            432   1.1e-25   89.5   1.6   4   4   6.1e-06   0.00023   19.2   0.0   157   258   198   300   196   303 0.88 -
40115at50557_156304_0:001c45|STRG.9047.2:292-1242|+    -            317 43121at50557         -            432   1.5e-25   89.0   1.4   1   4   3.6e-07   1.4e-05   23.3   0.0   263   336    26   102    23   108 0.90 -
40115at50557_156304_0:001c45|STRG.9047.2:292-1242|+    -            317 43121at50557         -            432   1.5e-25   89.0   1.4   2   4   4.2e-11   1.6e-09   36.2   0.1   262   334   109   184   100   187 0.91 -
40115at50557_156304_0:001c45|STRG.9047.2:292-1242|+    -            317 43121at50557         -            432   1.5e-25   89.0   1.4   3   4   1.1e-08   4.3e-07   28.2   0.0   268   341   157   234   156   240 0.86 -
40115at50557_156304_0:001c45|STRG.9047.2:292-1242|+    -            317 43121at50557         -            432   1.5e-25   89.0   1.4   4   4   7.8e-06   0.00029   18.9   0.0   157   258   206   308   205   311 0.87 -
33043at50557_454923_0:001231|STRG.5794.1:3409-4779|+   -            457 43121at50557         -            432   5.6e-25   87.1   5.5   1   5    0.0038      0.14   10.0   0.0   268   338    46   119    41   139 0.83 -
33043at50557_454923_0:001231|STRG.5794.1:3409-4779|+   -            457 43121at50557         -            432   5.6e-25   87.1   5.5   2   5    0.0091      0.34    8.8   0.0   266   306   179   219   172   221 0.54 -
33043at50557_454923_0:001231|STRG.5794.1:3409-4779|+   -            457 43121at50557         -            432   5.6e-25   87.1   5.5   3   5   4.6e-09   1.8e-07   29.5   0.1   263   333   218   290   215   300 0.91 -
33043at50557_454923_0:001231|STRG.5794.1:3409-4779|+   -            457 43121at50557         -            432   5.6e-25   87.1   5.5   4   5   0.00033     0.012   13.5   0.0   187   225   340   378   334   381 0.86 -
33043at50557_454923_0:001231|STRG.5794.1:3409-4779|+   -            457 43121at50557         -            432   5.6e-25   87.1   5.5   5   5   1.7e-05   0.00066   17.7   0.4   263   334   382   457   379   457 0.90 -
33043at50557_454923_0:001231|STRG.5794.2:2369-3739|+   -            457 43121at50557         -            432   5.6e-25   87.1   5.5   1   5    0.0038      0.14   10.0   0.0   268   338    46   119    41   139 0.83 -
33043at50557_454923_0:001231|STRG.5794.2:2369-3739|+   -            457 43121at50557         -            432   5.6e-25   87.1   5.5   2   5    0.0091      0.34    8.8   0.0   266   306   179   219   172   221 0.54 -
33043at50557_454923_0:001231|STRG.5794.2:2369-3739|+   -            457 43121at50557         -            432   5.6e-25   87.1   5.5   3   5   4.6e-09   1.8e-07   29.5   0.1   263   333   218   290   215   300 0.91 -
33043at50557_454923_0:001231|STRG.5794.2:2369-3739|+   -            457 43121at50557         -            432   5.6e-25   87.1   5.5   4   5   0.00033     0.012   13.5   0.0   187   225   340   378   334   381 0.86 -
33043at50557_454923_0:001231|STRG.5794.2:2369-3739|+   -            457 43121at50557         -            432   5.6e-25   87.1   5.5   5   5   1.7e-05   0.00066   17.7   0.4   263   334   382   457   379   457 0.90 -
80377at50557_456900_0:000374|STRG.1267.1:0-1046|+      -            349 43121at50557         -            432   6.3e-25   87.0   0.2   1   4      0.15       5.9    4.7   0.0   187   218    55    86    29    93 0.83 -
80377at50557_456900_0:000374|STRG.1267.1:0-1046|+      -            349 43121at50557         -            432   6.3e-25   87.0   0.2   2   4   1.2e-11   4.5e-10   38.0   0.0   262   336    97   175    88   184 0.87 -
80377at50557_456900_0:000374|STRG.1267.1:0-1046|+      -            349 43121at50557         -            432   6.3e-25   87.0   0.2   3   4   5.1e-10   1.9e-08   32.6   0.0   266   338   185   260   177   269 0.89 -
80377at50557_456900_0:000374|STRG.1267.1:0-1046|+      -            349 43121at50557         -            432   6.3e-25   87.0   0.2   4   4     0.026      0.98    7.3   0.0   265   328   276   342   263   349 0.75 -
40115at50557_110193_0:00292f|STRG.15028.1:541-1401|+   -            287 43121at50557         -            432   1.6e-23   82.3   5.0   1   4     0.021      0.81    7.5   0.0   263   309     4    51     2    56 0.83 -
40115at50557_110193_0:00292f|STRG.15028.1:541-1401|+   -            287 43121at50557         -            432   1.6e-23   82.3   5.0   2   4   3.6e-10   1.4e-08   33.2   0.0   264   342    48   129    46   140 0.85 -
40115at50557_110193_0:00292f|STRG.15028.1:541-1401|+   -            287 43121at50557         -            432   1.6e-23   82.3   5.0   3   4   4.2e-05    0.0016   16.5   0.1   268   336   136   207   127   214 0.85 -
40115at50557_110193_0:00292f|STRG.15028.1:541-1401|+   -            287 43121at50557         -            432   1.6e-23   82.3   5.0   4   4   1.5e-08   5.6e-07   27.8   0.1   260   331   213   287   209   287 0.91 -
40115at50557_110193_0:00292f|STRG.15028.2:384-1244|+   -            287 43121at50557         -            432   1.6e-23   82.3   5.0   1   4     0.021      0.81    7.5   0.0   263   309     4    51     2    56 0.83 -
40115at50557_110193_0:00292f|STRG.15028.2:384-1244|+   -            287 43121at50557         -            432   1.6e-23   82.3   5.0   2   4   3.6e-10   1.4e-08   33.2   0.0   264   342    48   129    46   140 0.85 -
40115at50557_110193_0:00292f|STRG.15028.2:384-1244|+   -            287 43121at50557         -            432   1.6e-23   82.3   5.0   3   4   4.2e-05    0.0016   16.5   0.1   268   336   136   207   127   214 0.85 -
40115at50557_110193_0:00292f|STRG.15028.2:384-1244|+   -            287 43121at50557         -            432   1.6e-23   82.3   5.0   4   4   1.5e-08   5.6e-07   27.8   0.1   260   331   213   287   209   287 0.91 -
40115at50557_103372_0:0021d6|STRG.8786.1:1-1233|+      -            411 43121at50557         -            432   6.3e-23   80.4   0.2   1   4    0.0051      0.19    9.6   0.0   187   220    49    82    46    87 0.69 -
40115at50557_103372_0:0021d6|STRG.8786.1:1-1233|+      -            411 43121at50557         -            432   6.3e-23   80.4   0.2   2   4   1.6e-05   0.00061   17.8   0.0   255   312   174   229    91   239 0.57 -
40115at50557_103372_0:0021d6|STRG.8786.1:1-1233|+      -            411 43121at50557         -            432   6.3e-23   80.4   0.2   3   4   8.1e-12   3.1e-10   38.6   0.1   263   336   297   373   292   375 0.91 -
40115at50557_103372_0:0021d6|STRG.8786.1:1-1233|+      -            411 43121at50557         -            432   6.3e-23   80.4   0.2   4   4   2.5e-08   9.4e-07   27.1   0.0   191   260   343   410   339   411 0.91 -
40115at50557_1629725_0:001335|STRG.8342.1:1526-2329|+  -            268 43121at50557         -            432   2.8e-22   78.2   5.1   1   4   1.6e-06   6.2e-05   21.1   0.1   279   333     2    57     1    71 0.87 -
40115at50557_1629725_0:001335|STRG.8342.1:1526-2329|+  -            268 43121at50557         -            432   2.8e-22   78.2   5.1   2   4   1.3e-05   0.00048   18.2   0.1   271   333    74   140    66   146 0.81 -
40115at50557_1629725_0:001335|STRG.8342.1:1526-2329|+  -            268 43121at50557         -            432   2.8e-22   78.2   5.1   3   4   1.8e-11   6.7e-10   37.4   0.0   262   334   150   221   145   231 0.91 -
40115at50557_1629725_0:001335|STRG.8342.1:1526-2329|+  -            268 43121at50557         -            432   2.8e-22   78.2   5.1   4   4       1.6        59    1.4   0.0   305   331   240   267   227   268 0.64 -
40115at50557_103372_0:0021d6|STRG.8786.9:0-1442|+      -            481 43121at50557         -            432   4.2e-22   77.6   0.2   1   4    0.0064      0.24    9.2   0.0   187   220   118   151   112   155 0.74 -
40115at50557_103372_0:0021d6|STRG.8786.9:0-1442|+      -            481 43121at50557         -            432   4.2e-22   77.6   0.2   2   4   2.1e-05   0.00081   17.4   0.0   255   312   243   298   160   308 0.57 -
40115at50557_103372_0:0021d6|STRG.8786.9:0-1442|+      -            481 43121at50557         -            432   4.2e-22   77.6   0.2   3   4   7.8e-12     3e-10   38.6   0.1   263   337   366   443   359   446 0.91 -
40115at50557_103372_0:0021d6|STRG.8786.9:0-1442|+      -            481 43121at50557         -            432   4.2e-22   77.6   0.2   4   4   1.5e-07   5.7e-06   24.5   0.0   195   260   416   479   411   481 0.91 -
40115at50557_103372_0:0021d6|STRG.8786.11:187-1702|+   -            481 43121at50557         -            432     7e-22   76.9   0.2   1   5    0.0059      0.23    9.4   0.0   305   338   118   154   109   159 0.65 -
40115at50557_103372_0:0021d6|STRG.8786.11:187-1702|+   -            481 43121at50557         -            432     7e-22   76.9   0.2   2   5     0.039       1.5    6.7   0.0   262   335   159   241   152   248 0.80 -
40115at50557_103372_0:0021d6|STRG.8786.11:187-1702|+   -            481 43121at50557         -            432     7e-22   76.9   0.2   3   5   0.00013    0.0051   14.8   0.0   262   313   249   299   242   308 0.90 -
40115at50557_103372_0:0021d6|STRG.8786.11:187-1702|+   -            481 43121at50557         -            432     7e-22   76.9   0.2   4   5   7.8e-12     3e-10   38.6   0.1   263   337   366   443   359   446 0.91 -
40115at50557_103372_0:0021d6|STRG.8786.11:187-1702|+   -            481 43121at50557         -            432     7e-22   76.9   0.2   5   5   1.5e-07   5.7e-06   24.5   0.0   195   260   416   479   411   481 0.91 -
40115at50557_597456_0:00265e|STRG.8786.8:187-1611|+    -            450 43121at50557         -            432   3.4e-21   74.7   6.5   1   5     0.004      0.15    9.9   0.0   308   341   115   148   104   176 0.81 -
40115at50557_597456_0:00265e|STRG.8786.8:187-1611|+    -            450 43121at50557         -            432   3.4e-21   74.7   6.5   2   5   7.8e-05     0.003   15.6   0.1   279   332   197   252   156   258 0.79 -
40115at50557_597456_0:00265e|STRG.8786.8:187-1611|+    -            450 43121at50557         -            432   3.4e-21   74.7   6.5   3   5   6.2e-05    0.0023   15.9   0.1   258   312   219   271   198   279 0.66 -
40115at50557_597456_0:00265e|STRG.8786.8:187-1611|+    -            450 43121at50557         -            432   3.4e-21   74.7   6.5   4   5   7.5e-12   2.8e-10   38.7   0.1   263   337   335   412   330   415 0.91 -
40115at50557_597456_0:00265e|STRG.8786.8:187-1611|+    -            450 43121at50557         -            432   3.4e-21   74.7   6.5   5   5   1.4e-07   5.2e-06   24.6   0.0   195   260   385   448   380   450 0.91 -
40115at50557_103372_0:0021d6|STRG.8786.7:187-1583|+    -            458 43121at50557         -            432   6.8e-21   73.7   0.3   1   4    0.0098      0.37    8.6   0.0   308   340   115   147   103   150 0.82 -
40115at50557_103372_0:0021d6|STRG.8786.7:187-1583|+    -            458 43121at50557         -            432   6.8e-21   73.7   0.3   2   4     0.038       1.4    6.7   0.0   262   335   150   232   146   240 0.80 -
40115at50557_103372_0:0021d6|STRG.8786.7:187-1583|+    -            458 43121at50557         -            432   6.8e-21   73.7   0.3   3   4   0.00012    0.0044   15.0   0.0   262   313   240   290   232   299 0.89 -
40115at50557_103372_0:0021d6|STRG.8786.7:187-1583|+    -            458 43121at50557         -            432   6.8e-21   73.7   0.3   4   4   6.6e-12   2.5e-10   38.9   0.1   263   337   357   434   351   439 0.91 -
40115at50557_103372_0:0021d6|STRG.8786.10:187-1692|+   -            463 43121at50557         -            432   2.8e-20   71.7   1.1   1   4    0.0025     0.095   10.6   0.0   305   341   118   157   108   186 0.73 -
40115at50557_103372_0:0021d6|STRG.8786.10:187-1692|+   -            463 43121at50557         -            432   2.8e-20   71.7   1.1   2   4   6.4e-05    0.0024   15.8   0.1   258   312   228   280   207   288 0.66 -
40115at50557_103372_0:0021d6|STRG.8786.10:187-1692|+   -            463 43121at50557         -            432   2.8e-20   71.7   1.1   3   4   7.3e-12   2.8e-10   38.7   0.1   263   337   348   425   341   428 0.91 -
40115at50557_103372_0:0021d6|STRG.8786.10:187-1692|+   -            463 43121at50557         -            432   2.8e-20   71.7   1.1   4   4   8.1e-08   3.1e-06   25.4   0.0   191   260   394   461   390   463 0.89 -
80377at50557_30019_0:0008bb|STRG.11728.1:369-1136|+    -            256 43121at50557         -            432   3.4e-20   71.4   1.5   1   4     0.092       3.5    5.4   0.0   267   308     8    49     3    57 0.65 -
80377at50557_30019_0:0008bb|STRG.11728.1:369-1136|+    -            256 43121at50557         -            432   3.4e-20   71.4   1.5   2   4     6e-09   2.3e-07   29.1   0.1   272   341    55   127    45   140 0.86 -
80377at50557_30019_0:0008bb|STRG.11728.1:369-1136|+    -            256 43121at50557         -            432   3.4e-20   71.4   1.5   3   4      0.13         5    4.9   0.0   277   305   144   172   131   174 0.68 -
80377at50557_30019_0:0008bb|STRG.11728.1:369-1136|+    -            256 43121at50557         -            432   3.4e-20   71.4   1.5   4   4   1.5e-09   5.6e-08   31.1   0.0   255   335   162   247   160   251 0.81 -
80377at50557_30019_0:0008bb|STRG.11728.2:216-983|+     -            256 43121at50557         -            432   3.4e-20   71.4   1.5   1   4     0.092       3.5    5.4   0.0   267   308     8    49     3    57 0.65 -
80377at50557_30019_0:0008bb|STRG.11728.2:216-983|+     -            256 43121at50557         -            432   3.4e-20   71.4   1.5   2   4     6e-09   2.3e-07   29.1   0.1   272   341    55   127    45   140 0.86 -
80377at50557_30019_0:0008bb|STRG.11728.2:216-983|+     -            256 43121at50557         -            432   3.4e-20   71.4   1.5   3   4      0.13         5    4.9   0.0   277   305   144   172   131   174 0.68 -
80377at50557_30019_0:0008bb|STRG.11728.2:216-983|+     -            256 43121at50557         -            432   3.4e-20   71.4   1.5   4   4   1.5e-09   5.6e-08   31.1   0.0   255   335   162   247   160   251 0.81 -
80377at50557_30019_0:0008bb|STRG.11728.3:180-947|+     -            256 43121at50557         -            432   3.4e-20   71.4   1.5   1   4     0.092       3.5    5.4   0.0   267   308     8    49     3    57 0.65 -
80377at50557_30019_0:0008bb|STRG.11728.3:180-947|+     -            256 43121at50557         -            432   3.4e-20   71.4   1.5   2   4     6e-09   2.3e-07   29.1   0.1   272   341    55   127    45   140 0.86 -
80377at50557_30019_0:0008bb|STRG.11728.3:180-947|+     -            256 43121at50557         -            432   3.4e-20   71.4   1.5   3   4      0.13         5    4.9   0.0   277   305   144   172   131   174 0.68 -
80377at50557_30019_0:0008bb|STRG.11728.3:180-947|+     -            256 43121at50557         -            432   3.4e-20   71.4   1.5   4   4   1.5e-09   5.6e-08   31.1   0.0   255   335   162   247   160   251 0.81 -
80377at50557_30019_0:0008bb|STRG.11728.4:27-794|+      -            256 43121at50557         -            432   3.4e-20   71.4   1.5   1   4     0.092       3.5    5.4   0.0   267   308     8    49     3    57 0.65 -
80377at50557_30019_0:0008bb|STRG.11728.4:27-794|+      -            256 43121at50557         -            432   3.4e-20   71.4   1.5   2   4     6e-09   2.3e-07   29.1   0.1   272   341    55   127    45   140 0.86 -
80377at50557_30019_0:0008bb|STRG.11728.4:27-794|+      -            256 43121at50557         -            432   3.4e-20   71.4   1.5   3   4      0.13         5    4.9   0.0   277   305   144   172   131   174 0.68 -
80377at50557_30019_0:0008bb|STRG.11728.4:27-794|+      -            256 43121at50557         -            432   3.4e-20   71.4   1.5   4   4   1.5e-09   5.6e-08   31.1   0.0   255   335   162   247   160   251 0.81 -
22030at50557_411798_0:00363d|STRG.11535.2:636-2860|+   -            705 43121at50557         -            432   5.7e-20   70.6   1.1   1   4   1.3e-10   4.8e-09   34.6   0.0   259   333    24   103    10   108 0.86 -
22030at50557_411798_0:00363d|STRG.11535.2:636-2860|+   -            705 43121at50557         -            432   5.7e-20   70.6   1.1   2   4      0.36        14    3.5   0.0   262   294   113   145   107   157 0.87 -
22030at50557_411798_0:00363d|STRG.11535.2:636-2860|+   -            705 43121at50557         -            432   5.7e-20   70.6   1.1   3   4   1.2e-07   4.7e-06   24.8   0.0   267   335   169   240   158   249 0.86 -
22030at50557_411798_0:00363d|STRG.11535.2:636-2860|+   -            705 43121at50557         -            432   5.7e-20   70.6   1.1   4   4       0.3        11    3.7   0.0   262   359   248   346   239   362 0.78 -
22030at50557_411798_0:00363d|STRG.11535.1:636-2879|+   -            709 43121at50557         -            432   5.9e-20   70.6   1.1   1   4   1.3e-10   4.8e-09   34.6   0.0   259   333    24   103    10   108 0.86 -
22030at50557_411798_0:00363d|STRG.11535.1:636-2879|+   -            709 43121at50557         -            432   5.9e-20   70.6   1.1   2   4      0.36        14    3.5   0.0   262   294   113   145   107   157 0.87 -
22030at50557_411798_0:00363d|STRG.11535.1:636-2879|+   -            709 43121at50557         -            432   5.9e-20   70.6   1.1   3   4   1.3e-07   4.8e-06   24.8   0.0   267   335   169   240   158   249 0.86 -
22030at50557_411798_0:00363d|STRG.11535.1:636-2879|+   -            709 43121at50557         -            432   5.9e-20   70.6   1.1   4   4       0.3        12    3.7   0.0   262   359   248   346   239   362 0.78 -
49370at50557_2015173_0:001990|STRG.7563.1:60-1046|+    -            329 43121at50557         -            432   1.1e-19   69.7   0.1   1   3   2.4e-12   8.9e-11   40.3   0.1   182   334    34   203    12   203 0.79 -
49370at50557_2015173_0:001990|STRG.7563.1:60-1046|+    -            329 43121at50557         -            432   1.1e-19   69.7   0.1   2   3   1.3e-05   0.00051   18.1   0.0   280   336   188   247   179   264 0.87 -
49370at50557_2015173_0:001990|STRG.7563.1:60-1046|+    -            329 43121at50557         -            432   1.1e-19   69.7   0.1   3   3   0.00093     0.035   12.0   0.0   184   216   296   328   278   329 0.87 -
33043at50557_7038_0:0032a9|STRG.16108.1:78-1970|+      -            631 43121at50557         -            432   2.1e-19   68.8   8.9   1   5      0.69        26    2.6   0.0   187   260    28   109    18   157 0.73 -
33043at50557_7038_0:0032a9|STRG.16108.1:78-1970|+      -            631 43121at50557         -            432   2.1e-19   68.8   8.9   2   5   1.2e-07   4.7e-06   24.8   0.6   239   334   347   456   228   457 0.78 -
