#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
42193at50557_103372_0:0016db|STRG.9123.1:192-1763|+   -            524 42193at50557         -            414  4.1e-215  713.4  10.9   1   1  4.3e-217  1.1e-214  712.0  10.9     1   407     1   455     1   462 0.92 -
27737at50557_67767_0:00339d|STRG.18741.2:500-946|+    -            149 42193at50557         -            414   1.9e-31  108.4   0.1   1   1   8.8e-34   2.3e-31  108.1   0.1   262   374    23   144    11   148 0.89 -
27737at50557_67767_0:00339d|STRG.18741.3:500-946|+    -            149 42193at50557         -            414   1.9e-31  108.4   0.1   1   1   8.8e-34   2.3e-31  108.1   0.1   262   374    23   144    11   148 0.89 -
27737at50557_67767_0:00339d|STRG.18741.4:500-946|+    -            149 42193at50557         -            414   1.9e-31  108.4   0.1   1   1   8.8e-34   2.3e-31  108.1   0.1   262   374    23   144    11   148 0.89 -
27737at50557_67767_0:00339d|STRG.18741.6:559-1005|+   -            149 42193at50557         -            414   1.9e-31  108.4   0.1   1   1   8.8e-34   2.3e-31  108.1   0.1   262   374    23   144    11   148 0.89 -
27737at50557_67767_0:00339d|STRG.12408.1:218-685|+    -            156 42193at50557         -            414   1.3e-30  105.7   0.1   1   1   5.5e-33   1.4e-30  105.5   0.1   263   382    22   151     6   156 0.88 -
27737at50557_121845_0:000a82|STRG.2665.1:64-1026|+    -            165 42193at50557         -            414   1.1e-29  102.6   0.2   1   1     8e-32   2.1e-29  101.7   0.2   256   388    14   164    10   165 0.83 -
27737at50557_121845_0:000a82|STRG.2665.2:269-866|+    -            165 42193at50557         -            414   1.1e-29  102.6   0.2   1   1     8e-32   2.1e-29  101.7   0.2   256   388    14   164    10   165 0.83 -
27737at50557_121845_0:000a82|STRG.2665.3:269-763|+    -            165 42193at50557         -            414   1.1e-29  102.6   0.2   1   1     8e-32   2.1e-29  101.7   0.2   256   388    14   164    10   165 0.83 -
27737at50557_121845_0:000a82|STRG.2665.4:266-863|+    -            165 42193at50557         -            414   1.1e-29  102.6   0.2   1   1     8e-32   2.1e-29  101.7   0.2   256   388    14   164    10   165 0.83 -
27737at50557_121845_0:000a82|STRG.2665.5:18-512|+     -            165 42193at50557         -            414   1.1e-29  102.6   0.2   1   1     8e-32   2.1e-29  101.7   0.2   256   388    14   164    10   165 0.83 -
120478at50557_411798_0:003623|STRG.11735.2:809-1264|+ -            152 42193at50557         -            414   3.5e-29  100.9   0.0   1   1   1.6e-31   4.2e-29  100.7   0.0   253   381     1   145     1   151 0.84 -
120478at50557_411798_0:003623|STRG.11735.3:81-536|+   -            152 42193at50557         -            414   3.5e-29  100.9   0.0   1   1   1.6e-31   4.2e-29  100.7   0.0   253   381     1   145     1   151 0.84 -
27737at50557_67767_0:00339d|STRG.14302.1:69-545|+     -            159 42193at50557         -            414   1.5e-28   98.8   0.1   1   1   8.7e-31   2.2e-28   98.3   0.1   255   387     9   158     6   159 0.86 -
92898at50557_62324_0:001787|STRG.14087.1:252-746|+    -            165 42193at50557         -            414   1.1e-24   86.1   0.1   1   1   5.1e-27   1.3e-24   85.8   0.1   251   387     5   156     2   163 0.89 -
120478at50557_37344_0:000e08|STRG.18741.5:539-902|+   -            115 42193at50557         -            414   5.9e-24   83.7   0.4   1   1   6.3e-26   1.6e-23   82.3   0.4   264   373    12   113     2   115 0.84 -
27737at50557_67767_0:00339d|STRG.19508.2:118-516|+    -            133 42193at50557         -            414   8.4e-24   83.2   0.2   1   2   5.5e-09   1.4e-06   26.5   0.1   256   301    17    68     5    72 0.79 -
27737at50557_67767_0:00339d|STRG.19508.2:118-516|+    -            133 42193at50557         -            414   8.4e-24   83.2   0.2   2   2   4.5e-18   1.2e-15   56.4   0.0   322   372    69   119    66   127 0.93 -
42193at50557_7539_0:00337e|STRG.14302.2:540-860|+     -            107 42193at50557         -            414   8.6e-23   79.9   0.0   1   1   3.8e-25   9.7e-23   79.7   0.0   288   382     6   104     2   107 0.90 -
42193at50557_7539_0:00337e|STRG.18663.1:486-848|+     -            121 42193at50557         -            414   1.3e-19   69.4   0.3   1   1   5.4e-22   1.4e-19   69.3   0.3   265   371     6   121     1   121 0.88 -
120478at50557_64459_0:001132|STRG.164.1:69-182|+      -             38 42193at50557         -            414   3.8e-12   44.8   0.0   1   1   1.5e-14     4e-12   44.8   0.0   326   363     1    38     1    38 0.98 -
96808at50557_34720_0:0024ed|STRG.17586.1:147-1007|+   -            287 42193at50557         -            414   2.3e-11   42.2   0.3   1   2   1.7e-06   0.00043   18.3   0.1    30    66    41    79    19   118 0.87 -
96808at50557_34720_0:0024ed|STRG.17586.1:147-1007|+   -            287 42193at50557         -            414   2.3e-11   42.2   0.3   2   2   1.4e-07   3.5e-05   21.9   0.0    66   149   170   264   162   271 0.78 -
42193at50557_197043_0:007f2e|STRG.4727.1:207-380|+    -             58 42193at50557         -            414   1.6e-08   32.9   0.0   1   1   6.3e-11   1.6e-08   32.9   0.0   264   303    10    54     1    57 0.83 -
48053at50557_104421_0:0017a2|STRG.1421.1:6-1523|+     -            506 42193at50557         -            414      0.03   12.2   0.0   1   1   0.00028     0.072   11.0   0.0    41    83    16    59     6    85 0.86 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/42193at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/42193at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/42193at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:54:48 2024
# [ok]
