#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
70072at50557_456900_0:00138d|STRG.7987.1:0-1457|+     -            486 70072at50557         -            398  1.3e-204  678.2   2.4   1   1  2.6e-207  1.8e-204  677.7   2.4    19   394    78   463    66   467 0.95 -
89121at50557_454923_0:000612|STRG.18069.1:1359-2384|+ -            342 70072at50557         -            398   1.4e-06   26.1   3.1   3   3      0.26   1.8e+02   -0.6   0.0    58   124   256   322   218   328 0.66 -
35300at50557_103372_0:002ae9|STRG.9792.1:0-1763|+     -            588 70072at50557         -            398   1.1e-05   23.2   3.9   1   4    0.0084         6    4.3   0.2    58   132    97   175    55   194 0.70 -
35300at50557_103372_0:002ae9|STRG.9792.1:0-1763|+     -            588 70072at50557         -            398   1.1e-05   23.2   3.9   2   4     0.002       1.4    6.4   0.0    17   125   300   406   292   413 0.77 -
35300at50557_103372_0:002ae9|STRG.9792.1:0-1763|+     -            588 70072at50557         -            398   1.1e-05   23.2   3.9   3   4     5e-05     0.035   11.6   0.1    61   127   418   486   405   520 0.81 -
35300at50557_103372_0:002ae9|STRG.9792.1:0-1763|+     -            588 70072at50557         -            398   1.1e-05   23.2   3.9   4   4      0.67   4.7e+02   -1.9   0.0    64    88   527   551   492   556 0.70 -
26870at50557_286306_0:00409f|STRG.11984.3:1200-2036|+ -            279 70072at50557         -            398     0.014   13.0   0.4   1   2   9.7e-05     0.069   10.7   0.1    59   140    49   130     2   140 0.72 -
26870at50557_286306_0:00409f|STRG.11984.3:1200-2036|+ -            279 70072at50557         -            398     0.014   13.0   0.4   2   2      0.13        90    0.4   0.0    59    85   186   212   154   264 0.70 -
89121at50557_34720_0:000746|STRG.3628.2:660-1589|+    -            310 70072at50557         -            398     0.024   12.2   0.5   1   2     0.048        34    1.8   0.0    53   103    97   147    39   169 0.73 -
89121at50557_34720_0:000746|STRG.3628.2:660-1589|+    -            310 70072at50557         -            398     0.024   12.2   0.5   2   2   0.00044      0.31    8.5   0.1    53   102   199   248   181   306 0.70 -
27499at50557_319348_0:002d28|STRG.11984.1:1394-3235|+ -            614 70072at50557         -            398     0.064   10.8   1.3   1   3    0.0004      0.28    8.7   0.1    60   140    51   131     2   141 0.72 -
27499at50557_319348_0:002d28|STRG.11984.1:1394-3235|+ -            614 70072at50557         -            398     0.064   10.8   1.3   2   3      0.41   2.9e+02   -1.2   0.1    59    85   187   213   163   282 0.72 -
27499at50557_319348_0:002d28|STRG.11984.1:1394-3235|+ -            614 70072at50557         -            398     0.064   10.8   1.3   3   3      0.69   4.9e+02   -2.0   0.0    54   121   372   440   365   447 0.66 -
27499at50557_319348_0:002d28|STRG.11984.2:1862-3703|+ -            614 70072at50557         -            398     0.064   10.8   1.3   1   3    0.0004      0.28    8.7   0.1    60   140    51   131     2   141 0.72 -
27499at50557_319348_0:002d28|STRG.11984.2:1862-3703|+ -            614 70072at50557         -            398     0.064   10.8   1.3   2   3      0.41   2.9e+02   -1.2   0.1    59    85   187   213   163   282 0.72 -
27499at50557_319348_0:002d28|STRG.11984.2:1862-3703|+ -            614 70072at50557         -            398     0.064   10.8   1.3   3   3      0.69   4.9e+02   -2.0   0.0    54   121   372   440   365   447 0.66 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/70072at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/70072at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/70072at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:56:23 2024
# [ok]
