#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
59918at50557_456900_0:001767|STRG.15633.1:0-791|+       -            264 59918at50557         -            285  1.9e-115  383.9   4.4   1   1  6.4e-118  2.3e-115  383.6   4.4     5   208    42   264    39   264 0.95 -
106023at50557_39758_0:004d29|STRG.6758.2:122-658|+      -            179 59918at50557         -            285    0.0011   17.2   0.1   1   1   3.4e-06    0.0012   17.0   0.1     4    91    13   100    10   139 0.82 -
118237at50557_7070_0:00080a|STRG.11998.1:118-663|+      -            182 59918at50557         -            285    0.0049   15.1   0.0   1   1   5.4e-05      0.02   13.1   0.0     3   113    15   119    13   163 0.74 -
118237at50557_1155016_0:0017e6|STRG.10809.2:1143-1478|+ -            112 59918at50557         -            285     0.042   12.0   0.0   1   1   0.00023     0.085   11.0   0.0     9    92     2    79     1   102 0.69 -
117348at50557_7425_0:0012b0|STRG.11450.2:115-802|+      -            172 59918at50557         -            285     0.057   11.6   0.0   1   1   0.00032      0.12   10.6   0.0     9    92    21    97    17   123 0.72 -
118237at50557_121845_0:0047c3|STRG.11450.1:139-654|+    -            172 59918at50557         -            285      0.06   11.5   0.0   1   1   0.00043      0.16   10.1   0.0     9    91    13    88     9    98 0.70 -
118237at50557_121845_0:0047c3|STRG.11450.3:139-663|+    -            175 59918at50557         -            285     0.063   11.5   0.0   1   1   0.00045      0.16   10.1   0.0     9    91    13    88     9    98 0.69 -
118237at50557_7070_0:00080a|STRG.10809.1:1146-1622|+    -            159 59918at50557         -            285     0.073   11.2   0.1   1   2   0.00062      0.23    9.6   0.0    10    92     3    79     1   101 0.67 -
118237at50557_7070_0:00080a|STRG.10809.1:1146-1622|+    -            159 59918at50557         -            285     0.073   11.2   0.1   2   2       3.7   1.4e+03   -2.8   0.0   208   230   129   151   117   156 0.66 -
118237at50557_7070_0:00080a|STRG.19661.5:27-497|+       -            157 59918at50557         -            285     0.075   11.2   0.0   1   1   0.00047      0.17   10.0   0.0     9    92     6    82     2   116 0.64 -
118237at50557_56086_0:002463|STRG.19661.1:288-797|+     -            170 59918at50557         -            285     0.083   11.0   0.1   1   1   0.00049      0.18    9.9   0.1     9    96    19   100    13   135 0.65 -
118237at50557_56086_0:002463|STRG.19661.2:293-802|+     -            170 59918at50557         -            285     0.083   11.0   0.1   1   1   0.00049      0.18    9.9   0.1     9    96    19   100    13   135 0.65 -
118237at50557_56086_0:002463|STRG.19661.3:219-728|+     -            170 59918at50557         -            285     0.083   11.0   0.1   1   1   0.00049      0.18    9.9   0.1     9    96    19   100    13   135 0.65 -
118237at50557_56086_0:002463|STRG.19661.4:185-694|+     -            170 59918at50557         -            285     0.083   11.0   0.1   1   1   0.00049      0.18    9.9   0.1     9    96    19   100    13   135 0.65 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/59918at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/59918at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/59918at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:55:59 2024
# [ok]
