#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
13158at50557_34720_0:00221b|STRG.16382.1:0-2582|+      -            861 13158at50557         -            643         0 1100.1   6.1   1   1         0         0 1098.8   6.1     8   617    86   752    79   787 0.92 -
13158at50557_37001_0:002c96|STRG.10023.1:1122-2654|+   -            511 13158at50557         -            643   2.8e-52  176.6   0.0   1   1   2.8e-54   5.3e-52  175.6   0.0    66   508    19   511    10   511 0.75 -
52925at50557_568069_0:003a4f|STRG.639.1:382-2028|+     -            549 13158at50557         -            643     1e-48  164.8   0.0   1   1   1.1e-50   2.1e-48  163.8   0.0    60   529    46   540    40   543 0.74 -
52925at50557_568069_0:003a4f|STRG.639.2:384-2030|+     -            549 13158at50557         -            643     1e-48  164.8   0.0   1   1   1.1e-50   2.1e-48  163.8   0.0    60   529    46   540    40   543 0.74 -
52925at50557_568069_0:003a4f|STRG.639.3:417-2063|+     -            549 13158at50557         -            643     1e-48  164.8   0.0   1   1   1.1e-50   2.1e-48  163.8   0.0    60   529    46   540    40   543 0.74 -
33009at50557_104421_0:001283|STRG.17967.1:81-1700|+    -            540 13158at50557         -            643   3.2e-47  159.8   2.9   1   1   4.5e-49   8.7e-47  158.4   2.9    67   555    17   539     8   540 0.77 -
33009at50557_121225_0:000521|STRG.18365.1:1794-3248|+  -            485 13158at50557         -            643   1.1e-46  158.1   2.2   1   2   5.2e-44     1e-41  141.7   0.0    72   284     1   215     1   244 0.91 -
33009at50557_121225_0:000521|STRG.18365.1:1794-3248|+  -            485 13158at50557         -            643   1.1e-46  158.1   2.2   2   2   8.2e-06    0.0016   15.5   1.3   412   531   352   484   339   485 0.76 -
33009at50557_121225_0:000521|STRG.18365.3:284-1738|+   -            485 13158at50557         -            643   1.1e-46  158.1   2.2   1   2   5.2e-44     1e-41  141.7   0.0    72   284     1   215     1   244 0.91 -
33009at50557_121225_0:000521|STRG.18365.3:284-1738|+   -            485 13158at50557         -            643   1.1e-46  158.1   2.2   2   2   8.2e-06    0.0016   15.5   1.3   412   531   352   484   339   485 0.76 -
33009at50557_121225_0:000521|STRG.18365.4:250-1704|+   -            485 13158at50557         -            643   1.1e-46  158.1   2.2   1   2   5.2e-44     1e-41  141.7   0.0    72   284     1   215     1   244 0.91 -
33009at50557_121225_0:000521|STRG.18365.4:250-1704|+   -            485 13158at50557         -            643   1.1e-46  158.1   2.2   2   2   8.2e-06    0.0016   15.5   1.3   412   531   352   484   339   485 0.76 -
33009at50557_64459_0:0021c0|STRG.595.1:92-1591|+       -            500 13158at50557         -            643   6.2e-46  155.6   0.2   1   2   2.9e-47   5.7e-45  152.4   0.0    71   328    26   290    17   293 0.84 -
33009at50557_64459_0:0021c0|STRG.595.1:92-1591|+       -            500 13158at50557         -            643   6.2e-46  155.6   0.2   2   2      0.19        36    1.1   0.1   476   510   449   483   364   489 0.61 -
33009at50557_441921_0:00050e|STRG.11429.1:69-1640|+    -            524 13158at50557         -            643     9e-46  155.1   1.7   1   1   2.2e-47   4.3e-45  152.8   1.7    63   531    16   500    10   506 0.75 -
52925at50557_568069_0:003a4f|STRG.18364.4:208-1938|+   -            577 13158at50557         -            643   1.5e-44  151.0   0.3   1   2   1.1e-41   2.2e-39  134.0   0.0    71   264    28   223    17   242 0.88 -
52925at50557_568069_0:003a4f|STRG.18364.4:208-1938|+   -            577 13158at50557         -            643   1.5e-44  151.0   0.3   2   2   1.1e-05    0.0021   15.1   0.1   457   530   481   557   468   570 0.78 -
33009at50557_411798_0:001e30|STRG.18364.3:232-1755|+   -            508 13158at50557         -            643     5e-44  149.3   0.2   1   2   8.5e-42   1.6e-39  134.4   0.0    71   264    20   215     9   235 0.88 -
33009at50557_411798_0:001e30|STRG.18364.3:232-1755|+   -            508 13158at50557         -            643     5e-44  149.3   0.2   2   2   4.7e-05    0.0091   13.0   0.0   476   530   447   503   426   507 0.71 -
33009at50557_411798_0:001e30|STRG.18364.2:232-1749|+   -            506 13158at50557         -            643     5e-44  149.3   0.2   1   2   8.5e-42   1.6e-39  134.4   0.0    71   264    20   215     9   234 0.88 -
33009at50557_411798_0:001e30|STRG.18364.2:232-1749|+   -            506 13158at50557         -            643     5e-44  149.3   0.2   2   2   4.7e-05    0.0091   13.0   0.0   476   530   445   501   424   505 0.71 -
33009at50557_411798_0:001e30|STRG.18364.5:30-1547|+    -            506 13158at50557         -            643     5e-44  149.3   0.2   1   2   8.5e-42   1.6e-39  134.4   0.0    71   264    20   215     9   234 0.88 -
33009at50557_411798_0:001e30|STRG.18364.5:30-1547|+    -            506 13158at50557         -            643     5e-44  149.3   0.2   2   2   4.7e-05    0.0091   13.0   0.0   476   530   445   501   424   505 0.71 -
33009at50557_516756_0:000dd3|STRG.3300.2:213-1634|+    -            474 13158at50557         -            643   2.6e-43  146.9   0.0   1   1   1.8e-45   3.5e-43  146.5   0.0    74   297     1   222     1   236 0.89 -
33009at50557_91411_0:0001b1|STRG.12578.1:314-1855|+    -            514 13158at50557         -            643   3.3e-43  146.6   0.5   1   2   2.5e-41   4.8e-39  132.9   0.0    71   263    18   212     9   222 0.88 -
33009at50557_91411_0:0001b1|STRG.12578.1:314-1855|+    -            514 13158at50557         -            643   3.3e-43  146.6   0.5   2   2   8.3e-05     0.016   12.2   0.1   485   544   451   510   399   513 0.79 -
33009at50557_91411_0:0001b1|STRG.12578.2:27-1568|+     -            514 13158at50557         -            643   3.3e-43  146.6   0.5   1   2   2.5e-41   4.8e-39  132.9   0.0    71   263    18   212     9   222 0.88 -
33009at50557_91411_0:0001b1|STRG.12578.2:27-1568|+     -            514 13158at50557         -            643   3.3e-43  146.6   0.5   2   2   8.3e-05     0.016   12.2   0.1   485   544   451   510   399   513 0.79 -
52925at50557_568069_0:003a4f|STRG.1260.1:51-1721|+     -            557 13158at50557         -            643   2.1e-41  140.7   0.0   1   1   1.5e-43     3e-41  140.1   0.0    65   286     8   233     2   240 0.81 -
33009at50557_7493_0:000a0b|STRG.18365.2:72-1577|+      -            502 13158at50557         -            643     4e-39  133.1   0.1   1   2   1.6e-40   3.1e-38  130.2   0.0    71   282    28   239    19   272 0.88 -
33009at50557_7493_0:000a0b|STRG.18365.2:72-1577|+      -            502 13158at50557         -            643     4e-39  133.1   0.1   2   2      0.27        52    0.6   0.0   488   511   466   489   446   498 0.84 -
52688at50557_1155016_0:003186|STRG.18364.1:175-801|+   -            209 13158at50557         -            643   8.8e-39  132.0   0.0   1   1   5.7e-41   1.1e-38  131.6   0.0    70   257    17   206     7   208 0.88 -
33009at50557_7493_0:000a0b|STRG.18365.1:72-1529|+      -            486 13158at50557         -            643   1.9e-38  130.8   0.0   1   1   1.5e-40   2.9e-38  130.3   0.0    71   282    28   239    19   272 0.88 -
52925at50557_568069_0:003a4f|STRG.8315.1:61-1704|+     -            548 13158at50557         -            643   1.1e-34  118.5   0.0   1   1   8.6e-37   1.6e-34  117.9   0.0    68   327    46   305    39   350 0.80 -
33009at50557_2015173_0:002b24|STRG.8315.2:178-1300|+   -            362 13158at50557         -            643   5.5e-34  116.1   0.0   1   1   3.5e-36   6.8e-34  115.8   0.0    68   327     7   265     2   310 0.80 -
33009at50557_7375_0:0014bc|STRG.10021.2:103-1482|+     -            460 13158at50557         -            643   2.6e-33  113.9   1.4   1   2     2e-32   3.9e-30  103.4   0.0   140   325    18   206     3   221 0.82 -
33009at50557_7375_0:0014bc|STRG.10021.2:103-1482|+     -            460 13158at50557         -            643   2.6e-33  113.9   1.4   2   2   0.00074      0.14    9.0   1.0   411   556   297   459   288   460 0.61 -
33009at50557_34720_0:001e7b|STRG.14641.1:15-1064|+     -            350 13158at50557         -            643   1.4e-32  111.4   1.2   1   1   4.8e-34   9.2e-32  108.8   1.2   175   497     8   347     2   350 0.76 -
13158at50557_1049336_0:003a6e|STRG.18333.1:1438-2025|+ -            196 13158at50557         -            643   2.5e-32  110.7   0.0   1   1   1.6e-34   3.1e-32  110.3   0.0    86   257     3   196     1   196 0.82 -
52688at50557_520822_0:001919|STRG.1532.1:648-2828|+    -            727 13158at50557         -            643   3.8e-26   90.2   0.5   1   2      0.24        47    0.7   0.3   578   604   203   230   192   245 0.75 -
52688at50557_520822_0:001919|STRG.1532.1:648-2828|+    -            727 13158at50557         -            643   3.8e-26   90.2   0.5   2   2   1.9e-27   3.8e-25   86.9   0.0    68   258   258   459   251   470 0.81 -
52688at50557_520822_0:001919|STRG.1532.2:198-2378|+    -            727 13158at50557         -            643   3.8e-26   90.2   0.5   1   2      0.24        47    0.7   0.3   578   604   203   230   192   245 0.75 -
52688at50557_520822_0:001919|STRG.1532.2:198-2378|+    -            727 13158at50557         -            643   3.8e-26   90.2   0.5   2   2   1.9e-27   3.8e-25   86.9   0.0    68   258   258   459   251   470 0.81 -
33009at50557_93721_0:002db5|STRG.10016.1:0-1118|+      -            373 13158at50557         -            643   2.6e-05   21.4   0.1   1   2   2.2e-06   0.00042   17.4   0.0   248   331     2    86     1   206 0.87 -
33009at50557_93721_0:002db5|STRG.10016.1:0-1118|+      -            373 13158at50557         -            643   2.6e-05   21.4   0.1   2   2     0.092        18    2.1   0.0   466   510   271   312   232   318 0.73 -
33009at50557_93721_0:002db5|STRG.10016.2:0-1115|+      -            372 13158at50557         -            643   3.2e-05   21.1   0.1   1   2   2.2e-06   0.00042   17.4   0.0   248   331     2    86     1   206 0.87 -
33009at50557_93721_0:002db5|STRG.10016.2:0-1115|+      -            372 13158at50557         -            643   3.2e-05   21.1   0.1   2   2      0.12        23    1.8   0.0   482   510   283   311   235   317 0.79 -
13158at50557_39758_0:00101b|STRG.8033.3:159-425|+      -             89 13158at50557         -            643   0.00051   17.1   0.0   1   1   2.6e-06   0.00051   17.1   0.0   464   531    14    83     6    89 0.74 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/13158at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/13158at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/13158at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:52:51 2024
# [ok]
