#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
32612at50557_103372_0:0018c8|STRG.6789.1:0-1685|+    -            562 32612at50557         -            443  6.4e-201  666.8  24.4   1   1  6.2e-200  4.8e-197  654.0  24.4     1   442     1   551     1   552 0.86 -
32612at50557_28612_0:004b86|STRG.234.3:814-2178|+    -            455 32612at50557         -            443   1.5e-16   59.2   5.2   2   3       3.1   2.4e+03   -4.1   0.0   373   389   348   364   341   367 0.82 -
32612at50557_28612_0:004b86|STRG.234.3:814-2178|+    -            455 32612at50557         -            443   1.5e-16   59.2   5.2   3   3   0.00017      0.13   10.0   0.0   388   437   398   453   395   455 0.77 -
32612at50557_28612_0:004b86|STRG.234.4:488-1852|+    -            455 32612at50557         -            443   1.5e-16   59.2   5.2   1   3   1.9e-16   1.4e-13   49.3   2.0   167   324   100   261    86   275 0.80 -
32612at50557_28612_0:004b86|STRG.234.4:488-1852|+    -            455 32612at50557         -            443   1.5e-16   59.2   5.2   2   3       3.1   2.4e+03   -4.1   0.0   373   389   348   364   341   367 0.82 -
32612at50557_28612_0:004b86|STRG.234.4:488-1852|+    -            455 32612at50557         -            443   1.5e-16   59.2   5.2   3   3   0.00017      0.13   10.0   0.0   388   437   398   453   395   455 0.77 -
32612at50557_121225_0:001d69|STRG.10205.1:641-1954|+ -            438 32612at50557         -            443   1.3e-11   42.9   0.5   1   2   5.3e-11   4.1e-08   31.4   0.2   167   208    57    98    54   169 0.81 -
32612at50557_121225_0:001d69|STRG.10205.1:641-1954|+ -            438 32612at50557         -            443   1.3e-11   42.9   0.5   2   2   0.00026       0.2    9.3   0.0   395   436   384   435   367   438 0.72 -
28555at50557_34720_0:001b68|STRG.13176.2:2-1432|+    -            477 32612at50557         -            443   4.8e-11   41.0   2.1   1   3   4.5e-12   3.5e-09   34.9   0.3   170   308    99   253    90   262 0.77 -
28555at50557_34720_0:001b68|STRG.13176.2:2-1432|+    -            477 32612at50557         -            443   4.8e-11   41.0   2.1   2   3     0.074        57    1.2   0.0     9    59   263   313   253   321 0.77 -
28555at50557_34720_0:001b68|STRG.13176.2:2-1432|+    -            477 32612at50557         -            443   4.8e-11   41.0   2.1   3   3     0.026        20    2.7   0.0   396   435   422   468   405   475 0.69 -
28555at50557_34720_0:001b68|STRG.13176.1:0-1817|+    -            606 32612at50557         -            443   1.1e-10   39.8   1.9   1   3   7.4e-12   5.7e-09   34.2   0.4   170   308   228   382   222   395 0.77 -
28555at50557_34720_0:001b68|STRG.13176.1:0-1817|+    -            606 32612at50557         -            443   1.1e-10   39.8   1.9   2   3       0.1        78    0.8   0.0     9    59   392   442   382   450 0.76 -
28555at50557_34720_0:001b68|STRG.13176.1:0-1817|+    -            606 32612at50557         -            443   1.1e-10   39.8   1.9   3   3     0.036        28    2.2   0.0   396   435   551   597   536   604 0.68 -
28555at50557_34720_0:001b68|STRG.13176.3:2-1550|+    -            476 32612at50557         -            443   4.4e-10   37.8   1.5   1   3   5.7e-11   4.4e-08   31.3   0.2   170   308    99   252    92   262 0.78 -
28555at50557_34720_0:001b68|STRG.13176.3:2-1550|+    -            476 32612at50557         -            443   4.4e-10   37.8   1.5   2   3     0.074        57    1.2   0.0     9    59   262   312   252   320 0.77 -
28555at50557_34720_0:001b68|STRG.13176.3:2-1550|+    -            476 32612at50557         -            443   4.4e-10   37.8   1.5   3   3     0.026        20    2.7   0.0   396   435   421   467   404   474 0.69 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/32612at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/32612at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/32612at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:54:22 2024
# [ok]
