#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
57153at50557_103372_0:001f4c|STRG.4213.3:765-1856|+  -            364 57153at50557         -            185   5.2e-83  276.5  13.9   1   1   1.9e-82   6.9e-80  266.3  13.9     1   185   118   345   118   345 0.89 -
119324at50557_319348_0:001162|STRG.13231.2:560-976|+ -            139 57153at50557         -            185   0.00048   19.0   0.3   1   3      0.13        47    2.8   0.0     1    22     7    28     7    41 0.85 -
119324at50557_319348_0:001162|STRG.13231.2:560-976|+ -            139 57153at50557         -            185   0.00048   19.0   0.3   2   3       1.1   4.2e+02   -0.3   0.0   155   175    49    69    31    79 0.71 -
119324at50557_319348_0:001162|STRG.13231.2:560-976|+ -            139 57153at50557         -            185   0.00048   19.0   0.3   3   3   0.00011      0.04   12.8   0.1   122   169    89   137    78   139 0.86 -
119324at50557_454923_0:001f56|STRG.7407.2:9-329|+    -            107 57153at50557         -            185    0.0021   16.9   2.2   1   3     0.089        33    3.3   0.0   147   172    14    39     7    50 0.63 -
119324at50557_454923_0:001f56|STRG.7407.2:9-329|+    -            107 57153at50557         -            185    0.0021   16.9   2.2   2   3    0.0067       2.5    6.9   0.0   145   172    49    76    41    88 0.77 -
119324at50557_454923_0:001f56|STRG.7407.2:9-329|+    -            107 57153at50557         -            185    0.0021   16.9   2.2   3   3     0.015       5.6    5.8   0.1     3    18    91   106    89   107 0.88 -
119324at50557_28612_0:006210|STRG.3573.1:30-512|+    -            161 57153at50557         -            185    0.0021   16.9   0.6   1   3    0.0089       3.3    6.5   0.0     2    17    62    77    61    95 0.80 -
119324at50557_28612_0:006210|STRG.3573.1:30-512|+    -            161 57153at50557         -            185    0.0021   16.9   0.6   2   3     0.028        10    4.9   0.0     1    25    97   121    97   128 0.84 -
119324at50557_28612_0:006210|STRG.3573.1:30-512|+    -            161 57153at50557         -            185    0.0021   16.9   0.6   3   3      0.25        91    1.8   0.1   149   164   145   160   138   161 0.77 -
119324at50557_454923_0:001f56|STRG.7407.1:457-738|+  -             94 57153at50557         -            185    0.0051   15.7   1.0   1   3       1.2   4.6e+02   -0.4   0.0     6    21     8    23     4    38 0.59 -
119324at50557_454923_0:001f56|STRG.7407.1:457-738|+  -             94 57153at50557         -            185    0.0051   15.7   1.0   2   3     0.005       1.8    7.4   0.0   145   173    36    64    28    76 0.78 -
119324at50557_454923_0:001f56|STRG.7407.1:457-738|+  -             94 57153at50557         -            185    0.0051   15.7   1.0   3   3     0.012       4.6    6.1   0.1     3    18    78    93    76    94 0.88 -
112578at50557_88501_0:001fa9|STRG.18299.1:250-732|+  -            161 57153at50557         -            185     0.039   12.8   1.3   1   2      0.13        48    2.8   0.1     3    24    72    93    67   104 0.81 -
112578at50557_88501_0:001fa9|STRG.18299.1:250-732|+  -            161 57153at50557         -            185     0.039   12.8   1.3   2   2    0.0014      0.53    9.1   0.2     2    38   107   149   106   159 0.60 -
119324at50557_29053_0:0019d1|STRG.10143.4:490-768|+  -             93 57153at50557         -            185      0.14   11.1   1.7   1   2     0.012       4.3    6.2   0.1     1    22    24    45    24    54 0.85 -
119324at50557_29053_0:0019d1|STRG.10143.4:490-768|+  -             93 57153at50557         -            185      0.14   11.1   1.7   2   2     0.036        13    4.5   0.1   140   165    65    90    52    92 0.84 -
119324at50557_29053_0:0019d1|STRG.10143.6:366-644|+  -             93 57153at50557         -            185      0.14   11.1   1.7   1   2     0.012       4.3    6.2   0.1     1    22    24    45    24    54 0.85 -
119324at50557_29053_0:0019d1|STRG.10143.6:366-644|+  -             93 57153at50557         -            185      0.14   11.1   1.7   2   2     0.036        13    4.5   0.1   140   165    65    90    52    92 0.84 -
119324at50557_454923_0:001f56|STRG.10143.5:188-487|+ -            100 57153at50557         -            185      0.19   10.6   3.1   1   3       1.4   5.2e+02   -0.6   0.0    39    55     2    18     1    29 0.60 -
119324at50557_454923_0:001f56|STRG.10143.5:188-487|+ -            100 57153at50557         -            185      0.19   10.6   3.1   2   3     0.013       4.9    6.0   0.1     1    22    31    52    31    61 0.85 -
119324at50557_454923_0:001f56|STRG.10143.5:188-487|+ -            100 57153at50557         -            185      0.19   10.6   3.1   3   3     0.046        17    4.2   0.1   140   165    72    97    63    99 0.84 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/57153at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/57153at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/57153at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:55:49 2024
# [ok]
