#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
104469at50557_123851_0:002509|STRG.14933.1:309-1169|+  -            287 104469at50557        -            153   3.8e-41  139.5   0.2   1   1     1e-43   6.3e-41  138.8   0.2     5   153   143   286   138   286 0.91 -
104469at50557_7397_0:004245|STRG.20120.2:386-550|+     -             55 104469at50557        -            153     4e-07   29.0   0.5   1   1     7e-10   4.2e-07   28.9   0.5   100   153     1    54     1    54 0.95 -
57812at50557_520822_0:00002d|STRG.15682.1:1749-3740|+  -            664 104469at50557        -            153   1.1e-06   27.6   0.2   1   1   3.8e-09   2.3e-06   26.6   0.2    92   152   450   510   426   511 0.87 -
27606at50557_103372_0:000e58|STRG.1915.1:0-1892|+      -            631 104469at50557        -            153    0.0044   15.9   0.2   1   2    0.0025       1.5    7.7   0.0    85   153   332   411   330   411 0.74 -
27606at50557_103372_0:000e58|STRG.1915.1:0-1892|+      -            631 104469at50557        -            153    0.0044   15.9   0.2   2   2      0.01       6.3    5.7   0.1    89   153   537   612   529   612 0.75 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/104469at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/104469at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/104469at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:52:11 2024
# [ok]
