#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
63645at50557_34720_0:0006b0|STRG.3326.1:397-1443|+    -            349 63645at50557         -            280  4.3e-181  598.9   1.8   1   1  1.7e-182  1.8e-180  596.9   1.8     1   280    10   326    10   326 0.95 -
80377at50557_456900_0:000374|STRG.1267.1:0-1046|+     -            349 63645at50557         -            280   7.2e-09   33.9   0.0   2   4   0.00068     0.071   10.9   0.0   214   257   130   173   111   180 0.85 -
80377at50557_456900_0:000374|STRG.1267.1:0-1046|+     -            349 63645at50557         -            280   7.2e-09   33.9   0.0   3   4   0.00011     0.011   13.5   0.0   154   257   198   306   182   324 0.77 -
80377at50557_456900_0:000374|STRG.1267.1:0-1046|+     -            349 63645at50557         -            280   7.2e-09   33.9   0.0   4   4       1.9     2e+02   -0.4   0.0   221   256   313   347   309   349 0.83 -
40115at50557_411798_0:002bfa|STRG.739.1:627-1412|+    -            262 63645at50557         -            280   1.4e-08   33.0   0.6   1   4     0.091       9.5    3.9   0.0   185   236    25    73    16    83 0.81 -
40115at50557_411798_0:002bfa|STRG.739.1:627-1412|+    -            262 63645at50557         -            280   1.4e-08   33.0   0.6   2   4   0.00013     0.013   13.3   0.0   209   259    87   137    74   144 0.83 -
40115at50557_411798_0:002bfa|STRG.739.1:627-1412|+    -            262 63645at50557         -            280   1.4e-08   33.0   0.6   3   4      0.04       4.2    5.1   0.1   217   246   138   167   135   184 0.80 -
40115at50557_411798_0:002bfa|STRG.739.1:627-1412|+    -            262 63645at50557         -            280   1.4e-08   33.0   0.6   4   4     0.012       1.2    6.8   0.0   184   248   194   257   189   262 0.73 -
57752at50557_38123_0:002253|STRG.10261.2:552-1097|+   -            182 63645at50557         -            280   1.4e-08   32.9   0.1   1   2   0.00017     0.017   12.9   0.0   158   258     5   104     2   112 0.86 -
57752at50557_38123_0:002253|STRG.10261.2:552-1097|+   -            182 63645at50557         -            280   1.4e-08   32.9   0.1   2   2   3.6e-06   0.00037   18.4   0.0   182   245   116   180   107   182 0.85 -
57752at50557_38123_0:002253|STRG.10261.3:675-1220|+   -            182 63645at50557         -            280   1.4e-08   32.9   0.1   1   2   0.00017     0.017   12.9   0.0   158   258     5   104     2   112 0.86 -
57752at50557_38123_0:002253|STRG.10261.3:675-1220|+   -            182 63645at50557         -            280   1.4e-08   32.9   0.1   2   2   3.6e-06   0.00037   18.4   0.0   182   245   116   180   107   182 0.85 -
78072at50557_39758_0:003b38|STRG.20010.1:778-1608|+   -            277 63645at50557         -            280   1.4e-08   32.9   2.4   1   2     2e-08   2.1e-06   25.7   2.2    88   256    44   214    22   234 0.77 -
78072at50557_39758_0:003b38|STRG.20010.1:778-1608|+   -            277 63645at50557         -            280   1.4e-08   32.9   2.4   2   2       3.7   3.9e+02   -1.3   0.0    97   124   238   265   226   270 0.83 -
78072at50557_39758_0:003b38|STRG.20010.2:539-1369|+   -            277 63645at50557         -            280   1.4e-08   32.9   2.4   1   2     2e-08   2.1e-06   25.7   2.2    88   256    44   214    22   234 0.77 -
78072at50557_39758_0:003b38|STRG.20010.2:539-1369|+   -            277 63645at50557         -            280   1.4e-08   32.9   2.4   2   2       3.7   3.9e+02   -1.3   0.0    97   124   238   265   226   270 0.83 -
78072at50557_39758_0:003b38|STRG.20010.3:216-1046|+   -            277 63645at50557         -            280   1.4e-08   32.9   2.4   1   2     2e-08   2.1e-06   25.7   2.2    88   256    44   214    22   234 0.77 -
78072at50557_39758_0:003b38|STRG.20010.3:216-1046|+   -            277 63645at50557         -            280   1.4e-08   32.9   2.4   2   2       3.7   3.9e+02   -1.3   0.0    97   124   238   265   226   270 0.83 -
78072at50557_39758_0:003b38|STRG.18912.1:654-1193|+   -            180 63645at50557         -            280   1.8e-08   32.6   2.6   1   1   1.3e-08   1.4e-06   26.4   2.6    96   250    17   179    11   180 0.72 -
71739at50557_66420_0:0008cd|STRG.10582.1:798-1385|+   -            196 63645at50557         -            280   3.6e-08   31.6   0.2   1   1     8e-09   8.4e-07   27.1   0.2    97   260    10   165     6   180 0.83 -
80377at50557_7070_0:0023da|STRG.16498.3:1643-2374|+   -            244 63645at50557         -            280   2.5e-07   28.8   5.5   1   4     0.035       3.6    5.3   0.1    93   126    50    83    41    93 0.88 -
80377at50557_7070_0:0023da|STRG.16498.3:1643-2374|+   -            244 63645at50557         -            280   2.5e-07   28.8   5.5   2   4   0.00085     0.089   10.6   0.1    95   124    95   124    87   130 0.91 -
80377at50557_7070_0:0023da|STRG.16498.3:1643-2374|+   -            244 63645at50557         -            280   2.5e-07   28.8   5.5   3   4    0.0001     0.011   13.6   0.1   222   263   129   169   123   174 0.88 -
80377at50557_7070_0:0023da|STRG.16498.3:1643-2374|+   -            244 63645at50557         -            280   2.5e-07   28.8   5.5   4   4       3.4   3.5e+02   -1.2   0.0   224   257   174   205   168   213 0.75 -
78072at50557_123851_0:000487|STRG.3646.1:180-1043|+   -            288 63645at50557         -            280   4.5e-07   28.0   1.8   1   3     0.013       1.3    6.8   0.1   220   256     4    38     1    42 0.86 -
78072at50557_123851_0:000487|STRG.3646.1:180-1043|+   -            288 63645at50557         -            280   4.5e-07   28.0   1.8   2   3   7.7e-06   0.00081   17.3   0.2   181   257    66   139    59   151 0.80 -
78072at50557_123851_0:000487|STRG.3646.1:180-1043|+   -            288 63645at50557         -            280   4.5e-07   28.0   1.8   3   3       8.1   8.5e+02   -2.5   0.0   181   203   157   179   143   185 0.72 -
78072at50557_7070_0:002a52|STRG.2231.1:617-1459|+     -            281 63645at50557         -            280   1.3e-06   26.5   1.2   1   4     0.035       3.7    5.3   0.0   219   257    74   111    66   120 0.85 -
78072at50557_7070_0:002a52|STRG.2231.1:617-1459|+     -            281 63645at50557         -            280   1.3e-06   26.5   1.2   2   4     0.054       5.7    4.7   0.1   221   255   118   153   111   160 0.84 -
78072at50557_7070_0:002a52|STRG.2231.1:617-1459|+     -            281 63645at50557         -            280   1.3e-06   26.5   1.2   3   4   0.00019      0.02   12.7   0.0   181   257   167   241   161   253 0.86 -
78072at50557_7070_0:002a52|STRG.2231.1:617-1459|+     -            281 63645at50557         -            280   1.3e-06   26.5   1.2   4   4       2.6   2.7e+02   -0.8   0.1   223   254   251   281   245   281 0.80 -
76755at50557_315563_0:0012ae|STRG.18490.1:448-3182|+  -            236 63645at50557         -            280   1.4e-06   26.4   1.5   1   3      0.38        39    1.9   0.1   216   257    29    69    26    77 0.77 -
76755at50557_315563_0:0012ae|STRG.18490.1:448-3182|+  -            236 63645at50557         -            280   1.4e-06   26.4   1.5   2   3     0.082       8.6    4.1   0.1   223   268    78   122    72   128 0.86 -
76755at50557_315563_0:0012ae|STRG.18490.1:448-3182|+  -            236 63645at50557         -            280   1.4e-06   26.4   1.5   3   3   4.3e-06   0.00045   18.1   0.0   101   172   158   226   149   234 0.89 -
49370at50557_456900_0:00265d|STRG.19222.2:0-1568|+    -            523 63645at50557         -            280   1.4e-06   26.3   0.9   1   3       3.4   3.5e+02   -1.2   0.1   215   247   255   287   229   306 0.78 -
49370at50557_456900_0:00265d|STRG.19222.2:0-1568|+    -            523 63645at50557         -            280   1.4e-06   26.3   0.9   2   3   0.00015     0.015   13.1   0.1   142   258   329   439   287   441 0.79 -
49370at50557_456900_0:00265d|STRG.19222.2:0-1568|+    -            523 63645at50557         -            280   1.4e-06   26.3   0.9   3   3   1.1e-06   0.00011   20.1   0.1   103   250   378   516   373   523 0.76 -
49370at50557_456900_0:00265d|STRG.19222.1:235-1800|+  -            522 63645at50557         -            280   2.9e-06   25.3   1.6   1   3       3.8     4e+02   -1.4   0.1   215   247   255   287   229   295 0.79 -
49370at50557_456900_0:00265d|STRG.19222.1:235-1800|+  -            522 63645at50557         -            280   2.9e-06   25.3   1.6   2   3   0.00018     0.019   12.8   0.1   143   257   330   438   288   440 0.80 -
49370at50557_456900_0:00265d|STRG.19222.1:235-1800|+  -            522 63645at50557         -            280   2.9e-06   25.3   1.6   3   3   1.1e-06   0.00012   20.0   0.2   102   249   377   515   368   521 0.76 -
78072at50557_7038_0:0021a3|STRG.10589.1:379-1227|+    -            283 63645at50557         -            280   5.9e-06   24.3   3.7   1   1   1.4e-06   0.00014   19.8   3.7    97   262     5   169     3   177 0.76 -
78072at50557_7038_0:0021a3|STRG.10589.2:180-1028|+    -            283 63645at50557         -            280   5.9e-06   24.3   3.7   1   1   1.4e-06   0.00014   19.8   3.7    97   262     5   169     3   177 0.76 -
40115at50557_144034_0:000898|STRG.19187.1:1281-2150|+ -            290 63645at50557         -            280     9e-06   23.7   1.4   1   3      0.77        81    0.9   0.0   222   261     2    40     1    55 0.79 -
40115at50557_144034_0:000898|STRG.19187.1:1281-2150|+ -            290 63645at50557         -            280     9e-06   23.7   1.4   2   3       3.1   3.3e+02   -1.1   0.0   107   131    64    88    59    95 0.76 -
40115at50557_144034_0:000898|STRG.19187.1:1281-2150|+ -            290 63645at50557         -            280     9e-06   23.7   1.4   3   3     9e-07   9.4e-05   20.4   0.2   102   262   104   256   100   261 0.77 -
40115at50557_110193_0:00292f|STRG.15028.1:541-1401|+  -            287 63645at50557         -            280   1.7e-05   22.8  18.8   1   5     0.036       3.8    5.2   0.2    98   146    14    58     3    62 0.80 -
40115at50557_110193_0:00292f|STRG.15028.1:541-1401|+  -            287 63645at50557         -            280   1.7e-05   22.8  18.8   2   5   5.4e-05    0.0056   14.5   0.3   100   152   142   189   136   205 0.75 -
40115at50557_110193_0:00292f|STRG.15028.1:541-1401|+  -            287 63645at50557         -            280   1.7e-05   22.8  18.8   3   5      0.55        57    1.4   0.0   107   123   191   207   188   232 0.54 -
40115at50557_110193_0:00292f|STRG.15028.1:541-1401|+  -            287 63645at50557         -            280   1.7e-05   22.8  18.8   4   5      0.13        13    3.5   0.1   107   149   234   272   227   275 0.85 -
40115at50557_110193_0:00292f|STRG.15028.1:541-1401|+  -            287 63645at50557         -            280   1.7e-05   22.8  18.8   5   5      0.68        71    1.1   0.7   106   118   275   287   271   287 0.88 -
40115at50557_110193_0:00292f|STRG.15028.2:384-1244|+  -            287 63645at50557         -            280   1.7e-05   22.8  18.8   1   5     0.036       3.8    5.2   0.2    98   146    14    58     3    62 0.80 -
40115at50557_110193_0:00292f|STRG.15028.2:384-1244|+  -            287 63645at50557         -            280   1.7e-05   22.8  18.8   2   5   5.4e-05    0.0056   14.5   0.3   100   152   142   189   136   205 0.75 -
40115at50557_110193_0:00292f|STRG.15028.2:384-1244|+  -            287 63645at50557         -            280   1.7e-05   22.8  18.8   3   5      0.55        57    1.4   0.0   107   123   191   207   188   232 0.54 -
40115at50557_110193_0:00292f|STRG.15028.2:384-1244|+  -            287 63645at50557         -            280   1.7e-05   22.8  18.8   4   5      0.13        13    3.5   0.1   107   149   234   272   227   275 0.85 -
40115at50557_110193_0:00292f|STRG.15028.2:384-1244|+  -            287 63645at50557         -            280   1.7e-05   22.8  18.8   5   5      0.68        71    1.1   0.7   106   118   275   287   271   287 0.88 -
80377at50557_166361_0:002fc1|STRG.949.1:108-659|+     -            184 63645at50557         -            280     3e-05   22.0   2.7   1   3     0.042       4.4    5.0   0.1   118   253    13    60     1    70 0.50 -
80377at50557_166361_0:002fc1|STRG.949.1:108-659|+     -            184 63645at50557         -            280     3e-05   22.0   2.7   2   3    0.0019       0.2    9.5   0.0   222   258    89   124    82   129 0.81 -
80377at50557_166361_0:002fc1|STRG.949.1:108-659|+     -            184 63645at50557         -            280     3e-05   22.0   2.7   3   3      0.01       1.1    7.1   0.1   219   256   128   164   124   176 0.81 -
80377at50557_108931_0:002353|STRG.18490.1:2805-3422|+ -            206 63645at50557         -            280   3.2e-05   21.9   0.0   1   1     4e-07   4.2e-05   21.5   0.0   101   203    48   149    38   181 0.82 -
80377at50557_108931_0:002353|STRG.18490.2:2284-2901|+ -            206 63645at50557         -            280   3.2e-05   21.9   0.0   1   1     4e-07   4.2e-05   21.5   0.0   101   203    48   149    38   181 0.82 -
80377at50557_108931_0:002353|STRG.18490.3:2523-3140|+ -            206 63645at50557         -            280   3.2e-05   21.9   0.0   1   1     4e-07   4.2e-05   21.5   0.0   101   203    48   149    38   181 0.82 -
40115at50557_116153_0:000cbb|STRG.7336.1:1344-2243|+  -            300 63645at50557         -            280   3.5e-05   21.8   0.3   1   5     0.084       8.8    4.1   0.0   225   265     1    40     1    53 0.81 -
40115at50557_116153_0:000cbb|STRG.7336.1:1344-2243|+  -            300 63645at50557         -            280   3.5e-05   21.8   0.3   2   5       1.2   1.3e+02    0.2   0.0   229   257    52    79    40    86 0.73 -
40115at50557_116153_0:000cbb|STRG.7336.1:1344-2243|+  -            300 63645at50557         -            280   3.5e-05   21.8   0.3   3   5    0.0056      0.58    7.9   0.0   207   258    73   122    66   132 0.78 -
40115at50557_116153_0:000cbb|STRG.7336.1:1344-2243|+  -            300 63645at50557         -            280   3.5e-05   21.8   0.3   4   5   0.00046     0.048   11.5   0.0   135   222    88   173    84   188 0.66 -
40115at50557_116153_0:000cbb|STRG.7336.1:1344-2243|+  -            300 63645at50557         -            280   3.5e-05   21.8   0.3   5   5       1.7   1.7e+02   -0.2   0.1   222   254   269   300   264   300 0.83 -
43719at50557_1218281_0:001263|STRG.941.3:739-1116|+   -            126 63645at50557         -            280     5e-05   21.3   0.7   1   2    0.0015      0.15    9.8   0.2    83   125    38    80    23    90 0.80 -
43719at50557_1218281_0:001263|STRG.941.3:739-1116|+   -            126 63645at50557         -            280     5e-05   21.3   0.7   2   2     0.001      0.11   10.3   0.0   220   256    89   125    82   126 0.93 -
43719at50557_1218281_0:001263|STRG.941.7:718-1095|+   -            126 63645at50557         -            280     5e-05   21.3   0.7   1   2    0.0015      0.15    9.8   0.2    83   125    38    80    23    90 0.80 -
43719at50557_1218281_0:001263|STRG.941.7:718-1095|+   -            126 63645at50557         -            280     5e-05   21.3   0.7   2   2     0.001      0.11   10.3   0.0   220   256    89   125    82   126 0.93 -
56099at50557_34720_0:001a91|STRG.12890.2:0-1331|+     -            444 63645at50557         -            280   8.2e-05   20.6   0.2   1   3     0.019       1.9    6.2   0.0   222   257   105   139    73   156 0.80 -
56099at50557_34720_0:001a91|STRG.12890.2:0-1331|+     -            444 63645at50557         -            280   8.2e-05   20.6   0.2   2   3     0.001      0.11   10.4   0.0   152   241   208   296   201   317 0.85 -
56099at50557_34720_0:001a91|STRG.12890.2:0-1331|+     -            444 63645at50557         -            280   8.2e-05   20.6   0.2   3   3      0.72        76    1.0   0.0   136   190   280   333   276   341 0.76 -
31374at50557_103372_0:0017b9|STRG.19481.1:100-2055|+  -            652 63645at50557         -            280   0.00011   20.1   0.4   1   2     0.068       7.1    4.4   0.1   102   125   408   431   390   468 0.83 -
31374at50557_103372_0:0017b9|STRG.19481.1:100-2055|+  -            652 63645at50557         -            280   0.00011   20.1   0.4   2   2   0.00016     0.017   13.0   0.0   103   203   493   586   476   597 0.82 -
25500at50557_13686_0:0020f5|STRG.12295.1:163-1968|+   -            602 63645at50557         -            280   0.00013   19.9   5.0   1   4         7   7.3e+02   -2.2   0.0   205   258    38    89    26   111 0.65 -
25500at50557_13686_0:0020f5|STRG.12295.1:163-1968|+   -            602 63645at50557         -            280   0.00013   19.9   5.0   2   4    0.0091      0.95    7.2   0.0   224   259   231   265   225   277 0.83 -
25500at50557_13686_0:0020f5|STRG.12295.1:163-1968|+   -            602 63645at50557         -            280   0.00013   19.9   5.0   3   4      0.29        31    2.3   0.2   102   203   330   439   318   458 0.74 -
25500at50557_13686_0:0020f5|STRG.12295.1:163-1968|+   -            602 63645at50557         -            280   0.00013   19.9   5.0   4   4    0.0028      0.29    8.9   0.4   160   258   460   558   445   569 0.60 -
31374at50557_116153_0:0023e9|STRG.4264.1:1642-2127|+  -            162 63645at50557         -            280   0.00018   19.4   1.3   1   2     0.049       5.1    4.8   0.0   117   167    39    86    29    90 0.83 -
31374at50557_116153_0:0023e9|STRG.4264.1:1642-2127|+  -            162 63645at50557         -            280   0.00018   19.4   1.3   2   2   0.00024     0.025   12.4   1.5   218   259    93   133    87   144 0.85 -
31374at50557_116153_0:0023e9|STRG.4264.2:1572-2057|+  -            162 63645at50557         -            280   0.00018   19.4   1.3   1   2     0.049       5.1    4.8   0.0   117   167    39    86    29    90 0.83 -
31374at50557_116153_0:0023e9|STRG.4264.2:1572-2057|+  -            162 63645at50557         -            280   0.00018   19.4   1.3   2   2   0.00024     0.025   12.4   1.5   218   259    93   133    87   144 0.85 -
43553at50557_79782_0:002ee3|STRG.1233.1:273-1064|+    -            264 63645at50557         -            280   0.00018   19.4   3.7   1   4      0.48        51    1.6   0.0   221   257    10    45     2    58 0.79 -
43553at50557_79782_0:002ee3|STRG.1233.1:273-1064|+    -            264 63645at50557         -            280   0.00018   19.4   3.7   2   4      0.74        77    1.0   0.0   104   130    70    96    58   104 0.85 -
43553at50557_79782_0:002ee3|STRG.1233.1:273-1064|+    -            264 63645at50557         -            280   0.00018   19.4   3.7   3   4   0.00087     0.091   10.6   0.6    67   151   118   202   110   216 0.70 -
43553at50557_79782_0:002ee3|STRG.1233.1:273-1064|+    -            264 63645at50557         -            280   0.00018   19.4   3.7   4   4     0.019       1.9    6.2   0.0   224   258   186   219   181   229 0.84 -
78072at50557_40932_0:0000db|STRG.941.1:829-1638|+     -            270 63645at50557         -            280   0.00022   19.2   1.2   1   2    0.0093      0.98    7.2   0.4    87   123    12    48     5    59 0.78 -
78072at50557_40932_0:0000db|STRG.941.1:829-1638|+     -            270 63645at50557         -            280   0.00022   19.2   1.2   2   2   0.00082     0.086   10.6   0.0   220   259    59    98    52   116 0.89 -
78072at50557_40932_0:0000db|STRG.941.2:1001-1810|+    -            270 63645at50557         -            280   0.00022   19.2   1.2   1   2    0.0093      0.98    7.2   0.4    87   123    12    48     5    59 0.78 -
78072at50557_40932_0:0000db|STRG.941.2:1001-1810|+    -            270 63645at50557         -            280   0.00022   19.2   1.2   2   2   0.00082     0.086   10.6   0.0   220   259    59    98    52   116 0.89 -
69548at50557_609295_0:0005e7|STRG.6727.1:246-1070|+   -            275 63645at50557         -            280   0.00028   18.8   0.9   1   3     0.017       1.7    6.4   0.1   225   257     3    34     1    42 0.84 -
69548at50557_609295_0:0005e7|STRG.6727.1:246-1070|+   -            275 63645at50557         -            280   0.00028   18.8   0.9   2   3      0.62        65    1.2   0.0   222   258    44    80    35   101 0.82 -
69548at50557_609295_0:0005e7|STRG.6727.1:246-1070|+   -            275 63645at50557         -            280   0.00028   18.8   0.9   3   3     0.005      0.52    8.1   0.0   192   242   225   274   204   275 0.80 -
69548at50557_609295_0:0005e7|STRG.6727.2:338-1162|+   -            275 63645at50557         -            280   0.00028   18.8   0.9   1   3     0.017       1.7    6.4   0.1   225   257     3    34     1    42 0.84 -
69548at50557_609295_0:0005e7|STRG.6727.2:338-1162|+   -            275 63645at50557         -            280   0.00028   18.8   0.9   2   3      0.62        65    1.2   0.0   222   258    44    80    35   101 0.82 -
69548at50557_609295_0:0005e7|STRG.6727.2:338-1162|+   -            275 63645at50557         -            280   0.00028   18.8   0.9   3   3     0.005      0.52    8.1   0.0   192   242   225   274   204   275 0.80 -
69548at50557_609295_0:0005e7|STRG.6727.3:337-1161|+   -            275 63645at50557         -            280   0.00028   18.8   0.9   1   3     0.017       1.7    6.4   0.1   225   257     3    34     1    42 0.84 -
69548at50557_609295_0:0005e7|STRG.6727.3:337-1161|+   -            275 63645at50557         -            280   0.00028   18.8   0.9   2   3      0.62        65    1.2   0.0   222   258    44    80    35   101 0.82 -
69548at50557_609295_0:0005e7|STRG.6727.3:337-1161|+   -            275 63645at50557         -            280   0.00028   18.8   0.9   3   3     0.005      0.52    8.1   0.0   192   242   225   274   204   275 0.80 -
49370at50557_2015173_0:001990|STRG.7563.1:60-1046|+   -            329 63645at50557         -            280   0.00034   18.5   4.6   1   5    0.0087      0.91    7.3   0.1   215   258    30    72     3    90 0.80 -
49370at50557_2015173_0:001990|STRG.7563.1:60-1046|+   -            329 63645at50557         -            280   0.00034   18.5   4.6   2   5       5.9   6.2e+02   -2.0   0.0   105   131    97   124    92   140 0.70 -
49370at50557_2015173_0:001990|STRG.7563.1:60-1046|+   -            329 63645at50557         -            280   0.00034   18.5   4.6   3   5    0.0025      0.26    9.0   0.2   106   171   144   204   132   216 0.76 -
49370at50557_2015173_0:001990|STRG.7563.1:60-1046|+   -            329 63645at50557         -            280   0.00034   18.5   4.6   4   5      0.23        24    2.6   0.0   207   257   197   245   192   265 0.73 -
49370at50557_2015173_0:001990|STRG.7563.1:60-1046|+   -            329 63645at50557         -            280   0.00034   18.5   4.6   5   5      0.82        86    0.8   0.0   105   156   229   276   217   314 0.62 -
57752at50557_45779_0:003ace|STRG.6722.2:1174-1965|+   -            264 63645at50557         -            280   0.00041   18.3   0.1   1   3      0.32        34    2.1   0.1   225   256     1    31     1    37 0.85 -
57752at50557_45779_0:003ace|STRG.6722.2:1174-1965|+   -            264 63645at50557         -            280   0.00041   18.3   0.1   2   3   0.00017     0.018   12.9   0.0   157   260    64   169    57   176 0.82 -
57752at50557_45779_0:003ace|STRG.6722.2:1174-1965|+   -            264 63645at50557         -            280   0.00041   18.3   0.1   3   3       2.6   2.7e+02   -0.8   0.0   224   255   228   261   182   264 0.78 -
116554at50557_520822_0:0020e0|STRG.18100.1:0-1118|+   -            373 63645at50557         -            280   0.00052   17.9   0.1   1   3     0.025       2.6    5.8   0.0    35    66    39    69    21    97 0.73 -
116554at50557_520822_0:0020e0|STRG.18100.1:0-1118|+   -            373 63645at50557         -            280   0.00052   17.9   0.1   2   3      0.33        34    2.1   0.0   229   263   131   164   120   174 0.83 -
116554at50557_520822_0:0020e0|STRG.18100.1:0-1118|+   -            373 63645at50557         -            280   0.00052   17.9   0.1   3   3     0.022       2.3    6.0   0.0   181   248   218   285   176   299 0.54 -
57752at50557_45779_0:003ace|STRG.6722.5:1074-1982|+   -            303 63645at50557         -            280   0.00054   17.9   0.2   1   3      0.39        41    1.9   0.1   225   256     1    31     1    37 0.85 -
57752at50557_45779_0:003ace|STRG.6722.5:1074-1982|+   -            303 63645at50557         -            280   0.00054   17.9   0.2   2   3   0.00023     0.025   12.4   0.0   157   260    64   169    57   176 0.82 -
57752at50557_45779_0:003ace|STRG.6722.5:1074-1982|+   -            303 63645at50557         -            280   0.00054   17.9   0.2   3   3       2.4   2.5e+02   -0.7   0.0   224   256   228   262   183   269 0.80 -
43553at50557_136037_0:001d49|STRG.1233.2:37-822|+     -            262 63645at50557         -            280   0.00054   17.9   2.6   1   3      0.66        69    1.1   0.0   104   130    68    94    52   102 0.83 -
43553at50557_136037_0:001d49|STRG.1233.2:37-822|+     -            262 63645at50557         -            280   0.00054   17.9   2.6   2   3   0.00085     0.089   10.6   0.6    67   151   116   200   108   214 0.70 -
43553at50557_136037_0:001d49|STRG.1233.2:37-822|+     -            262 63645at50557         -            280   0.00054   17.9   2.6   3   3     0.018       1.9    6.2   0.0   224   258   184   217   179   227 0.84 -
43553at50557_136037_0:001d49|STRG.1233.4:37-933|+     -            299 63645at50557         -            280   0.00061   17.7   2.1   1   3      0.72        76    1.0   0.0   104   130    68    94    46   102 0.81 -
43553at50557_136037_0:001d49|STRG.1233.4:37-933|+     -            299 63645at50557         -            280   0.00061   17.7   2.1   2   3   0.00067     0.071   10.9   0.4    67   167   116   213   110   216 0.70 -
43553at50557_136037_0:001d49|STRG.1233.4:37-933|+     -            299 63645at50557         -            280   0.00061   17.7   2.1   3   3     0.022       2.3    6.0   0.0   224   258   184   217   178   226 0.84 -
48053at50557_104421_0:0017a2|STRG.1421.1:6-1523|+     -            506 63645at50557         -            280   0.00064   17.6   1.8   1   4      0.64        67    1.2   0.1    95   131   228   264   219   278 0.75 -
48053at50557_104421_0:0017a2|STRG.1421.1:6-1523|+     -            506 63645at50557         -            280   0.00064   17.6   1.8   2   4     0.053       5.6    4.7   0.1   104   136   279   307   274   322 0.81 -
