#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
30467at50557_144034_0:0022a4|STRG.11077.1:36-2123|+   -            696 30467at50557         -            614         0 1045.5   5.6   1   1         0         0 1045.2   5.6     8   592    50   695    43   696 0.93 -
40115at50557_156304_0:001c45|STRG.9047.2:292-1242|+   -            317 30467at50557         -            614   1.2e-07   29.4   0.2   3   3    0.0058      0.95    6.7   0.0   185   250   200   270   195   299 0.75 -
40115at50557_7213_0:0002de|STRG.12299.1:403-1941|+    -            513 30467at50557         -            614   4.6e-07   27.5   0.0   1   4   0.00042     0.068   10.5   0.0   181   257    60   142    56   144 0.75 -
40115at50557_7213_0:0002de|STRG.12299.1:403-1941|+    -            513 30467at50557         -            614   4.6e-07   27.5   0.0   2   4     0.011       1.8    5.8   0.0   186   235   108   164    87   174 0.81 -
40115at50557_7213_0:0002de|STRG.12299.1:403-1941|+    -            513 30467at50557         -            614   4.6e-07   27.5   0.0   3   4      0.18        29    1.8   0.0   177   251   261   298   189   346 0.65 -
40115at50557_7213_0:0002de|STRG.12299.1:403-1941|+    -            513 30467at50557         -            614   4.6e-07   27.5   0.0   4   4   0.00048     0.078   10.3   0.0   216   274   443   506   432   510 0.79 -
80377at50557_121845_0:0030d4|STRG.6089.1:117-983|+    -            289 30467at50557         -            614   2.1e-06   25.4   0.4   1   3    0.0014      0.23    8.7   0.0   187   251    11    80     5    87 0.55 -
80377at50557_121845_0:0030d4|STRG.6089.1:117-983|+    -            289 30467at50557         -            614   2.1e-06   25.4   0.4   2   3     0.033       5.4    4.2   0.0   216   252    89   123    81   131 0.83 -
80377at50557_121845_0:0030d4|STRG.6089.1:117-983|+    -            289 30467at50557         -            614   2.1e-06   25.4   0.4   3   3     0.019       3.1    5.0   0.1   445   506   182   251   180   263 0.50 -
80377at50557_568069_0:004eea|STRG.1411.1:60-914|+     -            285 30467at50557         -            614   3.9e-06   24.5   0.1   1   2      0.56        91    0.1   0.0   476   504    10    38     3    72 0.77 -
80377at50557_568069_0:004eea|STRG.1411.1:60-914|+     -            285 30467at50557         -            614   3.9e-06   24.5   0.1   2   2   4.3e-05     0.007   13.7   0.0   476   522   179   225   158   235 0.85 -
78072at50557_7070_0:002a52|STRG.2231.1:617-1459|+     -            281 30467at50557         -            614   7.3e-06   23.6   0.7   1   4      0.35        57    0.8   0.0   480   502     4    26     1    39 0.78 -
78072at50557_7070_0:002a52|STRG.2231.1:617-1459|+     -            281 30467at50557         -            614   7.3e-06   23.6   0.7   2   4   8.3e-05     0.014   12.8   0.1   186   255    45   118    31   122 0.78 -
78072at50557_7070_0:002a52|STRG.2231.1:617-1459|+     -            281 30467at50557         -            614   7.3e-06   23.6   0.7   3   4     0.043         7    3.8   0.0   217   252   124   159   119   175 0.89 -
78072at50557_7070_0:002a52|STRG.2231.1:617-1459|+     -            281 30467at50557         -            614   7.3e-06   23.6   0.7   4   4      0.19        31    1.7   0.0   474   501   167   194   160   226 0.77 -
40115at50557_38123_0:0006c3|STRG.9048.1:17-220|+      -             68 30467at50557         -            614   3.9e-05   21.2   0.0   1   1   2.5e-07     4e-05   21.1   0.0   211   257    21    65     3    67 0.81 -
80377at50557_166361_0:002fc1|STRG.949.1:108-659|+     -            184 30467at50557         -            614   5.5e-05   20.7   0.2   1   2     0.025       4.1    4.6   0.0   196   251    15    68    11    73 0.83 -
80377at50557_166361_0:002fc1|STRG.949.1:108-659|+     -            184 30467at50557         -            614   5.5e-05   20.7   0.2   2   2   8.8e-05     0.014   12.7   0.2   443   519    99   181    87   184 0.72 -
42371at50557_144034_0:001692|STRG.1519.1:0-863|+      -            288 30467at50557         -            614   0.00015   19.2   0.0   1   2     0.015       2.4    5.4   0.0   211   249    10    48     2    56 0.87 -
42371at50557_144034_0:001692|STRG.1519.1:0-863|+      -            288 30467at50557         -            614   0.00015   19.2   0.0   2   2   0.00017     0.028   11.7   0.0   398   513    63   181    55   187 0.86 -
49370at50557_2015173_0:001990|STRG.7563.1:60-1046|+   -            329 30467at50557         -            614   0.00023   18.6   0.0   1   2   0.00082      0.13    9.5   0.0   216   264    41    87    31   113 0.84 -
49370at50557_2015173_0:001990|STRG.7563.1:60-1046|+   -            329 30467at50557         -            614   0.00023   18.6   0.0   2   2    0.0049       0.8    6.9   0.0   211   257   166   212   155   216 0.88 -
49370at50557_456900_0:00265d|STRG.19222.2:0-1568|+    -            523 30467at50557         -            614     0.001   16.5   0.3   1   5       1.4   2.3e+02   -1.2   0.0   219   237   227   245   224   260 0.81 -
49370at50557_456900_0:00265d|STRG.19222.2:0-1568|+    -            523 30467at50557         -            614     0.001   16.5   0.3   2   5     0.021       3.5    4.8   0.0   475   504   325   354   319   365 0.84 -
49370at50557_456900_0:00265d|STRG.19222.2:0-1568|+    -            523 30467at50557         -            614     0.001   16.5   0.3   3   5      0.57        93    0.1   0.0   221   249   413   439   403   446 0.67 -
49370at50557_456900_0:00265d|STRG.19222.2:0-1568|+    -            523 30467at50557         -            614     0.001   16.5   0.3   4   5     0.012         2    5.6   0.1   465   504   441   481   412   489 0.74 -
49370at50557_456900_0:00265d|STRG.19222.2:0-1568|+    -            523 30467at50557         -            614     0.001   16.5   0.3   5   5       1.5   2.4e+02   -1.3   0.0   476   502   495   521   484   522 0.81 -
49370at50557_456900_0:00265d|STRG.19222.1:235-1800|+  -            522 30467at50557         -            614    0.0011   16.4   0.3   1   5       1.4   2.3e+02   -1.2   0.0   219   237   227   245   224   260 0.81 -
49370at50557_456900_0:00265d|STRG.19222.1:235-1800|+  -            522 30467at50557         -            614    0.0011   16.4   0.3   2   5     0.021       3.5    4.8   0.0   475   504   325   354   319   365 0.84 -
49370at50557_456900_0:00265d|STRG.19222.1:235-1800|+  -            522 30467at50557         -            614    0.0011   16.4   0.3   3   5      0.48        78    0.4   0.0   221   249   413   439   395   445 0.66 -
49370at50557_456900_0:00265d|STRG.19222.1:235-1800|+  -            522 30467at50557         -            614    0.0011   16.4   0.3   4   5     0.012       1.9    5.7   0.1   465   504   441   481   410   489 0.73 -
49370at50557_456900_0:00265d|STRG.19222.1:235-1800|+  -            522 30467at50557         -            614    0.0011   16.4   0.3   5   5       1.7   2.8e+02   -1.5   0.0   476   501   495   520   486   521 0.79 -
40115at50557_108931_0:001d6b|STRG.17037.2:480-1517|+  -            346 30467at50557         -            614    0.0011   16.4   0.7   1   3     0.024       3.9    4.6   0.0   187   257    73   147    66   207 0.61 -
40115at50557_108931_0:001d6b|STRG.17037.2:480-1517|+  -            346 30467at50557         -            614    0.0011   16.4   0.7   2   3     0.021       3.5    4.8   0.0   475   505   192   222   177   247 0.79 -
40115at50557_108931_0:001d6b|STRG.17037.2:480-1517|+  -            346 30467at50557         -            614    0.0011   16.4   0.7   3   3     0.014       2.3    5.4   0.1   167   256   217   322   213   331 0.57 -
78072at50557_34720_0:000cf9|STRG.6360.3:144-1058|+    -            305 30467at50557         -            614    0.0011   16.4   0.6   1   2   3.3e-05    0.0055   14.1   0.1   432   503    58   136    18   176 0.75 -
78072at50557_34720_0:000cf9|STRG.6360.3:144-1058|+    -            305 30467at50557         -            614    0.0011   16.4   0.6   2   2      0.82   1.3e+02   -0.4   0.1   476   501   199   224   146   227 0.66 -
31374at50557_1155016_0:001371|STRG.10435.2:398-1852|+ -            485 30467at50557         -            614    0.0011   16.4   0.0   1   1   1.9e-05     0.003   14.9   0.0   186   270   365   460   349   480 0.48 -
31374at50557_133901_0:001035|STRG.10435.1:150-1769|+  -            540 30467at50557         -            614    0.0013   16.1   0.0   1   1   2.1e-05    0.0034   14.8   0.0   186   270   385   480   368   502 0.49 -
80377at50557_7370_0:002b5e|STRG.1129.3:624-1037|+     -            138 30467at50557         -            614    0.0037   14.6   0.4   1   2    0.0038      0.62    7.3   0.1   221   269    15    71     1    92 0.44 -
80377at50557_7370_0:002b5e|STRG.1129.3:624-1037|+     -            138 30467at50557         -            614    0.0037   14.6   0.4   2   2    0.0089       1.4    6.1   0.0   214   247   106   137    93   138 0.84 -
43553at50557_79782_0:002ee3|STRG.1233.1:273-1064|+    -            264 30467at50557         -            614    0.0038   14.6   0.0   1   2     0.011       1.8    5.7   0.0   211   254    10    51     2    89 0.81 -
43553at50557_79782_0:002ee3|STRG.1233.1:273-1064|+    -            264 30467at50557         -            614    0.0038   14.6   0.0   2   2     0.038       6.2    4.0   0.0   210   256   140   184   125   187 0.87 -
33043at50557_103372_0:000263|STRG.15997.1:192-2582|+  -            797 30467at50557         -            614    0.0039   14.6   0.0   1   4      0.08        13    2.9   0.0   210   256   144   190   131   196 0.83 -
33043at50557_103372_0:000263|STRG.15997.1:192-2582|+  -            797 30467at50557         -            614    0.0039   14.6   0.0   2   4     0.016       2.6    5.3   0.0   218   255   196   231   190   236 0.84 -
33043at50557_103372_0:000263|STRG.15997.1:192-2582|+  -            797 30467at50557         -            614    0.0039   14.6   0.0   3   4      0.88   1.4e+02   -0.5   0.0   200   241   467   508   465   514 0.77 -
33043at50557_103372_0:000263|STRG.15997.1:192-2582|+  -            797 30467at50557         -            614    0.0039   14.6   0.0   4   4      0.24        39    1.3   0.0   188   237   490   546   483   564 0.67 -
33043at50557_103372_0:000263|STRG.15997.2:192-2916|+  -            797 30467at50557         -            614     0.004   14.5   0.0   1   4      0.08        13    2.9   0.0   210   256   144   190   131   196 0.83 -
33043at50557_103372_0:000263|STRG.15997.2:192-2916|+  -            797 30467at50557         -            614     0.004   14.5   0.0   2   4     0.016       2.6    5.3   0.0   218   255   196   231   190   236 0.84 -
33043at50557_103372_0:000263|STRG.15997.2:192-2916|+  -            797 30467at50557         -            614     0.004   14.5   0.0   3   4      0.88   1.4e+02   -0.5   0.0   200   241   467   508   465   514 0.77 -
33043at50557_103372_0:000263|STRG.15997.2:192-2916|+  -            797 30467at50557         -            614     0.004   14.5   0.0   4   4      0.24        39    1.3   0.0   188   237   490   546   483   564 0.67 -
33043at50557_103372_0:000263|STRG.15997.3:192-2943|+  -            797 30467at50557         -            614     0.004   14.5   0.0   1   4      0.08        13    2.9   0.0   210   256   144   190   131   196 0.83 -
33043at50557_103372_0:000263|STRG.15997.3:192-2943|+  -            797 30467at50557         -            614     0.004   14.5   0.0   2   4     0.016       2.6    5.3   0.0   218   255   196   231   190   236 0.84 -
33043at50557_103372_0:000263|STRG.15997.3:192-2943|+  -            797 30467at50557         -            614     0.004   14.5   0.0   3   4      0.88   1.4e+02   -0.5   0.0   200   241   467   508   465   514 0.77 -
33043at50557_103372_0:000263|STRG.15997.3:192-2943|+  -            797 30467at50557         -            614     0.004   14.5   0.0   4   4      0.24        39    1.3   0.0   188   237   490   546   483   564 0.67 -
76755at50557_30019_0:002e99|STRG.18596.1:105-803|+    -            233 30467at50557         -            614    0.0048   14.3   0.1   1   2   6.6e-05     0.011   13.1   0.1   211   252    59   100     9   128 0.85 -
76755at50557_30019_0:002e99|STRG.18596.1:105-803|+    -            233 30467at50557         -            614    0.0048   14.3   0.1   2   2       1.5   2.4e+02   -1.3   0.0   214   239   105   130    99   147 0.65 -
76755at50557_30019_0:002e99|STRG.18596.2:105-803|+    -            233 30467at50557         -            614    0.0048   14.3   0.1   1   2   6.6e-05     0.011   13.1   0.1   211   252    59   100     9   128 0.85 -
76755at50557_30019_0:002e99|STRG.18596.2:105-803|+    -            233 30467at50557         -            614    0.0048   14.3   0.1   2   2       1.5   2.4e+02   -1.3   0.0   214   239   105   130    99   147 0.65 -
76755at50557_30019_0:002e99|STRG.18596.3:105-803|+    -            233 30467at50557         -            614    0.0048   14.3   0.1   1   2   6.6e-05     0.011   13.1   0.1   211   252    59   100     9   128 0.85 -
76755at50557_30019_0:002e99|STRG.18596.3:105-803|+    -            233 30467at50557         -            614    0.0048   14.3   0.1   2   2       1.5   2.4e+02   -1.3   0.0   214   239   105   130    99   147 0.65 -
76755at50557_30019_0:002e99|STRG.18596.4:105-803|+    -            233 30467at50557         -            614    0.0048   14.3   0.1   1   2   6.6e-05     0.011   13.1   0.1   211   252    59   100     9   128 0.85 -
76755at50557_30019_0:002e99|STRG.18596.4:105-803|+    -            233 30467at50557         -            614    0.0048   14.3   0.1   2   2       1.5   2.4e+02   -1.3   0.0   214   239   105   130    99   147 0.65 -
76755at50557_30019_0:002e99|STRG.18596.5:105-803|+    -            233 30467at50557         -            614    0.0048   14.3   0.1   1   2   6.6e-05     0.011   13.1   0.1   211   252    59   100     9   128 0.85 -
76755at50557_30019_0:002e99|STRG.18596.5:105-803|+    -            233 30467at50557         -            614    0.0048   14.3   0.1   2   2       1.5   2.4e+02   -1.3   0.0   214   239   105   130    99   147 0.65 -
117816at50557_121225_0:000cee|STRG.487.1:257-760|+    -            168 30467at50557         -            614    0.0056   14.0   0.1   1   2   0.00043      0.07   10.4   0.0    73   131    24    86    13    94 0.73 -
117816at50557_121225_0:000cee|STRG.487.1:257-760|+    -            168 30467at50557         -            614    0.0056   14.0   0.1   2   2      0.13        22    2.2   0.0    70   109   114   152    79   162 0.69 -
117816at50557_121225_0:000cee|STRG.487.2:27-530|+     -            168 30467at50557         -            614    0.0056   14.0   0.1   1   2   0.00043      0.07   10.4   0.0    73   131    24    86    13    94 0.73 -
117816at50557_121225_0:000cee|STRG.487.2:27-530|+     -            168 30467at50557         -            614    0.0056   14.0   0.1   2   2      0.13        22    2.2   0.0    70   109   114   152    79   162 0.69 -
78072at50557_156304_0:001dd8|STRG.1129.1:1750-2472|+  -            241 30467at50557         -            614    0.0061   13.9   0.4   1   2     0.018         3    5.0   0.1   223   305    13    63     5    91 0.42 -
78072at50557_156304_0:001dd8|STRG.1129.1:1750-2472|+  -            241 30467at50557         -            614    0.0061   13.9   0.4   2   2    0.0048      0.78    7.0   0.0   217   507   105   137    94   161 0.64 -
77772at50557_103372_0:001ea3|STRG.11847.1:0-944|+     -            315 30467at50557         -            614     0.007   13.7   0.1   1   2   0.00014     0.023   12.0   0.1   211   257    16    60     8    85 0.87 -
77772at50557_103372_0:001ea3|STRG.11847.1:0-944|+     -            315 30467at50557         -            614     0.007   13.7   0.1   2   2       1.7   2.8e+02   -1.5   0.0   415   501   166   266   152   276 0.41 -
80377at50557_77166_0:002f29|STRG.16282.1:593-1507|+   -            305 30467at50557         -            614    0.0087   13.4   0.8   1   3     0.098        16    2.6   0.0   476   503    24    51    10    60 0.63 -
80377at50557_77166_0:002f29|STRG.16282.1:593-1507|+   -            305 30467at50557         -            614    0.0087   13.4   0.8   2   3      0.77   1.3e+02   -0.3   0.0   473   510    65   102    52   121 0.82 -
80377at50557_77166_0:002f29|STRG.16282.1:593-1507|+   -            305 30467at50557         -            614    0.0087   13.4   0.8   3   3      0.01       1.7    5.9   0.1   164   200   263   298   250   304 0.75 -
40115at50557_108931_0:001d6b|STRG.17037.1:531-1466|+  -            312 30467at50557         -            614      0.01   13.2   0.5   1   3     0.018       2.9    5.1   0.0   187   257    73   147    62   207 0.61 -
40115at50557_108931_0:001d6b|STRG.17037.1:531-1466|+  -            312 30467at50557         -            614      0.01   13.2   0.5   2   3     0.015       2.5    5.3   0.0   475   505   192   222   158   247 0.80 -
40115at50557_108931_0:001d6b|STRG.17037.1:531-1466|+  -            312 30467at50557         -            614      0.01   13.2   0.5   3   3      0.41        67    0.6   0.1   138   207   241   311   221   312 0.49 -
80377at50557_37344_0:0017d3|STRG.18292.1:868-1827|+   -            320 30467at50557         -            614     0.013   12.9   0.4   1   3    0.0052      0.85    6.8   0.1   472   505   170   203   163   215 0.84 -
80377at50557_37344_0:0017d3|STRG.18292.1:868-1827|+   -            320 30467at50557         -            614     0.013   12.9   0.4   2   3      0.99   1.6e+02   -0.7   0.0   218   258   216   255   203   262 0.76 -
80377at50557_37344_0:0017d3|STRG.18292.1:868-1827|+   -            320 30467at50557         -            614     0.013   12.9   0.4   3   3      0.11        18    2.4   0.0   186   209   267   290   251   310 0.79 -
80377at50557_37344_0:0017d3|STRG.18292.2:868-1827|+   -            320 30467at50557         -            614     0.013   12.9   0.4   1   3    0.0052      0.85    6.8   0.1   472   505   170   203   163   215 0.84 -
80377at50557_37344_0:0017d3|STRG.18292.2:868-1827|+   -            320 30467at50557         -            614     0.013   12.9   0.4   2   3      0.99   1.6e+02   -0.7   0.0   218   258   216   255   203   262 0.76 -
80377at50557_37344_0:0017d3|STRG.18292.2:868-1827|+   -            320 30467at50557         -            614     0.013   12.9   0.4   3   3      0.11        18    2.4   0.0   186   209   267   290   251   310 0.79 -
80377at50557_37344_0:0017d3|STRG.18292.3:991-1950|+   -            320 30467at50557         -            614     0.013   12.9   0.4   1   3    0.0052      0.85    6.8   0.1   472   505   170   203   163   215 0.84 -
80377at50557_37344_0:0017d3|STRG.18292.3:991-1950|+   -            320 30467at50557         -            614     0.013   12.9   0.4   2   3      0.99   1.6e+02   -0.7   0.0   218   258   216   255   203   262 0.76 -
80377at50557_37344_0:0017d3|STRG.18292.3:991-1950|+   -            320 30467at50557         -            614     0.013   12.9   0.4   3   3      0.11        18    2.4   0.0   186   209   267   290   251   310 0.79 -
80377at50557_166361_0:002fc1|STRG.2287.1:501-1214|+   -            238 30467at50557         -            614     0.013   12.9   0.1   1   2      0.17        28    1.8   0.0   217   259    66   106    59   108 0.85 -
80377at50557_166361_0:002fc1|STRG.2287.1:501-1214|+   -            238 30467at50557         -            614     0.013   12.9   0.1   2   2    0.0011      0.18    9.1   0.0   398   503   110   227   105   235 0.76 -
14512at50557_197043_0:0050fb|STRG.8781.1:32-376|-     -            115 30467at50557         -            614     0.014   12.8   0.0   1   2      0.27        43    1.2   0.0   477   505     8    36     3    45 0.87 -
14512at50557_197043_0:0050fb|STRG.8781.1:32-376|-     -            115 30467at50557         -            614     0.014   12.8   0.0   2   2   0.00063       0.1    9.9   0.0   213   259    45    89    37   110 0.81 -
33043at50557_7038_0:0032a9|STRG.16108.1:78-1970|+     -            631 30467at50557         -            614     0.015   12.7   0.4   1   3   0.00089      0.15    9.4   0.0   189   249    38   110    11   119 0.69 -
33043at50557_7038_0:0032a9|STRG.16108.1:78-1970|+     -            631 30467at50557         -            614     0.015   12.7   0.4   2   3         4   6.5e+02   -2.7   0.0   218   253   428   461   422   467 0.73 -
33043at50557_7038_0:0032a9|STRG.16108.1:78-1970|+     -            631 30467at50557         -            614     0.015   12.7   0.4   3   3       0.7   1.1e+02   -0.2   0.0   477   508   599   630   555   631 0.69 -
129956at50557_7536_0:0043e4|STRG.2649.3:125-478|+     -            118 30467at50557         -            614     0.019   12.3   0.0   1   1   0.00011     0.019   12.3   0.0    87   124    37    75    19   111 0.87 -
129956at50557_7536_0:0043e4|STRG.2649.8:125-478|+     -            118 30467at50557         -            614     0.019   12.3   0.0   1   1   0.00011     0.019   12.3   0.0    87   124    37    75    19   111 0.87 -
78072at50557_123851_0:000487|STRG.3646.1:180-1043|+   -            288 30467at50557         -            614     0.037   11.3   0.6   1   3    0.0072       1.2    6.4   0.1   441   502    70   137    34   145 0.72 -
78072at50557_123851_0:000487|STRG.3646.1:180-1043|+   -            288 30467at50557         -            614     0.037   11.3   0.6   2   3      0.23        38    1.4   0.0   443   456   163   176   157   181 0.63 -
78072at50557_123851_0:000487|STRG.3646.1:180-1043|+   -            288 30467at50557         -            614     0.037   11.3   0.6   3   3       0.7   1.1e+02   -0.2   0.0   179   207   256   286   238   288 0.68 -
40115at50557_411798_0:002bfa|STRG.739.1:627-1412|+    -            262 30467at50557         -            614     0.043   11.1   0.0   1   2   0.00053     0.087   10.1   0.0   253   305   104   158    18   164 0.74 -
40115at50557_411798_0:002bfa|STRG.739.1:627-1412|+    -            262 30467at50557         -            614     0.043   11.1   0.0   2   2         4   6.5e+02   -2.7   0.0   203   215   216   228   184   261 0.42 -
117816at50557_69004_0:00324f|STRG.17078.4:446-1009|+  -            188 30467at50557         -            614      0.05   10.9   0.1   1   2     0.021       3.4    4.8   0.0    86   112    36    63    22   135 0.84 -
117816at50557_69004_0:00324f|STRG.17078.4:446-1009|+  -            188 30467at50557         -            614      0.05   10.9   0.1   2   2     0.023       3.8    4.7   0.0    88   114   157   184   134   188 0.81 -
56752at50557_144034_0:000a3e|STRG.15795.2:809-2656|+  -            616 30467at50557         -            614     0.063   10.6   0.1   1   1   0.00061     0.099    9.9   0.1   441   506   206   276   176   290 0.70 -
56752at50557_144034_0:000a3e|STRG.15795.1:809-2740|+  -            644 30467at50557         -            614     0.068   10.5   0.1   1   1   0.00065      0.11    9.8   0.1   441   506   236   306   206   320 0.70 -
56752at50557_144034_0:000a3e|STRG.15795.3:0-2027|+    -            676 30467at50557         -            614     0.073   10.4   0.1   1   1   0.00069      0.11    9.7   0.1   441   506   236   306   206   320 0.70 -
14512at50557_103372_0:0005b9|STRG.10595.3:359-2671|+  -            771 30467at50557         -            614     0.076   10.3   0.0   1   2       2.3   3.7e+02   -1.9   0.0   215   249   102   134    84   140 0.86 -
14512at50557_103372_0:0005b9|STRG.10595.3:359-2671|+  -            771 30467at50557         -            614     0.076   10.3   0.0   2   2    0.0017      0.27    8.5   0.0   183   250   147   219   127   279 0.64 -
14512at50557_103372_0:0005b9|STRG.10595.1:359-2938|+  -            860 30467at50557         -            614     0.095   10.0   0.0   1   2       2.9   4.8e+02   -2.2   0.0   215   249   102   134    96   142 0.85 -
14512at50557_103372_0:0005b9|STRG.10595.1:359-2938|+  -            860 30467at50557         -            614     0.095   10.0   0.0   2   2    0.0019      0.32    8.3   0.0   183   250   147   219   126   278 0.64 -
14512at50557_103372_0:0005b9|STRG.10595.2:359-2995|+  -            879 30467at50557         -            614     0.099    9.9   0.0   1   2         3   4.9e+02   -2.3   0.0   215   249   102   134    96   142 0.85 -
14512at50557_103372_0:0005b9|STRG.10595.2:359-2995|+  -            879 30467at50557         -            614     0.099    9.9   0.0   2   2     0.002      0.33    8.2   0.0   183   250   147   219   126   278 0.64 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/30467at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/30467at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/30467at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:54:18 2024
# [ok]
