#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
74932at50557_103372_0:0007c3|STRG.15435.1:0-1115|+     -            372 74932at50557         -            280  1.3e-152  505.6   1.3   1   1  8.5e-155  1.6e-152  505.4   1.3     1   280    36   342    36   342 0.94 -
74932at50557_64838_0:002280|STRG.6421.4:75-833|+       -            253 74932at50557         -            280   1.1e-14   53.1   0.1   1   3   1.4e-09   2.5e-07   29.0   0.1    12    68    34    89    17   108 0.87 -
74932at50557_64838_0:002280|STRG.6421.4:75-833|+       -            253 74932at50557         -            280   1.1e-14   53.1   0.1   2   3      0.37        68    1.3   0.0   197   242   131   177   112   185 0.74 -
74932at50557_64838_0:002280|STRG.6421.4:75-833|+       -            253 74932at50557         -            280   1.1e-14   53.1   0.1   3   3   1.1e-06    0.0002   19.5   0.0   164   228   185   253   180   253 0.91 -
41065at50557_7536_0:00279b|STRG.10260.1:81-377|+       -             99 74932at50557         -            280     7e-14   50.5   0.2   1   1   6.3e-16   1.2e-13   49.8   0.2     8    84    13    98     3    99 0.74 -
74932at50557_104421_0:00028f|STRG.6421.3:223-915|+     -            231 74932at50557         -            280   1.2e-13   49.8   0.1   1   3   1.8e-07   3.3e-05   22.1   0.0    16    68     1    52     1    71 0.86 -
74932at50557_104421_0:00028f|STRG.6421.3:223-915|+     -            231 74932at50557         -            280   1.2e-13   49.8   0.1   2   3      0.38        71    1.3   0.0   205   242   103   140    88   148 0.71 -
74932at50557_104421_0:00028f|STRG.6421.3:223-915|+     -            231 74932at50557         -            280   1.2e-13   49.8   0.1   3   3     9e-08   1.7e-05   23.0   0.0   164   233   148   221   142   228 0.89 -
74932at50557_104421_0:00028f|STRG.6421.5:199-891|+     -            231 74932at50557         -            280   1.2e-13   49.8   0.1   1   3   1.8e-07   3.3e-05   22.1   0.0    16    68     1    52     1    71 0.86 -
74932at50557_104421_0:00028f|STRG.6421.5:199-891|+     -            231 74932at50557         -            280   1.2e-13   49.8   0.1   2   3      0.38        71    1.3   0.0   205   242   103   140    88   148 0.71 -
74932at50557_104421_0:00028f|STRG.6421.5:199-891|+     -            231 74932at50557         -            280   1.2e-13   49.8   0.1   3   3     9e-08   1.7e-05   23.0   0.0   164   233   148   221   142   228 0.89 -
127306at50557_64793_0:0016b5|STRG.4074.1:0-524|+       -            175 74932at50557         -            280   4.6e-13   47.8   0.4   1   1   3.7e-15   6.7e-13   47.3   0.4     9    64    29    84    21    95 0.90 -
108140at50557_34720_0:001e92|STRG.14777.1:0-1925|+     -            642 74932at50557         -            280   4.6e-13   47.8   0.1   1   1     8e-15   1.5e-12   46.2   0.1    12    67    19    75     2   118 0.78 -
100045at50557_34720_0:001e41|STRG.14783.3:562-1583|+   -            322 74932at50557         -            280   5.7e-12   44.2   0.1   1   2   3.1e-14   5.7e-12   44.2   0.1    12    60    24    72     7    88 0.91 -
100045at50557_34720_0:001e41|STRG.14783.3:562-1583|+   -            322 74932at50557         -            280   5.7e-12   44.2   0.1   2   2       6.2   1.2e+03   -2.7   0.2    15    51   103   138    89   167 0.71 -
100045at50557_34720_0:001e41|STRG.14783.4:0-962|+      -            321 74932at50557         -            280     6e-12   44.2   0.1   1   2   3.2e-14     6e-12   44.2   0.1    12    60    24    72     7    88 0.91 -
100045at50557_34720_0:001e41|STRG.14783.4:0-962|+      -            321 74932at50557         -            280     6e-12   44.2   0.1   2   2       6.2   1.1e+03   -2.7   0.2    15    51   103   138    89   167 0.71 -
100045at50557_34720_0:001e41|STRG.14783.2:562-1527|+   -            322 74932at50557         -            280     6e-12   44.2   0.1   1   2   3.3e-14     6e-12   44.2   0.1    12    60    24    72     7    88 0.91 -
100045at50557_34720_0:001e41|STRG.14783.2:562-1527|+   -            322 74932at50557         -            280     6e-12   44.2   0.1   2   2       6.2   1.2e+03   -2.7   0.2    15    51   103   138    89   167 0.71 -
100045at50557_34720_0:001e41|STRG.14783.1:175-1113|+   -            313 74932at50557         -            280   6.1e-12   44.2   0.1   1   2   3.3e-14   6.1e-12   44.2   0.1    12    60    19    67     4    83 0.92 -
100045at50557_34720_0:001e41|STRG.14783.1:175-1113|+   -            313 74932at50557         -            280   6.1e-12   44.2   0.1   2   2       5.7   1.1e+03   -2.6   0.2    15    51    98   133    84   163 0.70 -
41065at50557_103372_0:000e4c|STRG.1874.1:0-1442|+      -            481 74932at50557         -            280   2.1e-11   42.4   1.3   1   1     2e-13   3.6e-11   41.6   1.3     2    78   376   467   375   480 0.72 -
126448at50557_568069_0:001ed1|STRG.8823.2:129-866|+    -            246 74932at50557         -            280   8.1e-11   40.5   0.5   1   1   7.1e-13   1.3e-10   39.8   0.5     3    84    15   111    13   131 0.72 -
88846at50557_34720_0:00286f|STRG.19256.1:0-1301|+      -            434 74932at50557         -            280   1.3e-10   39.8   1.0   1   1   8.6e-13   1.6e-10   39.5   0.0     3    59    39   102    37   109 0.87 -
41065at50557_133901_0:001440|STRG.10823.1:120-1454|+   -            445 74932at50557         -            280   1.5e-10   39.6   1.7   1   1   8.2e-13   1.5e-10   39.6   1.7     3    69   342   420   340   444 0.71 -
74932at50557_54969_0:001df7|STRG.6421.1:890-1207|+     -            106 74932at50557         -            280   1.1e-08   33.5   0.0   1   1   7.2e-11   1.3e-08   33.2   0.0   202   279     9    90     5    91 0.82 -
74932at50557_64838_0:002280|STRG.6421.1:75-617|+       -            181 74932at50557         -            280   1.3e-08   33.2   0.1   1   2   6.4e-10   1.2e-07   30.1   0.1    12    70    34    90    16   109 0.86 -
74932at50557_64838_0:002280|STRG.6421.1:75-617|+       -            181 74932at50557         -            280   1.3e-08   33.2   0.1   2   2      0.33        61    1.5   0.0   197   240   131   175   111   181 0.74 -
60993at50557_103372_0:00057c|STRG.10622.1:0-1682|+     -            561 74932at50557         -            280   2.1e-08   32.6   0.0   1   1   2.3e-10   4.3e-08   31.5   0.0    12    69    30    90    12    94 0.88 -
125026at50557_411798_0:00322d|STRG.10122.1:7-783|+     -            259 74932at50557         -            280   2.1e-08   32.6   1.1   1   1   2.1e-10   3.9e-08   31.6   1.1     9    60    70   122    65   139 0.79 -
25981at50557_456900_0:000c28|STRG.18381.2:4-2055|+     -            684 74932at50557         -            280   6.3e-08   31.0   0.1   1   1   7.5e-10   1.4e-07   29.9   0.1    12    62    45    92    31    94 0.92 -
25981at50557_456900_0:000c28|STRG.18381.1:1-2103|+     -            701 74932at50557         -            280   6.6e-08   30.9   0.1   1   1   7.8e-10   1.4e-07   29.8   0.1    12    62    62   109    48   111 0.92 -
25981at50557_456900_0:000c28|STRG.18381.4:0-2279|+     -            760 74932at50557         -            280   7.4e-08   30.7   0.1   1   1   8.6e-10   1.6e-07   29.7   0.1    12    62   121   168   107   170 0.92 -
25981at50557_456900_0:000c28|STRG.18381.3:11-1948|+    -            646 74932at50557         -            280   7.7e-08   30.7   0.3   1   1   9.3e-10   1.7e-07   29.6   0.3    12    62     7    54     4    56 0.92 -
100045at50557_7395_0:004563|STRG.11987.1:9-290|+       -             94 74932at50557         -            280   1.7e-07   29.6   0.9   1   1     1e-09   1.9e-07   29.4   0.9    11    69    18    75     3    82 0.85 -
125026at50557_454923_0:000298|STRG.14178.1:2102-2491|+ -            130 74932at50557         -            280   2.2e-07   29.2   0.0   1   1   1.4e-09   2.5e-07   29.0   0.0    12    60    60   107    41   124 0.85 -
96874at50557_34720_0:002015|STRG.15353.1:0-1115|+      -            372 74932at50557         -            280   6.2e-06   24.4   0.5   1   1   4.5e-08   8.4e-06   24.0   0.5    12    56   316   364   302   372 0.79 -
60993at50557_1155016_0:000fc6|STRG.18288.1:1131-1298|+ -             56 74932at50557         -            280   0.00024   19.2   0.3   1   1   1.3e-06   0.00025   19.2   0.3     2    39     9    46     8    55 0.78 -
2744at50557_103372_0:002a6a|STRG.546.1:45-4772|+       -           1576 74932at50557         -            280   0.00042   18.4   0.0   1   1   4.8e-06   0.00089   17.4   0.0    10    50   654   691   649   696 0.89 -
60993at50557_1155016_0:000fc6|STRG.18288.3:1131-1268|+ -             46 74932at50557         -            280   0.00058   18.0   0.3   1   1   3.2e-06   0.00058   18.0   0.3     2    32     9    39     8    46 0.80 -
2744at50557_1507135_0:0021e2|STRG.546.2:286-6976|+     -           2224 74932at50557         -            280   0.00066   17.8   0.0   1   1     7e-06    0.0013   16.8   0.0    10    50  1302  1339  1297  1344 0.89 -
109756at50557_378494_0:003794|STRG.6795.1:3525-3716|+  -             64 74932at50557         -            280   0.00076   17.6   0.1   1   1   4.5e-06   0.00083   17.5   0.1    12    53    15    59     5    63 0.80 -
109756at50557_378494_0:003794|STRG.6795.2:3372-3563|+  -             64 74932at50557         -            280   0.00076   17.6   0.1   1   1   4.5e-06   0.00083   17.5   0.1    12    53    15    59     5    63 0.80 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/74932at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/74932at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/74932at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:56:34 2024
# [ok]
