#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
119324at50557_609295_0:001eaf|STRG.13757.1:147-656|+  -            170 119324at50557        -            141   5.7e-84  278.1   5.3   1   1   5.3e-86   7.1e-84  277.8   5.3     1   141     1   154     1   154 0.97 -
119324at50557_319348_0:001162|STRG.14508.1:119-475|+  -            119 119324at50557        -            141   0.00013   20.8   0.2   1   2   6.1e-06   0.00081   18.3   0.1    46   107     4    65     1    75 0.90 -
119324at50557_319348_0:001162|STRG.14508.1:119-475|+  -            119 119324at50557        -            141   0.00013   20.8   0.2   2   2       1.9   2.5e+02    0.5   0.0    44    77    85   119    81   119 0.73 -
119324at50557_1155016_0:001688|STRG.12215.2:117-557|+ -            147 119324at50557        -            141   0.00019   20.3   0.6   1   2     0.031       4.1    6.3   0.1    74   108     3    37     1    70 0.63 -
119324at50557_1155016_0:001688|STRG.12215.2:117-557|+ -            147 119324at50557        -            141   0.00019   20.3   0.6   2   2   0.00015     0.019   13.8   0.1    78   141    80   144    36   144 0.65 -
57153at50557_7244_0:001c0f|STRG.16972.1:323-1447|+    -            375 119324at50557        -            141   0.00034   19.5   2.6   1   3    0.0071      0.94    8.3   0.0    16    70    43    99    29   116 0.79 -
57153at50557_7244_0:001c0f|STRG.16972.1:323-1447|+    -            375 119324at50557        -            141   0.00034   19.5   2.6   2   3       4.1   5.5e+02   -0.6   0.0    52    70   210   231   195   250 0.72 -
57153at50557_7244_0:001c0f|STRG.16972.1:323-1447|+    -            375 119324at50557        -            141   0.00034   19.5   2.6   3   3    0.0031      0.41    9.5   0.1    46    70   341   365   273   369 0.64 -
119324at50557_319348_0:001162|STRG.14508.2:35-316|+   -             94 119324at50557        -            141   0.00038   19.3   0.1   1   1   3.5e-06   0.00047   19.0   0.1    46   107    25    86    17    91 0.90 -
119324at50557_79782_0:002ece|STRG.4967.1:522-953|+    -            144 119324at50557        -            141   0.00049   19.0   1.0   1   1   5.4e-06   0.00071   18.5   1.0    22   140     2   127     1   128 0.77 -
119324at50557_79782_0:002ece|STRG.4967.2:948-1379|+   -            144 119324at50557        -            141   0.00049   19.0   1.0   1   1   5.4e-06   0.00071   18.5   1.0    22   140     2   127     1   128 0.77 -
57153at50557_39758_0:001278|STRG.16972.3:232-1215|+   -            328 119324at50557        -            141   0.00057   18.8   1.3   1   3     0.051       6.8    5.6   0.0    50    70    25    45     2    64 0.79 -
57153at50557_39758_0:001278|STRG.16972.3:232-1215|+   -            328 119324at50557        -            141   0.00057   18.8   1.3   2   3       3.3   4.4e+02   -0.3   0.0    52    70   156   177   140   198 0.72 -
57153at50557_39758_0:001278|STRG.16972.3:232-1215|+   -            328 119324at50557        -            141   0.00057   18.8   1.3   3   3    0.0021      0.28   10.1   0.1    46    70   287   311   219   323 0.68 -
119324at50557_29053_0:0019d1|STRG.19567.2:793-1056|+  -             88 119324at50557        -            141   0.00059   18.7   0.1   1   1   1.5e-05    0.0019   17.0   0.1    80   139    17    87     2    88 0.69 -
119324at50557_29053_0:0019d1|STRG.19567.1:898-1218|+  -            107 119324at50557        -            141   0.00059   18.7   0.2   1   1   1.3e-05    0.0018   17.2   0.2    79   139    35   106     2   107 0.66 -
57153at50557_199890_0:0011f4|STRG.16972.4:301-1347|+  -            202 119324at50557        -            141    0.0012   17.7   3.4   1   2     0.075        10    5.0   0.1    53    70     5    22     1    26 0.87 -
57153at50557_199890_0:0011f4|STRG.16972.4:301-1347|+  -            202 119324at50557        -            141    0.0012   17.7   3.4   2   2    0.0014      0.19   10.6   0.2    88   141   137   192    95   192 0.65 -
119324at50557_1155016_0:001688|STRG.12215.1:347-775|+ -            143 119324at50557        -            141    0.0015   17.4   0.5   1   1   8.2e-05     0.011   14.6   0.4    40   141    35   140     6   140 0.65 -
112578at50557_113334_0:002156|STRG.11369.4:44-328|+   -             95 119324at50557        -            141     0.027   13.3   0.0   1   1    0.0005     0.067   12.1   0.0    86   141    27    86    21    86 0.70 -
112578at50557_113334_0:002156|STRG.11369.5:699-983|+  -             95 119324at50557        -            141     0.027   13.3   0.0   1   1    0.0005     0.067   12.1   0.0    86   141    27    86    21    86 0.70 -
112578at50557_28612_0:0042e6|STRG.11369.1:317-667|+   -            117 119324at50557        -            141     0.047   12.6   0.0   1   2   0.00089      0.12   11.3   0.0    86   141    49   108    43   108 0.70 -
112578at50557_28612_0:0042e6|STRG.11369.1:317-667|+   -            117 119324at50557        -            141     0.047   12.6   0.0   2   2      0.38        51    2.7   0.0    21    40    91   110    81   116 0.73 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/119324at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/119324at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/119324at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:52:38 2024
# [ok]
