#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
111744at50557_103372_0:001abd|STRG.17077.1:0-1172|+    -            391 111744at50557        -            301  1.1e-123  411.1  17.3   1   1  7.6e-123    2e-120  400.5  17.3     1   301    22   387    22   387 0.86 -
92128at50557_1629725_0:001ccd|STRG.6133.1:774-1817|+   -            348 111744at50557        -            301   3.6e-09   35.2   2.0   2   2   4.5e-10   1.2e-07   30.2   0.0   216   287   225   300   211   308 0.84 -
111744at50557_39758_0:0024da|STRG.16775.2:880-1762|+   -            291 111744at50557        -            301     1e-08   33.7   0.3   1   3         4   1.1e+03   -2.5   0.0   237   253    19    35    17    38 0.84 -
111744at50557_39758_0:0024da|STRG.16775.2:880-1762|+   -            291 111744at50557        -            301     1e-08   33.7   0.3   2   3       4.6   1.2e+03   -2.7   7.1    66    83    41    59    25    87 0.78 -
111744at50557_39758_0:0024da|STRG.16775.2:880-1762|+   -            291 111744at50557        -            301     1e-08   33.7   0.3   3   3   3.8e-11     1e-08   33.7   0.3   218   286   219   291   195   291 0.82 -
111744at50557_108931_0:001004|STRG.19410.2:1054-1851|+ -            266 111744at50557        -            301   1.5e-08   33.2   0.5   1   2         7   1.9e+03   -3.3   1.0    69    83     2    21     1    27 0.57 -
111744at50557_108931_0:001004|STRG.19410.2:1054-1851|+ -            266 111744at50557        -            301   1.5e-08   33.2   0.5   2   2   5.6e-11   1.5e-08   33.2   0.5   214   286   189   266   161   266 0.84 -
111744at50557_108931_0:001004|STRG.19410.3:195-992|+   -            266 111744at50557        -            301   1.5e-08   33.2   0.5   1   2         7   1.9e+03   -3.3   1.0    69    83     2    21     1    27 0.57 -
111744at50557_108931_0:001004|STRG.19410.3:195-992|+   -            266 111744at50557        -            301   1.5e-08   33.2   0.5   2   2   5.6e-11   1.5e-08   33.2   0.5   214   286   189   266   161   266 0.84 -
92128at50557_108931_0:002241|STRG.7791.2:172-1131|+    -            320 111744at50557        -            301   6.3e-08   31.1   0.2   1   2       1.6   4.4e+02   -1.2   0.9    63    77    41    55    33    63 0.85 -
92128at50557_108931_0:002241|STRG.7791.2:172-1131|+    -            320 111744at50557        -            301   6.3e-08   31.1   0.2   2   2   2.4e-10   6.3e-08   31.1   0.2   217   288   165   239   158   244 0.83 -
92128at50557_108931_0:002241|STRG.7791.1:527-1243|+    -            239 111744at50557        -            301   6.9e-08   31.0   0.5   1   2       2.7   7.1e+02   -1.9   2.3    63    77    41    55    32    64 0.84 -
92128at50557_108931_0:002241|STRG.7791.1:527-1243|+    -            239 111744at50557        -            301   6.9e-08   31.0   0.5   2   2   2.6e-10   6.9e-08   31.0   0.5   217   287   165   238   157   239 0.83 -
111744at50557_13037_0:000a98|STRG.1012.1:1784-2920|+   -            379 111744at50557        -            301   1.1e-07   30.3   2.0   1   2     0.026       6.8    4.7   2.2     2    83    10    83     9    88 0.77 -
111744at50557_13037_0:000a98|STRG.1012.1:1784-2920|+   -            379 111744at50557        -            301   1.1e-07   30.3   2.0   2   2     7e-08   1.9e-05   23.0   0.0   216   289   290   367   281   378 0.85 -
92128at50557_69319_0:0011dd|STRG.5309.1:423-1250|+     -            276 111744at50557        -            301   0.00022   19.5   0.0   1   2       6.6   1.8e+03   -3.2   3.4    61    61    38    38     1   124 0.58 -
92128at50557_69319_0:0011dd|STRG.5309.1:423-1250|+     -            276 111744at50557        -            301   0.00022   19.5   0.0   2   2   8.1e-07   0.00022   19.5   0.0   217   288   161   239   151   244 0.77 -
153723at50557_7176_0:000773|STRG.16775.4:42-1523|+     -            494 111744at50557        -            301    0.0013   16.9   0.0   1   2         2   5.2e+02   -1.5  10.3     2    83   225   293   224   303 0.71 -
153723at50557_7176_0:000773|STRG.16775.4:42-1523|+     -            494 111744at50557        -            301    0.0013   16.9   0.0   2   2     5e-06    0.0013   16.9   0.0   219   253   454   492   429   494 0.80 -
26388at50557_123851_0:0008a6|STRG.3320.1:3093-3653|+   -            187 111744at50557        -            301    0.0015   16.8   0.1   1   2      0.22        57    1.7   0.1   241   281    62   105    57   119 0.69 -
26388at50557_123851_0:0008a6|STRG.3320.1:3093-3653|+   -            187 111744at50557        -            301    0.0015   16.8   0.1   2   2   8.2e-05     0.022   12.9   0.0   222   257   121   164   119   177 0.74 -
153723at50557_7176_0:003cd5|STRG.16775.1:274-1755|+    -            494 111744at50557        -            301    0.0015   16.7   0.0   1   2         2   5.2e+02   -1.5  10.3     2    83   222   290   221   300 0.71 -
153723at50557_7176_0:003cd5|STRG.16775.1:274-1755|+    -            494 111744at50557        -            301    0.0015   16.7   0.0   2   2   5.8e-06    0.0015   16.7   0.0   219   254   451   490   426   493 0.79 -
153723at50557_7176_0:003cd5|STRG.16775.3:51-1532|+     -            494 111744at50557        -            301    0.0015   16.7   0.0   1   2         2   5.2e+02   -1.5  10.3     2    83   222   290   221   300 0.71 -
153723at50557_7176_0:003cd5|STRG.16775.3:51-1532|+     -            494 111744at50557        -            301    0.0015   16.7   0.0   2   2   5.8e-06    0.0015   16.7   0.0   219   254   451   490   426   493 0.79 -
92128at50557_7222_0:0011ca|STRG.14613.1:472-1491|+     -            340 111744at50557        -            301    0.0026   15.9   0.0   1   1   9.7e-06    0.0026   15.9   0.0   217   289   176   252   150   261 0.76 -
92128at50557_7222_0:0011ca|STRG.14613.2:472-1491|+     -            340 111744at50557        -            301    0.0026   15.9   0.0   1   1   9.7e-06    0.0026   15.9   0.0   217   289   176   252   150   261 0.76 -
92128at50557_7222_0:0011ca|STRG.14613.3:472-1491|+     -            340 111744at50557        -            301    0.0026   15.9   0.0   1   1   9.7e-06    0.0026   15.9   0.0   217   289   176   252   150   261 0.76 -
92128at50557_7222_0:0011ca|STRG.14613.4:472-1491|+     -            340 111744at50557        -            301    0.0026   15.9   0.0   1   1   9.7e-06    0.0026   15.9   0.0   217   289   176   252   150   261 0.76 -
92128at50557_7222_0:0011ca|STRG.14613.5:472-1491|+     -            340 111744at50557        -            301    0.0026   15.9   0.0   1   1   9.7e-06    0.0026   15.9   0.0   217   289   176   252   150   261 0.76 -
92128at50557_7222_0:0011ca|STRG.14613.6:78-1097|+      -            340 111744at50557        -            301    0.0026   15.9   0.0   1   1   9.7e-06    0.0026   15.9   0.0   217   289   176   252   150   261 0.76 -
26388at50557_56086_0:004349|STRG.14753.1:6288-6638|+   -            117 111744at50557        -            301    0.0035   15.5   0.1   1   2       0.2        52    1.8   0.0   240   274     7    40     2    54 0.66 -
26388at50557_56086_0:004349|STRG.14753.1:6288-6638|+   -            117 111744at50557        -            301    0.0035   15.5   0.1   2   2   0.00017     0.044   11.9   0.0   224   253    68   105    59   110 0.63 -
26388at50557_56086_0:004349|STRG.9800.1:4119-4475|+    -            119 111744at50557        -            301    0.0099   14.0   0.1   1   2       2.1   5.5e+02   -1.5   0.0   242   260    16    33    11    58 0.63 -
26388at50557_56086_0:004349|STRG.9800.1:4119-4475|+    -            119 111744at50557        -            301    0.0099   14.0   0.1   2   2   8.6e-05     0.023   12.8   0.1   222   247    74    99    66   117 0.80 -
26388at50557_123851_0:0008a6|STRG.6968.1:1982-2467|+   -            162 111744at50557        -            301     0.014   13.6   0.8   1   2      0.51   1.4e+02    0.4   0.0     1    37    55    93    55   103 0.59 -
26388at50557_123851_0:0008a6|STRG.6968.1:1982-2467|+   -            162 111744at50557        -            301     0.014   13.6   0.8   2   2   0.00031     0.082   11.0   0.0   225   257   120   160   109   161 0.74 -
26388at50557_123851_0:0008a6|STRG.6968.2:4282-4767|+   -            162 111744at50557        -            301     0.014   13.6   0.8   1   2      0.51   1.4e+02    0.4   0.0     1    37    55    93    55   103 0.59 -
26388at50557_123851_0:0008a6|STRG.6968.2:4282-4767|+   -            162 111744at50557        -            301     0.014   13.6   0.8   2   2   0.00031     0.082   11.0   0.0   225   257   120   160   109   161 0.74 -
26388at50557_123851_0:0008a6|STRG.6968.3:72-557|+      -            162 111744at50557        -            301     0.014   13.6   0.8   1   2      0.51   1.4e+02    0.4   0.0     1    37    55    93    55   103 0.59 -
26388at50557_123851_0:0008a6|STRG.6968.3:72-557|+      -            162 111744at50557        -            301     0.014   13.6   0.8   2   2   0.00031     0.082   11.0   0.0   225   257   120   160   109   161 0.74 -
26388at50557_123851_0:0008a6|STRG.6968.4:4303-4788|+   -            162 111744at50557        -            301     0.014   13.6   0.8   1   2      0.51   1.4e+02    0.4   0.0     1    37    55    93    55   103 0.59 -
26388at50557_123851_0:0008a6|STRG.6968.4:4303-4788|+   -            162 111744at50557        -            301     0.014   13.6   0.8   2   2   0.00031     0.082   11.0   0.0   225   257   120   160   109   161 0.74 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/111744at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/111744at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/111744at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:52:25 2024
# [ok]
