#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
28600at50557_520822_0:000c07|STRG.6896.1:438-1517|+    -            360 28600at50557         -            507  1.7e-163  543.9   0.5   1   1  3.7e-165  2.1e-163  543.6   0.5     1   307    10   345    10   355 0.92 -
140221at50557_568069_0:001a32|STRG.10963.4:0-488|+     -            163 28600at50557         -            507   2.6e-12   45.2   0.0   1   1   4.9e-14   2.8e-12   45.0   0.0     3   114     7   126     5   157 0.85 -
140221at50557_568069_0:001a32|STRG.10963.1:1157-1648|+ -            164 28600at50557         -            507   2.6e-12   45.1   0.0   1   1     5e-14   2.8e-12   45.0   0.0     3   114     8   127     6   158 0.85 -
140221at50557_568069_0:001a32|STRG.10963.2:1495-1986|+ -            164 28600at50557         -            507   2.6e-12   45.1   0.0   1   1     5e-14   2.8e-12   45.0   0.0     3   114     8   127     6   158 0.85 -
140221at50557_568069_0:001a32|STRG.1069.1:222-698|+    -            159 28600at50557         -            507   2.7e-12   45.1   0.0   1   1   5.6e-14   3.2e-12   44.8   0.0     1   111     1   119     1   133 0.86 -
108271at50557_64793_0:001833|STRG.13660.3:0-602|+      -            201 28600at50557         -            507     3e-12   45.0   0.0   1   1   6.4e-14   3.6e-12   44.7   0.0     4   148    13   167    10   177 0.83 -
108271at50557_64793_0:001833|STRG.13660.2:651-1268|+   -            206 28600at50557         -            507   3.2e-12   44.8   0.0   1   1     7e-14   3.9e-12   44.6   0.0     4   148    18   172    15   182 0.83 -
108271at50557_64793_0:001833|STRG.13660.1:71-694|+     -            208 28600at50557         -            507   3.3e-12   44.8   0.0   1   1   7.2e-14     4e-12   44.5   0.0     4   148    20   174    17   184 0.83 -
108271at50557_224129_0:0005ad|STRG.14640.1:9-551|+     -            181 28600at50557         -            507   5.6e-12   44.0   0.1   1   1   1.1e-13   5.9e-12   44.0   0.1     4   167     2   177     1   181 0.78 -
107216at50557_110193_0:000c8b|STRG.9147.1:30-608|+     -            193 28600at50557         -            507   7.4e-12   43.6   0.0   1   1   1.7e-13   9.3e-12   43.3   0.0     4   149    14   171    12   186 0.79 -
140221at50557_568069_0:001a32|STRG.19500.1:47-526|+    -            160 28600at50557         -            507   1.7e-11   42.5   0.0   1   1   3.2e-13   1.8e-11   42.4   0.0     2   124     3   134     2   159 0.79 -
140221at50557_568069_0:001a32|STRG.19500.2:170-649|+   -            160 28600at50557         -            507   1.7e-11   42.5   0.0   1   1   3.2e-13   1.8e-11   42.4   0.0     2   124     3   134     2   159 0.79 -
104262at50557_132113_0:00109a|STRG.3897.1:197-706|+    -            170 28600at50557         -            507   7.3e-11   40.4   0.0   1   1   1.5e-12   8.6e-11   40.1   0.0     4   146    18   170    16   170 0.79 -
104262at50557_132113_0:00109a|STRG.3897.2:197-706|+    -            170 28600at50557         -            507   7.3e-11   40.4   0.0   1   1   1.5e-12   8.6e-11   40.1   0.0     4   146    18   170    16   170 0.79 -
104262at50557_132113_0:00109a|STRG.3897.3:197-706|+    -            170 28600at50557         -            507   7.3e-11   40.4   0.0   1   1   1.5e-12   8.6e-11   40.1   0.0     4   146    18   170    16   170 0.79 -
106023at50557_456900_0:0019f7|STRG.15057.1:924-1571|+  -            216 28600at50557         -            507   1.1e-10   39.8   0.0   1   1   2.4e-12   1.3e-10   39.5   0.0     3   149    23   179    21   189 0.74 -
106023at50557_456900_0:0019f7|STRG.15057.3:1051-1698|+ -            216 28600at50557         -            507   1.1e-10   39.8   0.0   1   1   2.4e-12   1.3e-10   39.5   0.0     3   149    23   179    21   189 0.74 -
106023at50557_456900_0:0019f7|STRG.15057.4:151-886|+   -            216 28600at50557         -            507   1.1e-10   39.8   0.0   1   1   2.4e-12   1.3e-10   39.5   0.0     3   149    23   179    21   189 0.74 -
106023at50557_456900_0:0019f7|STRG.15057.5:1851-2501|+ -            217 28600at50557         -            507   1.1e-10   39.8   0.0   1   1   2.4e-12   1.4e-10   39.5   0.0     3   149    24   180    22   190 0.74 -
105221at50557_224129_0:000e95|STRG.11041.1:275-763|+   -            163 28600at50557         -            507   1.1e-10   39.7   0.1   1   1   2.5e-12   1.4e-10   39.4   0.1     4   147     7   160     4   162 0.83 -
105221at50557_224129_0:000e95|STRG.11041.2:272-760|+   -            163 28600at50557         -            507   1.1e-10   39.7   0.1   1   1   2.5e-12   1.4e-10   39.4   0.1     4   147     7   160     4   162 0.83 -
105221at50557_224129_0:000e95|STRG.11041.3:426-914|+   -            163 28600at50557         -            507   1.1e-10   39.7   0.1   1   1   2.5e-12   1.4e-10   39.4   0.1     4   147     7   160     4   162 0.83 -
105221at50557_224129_0:000e95|STRG.11041.4:423-911|+   -            163 28600at50557         -            507   1.1e-10   39.7   0.1   1   1   2.5e-12   1.4e-10   39.4   0.1     4   147     7   160     4   162 0.83 -
140221at50557_568069_0:001a32|STRG.15873.1:295-774|+   -            160 28600at50557         -            507   1.2e-10   39.7   0.0   1   1   2.3e-12   1.3e-10   39.5   0.0     2   117     3   126     2   157 0.81 -
140221at50557_568069_0:001a32|STRG.15873.2:0-479|+     -            160 28600at50557         -            507   1.2e-10   39.7   0.0   1   1   2.3e-12   1.3e-10   39.5   0.0     2   117     3   126     2   157 0.81 -
105221at50557_103372_0:000728|STRG.3722.1:0-587|+      -            196 28600at50557         -            507   1.3e-10   39.5   0.0   1   1   2.7e-12   1.5e-10   39.3   0.0     3   147     8   165     6   188 0.77 -
106023at50557_34720_0:001fd2|STRG.15057.6:1951-2935|+  -            232 28600at50557         -            507   1.4e-10   39.5   0.0   1   1     3e-12   1.7e-10   39.2   0.0     3   149    39   195    37   205 0.74 -
108755at50557_456900_0:000c82|STRG.10032.1:0-634|+     -            207 28600at50557         -            507   1.5e-10   39.4   0.0   1   1   3.3e-12   1.8e-10   39.0   0.0     2   148    13   169    12   177 0.80 -
108755at50557_178035_0:0020de|STRG.10032.2:235-861|+   -            209 28600at50557         -            507   1.5e-10   39.3   0.0   1   1   3.4e-12   1.9e-10   39.0   0.0     2   148    13   169    12   177 0.80 -
129498at50557_103372_0:001a9c|STRG.12999.1:4163-4861|+ -            233 28600at50557         -            507   1.8e-10   39.1   0.0   1   1   3.7e-12   2.1e-10   38.8   0.0     3   149    12   168    10   189 0.77 -
129498at50557_103372_0:001a9c|STRG.12999.3:0-698|+     -            233 28600at50557         -            507   1.8e-10   39.1   0.0   1   1   3.7e-12   2.1e-10   38.8   0.0     3   149    12   168    10   189 0.77 -
106023at50557_609295_0:001bec|STRG.15057.2:32-934|+    -            301 28600at50557         -            507   2.8e-10   38.4   0.0   1   1   6.3e-12   3.6e-10   38.1   0.0     3   149   108   264   106   274 0.74 -
108271at50557_166361_0:003235|STRG.9782.1:312-866|+    -            185 28600at50557         -            507     4e-10   37.9   0.0   1   1   8.5e-12   4.8e-10   37.7   0.0     4   148     2   156     1   165 0.78 -
108271at50557_166361_0:003235|STRG.9782.2:315-869|+    -            185 28600at50557         -            507     4e-10   37.9   0.0   1   1   8.5e-12   4.8e-10   37.7   0.0     4   148     2   156     1   165 0.78 -
108271at50557_166361_0:003235|STRG.9782.3:769-1323|+   -            185 28600at50557         -            507     4e-10   37.9   0.0   1   1   8.5e-12   4.8e-10   37.7   0.0     4   148     2   156     1   165 0.78 -
108271at50557_166361_0:003235|STRG.9782.4:9-563|+      -            185 28600at50557         -            507     4e-10   37.9   0.0   1   1   8.5e-12   4.8e-10   37.7   0.0     4   148     2   156     1   165 0.78 -
140221at50557_568069_0:001a32|STRG.2623.1:0-479|+      -            160 28600at50557         -            507   6.6e-10   37.2   0.0   1   1   1.4e-11     8e-10   36.9   0.0     2   118     3   128     2   136 0.82 -
108271at50557_43151_0:001e01|STRG.19891.1:39-596|+     -            186 28600at50557         -            507   1.2e-09   36.3   0.0   1   1   2.6e-11   1.4e-09   36.1   0.0     4   153     2   161     1   173 0.76 -
140221at50557_568069_0:001a32|STRG.10772.1:211-657|+   -            149 28600at50557         -            507   2.1e-09   35.6   0.0   1   1     4e-11   2.2e-09   35.5   0.0     4   120     2   126     1   149 0.75 -
140221at50557_568069_0:001a32|STRG.10772.2:33-479|+    -            149 28600at50557         -            507   2.1e-09   35.6   0.0   1   1     4e-11   2.2e-09   35.5   0.0     4   120     2   126     1   149 0.75 -
108271at50557_28612_0:005172|STRG.4894.1:39-596|+      -            186 28600at50557         -            507   2.9e-09   35.1   0.0   1   1   5.3e-11     3e-09   35.1   0.0     5   147     2   155     1   185 0.75 -
108271at50557_197043_0:002be2|STRG.5226.1:15-521|+     -            169 28600at50557         -            507   3.5e-09   34.8   0.0   1   1   7.3e-11   4.1e-09   34.6   0.0     5   147     1   153     1   164 0.79 -
108271at50557_1629725_0:00106a|STRG.2411.2:448-959|+   -            128 28600at50557         -            507   5.6e-09   34.1   0.0   1   1   1.1e-10   6.2e-09   34.0   0.0     3   112    11   124     9   128 0.82 -
104262at50557_132113_0:00109a|STRG.9220.1:519-1067|+   -            183 28600at50557         -            507   6.5e-09   33.9   0.0   1   1   1.2e-10   6.9e-09   33.8   0.0     3   119    14   138    12   177 0.80 -
104262at50557_132113_0:00109a|STRG.9220.2:519-1067|+   -            183 28600at50557         -            507   6.5e-09   33.9   0.0   1   1   1.2e-10   6.9e-09   33.8   0.0     3   119    14   138    12   177 0.80 -
115559at50557_42026_0:0013f7|STRG.2545.1:767-1258|+    -            164 28600at50557         -            507   1.2e-08   33.1   0.0   1   1   2.4e-10   1.4e-08   32.9   0.0     5   145    11   159     7   162 0.72 -
115559at50557_42026_0:0013f7|STRG.2545.2:1467-1958|+   -            164 28600at50557         -            507   1.2e-08   33.1   0.0   1   1   2.4e-10   1.4e-08   32.9   0.0     5   145    11   159     7   162 0.72 -
115559at50557_286306_0:000620|STRG.16600.2:493-1098|+  -            202 28600at50557         -            507   1.6e-08   32.7   0.1   1   1   3.3e-10   1.9e-08   32.4   0.1     2   151    26   185    25   196 0.74 -
115559at50557_286306_0:000620|STRG.16600.3:126-731|+   -            202 28600at50557         -            507   1.6e-08   32.7   0.1   1   1   3.3e-10   1.9e-08   32.4   0.1     2   151    26   185    25   196 0.74 -
115559at50557_286306_0:000620|STRG.16600.4:150-755|+   -            202 28600at50557         -            507   1.6e-08   32.7   0.1   1   1   3.3e-10   1.9e-08   32.4   0.1     2   151    26   185    25   196 0.74 -
104262at50557_39758_0:003743|STRG.8006.1:6-617|+       -            204 28600at50557         -            507   4.1e-08   31.3   0.0   1   1   9.3e-10   5.2e-08   30.9   0.0     4   151     8   165     6   176 0.75 -
108271at50557_40932_0:00088c|STRG.2411.1:475-1018|+    -            167 28600at50557         -            507   1.2e-07   29.7   0.0   1   1   2.3e-09   1.3e-07   29.7   0.0     4   118     3   126     1   162 0.76 -
108271at50557_40932_0:00088c|STRG.2411.3:475-1091|+    -            167 28600at50557         -            507   1.2e-07   29.7   0.0   1   1   2.3e-09   1.3e-07   29.7   0.0     4   118     3   126     1   162 0.76 -
108271at50557_40932_0:00088c|STRG.2411.4:135-635|+     -            167 28600at50557         -            507   1.2e-07   29.7   0.0   1   1   2.3e-09   1.3e-07   29.7   0.0     4   118     3   126     1   162 0.76 -
107216at50557_51655_0:0016fc|STRG.12147.1:785-1288|+   -            168 28600at50557         -            507   2.1e-07   29.0   0.0   1   1   4.1e-09   2.3e-07   28.8   0.0     4   144    10   166     7   168 0.72 -
107216at50557_51655_0:0016fc|STRG.12147.2:785-1288|+   -            168 28600at50557         -            507   2.1e-07   29.0   0.0   1   1   4.1e-09   2.3e-07   28.8   0.0     4   144    10   166     7   168 0.72 -
107216at50557_51655_0:0016fc|STRG.12147.3:785-1288|+   -            168 28600at50557         -            507   2.1e-07   29.0   0.0   1   1   4.1e-09   2.3e-07   28.8   0.0     4   144    10   166     7   168 0.72 -
107216at50557_51655_0:0016fc|STRG.12147.4:57-560|+     -            168 28600at50557         -            507   2.1e-07   29.0   0.0   1   1   4.1e-09   2.3e-07   28.8   0.0     4   144    10   166     7   168 0.72 -
107216at50557_51655_0:0016fc|STRG.12147.5:57-560|+     -            168 28600at50557         -            507   2.1e-07   29.0   0.0   1   1   4.1e-09   2.3e-07   28.8   0.0     4   144    10   166     7   168 0.72 -
108271at50557_7536_0:004142|STRG.4390.2:420-959|+      -            180 28600at50557         -            507   2.1e-07   28.9   0.0   1   1   4.4e-09   2.5e-07   28.7   0.0     5   154     2   162     1   171 0.74 -
104262at50557_34740_0:0027f7|STRG.831.3:2020-2661|+    -            214 28600at50557         -            507     3e-07   28.4   0.0   1   1   6.5e-09   3.6e-07   28.2   0.0     2   119    10   140     9   180 0.71 -
104262at50557_34740_0:0027f7|STRG.831.7:6-647|+        -            214 28600at50557         -            507     3e-07   28.4   0.0   1   1   6.5e-09   3.6e-07   28.2   0.0     2   119    10   140     9   180 0.71 -
107216at50557_7038_0:002032|STRG.14620.2:794-1357|+    -            188 28600at50557         -            507   3.3e-07   28.3   0.0   1   1   7.4e-09   4.2e-07   28.0   0.0     4   147    18   172    16   182 0.71 -
106023at50557_37001_0:0016d5|STRG.6758.1:3-512|+       -            170 28600at50557         -            507   3.5e-07   28.2   0.0   1   1   7.8e-09   4.4e-07   27.9   0.0     4   147     9   166     6   170 0.69 -
106023at50557_39758_0:004d29|STRG.6758.2:122-658|+     -            179 28600at50557         -            507   4.3e-07   27.9   0.0   1   1   9.1e-09   5.1e-07   27.7   0.0     4   147    18   175    14   179 0.69 -
107216at50557_7004_0:001b36|STRG.14280.1:3-566|+       -            188 28600at50557         -            507   4.5e-07   27.9   0.0   1   1   9.9e-09   5.6e-07   27.5   0.0     4   147     8   160     6   173 0.77 -
107216at50557_103372_0:00094d|STRG.18724.1:353-997|+   -            215 28600at50557         -            507   6.7e-07   27.3   0.0   1   1   1.5e-08   8.6e-07   26.9   0.0     4   148    13   167    11   180 0.79 -
107216at50557_103372_0:00094d|STRG.18724.2:353-997|+   -            215 28600at50557         -            507   6.7e-07   27.3   0.0   1   1   1.5e-08   8.6e-07   26.9   0.0     4   148    13   167    11   180 0.79 -
104262at50557_103372_0:002a03|STRG.10410.3:190-849|+   -            220 28600at50557         -            507   1.2e-06   26.4   0.0   1   1   2.9e-08   1.6e-06   26.0   0.0     4   147    19   172    17   186 0.75 -
107216at50557_103372_0:00094d|STRG.12139.1:143-709|+   -            189 28600at50557         -            507   1.3e-06   26.4   0.0   1   1   2.8e-08   1.6e-06   26.1   0.0     4   156     6   168     4   179 0.74 -
104262at50557_103372_0:002a03|STRG.10410.2:442-1107|+  -            222 28600at50557         -            507   1.3e-06   26.4   0.0   1   1     3e-08   1.7e-06   26.0   0.0     4   147    21   174    19   188 0.75 -
104262at50557_103372_0:002a03|STRG.10410.1:1-1102|+    -            238 28600at50557         -            507   1.6e-06   26.1   0.0   1   1   3.7e-08   2.1e-06   25.7   0.0     4   147    37   190    35   204 0.75 -
107216at50557_121845_0:004a6e|STRG.12139.2:134-717|+   -            190 28600at50557         -            507     2e-06   25.7   0.0   1   1   4.4e-08   2.5e-06   25.4   0.0     4   156     9   165     7   176 0.70 -
104262at50557_64793_0:001dc9|STRG.10410.4:634-1622|+   -            260 28600at50557         -            507     2e-06   25.7   0.0   1   1   4.8e-08   2.7e-06   25.3   0.0     4   147    59   212    57   226 0.75 -
104262at50557_64793_0:001dc9|STRG.10410.5:634-1742|+   -            260 28600at50557         -            507     2e-06   25.7   0.0   1   1   4.8e-08   2.7e-06   25.3   0.0     4   147    59   212    57   226 0.75 -
104262at50557_64793_0:001dc9|STRG.10410.6:0-779|+      -            260 28600at50557         -            507     2e-06   25.7   0.0   1   1   4.8e-08   2.7e-06   25.3   0.0     4   147    59   212    57   226 0.75 -
107216at50557_51655_0:0016fc|STRG.14620.1:1771-2367|+  -            199 28600at50557         -            507   2.2e-06   25.6   0.0   1   1   4.9e-08   2.8e-06   25.3   0.0     4   148    11   166     9   176 0.75 -
108271at50557_35570_0:000679|STRG.9738.1:102-581|+     -            160 28600at50557         -            507   2.2e-06   25.6   0.0   1   1   4.8e-08   2.7e-06   25.3   0.0     4   122     1   125     1   158 0.70 -
104262at50557_411798_0:001745|STRG.18960.1:3-518|+     -            172 28600at50557         -            507   2.2e-06   25.6   0.0   1   1   4.7e-08   2.6e-06   25.3   0.0     4   154    10   170     8   172 0.75 -
107216at50557_103372_0:00094d|STRG.18724.3:57-662|+    -            202 28600at50557         -            507   2.3e-06   25.5   0.0   1   1   4.9e-08   2.8e-06   25.2   0.0     5   148     1   154     1   167 0.79 -
41766at50557_286306_0:004435|STRG.831.3:173-2730|+     -            737 28600at50557         -            507   3.5e-06   24.9   0.0   1   1   1.1e-07     6e-06   24.1   0.0     2   118   510   639   509   677 0.72 -
129498at50557_37001_0:002409|STRG.8349.2:12-584|+      -            191 28600at50557         -            507   5.8e-06   24.2   0.1   1   1   1.2e-07   6.6e-06   24.0   0.1     4   151     3   166     1   187 0.68 -
107216at50557_7394_0:0010f2|STRG.8224.1:804-1400|+     -            199 28600at50557         -            507   6.5e-06   24.0   0.1   1   1   4.1e-07   2.3e-05   22.2   0.1     3   110     8   137     6   146 0.70 -
107216at50557_7394_0:0010f2|STRG.8224.3:1196-1792|+    -            199 28600at50557         -            507   6.5e-06   24.0   0.1   1   1   4.1e-07   2.3e-05   22.2   0.1     3   110     8   137     6   146 0.70 -
107216at50557_7394_0:0010f2|STRG.8224.4:900-1496|+     -            199 28600at50557         -            507   6.5e-06   24.0   0.1   1   1   4.1e-07   2.3e-05   22.2   0.1     3   110     8   137     6   146 0.70 -
105221at50557_29053_0:00200e|STRG.10316.1:21-521|+     -            167 28600at50557         -            507   8.2e-06   23.7   0.0   1   1   1.8e-07     1e-05   23.4   0.0     4   147     1   160     1   165 0.73 -
108271at50557_103372_0:0020f5|STRG.13225.2:346-1002|+  -            219 28600at50557         -            507   8.6e-06   23.6   0.0   1   1   5.3e-07     3e-05   21.9   0.0     2   147    13   181    12   191 0.64 -
108271at50557_34740_0:0010fd|STRG.13225.1:1464-2102|+  -            213 28600at50557         -            507   9.4e-06   23.5   0.0   1   1   5.8e-07   3.3e-05   21.7   0.0     2   146    37   204    36   212 0.64 -
104262at50557_88501_0:0010fe|STRG.8692.1:48-665|+      -            206 28600at50557         -            507   2.7e-05   22.0   0.2   1   2    0.0034      0.19    9.3   0.0     2    42    27    66    26    94 0.71 -
104262at50557_88501_0:0010fe|STRG.8692.1:48-665|+      -            206 28600at50557         -            507   2.7e-05   22.0   0.2   2   2   0.00083     0.047   11.3   0.1    50   122   107   179    90   199 0.82 -
108271at50557_166361_0:003235|STRG.17341.1:1384-1875|+ -            164 28600at50557         -            507   3.1e-05   21.8   0.0   1   1   5.7e-07   3.2e-05   21.7   0.0     5   114     3   123     1   156 0.73 -
129498at50557_7493_0:00132e|STRG.18236.1:367-843|+     -            159 28600at50557         -            507   3.3e-05   21.7   0.0   1   1     8e-07   4.5e-05   21.3   0.0     4   148     2   153     1   159 0.73 -
129498at50557_7493_0:00132e|STRG.18236.2:27-503|+      -            159 28600at50557         -            507   3.3e-05   21.7   0.0   1   1     8e-07   4.5e-05   21.3   0.0     4   148     2   153     1   159 0.73 -
129498at50557_7493_0:00132e|STRG.18236.3:972-1448|+    -            159 28600at50557         -            507   3.3e-05   21.7   0.0   1   1     8e-07   4.5e-05   21.3   0.0     4   148     2   153     1   159 0.73 -
129498at50557_7493_0:00132e|STRG.18236.4:580-1056|+    -            159 28600at50557         -            507   3.3e-05   21.7   0.0   1   1     8e-07   4.5e-05   21.3   0.0     4   148     2   153     1   159 0.73 -
108271at50557_246812_0:0007b3|STRG.13225.3:324-836|+   -            171 28600at50557         -            507   6.4e-05   20.8   0.0   1   1   6.6e-06   0.00037   18.2   0.0     4   119     1   134     1   164 0.64 -
108755at50557_28612_0:002c6d|STRG.7759.1:27-620|+      -            198 28600at50557         -            507   6.4e-05   20.8   0.0   1   1   1.5e-06   8.4e-05   20.4   0.0     4   177     1   189     1   192 0.73 -
107216at50557_51655_0:0016fc|STRG.9220.3:0-341|+       -            114 28600at50557         -            507   7.1e-05   20.6   0.0   1   1   1.4e-06   7.9e-05   20.5   0.0     5   110     1   114     1   114 0.79 -
109573at50557_103372_0:0023c7|STRG.19317.1:0-653|+     -            218 28600at50557         -            507   7.6e-05   20.5   0.0   1   1   1.8e-06    0.0001   20.1   0.0     3   155    10   177     8   189 0.70 -
104262at50557_104421_0:0019e6|STRG.16833.1:9-494|+     -            162 28600at50557         -            507   0.00012   19.9   0.0   1   1   2.6e-06   0.00014   19.6   0.0     3   146     6   159     4   161 0.75 -
129498at50557_37001_0:002409|STRG.8349.1:12-702|+      -            186 28600at50557         -            507   0.00017   19.3   0.1   1   1   3.5e-06    0.0002   19.1   0.1     4   152     3   162     1   182 0.66 -
129498at50557_37001_0:002409|STRG.8349.3:12-601|+      -            186 28600at50557         -            507   0.00017   19.3   0.1   1   1   3.5e-06    0.0002   19.1   0.1     4   152     3   162     1   182 0.66 -
104262at50557_28612_0:0030d7|STRG.3488.1:170-805|+     -            212 28600at50557         -            507    0.0002   19.1   0.0   1   1   5.9e-06   0.00033   18.4   0.0     4   154    10   177     7   185 0.72 -
104262at50557_28612_0:0030d7|STRG.3488.2:678-1313|+    -            212 28600at50557         -            507    0.0002   19.1   0.0   1   1   5.9e-06   0.00033   18.4   0.0     4   154    10   177     7   185 0.72 -
104262at50557_28612_0:0030d7|STRG.3488.4:48-713|+      -            222 28600at50557         -            507   0.00024   18.9   0.0   1   1   6.9e-06   0.00039   18.2   0.0     4   154    20   187    17   195 0.72 -
104262at50557_64793_0:001dc9|STRG.3488.3:1571-2266|+   -            232 28600at50557         -            507   0.00028   18.7   0.0   1   1     8e-06   0.00045   18.0   0.0     4   154    30   197    27   205 0.72 -
104262at50557_64793_0:001dc9|STRG.3488.5:1482-2177|+   -            232 28600at50557         -            507   0.00028   18.7   0.0   1   1     8e-06   0.00045   18.0   0.0     4   154    30   197    27   205 0.72 -
104262at50557_411798_0:001745|STRG.3488.6:138-866|+    -            243 28600at50557         -            507   0.00032   18.4   0.0   1   1   9.3e-06   0.00052   17.7   0.0     4   154    41   208    38   216 0.72 -
106023at50557_7038_0:002188|STRG.4649.1:3-548|+        -            182 28600at50557         -            507   0.00041   18.1   0.0   1   1   1.2e-05   0.00068   17.4   0.0     4   119     6   128     4   160 0.73 -
107216at50557_29031_0:0026ef|STRG.16996.1:20-436|+     -            139 28600at50557         -            507   0.00045   18.0   0.0   1   1   8.9e-06    0.0005   17.8   0.0    73   155    45   132     9   136 0.72 -
108755at50557_121225_0:0004e7|STRG.5838.2:66-557|+     -            164 28600at50557         -            507   0.00046   17.9   0.0   1   1   1.1e-05    0.0006   17.5   0.0     3   147     4   160     2   163 0.65 -
107216at50557_103372_0:00094d|STRG.12139.3:0-527|+     -            176 28600at50557         -            507   0.00058   17.6   0.0   1   1   1.1e-05    0.0006   17.5   0.0    70   156    64   155     1   166 0.68 -
99773at50557_34720_0:00204d|STRG.15441.1:156-1337|+    -            394 28600at50557         -            507   0.00064   17.5   0.1   1   2     0.031       1.8    6.1   0.0     5    32    37    64    33    95 0.83 -
99773at50557_34720_0:00204d|STRG.15441.1:156-1337|+    -            394 28600at50557         -            507   0.00064   17.5   0.1   2   2    0.0031      0.18    9.4   0.1    75   149   165   244   137   261 0.73 -
99773at50557_34720_0:00204d|STRG.15441.2:142-1323|+    -            394 28600at50557         -            507   0.00064   17.5   0.1   1   2     0.031       1.8    6.1   0.0     5    32    37    64    33    95 0.83 -
99773at50557_34720_0:00204d|STRG.15441.2:142-1323|+    -            394 28600at50557         -            507   0.00064   17.5   0.1   2   2    0.0031      0.18    9.4   0.1    75   149   165   244   137   261 0.73 -
99773at50557_34720_0:00204d|STRG.15441.3:0-1181|+      -            394 28600at50557         -            507   0.00064   17.5   0.1   1   2     0.031       1.8    6.1   0.0     5    32    37    64    33    95 0.83 -
99773at50557_34720_0:00204d|STRG.15441.3:0-1181|+      -            394 28600at50557         -            507   0.00064   17.5   0.1   2   2    0.0031      0.18    9.4   0.1    75   149   165   244   137   261 0.73 -
109573at50557_7004_0:003472|STRG.12139.2:325-702|+     -            126 28600at50557         -            507   0.00066   17.4   0.0   1   1   1.4e-05    0.0008   17.1   0.0    74   156    19   106     9   117 0.77 -
107216at50557_7038_0:002032|STRG.14620.3:389-775|+     -            129 28600at50557         -            507   0.00073   17.3   0.0   1   1   1.6e-05    0.0009   17.0   0.0     4    99    18   118    16   127 0.70 -
108271at50557_13249_0:001644|STRG.10132.1:1942-2427|+  -            162 28600at50557         -            507    0.0008   17.1   0.0   1   1   1.6e-05   0.00089   17.0   0.0     4   111     1   116     1   138 0.78 -
119324at50557_54969_0:002fed|STRG.13461.1:22-276|+     -             85 28600at50557         -            507   0.00085   17.1   0.2   1   1     2e-05    0.0011   16.7   0.2   170   225     6    67     2    74 0.79 -
