#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
54603at50557_103372_0:00290d|STRG.14974.1:0-1844|+     -            615 54603at50557         -            483  1.7e-232  771.0  24.8   1   1  3.4e-234  2.2e-232  770.7  24.8     1   481    96   613    96   615 0.95 -
54603at50557_7070_0:002ddb|STRG.5722.1:50-1294|+       -            415 54603at50557         -            483   1.9e-51  174.0  17.3   4   4   1.5e-18   9.8e-17   59.5   4.4   335   439   284   390   283   410 0.93 -
54603at50557_116153_0:001d7a|STRG.11848.1:258-1724|+   -            489 54603at50557         -            483   1.5e-47  161.1  45.9   1   5   1.2e-18   7.8e-17   59.8  10.1   329   429    17   119     1   120 0.87 -
54603at50557_116153_0:001d7a|STRG.11848.1:258-1724|+   -            489 54603at50557         -            483   1.5e-47  161.1  45.9   2   5   1.2e-06   7.8e-05   20.3   0.1    72   120   106   154   105   167 0.87 -
54603at50557_116153_0:001d7a|STRG.11848.1:258-1724|+   -            489 54603at50557         -            483   1.5e-47  161.1  45.9   3   5   7.7e-14     5e-12   44.0   4.2   337   435   162   262   154   273 0.90 -
54603at50557_116153_0:001d7a|STRG.11848.1:258-1724|+   -            489 54603at50557         -            483   1.5e-47  161.1  45.9   4   5   1.2e-15   7.8e-14   50.0   0.9    27   139   330   445   321   452 0.90 -
54603at50557_116153_0:001d7a|STRG.11848.1:258-1724|+   -            489 54603at50557         -            483   1.5e-47  161.1  45.9   5   5   4.7e-12   3.1e-10   38.1   3.9   336   433   388   488   386   489 0.91 -
8280at50557_609295_0:000daa|STRG.13463.1:51-3371|+     -           1107 54603at50557         -            483   3.9e-43  146.6  53.3   1   8   4.6e-10     3e-08   31.5   1.2    77   416    63   197    20   200 0.48 -
8280at50557_609295_0:000daa|STRG.13463.1:51-3371|+     -           1107 54603at50557         -            483   3.9e-43  146.6  53.3   2   8   7.3e-09   4.8e-07   27.6   3.5   334   435   205   312   197   317 0.74 -
8280at50557_609295_0:000daa|STRG.13463.1:51-3371|+     -           1107 54603at50557         -            483   3.9e-43  146.6  53.3   3   8   0.00013    0.0088   13.5   0.1   249   307   330   388   317   389 0.62 -
8280at50557_609295_0:000daa|STRG.13463.1:51-3371|+     -           1107 54603at50557         -            483   3.9e-43  146.6  53.3   4   8   6.2e-12   4.1e-10   37.7   0.4   271   416   376   537   367   541 0.81 -
8280at50557_609295_0:000daa|STRG.13463.1:51-3371|+     -           1107 54603at50557         -            483   3.9e-43  146.6  53.3   5   8   3.9e-05    0.0026   15.3   1.0    75   221   517   656   499   662 0.45 -
8280at50557_609295_0:000daa|STRG.13463.1:51-3371|+     -           1107 54603at50557         -            483   3.9e-43  146.6  53.3   6   8   3.4e-13   2.3e-11   41.8   7.8   277   459   649   847   647   861 0.64 -
8280at50557_609295_0:000daa|STRG.13463.1:51-3371|+     -           1107 54603at50557         -            483   3.9e-43  146.6  53.3   7   8    0.0044      0.29    8.5   6.2   287   419   825   915   807   955 0.43 -
8280at50557_609295_0:000daa|STRG.13463.1:51-3371|+     -           1107 54603at50557         -            483   3.9e-43  146.6  53.3   8   8       1.5        97    0.2   0.1    91   123  1039  1068   979  1077 0.55 -
8280at50557_30069_0:0032d2|STRG.18765.1:267-2753|+     -            829 54603at50557         -            483     5e-40  136.3  32.3   1   6   6.6e-12   4.3e-10   37.6   0.0   271   420    12   184     3   190 0.79 -
8280at50557_30069_0:0032d2|STRG.18765.1:267-2753|+     -            829 54603at50557         -            483     5e-40  136.3  32.3   2   6   4.6e-19     3e-17   61.2  11.0    82   306   192   420   187   423 0.83 -
8280at50557_30069_0:0032d2|STRG.18765.1:267-2753|+     -            829 54603at50557         -            483     5e-40  136.3  32.3   3   6   1.1e-07   7.3e-06   23.7   0.4   356   415   407   468   406   474 0.92 -
8280at50557_30069_0:0032d2|STRG.18765.1:267-2753|+     -            829 54603at50557         -            483     5e-40  136.3  32.3   4   6   0.00028     0.018   12.5   1.0   229   308   485   562   471   567 0.89 -
8280at50557_30069_0:0032d2|STRG.18765.1:267-2753|+     -            829 54603at50557         -            483     5e-40  136.3  32.3   5   6   7.4e-05    0.0049   14.3   0.1   316   393   681   764   675   772 0.82 -
8280at50557_30069_0:0032d2|STRG.18765.1:267-2753|+     -            829 54603at50557         -            483     5e-40  136.3  32.3   6   6    0.0094      0.62    7.4   0.1   271   312   775   814   766   828 0.60 -
25718at50557_219809_0:00105d|STRG.16166.3:306-2927|+   -            874 54603at50557         -            483   1.5e-37  128.2  55.8   1   4   1.7e-14   1.1e-12   46.2  18.4    36   308   148   450    94   458 0.59 -
25718at50557_219809_0:00105d|STRG.16166.3:306-2927|+   -            874 54603at50557         -            483   1.5e-37  128.2  55.8   2   4   5.1e-13   3.3e-11   41.3   8.2   271   460   461   665   453   665 0.86 -
25718at50557_219809_0:00105d|STRG.16166.3:306-2927|+   -            874 54603at50557         -            483   1.5e-37  128.2  55.8   3   4   3.6e-06   0.00024   18.7   4.8   141   201   648   716   647   746 0.79 -
25718at50557_219809_0:00105d|STRG.16166.3:306-2927|+   -            874 54603at50557         -            483   1.5e-37  128.2  55.8   4   4   0.00023     0.015   12.7   1.9   334   372   800   840   797   849 0.86 -
25718at50557_219809_0:00105d|STRG.16166.1:306-2930|+   -            875 54603at50557         -            483   8.4e-37  125.7  55.7   1   6   1.9e-14   1.2e-12   46.0  18.6    36   308   148   450    95   459 0.58 -
25718at50557_219809_0:00105d|STRG.16166.1:306-2930|+   -            875 54603at50557         -            483   8.4e-37  125.7  55.7   2   6   1.8e-13   1.2e-11   42.8   5.7    85   222   344   499   341   510 0.65 -
25718at50557_219809_0:00105d|STRG.16166.1:306-2930|+   -            875 54603at50557         -            483   8.4e-37  125.7  55.7   3   6   2.2e-12   1.5e-10   39.1   7.9   271   460   461   666   454   667 0.84 -
25718at50557_219809_0:00105d|STRG.16166.1:306-2930|+   -            875 54603at50557         -            483   8.4e-37  125.7  55.7   4   6   1.6e-06   0.00011   19.8   3.9   140   201   648   717   647   747 0.79 -
25718at50557_219809_0:00105d|STRG.16166.1:306-2930|+   -            875 54603at50557         -            483   8.4e-37  125.7  55.7   5   6   0.00017     0.011   13.2   0.1   159   201   750   793   729   799 0.65 -
25718at50557_219809_0:00105d|STRG.16166.1:306-2930|+   -            875 54603at50557         -            483   8.4e-37  125.7  55.7   6   6   6.1e-05     0.004   14.6   6.1   165   241   756   839   754   850 0.61 -
25718at50557_219809_0:00105d|STRG.16166.4:66-2690|+    -            875 54603at50557         -            483   8.4e-37  125.7  55.7   1   6   1.9e-14   1.2e-12   46.0  18.6    36   308   148   450    95   459 0.58 -
25718at50557_219809_0:00105d|STRG.16166.4:66-2690|+    -            875 54603at50557         -            483   8.4e-37  125.7  55.7   2   6   1.8e-13   1.2e-11   42.8   5.7    85   222   344   499   341   510 0.65 -
25718at50557_219809_0:00105d|STRG.16166.4:66-2690|+    -            875 54603at50557         -            483   8.4e-37  125.7  55.7   3   6   2.2e-12   1.5e-10   39.1   7.9   271   460   461   666   454   667 0.84 -
25718at50557_219809_0:00105d|STRG.16166.4:66-2690|+    -            875 54603at50557         -            483   8.4e-37  125.7  55.7   4   6   1.6e-06   0.00011   19.8   3.9   140   201   648   717   647   747 0.79 -
25718at50557_219809_0:00105d|STRG.16166.4:66-2690|+    -            875 54603at50557         -            483   8.4e-37  125.7  55.7   5   6   0.00017     0.011   13.2   0.1   159   201   750   793   729   799 0.65 -
25718at50557_219809_0:00105d|STRG.16166.4:66-2690|+    -            875 54603at50557         -            483   8.4e-37  125.7  55.7   6   6   6.1e-05     0.004   14.6   6.1   165   241   756   839   754   850 0.61 -
8280at50557_103372_0:001996|STRG.13804.1:59-3676|+     -           1184 54603at50557         -            483   2.7e-36  124.0  59.5   1   6   4.4e-14   2.9e-12   44.8   5.4    40   218    29   212    23   216 0.72 -
8280at50557_103372_0:001996|STRG.13804.1:59-3676|+     -           1184 54603at50557         -            483   2.7e-36  124.0  59.5   2   6      0.17        11    3.3   0.1   251   298   182   228   162   237 0.75 -
8280at50557_103372_0:001996|STRG.13804.1:59-3676|+     -           1184 54603at50557         -            483   2.7e-36  124.0  59.5   3   6   1.9e-07   1.3e-05   22.9  17.5    58   414   224   583   219   588 0.70 -
8280at50557_103372_0:001996|STRG.13804.1:59-3676|+     -           1184 54603at50557         -            483   2.7e-36  124.0  59.5   4   6     0.003       0.2    9.0   0.3   103   139   604   642   582   649 0.65 -
8280at50557_103372_0:001996|STRG.13804.1:59-3676|+     -           1184 54603at50557         -            483   2.7e-36  124.0  59.5   5   6   7.9e-13   5.2e-11   40.6   6.4    81   222   630   791   627   798 0.81 -
8280at50557_103372_0:001996|STRG.13804.1:59-3676|+     -           1184 54603at50557         -            483   2.7e-36  124.0  59.5   6   6   1.5e-06   9.8e-05   19.9   4.3    63   149   830   918   802   957 0.79 -
8280at50557_103372_0:001996|STRG.13804.2:59-3610|+     -           1184 54603at50557         -            483   4.1e-36  123.4  60.1   1   6   3.1e-05     0.002   15.6   0.1    62   118     5    64     2    67 0.86 -
8280at50557_103372_0:001996|STRG.13804.2:59-3610|+     -           1184 54603at50557         -            483   4.1e-36  123.4  60.1   2   6   3.3e-14   2.2e-12   45.2   5.4    40   221    29   215    23   217 0.75 -
8280at50557_103372_0:001996|STRG.13804.2:59-3610|+     -           1184 54603at50557         -            483   4.1e-36  123.4  60.1   3   6       0.2        13    3.1   0.0   251   298   182   228   170   237 0.76 -
8280at50557_103372_0:001996|STRG.13804.2:59-3610|+     -           1184 54603at50557         -            483   4.1e-36  123.4  60.1   4   6   2.1e-07   1.4e-05   22.8  17.4    58   414   224   583   220   586 0.69 -
8280at50557_103372_0:001996|STRG.13804.2:59-3610|+     -           1184 54603at50557         -            483   4.1e-36  123.4  60.1   5   6   8.4e-13   5.5e-11   40.6   6.4    81   222   630   791   627   796 0.81 -
8280at50557_103372_0:001996|STRG.13804.2:59-3610|+     -           1184 54603at50557         -            483   4.1e-36  123.4  60.1   6   6   1.4e-06   8.9e-05   20.1   3.9    63   148   830   917   802   938 0.79 -
25718at50557_34720_0:000a06|STRG.4682.3:282-3287|+     -           1002 54603at50557         -            483   4.4e-36  123.3  35.0   1   4   7.6e-06    0.0005   17.6   1.2   271   435    79   255    72   273 0.79 -
25718at50557_34720_0:000a06|STRG.4682.3:282-3287|+     -           1002 54603at50557         -            483   4.4e-36  123.3  35.0   2   4   8.5e-09   5.6e-07   27.4   0.5   270   416   271   433   247   437 0.78 -
25718at50557_34720_0:000a06|STRG.4682.3:282-3287|+     -           1002 54603at50557         -            483   4.4e-36  123.3  35.0   3   4   2.9e-10   1.9e-08   32.2   0.4   274   417   375   531   370   541 0.80 -
25718at50557_34720_0:000a06|STRG.4682.3:282-3287|+     -           1002 54603at50557         -            483   4.4e-36  123.3  35.0   4   4     7e-21   4.6e-19   67.2  16.8    55   414   536   934   528   937 0.82 -
54603at50557_224129_0:0029b4|STRG.14779.1:1024-2154|+  -            377 54603at50557         -            483   4.7e-35  119.9  47.5   1   3   2.6e-18   1.7e-16   58.8  17.2    53   226     4   195     3   197 0.84 -
54603at50557_224129_0:0029b4|STRG.14779.1:1024-2154|+  -            377 54603at50557         -            483   4.7e-35  119.9  47.5   2   3   2.7e-18   1.8e-16   58.6  17.5   273   439   106   281   103   286 0.91 -
54603at50557_224129_0:0029b4|STRG.14779.1:1024-2154|+  -            377 54603at50557         -            483   4.7e-35  119.9  47.5   3   3   1.5e-08     1e-06   26.5   0.1   352   414   288   351   284   362 0.64 -
54603at50557_224129_0:0029b4|STRG.14779.2:1024-2154|+  -            377 54603at50557         -            483   4.7e-35  119.9  47.5   1   3   2.6e-18   1.7e-16   58.8  17.2    53   226     4   195     3   197 0.84 -
54603at50557_224129_0:0029b4|STRG.14779.2:1024-2154|+  -            377 54603at50557         -            483   4.7e-35  119.9  47.5   2   3   2.7e-18   1.8e-16   58.6  17.5   273   439   106   281   103   286 0.91 -
54603at50557_224129_0:0029b4|STRG.14779.2:1024-2154|+  -            377 54603at50557         -            483   4.7e-35  119.9  47.5   3   3   1.5e-08     1e-06   26.5   0.1   352   414   288   351   284   362 0.64 -
54603at50557_224129_0:0029b4|STRG.14779.3:1024-2154|+  -            377 54603at50557         -            483   4.7e-35  119.9  47.5   1   3   2.6e-18   1.7e-16   58.8  17.2    53   226     4   195     3   197 0.84 -
54603at50557_224129_0:0029b4|STRG.14779.3:1024-2154|+  -            377 54603at50557         -            483   4.7e-35  119.9  47.5   2   3   2.7e-18   1.8e-16   58.6  17.5   273   439   106   281   103   286 0.91 -
54603at50557_224129_0:0029b4|STRG.14779.3:1024-2154|+  -            377 54603at50557         -            483   4.7e-35  119.9  47.5   3   3   1.5e-08     1e-06   26.5   0.1   352   414   288   351   284   362 0.64 -
25718at50557_34720_0:000a06|STRG.4682.1:282-4847|+     -           1522 54603at50557         -            483   1.5e-34  118.2  34.8   1   4   1.7e-05    0.0011   16.5   1.4   271   435    79   255    74   273 0.79 -
25718at50557_34720_0:000a06|STRG.4682.1:282-4847|+     -           1522 54603at50557         -            483   1.5e-34  118.2  34.8   2   4   1.7e-08   1.1e-06   26.4   0.6   270   416   271   433   246   436 0.78 -
25718at50557_34720_0:000a06|STRG.4682.1:282-4847|+     -           1522 54603at50557         -            483   1.5e-34  118.2  34.8   3   4   6.1e-10     4e-08   31.1   0.5   274   417   375   531   368   540 0.81 -
25718at50557_34720_0:000a06|STRG.4682.1:282-4847|+     -           1522 54603at50557         -            483   1.5e-34  118.2  34.8   4   4   1.2e-20   7.8e-19   66.4  16.3    59   414   537   934   530   937 0.82 -
25718at50557_133901_0:003073|STRG.8360.1:104-1729|+    -            542 54603at50557         -            483   4.5e-34  116.7  28.8   1   5   6.6e-08   4.4e-06   24.4   2.3   334   420    14   105     7   109 0.85 -
25718at50557_133901_0:003073|STRG.8360.1:104-1729|+    -            542 54603at50557         -            483   4.5e-34  116.7  28.8   2   5   0.00038     0.025   12.0   0.1   271   311   112   152   106   172 0.93 -
25718at50557_133901_0:003073|STRG.8360.1:104-1729|+    -            542 54603at50557         -            483   4.5e-34  116.7  28.8   3   5   1.1e-11   7.4e-10   36.8   1.3   253   371   165   292   158   297 0.83 -
25718at50557_133901_0:003073|STRG.8360.1:104-1729|+    -            542 54603at50557         -            483   4.5e-34  116.7  28.8   4   5   4.9e-09   3.2e-07   28.1   0.4   103   202   229   343   228   368 0.79 -
25718at50557_133901_0:003073|STRG.8360.1:104-1729|+    -            542 54603at50557         -            483   4.5e-34  116.7  28.8   5   5   3.1e-13     2e-11   42.0   4.0    43   178   383   536   360   540 0.83 -
25718at50557_2015173_0:002260|STRG.14751.1:420-2975|+  -            852 54603at50557         -            483   1.7e-33  114.8  36.2   1   5   6.1e-07     4e-05   21.2   0.4    92   200    55   165     8   168 0.84 -
25718at50557_2015173_0:002260|STRG.14751.1:420-2975|+  -            852 54603at50557         -            483   1.7e-33  114.8  36.2   2   5   3.2e-14   2.1e-12   45.2  11.5    41   230   129   344   129   345 0.81 -
25718at50557_2015173_0:002260|STRG.14751.1:420-2975|+  -            852 54603at50557         -            483   1.7e-33  114.8  36.2   3   5   1.3e-13   8.6e-12   43.2   7.1   271   439   199   381   195   383 0.81 -
25718at50557_2015173_0:002260|STRG.14751.1:420-2975|+  -            852 54603at50557         -            483   1.7e-33  114.8  36.2   4   5   6.4e-09   4.2e-07   27.8   8.5    81   307   344   567   340   573 0.62 -
25718at50557_2015173_0:002260|STRG.14751.1:420-2975|+  -            852 54603at50557         -            483   1.7e-33  114.8  36.2   5   5   5.1e-10   3.4e-08   31.4   0.6    40   173   689   824   681   832 0.85 -
25718at50557_7165_0:00202e|STRG.16166.2:1507-3573|+    -            689 54603at50557         -            483   5.5e-33  113.1  49.1   1   6   0.00057     0.038   11.4   0.1   273   306     3    36     1    41 0.92 -
25718at50557_7165_0:00202e|STRG.16166.2:1507-3573|+    -            689 54603at50557         -            483   5.5e-33  113.1  49.1   2   6      0.34        22    2.3   0.0   268   306    46    84    38    88 0.81 -
25718at50557_7165_0:00202e|STRG.16166.2:1507-3573|+    -            689 54603at50557         -            483   5.5e-33  113.1  49.1   3   6   1.3e-18   8.3e-17   59.8  23.4   134   460    66   420    64   421 0.82 -
25718at50557_7165_0:00202e|STRG.16166.2:1507-3573|+    -            689 54603at50557         -            483   5.5e-33  113.1  49.1   4   6   1.5e-06    0.0001   19.9   4.2   140   201   402   471   401   500 0.80 -
25718at50557_7165_0:00202e|STRG.16166.2:1507-3573|+    -            689 54603at50557         -            483   5.5e-33  113.1  49.1   5   6   0.00017     0.011   13.2   0.1   160   201   505   547   497   553 0.72 -
25718at50557_7165_0:00202e|STRG.16166.2:1507-3573|+    -            689 54603at50557         -            483   5.5e-33  113.1  49.1   6   6   0.00016     0.011   13.2   1.9   334   372   555   595   551   604 0.86 -
109776at50557_7213_0:001394|STRG.6456.5:110-679|+      -            190 54603at50557         -            483   8.1e-33  112.6  14.3   1   2   3.1e-17   2.1e-15   55.2   0.2   363   434     1    73     1    75 0.96 -
109776at50557_7213_0:001394|STRG.6456.5:110-679|+      -            190 54603at50557         -            483   8.1e-33  112.6  14.3   2   2     5e-19   3.3e-17   61.1  11.0   336   445    65   178    64   183 0.89 -
25718at50557_54969_0:001d6b|STRG.18732.1:45-2495|+     -            817 54603at50557         -            483     7e-31  106.2  38.9   1   7   8.1e-10   5.3e-08   30.7   7.6   295   434     1   158     1   165 0.80 -
25718at50557_54969_0:001d6b|STRG.18732.1:45-2495|+     -            817 54603at50557         -            483     7e-31  106.2  38.9   2   7   5.6e-07   3.7e-05   21.3   2.3    54   136    97   184    88   186 0.82 -
25718at50557_54969_0:001d6b|STRG.18732.1:45-2495|+     -            817 54603at50557         -            483     7e-31  106.2  38.9   3   7   3.4e-07   2.2e-05   22.1   4.5    57   153   124   234   121   238 0.75 -
25718at50557_54969_0:001d6b|STRG.18732.1:45-2495|+     -            817 54603at50557         -            483     7e-31  106.2  38.9   4   7   1.1e-09   7.5e-08   30.2   2.3    41   139   227   330   224   334 0.83 -
25718at50557_54969_0:001d6b|STRG.18732.1:45-2495|+     -            817 54603at50557         -            483     7e-31  106.2  38.9   5   7   6.1e-06    0.0004   17.9   1.0   340   415   323   402   318   446 0.79 -
25718at50557_54969_0:001d6b|STRG.18732.1:45-2495|+     -            817 54603at50557         -            483     7e-31  106.2  38.9   6   7    0.0011     0.072   10.5   0.3   270   309   458   497   453   507 0.92 -
25718at50557_54969_0:001d6b|STRG.18732.1:45-2495|+     -            817 54603at50557         -            483     7e-31  106.2  38.9   7   7   1.3e-06   8.6e-05   20.1   0.1    40   153   618   743   613   750 0.81 -
7376at50557_64793_0:000e0b|STRG.16440.1:1351-5874|+    -           1508 54603at50557         -            483   1.8e-29  101.5  33.9   1   4     2e-08   1.3e-06   26.2   7.2   332   435   139   248   136   256 0.80 -
7376at50557_64793_0:000e0b|STRG.16440.1:1351-5874|+    -           1508 54603at50557         -            483   1.8e-29  101.5  33.9   2   4   1.6e-12   1.1e-10   39.6   0.3    35   171   317   469   312   473 0.84 -
7376at50557_64793_0:000e0b|STRG.16440.1:1351-5874|+    -           1508 54603at50557         -            483   1.8e-29  101.5  33.9   3   4   2.2e-06   0.00014   19.4   0.8   327   415   555   651   547   674 0.69 -
