#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
107413at50557_610380_0:0005dc|STRG.9420.3:162-1023|+    -            276 107413at50557        -             88   2.5e-35  119.6   2.6   1   1   2.6e-36   1.6e-34  117.0   2.6     1    88   158   264   158   264 0.85 -
98621at50557_136037_0:0009c4|STRG.4731.5:3263-4063|+    -            267 107413at50557        -             88   1.3e-17   62.8   0.5   1   1   1.8e-17   1.1e-15   56.7   0.5    11    88   187   267   158   267 0.80 -
98621at50557_136037_0:0009c4|STRG.4731.6:3386-4186|+    -            267 107413at50557        -             88   1.3e-17   62.8   0.5   1   1   1.8e-17   1.1e-15   56.7   0.5    11    88   187   267   158   267 0.80 -
107413at50557_178035_0:001dcd|STRG.14139.1:890-1411|+   -            174 107413at50557        -             88   1.5e-17   62.6   1.5   1   1     1e-18   6.4e-17   60.6   1.5     1    88    63   162    63   162 0.77 -
107413at50557_411798_0:001add|STRG.14139.2:279-761|+    -            161 107413at50557        -             88   1.6e-17   62.6   1.8   1   1     1e-18   6.4e-17   60.6   1.8     1    88    55   154    55   154 0.77 -
107413at50557_411798_0:001add|STRG.14139.4:330-812|+    -            161 107413at50557        -             88   1.6e-17   62.6   1.8   1   1     1e-18   6.4e-17   60.6   1.8     1    88    55   154    55   154 0.77 -
98621at50557_28612_0:00515f|STRG.4734.2:2958-3707|+     -            250 107413at50557        -             88   1.9e-17   62.3   0.2   1   1   1.2e-17   7.5e-16   57.2   0.2    15    88   168   245   135   245 0.68 -
98621at50557_136037_0:0009c4|STRG.5133.1:2442-3185|+    -            248 107413at50557        -             88   2.2e-17   62.1   3.0   1   1   4.7e-17   2.9e-15   55.3   2.0     3    88   137   244   135   244 0.69 -
98621at50557_136037_0:0009c4|STRG.5133.2:2890-3633|+    -            248 107413at50557        -             88   2.2e-17   62.1   3.0   1   1   4.7e-17   2.9e-15   55.3   2.0     3    88   137   244   135   244 0.69 -
98621at50557_136037_0:0009c4|STRG.5133.3:2032-2775|+    -            248 107413at50557        -             88   2.2e-17   62.1   3.0   1   1   4.7e-17   2.9e-15   55.3   2.0     3    88   137   244   135   244 0.69 -
98621at50557_136037_0:0009c4|STRG.5133.4:1965-2708|+    -            248 107413at50557        -             88   2.2e-17   62.1   3.0   1   1   4.7e-17   2.9e-15   55.3   2.0     3    88   137   244   135   244 0.69 -
17536at50557_116153_0:000f8b|STRG.15035.1:4188-5999|+   -            604 107413at50557        -             88   3.2e-17   61.6   0.7   1   1   6.3e-17   3.9e-15   54.9   0.7    21    88   525   596   486   596 0.72 -
107413at50557_79782_0:001336|STRG.19011.1:1213-1971|+   -            253 107413at50557        -             88   6.7e-17   60.6   0.5   1   1   6.4e-18     4e-16   58.1   0.5     1    88   142   251   142   251 0.76 -
107413at50557_79782_0:001336|STRG.19011.2:1215-1973|+   -            253 107413at50557        -             88   6.7e-17   60.6   0.5   1   1   6.4e-18     4e-16   58.1   0.5     1    88   142   251   142   251 0.76 -
107413at50557_79782_0:001336|STRG.19011.3:645-1403|+    -            253 107413at50557        -             88   6.7e-17   60.6   0.5   1   1   6.4e-18     4e-16   58.1   0.5     1    88   142   251   142   251 0.76 -
98621at50557_37344_0:001be5|STRG.14139.3:108-842|+      -            245 107413at50557        -             88   7.4e-17   60.4   2.9   1   1   2.5e-18   1.5e-16   59.4   1.5     1    88   140   239   140   239 0.77 -
107413at50557_211228_0:00176b|STRG.14357.1:696-1430|+   -            245 107413at50557        -             88   9.7e-17   60.1   2.3   1   1   7.6e-18   4.7e-16   57.9   2.3     2    88   142   245   141   245 0.82 -
45935at50557_104452_0:001a48|STRG.13252.3:17-340|+      -            108 107413at50557        -             88   1.4e-16   59.6   0.8   1   1   4.4e-17   2.7e-15   55.4   0.8     4    88     7   107     4   107 0.70 -
107413at50557_136037_0:000dc2|STRG.3107.1:5435-6166|+   -            244 107413at50557        -             88   1.7e-16   59.2   2.3   1   1   5.6e-18   3.5e-16   58.3   2.3    27    88   174   237   155   237 0.91 -
107413at50557_136037_0:000dc2|STRG.3107.2:242-973|+     -            244 107413at50557        -             88   1.7e-16   59.2   2.3   1   1   5.6e-18   3.5e-16   58.3   2.3    27    88   174   237   155   237 0.91 -
107413at50557_136037_0:000dc2|STRG.3107.3:245-976|+     -            244 107413at50557        -             88   1.7e-16   59.2   2.3   1   1   5.6e-18   3.5e-16   58.3   2.3    27    88   174   237   155   237 0.91 -
93746at50557_54969_0:0026b9|STRG.10148.3:735-1790|+     -            303 107413at50557        -             88   2.6e-16   58.7   2.3   1   1   1.2e-16   7.3e-15   54.0   1.4    29    88   233   298   186   298 0.84 -
93746at50557_54969_0:0026b9|STRG.10148.1:735-1646|+     -            304 107413at50557        -             88     3e-16   58.5   2.4   1   1   1.3e-16   7.8e-15   54.0   1.5    29    88   234   299   186   299 0.84 -
93746at50557_54969_0:0026b9|STRG.10148.2:735-1646|+     -            304 107413at50557        -             88     3e-16   58.5   2.4   1   1   1.3e-16   7.8e-15   54.0   1.5    29    88   234   299   186   299 0.84 -
45935at50557_104452_0:001a48|STRG.15035.2:5870-6242|+   -            101 107413at50557        -             88   3.7e-16   58.2   0.2   1   1   7.3e-18   4.5e-16   57.9   0.2    21    88    21    92     9    92 0.89 -
98621at50557_28612_0:00515f|STRG.3595.2:402-1139|+      -            246 107413at50557        -             88   3.9e-16   58.1   0.5   1   1   2.6e-16   1.6e-14   53.0   0.5    21    88   173   242   135   242 0.82 -
98621at50557_7425_0:001b7b|STRG.6274.1:816-1571|+       -            252 107413at50557        -             88   4.9e-16   57.8   3.0   1   1   3.4e-17   2.1e-15   55.8   3.0    28    88   188   247   143   247 0.91 -
98621at50557_13249_0:0015dd|STRG.13245.1:231-941|+      -            237 107413at50557        -             88   5.7e-16   57.6   1.8   1   1   4.1e-17   2.6e-15   55.5   1.8    17    88   164   237   133   237 0.90 -
98621at50557_13249_0:0015dd|STRG.13245.2:251-961|+      -            237 107413at50557        -             88   5.7e-16   57.6   1.8   1   1   4.1e-17   2.6e-15   55.5   1.8    17    88   164   237   133   237 0.90 -
98621at50557_28612_0:00515f|STRG.13252.2:1-558|+        -            186 107413at50557        -             88     1e-15   56.8   0.8   1   1   2.4e-16   1.5e-14   53.1   0.8    18    88   111   181    78   181 0.69 -
98621at50557_79782_0:0026bc|STRG.18792.1:1814-2593|+    -            260 107413at50557        -             88   1.3e-15   56.4   5.3   1   1     3e-16   1.9e-14   52.7   3.0    27    88   188   254   143   254 0.86 -
107413at50557_108931_0:000e8f|STRG.2591.1:944-1690|+    -            249 107413at50557        -             88   1.6e-15   56.1   1.5   1   1   8.1e-17     5e-15   54.6   1.5    25    88   179   244   142   244 0.82 -
98621at50557_51655_0:002282|STRG.2591.2:1078-1921|+     -            252 107413at50557        -             88   1.6e-15   56.1   1.5   1   1   8.4e-17   5.2e-15   54.5   1.5    25    88   182   247   145   247 0.82 -
98621at50557_28612_0:00515f|STRG.13252.1:147-842|+      -            232 107413at50557        -             88   1.9e-15   55.9   0.8   1   1     4e-16   2.5e-14   52.3   0.8    18    88   157   227   124   227 0.70 -
98621at50557_28612_0:00515f|STRG.13252.4:147-842|+      -            232 107413at50557        -             88   1.9e-15   55.9   0.8   1   1     4e-16   2.5e-14   52.3   0.8    18    88   157   227   124   227 0.70 -
98621at50557_136037_0:0009c4|STRG.4734.1:2922-3680|+    -            253 107413at50557        -             88   2.3e-15   55.7   0.1   1   1   1.4e-15   8.9e-14   50.6   0.1    15    83   180   252   147   253 0.66 -
98621at50557_286706_0:000660|STRG.3215.1:82-750|+       -            223 107413at50557        -             88   2.3e-15   55.7   3.1   1   2       3.1   1.9e+02    1.4   0.0    25    38    19    32     4    75 0.67 -
98621at50557_286706_0:000660|STRG.3215.1:82-750|+       -            223 107413at50557        -             88   2.3e-15   55.7   3.1   2   2   3.5e-16   2.2e-14   52.5   1.3     1    88   121   217   121   217 0.75 -
98621at50557_13037_0:001de5|STRG.4713.1:1080-1903|+     -            236 107413at50557        -             88   9.2e-15   53.7   2.3   1   2       6.5   4.1e+02    0.4   0.1     3    11   129   137   127   169 0.65 -
98621at50557_13037_0:001de5|STRG.4713.1:1080-1903|+     -            236 107413at50557        -             88   9.2e-15   53.7   2.3   2   2   4.4e-16   2.7e-14   52.2   0.5    28    88   174   236   169   236 0.90 -
98621at50557_51655_0:002282|STRG.4713.2:711-1555|+      -            248 107413at50557        -             88     1e-14   53.6   2.3   1   2       6.7   4.1e+02    0.3   0.1     3    11   141   149   139   183 0.64 -
98621at50557_51655_0:002282|STRG.4713.2:711-1555|+      -            248 107413at50557        -             88     1e-14   53.6   2.3   2   2   4.6e-16   2.8e-14   52.2   0.5    28    88   186   248   180   248 0.90 -
98621at50557_7038_0:0003d0|STRG.4713.3:1768-2526|+      -            253 107413at50557        -             88   1.1e-14   53.5   2.3   1   2       7.3   4.5e+02    0.2   0.1     3    11   146   154   144   185 0.64 -
98621at50557_7038_0:0003d0|STRG.4713.3:1768-2526|+      -            253 107413at50557        -             88   1.1e-14   53.5   2.3   2   2   4.8e-16     3e-14   52.1   0.5    28    88   191   253   185   253 0.90 -
98621at50557_13037_0:001de5|STRG.16486.1:236-967|+      -            244 107413at50557        -             88   1.2e-14   53.4   0.2   1   1   4.7e-16   2.9e-14   52.1   0.1    29    88   176   240   159   240 0.86 -
98621at50557_13037_0:001de5|STRG.16486.2:295-1026|+     -            244 107413at50557        -             88   1.2e-14   53.4   0.2   1   1   4.7e-16   2.9e-14   52.1   0.1    29    88   176   240   159   240 0.86 -
107413at50557_13249_0:002cfe|STRG.7973.3:214-912|+      -            233 107413at50557        -             88   1.5e-14   53.0   3.5   1   2      0.59        37    3.7   0.0    23    48    20    50     6    57 0.70 -
107413at50557_13249_0:002cfe|STRG.7973.3:214-912|+      -            233 107413at50557        -             88   1.5e-14   53.0   3.5   2   2   4.1e-14   2.5e-12   45.9   2.5    24    88   167   229   127   229 0.82 -
98621at50557_7282_0:0024d9|STRG.10150.1:41-829|+        -            263 107413at50557        -             88   2.5e-14   52.4   3.6   1   1   4.8e-15     3e-13   48.9   1.7    29    88   194   255   146   255 0.75 -
45935at50557_108931_0:001010|STRG.3944.1:886-1620|+     -            245 107413at50557        -             88   2.5e-14   52.3   6.2   1   2      0.25        16    4.9   0.2     1    22   132   157   132   166 0.70 -
45935at50557_108931_0:001010|STRG.3944.1:886-1620|+     -            245 107413at50557        -             88   2.5e-14   52.3   6.2   2   2   3.7e-15   2.3e-13   49.2   2.2    13    88   165   243   159   243 0.82 -
45935at50557_108931_0:001010|STRG.3944.2:1083-1817|+    -            245 107413at50557        -             88   2.5e-14   52.3   6.2   1   2      0.25        16    4.9   0.2     1    22   132   157   132   166 0.70 -
45935at50557_108931_0:001010|STRG.3944.2:1083-1817|+    -            245 107413at50557        -             88   2.5e-14   52.3   6.2   2   2   3.7e-15   2.3e-13   49.2   2.2    13    88   165   243   159   243 0.82 -
45935at50557_108931_0:001010|STRG.3944.3:719-1453|+     -            245 107413at50557        -             88   2.5e-14   52.3   6.2   1   2      0.25        16    4.9   0.2     1    22   132   157   132   166 0.70 -
45935at50557_108931_0:001010|STRG.3944.3:719-1453|+     -            245 107413at50557        -             88   2.5e-14   52.3   6.2   2   2   3.7e-15   2.3e-13   49.2   2.2    13    88   165   243   159   243 0.82 -
98621at50557_156304_0:000097|STRG.7973.1:55-858|+       -            268 107413at50557        -             88   3.5e-14   51.8   3.9   1   2       0.7        43    3.5   0.0    23    48    55    85    40    92 0.70 -
98621at50557_156304_0:000097|STRG.7973.1:55-858|+       -            268 107413at50557        -             88   3.5e-14   51.8   3.9   2   2   5.3e-14   3.3e-12   45.5   2.5    24    88   202   264   162   264 0.82 -
17536at50557_7070_0:002b6d|STRG.18792.2:1012-2802|+     -            597 107413at50557        -             88   9.1e-14   50.5   3.2   1   1   1.5e-15   9.1e-14   50.5   3.2    27    88   527   593   482   593 0.87 -
98621at50557_286706_0:000660|STRG.3214.1:110-787|+      -            226 107413at50557        -             88   2.6e-13   49.1   3.6   1   2       7.2   4.4e+02    0.3   0.0    25    36    19    30    12    45 0.78 -
98621at50557_286706_0:000660|STRG.3214.1:110-787|+      -            226 107413at50557        -             88   2.6e-13   49.1   3.6   2   2   1.2e-14   7.1e-13   47.7   1.6    25    88   161   220   124   220 0.82 -
98621at50557_28612_0:00515f|STRG.3595.1:402-1148|+      -            249 107413at50557        -             88   7.3e-13   47.6   0.2   1   2      0.69        43    3.5   0.0     3    26   137   163   135   170 0.81 -
98621at50557_28612_0:00515f|STRG.3595.1:402-1148|+      -            249 107413at50557        -             88   7.3e-13   47.6   0.2   2   2   7.7e-13   4.8e-11   41.8   0.1    22    88   174   245   166   245 0.83 -
98621at50557_28612_0:00515f|STRG.3595.3:402-1148|+      -            249 107413at50557        -             88   7.3e-13   47.6   0.2   1   2      0.69        43    3.5   0.0     3    26   137   163   135   170 0.81 -
98621at50557_28612_0:00515f|STRG.3595.3:402-1148|+      -            249 107413at50557        -             88   7.3e-13   47.6   0.2   2   2   7.7e-13   4.8e-11   41.8   0.1    22    88   174   245   166   245 0.83 -
107413at50557_13249_0:002cfe|STRG.7973.2:231-1044|+     -            232 107413at50557        -             88   9.4e-13   47.3   3.4   1   2      0.59        36    3.7   0.0    23    48    20    50     6    57 0.70 -
107413at50557_13249_0:002cfe|STRG.7973.2:231-1044|+     -            232 107413at50557        -             88   9.4e-13   47.3   3.4   2   2   2.5e-12   1.6e-10   40.2   2.4    24    88   167   228   127   228 0.81 -
98621at50557_166361_0:000283|STRG.13246.1:201-974|+     -            258 107413at50557        -             88   1.5e-12   46.6   1.4   1   1   3.4e-13   2.1e-11   42.9   1.4     2    88   147   257   146   257 0.73 -
107413at50557_7539_0:000e62|STRG.8983.1:136-967|+       -            220 107413at50557        -             88   2.1e-12   46.1   3.9   1   2       2.1   1.3e+02    1.9   0.0    25    36    19    30    12    54 0.84 -
107413at50557_7539_0:000e62|STRG.8983.1:136-967|+       -            220 107413at50557        -             88   2.1e-12   46.1   3.9   2   2   7.4e-13   4.6e-11   41.9   2.5     1    88   122   220   122   220 0.66 -
107413at50557_7539_0:000e62|STRG.8983.3:136-967|+       -            220 107413at50557        -             88   2.1e-12   46.1   3.9   1   2       2.1   1.3e+02    1.9   0.0    25    36    19    30    12    54 0.84 -
107413at50557_7539_0:000e62|STRG.8983.3:136-967|+       -            220 107413at50557        -             88   2.1e-12   46.1   3.9   2   2   7.4e-13   4.6e-11   41.9   2.5     1    88   122   220   122   220 0.66 -
107413at50557_222816_0:000d60|STRG.8983.2:109-801|+     -            231 107413at50557        -             88   2.5e-12   45.9   3.9   1   2       2.3   1.4e+02    1.8   0.0    25    36    28    39    21    62 0.84 -
107413at50557_222816_0:000d60|STRG.8983.2:109-801|+     -            231 107413at50557        -             88   2.5e-12   45.9   3.9   2   2   7.9e-13   4.9e-11   41.8   2.5     1    88   131   229   131   229 0.66 -
98621at50557_37344_0:001be5|STRG.16824.1:251-955|+      -            235 107413at50557        -             88   2.7e-12   45.8   2.2   1   1   6.1e-14   3.8e-12   45.3   1.0    28    88   173   235   154   235 0.91 -
98621at50557_37344_0:001be5|STRG.16824.2:352-1056|+     -            235 107413at50557        -             88   2.7e-12   45.8   2.2   1   1   6.1e-14   3.8e-12   45.3   1.0    28    88   173   235   154   235 0.91 -
98621at50557_37344_0:001be5|STRG.16824.3:813-1517|+     -            235 107413at50557        -             88   2.7e-12   45.8   2.2   1   1   6.1e-14   3.8e-12   45.3   1.0    28    88   173   235   154   235 0.91 -
98621at50557_79782_0:0026bc|STRG.13256.1:176-892|+      -            239 107413at50557        -             88   3.2e-12   45.6   1.4   1   1   2.3e-13   1.4e-11   43.5   1.4     3    88   138   239   136   239 0.71 -
98621at50557_79782_0:0026bc|STRG.13256.2:189-905|+      -            239 107413at50557        -             88   3.2e-12   45.6   1.4   1   1   2.3e-13   1.4e-11   43.5   1.4     3    88   138   239   136   239 0.71 -
98621at50557_79782_0:0026bc|STRG.13256.3:176-891|+      -            234 107413at50557        -             88   3.3e-12   45.6   1.5   1   1   2.3e-13   1.4e-11   43.5   1.5     3    88   133   234   131   234 0.71 -
45935at50557_34720_0:00050a|STRG.2510.1:226-2502|+      -            759 107413at50557        -             88   5.3e-12   44.9   4.8   1   1     2e-13   1.3e-11   43.7   3.3    29    88   690   750   675   750 0.88 -
45935at50557_34720_0:00050a|STRG.2510.2:226-2525|+      -            759 107413at50557        -             88   5.3e-12   44.9   4.8   1   1     2e-13   1.3e-11   43.7   3.3    29    88   690   750   675   750 0.88 -
98621at50557_7091_0:002a38|STRG.18064.1:9-755|+         -            249 107413at50557        -             88   5.3e-12   44.9   0.6   1   2       8.3   5.1e+02    0.1   0.0    20    38    37    55    26    90 0.75 -
98621at50557_7091_0:002a38|STRG.18064.1:9-755|+         -            249 107413at50557        -             88   5.3e-12   44.9   0.6   2   2   4.7e-13   2.9e-11   42.5   0.2    26    88   186   249   169   249 0.79 -
98621at50557_7493_0:001d9f|STRG.12403.1:0-686|+         -            229 107413at50557        -             88   5.6e-12   44.8   1.5   1   2       5.8   3.6e+02    0.5   0.0    24    37    15    27    10    46 0.74 -
98621at50557_7493_0:001d9f|STRG.12403.1:0-686|+         -            229 107413at50557        -             88   5.6e-12   44.8   1.5   2   2   4.5e-13   2.8e-11   42.5   0.2    28    88   166   229   151   229 0.87 -
98621at50557_315563_0:000f4d|STRG.3210.1:117-785|+      -            223 107413at50557        -             88   8.6e-12   44.2   2.7   1   1   2.4e-13   1.5e-11   43.4   0.6     1    88   123   219   123   219 0.72 -
98621at50557_7038_0:0003d0|STRG.12404.1:110-832|+       -            241 107413at50557        -             88   1.1e-11   43.8   1.0   1   2       5.2   3.2e+02    0.7   0.0    28    37    29    38    21    73 0.78 -
98621at50557_7038_0:0003d0|STRG.12404.1:110-832|+       -            241 107413at50557        -             88   1.1e-11   43.8   1.0   2   2     2e-12   1.2e-10   40.5   0.5    28    88   177   240   170   240 0.87 -
98621at50557_28612_0:00515f|STRG.12406.1:110-844|+      -            245 107413at50557        -             88   1.2e-11   43.7   0.8   1   1   4.7e-13   2.9e-11   42.5   0.4    28    88   177   241   161   241 0.86 -
93746at50557_568069_0:0045cd|STRG.16487.1:134-1270|+    -            379 107413at50557        -             88   1.6e-11   43.3   4.0   1   1   2.7e-13   1.7e-11   43.3   1.3    27    88   311   374   298   374 0.83 -
98621at50557_568069_0:004daa|STRG.3218.1:141-818|+      -            226 107413at50557        -             88   2.3e-11   42.8   3.9   1   1   3.8e-13   2.4e-11   42.8   1.5     3    88   127   222   125   222 0.75 -
98621at50557_286706_0:000660|STRG.15473.1:72-743|+      -            224 107413at50557        -             88     3e-11   42.5   0.2   1   1   2.1e-12   1.3e-10   40.4   0.1    28    88   163   219   144   219 0.84 -
107413at50557_2015173_0:00166d|STRG.12405.1:94-834|+    -            247 107413at50557        -             88     4e-11   42.1   1.0   1   1   1.8e-12   1.1e-10   40.6   0.5    28    88   185   247   167   247 0.86 -
107413at50557_2015173_0:00166d|STRG.12405.3:94-834|+    -            247 107413at50557        -             88     4e-11   42.1   1.0   1   1   1.8e-12   1.1e-10   40.6   0.5    28    88   185   247   167   247 0.86 -
98621at50557_166361_0:000283|STRG.19325.1:3-584|+       -            194 107413at50557        -             88   4.6e-11   41.9   0.3   1   1   3.3e-12     2e-10   39.8   0.3     3    88    97   193    95   193 0.70 -
98621at50557_79782_0:0026bc|STRG.18114.1:54-728|+       -            225 107413at50557        -             88   5.2e-11   41.7   5.2   1   1   1.1e-11   6.8e-10   38.1   5.2     3    88   125   225   123   225 0.67 -
98621at50557_166361_0:000283|STRG.9132.1:517-1314|+     -            266 107413at50557        -             88   6.4e-11   41.4   2.9   1   1   1.4e-11   8.7e-10   37.8   2.9     2    88   154   262   153   262 0.66 -
98621at50557_166361_0:000283|STRG.9132.4:624-1421|+     -            266 107413at50557        -             88   6.4e-11   41.4   2.9   1   1   1.4e-11   8.7e-10   37.8   2.9     2    88   154   262   153   262 0.66 -
93746at50557_568069_0:0045cd|STRG.9134.1:201-1289|+     -            363 107413at50557        -             88   6.5e-11   41.4   3.0   1   1   2.7e-11   1.7e-09   36.9   3.0    26    88   294   363   253   363 0.73 -
93746at50557_568069_0:0045cd|STRG.9134.2:222-1310|+     -            363 107413at50557        -             88   6.5e-11   41.4   3.0   1   1   2.7e-11   1.7e-09   36.9   3.0    26    88   294   363   253   363 0.73 -
93746at50557_568069_0:0045cd|STRG.9132.3:18-1100|+      -            361 107413at50557        -             88   1.2e-10   40.5   2.6   1   1   2.2e-11   1.3e-09   37.2   2.6     2    88   253   361   252   361 0.66 -
93746at50557_568069_0:0045cd|STRG.9132.2:235-1317|+     -            361 107413at50557        -             88   1.2e-10   40.5   2.6   1   1   2.2e-11   1.3e-09   37.2   2.6     2    88   253   361   252   361 0.66 -
93746at50557_568069_0:0045cd|STRG.17934.1:320-1372|+    -            351 107413at50557        -             88   1.8e-10   40.0   0.5   1   1   7.4e-12   4.6e-10   38.7   0.5    35    88   292   346   280   346 0.84 -
93746at50557_568069_0:0045cd|STRG.17934.3:48-1127|+     -            360 107413at50557        -             88   1.9e-10   39.9   0.5   1   1   7.7e-12   4.8e-10   38.6   0.5    35    88   301   355   289   355 0.84 -
93746at50557_568069_0:0045cd|STRG.17934.2:166-1248|+    -            361 107413at50557        -             88   1.9e-10   39.9   0.5   1   1   7.8e-12   4.8e-10   38.6   0.5    35    88   302   356   290   356 0.84 -
98621at50557_35570_0:003022|STRG.5507.1:16-495|+        -            160 107413at50557        -             88     5e-10   38.5   0.8   1   1   1.5e-11   9.2e-10   37.7   0.8    30    88   101   158    85   158 0.86 -
98621at50557_219809_0:001395|STRG.16436.1:488-1153|+    -            222 107413at50557        -             88   5.2e-10   38.5   1.9   1   1   2.5e-11   1.5e-09   37.0   1.9    28    88   168   222   155   222 0.86 -
98621at50557_219809_0:001395|STRG.16436.2:467-1132|+    -            222 107413at50557        -             88   5.2e-10   38.5   1.9   1   1   2.5e-11   1.5e-09   37.0   1.9    28    88   168   222   155   222 0.86 -
98621at50557_211228_0:0004ca|STRG.18065.1:75-767|+      -            231 107413at50557        -             88   1.7e-09   36.8   6.5   1   1     6e-11   3.7e-09   35.7   4.6    29    88   169   226   124   226 0.87 -
45935at50557_67767_0:003589|STRG.14414.1:568-1347|+     -            260 107413at50557        -             88   7.1e-09   34.8   3.7   1   2      0.51        31    3.9   0.0     1    24   137   165   137   171 0.63 -
45935at50557_67767_0:003589|STRG.14414.1:568-1347|+     -            260 107413at50557        -             88   7.1e-09   34.8   3.7   2   2   4.1e-09   2.6e-07   29.9   2.2    27    88   186   251   166   251 0.84 -
45935at50557_67767_0:003589|STRG.14414.3:459-1238|+     -            260 107413at50557        -             88   7.1e-09   34.8   3.7   1   2      0.51        31    3.9   0.0     1    24   137   165   137   171 0.63 -
45935at50557_67767_0:003589|STRG.14414.3:459-1238|+     -            260 107413at50557        -             88   7.1e-09   34.8   3.7   2   2   4.1e-09   2.6e-07   29.9   2.2    27    88   186   251   166   251 0.84 -
98621at50557_28612_0:00515f|STRG.18321.2:6-725|+        -            240 107413at50557        -             88   7.4e-09   34.8   0.6   1   1   4.1e-10   2.5e-08   33.1   0.6    29    88   171   231   131   231 0.64 -
98621at50557_74869_0:00257e|STRG.18321.1:354-1118|+     -            255 107413at50557        -             88     8e-09   34.7   0.5   1   1   4.3e-10   2.7e-08   33.0   0.5    29    88   186   246   146   246 0.64 -
107413at50557_2015173_0:00166d|STRG.18049.1:1836-2591|+ -            252 107413at50557        -             88   8.3e-09   34.6   4.1   1   1   5.5e-09   3.4e-07   29.5   4.1    27    88   185   250   142   250 0.69 -
