#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
92898at50557_103372_0:00055a|STRG.10599.1:361-1164|+    -            268 92898at50557         -            222  2.5e-109  362.6   3.4   1   1    5e-111  1.8e-108  359.9   3.4     1   222     3   249     3   249 0.95 -
60961at50557_41427_0:00202e|STRG.1517.2:39-1142|+       -            368 92898at50557         -            222     2e-07   29.4   0.0   2   3    0.0001     0.036   12.2   0.0   119   195   155   226   130   239 0.80 -
60961at50557_41427_0:00202e|STRG.1517.2:39-1142|+       -            368 92898at50557         -            222     2e-07   29.4   0.0   3   3    0.0028      0.99    7.5   0.0   123   194   284   352   268   364 0.81 -
60961at50557_54969_0:0007af|STRG.8003.2:1024-1737|+     -            238 92898at50557         -            222   3.8e-07   28.5   0.6   1   2   1.4e-07   4.8e-05   21.6   0.1   120   176     2    58     1    84 0.93 -
60961at50557_54969_0:0007af|STRG.8003.2:1024-1737|+     -            238 92898at50557         -            222   3.8e-07   28.5   0.6   2   2     0.014         5    5.2   0.0   117   147   108   138    91   157 0.80 -
60961at50557_54969_0:0007af|STRG.8003.3:1097-1810|+     -            238 92898at50557         -            222   3.8e-07   28.5   0.6   1   2   1.4e-07   4.8e-05   21.6   0.1   120   176     2    58     1    84 0.93 -
60961at50557_54969_0:0007af|STRG.8003.3:1097-1810|+     -            238 92898at50557         -            222   3.8e-07   28.5   0.6   2   2     0.014         5    5.2   0.0   117   147   108   138    91   157 0.80 -
138527at50557_35570_0:000e7c|STRG.1545.4:0-233|+        -             78 92898at50557         -            222   0.00013   20.3   0.0   1   1   3.7e-07   0.00013   20.2   0.0   119   191    12    76     2    78 0.81 -
138527at50557_29053_0:0022e2|STRG.1545.1:164-463|+      -            100 92898at50557         -            222   0.00014   20.1   0.0   1   1   4.4e-07   0.00015   19.9   0.0   119   192    16    81     5    97 0.82 -
138527at50557_29053_0:0022e2|STRG.1545.2:167-499|+      -            111 92898at50557         -            222   0.00017   19.8   0.0   1   1   5.3e-07   0.00019   19.7   0.0   119   192    27    92    12   108 0.82 -
65618at50557_64459_0:000660|STRG.7742.2:223-1116|+      -            298 92898at50557         -            222   0.00081   17.6   0.1   1   2   5.7e-06     0.002   16.3   0.1   111   196     7    91     2   121 0.79 -
65618at50557_64459_0:000660|STRG.7742.2:223-1116|+      -            298 92898at50557         -            222   0.00081   17.6   0.1   2   2       5.8     2e+03   -3.3   0.0   104   134   142   172   140   173 0.82 -
65618at50557_64459_0:000660|STRG.7742.1:223-1068|+      -            282 92898at50557         -            222   0.00094   17.4   0.1   1   1   5.1e-06    0.0018   16.5   0.1   111   196     7    91     2   121 0.79 -
60961at50557_168631_0:0009c7|STRG.15897.1:560-874|+     -            105 92898at50557         -            222    0.0017   16.6   0.2   1   1   5.4e-06    0.0019   16.4   0.2   116   146    26    56     6    72 0.86 -
60961at50557_168631_0:0009c7|STRG.15897.2:549-863|+     -            105 92898at50557         -            222    0.0017   16.6   0.2   1   1   5.4e-06    0.0019   16.4   0.2   116   146    26    56     6    72 0.86 -
60961at50557_168631_0:0009c7|STRG.15897.3:370-684|+     -            105 92898at50557         -            222    0.0017   16.6   0.2   1   1   5.4e-06    0.0019   16.4   0.2   116   146    26    56     6    72 0.86 -
60961at50557_168631_0:0009c7|STRG.15897.4:622-936|+     -            105 92898at50557         -            222    0.0017   16.6   0.2   1   1   5.4e-06    0.0019   16.4   0.2   116   146    26    56     6    72 0.86 -
60961at50557_168631_0:0009c7|STRG.15897.5:398-712|+     -            105 92898at50557         -            222    0.0017   16.6   0.2   1   1   5.4e-06    0.0019   16.4   0.2   116   146    26    56     6    72 0.86 -
138527at50557_1049336_0:004c49|STRG.19423.1:1035-1319|+ -             95 92898at50557         -            222    0.0079   14.4   0.0   1   1   2.4e-05    0.0084   14.3   0.0   117   159    35    77    19    92 0.83 -
65618at50557_110193_0:0020cd|STRG.7386.1:99-788|+       -            230 92898at50557         -            222     0.013   13.6   0.0   1   1   6.2e-05     0.022   12.9   0.0   116   173     7    66     2    82 0.79 -
138527at50557_1049336_0:004c49|STRG.411.1:33-266|+      -             78 92898at50557         -            222     0.037   12.2   0.0   1   1   0.00012     0.043   12.0   0.0   134   176    13    53     7    61 0.87 -
138527at50557_217634_0:002b14|STRG.1517.1:1407-1742|+   -            112 92898at50557         -            222     0.063   11.4   0.0   1   1    0.0002     0.072   11.2   0.0   123   194    33   101    12   110 0.82 -
138527at50557_217634_0:002b14|STRG.1517.2:792-1127|+    -            112 92898at50557         -            222     0.063   11.4   0.0   1   1    0.0002     0.072   11.2   0.0   123   194    33   101    12   110 0.82 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/92898at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/92898at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/92898at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:57:18 2024
# [ok]
