#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
111975at50557_34720_0:001251|STRG.8783.1:0-632|+     -            211 111975at50557        -            174   7.3e-74  246.1   0.9   1   1   3.2e-75     1e-72  242.3   0.9     1   174     4   207     4   207 0.91 -
99964at50557_38123_0:0026b4|STRG.14798.2:501-911|+   -            137 111975at50557        -            174    0.0021   16.7   0.9   1   2   0.00045      0.15   10.7   0.6    45    91    26    70    12    88 0.68 -
99964at50557_38123_0:0026b4|STRG.14798.2:501-911|+   -            137 111975at50557        -            174    0.0021   16.7   0.9   2   2      0.03       9.9    4.7   0.0    74   105    92   123    80   132 0.80 -
99964at50557_38123_0:0026b4|STRG.14798.1:408-818|+   -            137 111975at50557        -            174    0.0021   16.7   0.9   1   2   0.00045      0.15   10.7   0.6    45    91    26    70    12    88 0.68 -
99964at50557_38123_0:0026b4|STRG.14798.1:408-818|+   -            137 111975at50557        -            174    0.0021   16.7   0.9   2   2      0.03       9.9    4.7   0.0    74   105    92   123    80   132 0.80 -
30407at50557_34720_0:002996|STRG.19768.2:41-2113|+   -            643 111975at50557        -            174    0.0044   15.6   0.1   1   1   2.6e-05    0.0085   14.7   0.1    38    90    12    64     6    97 0.75 -
30407at50557_286306_0:003a7a|STRG.19768.1:37-2635|+  -            834 111975at50557        -            174    0.0054   15.3   0.0   1   1   3.3e-05     0.011   14.3   0.0    38    90   222   274   212   307 0.76 -
30407at50557_143948_0:00063f|STRG.9787.3:563-1744|+  -            394 111975at50557        -            174    0.0062   15.1   0.0   1   1   3.8e-05     0.012   14.1   0.0    49   100    25    76    17    95 0.80 -
45533at50557_103372_0:002307|STRG.5001.3:67-1309|+   -            370 111975at50557        -            174      0.06   11.9   0.2   1   3      0.19        63    2.1   0.0    36    78   104   146    56   151 0.78 -
45533at50557_103372_0:002307|STRG.5001.3:67-1309|+   -            370 111975at50557        -            174      0.06   11.9   0.2   2   3      0.82   2.7e+02    0.0   0.0    95   109   202   216   195   224 0.84 -
45533at50557_103372_0:002307|STRG.5001.3:67-1309|+   -            370 111975at50557        -            174      0.06   11.9   0.2   3   3     0.015         5    5.7   0.0    18    45   226   253   213   257 0.87 -
45533at50557_307658_0:000097|STRG.5001.5:0-1127|+    -            354 111975at50557        -            174      0.09   11.3   0.4   1   3      0.29        94    1.5   0.0    39    78    91   130    79   135 0.77 -
45533at50557_307658_0:000097|STRG.5001.5:0-1127|+    -            354 111975at50557        -            174      0.09   11.3   0.4   2   3      0.81   2.6e+02    0.1   0.0    95   109   186   200   180   208 0.84 -
45533at50557_307658_0:000097|STRG.5001.5:0-1127|+    -            354 111975at50557        -            174      0.09   11.3   0.4   3   3     0.014       4.7    5.7   0.0    18    45   210   237   197   241 0.87 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/111975at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/111975at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/111975at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:52:26 2024
# [ok]
