#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
76747at50557_103372_0:001eb5|STRG.11740.1:2-802|+     -            267 76747at50557         -            260  3.9e-114  379.2   0.2   1   1  5.2e-116  4.8e-114  378.9   0.2    19   260     1   262     1   262 0.94 -
76747at50557_441921_0:001a0c|STRG.11112.1:832-1605|+  -            258 76747at50557         -            260   2.1e-23   81.8   0.2   1   1   3.2e-25   2.9e-23   81.4   0.2    14   190     3   193     2   196 0.84 -
76747at50557_441921_0:001a0c|STRG.11112.2:132-905|+   -            258 76747at50557         -            260   2.1e-23   81.8   0.2   1   1   3.2e-25   2.9e-23   81.4   0.2    14   190     3   193     2   196 0.84 -
84237at50557_1155016_0:0033de|STRG.4495.1:399-1034|+  -            212 76747at50557         -            260     2e-22   78.6   0.0   1   1   2.8e-24   2.6e-22   78.3   0.0    19   188     1   185     1   212 0.86 -
84237at50557_34720_0:000c53|STRG.6057.1:242-1093|+    -            284 76747at50557         -            260   1.5e-21   75.7   0.0   1   1   2.5e-23   2.3e-21   75.2   0.0    20   182     1   181     1   229 0.83 -
76747at50557_74869_0:00005d|STRG.19031.1:139-849|+    -            237 76747at50557         -            260   3.2e-21   74.7   0.1   1   1   4.4e-23     4e-21   74.4   0.1    18   189    50   236    39   237 0.85 -
76747at50557_74869_0:00005d|STRG.19031.2:195-905|+    -            237 76747at50557         -            260   3.2e-21   74.7   0.1   1   1   4.4e-23     4e-21   74.4   0.1    18   189    50   236    39   237 0.85 -
84237at50557_28612_0:005f4c|STRG.19615.1:155-685|+    -            177 76747at50557         -            260   4.1e-21   74.3   0.0   1   1   5.5e-23     5e-21   74.1   0.0    18   173     1   166     1   171 0.81 -
84237at50557_28612_0:005f4c|STRG.19615.2:155-685|+    -            177 76747at50557         -            260   4.1e-21   74.3   0.0   1   1   5.5e-23     5e-21   74.1   0.0    18   173     1   166     1   171 0.81 -
76747at50557_76194_0:002b0e|STRG.13073.2:141-794|+    -            218 76747at50557         -            260   1.2e-20   72.9   0.2   1   1   1.8e-22   1.6e-20   72.4   0.2    15   194     1   200     1   207 0.81 -
76747at50557_76194_0:002b0e|STRG.13073.3:174-827|+    -            218 76747at50557         -            260   1.2e-20   72.9   0.2   1   1   1.8e-22   1.6e-20   72.4   0.2    15   194     1   200     1   207 0.81 -
76747at50557_7397_0:00281d|STRG.13074.1:238-822|+     -            195 76747at50557         -            260   4.1e-20   71.1   2.3   1   1   6.5e-22     6e-20   70.5   2.3    15   189     1   195     1   195 0.78 -
76747at50557_7397_0:00281d|STRG.13074.2:238-822|+     -            195 76747at50557         -            260   4.1e-20   71.1   2.3   1   1   6.5e-22     6e-20   70.5   2.3    15   189     1   195     1   195 0.78 -
76747at50557_7160_0:0007ff|STRG.4838.1:17-556|+       -            180 76747at50557         -            260     1e-19   69.8   0.1   1   1   1.3e-21   1.2e-19   69.5   0.1    14   183     4   178     2   180 0.88 -
93379at50557_609295_0:002525|STRG.11668.1:123-1086|+  -            312 76747at50557         -            260   5.6e-18   64.1   0.2   1   1   1.9e-18   1.7e-16   59.2   0.2    13   143    12   164     6   169 0.76 -
93379at50557_609295_0:002525|STRG.11668.2:6-941|+     -            312 76747at50557         -            260   5.6e-18   64.1   0.2   1   1   1.9e-18   1.7e-16   59.2   0.2    13   143    12   164     6   169 0.76 -
93379at50557_103372_0:002590|STRG.8316.1:0-995|+      -            332 76747at50557         -            260   5.2e-17   60.9   0.5   1   1   8.2e-19   7.4e-17   60.4   0.5    13   148    47   192    37   195 0.85 -
93379at50557_103372_0:002590|STRG.8316.2:85-1080|+    -            332 76747at50557         -            260   5.2e-17   60.9   0.5   1   1   8.2e-19   7.4e-17   60.4   0.5    13   148    47   192    37   195 0.85 -
84237at50557_52612_0:003c2a|STRG.1734.1:1-498|+       -            166 76747at50557         -            260   7.3e-17   60.4   0.1   1   1   9.1e-19   8.3e-17   60.2   0.1    19   172     1   166     1   166 0.82 -
76747at50557_166361_0:0015eb|STRG.4495.2:505-984|+    -            160 76747at50557         -            260   9.4e-17   60.1   0.1   1   1   3.3e-18     3e-16   58.4   0.1    83   233    13   159     4   160 0.84 -
84237at50557_28612_0:005f4c|STRG.8381.1:81-689|+      -            203 76747at50557         -            260   9.4e-17   60.1   0.4   1   1   1.3e-18   1.2e-16   59.7   0.4    16   189     1   190     1   196 0.81 -
84237at50557_28612_0:005f4c|STRG.8381.2:18-626|+      -            203 76747at50557         -            260   9.4e-17   60.1   0.4   1   1   1.3e-18   1.2e-16   59.7   0.4    16   189     1   190     1   196 0.81 -
93379at50557_77166_0:00303f|STRG.12054.1:216-1145|+   -            310 76747at50557         -            260   2.2e-16   58.9   0.7   1   1   1.1e-16     1e-14   53.4   0.7    12   146    11   167     5   231 0.73 -
93379at50557_77166_0:00303f|STRG.12054.3:6-947|+      -            314 76747at50557         -            260   2.3e-16   58.8   0.7   1   1   1.1e-16     1e-14   53.3   0.7    12   146    11   167     5   231 0.73 -
66318at50557_34720_0:0013d0|STRG.9661.1:851-1849|+    -            333 76747at50557         -            260   2.8e-16   58.5   0.2   1   1   4.8e-18   4.4e-16   57.8   0.2    16   181    72   250    63   282 0.76 -
76747at50557_108931_0:001125|STRG.10223.1:2641-3255|+ -            205 76747at50557         -            260   5.4e-16   57.5   1.2   1   1   1.6e-17   1.4e-15   56.2   1.2     9   189    15   205    10   205 0.76 -
93379at50557_103372_0:002590|STRG.8316.3:85-1204|+    -            320 76747at50557         -            260   7.8e-16   57.0   0.5   1   1   1.2e-17   1.1e-15   56.5   0.5    13   148    47   191    37   194 0.83 -
93379at50557_28588_0:000c70|STRG.11670.1:21-944|+     -            308 76747at50557         -            260     9e-16   56.8   1.6   1   1   2.5e-16   2.3e-14   52.2   0.3    11   144     5   159     1   167 0.75 -
66318at50557_6973_0:003194|STRG.1770.1:225-800|+      -            192 76747at50557         -            260   1.8e-15   55.8   0.0   1   1   4.2e-17   3.9e-15   54.8   0.0    15   183     1   185     1   191 0.80 -
93379at50557_77166_0:00303f|STRG.12054.2:216-1249|+   -            314 76747at50557         -            260   2.6e-15   55.3   0.5   1   1   1.3e-15   1.2e-13   49.9   0.5    12   146    11   167     5   231 0.73 -
76747at50557_610380_0:001c9f|STRG.18940.1:6-554|+     -            183 76747at50557         -            260   3.1e-15   55.1   0.8   1   1   5.5e-17     5e-15   54.4   0.8    14   183     2   183     1   183 0.73 -
76747at50557_7160_0:0007ff|STRG.9301.1:130-444|+      -            105 76747at50557         -            260   3.3e-15   55.0   0.0   1   1     4e-17   3.7e-15   54.8   0.0    14   102     4    98     1   103 0.84 -
76747at50557_610380_0:001c9f|STRG.10224.1:103-801|+   -            233 76747at50557         -            260     7e-15   53.9   0.4   1   1   1.6e-16   1.5e-14   52.9   0.4    14   192     2   190     1   192 0.76 -
93379at50557_156304_0:001895|STRG.11669.1:187-1005|+  -            268 76747at50557         -            260   9.5e-15   53.5   0.5   1   2   1.3e-14   1.2e-12   46.6   0.3    12   142    12   164     4   171 0.73 -
93379at50557_156304_0:001895|STRG.11669.1:187-1005|+  -            268 76747at50557         -            260   9.5e-15   53.5   0.5   2   2       3.6   3.3e+02   -0.7   0.0   170   189   165   184   162   186 0.89 -
93379at50557_219809_0:002a60|STRG.17976.1:730-1605|+  -            292 76747at50557         -            260   1.4e-14   52.9   0.1   1   1     2e-16   1.9e-14   52.5   0.1     6   144     5   152     1   159 0.82 -
93379at50557_219809_0:002a60|STRG.17976.2:595-1470|+  -            292 76747at50557         -            260   1.4e-14   52.9   0.1   1   1     2e-16   1.9e-14   52.5   0.1     6   144     5   152     1   159 0.82 -
93379at50557_219809_0:002a60|STRG.17976.3:401-1276|+  -            292 76747at50557         -            260   1.4e-14   52.9   0.1   1   1     2e-16   1.9e-14   52.5   0.1     6   144     5   152     1   159 0.82 -
93379at50557_219809_0:002a60|STRG.17976.4:324-1199|+  -            292 76747at50557         -            260   1.4e-14   52.9   0.1   1   1     2e-16   1.9e-14   52.5   0.1     6   144     5   152     1   159 0.82 -
93379at50557_156304_0:001895|STRG.11669.3:37-975|+    -            313 76747at50557         -            260   1.9e-14   52.5   0.4   1   1     2e-14   1.8e-12   46.0   0.3    12   142    12   164     4   170 0.72 -
76747at50557_7160_0:0007ff|STRG.10773.1:185-754|+     -            190 76747at50557         -            260     3e-14   51.8   1.4   1   1   3.1e-15   2.9e-13   48.6   1.4    15   171     5   176     2   190 0.74 -
76747at50557_7160_0:0007ff|STRG.10773.3:185-754|+     -            190 76747at50557         -            260     3e-14   51.8   1.4   1   1   3.1e-15   2.9e-13   48.6   1.4    15   171     5   176     2   190 0.74 -
76747at50557_7160_0:0007ff|STRG.10773.5:245-814|+     -            190 76747at50557         -            260     3e-14   51.8   1.4   1   1   3.1e-15   2.9e-13   48.6   1.4    15   171     5   176     2   190 0.74 -
76747at50557_7160_0:0007ff|STRG.10773.6:1528-2097|+   -            190 76747at50557         -            260     3e-14   51.8   1.4   1   1   3.1e-15   2.9e-13   48.6   1.4    15   171     5   176     2   190 0.74 -
76747at50557_112268_0:0015a7|STRG.20188.1:65-637|+    -            191 76747at50557         -            260   4.9e-14   51.1   0.9   1   1   6.5e-16   5.9e-14   50.9   0.9    15   190     1   190     1   191 0.78 -
93379at50557_136037_0:0013df|STRG.14746.1:24-965|+    -            314 76747at50557         -            260   1.5e-13   49.6   0.0   1   1   7.2e-15   6.5e-13   47.5   0.0    12   192    27   237    22   241 0.75 -
93379at50557_37001_0:0007ab|STRG.10006.1:99-965|+     -            289 76747at50557         -            260   4.2e-13   48.1   0.4   1   1   8.5e-15   7.8e-13   47.2   0.4    13   190     7   208     4   215 0.79 -
130558at50557_6973_0:006c0f|STRG.18939.1:481-1125|+   -            215 76747at50557         -            260   4.6e-13   47.9   0.0   1   1     8e-15   7.3e-13   47.3   0.0    15   189     1   186     1   191 0.73 -
130558at50557_6973_0:006c0f|STRG.18939.2:76-720|+     -            215 76747at50557         -            260   4.6e-13   47.9   0.0   1   1     8e-15   7.3e-13   47.3   0.0    15   189     1   186     1   191 0.73 -
130558at50557_6973_0:006c0f|STRG.18939.3:567-1211|+   -            215 76747at50557         -            260   4.6e-13   47.9   0.0   1   1     8e-15   7.3e-13   47.3   0.0    15   189     1   186     1   191 0.73 -
130558at50557_6973_0:006c0f|STRG.18742.1:24-614|+     -            197 76747at50557         -            260   5.9e-13   47.6   0.0   1   1     8e-15   7.3e-13   47.3   0.0    27   202     1   188     1   196 0.81 -
76747at50557_610380_0:001c9f|STRG.13635.1:48-746|+    -            233 76747at50557         -            260   1.8e-12   46.0   0.2   1   1   3.9e-14   3.5e-12   45.1   0.2    14   193     2   191     1   231 0.75 -
76747at50557_112268_0:0015a7|STRG.20188.2:121-678|+   -            186 76747at50557         -            260   2.2e-12   45.7   1.0   1   1     3e-14   2.7e-12   45.4   1.0    20   190     1   185     1   186 0.77 -
76747at50557_112268_0:0015a7|STRG.20188.3:28-579|+    -            184 76747at50557         -            260   1.2e-11   43.3   0.6   1   1   1.6e-13   1.4e-11   43.1   0.6    22   190     1   183     1   184 0.77 -
76747at50557_121225_0:00031f|STRG.18937.1:3-626|+     -            208 76747at50557         -            260   1.2e-11   43.3   0.1   1   1   2.7e-13   2.5e-11   42.3   0.1    13   192     2   191     1   207 0.77 -
76747at50557_7160_0:0007ff|STRG.1997.1:269-838|+      -            190 76747at50557         -            260   1.5e-10   39.7   0.1   1   1   1.9e-12   1.7e-10   39.5   0.1    17   162     1   165     1   189 0.78 -
93379at50557_77166_0:00303f|STRG.11669.2:43-902|+     -            285 76747at50557         -            260   1.8e-10   39.5   0.0   1   1   6.3e-12   5.8e-10   37.8   0.0    12   142    10   133     3   139 0.89 -
76747at50557_7493_0:0012d8|STRG.18941.2:84-671|+      -            196 76747at50557         -            260     3e-10   38.7   0.3   1   1   5.4e-12     5e-10   38.0   0.3    12   191     3   194     1   196 0.67 -
84237at50557_6973_0:0059bf|STRG.10843.2:292-840|+     -            183 76747at50557         -            260   3.6e-10   38.5   1.3   1   1   6.6e-11     6e-09   34.5   1.3    20   142     2   140     1   166 0.73 -
84237at50557_6973_0:0059bf|STRG.10843.3:30-578|+      -            183 76747at50557         -            260   3.6e-10   38.5   1.3   1   1   6.6e-11     6e-09   34.5   1.3    20   142     2   140     1   166 0.73 -
84237at50557_64838_0:002455|STRG.18941.1:278-874|+    -            199 76747at50557         -            260     6e-10   37.7   0.2   1   1   1.2e-11   1.1e-09   36.9   0.2    14   192     2   192     1   196 0.67 -
76747at50557_56086_0:0042cc|STRG.7079.2:0-674|+       -            225 76747at50557         -            260   6.4e-10   37.7   0.1   1   2   8.6e-10   7.8e-08   30.8   0.0    20   148     1   137     1   143 0.81 -
76747at50557_56086_0:0042cc|STRG.7079.2:0-674|+       -            225 76747at50557         -            260   6.4e-10   37.7   0.1   2   2     0.062       5.6    5.1   0.0   153   189   182   224   160   225 0.79 -
93379at50557_116153_0:000985|STRG.7079.1:267-938|+    -            224 76747at50557         -            260   7.9e-10   37.3   0.1   1   2     2e-10   1.8e-08   32.9   0.0    19   148     2   139     1   146 0.81 -
93379at50557_116153_0:000985|STRG.7079.1:267-938|+    -            224 76747at50557         -            260   7.9e-10   37.3   0.1   2   2      0.34        31    2.6   0.0   153   187   184   224   159   224 0.77 -
84237at50557_1155016_0:0033de|STRG.19623.1:170-919|+  -            250 76747at50557         -            260   1.3e-09   36.6   0.3   1   1   2.2e-11     2e-09   36.0   0.3    12   174    12   186     9   200 0.79 -
84237at50557_1155016_0:0033de|STRG.19623.2:296-1045|+ -            250 76747at50557         -            260   1.3e-09   36.6   0.3   1   1   2.2e-11     2e-09   36.0   0.3    12   174    12   186     9   200 0.79 -
76747at50557_610380_0:001c9f|STRG.18936.1:6-638|+     -            211 76747at50557         -            260   1.3e-09   36.6   0.1   1   1   2.5e-11   2.3e-09   35.8   0.1    14   188     3   187     1   208 0.71 -
76747at50557_166361_0:0015eb|STRG.678.2:0-476|+       -            159 76747at50557         -            260   4.1e-09   35.0   0.3   1   2     2e-05    0.0018   16.5   0.2    20    45     1    26     1    48 0.85 -
76747at50557_166361_0:0015eb|STRG.678.2:0-476|+       -            159 76747at50557         -            260   4.1e-09   35.0   0.3   2   2   1.5e-05    0.0014   16.9   0.0    47   156    54   158    47   159 0.79 -
76747at50557_166361_0:0015eb|STRG.678.1:0-536|+       -            179 76747at50557         -            260   5.4e-09   34.6   0.2   1   1   2.7e-07   2.4e-05   22.6   0.2    20   163     1   158     1   171 0.64 -
93379at50557_93721_0:00028d|STRG.14277.2:51-875|+     -            275 76747at50557         -            260   2.8e-08   32.3   0.4   1   2   4.1e-09   3.7e-07   28.6   0.2    16   129     2   125     1   149 0.74 -
93379at50557_93721_0:00028d|STRG.14277.2:51-875|+     -            275 76747at50557         -            260   2.8e-08   32.3   0.4   2   2      0.55        50    1.9   0.0   172   193   191   212   162   243 0.81 -
93379at50557_93721_0:00028d|STRG.14277.1:469-1290|+   -            274 76747at50557         -            260   4.8e-08   31.5   0.4   1   2   6.9e-09   6.3e-07   27.8   0.2    17   129     2   124     1   148 0.74 -
93379at50557_93721_0:00028d|STRG.14277.1:469-1290|+   -            274 76747at50557         -            260   4.8e-08   31.5   0.4   2   2      0.55        50    1.9   0.0   172   193   190   211   161   242 0.81 -
84237at50557_6973_0:0059bf|STRG.10843.1:318-665|+     -            116 76747at50557         -            260   7.4e-06   24.3   1.4   1   1   1.4e-06   0.00013   20.2   1.4    20   107     2   105     1   116 0.66 -
41868at50557_34720_0:00183d|STRG.11854.1:0-1697|+     -            566 76747at50557         -            260     0.052   11.7   0.1   1   1    0.0012      0.11   10.6   0.0    14    45   178   209   167   212 0.91 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/76747at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/76747at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/76747at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:56:38 2024
# [ok]
