#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
98900at50557_104421_0:0000b7|STRG.14231.1:429-1244|+  -            272 98900at50557         -            220  3.8e-106  352.2   0.1   1   1    5e-108  2.2e-105  349.7   0.1     1   220    12   270    12   270 0.91 -
107413at50557_211228_0:00176b|STRG.6785.1:97-792|+    -            232 98900at50557         -            220     0.047   11.9   0.1   2   2       5.1   2.3e+03   -3.4   0.0   175   206   139   170   137   174 0.65 -
107413at50557_211228_0:00176b|STRG.6785.2:97-792|+    -            232 98900at50557         -            220     0.047   11.9   0.1   1   2   0.00021     0.095   10.9   0.0    33    81     9    57     6    75 0.80 -
107413at50557_211228_0:00176b|STRG.6785.2:97-792|+    -            232 98900at50557         -            220     0.047   11.9   0.1   2   2       5.1   2.3e+03   -3.4   0.0   175   206   139   170   137   174 0.65 -
107413at50557_211228_0:00176b|STRG.6785.3:76-794|+    -            232 98900at50557         -            220     0.047   11.9   0.1   1   2   0.00021     0.095   10.9   0.0    33    81     9    57     6    75 0.80 -
107413at50557_211228_0:00176b|STRG.6785.3:76-794|+    -            232 98900at50557         -            220     0.047   11.9   0.1   2   2       5.1   2.3e+03   -3.4   0.0   175   206   139   170   137   174 0.65 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/98900at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/98900at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/98900at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:32:02 2024
# [ok]
