#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
30640at50557_103372_0:0017a1|STRG.10238.1:0-2381|+     -            794 30640at50557         -            649         0 1181.5   6.4   1   1         0         0 1175.6   6.4    15   649    48   794    41   794 0.91 -
98332at50557_1218281_0:000683|STRG.953.3:1175-1318|+   -             48 30640at50557         -            649   1.2e-07   29.5   0.0   1   1   1.5e-09   1.2e-07   29.4   0.0   407   452     3    48     1    48 0.95 -
98332at50557_1218281_0:000683|STRG.953.4:1262-1405|+   -             48 30640at50557         -            649   1.2e-07   29.5   0.0   1   1   1.5e-09   1.2e-07   29.4   0.0   407   452     3    48     1    48 0.95 -
98332at50557_1218281_0:000683|STRG.953.5:1193-1336|+   -             48 30640at50557         -            649   1.2e-07   29.5   0.0   1   1   1.5e-09   1.2e-07   29.4   0.0   407   452     3    48     1    48 0.95 -
98332at50557_1218281_0:000683|STRG.953.6:1172-1315|+   -             48 30640at50557         -            649   1.2e-07   29.5   0.0   1   1   1.5e-09   1.2e-07   29.4   0.0   407   452     3    48     1    48 0.95 -
98332at50557_1218281_0:000683|STRG.953.7:1241-1384|+   -             48 30640at50557         -            649   1.2e-07   29.5   0.0   1   1   1.5e-09   1.2e-07   29.4   0.0   407   452     3    48     1    48 0.95 -
98332at50557_1218281_0:000683|STRG.953.8:1382-1525|+   -             48 30640at50557         -            649   1.2e-07   29.5   0.0   1   1   1.5e-09   1.2e-07   29.4   0.0   407   452     3    48     1    48 0.95 -
98332at50557_1218281_0:000683|STRG.953.9:1295-1438|+   -             48 30640at50557         -            649   1.2e-07   29.5   0.0   1   1   1.5e-09   1.2e-07   29.4   0.0   407   452     3    48     1    48 0.95 -
42982at50557_456900_0:001cd2|STRG.15784.1:230-2125|+   -            632 30640at50557         -            649   1.2e-07   29.4   0.1   1   1   2.3e-09   1.8e-07   28.8   0.1   497   629   487   622   445   631 0.86 -
50587at50557_133901_0:003c0d|STRG.12434.1:873-1670|+   -            266 30640at50557         -            649   1.9e-07   28.7   0.2   1   1   3.1e-09   2.4e-07   28.4   0.2   123   262   105   249    82   262 0.82 -
50587at50557_133901_0:003c0d|STRG.12434.3:873-1670|+   -            266 30640at50557         -            649   1.9e-07   28.7   0.2   1   1   3.1e-09   2.4e-07   28.4   0.2   123   262   105   249    82   262 0.82 -
50587at50557_133901_0:003c0d|STRG.12434.4:1332-2129|+  -            266 30640at50557         -            649   1.9e-07   28.7   0.2   1   1   3.1e-09   2.4e-07   28.4   0.2   123   262   105   249    82   262 0.82 -
98332at50557_1155016_0:002d21|STRG.13887.3:3650-3802|+ -             51 30640at50557         -            649   2.1e-07   28.6   0.0   1   1   2.7e-09   2.2e-07   28.6   0.0   407   453     5    51     1    51 0.94 -
98332at50557_1155016_0:002d21|STRG.16448.1:488-640|+   -             51 30640at50557         -            649   5.1e-07   27.3   0.4   1   1   6.4e-09   5.1e-07   27.3   0.4   410   452     9    51     2    51 0.92 -
98332at50557_1155016_0:002d21|STRG.16448.2:4707-4859|+ -             51 30640at50557         -            649   5.1e-07   27.3   0.4   1   1   6.4e-09   5.1e-07   27.3   0.4   410   452     9    51     2    51 0.92 -
98332at50557_1155016_0:002d21|STRG.16448.3:5446-5598|+ -             51 30640at50557         -            649   5.1e-07   27.3   0.4   1   1   6.4e-09   5.1e-07   27.3   0.4   410   452     9    51     2    51 0.92 -
98332at50557_77166_0:00193f|STRG.13777.1:1889-2290|+   -            134 30640at50557         -            649   5.1e-07   27.3   0.1   1   2   0.00077     0.061   10.6   0.1   407   454    26    73    12    75 0.90 -
98332at50557_77166_0:00193f|STRG.13777.1:1889-2290|+   -            134 30640at50557         -            649   5.1e-07   27.3   0.1   2   2   3.4e-05    0.0027   15.0   0.0   409   451    91   133    85   134 0.91 -
98332at50557_77166_0:00193f|STRG.13777.2:1148-1549|+   -            134 30640at50557         -            649   5.1e-07   27.3   0.1   1   2   0.00077     0.061   10.6   0.1   407   454    26    73    12    75 0.90 -
98332at50557_77166_0:00193f|STRG.13777.2:1148-1549|+   -            134 30640at50557         -            649   5.1e-07   27.3   0.1   2   2   3.4e-05    0.0027   15.0   0.0   409   451    91   133    85   134 0.91 -
50587at50557_456900_0:0005c7|STRG.9293.1:273-1981|+    -            544 30640at50557         -            649   3.5e-06   24.6   0.2   1   2   0.00074     0.059   10.6   0.0    58   180   213   354   200   361 0.67 -
50587at50557_456900_0:0005c7|STRG.9293.1:273-1981|+    -            544 30640at50557         -            649   3.5e-06   24.6   0.2   2   2   0.00034     0.027   11.7   0.2   180   265   381   467   375   485 0.83 -
50587at50557_456900_0:0005c7|STRG.9293.2:542-2173|+    -            544 30640at50557         -            649   3.5e-06   24.6   0.2   1   2   0.00074     0.059   10.6   0.0    58   180   213   354   200   361 0.67 -
50587at50557_456900_0:0005c7|STRG.9293.2:542-2173|+    -            544 30640at50557         -            649   3.5e-06   24.6   0.2   2   2   0.00034     0.027   11.7   0.2   180   265   381   467   375   485 0.83 -
50587at50557_456900_0:0005c7|STRG.9293.3:466-2097|+    -            544 30640at50557         -            649   3.5e-06   24.6   0.2   1   2   0.00074     0.059   10.6   0.0    58   180   213   354   200   361 0.67 -
50587at50557_456900_0:0005c7|STRG.9293.3:466-2097|+    -            544 30640at50557         -            649   3.5e-06   24.6   0.2   2   2   0.00034     0.027   11.7   0.2   180   265   381   467   375   485 0.83 -
50587at50557_456900_0:0005c7|STRG.9293.4:230-1861|+    -            544 30640at50557         -            649   3.5e-06   24.6   0.2   1   2   0.00074     0.059   10.6   0.0    58   180   213   354   200   361 0.67 -
50587at50557_456900_0:0005c7|STRG.9293.4:230-1861|+    -            544 30640at50557         -            649   3.5e-06   24.6   0.2   2   2   0.00034     0.027   11.7   0.2   180   265   381   467   375   485 0.83 -
68581at50557_45779_0:003c15|STRG.16059.1:1368-1508|+   -             47 30640at50557         -            649   8.8e-06   23.3   0.0   1   1   1.1e-07     9e-06   23.2   0.0   408   453     2    47     1    47 0.94 -
68581at50557_45779_0:003c15|STRG.16059.2:1488-1628|+   -             47 30640at50557         -            649   8.8e-06   23.3   0.0   1   1   1.1e-07     9e-06   23.2   0.0   408   453     2    47     1    47 0.94 -
68581at50557_45779_0:003c15|STRG.16059.3:1371-1511|+   -             47 30640at50557         -            649   8.8e-06   23.3   0.0   1   1   1.1e-07     9e-06   23.2   0.0   408   453     2    47     1    47 0.94 -
68581at50557_45779_0:003c15|STRG.16059.4:1314-1454|+   -             47 30640at50557         -            649   8.8e-06   23.3   0.0   1   1   1.1e-07     9e-06   23.2   0.0   408   453     2    47     1    47 0.94 -
68581at50557_45779_0:003c15|STRG.16059.5:1588-1728|+   -             47 30640at50557         -            649   8.8e-06   23.3   0.0   1   1   1.1e-07     9e-06   23.2   0.0   408   453     2    47     1    47 0.94 -
68581at50557_45779_0:003c15|STRG.16059.6:1585-1725|+   -             47 30640at50557         -            649   8.8e-06   23.3   0.0   1   1   1.1e-07     9e-06   23.2   0.0   408   453     2    47     1    47 0.94 -
98332at50557_1155016_0:002d21|STRG.16402.1:1710-1868|+ -             53 30640at50557         -            649   1.7e-05   22.3   0.0   1   1   2.1e-07   1.7e-05   22.3   0.0   410   455     7    52     1    53 0.90 -
98332at50557_1155016_0:002d21|STRG.16402.2:1903-2061|+ -             53 30640at50557         -            649   1.7e-05   22.3   0.0   1   1   2.1e-07   1.7e-05   22.3   0.0   410   455     7    52     1    53 0.90 -
98332at50557_1155016_0:002d21|STRG.16402.3:4370-4528|+ -             53 30640at50557         -            649   1.7e-05   22.3   0.0   1   1   2.1e-07   1.7e-05   22.3   0.0   410   455     7    52     1    53 0.90 -
98332at50557_1155016_0:002d21|STRG.16402.4:4451-4609|+ -             53 30640at50557         -            649   1.7e-05   22.3   0.0   1   1   2.1e-07   1.7e-05   22.3   0.0   410   455     7    52     1    53 0.90 -
98332at50557_1155016_0:002d21|STRG.16402.5:4279-4437|+ -             53 30640at50557         -            649   1.7e-05   22.3   0.0   1   1   2.1e-07   1.7e-05   22.3   0.0   410   455     7    52     1    53 0.90 -
98332at50557_1155016_0:002d21|STRG.16402.6:4268-4426|+ -             53 30640at50557         -            649   1.7e-05   22.3   0.0   1   1   2.1e-07   1.7e-05   22.3   0.0   410   455     7    52     1    53 0.90 -
98332at50557_197043_0:002812|STRG.14926.1:4772-4945|+  -             58 30640at50557         -            649   2.4e-05   21.8   0.0   1   1   3.4e-07   2.7e-05   21.6   0.0   406   454     6    54     2    57 0.94 -
98332at50557_197043_0:002812|STRG.14926.2:2466-2639|+  -             58 30640at50557         -            649   2.4e-05   21.8   0.0   1   1   3.4e-07   2.7e-05   21.6   0.0   406   454     6    54     2    57 0.94 -
98332at50557_197043_0:002812|STRG.14926.3:3183-3356|+  -             58 30640at50557         -            649   2.4e-05   21.8   0.0   1   1   3.4e-07   2.7e-05   21.6   0.0   406   454     6    54     2    57 0.94 -
98332at50557_197043_0:002812|STRG.14926.4:4772-4945|+  -             58 30640at50557         -            649   2.4e-05   21.8   0.0   1   1   3.4e-07   2.7e-05   21.6   0.0   406   454     6    54     2    57 0.94 -
98332at50557_197043_0:002812|STRG.14926.5:2124-2297|+  -             58 30640at50557         -            649   2.4e-05   21.8   0.0   1   1   3.4e-07   2.7e-05   21.6   0.0   406   454     6    54     2    57 0.94 -
98981at50557_307491_0:003900|STRG.5928.3:809-2413|+    -            535 30640at50557         -            649   5.3e-05   20.7   0.2   1   1   9.6e-07   7.6e-05   20.2   0.2    85   278    52   254    21   278 0.66 -
98981at50557_307491_0:003900|STRG.5928.2:809-2443|+    -            545 30640at50557         -            649   5.4e-05   20.7   0.2   1   1     1e-06   7.9e-05   20.1   0.2    85   278    52   254    21   278 0.66 -
91571at50557_7038_0:00203c|STRG.5098.1:1105-2019|+     -            305 30640at50557         -            649     6e-05   20.5   0.0   1   1     1e-06     8e-05   20.1   0.0   405   461   243   301   233   305 0.86 -
91571at50557_7038_0:00203c|STRG.5098.2:870-1784|+      -            305 30640at50557         -            649     6e-05   20.5   0.0   1   1     1e-06     8e-05   20.1   0.0   405   461   243   301   233   305 0.86 -
98981at50557_307491_0:003900|STRG.5928.5:809-2500|+    -            564 30640at50557         -            649   6.1e-05   20.5   0.2   1   1   1.1e-06   8.6e-05   20.0   0.2    85   278    52   254    21   278 0.66 -
98981at50557_307491_0:003900|STRG.5928.4:809-2530|+    -            574 30640at50557         -            649   6.2e-05   20.4   0.2   1   1   1.1e-06   8.9e-05   19.9   0.2    85   278    52   254    21   278 0.66 -
68581at50557_104452_0:00171a|STRG.4435.1:3593-4108|+   -            172 30640at50557         -            649   9.9e-05   19.8   0.0   1   2    0.0034      0.27    8.4   0.0   414   456    39    82    34    91 0.88 -
68581at50557_104452_0:00171a|STRG.4435.1:3593-4108|+   -            172 30640at50557         -            649   9.9e-05   19.8   0.0   2   2    0.0016      0.13    9.5   0.0   414   452   131   170   121   172 0.80 -
68581at50557_104452_0:00171a|STRG.4435.2:3377-3892|+   -            172 30640at50557         -            649   9.9e-05   19.8   0.0   1   2    0.0034      0.27    8.4   0.0   414   456    39    82    34    91 0.88 -
68581at50557_104452_0:00171a|STRG.4435.2:3377-3892|+   -            172 30640at50557         -            649   9.9e-05   19.8   0.0   2   2    0.0016      0.13    9.5   0.0   414   452   131   170   121   172 0.80 -
71152at50557_103372_0:00095c|STRG.443.1:89-1504|+      -            472 30640at50557         -            649   9.9e-05   19.8   0.0   1   1     2e-06   0.00016   19.1   0.0   399   456   409   468   397   472 0.86 -
50587at50557_224129_0:0010db|STRG.3747.1:679-1410|+    -            244 30640at50557         -            649   0.00032   18.1   0.0   1   1   4.6e-06   0.00036   17.9   0.0   124   192   105   178    28   190 0.77 -
50587at50557_224129_0:0010db|STRG.3747.2:721-1452|+    -            244 30640at50557         -            649   0.00032   18.1   0.0   1   1   4.6e-06   0.00036   17.9   0.0   124   192   105   178    28   190 0.77 -
19423at50557_286306_0:0041a9|STRG.3713.1:1312-4095|+   -            928 30640at50557         -            649     0.001   16.4   0.0   1   1   2.1e-05    0.0016   15.8   0.0   402   456   867   927   861   928 0.81 -
19423at50557_144034_0:001c3e|STRG.3713.2:877-3729|+    -            951 30640at50557         -            649    0.0011   16.4   0.0   1   1   2.1e-05    0.0016   15.8   0.0   402   456   890   950   883   951 0.81 -
91571at50557_143948_0:002f00|STRG.9059.1:1088-1270|+   -             61 30640at50557         -            649     0.013   12.8   0.0   1   1   0.00016     0.013   12.8   0.0   411   455    16    60     3    61 0.82 -
68581at50557_104452_0:00171a|STRG.14302.3:2444-2854|+  -            137 30640at50557         -            649     0.019   12.2   0.0   1   1    0.0003     0.023   11.9   0.0   408   455    17    65    12    85 0.88 -
68581at50557_104452_0:00171a|STRG.14302.4:2498-2908|+  -            137 30640at50557         -            649     0.019   12.2   0.0   1   1    0.0003     0.023   11.9   0.0   408   455    17    65    12    85 0.88 -
68581at50557_104452_0:00171a|STRG.14302.5:2339-2749|+  -            137 30640at50557         -            649     0.019   12.2   0.0   1   1    0.0003     0.023   11.9   0.0   408   455    17    65    12    85 0.88 -
68581at50557_104452_0:00171a|STRG.14302.6:536-946|+    -            137 30640at50557         -            649     0.019   12.2   0.0   1   1    0.0003     0.023   11.9   0.0   408   455    17    65    12    85 0.88 -
98332at50557_1155016_0:002d21|STRG.11291.1:856-1017|+  -             54 30640at50557         -            649     0.021   12.1   0.1   1   1   0.00027     0.021   12.1   0.1   407   451     5    53     1    54 0.77 -
98332at50557_1155016_0:002d21|STRG.11291.2:837-998|+   -             54 30640at50557         -            649     0.021   12.1   0.1   1   1   0.00027     0.021   12.1   0.1   407   451     5    53     1    54 0.77 -
68581at50557_45779_0:003c15|STRG.2430.1:2937-3071|+    -             45 30640at50557         -            649     0.021   12.1   0.0   1   1   0.00027     0.022   12.1   0.0   408   450     2    44     1    45 0.93 -
68581at50557_45779_0:003c15|STRG.2430.2:2937-3071|+    -             45 30640at50557         -            649     0.021   12.1   0.0   1   1   0.00027     0.022   12.1   0.0   408   450     2    44     1    45 0.93 -
98332at50557_1155016_0:002d21|STRG.3700.1:491-634|+    -             48 30640at50557         -            649     0.025   11.8   0.0   1   1   0.00032     0.025   11.8   0.0   413   447    10    47     2    48 0.81 -
98332at50557_1155016_0:002d21|STRG.3700.2:483-626|+    -             48 30640at50557         -            649     0.025   11.8   0.0   1   1   0.00032     0.025   11.8   0.0   413   447    10    47     2    48 0.81 -
68581at50557_166423_0:000f4f|STRG.6438.2:567-1721|+    -            385 30640at50557         -            649     0.038   11.2   0.1   1   3       0.8        64    0.6   0.0   407   453    14    60    10    80 0.81 -
68581at50557_166423_0:000f4f|STRG.6438.2:567-1721|+    -            385 30640at50557         -            649     0.038   11.2   0.1   2   3    0.0054      0.43    7.8   0.0   408   453   118   163   112   190 0.82 -
68581at50557_166423_0:000f4f|STRG.6438.2:567-1721|+    -            385 30640at50557         -            649     0.038   11.2   0.1   3   3       7.9   6.3e+02   -2.7   0.0   408   430   190   212   186   242 0.80 -
98332at50557_37001_0:001c0d|STRG.11369.1:2546-2818|+   -             91 30640at50557         -            649     0.039   11.2   0.0   1   2     0.026       2.1    5.5   0.0   434   456     3    25     1    40 0.85 -
98332at50557_37001_0:001c0d|STRG.11369.1:2546-2818|+   -             91 30640at50557         -            649     0.039   11.2   0.0   2   2     0.056       4.4    4.4   0.0   403   452    43    91    33    91 0.88 -
