#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
117699at50557_104421_0:002a75|STRG.1444.1:636-1235|+   -            200 117699at50557        -            170   5.1e-91  302.2   0.1   1   1   4.9e-93   1.1e-90  301.1   0.1     1   169     1   197     1   198 0.94 -
120473at50557_28612_0:003609|STRG.5748.1:207-626|+     -            140 117699at50557        -            170   3.3e-18   65.2   0.0   1   1   1.6e-20   3.6e-18   65.1   0.0    18   118    18   117     2   136 0.92 -
116934at50557_121225_0:000e6c|STRG.1983.1:372-758|+    -            129 117699at50557        -            170   2.5e-15   55.8   0.0   1   1   1.2e-17   2.8e-15   55.7   0.0    16   109    34   128    16   129 0.91 -
120473at50557_1049336_0:000626|STRG.7035.1:255-704|+   -            150 117699at50557        -            170   4.6e-15   55.0   0.0   1   1   2.6e-17   5.9e-15   54.6   0.0    29   123    40   135    35   149 0.86 -
120473at50557_1049336_0:000626|STRG.5649.1:259-744|+   -            162 117699at50557        -            170   3.7e-14   52.0   0.0   1   1   6.9e-16   1.6e-13   50.0   0.0    22   137    29   153     1   158 0.81 -
128261at50557_103372_0:000077|STRG.7768.1:344-775|+    -            144 117699at50557        -            170     4e-13   48.7   0.0   1   1     3e-15   6.8e-13   47.9   0.0    26   112    43   131    32   137 0.87 -
117699at50557_7493_0:0020c6|STRG.3213.1:264-701|+      -            146 117699at50557        -            170   1.1e-12   47.2   0.0   1   1   5.7e-15   1.3e-12   47.0   0.0    41   121    37   123    29   146 0.80 -
117699at50557_7493_0:0020c6|STRG.3213.2:264-593|+      -            110 117699at50557        -            170   4.5e-12   45.2   0.0   1   1   2.3e-14   5.1e-12   45.1   0.0    40    95    36    90    27   110 0.77 -
117699at50557_7244_0:002000|STRG.13256.1:794-1162|+    -            123 117699at50557        -            170   8.1e-12   44.4   0.0   1   1   1.4e-13   3.1e-11   42.5   0.0    12   107    14   122     5   123 0.79 -
117699at50557_7244_0:002000|STRG.13256.2:766-1134|+    -            123 117699at50557        -            170   8.1e-12   44.4   0.0   1   1   1.4e-13   3.1e-11   42.5   0.0    12   107    14   122     5   123 0.79 -
116934at50557_219809_0:000204|STRG.548.2:207-506|+     -            100 117699at50557        -            170     1e-11   44.1   0.1   1   1   2.4e-13   5.4e-11   41.7   0.1    52   125     2    87     1    96 0.79 -
117925at50557_37001_0:0022f0|STRG.11072.1:307-750|+    -            148 117699at50557        -            170     2e-08   33.4   0.0   1   1   1.1e-10   2.5e-08   33.0   0.0     6   109    15   123    10   130 0.81 -
120473at50557_28612_0:003609|STRG.12062.1:8639-8932|+  -             98 117699at50557        -            170   1.3e-07   30.7   0.0   1   1   6.9e-10   1.6e-07   30.5   0.0    34   113     2    93     1    98 0.78 -
120473at50557_28612_0:003609|STRG.12062.2:8591-8884|+  -             98 117699at50557        -            170   1.3e-07   30.7   0.0   1   1   6.9e-10   1.6e-07   30.5   0.0    34   113     2    93     1    98 0.78 -
117925at50557_103372_0:00113b|STRG.6590.1:599-1297|+   -            233 117699at50557        -            170   1.8e-06   27.0   0.0   1   1     1e-08   2.4e-06   26.6   0.0    22   110    34   122     9   143 0.84 -
120473at50557_133901_0:001b8f|STRG.2529.3:541-924|+    -            128 117699at50557        -            170   1.8e-05   23.8   0.0   1   1   1.7e-07   3.8e-05   22.7   0.0    45   106    55   117     5   123 0.67 -
117699at50557_568069_0:00248d|STRG.2529.1:474-836|+    -            121 117699at50557        -            170   3.1e-05   23.0   0.0   1   1   2.7e-07   6.2e-05   22.0   0.0    45   104    59   119     8   121 0.64 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/117699at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/117699at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/117699at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:22:05 2024
# [ok]
