#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
42193at50557_103372_0:0016db|STRG.12324.1:186-1751|+ -            522 42193at50557         -            414  5.3e-216  716.3  11.7   1   1  4.8e-218  1.4e-215  715.0  11.7     1   406     1   454     1   462 0.92 -
27737at50557_67767_0:00339d|STRG.9385.2:543-989|+    -            149 42193at50557         -            414   3.2e-31  107.7   0.1   1   1   1.3e-33   3.8e-31  107.4   0.1   262   374    23   144     9   148 0.88 -
27737at50557_67767_0:00339d|STRG.9385.3:566-1012|+   -            149 42193at50557         -            414   3.2e-31  107.7   0.1   1   1   1.3e-33   3.8e-31  107.4   0.1   262   374    23   144     9   148 0.88 -
27737at50557_121845_0:000a82|STRG.15156.1:399-996|+  -            165 42193at50557         -            414   3.6e-30  104.2   0.2   1   1   2.1e-32   6.2e-30  103.5   0.2   256   388    14   164    10   165 0.84 -
27737at50557_121845_0:000a82|STRG.15156.2:320-814|+  -            165 42193at50557         -            414   3.6e-30  104.2   0.2   1   1   2.1e-32   6.2e-30  103.5   0.2   256   388    14   164    10   165 0.84 -
120478at50557_121845_0:00199d|STRG.5941.4:655-1110|+ -            152 42193at50557         -            414   3.7e-29  100.9   0.0   1   1   1.5e-31   4.4e-29  100.7   0.0   253   381     1   145     1   151 0.84 -
120478at50557_411798_0:003623|STRG.5941.1:647-1102|+ -            152 42193at50557         -            414   3.7e-29  100.9   0.0   1   1   1.5e-31   4.4e-29  100.7   0.0   253   381     1   145     1   151 0.84 -
42193at50557_123851_0:000a5d|STRG.4743.1:210-650|+   -            147 42193at50557         -            414   3.4e-27   94.4   0.1   1   1   1.5e-29   4.3e-27   94.1   0.1   260   383     5   145     1   147 0.84 -
42193at50557_123851_0:000a5d|STRG.4743.3:210-650|+   -            147 42193at50557         -            414   3.4e-27   94.4   0.1   1   1   1.5e-29   4.3e-27   94.1   0.1   260   383     5   145     1   147 0.84 -
92898at50557_62324_0:001787|STRG.15039.1:239-733|+   -            165 42193at50557         -            414   1.7e-24   85.6   0.1   1   1     7e-27     2e-24   85.3   0.1   251   387     5   156     2   163 0.88 -
92898at50557_62324_0:001787|STRG.15039.2:239-733|+   -            165 42193at50557         -            414   1.7e-24   85.6   0.1   1   1     7e-27     2e-24   85.3   0.1   251   387     5   156     2   163 0.88 -
27737at50557_121845_0:000a82|STRG.7068.3:494-868|+   -            125 42193at50557         -            414   1.1e-23   82.9   0.3   1   2   1.5e-08   4.3e-06   24.9   0.1   263   301    21    64     9    67 0.82 -
27737at50557_121845_0:000a82|STRG.7068.3:494-868|+   -            125 42193at50557         -            414   1.1e-23   82.9   0.3   2   2   2.1e-18     6e-16   57.4   0.1   322   376    65   119    62   123 0.92 -
42193at50557_7539_0:00337e|STRG.15156.3:2-398|+      -             98 42193at50557         -            414   2.4e-21   75.2   0.1   1   1     9e-24   2.6e-21   75.0   0.1   292   384     2    98     1    98 0.91 -
42193at50557_7539_0:00337e|STRG.4743.2:346-639|+     -             98 42193at50557         -            414   3.4e-21   74.7   0.1   1   1   1.3e-23   3.7e-21   74.6   0.1   292   383     1    96     1    98 0.92 -
42193at50557_7539_0:00337e|STRG.9095.1:5-304|+       -            100 42193at50557         -            414   7.9e-20   70.2   0.0   1   1     3e-22   8.7e-20   70.0   0.0   299   387     5    93     1    97 0.93 -
42193at50557_123851_0:000a5d|STRG.9748.1:424-888|+   -            155 42193at50557         -            414   5.5e-19   67.4   0.1   1   1   2.2e-21   6.4e-19   67.2   0.1   255   375     1   131     1   145 0.86 -
96808at50557_13686_0:002dfc|STRG.11452.1:217-1077|+  -            287 42193at50557         -            414   3.3e-11   41.8   0.4   1   2   1.4e-06   0.00041   18.4   0.1    30    67    41    80    19   111 0.87 -
96808at50557_13686_0:002dfc|STRG.11452.1:217-1077|+  -            287 42193at50557         -            414   3.3e-11   41.8   0.4   2   2   1.7e-07     5e-05   21.4   0.0    67   149   171   264   162   272 0.77 -
96808at50557_13686_0:002dfc|STRG.11452.2:190-1050|+  -            287 42193at50557         -            414   3.3e-11   41.8   0.4   1   2   1.4e-06   0.00041   18.4   0.1    30    67    41    80    19   111 0.87 -
96808at50557_13686_0:002dfc|STRG.11452.2:190-1050|+  -            287 42193at50557         -            414   3.3e-11   41.8   0.4   2   2   1.7e-07     5e-05   21.4   0.0    67   149   171   264   162   272 0.77 -
48053at50557_104421_0:0017a2|STRG.3533.1:31-1551|+   -            507 42193at50557         -            414     0.032   12.1   0.0   1   2   0.00024      0.07   11.1   0.0    41    83    16    59     6    84 0.86 -
48053at50557_104421_0:0017a2|STRG.3533.1:31-1551|+   -            507 42193at50557         -            414     0.032   12.1   0.0   2   2       9.5   2.8e+03   -4.1   0.0   126   145   425   444   424   451 0.84 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/42193at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/42193at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/42193at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:26:33 2024
# [ok]
