#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
116934at50557_103372_0:000d14|STRG.7216.1:153-713|+    -            187 116934at50557        -            140   2.2e-74  246.9   0.0   1   1   1.3e-76     3e-74  246.4   0.0     3   139    23   166    21   167 0.94 -
117699at50557_7244_0:002000|STRG.13256.1:794-1162|+    -            123 116934at50557        -            140   1.7e-08   33.3   0.0   1   1   1.2e-10   2.6e-08   32.7   0.0    58   114    61   121    53   123 0.85 -
117699at50557_7244_0:002000|STRG.13256.2:766-1134|+    -            123 116934at50557        -            140   1.7e-08   33.3   0.0   1   1   1.2e-10   2.6e-08   32.7   0.0    58   114    61   121    53   123 0.85 -
117699at50557_7493_0:0020c6|STRG.3213.2:264-593|+      -            110 116934at50557        -            140   3.7e-08   32.3   0.1   1   1   1.6e-10   3.7e-08   32.3   0.1    32    97    17    84     2   109 0.89 -
128261at50557_103372_0:000077|STRG.7768.1:344-775|+    -            144 116934at50557        -            140   8.7e-08   31.0   0.0   1   1   6.9e-10   1.6e-07   30.2   0.0    36   120    41   131    31   138 0.79 -
120473at50557_28612_0:003609|STRG.12062.1:8639-8932|+  -             98 116934at50557        -            140   1.6e-07   30.2   0.0   1   1   8.3e-10   1.9e-07   30.0   0.0    46   116     2    88     1    98 0.78 -
120473at50557_28612_0:003609|STRG.12062.2:8591-8884|+  -             98 116934at50557        -            140   1.6e-07   30.2   0.0   1   1   8.3e-10   1.9e-07   30.0   0.0    46   116     2    88     1    98 0.78 -
120473at50557_133901_0:001b8f|STRG.2529.3:541-924|+    -            128 116934at50557        -            140   8.2e-05   21.4   0.0   1   1   6.1e-07   0.00014   20.7   0.0    27   112    14   115     1   126 0.64 -
117699at50557_568069_0:00248d|STRG.2529.1:474-836|+    -            121 116934at50557        -            140     9e-05   21.3   0.0   1   1   6.9e-07   0.00016   20.5   0.0    26   111    17   118     2   121 0.64 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/116934at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/116934at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/116934at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:22:01 2024
# [ok]
