#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
57153at50557_520822_0:0002bb|STRG.11625.3:0-1373|+    -            458 57153at50557         -            185   2.6e-82  274.2  13.6   1   1   6.1e-82   2.7e-79  264.4  13.6     1   185   212   439   212   439 0.89 -
119324at50557_28612_0:006210|STRG.8120.1:1233-1571|+  -            113 57153at50557         -            185   8.2e-05   21.6   0.7   1   2    0.0007      0.31   10.0   0.0     1    25    11    35    11    45 0.86 -
119324at50557_28612_0:006210|STRG.8120.1:1233-1571|+  -            113 57153at50557         -            185   8.2e-05   21.6   0.7   2   2   0.00091       0.4    9.6   0.2     3    22    49    68    47    81 0.87 -
119324at50557_28612_0:006210|STRG.8120.2:529-867|+    -            113 57153at50557         -            185   8.2e-05   21.6   0.7   1   2    0.0007      0.31   10.0   0.0     1    25    11    35    11    45 0.86 -
119324at50557_28612_0:006210|STRG.8120.2:529-867|+    -            113 57153at50557         -            185   8.2e-05   21.6   0.7   2   2   0.00091       0.4    9.6   0.2     3    22    49    68    47    81 0.87 -
119324at50557_28612_0:006210|STRG.8120.3:511-849|+    -            113 57153at50557         -            185   8.2e-05   21.6   0.7   1   2    0.0007      0.31   10.0   0.0     1    25    11    35    11    45 0.86 -
119324at50557_28612_0:006210|STRG.8120.3:511-849|+    -            113 57153at50557         -            185   8.2e-05   21.6   0.7   2   2   0.00091       0.4    9.6   0.2     3    22    49    68    47    81 0.87 -
119324at50557_1049336_0:003cac|STRG.15483.1:370-774|+ -            135 57153at50557         -            185   0.00027   19.9   5.5   1   4    0.0018       0.8    8.6   0.0     1    25    12    36    12    43 0.86 -
119324at50557_1049336_0:003cac|STRG.15483.1:370-774|+ -            135 57153at50557         -            185   0.00027   19.9   5.5   2   4      0.11        47    2.8   0.1   147   172    46    71    38    84 0.64 -
119324at50557_1049336_0:003cac|STRG.15483.1:370-774|+ -            135 57153at50557         -            185   0.00027   19.9   5.5   3   4      0.01       4.6    6.1   0.0   146   171    82   107    76   119 0.76 -
119324at50557_1049336_0:003cac|STRG.15483.1:370-774|+ -            135 57153at50557         -            185   0.00027   19.9   5.5   4   4     0.093        41    3.0   0.2     3    15   123   135   122   135 0.94 -
119324at50557_28612_0:006210|STRG.11754.1:272-754|+   -            161 57153at50557         -            185    0.0022   16.9   0.6   1   3    0.0077       3.4    6.5   0.0     2    17    62    77    61    95 0.80 -
119324at50557_28612_0:006210|STRG.11754.1:272-754|+   -            161 57153at50557         -            185    0.0022   16.9   0.6   2   3     0.024        11    4.9   0.0     1    25    97   121    97   128 0.84 -
119324at50557_28612_0:006210|STRG.11754.1:272-754|+   -            161 57153at50557         -            185    0.0022   16.9   0.6   3   3      0.21        94    1.8   0.1   149   164   145   160   138   161 0.77 -
119324at50557_28612_0:006210|STRG.11754.2:241-723|+   -            161 57153at50557         -            185    0.0022   16.9   0.6   1   3    0.0077       3.4    6.5   0.0     2    17    62    77    61    95 0.80 -
119324at50557_28612_0:006210|STRG.11754.2:241-723|+   -            161 57153at50557         -            185    0.0022   16.9   0.6   2   3     0.024        11    4.9   0.0     1    25    97   121    97   128 0.84 -
119324at50557_28612_0:006210|STRG.11754.2:241-723|+   -            161 57153at50557         -            185    0.0022   16.9   0.6   3   3      0.21        94    1.8   0.1   149   164   145   160   138   161 0.77 -
119324at50557_28612_0:006210|STRG.11754.3:222-704|+   -            161 57153at50557         -            185    0.0022   16.9   0.6   1   3    0.0077       3.4    6.5   0.0     2    17    62    77    61    95 0.80 -
119324at50557_28612_0:006210|STRG.11754.3:222-704|+   -            161 57153at50557         -            185    0.0022   16.9   0.6   2   3     0.024        11    4.9   0.0     1    25    97   121    97   128 0.84 -
119324at50557_28612_0:006210|STRG.11754.3:222-704|+   -            161 57153at50557         -            185    0.0022   16.9   0.6   3   3      0.21        94    1.8   0.1   149   164   145   160   138   161 0.77 -
112578at50557_88501_0:001fa9|STRG.13753.1:546-1040|+  -            165 57153at50557         -            185    0.0035   16.3   1.7   1   3     0.058        25    3.7   0.1     3    24    72    93    70   105 0.82 -
112578at50557_88501_0:001fa9|STRG.13753.1:546-1040|+  -            165 57153at50557         -            185    0.0035   16.3   1.7   2   3    0.0019      0.83    8.6   0.2     2    28   107   133   106   153 0.59 -
112578at50557_88501_0:001fa9|STRG.13753.1:546-1040|+  -            165 57153at50557         -            185    0.0035   16.3   1.7   3   3     0.022       9.7    5.1   0.1   132   163   134   165   129   165 0.92 -
112578at50557_88501_0:001fa9|STRG.13753.2:546-1040|+  -            165 57153at50557         -            185    0.0035   16.3   1.7   1   3     0.058        25    3.7   0.1     3    24    72    93    70   105 0.82 -
112578at50557_88501_0:001fa9|STRG.13753.2:546-1040|+  -            165 57153at50557         -            185    0.0035   16.3   1.7   2   3    0.0019      0.83    8.6   0.2     2    28   107   133   106   153 0.59 -
112578at50557_88501_0:001fa9|STRG.13753.2:546-1040|+  -            165 57153at50557         -            185    0.0035   16.3   1.7   3   3     0.022       9.7    5.1   0.1   132   163   134   165   129   165 0.92 -
119324at50557_319348_0:001162|STRG.9178.1:667-1080|+  -            138 57153at50557         -            185    0.0067   15.4   0.5   1   2       1.2   5.5e+02   -0.6   0.0    30    30    36    36     7    67 0.51 -
119324at50557_319348_0:001162|STRG.9178.1:667-1080|+  -            138 57153at50557         -            185    0.0067   15.4   0.5   2   2   0.00011     0.046   12.6   0.1   122   169    88   136    84   138 0.85 -
119324at50557_319348_0:001162|STRG.9178.2:458-871|+   -            138 57153at50557         -            185    0.0067   15.4   0.5   1   2       1.2   5.5e+02   -0.6   0.0    30    30    36    36     7    67 0.51 -
119324at50557_319348_0:001162|STRG.9178.2:458-871|+   -            138 57153at50557         -            185    0.0067   15.4   0.5   2   2   0.00011     0.046   12.6   0.1   122   169    88   136    84   138 0.85 -
119324at50557_454923_0:001f56|STRG.6209.4:201-500|+   -            100 57153at50557         -            185      0.19   10.6   3.1   1   3       1.2   5.4e+02   -0.6   0.0    39    55     2    18     1    29 0.60 -
119324at50557_454923_0:001f56|STRG.6209.4:201-500|+   -            100 57153at50557         -            185      0.19   10.6   3.1   2   3     0.011       5.1    6.0   0.1     1    22    31    52    31    61 0.85 -
119324at50557_454923_0:001f56|STRG.6209.4:201-500|+   -            100 57153at50557         -            185      0.19   10.6   3.1   3   3      0.04        18    4.2   0.1   140   165    72    97    63    99 0.84 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/57153at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/57153at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/57153at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:28:32 2024
# [ok]
