#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
102968at50557_34720_0:0002ad|STRG.15814.1:84-5777|+   -           1898 102968at50557        -            278  5.7e-119  395.6   1.3   1   1  3.4e-121    1e-118  394.8   1.3     1   268     1   301     1   311 0.90 -
10394at50557_378494_0:004c1b|STRG.13559.4:1392-2207|+ -            272 102968at50557        -            278   0.00034   19.2   0.0   2   2   0.00054      0.17   10.3   0.0   201   241   230   270   207   272 0.84 -
10394at50557_378494_0:004c1b|STRG.13559.5:1505-2320|+ -            272 102968at50557        -            278   0.00034   19.2   0.0   1   2    0.0064       1.9    6.8   0.0   187   248    10    71     7    79 0.89 -
10394at50557_378494_0:004c1b|STRG.13559.5:1505-2320|+ -            272 102968at50557        -            278   0.00034   19.2   0.0   2   2   0.00054      0.17   10.3   0.0   201   241   230   270   207   272 0.84 -
102616at50557_456900_0:0023c2|STRG.5734.1:265-1320|+  -            352 102968at50557        -            278    0.0029   16.1   0.0   1   1   1.4e-05    0.0043   15.5   0.0   173   246   147   219   146   241 0.83 -
102616at50557_456900_0:0023c2|STRG.5734.2:163-1218|+  -            352 102968at50557        -            278    0.0029   16.1   0.0   1   1   1.4e-05    0.0043   15.5   0.0   173   246   147   219   146   241 0.83 -
102616at50557_197043_0:0010e9|STRG.8265.3:335-580|+   -             82 102968at50557        -            278    0.0049   15.3   0.0   1   1   1.6e-05    0.0049   15.3   0.0   186   250    12    78     2    82 0.84 -
110125at50557_69820_0:0005bb|STRG.13559.2:2574-2906|+ -            111 102968at50557        -            278    0.0054   15.2   0.0   1   1   2.2e-05    0.0067   14.9   0.0   195   250    33    88    24    96 0.92 -
110125at50557_69820_0:0005bb|STRG.13559.3:2574-2906|+ -            111 102968at50557        -            278    0.0054   15.2   0.0   1   1   2.2e-05    0.0067   14.9   0.0   195   250    33    88    24    96 0.92 -
110125at50557_69820_0:0005bb|STRG.13559.4:2574-2906|+ -            111 102968at50557        -            278    0.0054   15.2   0.0   1   1   2.2e-05    0.0067   14.9   0.0   195   250    33    88    24    96 0.92 -
110125at50557_69820_0:0005bb|STRG.13559.5:2687-3019|+ -            111 102968at50557        -            278    0.0054   15.2   0.0   1   1   2.2e-05    0.0067   14.9   0.0   195   250    33    88    24    96 0.92 -
10394at50557_7536_0:0020dc|STRG.8251.3:216-743|+      -            176 102968at50557        -            278    0.0087   14.5   0.0   1   2     0.014       4.3    5.7   0.0   186   232    39    85    22   105 0.80 -
10394at50557_7536_0:0020dc|STRG.8251.3:216-743|+      -            176 102968at50557        -            278    0.0087   14.5   0.0   2   2    0.0052       1.6    7.1   0.0   185   226   136   176   124   176 0.89 -
10394at50557_7536_0:0020dc|STRG.8251.4:213-740|+      -            176 102968at50557        -            278    0.0087   14.5   0.0   1   2     0.014       4.3    5.7   0.0   186   232    39    85    22   105 0.80 -
10394at50557_7536_0:0020dc|STRG.8251.4:213-740|+      -            176 102968at50557        -            278    0.0087   14.5   0.0   2   2    0.0052       1.6    7.1   0.0   185   226   136   176   124   176 0.89 -
10394at50557_7536_0:0020dc|STRG.16496.3:825-1337|+    -            171 102968at50557        -            278      0.02   13.4   0.0   1   2   0.00017     0.052   12.0   0.0   201   258    32    92    11   104 0.86 -
10394at50557_7536_0:0020dc|STRG.16496.3:825-1337|+    -            171 102968at50557        -            278      0.02   13.4   0.0   2   2       1.7   5.2e+02   -1.1   0.0   201   225   125   149   100   161 0.72 -
10394at50557_7536_0:0020dc|STRG.16496.4:224-736|+     -            171 102968at50557        -            278      0.02   13.4   0.0   1   2   0.00017     0.052   12.0   0.0   201   258    32    92    11   104 0.86 -
10394at50557_7536_0:0020dc|STRG.16496.4:224-736|+     -            171 102968at50557        -            278      0.02   13.4   0.0   2   2       1.7   5.2e+02   -1.1   0.0   201   225   125   149   100   161 0.72 -
102616at50557_217634_0:0021fe|STRG.8265.1:127-654|+   -            176 102968at50557        -            278     0.026   13.0   0.0   1   1   0.00012     0.037   12.4   0.0   186   250   106   172    93   176 0.83 -
102616at50557_217634_0:0021fe|STRG.8265.2:252-779|+   -            176 102968at50557        -            278     0.026   13.0   0.0   1   1   0.00012     0.037   12.4   0.0   186   250   106   172    93   176 0.83 -
10394at50557_7536_0:0020dc|STRG.3448.1:1777-2364|+    -            196 102968at50557        -            278      0.12   10.8   0.0   1   2    0.0087       2.6    6.4   0.0   180   249     7    79     3    85 0.78 -
10394at50557_7536_0:0020dc|STRG.3448.1:1777-2364|+    -            196 102968at50557        -            278      0.12   10.8   0.0   2   2      0.13        39    2.6   0.0   206   229   158   181   129   196 0.71 -
10394at50557_7536_0:0020dc|STRG.3448.2:1409-1996|+    -            196 102968at50557        -            278      0.12   10.8   0.0   1   2    0.0087       2.6    6.4   0.0   180   249     7    79     3    85 0.78 -
10394at50557_7536_0:0020dc|STRG.3448.2:1409-1996|+    -            196 102968at50557        -            278      0.12   10.8   0.0   2   2      0.13        39    2.6   0.0   206   229   158   181   129   196 0.71 -
10394at50557_7536_0:0020dc|STRG.3448.3:3783-4370|+    -            196 102968at50557        -            278      0.12   10.8   0.0   1   2    0.0087       2.6    6.4   0.0   180   249     7    79     3    85 0.78 -
10394at50557_7536_0:0020dc|STRG.3448.3:3783-4370|+    -            196 102968at50557        -            278      0.12   10.8   0.0   2   2      0.13        39    2.6   0.0   206   229   158   181   129   196 0.71 -
10394at50557_7536_0:0020dc|STRG.3448.4:3783-4370|+    -            196 102968at50557        -            278      0.12   10.8   0.0   1   2    0.0087       2.6    6.4   0.0   180   249     7    79     3    85 0.78 -
10394at50557_7536_0:0020dc|STRG.3448.4:3783-4370|+    -            196 102968at50557        -            278      0.12   10.8   0.0   2   2      0.13        39    2.6   0.0   206   229   158   181   129   196 0.71 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/102968at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/102968at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/102968at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:21:06 2024
# [ok]
