#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
132744at50557_103372_0:0003f0|STRG.12669.1:289-660|+   -            124 132744at50557        -             95   5.1e-51  169.9   0.8   1   1     1e-52   1.9e-50  168.1   0.8     1    95    14   124    14   124 0.94 -
10394at50557_38123_0:002dad|STRG.12099.3:2739-3119|+   -            127 132744at50557        -             95   2.2e-05   23.7   0.1   2   2   0.00047     0.088   12.1   0.0    13    78    57   126    47   127 0.76 -
10394at50557_38123_0:002dad|STRG.12099.4:2739-3119|+   -            127 132744at50557        -             95   2.2e-05   23.7   0.1   1   2    0.0022      0.42    9.9   0.0    53    81     1    30     1    40 0.83 -
10394at50557_38123_0:002dad|STRG.12099.4:2739-3119|+   -            127 132744at50557        -             95   2.2e-05   23.7   0.1   2   2   0.00047     0.088   12.1   0.0    13    78    57   126    47   127 0.76 -
10394at50557_38123_0:002dad|STRG.12099.5:2628-3008|+   -            127 132744at50557        -             95   2.2e-05   23.7   0.1   1   2    0.0022      0.42    9.9   0.0    53    81     1    30     1    40 0.83 -
10394at50557_38123_0:002dad|STRG.12099.5:2628-3008|+   -            127 132744at50557        -             95   2.2e-05   23.7   0.1   2   2   0.00047     0.088   12.1   0.0    13    78    57   126    47   127 0.76 -
132744at50557_108931_0:001550|STRG.314.2:2901-3194|+   -             98 132744at50557        -             95   3.6e-05   23.0   0.0   1   1   3.1e-07   5.8e-05   22.3   0.0     7    87    14    96     9    98 0.76 -
132744at50557_108931_0:001550|STRG.314.4:2763-3056|+   -             98 132744at50557        -             95   3.6e-05   23.0   0.0   1   1   3.1e-07   5.8e-05   22.3   0.0     7    87    14    96     9    98 0.76 -
132744at50557_108931_0:001550|STRG.314.1:2901-3179|+   -             93 132744at50557        -             95   7.1e-05   22.0   0.0   1   1   1.9e-06   0.00035   19.8   0.0    17    88    25    92     9    93 0.73 -
132744at50557_108931_0:001550|STRG.314.3:2836-3114|+   -             93 132744at50557        -             95   7.1e-05   22.0   0.0   1   1   1.9e-06   0.00035   19.8   0.0    17    88    25    92     9    93 0.73 -
110125at50557_74873_0:001c94|STRG.12099.10:1098-1637|+ -            180 132744at50557        -             95   0.00054   19.2   0.1   1   1   7.1e-06    0.0013   17.9   0.0    42    91     7    58     1    62 0.80 -
110125at50557_74873_0:001c94|STRG.12099.1:1209-1748|+  -            180 132744at50557        -             95   0.00054   19.2   0.1   1   1   7.1e-06    0.0013   17.9   0.0    42    91     7    58     1    62 0.80 -
110125at50557_74873_0:001c94|STRG.12099.2:1209-1748|+  -            180 132744at50557        -             95   0.00054   19.2   0.1   1   1   7.1e-06    0.0013   17.9   0.0    42    91     7    58     1    62 0.80 -
110125at50557_74873_0:001c94|STRG.12099.3:1209-1748|+  -            180 132744at50557        -             95   0.00054   19.2   0.1   1   1   7.1e-06    0.0013   17.9   0.0    42    91     7    58     1    62 0.80 -
110125at50557_74873_0:001c94|STRG.12099.4:1209-1748|+  -            180 132744at50557        -             95   0.00054   19.2   0.1   1   1   7.1e-06    0.0013   17.9   0.0    42    91     7    58     1    62 0.80 -
110125at50557_74873_0:001c94|STRG.12099.5:1098-1637|+  -            180 132744at50557        -             95   0.00054   19.2   0.1   1   1   7.1e-06    0.0013   17.9   0.0    42    91     7    58     1    62 0.80 -
110125at50557_74873_0:001c94|STRG.12099.6:1209-1748|+  -            180 132744at50557        -             95   0.00054   19.2   0.1   1   1   7.1e-06    0.0013   17.9   0.0    42    91     7    58     1    62 0.80 -
110125at50557_74873_0:001c94|STRG.12099.7:1098-1637|+  -            180 132744at50557        -             95   0.00054   19.2   0.1   1   1   7.1e-06    0.0013   17.9   0.0    42    91     7    58     1    62 0.80 -
110125at50557_74873_0:001c94|STRG.12099.8:1098-1637|+  -            180 132744at50557        -             95   0.00054   19.2   0.1   1   1   7.1e-06    0.0013   17.9   0.0    42    91     7    58     1    62 0.80 -
110125at50557_74873_0:001c94|STRG.12099.9:1098-1637|+  -            180 132744at50557        -             95   0.00054   19.2   0.1   1   1   7.1e-06    0.0013   17.9   0.0    42    91     7    58     1    62 0.80 -
132744at50557_319348_0:00228b|STRG.13696.3:480-656|+   -             59 132744at50557        -             95   0.00064   19.0   0.0   1   1   3.5e-06   0.00065   18.9   0.0    39    87     1    52     1    59 0.71 -
37657at50557_76194_0:0021a4|STRG.8606.1:671-946|+      -             92 132744at50557        -             95    0.0014   17.9   0.0   1   1   9.6e-06    0.0018   17.5   0.0    39    80    39    84    29    92 0.79 -
110125at50557_7539_0:00092e|STRG.7127.1:3518-3781|+    -             88 132744at50557        -             95    0.0066   15.7   0.0   1   1   4.4e-05    0.0082   15.4   0.0    42    82    21    63     9    71 0.87 -
110125at50557_7539_0:00092e|STRG.7127.2:3518-3781|+    -             88 132744at50557        -             95    0.0066   15.7   0.0   1   1   4.4e-05    0.0082   15.4   0.0    42    82    21    63     9    71 0.87 -
37657at50557_108931_0:003065|STRG.14368.4:147-710|+    -            188 132744at50557        -             95     0.007   15.6   0.0   1   1   7.8e-05     0.015   14.6   0.0    46    87    52    96     7   101 0.80 -
48837at50557_34720_0:0008c2|STRG.11534.2:509-2044|+    -            512 132744at50557        -             95     0.034   13.4   0.0   1   1    0.0004     0.074   12.3   0.0    40    81    91   133    68   146 0.84 -
37657at50557_307658_0:001de5|STRG.14368.3:94-1743|+    -            550 132744at50557        -             95     0.041   13.2   0.0   1   1    0.0005     0.095   12.0   0.0    46    87   114   158    70   163 0.82 -
48837at50557_34720_0:0008c2|STRG.11534.1:509-2575|+    -            633 132744at50557        -             95     0.043   13.1   0.0   1   1   0.00054       0.1   11.9   0.0    40    81    91   133    68   145 0.85 -
48837at50557_34720_0:0008c2|STRG.11534.3:19-1917|+     -            633 132744at50557        -             95     0.043   13.1   0.0   1   1   0.00054       0.1   11.9   0.0    40    81    91   133    68   145 0.85 -
110125at50557_7539_0:00092e|STRG.13641.1:754-1110|+    -            119 132744at50557        -             95     0.075   12.3   0.0   1   1    0.0006      0.11   11.7   0.0    43    88    18    66    11    72 0.83 -
110125at50557_7539_0:00092e|STRG.13641.2:589-945|+     -            119 132744at50557        -             95     0.075   12.3   0.0   1   1    0.0006      0.11   11.7   0.0    43    88    18    66    11    72 0.83 -
110125at50557_7539_0:00092e|STRG.13641.3:587-943|+     -            119 132744at50557        -             95     0.075   12.3   0.0   1   1    0.0006      0.11   11.7   0.0    43    88    18    66    11    72 0.83 -
110125at50557_7539_0:00092e|STRG.13641.4:75-431|+      -            119 132744at50557        -             95     0.075   12.3   0.0   1   1    0.0006      0.11   11.7   0.0    43    88    18    66    11    72 0.83 -
37657at50557_76194_0:0021a4|STRG.12917.1:2668-2970|+   -            101 132744at50557        -             95     0.077   12.3   0.0   1   1   0.00064      0.12   11.7   0.0    47    81    56    91    39   100 0.86 -
37657at50557_76194_0:0021a4|STRG.12917.2:1374-1676|+   -            101 132744at50557        -             95     0.077   12.3   0.0   1   1   0.00064      0.12   11.7   0.0    47    81    56    91    39   100 0.86 -
37657at50557_76194_0:0021a4|STRG.12917.3:1054-1356|+   -            101 132744at50557        -             95     0.077   12.3   0.0   1   1   0.00064      0.12   11.7   0.0    47    81    56    91    39   100 0.86 -
37657at50557_76194_0:0021a4|STRG.12917.4:2220-2522|+   -            101 132744at50557        -             95     0.077   12.3   0.0   1   1   0.00064      0.12   11.7   0.0    47    81    56    91    39   100 0.86 -
37657at50557_76194_0:0021a4|STRG.12917.5:2430-2732|+   -            101 132744at50557        -             95     0.077   12.3   0.0   1   1   0.00064      0.12   11.7   0.0    47    81    56    91    39   100 0.86 -
37657at50557_76194_0:0021a4|STRG.12917.6:1452-1754|+   -            101 132744at50557        -             95     0.077   12.3   0.0   1   1   0.00064      0.12   11.7   0.0    47    81    56    91    39   100 0.86 -
37657at50557_76194_0:0021a4|STRG.12917.7:1459-1761|+   -            101 132744at50557        -             95     0.077   12.3   0.0   1   1   0.00064      0.12   11.7   0.0    47    81    56    91    39   100 0.86 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/132744at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/132744at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/132744at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:22:51 2024
# [ok]
