#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
56099at50557_103372_0:001a7e|STRG.15538.1:74-1405|+     -            444 56099at50557         -            397  3.7e-204  676.8   2.3   1   1  1.2e-205  4.5e-204  676.6   2.3     1   397     1   440     1   440 0.95 -
31374at50557_217634_0:001dc6|STRG.14278.4:255-656|+     -            134 56099at50557         -            397     5e-15   54.1   0.1   1   2     4e-08   1.5e-06   26.2   0.0   242   321     3    85     1    91 0.82 -
31374at50557_217634_0:001dc6|STRG.14278.4:255-656|+     -            134 56099at50557         -            397     5e-15   54.1   0.1   2   2   6.2e-10   2.3e-08   32.1   0.1   238   314    41   120    38   127 0.85 -
14512at50557_29053_0:0002b6|STRG.13347.1:210-920|+      -            237 56099at50557         -            397   9.5e-15   53.2   2.1   1   5    0.0055      0.21    9.2   0.0    97   126     5    40     1    56 0.80 -
14512at50557_29053_0:0002b6|STRG.13347.1:210-920|+      -            237 56099at50557         -            397   9.5e-15   53.2   2.1   2   5     0.094       3.5    5.2   0.1   295   314    62    81    49    88 0.74 -
14512at50557_29053_0:0002b6|STRG.13347.1:210-920|+      -            237 56099at50557         -            397   9.5e-15   53.2   2.1   3   5   5.9e-05    0.0022   15.7   0.0    59    97    85   122    81   127 0.88 -
14512at50557_29053_0:0002b6|STRG.13347.1:210-920|+      -            237 56099at50557         -            397   9.5e-15   53.2   2.1   4   5    0.0042      0.16    9.6   0.0    62    97   160   194   155   204 0.88 -
14512at50557_29053_0:0002b6|STRG.13347.1:210-920|+      -            237 56099at50557         -            397   9.5e-15   53.2   2.1   5   5    0.0036      0.13    9.9   0.0    62    96   204   237   196   237 0.90 -
80377at50557_454923_0:001015|STRG.13365.1:148-927|+     -            260 56099at50557         -            397   1.3e-14   52.8   0.4   1   4      0.12       4.4    4.9   0.0    62    98     1    37     1    44 0.92 -
80377at50557_454923_0:001015|STRG.13365.1:148-927|+     -            260 56099at50557         -            397   1.3e-14   52.8   0.4   2   4   2.9e-08   1.1e-06   26.6   0.1   238   315    47   127    40   133 0.79 -
80377at50557_454923_0:001015|STRG.13365.1:148-927|+     -            260 56099at50557         -            397   1.3e-14   52.8   0.4   3   4   0.00074     0.028   12.1   0.0    63    97   135   170   129   176 0.88 -
80377at50557_454923_0:001015|STRG.13365.1:148-927|+     -            260 56099at50557         -            397   1.3e-14   52.8   0.4   4   4      0.74        27    2.2   0.0    65   100   222   255   215   259 0.86 -
57752at50557_69319_0:000ee5|STRG.14283.1:195-998|+      -            268 56099at50557         -            397   3.9e-14   51.1   1.1   1   4   9.5e-05    0.0036   15.0   0.2   226   314    12   103     6   109 0.80 -
57752at50557_69319_0:000ee5|STRG.14283.1:195-998|+      -            268 56099at50557         -            397   3.9e-14   51.1   1.1   2   4     0.013      0.48    8.0   0.0    62    98   111   147   103   152 0.84 -
57752at50557_69319_0:000ee5|STRG.14283.1:195-998|+      -            268 56099at50557         -            397   3.9e-14   51.1   1.1   3   4    0.0028       0.1   10.2   0.0    61    97   153   190   151   196 0.89 -
57752at50557_69319_0:000ee5|STRG.14283.1:195-998|+      -            268 56099at50557         -            397   3.9e-14   51.1   1.1   4   4   0.00024    0.0089   13.7   0.0    56    95   192   230   190   236 0.90 -
49370at50557_2015173_0:001990|STRG.15772.1:604-1590|+   -            329 56099at50557         -            397   7.1e-14   50.3   0.1   1   5   0.00047     0.018   12.8   0.1   284   320    42    78    24    92 0.81 -
49370at50557_2015173_0:001990|STRG.15772.1:604-1590|+   -            329 56099at50557         -            397   7.1e-14   50.3   0.1   2   5      0.76        29    2.2   0.0   247   316    86   162    75   167 0.72 -
49370at50557_2015173_0:001990|STRG.15772.1:604-1590|+   -            329 56099at50557         -            397   7.1e-14   50.3   0.1   3   5     0.015      0.55    7.8   0.0   239   269   166   198   162   201 0.87 -
49370at50557_2015173_0:001990|STRG.15772.1:604-1590|+   -            329 56099at50557         -            397   7.1e-14   50.3   0.1   4   5   0.00021     0.008   13.9   0.0   231   318   200   294   197   298 0.75 -
49370at50557_2015173_0:001990|STRG.15772.1:604-1590|+   -            329 56099at50557         -            397   7.1e-14   50.3   0.1   5   5      0.01      0.39    8.3   0.0    60    94   295   328   293   329 0.76 -
80377at50557_30019_0:0008bb|STRG.3220.1:1374-2234|+     -            287 56099at50557         -            397   1.2e-13   49.5   6.9   1   4    0.0031      0.12   10.0   0.1   239   318    13    89     4    92 0.69 -
80377at50557_30019_0:0008bb|STRG.3220.1:1374-2234|+     -            287 56099at50557         -            397   1.2e-13   49.5   6.9   2   4    0.0099      0.37    8.4   0.0    59    97    89   124    88   129 0.90 -
80377at50557_30019_0:0008bb|STRG.3220.1:1374-2234|+     -            287 56099at50557         -            397   1.2e-13   49.5   6.9   3   4   6.8e-08   2.5e-06   25.4   0.0   235   314   127   205   123   216 0.86 -
80377at50557_30019_0:0008bb|STRG.3220.1:1374-2234|+     -            287 56099at50557         -            397   1.2e-13   49.5   6.9   4   4     0.096       3.6    5.2   0.3    99   310   258   284   210   287 0.42 -
80377at50557_30019_0:0008bb|STRG.3220.2:1148-2008|+     -            287 56099at50557         -            397   1.2e-13   49.5   6.9   1   4    0.0031      0.12   10.0   0.1   239   318    13    89     4    92 0.69 -
80377at50557_30019_0:0008bb|STRG.3220.2:1148-2008|+     -            287 56099at50557         -            397   1.2e-13   49.5   6.9   2   4    0.0099      0.37    8.4   0.0    59    97    89   124    88   129 0.90 -
80377at50557_30019_0:0008bb|STRG.3220.2:1148-2008|+     -            287 56099at50557         -            397   1.2e-13   49.5   6.9   3   4   6.8e-08   2.5e-06   25.4   0.0   235   314   127   205   123   216 0.86 -
80377at50557_30019_0:0008bb|STRG.3220.2:1148-2008|+     -            287 56099at50557         -            397   1.2e-13   49.5   6.9   4   4     0.096       3.6    5.2   0.3    99   310   258   284   210   287 0.42 -
80377at50557_30019_0:0008bb|STRG.3220.3:1374-2234|+     -            287 56099at50557         -            397   1.2e-13   49.5   6.9   1   4    0.0031      0.12   10.0   0.1   239   318    13    89     4    92 0.69 -
80377at50557_30019_0:0008bb|STRG.3220.3:1374-2234|+     -            287 56099at50557         -            397   1.2e-13   49.5   6.9   2   4    0.0099      0.37    8.4   0.0    59    97    89   124    88   129 0.90 -
80377at50557_30019_0:0008bb|STRG.3220.3:1374-2234|+     -            287 56099at50557         -            397   1.2e-13   49.5   6.9   3   4   6.8e-08   2.5e-06   25.4   0.0   235   314   127   205   123   216 0.86 -
80377at50557_30019_0:0008bb|STRG.3220.3:1374-2234|+     -            287 56099at50557         -            397   1.2e-13   49.5   6.9   4   4     0.096       3.6    5.2   0.3    99   310   258   284   210   287 0.42 -
40115at50557_123851_0:00295a|STRG.10159.1:1958-2926|+   -            323 56099at50557         -            397   1.9e-13   48.9   0.0   1   5   2.2e-05   0.00083   17.1   0.0   241   315     8    98     2   106 0.72 -
40115at50557_123851_0:00295a|STRG.10159.1:1958-2926|+   -            323 56099at50557         -            397   1.9e-13   48.9   0.0   2   5       1.1        43    1.6   0.0    95   112   108   125   102   134 0.83 -
40115at50557_123851_0:00295a|STRG.10159.1:1958-2926|+   -            323 56099at50557         -            397   1.9e-13   48.9   0.0   3   5   0.00051     0.019   12.7   0.0   223   270   137   185   126   192 0.84 -
40115at50557_123851_0:00295a|STRG.10159.1:1958-2926|+   -            323 56099at50557         -            397   1.9e-13   48.9   0.0   4   5     0.012      0.46    8.1   0.0   221   268   225   274   212   283 0.87 -
40115at50557_123851_0:00295a|STRG.10159.1:1958-2926|+   -            323 56099at50557         -            397   1.9e-13   48.9   0.0   5   5       1.2        44    1.6   0.0   236   267   288   319   282   322 0.86 -
40115at50557_123851_0:00295a|STRG.10159.2:588-1556|+    -            323 56099at50557         -            397   1.9e-13   48.9   0.0   1   5   2.2e-05   0.00083   17.1   0.0   241   315     8    98     2   106 0.72 -
40115at50557_123851_0:00295a|STRG.10159.2:588-1556|+    -            323 56099at50557         -            397   1.9e-13   48.9   0.0   2   5       1.1        43    1.6   0.0    95   112   108   125   102   134 0.83 -
40115at50557_123851_0:00295a|STRG.10159.2:588-1556|+    -            323 56099at50557         -            397   1.9e-13   48.9   0.0   3   5   0.00051     0.019   12.7   0.0   223   270   137   185   126   192 0.84 -
40115at50557_123851_0:00295a|STRG.10159.2:588-1556|+    -            323 56099at50557         -            397   1.9e-13   48.9   0.0   4   5     0.012      0.46    8.1   0.0   221   268   225   274   212   283 0.87 -
40115at50557_123851_0:00295a|STRG.10159.2:588-1556|+    -            323 56099at50557         -            397   1.9e-13   48.9   0.0   5   5       1.2        44    1.6   0.0   236   267   288   319   282   322 0.86 -
40115at50557_123851_0:00295a|STRG.10159.3:1807-2775|+   -            323 56099at50557         -            397   1.9e-13   48.9   0.0   1   5   2.2e-05   0.00083   17.1   0.0   241   315     8    98     2   106 0.72 -
40115at50557_123851_0:00295a|STRG.10159.3:1807-2775|+   -            323 56099at50557         -            397   1.9e-13   48.9   0.0   2   5       1.1        43    1.6   0.0    95   112   108   125   102   134 0.83 -
40115at50557_123851_0:00295a|STRG.10159.3:1807-2775|+   -            323 56099at50557         -            397   1.9e-13   48.9   0.0   3   5   0.00051     0.019   12.7   0.0   223   270   137   185   126   192 0.84 -
40115at50557_123851_0:00295a|STRG.10159.3:1807-2775|+   -            323 56099at50557         -            397   1.9e-13   48.9   0.0   4   5     0.012      0.46    8.1   0.0   221   268   225   274   212   283 0.87 -
40115at50557_123851_0:00295a|STRG.10159.3:1807-2775|+   -            323 56099at50557         -            397   1.9e-13   48.9   0.0   5   5       1.2        44    1.6   0.0   236   267   288   319   282   322 0.86 -
40115at50557_123851_0:00295a|STRG.10159.4:103-1071|+    -            323 56099at50557         -            397   1.9e-13   48.9   0.0   1   5   2.2e-05   0.00083   17.1   0.0   241   315     8    98     2   106 0.72 -
