#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
129956at50557_34720_0:00189a|STRG.9575.1:146-562|+      -            139 129956at50557        -            110   9.7e-63  207.9   0.2   1   1   2.4e-64   1.1e-62  207.7   0.2     1   107     1   114     1   117 0.94 -
117816at50557_69004_0:00324f|STRG.15005.1:716-1690|+    -            325 129956at50557        -            110   5.1e-23   80.0   0.3   3   4   1.8e-09   8.2e-08   31.1   0.0    30    98   158   225   141   238 0.86 -
117816at50557_69004_0:00324f|STRG.15005.1:716-1690|+    -            325 129956at50557        -            110   5.1e-23   80.0   0.3   4   4   0.00036     0.017   14.0   0.0    43    93   275   323   242   325 0.77 -
83433at50557_133901_0:001dd1|STRG.1787.1:146-667|+      -            174 129956at50557        -            110   3.4e-21   74.2   0.0   1   2   5.1e-10   2.4e-08   32.8   0.0    32    90     2    60     1    71 0.93 -
83433at50557_133901_0:001dd1|STRG.1787.1:146-667|+      -            174 129956at50557        -            110   3.4e-21   74.2   0.0   2   2   4.2e-12   1.9e-10   39.5   0.0    32    96    92   160    86   168 0.86 -
83433at50557_133901_0:001dd1|STRG.1787.2:146-667|+      -            174 129956at50557        -            110   3.4e-21   74.2   0.0   1   2   5.1e-10   2.4e-08   32.8   0.0    32    90     2    60     1    71 0.93 -
83433at50557_133901_0:001dd1|STRG.1787.2:146-667|+      -            174 129956at50557        -            110   3.4e-21   74.2   0.0   2   2   4.2e-12   1.9e-10   39.5   0.0    32    96    92   160    86   168 0.86 -
83433at50557_133901_0:001dd1|STRG.1787.3:146-667|+      -            174 129956at50557        -            110   3.4e-21   74.2   0.0   1   2   5.1e-10   2.4e-08   32.8   0.0    32    90     2    60     1    71 0.93 -
83433at50557_133901_0:001dd1|STRG.1787.3:146-667|+      -            174 129956at50557        -            110   3.4e-21   74.2   0.0   2   2   4.2e-12   1.9e-10   39.5   0.0    32    96    92   160    86   168 0.86 -
117816at50557_121225_0:000cee|STRG.4365.1:114-617|+     -            168 129956at50557        -            110   3.4e-20   71.0   0.0   1   2   5.9e-12   2.7e-10   39.1   0.0    29   106     3    80     1    85 0.95 -
117816at50557_121225_0:000cee|STRG.4365.1:114-617|+     -            168 129956at50557        -            110   3.4e-20   71.0   0.0   2   2   1.2e-09   5.8e-08   31.6   0.0    19   104    79   166    78   168 0.90 -
117816at50557_121225_0:000cee|STRG.4365.2:130-633|+     -            168 129956at50557        -            110   3.4e-20   71.0   0.0   1   2   5.9e-12   2.7e-10   39.1   0.0    29   106     3    80     1    85 0.95 -
117816at50557_121225_0:000cee|STRG.4365.2:130-633|+     -            168 129956at50557        -            110   3.4e-20   71.0   0.0   2   2   1.2e-09   5.8e-08   31.6   0.0    19   104    79   166    78   168 0.90 -
83433at50557_133901_0:001dd1|STRG.10339.1:169-684|+     -            172 129956at50557        -            110   1.1e-19   69.2   0.0   1   2   4.7e-10   2.2e-08   32.9   0.0    32    80     2    50     1    70 0.92 -
83433at50557_133901_0:001dd1|STRG.10339.1:169-684|+     -            172 129956at50557        -            110   1.1e-19   69.2   0.0   2   2   1.5e-10   6.8e-09   34.6   0.0    32    81    93   142    88   164 0.94 -
117816at50557_7200_0:0014c2|STRG.6702.2:1266-2009|+     -            248 129956at50557        -            110   3.7e-19   67.6   0.0   1   2   4.5e-11   2.1e-09   36.2   0.0    42   107     2    67     1    70 0.94 -
117816at50557_7200_0:0014c2|STRG.6702.2:1266-2009|+     -            248 129956at50557        -            110   3.7e-19   67.6   0.0   2   2   5.8e-09   2.7e-07   29.4   0.0    30    94    76   140    71   152 0.95 -
117816at50557_29058_0:000b65|STRG.4884.1:822-1295|+     -            158 129956at50557        -            110   1.1e-17   62.8   0.0   1   2   1.4e-08   6.6e-07   28.2   0.0    37   106     1    70     1    74 0.95 -
117816at50557_29058_0:000b65|STRG.4884.1:822-1295|+     -            158 129956at50557        -            110   1.1e-17   62.8   0.0   2   2   4.6e-10   2.2e-08   33.0   0.0    32    93    82   143    75   146 0.92 -
117816at50557_29058_0:000b65|STRG.4884.2:554-1027|+     -            158 129956at50557        -            110   1.1e-17   62.8   0.0   1   2   1.4e-08   6.6e-07   28.2   0.0    37   106     1    70     1    74 0.95 -
117816at50557_29058_0:000b65|STRG.4884.2:554-1027|+     -            158 129956at50557        -            110   1.1e-17   62.8   0.0   2   2   4.6e-10   2.2e-08   33.0   0.0    32    93    82   143    75   146 0.92 -
117816at50557_29058_0:000b65|STRG.4884.3:3434-3907|+    -            158 129956at50557        -            110   1.1e-17   62.8   0.0   1   2   1.4e-08   6.6e-07   28.2   0.0    37   106     1    70     1    74 0.95 -
117816at50557_29058_0:000b65|STRG.4884.3:3434-3907|+    -            158 129956at50557        -            110   1.1e-17   62.8   0.0   2   2   4.6e-10   2.2e-08   33.0   0.0    32    93    82   143    75   146 0.92 -
117816at50557_29058_0:000b65|STRG.4884.4:3379-3852|+    -            158 129956at50557        -            110   1.1e-17   62.8   0.0   1   2   1.4e-08   6.6e-07   28.2   0.0    37   106     1    70     1    74 0.95 -
117816at50557_29058_0:000b65|STRG.4884.4:3379-3852|+    -            158 129956at50557        -            110   1.1e-17   62.8   0.0   2   2   4.6e-10   2.2e-08   33.0   0.0    32    93    82   143    75   146 0.92 -
117816at50557_29058_0:000b65|STRG.4884.5:554-1027|+     -            158 129956at50557        -            110   1.1e-17   62.8   0.0   1   2   1.4e-08   6.6e-07   28.2   0.0    37   106     1    70     1    74 0.95 -
117816at50557_29058_0:000b65|STRG.4884.5:554-1027|+     -            158 129956at50557        -            110   1.1e-17   62.8   0.0   2   2   4.6e-10   2.2e-08   33.0   0.0    32    93    82   143    75   146 0.92 -
129956at50557_286306_0:000be5|STRG.8364.1:254-514|+     -             87 129956at50557        -            110     2e-17   62.0   0.0   1   1   4.9e-19   2.3e-17   61.8   0.0    32   106     1    75     1    79 0.97 -
129956at50557_286306_0:000be5|STRG.8364.2:254-514|+     -             87 129956at50557        -            110     2e-17   62.0   0.0   1   1   4.9e-19   2.3e-17   61.8   0.0    32   106     1    75     1    79 0.97 -
129956at50557_286306_0:000be5|STRG.8364.3:254-514|+     -             87 129956at50557        -            110     2e-17   62.0   0.0   1   1   4.9e-19   2.3e-17   61.8   0.0    32   106     1    75     1    79 0.97 -
129956at50557_286306_0:000be5|STRG.8364.4:254-514|+     -             87 129956at50557        -            110     2e-17   62.0   0.0   1   1   4.9e-19   2.3e-17   61.8   0.0    32   106     1    75     1    79 0.97 -
24138at50557_103372_0:001296|STRG.16831.1:131-2797|+    -            889 129956at50557        -            110   6.6e-17   60.4   0.1   1   3    0.0011     0.053   12.4   0.1    33   103     5    74     2    79 0.85 -
24138at50557_103372_0:001296|STRG.16831.1:131-2797|+    -            889 129956at50557        -            110   6.6e-17   60.4   0.1   2   3   9.2e-08   4.3e-06   25.6   0.0    14   102   334   420   321   427 0.83 -
24138at50557_103372_0:001296|STRG.16831.1:131-2797|+    -            889 129956at50557        -            110   6.6e-17   60.4   0.1   3   3   5.8e-05    0.0027   16.5   0.0    27    88   762   824   747   845 0.83 -
83433at50557_166361_0:0030d8|STRG.4884.6:563-1123|+     -            187 129956at50557        -            110   1.5e-16   59.2   0.0   1   2   1.5e-07   7.3e-06   24.8   0.0    41   106     2    67     1    71 0.93 -
83433at50557_166361_0:0030d8|STRG.4884.6:563-1123|+     -            187 129956at50557        -            110   1.5e-16   59.2   0.0   2   2   6.7e-10   3.1e-08   32.4   0.0    32    93    79   140    72   143 0.92 -
83433at50557_35570_0:00301f|STRG.2447.1:975-1511|+      -            179 129956at50557        -            110   1.5e-15   56.0   0.0   1   2   9.9e-09   4.7e-07   28.7   0.0    32    90     2    62     1    83 0.86 -
83433at50557_35570_0:00301f|STRG.2447.1:975-1511|+      -            179 129956at50557        -            110   1.5e-15   56.0   0.0   2   2   7.6e-08   3.6e-06   25.8   0.0    31    81    90   140    77   167 0.87 -
101501at50557_103372_0:00154d|STRG.3548.2:1062-2912|+   -            617 129956at50557        -            110   4.7e-15   54.4   2.3   1   4   0.00032     0.015   14.2   0.0    28   102    45   117    24   124 0.84 -
101501at50557_103372_0:00154d|STRG.3548.2:1062-2912|+   -            617 129956at50557        -            110   4.7e-15   54.4   2.3   2   4   3.9e-09   1.8e-07   30.0   0.1    24   105   182   262   159   266 0.83 -
101501at50557_103372_0:00154d|STRG.3548.2:1062-2912|+   -            617 129956at50557        -            110   4.7e-15   54.4   2.3   3   4       2.3   1.1e+02    1.7   0.0    30    79   389   438   375   453 0.88 -
101501at50557_103372_0:00154d|STRG.3548.2:1062-2912|+   -            617 129956at50557        -            110   4.7e-15   54.4   2.3   4   4      0.32        15    4.5   0.0    62    92   577   607   563   615 0.81 -
129956at50557_64459_0:001a3e|STRG.12697.1:1637-2050|+   -            138 129956at50557        -            110   7.7e-15   53.7   0.0   1   2   7.2e-12   3.4e-10   38.8   0.0    32   103     1    72     1    79 0.97 -
129956at50557_64459_0:001a3e|STRG.12697.1:1637-2050|+   -            138 129956at50557        -            110   7.7e-15   53.7   0.0   2   2   0.00055     0.026   13.4   0.0    25    64    92   131    81   138 0.85 -
129956at50557_64459_0:001a3e|STRG.12697.2:1953-2366|+   -            138 129956at50557        -            110   7.7e-15   53.7   0.0   1   2   7.2e-12   3.4e-10   38.8   0.0    32   103     1    72     1    79 0.97 -
129956at50557_64459_0:001a3e|STRG.12697.2:1953-2366|+   -            138 129956at50557        -            110   7.7e-15   53.7   0.0   2   2   0.00055     0.026   13.4   0.0    25    64    92   131    81   138 0.85 -
129956at50557_64459_0:001a3e|STRG.12697.3:503-916|+     -            138 129956at50557        -            110   7.7e-15   53.7   0.0   1   2   7.2e-12   3.4e-10   38.8   0.0    32   103     1    72     1    79 0.97 -
129956at50557_64459_0:001a3e|STRG.12697.3:503-916|+     -            138 129956at50557        -            110   7.7e-15   53.7   0.0   2   2   0.00055     0.026   13.4   0.0    25    64    92   131    81   138 0.85 -
129956at50557_64459_0:001a3e|STRG.12697.4:668-1081|+    -            138 129956at50557        -            110   7.7e-15   53.7   0.0   1   2   7.2e-12   3.4e-10   38.8   0.0    32   103     1    72     1    79 0.97 -
129956at50557_64459_0:001a3e|STRG.12697.4:668-1081|+    -            138 129956at50557        -            110   7.7e-15   53.7   0.0   2   2   0.00055     0.026   13.4   0.0    25    64    92   131    81   138 0.85 -
129956at50557_64459_0:001a3e|STRG.12697.5:2150-2563|+   -            138 129956at50557        -            110   7.7e-15   53.7   0.0   1   2   7.2e-12   3.4e-10   38.8   0.0    32   103     1    72     1    79 0.97 -
129956at50557_64459_0:001a3e|STRG.12697.5:2150-2563|+   -            138 129956at50557        -            110   7.7e-15   53.7   0.0   2   2   0.00055     0.026   13.4   0.0    25    64    92   131    81   138 0.85 -
129956at50557_64459_0:001a3e|STRG.12697.6:491-904|+     -            138 129956at50557        -            110   7.7e-15   53.7   0.0   1   2   7.2e-12   3.4e-10   38.8   0.0    32   103     1    72     1    79 0.97 -
129956at50557_64459_0:001a3e|STRG.12697.6:491-904|+     -            138 129956at50557        -            110   7.7e-15   53.7   0.0   2   2   0.00055     0.026   13.4   0.0    25    64    92   131    81   138 0.85 -
129956at50557_64459_0:001a3e|STRG.12697.7:672-1085|+    -            138 129956at50557        -            110   7.7e-15   53.7   0.0   1   2   7.2e-12   3.4e-10   38.8   0.0    32   103     1    72     1    79 0.97 -
129956at50557_64459_0:001a3e|STRG.12697.7:672-1085|+    -            138 129956at50557        -            110   7.7e-15   53.7   0.0   2   2   0.00055     0.026   13.4   0.0    25    64    92   131    81   138 0.85 -
101501at50557_103372_0:00154d|STRG.3548.1:529-2841|+    -            771 129956at50557        -            110   9.8e-15   53.4   2.2   1   4   0.00045     0.021   13.7   0.0    28   102    38   110    17   116 0.84 -
101501at50557_103372_0:00154d|STRG.3548.1:529-2841|+    -            771 129956at50557        -            110   9.8e-15   53.4   2.2   2   4   5.4e-09   2.5e-07   29.5   0.1    24   104   175   254   152   259 0.83 -
101501at50557_103372_0:00154d|STRG.3548.1:529-2841|+    -            771 129956at50557        -            110   9.8e-15   53.4   2.2   3   4       3.1   1.5e+02    1.3   0.0    30    78   382   430   369   446 0.88 -
101501at50557_103372_0:00154d|STRG.3548.1:529-2841|+    -            771 129956at50557        -            110   9.8e-15   53.4   2.2   4   4      0.34        16    4.4   0.0    62    93   570   601   556   611 0.80 -
101501at50557_103372_0:00154d|STRG.3548.3:19-2352|+     -            778 129956at50557        -            110     1e-14   53.3   2.2   1   4   0.00046     0.022   13.6   0.0    28   102    45   117    24   123 0.84 -
101501at50557_103372_0:00154d|STRG.3548.3:19-2352|+     -            778 129956at50557        -            110     1e-14   53.3   2.2   2   4   5.4e-09   2.6e-07   29.5   0.1    24   104   182   261   159   266 0.83 -
101501at50557_103372_0:00154d|STRG.3548.3:19-2352|+     -            778 129956at50557        -            110     1e-14   53.3   2.2   3   4       3.1   1.5e+02    1.3   0.0    30    78   389   437   376   453 0.88 -
101501at50557_103372_0:00154d|STRG.3548.3:19-2352|+     -            778 129956at50557        -            110     1e-14   53.3   2.2   4   4      0.35        16    4.4   0.0    62    93   577   608   563   618 0.80 -
129956at50557_132113_0:001471|STRG.11122.1:1129-1440|+  -            104 129956at50557        -            110     1e-12   46.9   0.0   1   1   2.6e-14   1.2e-12   46.7   0.0    29    97    17    85     7    96 0.90 -
129956at50557_132113_0:001471|STRG.11122.2:793-1104|+   -            104 129956at50557        -            110     1e-12   46.9   0.0   1   1   2.6e-14   1.2e-12   46.7   0.0    29    97    17    85     7    96 0.90 -
129956at50557_132113_0:001471|STRG.11122.3:1091-1402|+  -            104 129956at50557        -            110     1e-12   46.9   0.0   1   1   2.6e-14   1.2e-12   46.7   0.0    29    97    17    85     7    96 0.90 -
129956at50557_132113_0:001471|STRG.11122.4:1448-1759|+  -            104 129956at50557        -            110     1e-12   46.9   0.0   1   1   2.6e-14   1.2e-12   46.7   0.0    29    97    17    85     7    96 0.90 -
129956at50557_132113_0:001471|STRG.11122.5:1091-1402|+  -            104 129956at50557        -            110     1e-12   46.9   0.0   1   1   2.6e-14   1.2e-12   46.7   0.0    29    97    17    85     7    96 0.90 -
129956at50557_13686_0:0011f5|STRG.1910.1:2618-2845|+    -             76 129956at50557        -            110   1.3e-12   46.6   0.0   1   1   2.9e-14   1.3e-12   46.5   0.0    32   104     1    73     1    76 0.97 -
129956at50557_13686_0:0011f5|STRG.1910.2:1182-1409|+    -             76 129956at50557        -            110   1.3e-12   46.6   0.0   1   1   2.9e-14   1.3e-12   46.5   0.0    32   104     1    73     1    76 0.97 -
129956at50557_13686_0:0011f5|STRG.1910.3:950-1177|+     -             76 129956at50557        -            110   1.3e-12   46.6   0.0   1   1   2.9e-14   1.3e-12   46.5   0.0    32   104     1    73     1    76 0.97 -
129956at50557_13686_0:0011f5|STRG.1910.4:2679-2906|+    -             76 129956at50557        -            110   1.3e-12   46.6   0.0   1   1   2.9e-14   1.3e-12   46.5   0.0    32   104     1    73     1    76 0.97 -
129956at50557_13686_0:0011f5|STRG.1910.5:997-1224|+     -             76 129956at50557        -            110   1.3e-12   46.6   0.0   1   1   2.9e-14   1.3e-12   46.5   0.0    32   104     1    73     1    76 0.97 -
129956at50557_7397_0:004a22|STRG.11122.6:1423-1686|+    -             88 129956at50557        -            110   2.3e-12   45.7   0.0   1   1   5.3e-14   2.5e-12   45.6   0.0    32    97     1    66     1    78 0.92 -
59099at50557_64793_0:000fa7|STRG.912.1:75-1823|+        -            583 129956at50557        -            110   4.5e-12   44.8   0.1   1   2   1.4e-05   0.00065   18.5   0.0    31   104    55   128    44   133 0.90 -
59099at50557_64793_0:000fa7|STRG.912.1:75-1823|+        -            583 129956at50557        -            110   4.5e-12   44.8   0.1   2   2   4.3e-07     2e-05   23.4   0.0    32   103   226   296   223   305 0.89 -
59099at50557_64793_0:000fa7|STRG.912.3:75-1823|+        -            583 129956at50557        -            110   4.5e-12   44.8   0.1   1   2   1.4e-05   0.00065   18.5   0.0    31   104    55   128    44   133 0.90 -
59099at50557_64793_0:000fa7|STRG.912.3:75-1823|+        -            583 129956at50557        -            110   4.5e-12   44.8   0.1   2   2   4.3e-07     2e-05   23.4   0.0    32   103   226   296   223   305 0.89 -
129956at50557_38123_0:0017f4|STRG.15408.1:539-691|+     -             51 129956at50557        -            110   5.5e-12   44.5   0.2   1   1   1.2e-13   5.8e-12   44.4   0.2    32    81     1    50     1    51 0.97 -
129956at50557_38123_0:0017f4|STRG.15408.2:537-689|+     -             51 129956at50557        -            110   5.5e-12   44.5   0.2   1   1   1.2e-13   5.8e-12   44.4   0.2    32    81     1    50     1    51 0.97 -
129956at50557_38123_0:0017f4|STRG.15408.3:513-665|+     -             51 129956at50557        -            110   5.5e-12   44.5   0.2   1   1   1.2e-13   5.8e-12   44.4   0.2    32    81     1    50     1    51 0.97 -
129956at50557_38123_0:0017f4|STRG.15408.4:513-665|+     -             51 129956at50557        -            110   5.5e-12   44.5   0.2   1   1   1.2e-13   5.8e-12   44.4   0.2    32    81     1    50     1    51 0.97 -
129956at50557_38123_0:0017f4|STRG.15408.5:513-665|+     -             51 129956at50557        -            110   5.5e-12   44.5   0.2   1   1   1.2e-13   5.8e-12   44.4   0.2    32    81     1    50     1    51 0.97 -
129956at50557_38123_0:0017f4|STRG.15408.6:612-764|+     -             51 129956at50557        -            110   5.5e-12   44.5   0.2   1   1   1.2e-13   5.8e-12   44.4   0.2    32    81     1    50     1    51 0.97 -
59099at50557_286306_0:003cfb|STRG.912.4:75-2038|+       -            603 129956at50557        -            110   6.8e-12   44.2   0.1   1   2   1.5e-05   0.00068   18.5   0.0    31   104    55   128    44   133 0.90 -
59099at50557_286306_0:003cfb|STRG.912.4:75-2038|+       -            603 129956at50557        -            110   6.8e-12   44.2   0.1   2   2   4.5e-07   2.1e-05   23.3   0.0    32   103   226   296   223   305 0.89 -
59099at50557_286306_0:003cfb|STRG.912.5:181-2171|+      -            612 129956at50557        -            110   7.1e-12   44.2   0.1   1   2   1.5e-05    0.0007   18.4   0.0    31   104    55   128    44   133 0.90 -
59099at50557_286306_0:003cfb|STRG.912.5:181-2171|+      -            612 129956at50557        -            110   7.1e-12   44.2   0.1   2   2   4.6e-07   2.1e-05   23.3   0.0    32   103   226   296   223   305 0.89 -
129956at50557_7425_0:001fb1|STRG.12950.1:799-1041|+     -             81 129956at50557        -            110   8.1e-12   44.0   0.0   1   1     2e-13   9.2e-12   43.8   0.0    32   105     1    74     1    78 0.96 -
129956at50557_7425_0:001fb1|STRG.12950.2:811-1053|+     -             81 129956at50557        -            110   8.1e-12   44.0   0.0   1   1     2e-13   9.2e-12   43.8   0.0    32   105     1    74     1    78 0.96 -
129956at50557_38123_0:0017f4|STRG.2236.1:542-694|+      -             51 129956at50557        -            110     1e-11   43.6   0.2   1   1   2.3e-13   1.1e-11   43.6   0.2    32    81     1    50     1    51 0.97 -
129956at50557_38123_0:0017f4|STRG.2236.2:516-668|+      -             51 129956at50557        -            110     1e-11   43.6   0.2   1   1   2.3e-13   1.1e-11   43.6   0.2    32    81     1    50     1    51 0.97 -
129956at50557_38123_0:0017f4|STRG.2236.3:516-668|+      -             51 129956at50557        -            110     1e-11   43.6   0.2   1   1   2.3e-13   1.1e-11   43.6   0.2    32    81     1    50     1    51 0.97 -
129956at50557_7160_0:003f5c|STRG.13041.1:575-787|+      -             71 129956at50557        -            110   2.7e-11   42.3   0.1   1   1   6.1e-13   2.9e-11   42.2   0.1    36   104     3    71     1    71 0.96 -
129956at50557_7160_0:003f5c|STRG.13041.2:575-787|+      -             71 129956at50557        -            110   2.7e-11   42.3   0.1   1   1   6.1e-13   2.9e-11   42.2   0.1    36   104     3    71     1    71 0.96 -
129956at50557_7160_0:003f5c|STRG.13041.3:548-760|+      -             71 129956at50557        -            110   2.7e-11   42.3   0.1   1   1   6.1e-13   2.9e-11   42.2   0.1    36   104     3    71     1    71 0.96 -
129956at50557_7160_0:003f5c|STRG.13041.4:548-760|+      -             71 129956at50557        -            110   2.7e-11   42.3   0.1   1   1   6.1e-13   2.9e-11   42.2   0.1    36   104     3    71     1    71 0.96 -
129956at50557_37344_0:0029cb|STRG.10476.1:945-1241|+    -             99 129956at50557        -            110   2.7e-11   42.3   0.0   1   1   6.4e-13     3e-11   42.2   0.0    28   102    24    98    11    99 0.92 -
129956at50557_29053_0:00060a|STRG.1787.1:419-673|+      -             85 129956at50557        -            110   3.6e-11   41.9   0.0   1   1   8.8e-13   4.1e-11   41.7   0.0    32    96     1    69     1    79 0.86 -
129956at50557_29053_0:00060a|STRG.1787.2:419-673|+      -             85 129956at50557        -            110   3.6e-11   41.9   0.0   1   1   8.8e-13   4.1e-11   41.7   0.0    32    96     1    69     1    79 0.86 -
129956at50557_29053_0:00060a|STRG.1787.3:419-673|+      -             85 129956at50557        -            110   3.6e-11   41.9   0.0   1   1   8.8e-13   4.1e-11   41.7   0.0    32    96     1    69     1    79 0.86 -
129956at50557_454923_0:0003d4|STRG.1512.1:317-571|+     -             85 129956at50557        -            110   1.2e-10   40.2   0.0   1   1   2.7e-12   1.3e-10   40.1   0.0    27   105     2    80     1    85 0.93 -
129956at50557_7370_0:002364|STRG.5495.2:344-595|+       -             84 129956at50557        -            110   2.1e-10   39.5   0.0   1   1   4.6e-12   2.2e-10   39.4   0.0    32   105     3    76     1    83 0.94 -
129956at50557_51655_0:0033b8|STRG.6261.1:628-939|+      -            104 129956at50557        -            110   3.5e-10   38.7   0.0   1   1   8.5e-12     4e-10   38.5   0.0    26    92     2    70     1    82 0.88 -
129956at50557_51655_0:0033b8|STRG.6261.2:579-890|+      -            104 129956at50557        -            110   3.5e-10   38.7   0.0   1   1   8.5e-12     4e-10   38.5   0.0    26    92     2    70     1    82 0.88 -
24138at50557_7004_0:0051ca|STRG.16652.1:498-848|+       -            117 129956at50557        -            110   3.6e-10   38.7   0.0   1   2     0.016      0.74    8.7   0.0    54    83     2    31     1    54 0.81 -
24138at50557_7004_0:0051ca|STRG.16652.1:498-848|+       -            117 129956at50557        -            110   3.6e-10   38.7   0.0   2   2   1.2e-08   5.4e-07   28.4   0.0    29    80    65   116    55   117 0.93 -
129956at50557_7176_0:003daf|STRG.14433.1:1278-1517|+    -             80 129956at50557        -            110   4.4e-10   38.4   0.0   1   1     1e-11   4.9e-10   38.3   0.0    32   104     1    73     1    79 0.95 -
129956at50557_7176_0:003daf|STRG.14433.2:1113-1352|+    -             80 129956at50557        -            110   4.4e-10   38.4   0.0   1   1     1e-11   4.9e-10   38.3   0.0    32   104     1    73     1    79 0.95 -
129956at50557_7159_0:0030fc|STRG.11122.1:2393-2608|+    -             72 129956at50557        -            110   1.5e-09   36.7   0.0   1   1   3.5e-11   1.6e-09   36.6   0.0    32   103     1    72     1    72 0.96 -
129956at50557_7159_0:0030fc|STRG.11122.2:2048-2263|+    -             72 129956at50557        -            110   1.5e-09   36.7   0.0   1   1   3.5e-11   1.6e-09   36.6   0.0    32   103     1    72     1    72 0.96 -
129956at50557_7159_0:0030fc|STRG.11122.3:2367-2582|+    -             72 129956at50557        -            110   1.5e-09   36.7   0.0   1   1   3.5e-11   1.6e-09   36.6   0.0    32   103     1    72     1    72 0.96 -
129956at50557_7159_0:0030fc|STRG.11122.4:2703-2918|+    -             72 129956at50557        -            110   1.5e-09   36.7   0.0   1   1   3.5e-11   1.6e-09   36.6   0.0    32   103     1    72     1    72 0.96 -
129956at50557_7159_0:0030fc|STRG.11122.5:2376-2591|+    -             72 129956at50557        -            110   1.5e-09   36.7   0.0   1   1   3.5e-11   1.6e-09   36.6   0.0    32   103     1    72     1    72 0.96 -
129956at50557_7176_0:003daf|STRG.11122.7:1307-1522|+    -             72 129956at50557        -            110   1.5e-09   36.7   0.0   1   1   3.5e-11   1.6e-09   36.6   0.0    32   103     1    72     1    72 0.96 -
