#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
23620at50557_34720_0:0012cc|STRG.5639.1:52-2658|+      -            869 23620at50557         -            502    5e-245  812.9  10.2   1   1    3e-245  1.4e-243  808.2  10.2     1   501   245   852   245   853 0.90 -
40115at50557_1629725_0:001335|STRG.11659.3:196-1059|+  -            288 23620at50557         -            502   2.7e-21   74.9   0.9   4   5   0.00018    0.0085   13.9   0.0   232   277   210   253   193   255 0.85 -
40115at50557_1629725_0:001335|STRG.11659.3:196-1059|+  -            288 23620at50557         -            502   2.7e-21   74.9   0.9   5   5    0.0044       0.2    9.4   0.0   236   269   253   287   250   288 0.90 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+    -            481 23620at50557         -            502   5.5e-19   67.3   7.4   1   7   4.5e-05    0.0021   15.9   0.1   237   273   116   153   111   171 0.83 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+    -            481 23620at50557         -            502   5.5e-19   67.3   7.4   2   7       0.3        14    3.3   0.0   233   278   154   201   151   218 0.78 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+    -            481 23620at50557         -            502   5.5e-19   67.3   7.4   3   7      0.07       3.2    5.4   0.1   249   277   219   247   200   249 0.79 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+    -            481 23620at50557         -            502   5.5e-19   67.3   7.4   4   7   0.00029     0.013   13.3   0.2   236   292   247   303   240   331 0.87 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+    -            481 23620at50557         -            502   5.5e-19   67.3   7.4   5   7   1.3e-05   0.00059   17.7   0.0   229   276   356   404   339   407 0.89 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+    -            481 23620at50557         -            502   5.5e-19   67.3   7.4   6   7   0.00059     0.027   12.2   0.1   236   274   405   444   401   466 0.83 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+    -            481 23620at50557         -            502   5.5e-19   67.3   7.4   7   7       4.3     2e+02   -0.5   0.0   238   268   449   480   443   481 0.88 -
40115at50557_108931_0:001d6b|STRG.7947.1:815-1852|+    -            346 23620at50557         -            502     1e-17   63.1   0.8   1   5     0.019      0.87    7.3   0.0   237   271     8    43     5    56 0.84 -
40115at50557_108931_0:001d6b|STRG.7947.1:815-1852|+    -            346 23620at50557         -            502     1e-17   63.1   0.8   2   5    0.0085      0.39    8.4   0.0   249   278   117   146   100   182 0.79 -
40115at50557_108931_0:001d6b|STRG.7947.1:815-1852|+    -            346 23620at50557         -            502     1e-17   63.1   0.8   3   5   2.3e-07   1.1e-05   23.5   0.0   232   277   182   228   174   245 0.83 -
40115at50557_108931_0:001d6b|STRG.7947.1:815-1852|+    -            346 23620at50557         -            502     1e-17   63.1   0.8   4   5     0.015      0.71    7.6   0.0   255   281   257   283   250   291 0.90 -
40115at50557_108931_0:001d6b|STRG.7947.1:815-1852|+    -            346 23620at50557         -            502     1e-17   63.1   0.8   5   5   0.00053     0.024   12.4   0.0   237   276   280   320   279   333 0.88 -
40115at50557_1629725_0:001335|STRG.16669.1:1671-2474|+ -            268 23620at50557         -            502   1.7e-17   62.4  10.4   1   5     0.018      0.83    7.3   0.1   254   278     2    26     1    28 0.91 -
40115at50557_1629725_0:001335|STRG.16669.1:1671-2474|+ -            268 23620at50557         -            502   1.7e-17   62.4  10.4   2   5   1.2e-05   0.00053   17.9   0.5   238   286    27    74    25   110 0.67 -
40115at50557_1629725_0:001335|STRG.16669.1:1671-2474|+ -            268 23620at50557         -            502   1.7e-17   62.4  10.4   3   5   4.3e-05     0.002   16.0   0.1   238   278   110   149   105   152 0.89 -
40115at50557_1629725_0:001335|STRG.16669.1:1671-2474|+ -            268 23620at50557         -            502   1.7e-17   62.4  10.4   4   5   9.8e-05    0.0045   14.8   0.0   236   278   148   189   146   190 0.88 -
40115at50557_1629725_0:001335|STRG.16669.1:1671-2474|+ -            268 23620at50557         -            502   1.7e-17   62.4  10.4   5   5   0.00041     0.019   12.8   0.1   237   272   189   223   188   268 0.78 -
40115at50557_1629725_0:001335|STRG.16669.2:1464-2267|+ -            268 23620at50557         -            502   1.7e-17   62.4  10.4   1   5     0.018      0.83    7.3   0.1   254   278     2    26     1    28 0.91 -
40115at50557_1629725_0:001335|STRG.16669.2:1464-2267|+ -            268 23620at50557         -            502   1.7e-17   62.4  10.4   2   5   1.2e-05   0.00053   17.9   0.5   238   286    27    74    25   110 0.67 -
40115at50557_1629725_0:001335|STRG.16669.2:1464-2267|+ -            268 23620at50557         -            502   1.7e-17   62.4  10.4   3   5   4.3e-05     0.002   16.0   0.1   238   278   110   149   105   152 0.89 -
40115at50557_1629725_0:001335|STRG.16669.2:1464-2267|+ -            268 23620at50557         -            502   1.7e-17   62.4  10.4   4   5   9.8e-05    0.0045   14.8   0.0   236   278   148   189   146   190 0.88 -
40115at50557_1629725_0:001335|STRG.16669.2:1464-2267|+ -            268 23620at50557         -            502   1.7e-17   62.4  10.4   5   5   0.00041     0.019   12.8   0.1   237   272   189   223   188   268 0.78 -
31374at50557_197043_0:003de5|STRG.11659.1:192-809|+    -            206 23620at50557         -            502   4.6e-17   60.9   0.3   1   3     0.076       3.5    5.3   0.0   235   278    13    57     6    93 0.65 -
31374at50557_197043_0:003de5|STRG.11659.1:192-809|+    -            206 23620at50557         -            502   4.6e-17   60.9   0.3   2   3   8.4e-05    0.0038   15.0   0.0   233   268    95   131    85   140 0.87 -
31374at50557_197043_0:003de5|STRG.11659.1:192-809|+    -            206 23620at50557         -            502   4.6e-17   60.9   0.3   3   3   1.9e-11   8.8e-10   36.9   0.0   234   280   138   185   135   199 0.89 -
14512at50557_29053_0:0002b6|STRG.13347.1:210-920|+     -            237 23620at50557         -            502   1.4e-16   59.3   1.2   1   5   0.00019    0.0088   13.8   0.0   237   278     4    46     1    47 0.82 -
14512at50557_29053_0:0002b6|STRG.13347.1:210-920|+     -            237 23620at50557         -            502   1.4e-16   59.3   1.2   2   5   1.6e-05   0.00073   17.4   0.0   236   276    45    86    44    89 0.87 -
14512at50557_29053_0:0002b6|STRG.13347.1:210-920|+     -            237 23620at50557         -            502   1.4e-16   59.3   1.2   3   5    0.0011     0.049   11.4   0.1   237   273    88   125    85   130 0.86 -
14512at50557_29053_0:0002b6|STRG.13347.1:210-920|+     -            237 23620at50557         -            502   1.4e-16   59.3   1.2   4   5      0.14       6.4    4.4   0.0   248   273   172   197   158   201 0.75 -
14512at50557_29053_0:0002b6|STRG.13347.1:210-920|+     -            237 23620at50557         -            502   1.4e-16   59.3   1.2   5   5    0.0056      0.26    9.0   0.0   236   268   203   236   199   237 0.87 -
33043at50557_103372_0:000263|STRG.1342.1:112-2508|+    -            799 23620at50557         -            502   1.2e-15   56.3   0.7   1   6      0.82        38    1.9   0.0   249   293   117   167   105   177 0.68 -
33043at50557_103372_0:000263|STRG.1342.1:112-2508|+    -            799 23620at50557         -            502   1.2e-15   56.3   0.7   2   6   0.00076     0.035   11.9   0.0   238   278   191   232   185   238 0.88 -
33043at50557_103372_0:000263|STRG.1342.1:112-2508|+    -            799 23620at50557         -            502   1.2e-15   56.3   0.7   3   6     0.018      0.85    7.3   0.0   248   275   256   283   250   287 0.88 -
33043at50557_103372_0:000263|STRG.1342.1:112-2508|+    -            799 23620at50557         -            502   1.2e-15   56.3   0.7   4   6       3.3   1.5e+02   -0.1   0.0   239   282   381   427   377   505 0.57 -
33043at50557_103372_0:000263|STRG.1342.1:112-2508|+    -            799 23620at50557         -            502   1.2e-15   56.3   0.7   5   6     4e-05    0.0018   16.1   0.0   219   278   503   563   492   564 0.91 -
33043at50557_103372_0:000263|STRG.1342.1:112-2508|+    -            799 23620at50557         -            502   1.2e-15   56.3   0.7   6   6   0.00016    0.0072   14.1   0.0   231   281   557   608   556   641 0.81 -
78072at50557_110193_0:0018f8|STRG.14525.1:144-914|+    -            257 23620at50557         -            502   1.2e-15   56.2   0.8   1   5      0.25        12    3.5   0.0   238   269     8    39     5    50 0.90 -
78072at50557_110193_0:0018f8|STRG.14525.1:144-914|+    -            257 23620at50557         -            502   1.2e-15   56.2   0.8   2   5       0.1       4.6    4.9   0.0   235   269    49    89    40   107 0.75 -
78072at50557_110193_0:0018f8|STRG.14525.1:144-914|+    -            257 23620at50557         -            502   1.2e-15   56.2   0.8   3   5   9.8e-05    0.0045   14.8   0.0   220   268   123   172   105   178 0.92 -
78072at50557_110193_0:0018f8|STRG.14525.1:144-914|+    -            257 23620at50557         -            502   1.2e-15   56.2   0.8   4   5   3.7e-05    0.0017   16.2   0.0   237   275   181   219   172   223 0.92 -
78072at50557_110193_0:0018f8|STRG.14525.1:144-914|+    -            257 23620at50557         -            502   1.2e-15   56.2   0.8   5   5   0.00066      0.03   12.1   0.0   237   268   222   254   219   257 0.89 -
57752at50557_103372_0:000c5a|STRG.2346.1:163-1527|+    -            455 23620at50557         -            502   1.5e-15   55.9   0.4   1   5   2.1e-05   0.00096   17.0   0.0   222   274   123   179   111   187 0.80 -
57752at50557_103372_0:000c5a|STRG.2346.1:163-1527|+    -            455 23620at50557         -            502   1.5e-15   55.9   0.4   2   5    0.0011      0.05   11.4   0.0   380   437   189   247   179   257 0.82 -
57752at50557_103372_0:000c5a|STRG.2346.1:163-1527|+    -            455 23620at50557         -            502   1.5e-15   55.9   0.4   3   5     0.036       1.7    6.3   0.1   236   279   224   268   219   268 0.90 -
57752at50557_103372_0:000c5a|STRG.2346.1:163-1527|+    -            455 23620at50557         -            502   1.5e-15   55.9   0.4   4   5   0.00098     0.045   11.5   0.1   235   279   265   310   257   332 0.83 -
57752at50557_103372_0:000c5a|STRG.2346.1:163-1527|+    -            455 23620at50557         -            502   1.5e-15   55.9   0.4   5   5    0.0054      0.25    9.1   0.0   236   278   349   391   340   402 0.86 -
57752at50557_103372_0:000c5a|STRG.2346.3:163-1527|+    -            455 23620at50557         -            502   1.5e-15   55.9   0.4   1   5   2.1e-05   0.00096   17.0   0.0   222   274   123   179   111   187 0.80 -
57752at50557_103372_0:000c5a|STRG.2346.3:163-1527|+    -            455 23620at50557         -            502   1.5e-15   55.9   0.4   2   5    0.0011      0.05   11.4   0.0   380   437   189   247   179   257 0.82 -
57752at50557_103372_0:000c5a|STRG.2346.3:163-1527|+    -            455 23620at50557         -            502   1.5e-15   55.9   0.4   3   5     0.036       1.7    6.3   0.1   236   279   224   268   219   268 0.90 -
57752at50557_103372_0:000c5a|STRG.2346.3:163-1527|+    -            455 23620at50557         -            502   1.5e-15   55.9   0.4   4   5   0.00098     0.045   11.5   0.1   235   279   265   310   257   332 0.83 -
57752at50557_103372_0:000c5a|STRG.2346.3:163-1527|+    -            455 23620at50557         -            502   1.5e-15   55.9   0.4   5   5    0.0054      0.25    9.1   0.0   236   278   349   391   340   402 0.86 -
31374at50557_103372_0:0017b9|STRG.7093.1:92-2047|+     -            652 23620at50557         -            502   7.1e-15   53.7   0.1   1   5     0.013      0.59    7.8   0.0   217   275   372   431   366   433 0.87 -
31374at50557_103372_0:0017b9|STRG.7093.1:92-2047|+     -            652 23620at50557         -            502   7.1e-15   53.7   0.1   2   5      0.03       1.4    6.6   0.0   237   272   434   470   432   474 0.87 -
31374at50557_103372_0:0017b9|STRG.7093.1:92-2047|+     -            652 23620at50557         -            502   7.1e-15   53.7   0.1   3   5   1.9e-06   8.8e-05   20.4   0.0   231   278   470   518   466   521 0.90 -
31374at50557_103372_0:0017b9|STRG.7093.1:92-2047|+     -            652 23620at50557         -            502   7.1e-15   53.7   0.1   4   5     0.039       1.8    6.2   0.0   238   276   519   558   517   561 0.84 -
31374at50557_103372_0:0017b9|STRG.7093.1:92-2047|+     -            652 23620at50557         -            502   7.1e-15   53.7   0.1   5   5     0.012      0.54    8.0   0.0   237   269   560   593   556   608 0.89 -
14512at50557_103372_0:0005b9|STRG.15079.1:353-2929|+   -            859 23620at50557         -            502   1.9e-14   52.3   0.0   1   6    0.0071      0.33    8.7   0.0   237   278    14    57     6    65 0.83 -
14512at50557_103372_0:0005b9|STRG.15079.1:353-2929|+   -            859 23620at50557         -            502   1.9e-14   52.3   0.0   2   6         1        46    1.6   0.0   237   278    57    99    55   100 0.84 -
14512at50557_103372_0:0005b9|STRG.15079.1:353-2929|+   -            859 23620at50557         -            502   1.9e-14   52.3   0.0   3   6   0.00014    0.0062   14.3   0.0   236   275    98   138    94   140 0.92 -
14512at50557_103372_0:0005b9|STRG.15079.1:353-2929|+   -            859 23620at50557         -            502   1.9e-14   52.3   0.0   4   6     3e-06   0.00014   19.8   0.0   236   278   140   183   137   187 0.92 -
14512at50557_103372_0:0005b9|STRG.15079.1:353-2929|+   -            859 23620at50557         -            502   1.9e-14   52.3   0.0   5   6       6.3   2.9e+02   -1.1   0.0   251   271   198   218   183   225 0.59 -
14512at50557_103372_0:0005b9|STRG.15079.1:353-2929|+   -            859 23620at50557         -            502   1.9e-14   52.3   0.0   6   6      0.74        34    2.0   0.0   236   286   225   273   215   289 0.78 -
14512at50557_103372_0:0005b9|STRG.15079.2:353-2986|+   -            878 23620at50557         -            502   2.1e-14   52.2   0.0   1   6    0.0073      0.33    8.6   0.0   237   278    14    57     6    65 0.83 -
14512at50557_103372_0:0005b9|STRG.15079.2:353-2986|+   -            878 23620at50557         -            502   2.1e-14   52.2   0.0   2   6         1        47    1.5   0.0   237   278    57    99    55   100 0.84 -
14512at50557_103372_0:0005b9|STRG.15079.2:353-2986|+   -            878 23620at50557         -            502   2.1e-14   52.2   0.0   3   6   0.00014    0.0064   14.3   0.0   236   275    98   138    94   140 0.92 -
