#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
100579at50557_222816_0:000422|STRG.13068.2:1212-2005|+ -            261 100579at50557        -            222  3.7e-121  401.9  11.5   1   1  4.7e-122  2.6e-119  395.9  11.5     1   221     1   256     1   257 0.92 -
93160at50557_224129_0:001b1d|STRG.13473.6:975-1625|+   -            217 100579at50557        -            222   2.1e-09   36.5   1.7   2   2      0.29   1.6e+02    0.9   0.1   156   180   148   174   121   183 0.63 -
93160at50557_103372_0:002931|STRG.3293.2:150-962|+     -            271 100579at50557        -            222   4.7e-06   25.5   0.3   1   2   3.2e-08   1.8e-05   23.6   0.1     8    95    13   106     7   168 0.79 -
93160at50557_103372_0:002931|STRG.3293.2:150-962|+     -            271 100579at50557        -            222   4.7e-06   25.5   0.3   2   2       1.3   7.4e+02   -1.3   0.0   161   175   201   215   191   228 0.70 -
93160at50557_103372_0:002931|STRG.3293.1:0-848|+       -            283 100579at50557        -            222   6.3e-06   25.1   0.3   1   2   4.3e-08   2.4e-05   23.2   0.1     9    95    26   118    21   178 0.79 -
93160at50557_103372_0:002931|STRG.3293.1:0-848|+       -            283 100579at50557        -            222   6.3e-06   25.1   0.3   2   2      0.99   5.4e+02   -0.9   0.0   159   175   211   227   193   244 0.70 -
93160at50557_7370_0:000e4a|STRG.13185.1:37-549|+       -            171 100579at50557        -            222   0.00074   18.3   0.7   1   1   3.1e-05     0.017   13.8   0.7   143   176    85   118     1   131 0.76 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/100579at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/100579at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/100579at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:20:54 2024
# [ok]
