#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
70072at50557_456900_0:00138d|STRG.14781.1:119-1560|+ -            477 70072at50557         -            398  1.7e-194  644.9   2.8   1   1  3.6e-197  2.3e-194  644.5   2.8    19   394    76   454    42   458 0.94 -
35300at50557_103372_0:002ae9|STRG.9667.2:430-2193|+  -            588 70072at50557         -            398   1.3e-06   26.3   2.7   4   4      0.68   4.3e+02   -1.7   0.0    63    87   526   550   485   556 0.66 -
89121at50557_41427_0:000114|STRG.12819.1:1861-2799|+ -            313 70072at50557         -            398   1.7e-06   25.9   4.2   1   3     0.095        60    1.1   0.1    57   121    21    84     6    94 0.70 -
89121at50557_41427_0:000114|STRG.12819.1:1861-2799|+ -            313 70072at50557         -            398   1.7e-06   25.9   4.2   2   3   0.00097      0.61    7.6   0.3    79   127    91   139    63   145 0.90 -
89121at50557_41427_0:000114|STRG.12819.1:1861-2799|+ -            313 70072at50557         -            398   1.7e-06   25.9   4.2   3   3   9.5e-07    0.0006   17.5   0.1    65   159   146   236   141   246 0.83 -
65980at50557_224129_0:002010|STRG.8280.13:479-1201|+ -            241 70072at50557         -            398   3.5e-05   21.6   3.4   1   3   1.9e-06    0.0012   16.5   0.3    51   138    27   113     7   127 0.87 -
65980at50557_224129_0:002010|STRG.8280.13:479-1201|+ -            241 70072at50557         -            398   3.5e-05   21.6   3.4   2   3     0.048        30    2.1   0.0    67   126   111   169   102   178 0.78 -
65980at50557_224129_0:002010|STRG.8280.13:479-1201|+ -            241 70072at50557         -            398   3.5e-05   21.6   3.4   3   3    0.0087       5.5    4.5   0.2    58   118   170   229   142   238 0.65 -
65980at50557_224129_0:002010|STRG.8280.8:2085-2807|+ -            241 70072at50557         -            398   3.5e-05   21.6   3.4   1   3   1.9e-06    0.0012   16.5   0.3    51   138    27   113     7   127 0.87 -
65980at50557_224129_0:002010|STRG.8280.8:2085-2807|+ -            241 70072at50557         -            398   3.5e-05   21.6   3.4   2   3     0.048        30    2.1   0.0    67   126   111   169   102   178 0.78 -
65980at50557_224129_0:002010|STRG.8280.8:2085-2807|+ -            241 70072at50557         -            398   3.5e-05   21.6   3.4   3   3    0.0087       5.5    4.5   0.2    58   118   170   229   142   238 0.65 -
89121at50557_156304_0:00118d|STRG.3221.1:1317-2066|+ -            250 70072at50557         -            398    0.0081   13.8   0.1   1   2     5e-05     0.031   11.9   0.0    44   140    41   148     4   158 0.69 -
89121at50557_156304_0:00118d|STRG.3221.1:1317-2066|+ -            250 70072at50557         -            398    0.0081   13.8   0.1   2   2      0.31   1.9e+02   -0.6   0.0    58    84   203   229   174   238 0.80 -
89121at50557_156304_0:00118d|STRG.3221.2:639-1388|+  -            250 70072at50557         -            398    0.0081   13.8   0.1   1   2     5e-05     0.031   11.9   0.0    44   140    41   148     4   158 0.69 -
89121at50557_156304_0:00118d|STRG.3221.2:639-1388|+  -            250 70072at50557         -            398    0.0081   13.8   0.1   2   2      0.31   1.9e+02   -0.6   0.0    58    84   203   229   174   238 0.80 -
35300at50557_103372_0:000db9|STRG.14778.1:0-863|+    -            288 70072at50557         -            398     0.026   12.2   1.7   1   2   9.5e-05      0.06   10.9   0.6    39   150    20   130     2   171 0.71 -
35300at50557_103372_0:000db9|STRG.14778.1:0-863|+    -            288 70072at50557         -            398     0.026   12.2   1.7   2   2      0.42   2.6e+02   -1.1   0.0    48    84   211   247   165   257 0.53 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/70072at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/70072at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/70072at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:29:44 2024
# [ok]
