#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
108452at50557_144034_0:001560|STRG.8202.1:58-906|+    -            283 108452at50557        -            212  1.7e-113  376.3   1.1   1   1  7.5e-116  2.3e-113  375.9   1.1     1   201    17   230    17   236 0.95 -
43010at50557_29031_0:002465|STRG.2115.1:2033-2407|+   -            125 108452at50557        -            212   2.1e-10   39.5   7.6   1   1   7.4e-13   2.2e-10   39.3   7.6   134   197    59   125     4   125 0.74 -
43010at50557_29031_0:002465|STRG.2115.2:1871-2245|+   -            125 108452at50557        -            212   2.1e-10   39.5   7.6   1   1   7.4e-13   2.2e-10   39.3   7.6   134   197    59   125     4   125 0.74 -
43010at50557_29031_0:002465|STRG.2115.3:1476-1850|+   -            125 108452at50557        -            212   2.1e-10   39.5   7.6   1   1   7.4e-13   2.2e-10   39.3   7.6   134   197    59   125     4   125 0.74 -
60694at50557_315563_0:000bf8|STRG.7941.2:167-6187|+   -           2007 108452at50557        -            212   2.9e-10   39.0   8.9   1   1   2.4e-12   7.2e-10   37.7   8.9   133   200   114   184    93   195 0.79 -
23788at50557_378494_0:0029c0|STRG.11929.1:7959-8102|+ -             48 108452at50557        -            212   6.9e-09   34.5   8.9   1   1   2.4e-11   7.2e-09   34.4   8.9   156   196     4    48     1    48 0.83 -
108452at50557_7536_0:002ce9|STRG.7080.1:4227-4592|+   -            122 108452at50557        -            212   5.7e-08   31.5   0.0   1   1   2.1e-10   6.5e-08   31.3   0.0    24   122    20   122     4   122 0.82 -
108452at50557_7536_0:002ce9|STRG.7080.4:3059-3424|+   -            122 108452at50557        -            212   5.7e-08   31.5   0.0   1   1   2.1e-10   6.5e-08   31.3   0.0    24   122    20   122     4   122 0.82 -
43010at50557_246812_0:0014c3|STRG.2114.1:1874-2368|+  -            165 108452at50557        -            212   1.7e-05   23.4  12.8   1   1   7.3e-08   2.2e-05   23.0  12.8   139   195   108   165     6   165 0.82 -
43010at50557_246812_0:0014c3|STRG.2114.2:1886-2380|+  -            165 108452at50557        -            212   1.7e-05   23.4  12.8   1   1   7.3e-08   2.2e-05   23.0  12.8   139   195   108   165     6   165 0.82 -
43010at50557_246812_0:0014c3|STRG.2114.3:1883-2377|+  -            165 108452at50557        -            212   1.7e-05   23.4  12.8   1   1   7.3e-08   2.2e-05   23.0  12.8   139   195   108   165     6   165 0.82 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/108452at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/108452at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/108452at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:21:22 2024
# [ok]
