#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
69102at50557_103372_0:001d18|STRG.1023.1:125-2146|+  -            674 69102at50557         -            161   8.6e-80  265.4   0.0   1   1   2.8e-82   1.5e-79  264.6   0.0     1   160   441   621   441   622 0.90 -
69102at50557_41427_0:0029ce|STRG.4197.3:192-983|+    -            264 69102at50557         -            161   2.5e-11   42.8   0.0   1   2   1.9e-08     1e-05   24.6   0.0     6    64   105   174   101   181 0.79 -
69102at50557_41427_0:0029ce|STRG.4197.3:192-983|+    -            264 69102at50557         -            161   2.5e-11   42.8   0.0   2   2   7.3e-06     0.004   16.2   0.0    69   121   203   263   181   264 0.77 -
48331at50557_456900_0:001f7e|STRG.5647.1:329-1759|+  -            477 69102at50557         -            161   9.6e-09   34.4   0.0   1   2   2.1e-06    0.0012   17.9   0.0     5    87   218   315   214   321 0.74 -
48331at50557_456900_0:001f7e|STRG.5647.1:329-1759|+  -            477 69102at50557         -            161   9.6e-09   34.4   0.0   2   2     4e-05     0.022   13.8   0.0    96   125   351   380   333   387 0.79 -
48331at50557_456900_0:001f7e|STRG.5647.2:365-1795|+  -            477 69102at50557         -            161   9.6e-09   34.4   0.0   1   2   2.1e-06    0.0012   17.9   0.0     5    87   218   315   214   321 0.74 -
48331at50557_456900_0:001f7e|STRG.5647.2:365-1795|+  -            477 69102at50557         -            161   9.6e-09   34.4   0.0   2   2     4e-05     0.022   13.8   0.0    96   125   351   380   333   387 0.79 -
69102at50557_143948_0:0005b9|STRG.13921.1:132-1007|+ -            292 69102at50557         -            161   2.6e-08   33.0   0.0   1   1   8.3e-11   4.6e-08   32.3   0.0     5    61   144   210   141   248 0.70 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/69102at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/69102at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/69102at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:29:38 2024
# [ok]
