#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
13158at50557_34720_0:00221b|STRG.6615.1:578-3160|+    -            861 13158at50557         -            643         0 1098.6   5.6   1   1         0         0 1097.5   5.6     8   617    86   752    79   782 0.92 -
52925at50557_568069_0:003a4f|STRG.16197.1:53-1690|+   -            546 13158at50557         -            643   9.3e-52  174.9   0.0   1   1   7.4e-54   1.4e-51  174.4   0.0    60   549    32   543    26   546 0.77 -
33009at50557_64459_0:0021c0|STRG.10755.2:126-1814|+   -            563 13158at50557         -            643   1.7e-49  167.4   0.1   1   2   6.5e-49   1.2e-46  158.0   0.0    66   325    29   309    20   323 0.81 -
33009at50557_64459_0:0021c0|STRG.10755.2:126-1814|+   -            563 13158at50557         -            643   1.7e-49  167.4   0.1   2   2    0.0038       0.7    6.8   0.7   439   556   429   562   393   563 0.61 -
33009at50557_64459_0:0021c0|STRG.10755.3:235-1923|+   -            563 13158at50557         -            643   1.7e-49  167.4   0.1   1   2   6.5e-49   1.2e-46  158.0   0.0    66   325    29   309    20   323 0.81 -
33009at50557_64459_0:0021c0|STRG.10755.3:235-1923|+   -            563 13158at50557         -            643   1.7e-49  167.4   0.1   2   2    0.0038       0.7    6.8   0.7   439   556   429   562   393   563 0.61 -
33009at50557_441921_0:00050e|STRG.1111.1:69-1640|+    -            524 13158at50557         -            643   1.7e-45  154.2   0.6   1   1     3e-47   5.5e-45  152.5   0.6    63   531    16   500    10   506 0.75 -
33009at50557_516756_0:000dd3|STRG.13824.10:183-1694|+ -            504 13158at50557         -            643   2.4e-45  153.7   0.2   1   2   1.4e-42   2.5e-40  137.1   0.0    70   264    19   215    10   226 0.91 -
33009at50557_516756_0:000dd3|STRG.13824.10:183-1694|+ -            504 13158at50557         -            643   2.4e-45  153.7   0.2   2   2   1.7e-05    0.0031   14.6   0.0   459   529   426   498   403   502 0.84 -
33009at50557_516756_0:000dd3|STRG.13824.11:56-1567|+  -            504 13158at50557         -            643   2.4e-45  153.7   0.2   1   2   1.4e-42   2.5e-40  137.1   0.0    70   264    19   215    10   226 0.91 -
33009at50557_516756_0:000dd3|STRG.13824.11:56-1567|+  -            504 13158at50557         -            643   2.4e-45  153.7   0.2   2   2   1.7e-05    0.0031   14.6   0.0   459   529   426   498   403   502 0.84 -
33009at50557_516756_0:000dd3|STRG.13824.1:169-1680|+  -            504 13158at50557         -            643   2.4e-45  153.7   0.2   1   2   1.4e-42   2.5e-40  137.1   0.0    70   264    19   215    10   226 0.91 -
33009at50557_516756_0:000dd3|STRG.13824.1:169-1680|+  -            504 13158at50557         -            643   2.4e-45  153.7   0.2   2   2   1.7e-05    0.0031   14.6   0.0   459   529   426   498   403   502 0.84 -
33009at50557_516756_0:000dd3|STRG.13824.2:165-1676|+  -            504 13158at50557         -            643   2.4e-45  153.7   0.2   1   2   1.4e-42   2.5e-40  137.1   0.0    70   264    19   215    10   226 0.91 -
33009at50557_516756_0:000dd3|STRG.13824.2:165-1676|+  -            504 13158at50557         -            643   2.4e-45  153.7   0.2   2   2   1.7e-05    0.0031   14.6   0.0   459   529   426   498   403   502 0.84 -
33009at50557_516756_0:000dd3|STRG.13824.3:614-2125|+  -            504 13158at50557         -            643   2.4e-45  153.7   0.2   1   2   1.4e-42   2.5e-40  137.1   0.0    70   264    19   215    10   226 0.91 -
33009at50557_516756_0:000dd3|STRG.13824.3:614-2125|+  -            504 13158at50557         -            643   2.4e-45  153.7   0.2   2   2   1.7e-05    0.0031   14.6   0.0   459   529   426   498   403   502 0.84 -
33009at50557_516756_0:000dd3|STRG.13824.4:337-1848|+  -            504 13158at50557         -            643   2.4e-45  153.7   0.2   1   2   1.4e-42   2.5e-40  137.1   0.0    70   264    19   215    10   226 0.91 -
33009at50557_516756_0:000dd3|STRG.13824.4:337-1848|+  -            504 13158at50557         -            643   2.4e-45  153.7   0.2   2   2   1.7e-05    0.0031   14.6   0.0   459   529   426   498   403   502 0.84 -
33009at50557_516756_0:000dd3|STRG.13824.5:487-1998|+  -            504 13158at50557         -            643   2.4e-45  153.7   0.2   1   2   1.4e-42   2.5e-40  137.1   0.0    70   264    19   215    10   226 0.91 -
33009at50557_516756_0:000dd3|STRG.13824.5:487-1998|+  -            504 13158at50557         -            643   2.4e-45  153.7   0.2   2   2   1.7e-05    0.0031   14.6   0.0   459   529   426   498   403   502 0.84 -
33009at50557_516756_0:000dd3|STRG.13824.6:588-2099|+  -            504 13158at50557         -            643   2.4e-45  153.7   0.2   1   2   1.4e-42   2.5e-40  137.1   0.0    70   264    19   215    10   226 0.91 -
33009at50557_516756_0:000dd3|STRG.13824.6:588-2099|+  -            504 13158at50557         -            643   2.4e-45  153.7   0.2   2   2   1.7e-05    0.0031   14.6   0.0   459   529   426   498   403   502 0.84 -
33009at50557_516756_0:000dd3|STRG.13824.7:353-1864|+  -            504 13158at50557         -            643   2.4e-45  153.7   0.2   1   2   1.4e-42   2.5e-40  137.1   0.0    70   264    19   215    10   226 0.91 -
33009at50557_516756_0:000dd3|STRG.13824.7:353-1864|+  -            504 13158at50557         -            643   2.4e-45  153.7   0.2   2   2   1.7e-05    0.0031   14.6   0.0   459   529   426   498   403   502 0.84 -
33009at50557_516756_0:000dd3|STRG.13824.8:405-1916|+  -            504 13158at50557         -            643   2.4e-45  153.7   0.2   1   2   1.4e-42   2.5e-40  137.1   0.0    70   264    19   215    10   226 0.91 -
33009at50557_516756_0:000dd3|STRG.13824.8:405-1916|+  -            504 13158at50557         -            643   2.4e-45  153.7   0.2   2   2   1.7e-05    0.0031   14.6   0.0   459   529   426   498   403   502 0.84 -
33009at50557_516756_0:000dd3|STRG.13824.9:582-2093|+  -            504 13158at50557         -            643   2.4e-45  153.7   0.2   1   2   1.4e-42   2.5e-40  137.1   0.0    70   264    19   215    10   226 0.91 -
33009at50557_516756_0:000dd3|STRG.13824.9:582-2093|+  -            504 13158at50557         -            643   2.4e-45  153.7   0.2   2   2   1.7e-05    0.0031   14.6   0.0   459   529   426   498   403   502 0.84 -
13158at50557_680683_0:000cea|STRG.16198.1:209-1699|+  -            497 13158at50557         -            643     1e-44  151.6   0.0   1   1   8.1e-47   1.5e-44  151.1   0.0    74   549     1   497     1   497 0.80 -
33009at50557_597456_0:00130f|STRG.13826.1:73-1554|+   -            494 13158at50557         -            643   1.2e-44  151.4   0.6   1   2   4.3e-44   7.9e-42  142.1   0.0    71   285    20   235    12   287 0.87 -
33009at50557_597456_0:00130f|STRG.13826.1:73-1554|+   -            494 13158at50557         -            643   1.2e-44  151.4   0.6   2   2    0.0022       0.4    7.6   0.2   413   511   372   481   359   489 0.74 -
33009at50557_597456_0:00130f|STRG.13826.2:224-1705|+  -            494 13158at50557         -            643   1.2e-44  151.4   0.6   1   2   4.3e-44   7.9e-42  142.1   0.0    71   285    20   235    12   287 0.87 -
33009at50557_597456_0:00130f|STRG.13826.2:224-1705|+  -            494 13158at50557         -            643   1.2e-44  151.4   0.6   2   2    0.0022       0.4    7.6   0.2   413   511   372   481   359   489 0.74 -
33009at50557_64793_0:002b9a|STRG.6234.1:220-1692|+    -            491 13158at50557         -            643   6.3e-44  149.0   0.0   1   1   4.6e-46   8.4e-44  148.6   0.0    74   297     1   222     1   237 0.88 -
33009at50557_411798_0:001e30|STRG.6853.1:47-1558|+    -            504 13158at50557         -            643   2.8e-43  146.9   0.2   1   2   1.5e-41   2.8e-39  133.7   0.0    71   263    19   213    11   219 0.89 -
33009at50557_411798_0:001e30|STRG.6853.1:47-1558|+    -            504 13158at50557         -            643   2.8e-43  146.9   0.2   2   2   0.00018     0.032   11.2   0.1   487   531   454   500   413   503 0.83 -
52925at50557_568069_0:003a4f|STRG.2155.1:141-1811|+   -            557 13158at50557         -            643   2.6e-42  143.7   0.0   1   1     2e-44   3.7e-42  143.2   0.0    64   287     7   236     2   243 0.82 -
33009at50557_411798_0:001e30|STRG.6853.3:169-1620|+   -            484 13158at50557         -            643   1.2e-41  141.5   0.1   1   2   1.4e-41   2.5e-39  133.8   0.0    71   263    19   213    11   219 0.89 -
33009at50557_411798_0:001e30|STRG.6853.3:169-1620|+   -            484 13158at50557         -            643   1.2e-41  141.5   0.1   2   2    0.0088       1.6    5.6   0.0   487   512   454   479   413   483 0.84 -
33009at50557_91411_0:0001b1|STRG.6854.1:121-1662|+    -            514 13158at50557         -            643   3.8e-41  139.9   0.4   1   2   4.7e-39   8.6e-37  125.5   0.0    71   263    18   212    11   221 0.90 -
33009at50557_91411_0:0001b1|STRG.6854.1:121-1662|+    -            514 13158at50557         -            643   3.8e-41  139.9   0.4   2   2   6.8e-05     0.013   12.6   0.1   484   536   450   504   422   511 0.78 -
33009at50557_121225_0:000521|STRG.6853.2:50-1299|+    -            358 13158at50557         -            643   4.1e-41  139.7   0.1   1   2   6.6e-42   1.2e-39  134.9   0.0    71   263    18   212    10   218 0.89 -
33009at50557_121225_0:000521|STRG.6853.2:50-1299|+    -            358 13158at50557         -            643   4.1e-41  139.7   0.1   2   2      0.06        11    2.8   0.0   487   509   336   358   294   358 0.85 -
13158at50557_286706_0:0029f3|STRG.16126.2:291-1634|+  -            448 13158at50557         -            643   5.3e-41  139.3   0.0   1   1     9e-43   1.7e-40  137.7   0.0   138   510     4   387     1   448 0.77 -
33009at50557_2015173_0:002b24|STRG.6397.1:216-1713|+  -            496 13158at50557         -            643   6.9e-41  139.0   6.2   1   1   1.5e-41   2.7e-39  133.7   6.2    68   555     6   495     3   496 0.77 -
33009at50557_7493_0:000a0b|STRG.6852.1:104-1558|+     -            485 13158at50557         -            643   1.9e-40  137.6   0.0   1   2   5.1e-41   9.3e-39  131.9   0.0    71   263    22   216    14   225 0.89 -
33009at50557_7493_0:000a0b|STRG.6852.1:104-1558|+     -            485 13158at50557         -            643   1.9e-40  137.6   0.0   2   2     0.039       7.2    3.5   0.0   485   511   455   481   423   484 0.85 -
33009at50557_7493_0:000a0b|STRG.6852.2:60-1514|+      -            485 13158at50557         -            643   1.9e-40  137.6   0.0   1   2   5.1e-41   9.3e-39  131.9   0.0    71   263    22   216    14   225 0.89 -
33009at50557_7493_0:000a0b|STRG.6852.2:60-1514|+      -            485 13158at50557         -            643   1.9e-40  137.6   0.0   2   2     0.039       7.2    3.5   0.0   485   511   455   481   423   484 0.85 -
33009at50557_7493_0:000a0b|STRG.6852.3:94-1548|+      -            485 13158at50557         -            643   1.9e-40  137.6   0.0   1   2   5.1e-41   9.3e-39  131.9   0.0    71   263    22   216    14   225 0.89 -
33009at50557_7493_0:000a0b|STRG.6852.3:94-1548|+      -            485 13158at50557         -            643   1.9e-40  137.6   0.0   2   2     0.039       7.2    3.5   0.0   485   511   455   481   423   484 0.85 -
33009at50557_7493_0:000a0b|STRG.13825.1:301-1794|+    -            498 13158at50557         -            643   4.5e-38  129.7   0.1   1   2     2e-39   3.6e-37  126.7   0.0    70   283    27   240    17   292 0.86 -
33009at50557_7493_0:000a0b|STRG.13825.1:301-1794|+    -            498 13158at50557         -            643   4.5e-38  129.7   0.1   2   2      0.24        44    0.9   0.1   484   510   462   488   382   493 0.80 -
13158at50557_441921_0:002b6b|STRG.10756.2:86-1483|+   -            466 13158at50557         -            643   8.5e-38  128.8   0.0   1   1     9e-40   1.6e-37  127.8   0.0   141   510     8   408     3   466 0.76 -
33009at50557_7493_0:000a0b|STRG.13825.2:62-1330|+     -            423 13158at50557         -            643   1.9e-37  127.7   0.0   1   1   1.3e-39   2.3e-37  127.3   0.0    70   283    27   240    17   292 0.86 -
52925at50557_568069_0:003a4f|STRG.16645.1:9-1643|+    -            545 13158at50557         -            643   3.1e-34  117.0   0.0   1   1   2.6e-36   4.7e-34  116.4   0.0    68   326    43   301    35   344 0.81 -
13158at50557_66420_0:002fb6|STRG.10749.1:15-1481|+    -            489 13158at50557         -            643   3.1e-33  113.7   0.1   1   2   2.7e-34     5e-32  109.7   0.0   143   330     2   199     1   320 0.88 -
13158at50557_66420_0:002fb6|STRG.10749.1:15-1481|+    -            489 13158at50557         -            643   3.1e-33  113.7   0.1   2   2      0.11        19    2.0   0.1   466   510   385   426   347   432 0.73 -
13158at50557_66420_0:002fb6|STRG.10749.2:17-1483|+    -            489 13158at50557         -            643   3.1e-33  113.7   0.1   1   2   2.7e-34     5e-32  109.7   0.0   143   330     2   199     1   320 0.88 -
13158at50557_66420_0:002fb6|STRG.10749.2:17-1483|+    -            489 13158at50557         -            643   3.1e-33  113.7   0.1   2   2      0.11        19    2.0   0.1   466   510   385   426   347   432 0.73 -
52688at50557_103372_0:001558|STRG.10418.1:231-2417|+  -            729 13158at50557         -            643   1.8e-27   94.6   0.4   1   2       1.6   2.9e+02   -1.8   0.2   580   606   207   233   200   249 0.79 -
52688at50557_103372_0:001558|STRG.10418.1:231-2417|+  -            729 13158at50557         -            643   1.8e-27   94.6   0.4   2   2   3.1e-29   5.6e-27   93.0   0.0    68   258   260   461   253   472 0.84 -
52688at50557_103372_0:001558|STRG.10418.2:231-2417|+  -            729 13158at50557         -            643   1.8e-27   94.6   0.4   1   2       1.6   2.9e+02   -1.8   0.2   580   606   207   233   200   249 0.79 -
52688at50557_103372_0:001558|STRG.10418.2:231-2417|+  -            729 13158at50557         -            643   1.8e-27   94.6   0.4   2   2   3.1e-29   5.6e-27   93.0   0.0    68   258   260   461   253   472 0.84 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/13158at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/13158at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/13158at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:22:48 2024
# [ok]
