#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
107413at50557_103372_0:00285a|STRG.10355.1:56-1173|+    -            297 107413at50557        -             88   2.6e-35  119.6   2.4   1   1   2.2e-36   1.6e-34  117.1   2.4     1    88   180   286   180   286 0.85 -
98621at50557_315563_0:000f4d|STRG.13146.1:70-534|+      -            155 107413at50557        -             88   2.4e-15   55.7   1.1   1   1   1.5e-16   1.1e-14   53.5   1.1     1    88    56   152    56   152 0.75 -
98621at50557_51655_0:002282|STRG.15203.6:1080-1917|+    -            250 107413at50557        -             88   4.1e-15   54.9   1.8   1   1   1.6e-16   1.2e-14   53.5   1.8    27    88   184   247   145   247 0.80 -
107413at50557_108931_0:000e8f|STRG.15203.1:5536-6267|+  -            244 107413at50557        -             88   4.2e-15   54.9   1.8   1   1   1.6e-16   1.2e-14   53.4   1.8    27    88   181   244   142   244 0.80 -
107413at50557_108931_0:000e8f|STRG.15203.4:1422-2153|+  -            244 107413at50557        -             88   4.2e-15   54.9   1.8   1   1   1.6e-16   1.2e-14   53.4   1.8    27    88   181   244   142   244 0.80 -
98621at50557_7038_0:0003d0|STRG.6214.3:991-1816|+       -            270 107413at50557        -             88   5.7e-15   54.5   2.0   1   2       4.9   3.6e+02    0.6   0.0     3    23   155   177   153   190 0.80 -
98621at50557_7038_0:0003d0|STRG.6214.3:991-1816|+       -            270 107413at50557        -             88   5.7e-15   54.5   2.0   2   2   2.5e-16   1.8e-14   52.8   0.4    28    88   199   266   186   266 0.81 -
93746at50557_54969_0:0026b9|STRG.6214.1:599-1495|+      -            299 107413at50557        -             88   6.5e-15   54.3   1.6   1   1   5.6e-16   4.1e-14   51.7   1.6    28    88   227   294   180   294 0.85 -
93746at50557_54969_0:0026b9|STRG.6214.2:599-1495|+      -            299 107413at50557        -             88   6.5e-15   54.3   1.6   1   1   5.6e-16   4.1e-14   51.7   1.6    28    88   227   294   180   294 0.85 -
98621at50557_7038_0:0003d0|STRG.14019.1:1-744|+         -            248 107413at50557        -             88   1.2e-14   53.5   2.3   1   2       5.9   4.3e+02    0.3   0.1     3    11   141   149   139   183 0.64 -
98621at50557_7038_0:0003d0|STRG.14019.1:1-744|+         -            248 107413at50557        -             88   1.2e-14   53.5   2.3   2   2     4e-16   2.9e-14   52.2   0.5    28    88   186   248   180   248 0.90 -
98621at50557_13037_0:001de5|STRG.14485.1:215-949|+      -            245 107413at50557        -             88   2.6e-14   52.3   0.1   1   1   3.5e-16   2.6e-14   52.3   0.1    29    88   177   241   162   241 0.85 -
98621at50557_110193_0:0027e7|STRG.11768.1:427-1200|+    -            258 107413at50557        -             88   3.4e-14   52.0   0.8   1   1   5.9e-14   4.3e-12   45.2   0.8     5    88   148   254   145   254 0.69 -
98621at50557_110193_0:0027e7|STRG.11768.2:390-1163|+    -            258 107413at50557        -             88   3.4e-14   52.0   0.8   1   1   5.9e-14   4.3e-12   45.2   0.8     5    88   148   254   145   254 0.69 -
98621at50557_29031_0:002023|STRG.6216.1:63-848|+        -            262 107413at50557        -             88   4.5e-14   51.6   1.5   1   1   3.9e-15   2.9e-13   49.0   1.5    29    88   197   258   149   258 0.84 -
98621at50557_199890_0:001c5b|STRG.9042.1:46-574|+       -            156 107413at50557        -             88   6.2e-14   51.1   0.4   1   1   1.3e-15   9.5e-14   50.5   0.4    28    88    93   156    55   156 0.89 -
107413at50557_1155016_0:001042|STRG.12826.1:654-908|+   -             85 107413at50557        -             88   1.6e-13   49.8   0.3   1   1   2.4e-15   1.8e-13   49.6   0.3    27    88    21    80     3    80 0.88 -
107413at50557_1155016_0:001042|STRG.6098.1:19-213|+     -             65 107413at50557        -             88   1.7e-13   49.7   0.8   1   1   2.7e-15     2e-13   49.5   0.8    30    88     5    65     2    65 0.92 -
107413at50557_13249_0:002cfe|STRG.10070.1:153-842|+     -            230 107413at50557        -             88   6.4e-13   47.9   3.9   1   2       1.5   1.1e+02    2.2   0.0    23    38    20    35     5    50 0.73 -
107413at50557_13249_0:002cfe|STRG.10070.1:153-842|+     -            230 107413at50557        -             88   6.4e-13   47.9   3.9   2   2   9.2e-14   6.8e-12   44.6   1.8    26    88   167   227   125   227 0.89 -
45935at50557_67767_0:003589|STRG.7427.1:1-792|+         -            264 107413at50557        -             88     1e-12   47.2   6.1   1   1   2.5e-14   1.8e-12   46.4   3.1    29    88   195   255   147   255 0.90 -
98621at50557_286706_0:000660|STRG.12826.1:207-908|+     -            234 107413at50557        -             88   1.3e-12   46.8   0.8   1   1   3.3e-14   2.4e-12   46.0   0.3    27    88   170   229   152   229 0.89 -
98621at50557_79782_0:0026bc|STRG.9043.2:217-933|+       -            239 107413at50557        -             88   1.6e-12   46.6   1.8   1   1   8.9e-14   6.6e-12   44.6   1.8     3    88   138   239   136   239 0.71 -
98621at50557_79782_0:0026bc|STRG.9043.1:147-920|+       -            258 107413at50557        -             88   1.6e-12   46.6   1.5   1   1   8.7e-14   6.4e-12   44.7   1.5     3    88   157   258   155   258 0.71 -
98621at50557_174628_0:0021a4|STRG.1851.1:353-1018|+     -            222 107413at50557        -             88   2.8e-12   45.8   3.2   1   2       6.2   4.6e+02    0.3   0.1    25    36    21    32    15    47 0.84 -
98621at50557_174628_0:0021a4|STRG.1851.1:353-1018|+     -            222 107413at50557        -             88   2.8e-12   45.8   3.2   2   2   5.5e-14     4e-12   45.3   0.6    27    88   160   217   122   217 0.87 -
98621at50557_166361_0:000283|STRG.9034.1:247-990|+      -            248 107413at50557        -             88   2.9e-12   45.8   1.3   1   1   7.6e-13   5.6e-11   41.6   1.3     2    88   136   247   135   247 0.71 -
98621at50557_166361_0:000283|STRG.12315.1:629-1426|+    -            266 107413at50557        -             88   3.3e-12   45.6   4.3   1   1   7.8e-13   5.8e-11   41.6   3.4     2    88   154   262   153   262 0.71 -
98621at50557_166361_0:000283|STRG.6783.1:1-666|+        -            222 107413at50557        -             88     8e-12   44.4   0.9   1   2       1.1        79    2.7   0.0    23    36    15    27     5    44 0.78 -
98621at50557_166361_0:000283|STRG.6783.1:1-666|+        -            222 107413at50557        -             88     8e-12   44.4   0.9   2   2   5.9e-12   4.3e-10   38.8   0.1     3    88   122   218   120   218 0.69 -
98621at50557_7460_0:000221|STRG.9100.1:147-866|+        -            240 107413at50557        -             88   8.2e-12   44.3   1.6   1   2       4.3   3.2e+02    0.8   0.0    28    36    25    33    17    50 0.71 -
98621at50557_7460_0:000221|STRG.9100.1:147-866|+        -            240 107413at50557        -             88   8.2e-12   44.3   1.6   2   2   7.6e-13   5.6e-11   41.7   0.8    27    88   172   236   127   236 0.90 -
98621at50557_156304_0:000097|STRG.12825.1:134-841|+     -            236 107413at50557        -             88   8.6e-12   44.2   0.8   1   2       8.2     6e+02   -0.1   0.0    28    36    27    35     5    63 0.72 -
98621at50557_156304_0:000097|STRG.12825.1:134-841|+     -            236 107413at50557        -             88   8.6e-12   44.2   0.8   2   2   4.5e-13   3.3e-11   42.4   0.1    26    88   171   232   157   232 0.86 -
98621at50557_156304_0:000097|STRG.12825.2:183-890|+     -            236 107413at50557        -             88   8.6e-12   44.2   0.8   1   2       8.2     6e+02   -0.1   0.0    28    36    27    35     5    63 0.72 -
98621at50557_156304_0:000097|STRG.12825.2:183-890|+     -            236 107413at50557        -             88   8.6e-12   44.2   0.8   2   2   4.5e-13   3.3e-11   42.4   0.1    26    88   171   232   157   232 0.86 -
98621at50557_156304_0:000097|STRG.12825.3:183-890|+     -            236 107413at50557        -             88   8.6e-12   44.2   0.8   1   2       8.2     6e+02   -0.1   0.0    28    36    27    35     5    63 0.72 -
98621at50557_156304_0:000097|STRG.12825.3:183-890|+     -            236 107413at50557        -             88   8.6e-12   44.2   0.8   2   2   4.5e-13   3.3e-11   42.4   0.1    26    88   171   232   157   232 0.86 -
98621at50557_156304_0:000097|STRG.12825.4:433-1140|+    -            236 107413at50557        -             88   8.6e-12   44.2   0.8   1   2       8.2     6e+02   -0.1   0.0    28    36    27    35     5    63 0.72 -
98621at50557_156304_0:000097|STRG.12825.4:433-1140|+    -            236 107413at50557        -             88   8.6e-12   44.2   0.8   2   2   4.5e-13   3.3e-11   42.4   0.1    26    88   171   232   157   232 0.86 -
98621at50557_156304_0:000097|STRG.12825.5:427-1134|+    -            236 107413at50557        -             88   8.6e-12   44.2   0.8   1   2       8.2     6e+02   -0.1   0.0    28    36    27    35     5    63 0.72 -
98621at50557_156304_0:000097|STRG.12825.5:427-1134|+    -            236 107413at50557        -             88   8.6e-12   44.2   0.8   2   2   4.5e-13   3.3e-11   42.4   0.1    26    88   171   232   157   232 0.86 -
98621at50557_156304_0:000097|STRG.12825.6:480-1187|+    -            236 107413at50557        -             88   8.6e-12   44.2   0.8   1   2       8.2     6e+02   -0.1   0.0    28    36    27    35     5    63 0.72 -
98621at50557_156304_0:000097|STRG.12825.6:480-1187|+    -            236 107413at50557        -             88   8.6e-12   44.2   0.8   2   2   4.5e-13   3.3e-11   42.4   0.1    26    88   171   232   157   232 0.86 -
98621at50557_30019_0:0019d5|STRG.12769.2:70-1324|+      -            230 107413at50557        -             88   9.2e-12   44.2   3.2   1   1   1.5e-12   1.1e-10   40.7   3.2     3    88   132   229   130   229 0.76 -
93746at50557_568069_0:0045cd|STRG.14486.1:155-1276|+    -            374 107413at50557        -             88   9.5e-12   44.1   3.6   1   2         8   5.9e+02   -0.1   0.0     2    22   256   280   255   300 0.66 -
93746at50557_568069_0:0045cd|STRG.14486.1:155-1276|+    -            374 107413at50557        -             88   9.5e-12   44.1   3.6   2   2   1.7e-13   1.2e-11   43.7   1.2    27    88   306   369   295   369 0.83 -
93746at50557_568069_0:0045cd|STRG.12315.2:335-1429|+    -            365 107413at50557        -             88   9.8e-12   44.1   4.4   1   1   1.5e-12   1.1e-10   40.7   3.3     2    88   257   365   256   365 0.71 -
107413at50557_64838_0:000425|STRG.12825.7:164-886|+     -            241 107413at50557        -             88   1.7e-11   43.3   0.5   1   2         6   4.4e+02    0.3   0.0    28    51    34    62    22    76 0.66 -
107413at50557_64838_0:000425|STRG.12825.7:164-886|+     -            241 107413at50557        -             88   1.7e-11   43.3   0.5   2   2   2.4e-12   1.7e-10   40.1   0.1    27    88   177   237   168   237 0.87 -
107413at50557_64838_0:000425|STRG.12825.8:115-837|+     -            241 107413at50557        -             88   1.7e-11   43.3   0.5   1   2         6   4.4e+02    0.3   0.0    28    51    34    62    22    76 0.66 -
107413at50557_64838_0:000425|STRG.12825.8:115-837|+     -            241 107413at50557        -             88   1.7e-11   43.3   0.5   2   2   2.4e-12   1.7e-10   40.1   0.1    27    88   177   237   168   237 0.87 -
98621at50557_110193_0:0027e7|STRG.11770.1:229-948|+     -            240 107413at50557        -             88   1.7e-11   43.3   4.6   1   1     5e-12   3.7e-10   39.0   1.7    30    84   185   239   135   240 0.80 -
107413at50557_211228_0:00176b|STRG.12770.3:223-846|+    -            208 107413at50557        -             88     2e-11   43.1   1.3   1   1   1.9e-12   1.4e-10   40.3   0.3    25    88   148   208   108   208 0.75 -
107413at50557_454923_0:0008d7|STRG.12770.2:151-777|+    -            209 107413at50557        -             88     2e-11   43.1   1.3   1   1     2e-12   1.4e-10   40.3   0.3    25    88   149   209   109   209 0.75 -
107413at50557_108931_0:000e8f|STRG.1681.1:89-751|+      -            221 107413at50557        -             88   2.2e-11   43.0   5.9   1   2       1.6   1.1e+02    2.2   0.0    25    38    19    32    13    51 0.81 -
107413at50557_108931_0:000e8f|STRG.1681.1:89-751|+      -            221 107413at50557        -             88   2.2e-11   43.0   5.9   2   2   7.3e-12   5.3e-10   38.5   3.5    26    88   162   220   122   220 0.68 -
98621at50557_174628_0:0021a4|STRG.12769.1:70-780|+      -            237 107413at50557        -             88   4.4e-11   42.0   3.5   1   1   5.3e-12   3.9e-10   38.9   3.5     4    88   133   231   130   234 0.67 -
45935at50557_1041015_0:0000df|STRG.9895.1:1468-2157|+   -            230 107413at50557        -             88   9.7e-11   40.9   4.7   1   2      0.43        32    4.0   0.0     1    23   117   143   117   150 0.65 -
45935at50557_1041015_0:0000df|STRG.9895.1:1468-2157|+   -            230 107413at50557        -             88   9.7e-11   40.9   4.7   2   2   3.4e-11   2.5e-09   36.4   3.2    15    88   152   228   145   228 0.79 -
45935at50557_1041015_0:0000df|STRG.9895.3:952-1641|+    -            230 107413at50557        -             88   9.7e-11   40.9   4.7   1   2      0.43        32    4.0   0.0     1    23   117   143   117   150 0.65 -
45935at50557_1041015_0:0000df|STRG.9895.3:952-1641|+    -            230 107413at50557        -             88   9.7e-11   40.9   4.7   2   2   3.4e-11   2.5e-09   36.4   3.2    15    88   152   228   145   228 0.79 -
98621at50557_79782_0:0026bc|STRG.9102.1:167-874|+       -            236 107413at50557        -             88   1.3e-10   40.5   3.2   1   1   3.3e-12   2.4e-10   39.6   1.6    28    88   174   236   126   236 0.87 -
98621at50557_38123_0:000655|STRG.2615.1:32-358|+        -            109 107413at50557        -             88   1.9e-10   39.9   1.8   1   1   1.1e-11   8.2e-10   37.9   1.8     5    88    10   107     6   107 0.65 -
107413at50557_1155016_0:001042|STRG.4351.6:983-1192|+   -             70 107413at50557        -             88   2.9e-10   39.4   0.6   1   1   4.6e-12   3.4e-10   39.1   0.6    31    88    10    66     3    66 0.86 -
93746at50557_568069_0:0045cd|STRG.6363.1:327-1361|+     -            345 107413at50557        -             88   3.1e-10   39.3   0.5   1   1   1.1e-11   7.7e-10   38.0   0.5    35    88   286   340   274   340 0.84 -
93746at50557_568069_0:0045cd|STRG.6363.2:270-1352|+     -            361 107413at50557        -             88   3.3e-10   39.2   0.5   1   1   1.1e-11   8.3e-10   37.9   0.5    35    88   302   356   290   356 0.84 -
93746at50557_568069_0:0045cd|STRG.6363.4:150-1232|+     -            361 107413at50557        -             88   3.3e-10   39.2   0.5   1   1   1.1e-11   8.3e-10   37.9   0.5    35    88   302   356   290   356 0.84 -
98621at50557_79782_0:0026bc|STRG.9098.1:36-779|+        -            248 107413at50557        -             88   3.5e-10   39.1   1.5   1   1   1.1e-11   7.8e-10   38.0   0.1    31    88   185   244   177   244 0.84 -
93746at50557_568069_0:0045cd|STRG.6363.3:270-1355|+     -            362 107413at50557        -             88   5.4e-10   38.5   1.6   1   1   1.1e-11   8.3e-10   37.9   0.5    35    88   303   357   291   357 0.84 -
98621at50557_79782_0:0026bc|STRG.12823.1:44-787|+       -            248 107413at50557        -             88   6.6e-10   38.2   5.7   1   1   3.4e-11   2.5e-09   36.3   4.9    29    88   191   248   146   248 0.88 -
93746at50557_568069_0:0045cd|STRG.12312.1:165-1304|+    -            380 107413at50557        -             88   7.7e-10   38.0   7.1   1   1   4.6e-11   3.4e-09   35.9   4.3    25    88   310   380   270   380 0.71 -
98621at50557_286706_0:000660|STRG.13145.1:187-828|+     -            214 107413at50557        -             88     1e-09   37.6   2.0   1   2       3.4   2.5e+02    1.1   0.0    20    36    10    26     6    57 0.70 -
98621at50557_286706_0:000660|STRG.13145.1:187-828|+     -            214 107413at50557        -             88     1e-09   37.6   2.0   2   2     1e-10   7.4e-09   34.8   1.0    23    88   143   209   117   209 0.69 -
107413at50557_1155016_0:001042|STRG.13773.1:126-281|+   -             52 107413at50557        -             88   1.3e-09   37.3   0.1   1   1   1.8e-11   1.3e-09   37.2   0.1    41    88     3    52     1    52 0.86 -
98621at50557_7176_0:003115|STRG.13145.2:192-635|+       -            148 107413at50557        -             88   1.8e-09   36.9   1.2   1   1   4.5e-11   3.3e-09   36.0   1.2    21    88    75   143    51   143 0.69 -
107413at50557_211228_0:00176b|STRG.6785.1:97-792|+      -            232 107413at50557        -             88     3e-09   36.1   1.5   1   2       3.2   2.3e+02    1.2   0.0    27    50    22    46    12    78 0.66 -
107413at50557_211228_0:00176b|STRG.6785.1:97-792|+      -            232 107413at50557        -             88     3e-09   36.1   1.5   2   2   2.4e-10   1.8e-08   33.6   0.3    40    88   181   228   162   228 0.87 -
107413at50557_211228_0:00176b|STRG.6785.2:97-792|+      -            232 107413at50557        -             88     3e-09   36.1   1.5   1   2       3.2   2.3e+02    1.2   0.0    27    50    22    46    12    78 0.66 -
107413at50557_211228_0:00176b|STRG.6785.2:97-792|+      -            232 107413at50557        -             88     3e-09   36.1   1.5   2   2   2.4e-10   1.8e-08   33.6   0.3    40    88   181   228   162   228 0.87 -
107413at50557_211228_0:00176b|STRG.6785.3:76-794|+      -            232 107413at50557        -             88     3e-09   36.1   1.5   1   2       3.2   2.3e+02    1.2   0.0    27    50    22    46    12    78 0.66 -
107413at50557_211228_0:00176b|STRG.6785.3:76-794|+      -            232 107413at50557        -             88     3e-09   36.1   1.5   2   2   2.4e-10   1.8e-08   33.6   0.3    40    88   181   228   162   228 0.87 -
45935at50557_108931_0:001010|STRG.2372.1:89-943|+       -            285 107413at50557        -             88   4.3e-09   35.6   3.5   1   1   5.2e-09   3.8e-07   29.3   3.5    27    88   211   276   162   276 0.84 -
98621at50557_43151_0:000f0e|STRG.4351.2:289-975|+       -            229 107413at50557        -             88   6.4e-09   35.0   0.9   1   1   8.7e-11   6.4e-09   35.0   0.9    31    88   173   229   156   229 0.86 -
98621at50557_43151_0:000f0e|STRG.4351.3:155-847|+       -            231 107413at50557        -             88   6.5e-09   35.0   0.9   1   1   8.9e-11   6.5e-09   35.0   0.9    31    88   175   231   158   231 0.86 -
98621at50557_43151_0:000f0e|STRG.4351.4:155-847|+       -            231 107413at50557        -             88   6.5e-09   35.0   0.9   1   1   8.9e-11   6.5e-09   35.0   0.9    31    88   175   231   158   231 0.86 -
98621at50557_79782_0:0026bc|STRG.12772.1:86-757|+       -            224 107413at50557        -             88   7.7e-09   34.8   4.1   1   1   1.1e-09     8e-08   31.5   4.1     2    88   123   224   122   224 0.73 -
98621at50557_166361_0:000283|STRG.6784.1:81-791|+       -            237 107413at50557        -             88   1.1e-08   34.3   1.7   1   1   2.2e-10   1.6e-08   33.7   0.5    31    88   181   236   162   236 0.83 -
107413at50557_1155016_0:001933|STRG.12770.1:609-734|+   -             42 107413at50557        -             88   1.2e-08   34.1   0.0   1   1   1.8e-10   1.3e-08   34.1   0.0    45    88     1    42     1    42 0.82 -
107413at50557_1507135_0:0019c2|STRG.12840.1:1455-2207|+ -            251 107413at50557        -             88   1.9e-08   33.5   2.5   1   1     1e-08   7.4e-07   28.4   2.5    27    88   185   250   142   250 0.71 -
98621at50557_29029_0:001d93|STRG.3268.1:291-1052|+      -            254 107413at50557        -             88     4e-08   32.5   0.4   1   1   1.4e-09     1e-07   31.2   0.4    29    88   182   249   169   249 0.79 -
98621at50557_166361_0:000283|STRG.2988.2:291-764|+      -            158 107413at50557        -             88   4.1e-08   32.5   0.1   1   1   8.3e-10   6.1e-08   31.9   0.1    27    88    97   158    62   158 0.72 -
98621at50557_166361_0:000283|STRG.2988.1:492-1190|+     -            233 107413at50557        -             88   8.5e-08   31.4   0.1   1   1     2e-09   1.5e-07   30.7   0.1    27    88   172   233   137   233 0.73 -
98621at50557_166361_0:000283|STRG.2988.3:578-1276|+     -            233 107413at50557        -             88   8.5e-08   31.4   0.1   1   1     2e-09   1.5e-07   30.7   0.1    27    88   172   233   137   233 0.73 -
98621at50557_7370_0:001243|STRG.14458.1:1648-2334|+     -            229 107413at50557        -             88   1.3e-07   30.9   2.4   1   1   7.5e-09   5.5e-07   28.8   1.5    22    88   150   225   138   225 0.76 -
