#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
27737at50557_103372_0:000a01|STRG.8506.1:47-1879|+     -            611 27737at50557         -            506  8.3e-264  874.8  10.1   1   1  3.2e-265    3e-263  872.9  10.1     6   506    27   605    22   605 0.91 -
40115at50557_7370_0:002473|STRG.8742.1:174-1016|+      -            281 27737at50557         -            506   7.9e-11   40.2   1.2   5   5    0.0055      0.52    7.8   0.0   176   206   250   280   247   281 0.87 -
40115at50557_28612_0:000941|STRG.8740.1:278-1135|+     -            286 27737at50557         -            506   1.6e-09   35.9   2.4   1   2     0.016       1.5    6.3   0.0   177   207    43    76    32    83 0.82 -
40115at50557_28612_0:000941|STRG.8740.1:278-1135|+     -            286 27737at50557         -            506   1.6e-09   35.9   2.4   2   2   1.1e-06   9.9e-05   20.1   1.1    43   205   103   284    89   286 0.62 -
42193at50557_88501_0:0015e5|STRG.12324.2:149-3572|+    -            755 27737at50557         -            506   3.2e-09   34.9   0.1   1   1     6e-11   5.6e-09   34.1   0.1   374   421   285   332   267   354 0.85 -
14512at50557_56086_0:000590|STRG.6561.1:586-1053|+     -            156 27737at50557         -            506   9.7e-08   30.0   0.0   1   3    0.0027      0.26    8.8   0.0   184   219     5    40     1    49 0.90 -
14512at50557_56086_0:000590|STRG.6561.1:586-1053|+     -            156 27737at50557         -            506   9.7e-08   30.0   0.0   2   3     0.057       5.3    4.5   0.0    42    60    54    72    42    78 0.78 -
14512at50557_56086_0:000590|STRG.6561.1:586-1053|+     -            156 27737at50557         -            506   9.7e-08   30.0   0.0   3   3   8.5e-05     0.008   13.8   0.0   184   225    89   130    70   144 0.83 -
40115at50557_1629725_0:001335|STRG.11659.2:192-1055|+  -            288 27737at50557         -            506   1.9e-07   29.0   1.3   1   1   5.4e-08     5e-06   24.3   0.6    31   208    89   286    82   288 0.70 -
40115at50557_1629725_0:001335|STRG.11659.3:196-1059|+  -            288 27737at50557         -            506   1.9e-07   29.0   1.3   1   1   5.4e-08     5e-06   24.3   0.6    31   208    89   286    82   288 0.70 -
43121at50557_103372_0:001d6c|STRG.7934.1:0-1529|+      -            510 27737at50557         -            506   2.2e-07   28.8   2.7   1   5   0.00074     0.069   10.7   0.0   186   242   220   274   196   278 0.79 -
43121at50557_103372_0:001d6c|STRG.7934.1:0-1529|+      -            510 27737at50557         -            506   2.2e-07   28.8   2.7   2   5      0.04       3.7    5.0   0.0    32    75   265   308   256   312 0.55 -
43121at50557_103372_0:001d6c|STRG.7934.1:0-1529|+      -            510 27737at50557         -            506   2.2e-07   28.8   2.7   3   5    0.0082      0.77    7.2   0.1   181   218   308   345   302   350 0.89 -
43121at50557_103372_0:001d6c|STRG.7934.1:0-1529|+      -            510 27737at50557         -            506   2.2e-07   28.8   2.7   4   5     0.022       2.1    5.8   0.1    32    70   349   387   345   425 0.70 -
43121at50557_103372_0:001d6c|STRG.7934.1:0-1529|+      -            510 27737at50557         -            506   2.2e-07   28.8   2.7   5   5       2.7   2.5e+02   -1.0   0.0    32    59   482   509   446   510 0.80 -
40115at50557_1629725_0:001335|STRG.16669.1:1671-2474|+ -            268 27737at50557         -            506   7.4e-07   27.1   2.3   1   4     0.014       1.3    6.5   0.1    46   105     3    66     2    86 0.77 -
40115at50557_1629725_0:001335|STRG.16669.1:1671-2474|+ -            268 27737at50557         -            506   7.4e-07   27.1   2.3   2   4    0.0073      0.69    7.4   0.1    44    99    41   100    33   109 0.69 -
40115at50557_1629725_0:001335|STRG.16669.1:1671-2474|+ -            268 27737at50557         -            506   7.4e-07   27.1   2.3   3   4   2.9e-05    0.0027   15.3   0.0    32    96   113   180   107   190 0.82 -
40115at50557_1629725_0:001335|STRG.16669.1:1671-2474|+ -            268 27737at50557         -            506   7.4e-07   27.1   2.3   4   4      0.52        49    1.3   0.0    38    59   198   219   187   225 0.79 -
40115at50557_1629725_0:001335|STRG.16669.2:1464-2267|+ -            268 27737at50557         -            506   7.4e-07   27.1   2.3   1   4     0.014       1.3    6.5   0.1    46   105     3    66     2    86 0.77 -
40115at50557_1629725_0:001335|STRG.16669.2:1464-2267|+ -            268 27737at50557         -            506   7.4e-07   27.1   2.3   2   4    0.0073      0.69    7.4   0.1    44    99    41   100    33   109 0.69 -
40115at50557_1629725_0:001335|STRG.16669.2:1464-2267|+ -            268 27737at50557         -            506   7.4e-07   27.1   2.3   3   4   2.9e-05    0.0027   15.3   0.0    32    96   113   180   107   190 0.82 -
40115at50557_1629725_0:001335|STRG.16669.2:1464-2267|+ -            268 27737at50557         -            506   7.4e-07   27.1   2.3   4   4      0.52        49    1.3   0.0    38    59   198   219   187   225 0.79 -
57752at50557_121225_0:0018b6|STRG.4044.1:539-1453|+    -            305 27737at50557         -            506   8.3e-07   26.9   9.8   1   4   0.00065      0.06   10.9   0.4    31    97     4    77     3    89 0.74 -
57752at50557_121225_0:0018b6|STRG.4044.1:539-1453|+    -            305 27737at50557         -            506   8.3e-07   26.9   9.8   2   4   0.00018     0.016   12.7   0.1    33    97    91   162    79   167 0.72 -
57752at50557_121225_0:0018b6|STRG.4044.1:539-1453|+    -            305 27737at50557         -            506   8.3e-07   26.9   9.8   3   4      0.16        15    3.0   0.0   188   213   140   165   133   176 0.84 -
57752at50557_121225_0:0018b6|STRG.4044.1:539-1453|+    -            305 27737at50557         -            506   8.3e-07   26.9   9.8   4   4     0.011         1    6.8   0.9    42    94   246   304   231   305 0.66 -
57752at50557_121225_0:0018b6|STRG.4044.2:589-1503|+    -            305 27737at50557         -            506   8.3e-07   26.9   9.8   1   4   0.00065      0.06   10.9   0.4    31    97     4    77     3    89 0.74 -
57752at50557_121225_0:0018b6|STRG.4044.2:589-1503|+    -            305 27737at50557         -            506   8.3e-07   26.9   9.8   2   4   0.00018     0.016   12.7   0.1    33    97    91   162    79   167 0.72 -
57752at50557_121225_0:0018b6|STRG.4044.2:589-1503|+    -            305 27737at50557         -            506   8.3e-07   26.9   9.8   3   4      0.16        15    3.0   0.0   188   213   140   165   133   176 0.84 -
57752at50557_121225_0:0018b6|STRG.4044.2:589-1503|+    -            305 27737at50557         -            506   8.3e-07   26.9   9.8   4   4     0.011         1    6.8   0.9    42    94   246   304   231   305 0.66 -
31374at50557_217634_0:001dc6|STRG.14278.4:255-656|+    -            134 27737at50557         -            506   1.8e-06   25.8   0.0   1   3    0.0025      0.24    8.9   0.0   185   222    10    47     5    52 0.90 -
31374at50557_217634_0:001dc6|STRG.14278.4:255-656|+    -            134 27737at50557         -            506   1.8e-06   25.8   0.0   2   3     0.014       1.3    6.5   0.0   185   215    52    82    48    87 0.88 -
31374at50557_217634_0:001dc6|STRG.14278.4:255-656|+    -            134 27737at50557         -            506   1.8e-06   25.8   0.0   3   3    0.0069      0.65    7.5   0.0    31    66    88   124    84   132 0.83 -
78072at50557_7038_0:0021a3|STRG.15086.1:417-1265|+     -            283 27737at50557         -            506   2.9e-06   25.1   0.1   1   2   8.5e-08   7.9e-06   23.7   0.0    44    98   103   165    98   175 0.85 -
78072at50557_7038_0:0021a3|STRG.15086.1:417-1265|+     -            283 27737at50557         -            506   2.9e-06   25.1   0.1   2   2       7.6   7.1e+02   -2.5   0.0    81    99   244   262   226   269 0.68 -
78072at50557_7038_0:0021a3|STRG.15086.2:325-1173|+     -            283 27737at50557         -            506   2.9e-06   25.1   0.1   1   2   8.5e-08   7.9e-06   23.7   0.0    44    98   103   165    98   175 0.85 -
78072at50557_7038_0:0021a3|STRG.15086.2:325-1173|+     -            283 27737at50557         -            506   2.9e-06   25.1   0.1   2   2       7.6   7.1e+02   -2.5   0.0    81    99   244   262   226   269 0.68 -
78072at50557_7070_0:002a52|STRG.16420.1:1014-1856|+    -            281 27737at50557         -            506   5.6e-06   24.2   1.1   1   3   0.00034     0.032   11.8   0.2    37    95    46   109    29   110 0.68 -
78072at50557_7070_0:002a52|STRG.16420.1:1014-1856|+    -            281 27737at50557         -            506   5.6e-06   24.2   1.1   2   3    0.0079      0.74    7.3   0.0   185   217    86   118    81   122 0.87 -
78072at50557_7070_0:002a52|STRG.16420.1:1014-1856|+    -            281 27737at50557         -            506   5.6e-06   24.2   1.1   3   3      0.01      0.94    7.0   0.1    45    99   137   199   122   217 0.61 -
78072at50557_7070_0:002a52|STRG.16420.2:1143-1985|+    -            281 27737at50557         -            506   5.6e-06   24.2   1.1   1   3   0.00034     0.032   11.8   0.2    37    95    46   109    29   110 0.68 -
78072at50557_7070_0:002a52|STRG.16420.2:1143-1985|+    -            281 27737at50557         -            506   5.6e-06   24.2   1.1   2   3    0.0079      0.74    7.3   0.0   185   217    86   118    81   122 0.87 -
78072at50557_7070_0:002a52|STRG.16420.2:1143-1985|+    -            281 27737at50557         -            506   5.6e-06   24.2   1.1   3   3      0.01      0.94    7.0   0.1    45    99   137   199   122   217 0.61 -
31374at50557_197043_0:003de5|STRG.11659.1:192-809|+    -            206 27737at50557         -            506   1.7e-05   22.6   0.7   1   2     0.011         1    6.8   0.0   177   207    54    88    44    99 0.75 -
31374at50557_197043_0:003de5|STRG.11659.1:192-809|+    -            206 27737at50557         -            506   1.7e-05   22.6   0.7   2   2     9e-05    0.0084   13.7   0.3    44   106   116   184   102   193 0.81 -
80377at50557_30019_0:0008bb|STRG.3220.1:1374-2234|+    -            287 27737at50557         -            506   1.8e-05   22.5   4.0   1   4     0.046       4.3    4.8   0.1    31    95    14    82    11    93 0.72 -
80377at50557_30019_0:0008bb|STRG.3220.1:1374-2234|+    -            287 27737at50557         -            506   1.8e-05   22.5   4.0   2   4      0.71        66    0.9   0.0   184   224    98   138    90   151 0.76 -
80377at50557_30019_0:0008bb|STRG.3220.1:1374-2234|+    -            287 27737at50557         -            506   1.8e-05   22.5   4.0   3   4     0.053       4.9    4.6   0.0    46    98   189   245   179   253 0.69 -
80377at50557_30019_0:0008bb|STRG.3220.1:1374-2234|+    -            287 27737at50557         -            506   1.8e-05   22.5   4.0   4   4    0.0021       0.2    9.2   0.2    31    59   258   285   254   287 0.80 -
80377at50557_30019_0:0008bb|STRG.3220.2:1148-2008|+    -            287 27737at50557         -            506   1.8e-05   22.5   4.0   1   4     0.046       4.3    4.8   0.1    31    95    14    82    11    93 0.72 -
80377at50557_30019_0:0008bb|STRG.3220.2:1148-2008|+    -            287 27737at50557         -            506   1.8e-05   22.5   4.0   2   4      0.71        66    0.9   0.0   184   224    98   138    90   151 0.76 -
80377at50557_30019_0:0008bb|STRG.3220.2:1148-2008|+    -            287 27737at50557         -            506   1.8e-05   22.5   4.0   3   4     0.053       4.9    4.6   0.0    46    98   189   245   179   253 0.69 -
80377at50557_30019_0:0008bb|STRG.3220.2:1148-2008|+    -            287 27737at50557         -            506   1.8e-05   22.5   4.0   4   4    0.0021       0.2    9.2   0.2    31    59   258   285   254   287 0.80 -
80377at50557_30019_0:0008bb|STRG.3220.3:1374-2234|+    -            287 27737at50557         -            506   1.8e-05   22.5   4.0   1   4     0.046       4.3    4.8   0.1    31    95    14    82    11    93 0.72 -
80377at50557_30019_0:0008bb|STRG.3220.3:1374-2234|+    -            287 27737at50557         -            506   1.8e-05   22.5   4.0   2   4      0.71        66    0.9   0.0   184   224    98   138    90   151 0.76 -
80377at50557_30019_0:0008bb|STRG.3220.3:1374-2234|+    -            287 27737at50557         -            506   1.8e-05   22.5   4.0   3   4     0.053       4.9    4.6   0.0    46    98   189   245   179   253 0.69 -
80377at50557_30019_0:0008bb|STRG.3220.3:1374-2234|+    -            287 27737at50557         -            506   1.8e-05   22.5   4.0   4   4    0.0021       0.2    9.2   0.2    31    59   258   285   254   287 0.80 -
80377at50557_37344_0:0017d3|STRG.13748.1:892-1851|+    -            320 27737at50557         -            506   2.7e-05   21.9   0.3   1   3     0.051       4.8    4.6   0.1    38    62    22    46    10    62 0.82 -
80377at50557_37344_0:0017d3|STRG.13748.1:892-1851|+    -            320 27737at50557         -            506   2.7e-05   21.9   0.3   2   3     0.061       5.7    4.4   0.1   142   209    28    98    23   124 0.57 -
80377at50557_37344_0:0017d3|STRG.13748.1:892-1851|+    -            320 27737at50557         -            506   2.7e-05   21.9   0.3   3   3   0.00033     0.031   11.8   0.0    18   100   157   248   139   269 0.72 -
80377at50557_37344_0:0017d3|STRG.13748.2:892-1851|+    -            320 27737at50557         -            506   2.7e-05   21.9   0.3   1   3     0.051       4.8    4.6   0.1    38    62    22    46    10    62 0.82 -
80377at50557_37344_0:0017d3|STRG.13748.2:892-1851|+    -            320 27737at50557         -            506   2.7e-05   21.9   0.3   2   3     0.061       5.7    4.4   0.1   142   209    28    98    23   124 0.57 -
80377at50557_37344_0:0017d3|STRG.13748.2:892-1851|+    -            320 27737at50557         -            506   2.7e-05   21.9   0.3   3   3   0.00033     0.031   11.8   0.0    18   100   157   248   139   269 0.72 -
80377at50557_37344_0:0017d3|STRG.13748.3:892-1851|+    -            320 27737at50557         -            506   2.7e-05   21.9   0.3   1   3     0.051       4.8    4.6   0.1    38    62    22    46    10    62 0.82 -
80377at50557_37344_0:0017d3|STRG.13748.3:892-1851|+    -            320 27737at50557         -            506   2.7e-05   21.9   0.3   2   3     0.061       5.7    4.4   0.1   142   209    28    98    23   124 0.57 -
80377at50557_37344_0:0017d3|STRG.13748.3:892-1851|+    -            320 27737at50557         -            506   2.7e-05   21.9   0.3   3   3   0.00033     0.031   11.8   0.0    18   100   157   248   139   269 0.72 -
43553at50557_103372_0:0013d1|STRG.6288.1:355-1868|+    -            494 27737at50557         -            506   3.2e-05   21.7   0.1   1   2      0.37        35    1.8   0.0    24   104   152   242   132   261 0.62 -
43553at50557_103372_0:0013d1|STRG.6288.1:355-1868|+    -            494 27737at50557         -            506   3.2e-05   21.7   0.1   2   2   5.8e-06   0.00055   17.6   0.0    31   100   327   403   298   446 0.80 -
43553at50557_103372_0:0013d1|STRG.6288.2:735-2248|+    -            494 27737at50557         -            506   3.2e-05   21.7   0.1   1   2      0.37        35    1.8   0.0    24   104   152   242   132   261 0.62 -
43553at50557_103372_0:0013d1|STRG.6288.2:735-2248|+    -            494 27737at50557         -            506   3.2e-05   21.7   0.1   2   2   5.8e-06   0.00055   17.6   0.0    31   100   327   403   298   446 0.80 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+    -            481 27737at50557         -            506   3.7e-05   21.5   0.1   1   4     0.011       1.1    6.8   0.0   183   211   123   151   100   156 0.85 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+    -            481 27737at50557         -            506   3.7e-05   21.5   0.1   2   4      0.24        22    2.4   0.0    31    64   251   284   225   303 0.85 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+    -            481 27737at50557         -            506   3.7e-05   21.5   0.1   3   4    0.0097      0.91    7.0   0.0    37    95   373   438   362   448 0.57 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+    -            481 27737at50557         -            506   3.7e-05   21.5   0.1   4   4       2.5   2.3e+02   -0.9   0.0   170   207   442   479   435   480 0.89 -
40115at50557_7370_0:002473|STRG.851.1:242-1114|+       -            291 27737at50557         -            506   5.4e-05   21.0   0.5   1   5     0.037       3.5    5.1   0.0   179   217     5    43     1    50 0.89 -
40115at50557_7370_0:002473|STRG.851.1:242-1114|+       -            291 27737at50557         -            506   5.4e-05   21.0   0.5   2   5     0.026       2.4    5.6   0.0    41    96    58   119    45   128 0.69 -
40115at50557_7370_0:002473|STRG.851.1:242-1114|+       -            291 27737at50557         -            506   5.4e-05   21.0   0.5   3   5       1.8   1.7e+02   -0.5   0.0   185   214   137   166   131   179 0.62 -
40115at50557_7370_0:002473|STRG.851.1:242-1114|+       -            291 27737at50557         -            506   5.4e-05   21.0   0.5   4   5      0.42        40    1.6   0.0   186   218   181   213   177   219 0.87 -
40115at50557_7370_0:002473|STRG.851.1:242-1114|+       -            291 27737at50557         -            506   5.4e-05   21.0   0.5   5   5      0.39        36    1.7   0.1    39    79   228   267   220   291 0.65 -
40115at50557_7370_0:002473|STRG.851.2:242-1281|+       -            265 27737at50557         -            506   8.8e-05   20.2   0.2   1   5     0.033       3.1    5.2   0.0   179   217     5    43     1    49 0.89 -
40115at50557_7370_0:002473|STRG.851.2:242-1281|+       -            265 27737at50557         -            506   8.8e-05   20.2   0.2   2   5     0.018       1.7    6.1   0.0    41    97    58   120    40   130 0.70 -
40115at50557_7370_0:002473|STRG.851.2:242-1281|+       -            265 27737at50557         -            506   8.8e-05   20.2   0.2   3   5       1.3   1.2e+02   -0.0   0.0    36   213   136   165   127   177 0.58 -
40115at50557_7370_0:002473|STRG.851.2:242-1281|+       -            265 27737at50557         -            506   8.8e-05   20.2   0.2   4   5      0.33        31    1.9   0.0   186   218   181   213   175   221 0.87 -
40115at50557_7370_0:002473|STRG.851.2:242-1281|+       -            265 27737at50557         -            506   8.8e-05   20.2   0.2   5   5       2.1   1.9e+02   -0.7   0.0    39    74   228   262   223   265 0.76 -
71739at50557_103372_0:00145d|STRG.6295.1:109-1086|+    -            326 27737at50557         -            506   0.00015   19.5   0.0   1   3       6.6   6.2e+02   -2.4   0.0   187   214    59    86    52    95 0.81 -
71739at50557_103372_0:00145d|STRG.6295.1:109-1086|+    -            326 27737at50557         -            506   0.00015   19.5   0.0   2   3     8e-06   0.00075   17.2   0.0    44   108   160   230   148   248 0.78 -
71739at50557_103372_0:00145d|STRG.6295.1:109-1086|+    -            326 27737at50557         -            506   0.00015   19.5   0.0   3   3       4.9   4.6e+02   -1.9   0.0   184   210   290   316   264   319 0.79 -
33043at50557_454923_0:001231|STRG.11504.1:3494-4864|+  -            457 27737at50557         -            506   0.00038   18.1   1.8   1   5       1.3   1.2e+02   -0.0   0.0    31    59     1    30     1    37 0.84 -
33043at50557_454923_0:001231|STRG.11504.1:3494-4864|+  -            457 27737at50557         -            506   0.00038   18.1   1.8   2   5      0.21        19    2.6   0.0   185   218    90   123    84   139 0.90 -
33043at50557_454923_0:001231|STRG.11504.1:3494-4864|+  -            457 27737at50557         -            506   0.00038   18.1   1.8   3   5       5.5   5.1e+02   -2.1   0.0    34    58   130   154   127   159 0.79 -
33043at50557_454923_0:001231|STRG.11504.1:3494-4864|+  -            457 27737at50557         -            506   0.00038   18.1   1.8   4   5       1.5   1.4e+02   -0.2   0.0   182   216   222   256   208   271 0.80 -
33043at50557_454923_0:001231|STRG.11504.1:3494-4864|+  -            457 27737at50557         -            506   0.00038   18.1   1.8   5   5    0.0043       0.4    8.2   0.1    31    96   341   414   326   425 0.58 -
31374at50557_133901_0:001035|STRG.14278.2:1079-2605|+  -            509 27737at50557         -            506   0.00039   18.1   0.0   1   3     0.018       1.7    6.1   0.0   185   222   354   391   348   396 0.90 -
31374at50557_133901_0:001035|STRG.14278.2:1079-2605|+  -            509 27737at50557         -            506   0.00039   18.1   0.0   2   3     0.092       8.7    3.8   0.0   185   215   396   426   392   431 0.88 -
31374at50557_133901_0:001035|STRG.14278.2:1079-2605|+  -            509 27737at50557         -            506   0.00039   18.1   0.0   3   3     0.071       6.7    4.1   0.0    31    65   432   467   428   477 0.86 -
31374at50557_133901_0:001035|STRG.14278.1:1137-2681|+  -            515 27737at50557         -            506   0.00041   18.0   0.0   1   3     0.015       1.4    6.4   0.0   185   223   360   398   354   404 0.89 -
31374at50557_133901_0:001035|STRG.14278.1:1137-2681|+  -            515 27737at50557         -            506   0.00041   18.0   0.0   2   3     0.094       8.8    3.7   0.0   185   215   402   432   398   437 0.88 -
31374at50557_133901_0:001035|STRG.14278.1:1137-2681|+  -            515 27737at50557         -            506   0.00041   18.0   0.0   3   3     0.059       5.5    4.4   0.0    31    65   438   473   421   483 0.86 -
31374at50557_133901_0:001035|STRG.14278.3:356-1900|+   -            515 27737at50557         -            506   0.00041   18.0   0.0   1   3     0.015       1.4    6.4   0.0   185   223   360   398   354   404 0.89 -
31374at50557_133901_0:001035|STRG.14278.3:356-1900|+   -            515 27737at50557         -            506   0.00041   18.0   0.0   2   3     0.094       8.8    3.7   0.0   185   215   402   432   398   437 0.88 -
31374at50557_133901_0:001035|STRG.14278.3:356-1900|+   -            515 27737at50557         -            506   0.00041   18.0   0.0   3   3     0.059       5.5    4.4   0.0    31    65   438   473   421   483 0.86 -
40115at50557_77166_0:00051d|STRG.8742.2:0-308|+        -            103 27737at50557         -            506   0.00052   17.7   0.0   1   2      0.02       1.8    6.0   0.0    47   103     7    69     2    76 0.54 -
40115at50557_77166_0:00051d|STRG.8742.2:0-308|+        -            103 27737at50557         -            506   0.00052   17.7   0.0   2   2    0.0007     0.066   10.8   0.0   176   207    71   102    69   103 0.87 -
25500at50557_121845_0:000041|STRG.12145.1:349-1062|+   -            238 27737at50557         -            506    0.0008   17.1   0.2   1   2      0.53        50    1.3   0.1    31    78    41    89    22    99 0.71 -
