#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
119324at50557_609295_0:001eaf|STRG.2587.1:201-710|+   -            170 119324at50557        -            141   1.5e-83  276.8   5.5   1   1   1.1e-85   1.8e-83  276.5   5.5     1   141     1   154     1   154 0.97 -
119324at50557_43041_0:001074|STRG.16177.2:403-873|+   -            157 119324at50557        -            141     1e-10   40.7   0.2   1   1     3e-12   4.9e-10   38.5   0.2    43   138    46   151     7   154 0.78 -
119324at50557_319348_0:001162|STRG.6326.1:156-1615|+  -            167 119324at50557        -            141   3.3e-10   39.1   0.1   1   1   2.7e-12   4.5e-10   38.6   0.1    49   133    50   137    32   140 0.84 -
119324at50557_516756_0:001c87|STRG.3941.1:1775-2137|+ -            121 119324at50557        -            141     3e-09   36.0   0.6   1   1     2e-11   3.2e-09   35.8   0.6    32   108     2    78     1   107 0.87 -
119324at50557_516756_0:001c87|STRG.3941.3:3211-3573|+ -            121 119324at50557        -            141     3e-09   36.0   0.6   1   1     2e-11   3.2e-09   35.8   0.6    32   108     2    78     1   107 0.87 -
119324at50557_516756_0:001c87|STRG.3941.4:3164-3526|+ -            121 119324at50557        -            141     3e-09   36.0   0.6   1   1     2e-11   3.2e-09   35.8   0.6    32   108     2    78     1   107 0.87 -
119324at50557_79782_0:002ece|STRG.8266.1:116-535|+    -            140 119324at50557        -            141   4.7e-09   35.3   0.8   1   1   1.6e-10   2.7e-08   32.9   0.8    14   140     5   140     1   140 0.82 -
119324at50557_79782_0:002ece|STRG.8266.2:88-507|+     -            140 119324at50557        -            141   4.7e-09   35.3   0.8   1   1   1.6e-10   2.7e-08   32.9   0.8    14   140     5   140     1   140 0.82 -
119324at50557_454923_0:001f56|STRG.6209.4:201-500|+   -            100 119324at50557        -            141   2.7e-08   32.9   0.3   1   1   2.6e-09   4.2e-07   29.0   0.3    62   109     2    48     1    96 0.85 -
119324at50557_54969_0:002fed|STRG.6209.3:655-972|+    -            106 119324at50557        -            141   2.8e-08   32.8   0.1   1   1   2.7e-10   4.4e-08   32.1   0.1    46   109    20    82     9    90 0.89 -
112578at50557_88501_0:001fa9|STRG.13753.1:546-1040|+  -            165 119324at50557        -            141   1.6e-07   30.3   0.9   1   1   2.1e-09   3.4e-07   29.3   0.9    11   140    23   165    18   165 0.72 -
112578at50557_88501_0:001fa9|STRG.13753.2:546-1040|+  -            165 119324at50557        -            141   1.6e-07   30.3   0.9   1   1   2.1e-09   3.4e-07   29.3   0.9    11   140    23   165    18   165 0.72 -
112578at50557_29031_0:0005ec|STRG.4448.2:175-561|+    -            129 119324at50557        -            141     5e-07   28.7   0.7   1   1   2.1e-08   3.5e-06   26.0   0.7    19   140     8   129     3   129 0.78 -
119324at50557_28612_0:006210|STRG.14416.1:978-1307|+  -            110 119324at50557        -            141     7e-07   28.2   0.0   1   1   4.6e-09   7.5e-07   28.2   0.0    47   105    52   109    15   110 0.91 -
119324at50557_28612_0:006210|STRG.14416.2:678-1007|+  -            110 119324at50557        -            141     7e-07   28.2   0.0   1   1   4.6e-09   7.5e-07   28.2   0.0    47   105    52   109    15   110 0.91 -
119324at50557_319348_0:001162|STRG.644.2:72-593|+     -            174 119324at50557        -            141   3.8e-06   25.9   0.2   1   2     2e-06   0.00033   19.6   0.0    33   107    46   121    15   137 0.87 -
119324at50557_319348_0:001162|STRG.644.2:72-593|+     -            174 119324at50557        -            141   3.8e-06   25.9   0.2   2   2     0.077        13    4.7   0.1    44    75   141   173   132   174 0.78 -
119324at50557_319348_0:001162|STRG.10214.1:316-642|+  -            109 119324at50557        -            141   2.2e-05   23.4   0.7   1   2   7.9e-07   0.00013   20.9   0.8    51   140     1   100     1   101 0.74 -
119324at50557_319348_0:001162|STRG.10214.1:316-642|+  -            109 119324at50557        -            141   2.2e-05   23.4   0.7   2   2      0.18        30    3.5   0.0    93   107    87   101    80   108 0.73 -
119324at50557_319348_0:001162|STRG.10214.2:316-642|+  -            109 119324at50557        -            141   2.2e-05   23.4   0.7   1   2   7.9e-07   0.00013   20.9   0.8    51   140     1   100     1   101 0.74 -
119324at50557_319348_0:001162|STRG.10214.2:316-642|+  -            109 119324at50557        -            141   2.2e-05   23.4   0.7   2   2      0.18        30    3.5   0.0    93   107    87   101    80   108 0.73 -
119324at50557_319348_0:001162|STRG.9178.1:667-1080|+  -            138 119324at50557        -            141   3.6e-05   22.7   2.2   1   1     4e-07   6.5e-05   21.9   2.2    25   141     9   131     1   131 0.70 -
119324at50557_319348_0:001162|STRG.9178.2:458-871|+   -            138 119324at50557        -            141   3.6e-05   22.7   2.2   1   1     4e-07   6.5e-05   21.9   2.2    25   141     9   131     1   131 0.70 -
119324at50557_1218281_0:003071|STRG.12011.2:328-639|+ -            104 119324at50557        -            141   3.9e-05   22.6   1.7   1   1   2.9e-07   4.7e-05   22.3   1.7    51   139     1    90     1    92 0.84 -
57153at50557_7244_0:001c0f|STRG.4923.1:306-1430|+     -            375 119324at50557        -            141   0.00051   19.0   1.9   1   3     0.014       2.3    7.2   0.0    24    70    51    99    30   116 0.77 -
57153at50557_7244_0:001c0f|STRG.4923.1:306-1430|+     -            375 119324at50557        -            141   0.00051   19.0   1.9   2   3       3.3   5.4e+02   -0.6   0.0    52    70   210   231   195   257 0.71 -
57153at50557_7244_0:001c0f|STRG.4923.1:306-1430|+     -            375 119324at50557        -            141   0.00051   19.0   1.9   3   3    0.0027      0.44    9.5   0.1    46    70   341   365   285   369 0.62 -
119324at50557_29053_0:0019d1|STRG.7022.1:972-1292|+   -            107 119324at50557        -            141   0.00061   18.7   0.2   1   1   1.1e-05    0.0019   17.2   0.2    79   139    35   106     2   107 0.66 -
119324at50557_29053_0:0019d1|STRG.7022.2:657-977|+    -            107 119324at50557        -            141   0.00061   18.7   0.2   1   1   1.1e-05    0.0019   17.2   0.2    79   139    35   106     2   107 0.66 -
119324at50557_1155016_0:001688|STRG.10228.1:388-816|+ -            143 119324at50557        -            141    0.0016   17.4   0.5   1   1   6.9e-05     0.011   14.6   0.4    40   141    35   140     6   140 0.65 -
119324at50557_1155016_0:001688|STRG.3026.1:649-1029|+ -            127 119324at50557        -            141    0.0027   16.6   1.2   1   1   2.6e-05    0.0042   16.0   1.2    21   139     1   126     1   127 0.78 -
119324at50557_1155016_0:001688|STRG.3026.2:645-1025|+ -            127 119324at50557        -            141    0.0027   16.6   1.2   1   1   2.6e-05    0.0042   16.0   1.2    21   139     1   126     1   127 0.78 -
119324at50557_1155016_0:001688|STRG.10228.2:533-919|+ -            129 119324at50557        -            141    0.0072   15.3   0.1   1   1   5.7e-05    0.0093   14.9   0.1    61   141    43   126     1   126 0.65 -
112578at50557_113334_0:002156|STRG.1707.2:125-418|+   -             98 119324at50557        -            141      0.03   13.2   0.0   1   1   0.00048     0.078   11.9   0.0    86   141    30    89    24    89 0.71 -
112578at50557_113334_0:002156|STRG.1707.8:126-419|+   -             98 119324at50557        -            141      0.03   13.2   0.0   1   1   0.00048     0.078   11.9   0.0    86   141    30    89    24    89 0.71 -
57153at50557_39758_0:003c84|STRG.4923.3:473-1009|+    -            179 119324at50557        -            141     0.033   13.1   1.5   1   3       2.8   4.7e+02   -0.3   0.0    52    71     7    29     4    37 0.70 -
57153at50557_39758_0:003c84|STRG.4923.3:473-1009|+    -            179 119324at50557        -            141     0.033   13.1   1.5   2   3   0.00087      0.14   11.0   0.1   115   141   136   162    76   163 0.60 -
57153at50557_39758_0:003c84|STRG.4923.3:473-1009|+    -            179 119324at50557        -            141     0.033   13.1   1.5   3   3    0.0014      0.22   10.4   0.1    46    71   138   163   118   175 0.81 -
90505at50557_307658_0:00256e|STRG.9198.1:4-1356|+     -            451 119324at50557        -            141     0.058   12.3   0.1   1   2       7.7   1.3e+03   -1.7   0.0    85   106   173   194   142   200 0.72 -
90505at50557_307658_0:00256e|STRG.9198.1:4-1356|+     -            451 119324at50557        -            141     0.058   12.3   0.1   2   2    0.0013      0.21   10.5   0.0    60   102   322   363   279   390 0.85 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/119324at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/119324at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/119324at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:22:14 2024
# [ok]
