#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
22348at50557_411798_0:00330e|STRG.16157.1:2-1048|+     -            349 22348at50557         -            571  1.2e-201  669.8  14.5   1   1  1.3e-202  4.8e-200  664.6  14.5   262   571     1   340     1   340 0.95 -
8602at50557_1218281_0:002946|STRG.13563.1:1-711|+      -            237 22348at50557         -            571   2.5e-22   77.8   0.0   1   1     9e-25   3.3e-22   77.4   0.0   390   517    16   148     4   182 0.87 -
31793at50557_7004_0:0042c4|STRG.14845.1:1925-2752|+    -            276 22348at50557         -            571   2.7e-22   77.7   0.4   1   1   9.3e-25   3.4e-22   77.3   0.4   271   519     5   272     2   275 0.81 -
31793at50557_7004_0:0042c4|STRG.14849.1:964-1785|+     -            274 22348at50557         -            571   8.1e-19   66.2   0.3   1   1   2.7e-21     1e-18   65.9   0.3   272   515     6   268     2   272 0.82 -
31793at50557_7004_0:0042c4|STRG.14846.2:916-1668|+     -            251 22348at50557         -            571   1.7e-18   65.1   0.8   1   1   5.5e-21     2e-18   64.9   0.8   272   495     6   251     2   251 0.82 -
31793at50557_7004_0:0042c4|STRG.14846.3:933-1685|+     -            251 22348at50557         -            571   1.7e-18   65.1   0.8   1   1   5.5e-21     2e-18   64.9   0.8   272   495     6   251     2   251 0.82 -
31793at50557_307491_0:003733|STRG.9416.1:896-1765|+    -            290 22348at50557         -            571   2.1e-16   58.2   0.2   1   1   7.3e-19   2.7e-16   57.9   0.2   272   495    35   286    28   290 0.78 -
31793at50557_7004_0:0042c4|STRG.6242.1:253-1083|+      -            277 22348at50557         -            571   4.5e-16   57.1   0.7   1   1   1.9e-18   6.9e-16   56.5   0.7   270   500    17   275     8   277 0.73 -
31793at50557_7004_0:0042c4|STRG.6242.2:456-1286|+      -            277 22348at50557         -            571   4.5e-16   57.1   0.7   1   1   1.9e-18   6.9e-16   56.5   0.7   270   500    17   275     8   277 0.73 -
22348at50557_168631_0:001c73|STRG.5472.1:761-1099|+    -            113 22348at50557         -            571   2.3e-14   51.5   0.2   1   1   6.7e-17   2.4e-14   51.4   0.2   392   495     9   113     1   113 0.83 -
31793at50557_1049336_0:002448|STRG.14845.2:1313-1813|+ -            167 22348at50557         -            571   1.3e-09   35.8   0.0   1   1   3.9e-12   1.4e-09   35.7   0.0   336   488     3   167     1   167 0.74 -
31793at50557_456900_0:001971|STRG.9418.1:707-2494|+    -            596 22348at50557         -            571   9.3e-07   26.4   0.0   1   1   3.5e-09   1.3e-06   25.9   0.0   272   500    42   285    35   313 0.77 -
31793at50557_56086_0:002cb4|STRG.14846.1:1673-2225|+   -            176 22348at50557         -            571     3e-06   24.7   0.0   1   1   9.4e-09   3.5e-06   24.5   0.0   308   454    16   174     7   176 0.79 -
22348at50557_123851_0:0033f4|STRG.4643.1:1516-2100|+   -            195 22348at50557         -            571   1.6e-05   22.3   2.3   1   2   9.5e-05     0.035   11.3   0.6   104   141     4    41     1    85 0.82 -
22348at50557_123851_0:0033f4|STRG.4643.1:1516-2100|+   -            195 22348at50557         -            571   1.6e-05   22.3   2.3   2   2   0.00011     0.042   11.0   0.0   193   221   114   142   107   181 0.68 -
31793at50557_1049336_0:002448|STRG.6995.1:35-364|+     -            110 22348at50557         -            571   1.7e-05   22.2   0.0   1   1   5.3e-08     2e-05   22.0   0.0   401   488    16   110    10   110 0.75 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/22348at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/22348at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/22348at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:24:47 2024
# [ok]
