#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
54603at50557_103372_0:00290d|STRG.13380.1:75-1919|+    -            615 54603at50557         -            483  5.8e-232  769.4  24.3   1   1  1.1e-233  7.4e-232  769.0  24.3     1   481    96   613    96   615 0.95 -
25718at50557_7160_0:003d21|STRG.16689.3:1478-4414|+    -            979 54603at50557         -            483   9.7e-55  184.9  56.1   5   9   0.00023     0.016   12.7   2.1    41   139   317   428   316   431 0.76 -
25718at50557_7160_0:003d21|STRG.16689.3:1478-4414|+    -            979 54603at50557         -            483   9.7e-55  184.9  56.1   6   9   2.6e-07   1.8e-05   22.5   2.8   331   420   412   506   364   512 0.65 -
25718at50557_7160_0:003d21|STRG.16689.3:1478-4414|+    -            979 54603at50557         -            483   9.7e-55  184.9  56.1   7   9   0.00019     0.013   13.0   0.4   271   307   513   549   508   553 0.93 -
25718at50557_7160_0:003d21|STRG.16689.3:1478-4414|+    -            979 54603at50557         -            483   9.7e-55  184.9  56.1   8   9   1.7e-15   1.1e-13   49.5   7.3    46   218   571   764   565   790 0.63 -
25718at50557_7160_0:003d21|STRG.16689.3:1478-4414|+    -            979 54603at50557         -            483   9.7e-55  184.9  56.1   9   9   1.9e-13   1.3e-11   42.7   5.4    55   180   799   939   779   957 0.82 -
25718at50557_7493_0:0009f9|STRG.16686.1:516-3803|+     -           1096 54603at50557         -            483   2.3e-52  177.1  51.3   1   6   8.5e-06   0.00058   17.5   0.3   335   427     6   104     2   107 0.81 -
25718at50557_7493_0:0009f9|STRG.16686.1:516-3803|+     -           1096 54603at50557         -            483   2.3e-52  177.1  51.3   2   6   3.7e-18   2.5e-16   58.2   6.6    59   323    79   347    77   350 0.81 -
25718at50557_7493_0:0009f9|STRG.16686.1:516-3803|+     -           1096 54603at50557         -            483   2.3e-52  177.1  51.3   3   6   1.7e-07   1.1e-05   23.1   4.6   294   420   398   536   393   539 0.76 -
25718at50557_7493_0:0009f9|STRG.16686.1:516-3803|+     -           1096 54603at50557         -            483   2.3e-52  177.1  51.3   4   6   0.00095     0.065   10.7   0.1   271   311   543   583   537   588 0.94 -
25718at50557_7493_0:0009f9|STRG.16686.1:516-3803|+     -           1096 54603at50557         -            483   2.3e-52  177.1  51.3   5   6   2.5e-13   1.7e-11   42.3   3.5    55   200   610   772   584   772 0.61 -
25718at50557_7493_0:0009f9|STRG.16686.1:516-3803|+     -           1096 54603at50557         -            483   2.3e-52  177.1  51.3   6   6   4.9e-13   3.3e-11   41.3   3.5    43   180   814   969   798   987 0.83 -
54603at50557_7070_0:002ddb|STRG.314.1:171-1352|+       -            394 54603at50557         -            483   1.6e-51  174.3  16.6   1   4   8.8e-14     6e-12   43.8   0.2   108   206    11   121     3   125 0.81 -
54603at50557_7070_0:002ddb|STRG.314.1:171-1352|+       -            394 54603at50557         -            483   1.6e-51  174.3  16.6   2   4   2.6e-15   1.7e-13   48.9   0.2    55   139   120   204   117   206 0.95 -
54603at50557_7070_0:002ddb|STRG.314.1:171-1352|+       -            394 54603at50557         -            483   1.6e-51  174.3  16.6   3   4   5.6e-14   3.8e-12   44.4   0.4   334   434   191   293   191   299 0.94 -
54603at50557_7070_0:002ddb|STRG.314.1:171-1352|+       -            394 54603at50557         -            483   1.6e-51  174.3  16.6   4   4   1.5e-18   9.9e-17   59.6   3.8   335   438   284   389   284   392 0.94 -
54603at50557_7070_0:002ddb|STRG.314.2:171-1352|+       -            394 54603at50557         -            483   1.6e-51  174.3  16.6   1   4   8.8e-14     6e-12   43.8   0.2   108   206    11   121     3   125 0.81 -
54603at50557_7070_0:002ddb|STRG.314.2:171-1352|+       -            394 54603at50557         -            483   1.6e-51  174.3  16.6   2   4   2.6e-15   1.7e-13   48.9   0.2    55   139   120   204   117   206 0.95 -
54603at50557_7070_0:002ddb|STRG.314.2:171-1352|+       -            394 54603at50557         -            483   1.6e-51  174.3  16.6   3   4   5.6e-14   3.8e-12   44.4   0.4   334   434   191   293   191   299 0.94 -
54603at50557_7070_0:002ddb|STRG.314.2:171-1352|+       -            394 54603at50557         -            483   1.6e-51  174.3  16.6   4   4   1.5e-18   9.9e-17   59.6   3.8   335   438   284   389   284   392 0.94 -
54603at50557_7070_0:002ddb|STRG.314.3:73-1254|+        -            394 54603at50557         -            483   1.6e-51  174.3  16.6   1   4   8.8e-14     6e-12   43.8   0.2   108   206    11   121     3   125 0.81 -
54603at50557_7070_0:002ddb|STRG.314.3:73-1254|+        -            394 54603at50557         -            483   1.6e-51  174.3  16.6   2   4   2.6e-15   1.7e-13   48.9   0.2    55   139   120   204   117   206 0.95 -
54603at50557_7070_0:002ddb|STRG.314.3:73-1254|+        -            394 54603at50557         -            483   1.6e-51  174.3  16.6   3   4   5.6e-14   3.8e-12   44.4   0.4   334   434   191   293   191   299 0.94 -
54603at50557_7070_0:002ddb|STRG.314.3:73-1254|+        -            394 54603at50557         -            483   1.6e-51  174.3  16.6   4   4   1.5e-18   9.9e-17   59.6   3.8   335   438   284   389   284   392 0.94 -
54603at50557_7070_0:002ddb|STRG.314.4:33-1214|+        -            394 54603at50557         -            483   1.6e-51  174.3  16.6   1   4   8.8e-14     6e-12   43.8   0.2   108   206    11   121     3   125 0.81 -
54603at50557_7070_0:002ddb|STRG.314.4:33-1214|+        -            394 54603at50557         -            483   1.6e-51  174.3  16.6   2   4   2.6e-15   1.7e-13   48.9   0.2    55   139   120   204   117   206 0.95 -
54603at50557_7070_0:002ddb|STRG.314.4:33-1214|+        -            394 54603at50557         -            483   1.6e-51  174.3  16.6   3   4   5.6e-14   3.8e-12   44.4   0.4   334   434   191   293   191   299 0.94 -
54603at50557_7070_0:002ddb|STRG.314.4:33-1214|+        -            394 54603at50557         -            483   1.6e-51  174.3  16.6   4   4   1.5e-18   9.9e-17   59.6   3.8   335   438   284   389   284   392 0.94 -
25718at50557_29031_0:000108|STRG.16689.5:130-2838|+    -            903 54603at50557         -            483   8.9e-49  165.3  50.8   1   7    0.0058       0.4    8.1   0.1    82   116    22    57     1    65 0.79 -
25718at50557_29031_0:000108|STRG.16689.5:130-2838|+    -            903 54603at50557         -            483   8.9e-49  165.3  50.8   2   7   1.5e-14     1e-12   46.3   1.8   271   433    70   241    61   261 0.83 -
25718at50557_29031_0:000108|STRG.16689.5:130-2838|+    -            903 54603at50557         -            483   8.9e-49  165.3  50.8   3   7   0.00032     0.022   12.3   2.3    43   139   218   327   216   330 0.75 -
25718at50557_29031_0:000108|STRG.16689.5:130-2838|+    -            903 54603at50557         -            483   8.9e-49  165.3  50.8   4   7   3.1e-07   2.1e-05   22.2   1.4   334   420   314   405   308   411 0.81 -
25718at50557_29031_0:000108|STRG.16689.5:130-2838|+    -            903 54603at50557         -            483   8.9e-49  165.3  50.8   5   7   0.00014    0.0097   13.4   0.3   271   307   412   448   404   453 0.93 -
25718at50557_29031_0:000108|STRG.16689.5:130-2838|+    -            903 54603at50557         -            483   8.9e-49  165.3  50.8   6   7     2e-15   1.4e-13   49.2   7.8    46   220   470   665   466   693 0.65 -
25718at50557_29031_0:000108|STRG.16689.5:130-2838|+    -            903 54603at50557         -            483   8.9e-49  165.3  50.8   7   7   1.6e-13   1.1e-11   42.9   5.3    55   180   698   838   678   856 0.82 -
54603at50557_116153_0:001d7a|STRG.11923.7:495-1970|+   -            492 54603at50557         -            483   4.2e-48  163.0  39.8   1   5   2.4e-17   1.6e-15   55.5   8.9   329   424    19   116     2   118 0.86 -
54603at50557_116153_0:001d7a|STRG.11923.7:495-1970|+   -            492 54603at50557         -            483   4.2e-48  163.0  39.8   2   5     4e-08   2.7e-06   25.1   0.2    67   120   103   156   102   163 0.95 -
54603at50557_116153_0:001d7a|STRG.11923.7:495-1970|+   -            492 54603at50557         -            483   4.2e-48  163.0  39.8   3   5   6.2e-14   4.3e-12   44.3   4.7   337   435   164   264   157   275 0.90 -
54603at50557_116153_0:001d7a|STRG.11923.7:495-1970|+   -            492 54603at50557         -            483   4.2e-48  163.0  39.8   4   5   1.3e-15   9.2e-14   49.8   0.7    28   146   334   455   324   456 0.88 -
54603at50557_116153_0:001d7a|STRG.11923.7:495-1970|+   -            492 54603at50557         -            483   4.2e-48  163.0  39.8   5   5   1.3e-12   9.1e-11   39.9   4.0   336   433   391   491   390   492 0.92 -
8280at50557_609295_0:000daa|STRG.5183.1:211-3645|+     -           1145 54603at50557         -            483   8.8e-45  152.1  51.6   1   8   2.1e-10   1.4e-08   32.6   2.2    61   199    83   235    58   254 0.61 -
8280at50557_609295_0:000daa|STRG.5183.1:211-3645|+     -           1145 54603at50557         -            483   8.8e-45  152.1  51.6   2   8   6.4e-09   4.4e-07   27.8   1.5    39   139   246   352   238   356 0.63 -
8280at50557_609295_0:000daa|STRG.5183.1:211-3645|+     -           1145 54603at50557         -            483   8.8e-45  152.1  51.6   3   8   0.00012    0.0081   13.7   0.0   270   326   365   421   355   423 0.90 -
8280at50557_609295_0:000daa|STRG.5183.1:211-3645|+     -           1145 54603at50557         -            483   8.8e-45  152.1  51.6   4   8   1.1e-11   7.3e-10   36.9   0.8   273   416   416   575   413   579 0.82 -
8280at50557_609295_0:000daa|STRG.5183.1:211-3645|+     -           1145 54603at50557         -            483   8.8e-45  152.1  51.6   5   8   0.00033     0.022   12.2   0.3   102   197   583   692   576   695 0.49 -
8280at50557_609295_0:000daa|STRG.5183.1:211-3645|+     -           1145 54603at50557         -            483   8.8e-45  152.1  51.6   6   8   1.9e-13   1.3e-11   42.6   7.1   278   459   688   885   686   890 0.60 -
8280at50557_609295_0:000daa|STRG.5183.1:211-3645|+     -           1145 54603at50557         -            483   8.8e-45  152.1  51.6   7   8   5.3e-08   3.6e-06   24.7  10.3   252   433   780   968   779   996 0.76 -
8280at50557_609295_0:000daa|STRG.5183.1:211-3645|+     -           1145 54603at50557         -            483   8.8e-45  152.1  51.6   8   8       3.1   2.1e+02   -0.9   0.1   105   118  1088  1100  1018  1114 0.56 -
54603at50557_88501_0:001520|STRG.3757.1:27-1118|+      -            364 54603at50557         -            483   8.5e-42  142.2  58.2   1   3   2.9e-18     2e-16   58.6  17.3    53   226    20   211    16   214 0.84 -
54603at50557_88501_0:001520|STRG.3757.1:27-1118|+      -            364 54603at50557         -            483   8.5e-42  142.2  58.2   2   3   6.5e-18   4.5e-16   57.4  17.2   272   437   121   295   116   301 0.91 -
54603at50557_88501_0:001520|STRG.3757.1:27-1118|+      -            364 54603at50557         -            483   8.5e-42  142.2  58.2   3   3   9.7e-17   6.7e-15   53.5   7.7   269   410   214   363   212   364 0.57 -
7376at50557_121225_0:001986|STRG.9363.1:876-3260|+     -            795 54603at50557         -            483   4.4e-39  133.3  36.1   1   7    0.0078      0.53    7.7   0.0    79   121    16    59     9    65 0.80 -
7376at50557_121225_0:001986|STRG.9363.1:876-3260|+     -            795 54603at50557         -            483   4.4e-39  133.3  36.1   2   7   2.6e-07   1.8e-05   22.4   0.2    76   138    65   129    59   130 0.88 -
7376at50557_121225_0:001986|STRG.9363.1:876-3260|+     -            795 54603at50557         -            483   4.4e-39  133.3  36.1   3   7   5.1e-22   3.5e-20   71.0  11.2    56   306   116   372   112   375 0.83 -
7376at50557_121225_0:001986|STRG.9363.1:876-3260|+     -            795 54603at50557         -            483   4.4e-39  133.3  36.1   4   7     1e-07   6.9e-06   23.8   0.4   356   415   359   420   358   427 0.92 -
7376at50557_121225_0:001986|STRG.9363.1:876-3260|+     -            795 54603at50557         -            483   4.4e-39  133.3  36.1   5   7   0.00011    0.0078   13.7   1.1   229   308   437   514   422   519 0.90 -
7376at50557_121225_0:001986|STRG.9363.1:876-3260|+     -            795 54603at50557         -            483   4.4e-39  133.3  36.1   6   7   3.8e-05    0.0026   15.3   0.0   316   393   633   716   626   727 0.82 -
7376at50557_121225_0:001986|STRG.9363.1:876-3260|+     -            795 54603at50557         -            483   4.4e-39  133.3  36.1   7   7     0.006      0.41    8.0   0.1   271   309   727   765   719   780 0.72 -
8280at50557_103372_0:001996|STRG.2547.2:229-4275|+     -           1284 54603at50557         -            483   4.2e-38  130.0  63.3   1   5   3.5e-05    0.0024   15.4   0.5   347   427    65   149    56   151 0.84 -
8280at50557_103372_0:001996|STRG.2547.2:229-4275|+     -           1284 54603at50557         -            483   4.2e-38  130.0  63.3   2   5   1.7e-16   1.2e-14   52.7  20.3    40   418   126   536   121   537 0.74 -
8280at50557_103372_0:001996|STRG.2547.2:229-4275|+     -           1284 54603at50557         -            483   4.2e-38  130.0  63.3   3   5   1.4e-08   9.7e-07   26.6  19.1    58   414   321   680   311   688 0.69 -
8280at50557_103372_0:001996|STRG.2547.2:229-4275|+     -           1284 54603at50557         -            483   4.2e-38  130.0  63.3   4   5     1e-12   6.9e-11   40.3   5.9    81   222   727   888   724   895 0.81 -
8280at50557_103372_0:001996|STRG.2547.2:229-4275|+     -           1284 54603at50557         -            483   4.2e-38  130.0  63.3   5   5   7.8e-07   5.3e-05   20.9   3.8    62   149   926  1015   901  1057 0.79 -
8280at50557_103372_0:001996|STRG.2547.1:229-4152|+     -           1284 54603at50557         -            483   4.9e-38  129.8  63.1   1   5   3.4e-05    0.0023   15.5   0.5   347   427    65   149    56   151 0.84 -
8280at50557_103372_0:001996|STRG.2547.1:229-4152|+     -           1284 54603at50557         -            483   4.9e-38  129.8  63.1   2   5   1.8e-16   1.2e-14   52.7  20.3    40   418   126   536   121   537 0.74 -
8280at50557_103372_0:001996|STRG.2547.1:229-4152|+     -           1284 54603at50557         -            483   4.9e-38  129.8  63.1   3   5   9.7e-09   6.6e-07   27.2   7.2   266   414   516   680   503   685 0.71 -
8280at50557_103372_0:001996|STRG.2547.1:229-4152|+     -           1284 54603at50557         -            483   4.9e-38  129.8  63.1   4   5   1.2e-12   8.3e-11   40.0   6.2    81   222   727   888   724   895 0.81 -
8280at50557_103372_0:001996|STRG.2547.1:229-4152|+     -           1284 54603at50557         -            483   4.9e-38  129.8  63.1   5   5     7e-07   4.8e-05   21.0   2.6    69   148   933  1014   921  1035 0.74 -
25718at50557_34720_0:000a06|STRG.13990.2:3-4715|+      -           1559 54603at50557         -            483   2.2e-34  117.8  38.5   1   4   1.4e-05   0.00096   16.7   1.8   271   434    91   263    84   280 0.71 -
25718at50557_34720_0:000a06|STRG.13990.2:3-4715|+      -           1559 54603at50557         -            483   2.2e-34  117.8  38.5   2   4   1.9e-08   1.3e-06   26.2   0.6   270   416   280   442   257   445 0.78 -
25718at50557_34720_0:000a06|STRG.13990.2:3-4715|+      -           1559 54603at50557         -            483   2.2e-34  117.8  38.5   3   4     1e-09   6.8e-08   30.4   0.5   274   416   384   539   376   547 0.82 -
25718at50557_34720_0:000a06|STRG.13990.2:3-4715|+      -           1559 54603at50557         -            483   2.2e-34  117.8  38.5   4   4   5.5e-21   3.8e-19   67.5  18.5    59   414   546   943   539   946 0.81 -
25718at50557_166361_0:002b27|STRG.8501.1:497-3064|+    -            856 54603at50557         -            483   3.4e-32  110.5  38.6   1   6   3.3e-06   0.00022   18.8   0.8    92   199    54   162     7   163 0.81 -
25718at50557_166361_0:002b27|STRG.8501.1:497-3064|+    -            856 54603at50557         -            483   3.4e-32  110.5  38.6   2   6   3.8e-14   2.6e-12   45.0  10.5    40   230   126   342   119   342 0.82 -
25718at50557_166361_0:002b27|STRG.8501.1:497-3064|+    -            856 54603at50557         -            483   3.4e-32  110.5  38.6   3   6   5.7e-13   3.9e-11   41.1   6.6   271   438   197   378   191   381 0.59 -
25718at50557_166361_0:002b27|STRG.8501.1:497-3064|+    -            856 54603at50557         -            483   3.4e-32  110.5  38.6   4   6   3.8e-08   2.6e-06   25.2   0.4    81   155   342   426   340   430 0.81 -
25718at50557_166361_0:002b27|STRG.8501.1:497-3064|+    -            856 54603at50557         -            483   3.4e-32  110.5  38.6   5   6      0.15        10    3.4   0.2   270   308   528   566   522   574 0.90 -
25718at50557_166361_0:002b27|STRG.8501.1:497-3064|+    -            856 54603at50557         -            483   3.4e-32  110.5  38.6   6   6   5.7e-10   3.9e-08   31.2   0.8    40   173   687   822   679   831 0.85 -
25718at50557_29058_0:000d02|STRG.9394.1:951-3341|+     -            797 54603at50557         -            483   7.6e-31  106.1  41.1   1   7   8.9e-06   0.00061   17.4   3.6    40   137     3   111     2   112 0.77 -
25718at50557_29058_0:000d02|STRG.9394.1:951-3341|+     -            797 54603at50557         -            483   7.6e-31  106.1  41.1   2   7   5.3e-07   3.6e-05   21.4   2.8    54   137    97   185    89   189 0.83 -
25718at50557_29058_0:000d02|STRG.9394.1:951-3341|+     -            797 54603at50557         -            483   7.6e-31  106.1  41.1   3   7   0.00012    0.0084   13.6   0.0   270   307   199   236   192   244 0.90 -
25718at50557_29058_0:000d02|STRG.9394.1:951-3341|+     -            797 54603at50557         -            483   7.6e-31  106.1  41.1   4   7   1.4e-09   9.8e-08   29.9   1.7    56   139   245   330   238   334 0.87 -
25718at50557_29058_0:000d02|STRG.9394.1:951-3341|+     -            797 54603at50557         -            483   7.6e-31  106.1  41.1   5   7     6e-06   0.00041   17.9   0.7   341   415   324   402   321   434 0.80 -
25718at50557_29058_0:000d02|STRG.9394.1:951-3341|+     -            797 54603at50557         -            483   7.6e-31  106.1  41.1   6   7    0.0022      0.15    9.5   0.1   270   309   458   497   455   508 0.92 -
25718at50557_29058_0:000d02|STRG.9394.1:951-3341|+     -            797 54603at50557         -            483   7.6e-31  106.1  41.1   7   7   3.2e-06   0.00022   18.9   0.1    40   153   617   742   612   746 0.80 -
25718at50557_136037_0:000614|STRG.9366.1:1296-3854|+   -            853 54603at50557         -            483   4.3e-28   97.0  36.1   1   3     3e-08   2.1e-06   25.5   0.7   183   312    53   195    25   200 0.64 -
25718at50557_136037_0:000614|STRG.9366.1:1296-3854|+   -            853 54603at50557         -            483   4.3e-28   97.0  36.1   2   3   1.5e-18   1.1e-16   59.5  20.7    39   394   179   571   171   581 0.81 -
25718at50557_136037_0:000614|STRG.9366.1:1296-3854|+   -            853 54603at50557         -            483   4.3e-28   97.0  36.1   3   3   8.4e-08   5.7e-06   24.1   1.3    40   156   690   810   684   826 0.80 -
8280at50557_7160_0:00112a|STRG.4746.1:1047-2225|+      -            393 54603at50557         -            483   8.5e-28   96.1   8.1   1   3   3.8e-17   2.6e-15   54.9   0.0   278   418     8   160     2   163 0.86 -
8280at50557_7160_0:00112a|STRG.4746.1:1047-2225|+      -            393 54603at50557         -            483   8.5e-28   96.1   8.1   2   3   1.4e-08   9.5e-07   26.6   0.1    57   124   119   188   113   193 0.87 -
8280at50557_7160_0:00112a|STRG.4746.1:1047-2225|+      -            393 54603at50557         -            483   8.5e-28   96.1   8.1   3   3   2.8e-10   1.9e-08   32.3   1.8   268   389   166   297   163   305 0.84 -
83902at50557_13686_0:0017a1|STRG.4010.1:104-955|+      -            284 54603at50557         -            483   4.9e-25   86.9  19.5   1   2   1.4e-09   9.4e-08   30.0   2.9    40   140    32   136    11   140 0.61 -
83902at50557_13686_0:0017a1|STRG.4010.1:104-955|+      -            284 54603at50557         -            483   4.9e-25   86.9  19.5   2   2   9.6e-22   6.5e-20   70.1   8.9   264   425    48   217    40   229 0.89 -
83902at50557_319348_0:0019ae|STRG.12098.1:471-1037|+   -            189 54603at50557         -            483   5.1e-25   86.9   4.7   1   1   1.1e-26   7.8e-25   86.3   4.7   271   435     8   178     4   189 0.91 -
83902at50557_7165_0:002695|STRG.3052.2:220-708|+       -            163 54603at50557         -            483   7.5e-25   86.3   9.3   1   2   1.3e-14   8.9e-13   46.5   0.8    57   138    32   113    25   114 0.96 -
83902at50557_7165_0:002695|STRG.3052.2:220-708|+       -            163 54603at50557         -            483   7.5e-25   86.3   9.3   2   2   7.2e-16   4.9e-14   50.7   2.1   352   435    74   158    72   162 0.95 -
83902at50557_7165_0:002695|STRG.3052.1:167-679|+       -            171 54603at50557         -            483   8.6e-25   86.1   9.0   1   2   1.4e-14   9.6e-13   46.4   0.7    57   138    40   121    33   122 0.96 -
83902at50557_7165_0:002695|STRG.3052.1:167-679|+       -            171 54603at50557         -            483   8.6e-25   86.1   9.0   2   2   7.8e-16   5.3e-14   50.6   2.1   352   435    82   166    80   170 0.95 -
54603at50557_116153_0:001d7a|STRG.11923.6:915-1781|+   -            289 54603at50557         -            483   4.8e-24   83.7  13.4   1   3   2.1e-08   1.4e-06   26.1   0.4   379   435     5    61     2    81 0.86 -
54603at50557_116153_0:001d7a|STRG.11923.6:915-1781|+   -            289 54603at50557         -            483   4.8e-24   83.7  13.4   2   3   1.6e-06   0.00011   19.8   0.0   159   205   137   183   103   186 0.79 -
54603at50557_116153_0:001d7a|STRG.11923.6:915-1781|+   -            289 54603at50557         -            483   4.8e-24   83.7  13.4   3   3   4.4e-13     3e-11   41.5   4.0   336   433   188   288   185   289 0.92 -
83902at50557_568069_0:000a01|STRG.9403.1:484-1074|+    -            197 54603at50557         -            483   6.2e-24   83.3   9.3   1   2   2.1e-09   1.4e-07   29.4   0.8   337   434     2   102     1   107 0.94 -
83902at50557_568069_0:000a01|STRG.9403.1:484-1074|+    -            197 54603at50557         -            483   6.2e-24   83.3   9.3   2   2     2e-18   1.4e-16   59.1   2.2   344   435   102   195    99   197 0.91 -
109776at50557_69004_0:002548|STRG.9193.1:232-732|+     -            167 54603at50557         -            483   1.9e-23   81.7   6.6   1   2   1.5e-09     1e-07   29.9   0.2   368   425     8    66     1    70 0.77 -
109776at50557_69004_0:002548|STRG.9193.1:232-732|+     -            167 54603at50557         -            483   1.9e-23   81.7   6.6   2   2   9.3e-18   6.3e-16   56.9   1.7   330   434    61   167    59   167 0.93 -
109776at50557_69004_0:002548|STRG.9193.2:232-732|+     -            167 54603at50557         -            483   1.9e-23   81.7   6.6   1   2   1.5e-09     1e-07   29.9   0.2   368   425     8    66     1    70 0.77 -
109776at50557_69004_0:002548|STRG.9193.2:232-732|+     -            167 54603at50557         -            483   1.9e-23   81.7   6.6   2   2   9.3e-18   6.3e-16   56.9   1.7   330   434    61   167    59   167 0.93 -
8280at50557_121225_0:0005bf|STRG.1873.1:940-2799|+     -            620 54603at50557         -            483   5.6e-22   76.9  44.4   1   5     0.094       6.4    4.1   0.5   380   416     2    39     1    43 0.76 -
8280at50557_121225_0:0005bf|STRG.1873.1:940-2799|+     -            620 54603at50557         -            483   5.6e-22   76.9  44.4   2   5   1.8e-14   1.3e-12   46.0  12.5   271   429    49   222    37   225 0.84 -
8280at50557_121225_0:0005bf|STRG.1873.1:940-2799|+     -            620 54603at50557         -            483   5.6e-22   76.9  44.4   3   5   1.5e-07     1e-05   23.3   0.8   248   309   196   257   191   263 0.90 -
8280at50557_121225_0:0005bf|STRG.1873.1:940-2799|+     -            620 54603at50557         -            483   5.6e-22   76.9  44.4   4   5    0.0021      0.14    9.6   4.2   271   378   267   371   261   387 0.74 -
8280at50557_121225_0:0005bf|STRG.1873.1:940-2799|+     -            620 54603at50557         -            483   5.6e-22   76.9  44.4   5   5   7.2e-06   0.00049   17.7   1.1   301   381   497   586   492   600 0.79 -
109776at50557_13249_0:0026b7|STRG.11923.6:200-817|+    -            206 54603at50557         -            483   1.7e-21   75.3  15.8   1   2   6.5e-18   4.4e-16   57.4  11.2   274   421     7   164     3   166 0.76 -
109776at50557_13249_0:0026b7|STRG.11923.6:200-817|+    -            206 54603at50557         -            483   1.7e-21   75.3  15.8   2   2   2.1e-07   1.4e-05   22.7   0.1    72   119   159   206   157   206 0.93 -
109776at50557_13249_0:0026b7|STRG.11923.8:200-817|+    -            206 54603at50557         -            483   1.7e-21   75.3  15.8   1   2   6.5e-18   4.4e-16   57.4  11.2   274   421     7   164     3   166 0.76 -
109776at50557_13249_0:0026b7|STRG.11923.8:200-817|+    -            206 54603at50557         -            483   1.7e-21   75.3  15.8   2   2   2.1e-07   1.4e-05   22.7   0.1    72   119   159   206   157   206 0.93 -
8280at50557_121225_0:0005bf|STRG.7675.1:160-1965|+     -            602 54603at50557         -            483   6.2e-21   73.4  33.5   1   6   2.5e-07   1.7e-05   22.5   1.5    80   139    48   108     6   123 0.61 -
8280at50557_121225_0:0005bf|STRG.7675.1:160-1965|+     -            602 54603at50557         -            483   6.2e-21   73.4  33.5   2   6      0.18        12    3.2   1.0    11   138   151   285   143   286 0.68 -
