#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
76116at50557_456900_0:001c77|STRG.16314.1:0-1058|+    -            353 76116at50557         -            268  7.1e-142  470.0   1.4   1   1  6.5e-144  2.4e-141  468.3   1.4     1   259    38   327    38   347 0.90 -
78395at50557_113334_0:001f45|STRG.9164.2:438-1172|+   -            245 76116at50557         -            268   9.2e-11   40.1   0.0   1   2   6.1e-13   2.2e-10   38.9   0.0    12   169    29   191    17   227 0.75 -
78395at50557_113334_0:001f45|STRG.9164.2:438-1172|+   -            245 76116at50557         -            268   9.2e-11   40.1   0.0   2   2      0.61   2.2e+02   -0.5   0.0   169   197   216   244   184   245 0.66 -
76116at50557_597456_0:00067b|STRG.3754.1:1192-1731|+  -            180 76116at50557         -            268   7.3e-09   33.9   0.0   1   1   2.3e-11   8.4e-09   33.7   0.0     2   161    17   179    16   180 0.80 -
76116at50557_597456_0:00067b|STRG.3754.2:1276-1815|+  -            180 76116at50557         -            268   7.3e-09   33.9   0.0   1   1   2.3e-11   8.4e-09   33.7   0.0     2   161    17   179    16   180 0.80 -
76116at50557_597456_0:00067b|STRG.3754.3:585-1124|+   -            180 76116at50557         -            268   7.3e-09   33.9   0.0   1   1   2.3e-11   8.4e-09   33.7   0.0     2   161    17   179    16   180 0.80 -
76116at50557_597456_0:00067b|STRG.3754.4:562-1101|+   -            180 76116at50557         -            268   7.3e-09   33.9   0.0   1   1   2.3e-11   8.4e-09   33.7   0.0     2   161    17   179    16   180 0.80 -
76116at50557_597456_0:00067b|STRG.3754.5:253-792|+    -            180 76116at50557         -            268   7.3e-09   33.9   0.0   1   1   2.3e-11   8.4e-09   33.7   0.0     2   161    17   179    16   180 0.80 -
59039at50557_103372_0:001071|STRG.9641.1:101-2881|+   -            927 76116at50557         -            268   3.6e-06   25.1   0.0   1   2       2.9   1.1e+03   -2.7   0.0     3    23   295   315   294   320 0.66 -
59039at50557_103372_0:001071|STRG.9641.1:101-2881|+   -            927 76116at50557         -            268   3.6e-06   25.1   0.0   2   2   3.4e-08   1.2e-05   23.3   0.0    37   107   370   438   341   449 0.82 -
76116at50557_166361_0:00022f|STRG.5159.1:2376-3146|+  -            257 76116at50557         -            268   1.6e-05   22.9   0.1   1   2      0.01       3.8    5.3   0.0     2    26    16    41    15    49 0.85 -
76116at50557_166361_0:00022f|STRG.5159.1:2376-3146|+  -            257 76116at50557         -            268   1.6e-05   22.9   0.1   2   2   2.2e-05    0.0082   14.1   0.1    31   101    74   140    52   257 0.65 -
134311at50557_456900_0:0014cf|STRG.13744.1:354-812|+  -            153 76116at50557         -            268   0.00073   17.5   0.0   1   2   3.6e-06    0.0013   16.7   0.0    30    54     4    28     1    44 0.84 -
134311at50557_456900_0:0014cf|STRG.13744.1:354-812|+  -            153 76116at50557         -            268   0.00073   17.5   0.0   2   2       2.3   8.3e+02   -2.3   0.0   186   196    90   100    58   143 0.60 -
134311at50557_456900_0:0014cf|STRG.13744.2:352-876|+  -            175 76116at50557         -            268    0.0011   16.9   0.0   1   1   4.6e-06    0.0017   16.3   0.0    30    54     4    28     1    43 0.84 -
67606at50557_123851_0:003a23|STRG.6927.1:608-1330|+   -            241 76116at50557         -            268     0.019   12.9   0.4   1   3     0.002      0.72    7.7   0.1    36    57    14    35     9   102 0.77 -
67606at50557_123851_0:003a23|STRG.6927.1:608-1330|+   -            241 76116at50557         -            268     0.019   12.9   0.4   2   3      0.11        41    1.9   0.0   223   253   154   185   147   198 0.70 -
67606at50557_123851_0:003a23|STRG.6927.1:608-1330|+   -            241 76116at50557         -            268     0.019   12.9   0.4   3   3      0.57   2.1e+02   -0.4   0.0   145   185   192   232   180   235 0.79 -
59664at50557_51655_0:001795|STRG.6618.1:1642-3342|+   -            567 76116at50557         -            268     0.037   11.9   0.0   1   1   0.00017     0.063   11.2   0.0    31    94   169   232   152   239 0.79 -
59664at50557_51655_0:001795|STRG.6618.2:1560-3260|+   -            567 76116at50557         -            268     0.037   11.9   0.0   1   1   0.00017     0.063   11.2   0.0    31    94   169   232   152   239 0.79 -
78395at50557_69319_0:000edd|STRG.13421.1:1744-2541|+  -            266 76116at50557         -            268     0.047   11.6   0.4   1   2   0.00043      0.16    9.9   0.1    36    58    26    48     4   117 0.61 -
78395at50557_69319_0:000edd|STRG.13421.1:1744-2541|+  -            266 76116at50557         -            268     0.047   11.6   0.4   2   2       2.1   7.7e+02   -2.2   0.0   131   157   144   170   138   209 0.64 -
78395at50557_69319_0:000edd|STRG.13421.2:1795-2592|+  -            266 76116at50557         -            268     0.047   11.6   0.4   1   2   0.00043      0.16    9.9   0.1    36    58    26    48     4   117 0.61 -
78395at50557_69319_0:000edd|STRG.13421.2:1795-2592|+  -            266 76116at50557         -            268     0.047   11.6   0.4   2   2       2.1   7.7e+02   -2.2   0.0   131   157   144   170   138   209 0.64 -
67606at50557_224129_0:00052e|STRG.15728.1:1046-1723|+ -            226 76116at50557         -            268     0.093   10.6   0.0   1   1   0.00028       0.1   10.5   0.0    29    83    37    90    17   153 0.76 -
67606at50557_224129_0:00052e|STRG.15728.2:937-1614|+  -            226 76116at50557         -            268     0.093   10.6   0.0   1   1   0.00028       0.1   10.5   0.0    29    83    37    90    17   153 0.76 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/76116at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/76116at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/76116at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:30:13 2024
# [ok]
