#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
108301at50557_103372_0:000620|STRG.4728.1:293-1090|+  -            266 108301at50557        -            228  2.2e-106  353.4  12.7   1   1  1.6e-108  2.8e-106  353.0  12.7     1   227    13   266    13   266 0.97 -
35300at50557_103372_0:00201f|STRG.14775.1:433-3360|+  -            976 108301at50557        -            228   1.2e-50  171.0  26.2   3   6      0.37        65    1.8   0.0   111   137   318   344   308   360 0.74 -
35300at50557_103372_0:00201f|STRG.14775.1:433-3360|+  -            976 108301at50557        -            228   1.2e-50  171.0  26.2   4   6     2e-32   3.4e-30  104.1   4.0    45   153   463   571   437   604 0.88 -
35300at50557_103372_0:00201f|STRG.14775.1:433-3360|+  -            976 108301at50557        -            228   1.2e-50  171.0  26.2   5   6   8.3e-07   0.00015   20.3   0.1   107   165   729   787   696   815 0.87 -
35300at50557_103372_0:00201f|STRG.14775.1:433-3360|+  -            976 108301at50557        -            228   1.2e-50  171.0  26.2   6   6      0.52        91    1.3   0.1   118   175   852   904   835   930 0.76 -
35300at50557_103372_0:002ae9|STRG.9667.1:447-2210|+   -            588 108301at50557        -            228   2.2e-39  134.2  16.5   1   5   2.8e-31     5e-29  100.3   5.8    43   155    79   191    39   224 0.86 -
35300at50557_103372_0:002ae9|STRG.9667.1:447-2210|+   -            588 108301at50557        -            228   2.2e-39  134.2  16.5   2   5       3.2   5.6e+02   -1.3   0.0   126   163   294   331   267   339 0.81 -
35300at50557_103372_0:002ae9|STRG.9667.1:447-2210|+   -            588 108301at50557        -            228   2.2e-39  134.2  16.5   3   5   4.7e-08   8.3e-06   24.3   0.0    99   160   339   400   331   410 0.95 -
35300at50557_103372_0:002ae9|STRG.9667.1:447-2210|+   -            588 108301at50557        -            228   2.2e-39  134.2  16.5   4   5    0.0015      0.27    9.6   0.2   109   162   424   480   415   491 0.86 -
35300at50557_103372_0:002ae9|STRG.9667.1:447-2210|+   -            588 108301at50557        -            228   2.2e-39  134.2  16.5   5   5      0.15        26    3.1   0.1    62   111   522   569   498   577 0.80 -
35300at50557_103372_0:002ae9|STRG.9667.2:430-2193|+   -            588 108301at50557        -            228   2.2e-39  134.2  16.5   1   5   2.8e-31     5e-29  100.3   5.8    43   155    79   191    39   224 0.86 -
35300at50557_103372_0:002ae9|STRG.9667.2:430-2193|+   -            588 108301at50557        -            228   2.2e-39  134.2  16.5   2   5       3.2   5.6e+02   -1.3   0.0   126   163   294   331   267   339 0.81 -
35300at50557_103372_0:002ae9|STRG.9667.2:430-2193|+   -            588 108301at50557        -            228   2.2e-39  134.2  16.5   3   5   4.7e-08   8.3e-06   24.3   0.0    99   160   339   400   331   410 0.95 -
35300at50557_103372_0:002ae9|STRG.9667.2:430-2193|+   -            588 108301at50557        -            228   2.2e-39  134.2  16.5   4   5    0.0015      0.27    9.6   0.2   109   162   424   480   415   491 0.86 -
35300at50557_103372_0:002ae9|STRG.9667.2:430-2193|+   -            588 108301at50557        -            228   2.2e-39  134.2  16.5   5   5      0.15        26    3.1   0.1    62   111   522   569   498   577 0.80 -
35300at50557_103372_0:000db9|STRG.14779.1:438-2037|+  -            473 108301at50557        -            228   6.8e-37  126.0  15.1   1   4   6.3e-31   1.1e-28   99.2   5.7    50   152     3   105     1   107 0.97 -
35300at50557_103372_0:000db9|STRG.14779.1:438-2037|+  -            473 108301at50557        -            228   6.8e-37  126.0  15.1   2   4       3.4   5.9e+02   -1.4   0.0   123   160   147   184   122   193 0.79 -
35300at50557_103372_0:000db9|STRG.14779.1:438-2037|+  -            473 108301at50557        -            228   6.8e-37  126.0  15.1   3   4   4.3e-07   7.7e-05   21.2   0.0    98   159   194   255   165   261 0.90 -
35300at50557_103372_0:000db9|STRG.14779.1:438-2037|+  -            473 108301at50557        -            228   6.8e-37  126.0  15.1   4   4    0.0013      0.23    9.8   0.6   104   176   314   387   271   398 0.81 -
35300at50557_103372_0:000db9|STRG.14779.2:365-1964|+  -            473 108301at50557        -            228   6.8e-37  126.0  15.1   1   4   6.3e-31   1.1e-28   99.2   5.7    50   152     3   105     1   107 0.97 -
35300at50557_103372_0:000db9|STRG.14779.2:365-1964|+  -            473 108301at50557        -            228   6.8e-37  126.0  15.1   2   4       3.4   5.9e+02   -1.4   0.0   123   160   147   184   122   193 0.79 -
35300at50557_103372_0:000db9|STRG.14779.2:365-1964|+  -            473 108301at50557        -            228   6.8e-37  126.0  15.1   3   4   4.3e-07   7.7e-05   21.2   0.0    98   159   194   255   165   261 0.90 -
35300at50557_103372_0:000db9|STRG.14779.2:365-1964|+  -            473 108301at50557        -            228   6.8e-37  126.0  15.1   4   4    0.0013      0.23    9.8   0.6   104   176   314   387   271   398 0.81 -
41065at50557_133901_0:001440|STRG.12040.1:327-1658|+  -            444 108301at50557        -            228   1.3e-34  118.6  29.6   1   3     6e-12   1.1e-09   37.1   0.6    68   165     2    94     1   105 0.91 -
41065at50557_133901_0:001440|STRG.12040.1:327-1658|+  -            444 108301at50557        -            228   1.3e-34  118.6  29.6   2   3   0.00043     0.076   11.4   1.6    78   171   124   214    95   218 0.81 -
41065at50557_133901_0:001440|STRG.12040.1:327-1658|+  -            444 108301at50557        -            228   1.3e-34  118.6  29.6   3   3   2.9e-25   5.1e-23   80.6  13.9    53   174   215   335   209   355 0.90 -
35300at50557_520822_0:00001c|STRG.14779.1:1954-2394|+ -            147 108301at50557        -            228   2.3e-29  101.4   0.7   1   1   1.6e-31   2.8e-29  101.1   0.7    53   156    24   127    13   145 0.94 -
35300at50557_520822_0:00001c|STRG.14779.2:1881-2321|+ -            147 108301at50557        -            228   2.3e-29  101.4   0.7   1   1   1.6e-31   2.8e-29  101.1   0.7    53   156    24   127    13   145 0.94 -
138527at50557_315563_0:000b19|STRG.7139.1:143-982|+   -            280 108301at50557        -            228   4.5e-24   84.1   6.5   1   1   3.8e-26   6.7e-24   83.5   6.5    23   171    47   190    18   197 0.87 -
138527at50557_315563_0:000b19|STRG.7139.2:130-969|+   -            280 108301at50557        -            228   4.5e-24   84.1   6.5   1   1   3.8e-26   6.7e-24   83.5   6.5    23   171    47   190    18   197 0.87 -
13778at50557_103372_0:00133a|STRG.4238.1:0-2810|+     -            937 108301at50557        -            228   5.2e-24   83.9   5.9   1   1   7.1e-26   1.3e-23   82.6   5.9    51   180     4   132     1   147 0.94 -
13778at50557_103372_0:00133a|STRG.4238.2:277-3087|+   -            937 108301at50557        -            228   5.2e-24   83.9   5.9   1   1   7.1e-26   1.3e-23   82.6   5.9    51   180     4   132     1   147 0.94 -
108301at50557_1507135_0:001f86|STRG.7511.2:205-627|+  -            141 108301at50557        -            228   1.8e-22   78.9   1.3   1   1   1.1e-24   1.9e-22   78.8   1.3    48   164    30   141     4   141 0.92 -
108301at50557_29029_0:00272b|STRG.7511.1:51-482|+     -            144 108301at50557        -            228   4.2e-22   77.6   6.1   1   1   2.6e-24   4.7e-22   77.5   6.1    53   176     4   122     1   142 0.94 -
41065at50557_103372_0:000e4c|STRG.6239.1:139-1581|+   -            481 108301at50557        -            228   6.8e-21   73.7  12.8   1   4   2.2e-12   3.8e-10   38.5   0.0    57   174    27   139    18   145 0.88 -
41065at50557_103372_0:000e4c|STRG.6239.1:139-1581|+   -            481 108301at50557        -            228   6.8e-21   73.7  12.8   2   4   1.2e-06   0.00021   19.7   0.0    68   165   152   244   147   282 0.86 -
41065at50557_103372_0:000e4c|STRG.6239.1:139-1581|+   -            481 108301at50557        -            228   6.8e-21   73.7  12.8   3   4   2.3e-07   4.1e-05   22.1   1.4   108   172   305   368   292   379 0.88 -
41065at50557_103372_0:000e4c|STRG.6239.1:139-1581|+   -            481 108301at50557        -            228   6.8e-21   73.7  12.8   4   4        10   1.8e+03   -2.9   0.7    18    47   411   437   390   447 0.53 -
89121at50557_143948_0:00162b|STRG.8395.1:551-1597|+   -            349 108301at50557        -            228   5.4e-19   67.5   2.4   1   5     0.052       9.1    4.6   0.0   132   160     3    31     1    51 0.82 -
89121at50557_143948_0:00162b|STRG.8395.1:551-1597|+   -            349 108301at50557        -            228   5.4e-19   67.5   2.4   2   5   7.4e-06    0.0013   17.2   0.0    94   162    86   154    55   159 0.78 -
89121at50557_143948_0:00162b|STRG.8395.1:551-1597|+   -            349 108301at50557        -            228   5.4e-19   67.5   2.4   3   5   1.1e-08     2e-06   26.4   0.2    62   170   127   230   126   241 0.89 -
89121at50557_143948_0:00162b|STRG.8395.1:551-1597|+   -            349 108301at50557        -            228   5.4e-19   67.5   2.4   4   5     7e-10   1.2e-07   30.3   0.6    63   168   196   296   195   305 0.90 -
89121at50557_143948_0:00162b|STRG.8395.1:551-1597|+   -            349 108301at50557        -            228   5.4e-19   67.5   2.4   5   5     0.011       1.9    6.8   0.0    97   152   293   348   292   349 0.71 -
89121at50557_143948_0:00162b|STRG.8395.3:704-1750|+   -            349 108301at50557        -            228   5.4e-19   67.5   2.4   1   5     0.052       9.1    4.6   0.0   132   160     3    31     1    51 0.82 -
89121at50557_143948_0:00162b|STRG.8395.3:704-1750|+   -            349 108301at50557        -            228   5.4e-19   67.5   2.4   2   5   7.4e-06    0.0013   17.2   0.0    94   162    86   154    55   159 0.78 -
89121at50557_143948_0:00162b|STRG.8395.3:704-1750|+   -            349 108301at50557        -            228   5.4e-19   67.5   2.4   3   5   1.1e-08     2e-06   26.4   0.2    62   170   127   230   126   241 0.89 -
89121at50557_143948_0:00162b|STRG.8395.3:704-1750|+   -            349 108301at50557        -            228   5.4e-19   67.5   2.4   4   5     7e-10   1.2e-07   30.3   0.6    63   168   196   296   195   305 0.90 -
89121at50557_143948_0:00162b|STRG.8395.3:704-1750|+   -            349 108301at50557        -            228   5.4e-19   67.5   2.4   5   5     0.011       1.9    6.8   0.0    97   152   293   348   292   349 0.71 -
57156at50557_197043_0:0019bd|STRG.902.1:397-723|+     -            109 108301at50557        -            228     5e-17   61.0   0.7   1   1   3.1e-19   5.4e-17   60.9   0.7    56   167     2   108     1   109 0.96 -
108301at50557_13164_0:001ae6|STRG.13413.1:452-841|+   -            130 108301at50557        -            228   3.1e-14   51.9   0.4   1   1     2e-16   3.6e-14   51.7   0.4    43   158    20   130     7   130 0.88 -
108301at50557_56086_0:003139|STRG.7620.2:82-402|+     -            107 108301at50557        -            228   3.9e-14   51.6   0.4   1   2   7.2e-14   1.3e-11   43.4   0.2    59   125     1    62     1    74 0.92 -
108301at50557_56086_0:003139|STRG.7620.2:82-402|+     -            107 108301at50557        -            228   3.9e-14   51.6   0.4   2   2     0.009       1.6    7.1   0.0    92   126    71   105    63   106 0.90 -
57156at50557_28612_0:002d5e|STRG.8395.2:1298-1921|+   -            208 108301at50557        -            228   1.2e-13   50.0   1.4   1   2   1.6e-10   2.8e-08   32.4   0.8    62   169     3   105     1   113 0.90 -
57156at50557_28612_0:002d5e|STRG.8395.2:1298-1921|+   -            208 108301at50557        -            228   1.2e-13   50.0   1.4   2   2   3.4e-06   0.00061   18.2   0.0    97   173   101   177   100   193 0.87 -
57156at50557_28612_0:002d5e|STRG.8395.4:1796-2419|+   -            208 108301at50557        -            228   1.2e-13   50.0   1.4   1   2   1.6e-10   2.8e-08   32.4   0.8    62   169     3   105     1   113 0.90 -
57156at50557_28612_0:002d5e|STRG.8395.4:1796-2419|+   -            208 108301at50557        -            228   1.2e-13   50.0   1.4   2   2   3.4e-06   0.00061   18.2   0.0    97   173   101   177   100   193 0.87 -
57156at50557_28612_0:002d5e|STRG.8395.5:784-1407|+    -            208 108301at50557        -            228   1.2e-13   50.0   1.4   1   2   1.6e-10   2.8e-08   32.4   0.8    62   169     3   105     1   113 0.90 -
57156at50557_28612_0:002d5e|STRG.8395.5:784-1407|+    -            208 108301at50557        -            228   1.2e-13   50.0   1.4   2   2   3.4e-06   0.00061   18.2   0.0    97   173   101   177   100   193 0.87 -
35300at50557_520822_0:00001c|STRG.4564.1:456-698|+    -             81 108301at50557        -            228   1.9e-13   49.3   1.8   1   1   1.2e-15     2e-13   49.2   1.8    53   131     4    81     1    81 0.92 -
43553at50557_7070_0:0013d7|STRG.15860.1:1425-2219|+   -            265 108301at50557        -            228     1e-10   40.4   1.3   1   1   8.1e-13   1.4e-10   39.9   1.3    66   152     3    90     1   114 0.82 -
43553at50557_7070_0:0013d7|STRG.15860.2:1410-2204|+   -            265 108301at50557        -            228     1e-10   40.4   1.3   1   1   8.1e-13   1.4e-10   39.9   1.3    66   152     3    90     1   114 0.82 -
43553at50557_7070_0:0013d7|STRG.15860.3:1356-2150|+   -            265 108301at50557        -            228     1e-10   40.4   1.3   1   1   8.1e-13   1.4e-10   39.9   1.3    66   152     3    90     1   114 0.82 -
43553at50557_7070_0:0013d7|STRG.15860.4:1309-2103|+   -            265 108301at50557        -            228     1e-10   40.4   1.3   1   1   8.1e-13   1.4e-10   39.9   1.3    66   152     3    90     1   114 0.82 -
108301at50557_197043_0:001b73|STRG.4482.1:618-998|+   -            127 108301at50557        -            228   1.1e-10   40.3   1.0   1   1   7.3e-12   1.3e-09   36.8   1.0    87   158    56   127     1   127 0.74 -
108301at50557_197043_0:001b73|STRG.4482.2:144-524|+   -            127 108301at50557        -            228   1.1e-10   40.3   1.0   1   1   7.3e-12   1.3e-09   36.8   1.0    87   158    56   127     1   127 0.74 -
108301at50557_56086_0:003139|STRG.14341.1:1219-1611|+ -            131 108301at50557        -            228   2.2e-10   39.3   2.9   1   1   2.5e-12   4.3e-10   38.4   2.9    55   168     2   125     1   130 0.82 -
108301at50557_56086_0:003139|STRG.14341.2:966-1358|+  -            131 108301at50557        -            228   2.2e-10   39.3   2.9   1   1   2.5e-12   4.3e-10   38.4   2.9    55   168     2   125     1   130 0.82 -
108301at50557_56086_0:003139|STRG.14341.3:899-1291|+  -            131 108301at50557        -            228   2.2e-10   39.3   2.9   1   1   2.5e-12   4.3e-10   38.4   2.9    55   168     2   125     1   130 0.82 -
108301at50557_56086_0:003139|STRG.14341.4:973-1365|+  -            131 108301at50557        -            228   2.2e-10   39.3   2.9   1   1   2.5e-12   4.3e-10   38.4   2.9    55   168     2   125     1   130 0.82 -
153723at50557_7176_0:003cd5|STRG.6055.1:259-1740|+    -            494 108301at50557        -            228   3.1e-09   35.6   1.7   1   2   6.1e-11   1.1e-08   33.8   1.2    20   150     9   148     1   189 0.75 -
153723at50557_7176_0:003cd5|STRG.6055.1:259-1740|+    -            494 108301at50557        -            228   3.1e-09   35.6   1.7   2   2      0.85   1.5e+02    0.6   0.5    23    71   145   193   137   214 0.83 -
35300at50557_103372_0:000d33|STRG.14780.1:259-987|+   -            243 108301at50557        -            228   1.7e-08   33.1   7.8   1   3   0.00047     0.083   11.3   0.2   107   182     3    78     1    84 0.85 -
35300at50557_103372_0:000d33|STRG.14780.1:259-987|+   -            243 108301at50557        -            228   1.7e-08   33.1   7.8   2   3     4e-08   7.1e-06   24.6   0.7    73   138   113   180   107   198 0.75 -
35300at50557_103372_0:000d33|STRG.14780.1:259-987|+   -            243 108301at50557        -            228   1.7e-08   33.1   7.8   3   3       0.4        71    1.7   0.1    66   108   181   221   175   225 0.81 -
26870at50557_13249_0:003446|STRG.13597.1:1574-2434|+  -            287 108301at50557        -            228   8.6e-08   30.8   0.0   1   2   1.2e-06   0.00022   19.7   0.0   108   164   113   169    93   173 0.92 -
26870at50557_13249_0:003446|STRG.13597.1:1574-2434|+  -            287 108301at50557        -            228   8.6e-08   30.8   0.0   2   2    0.0024      0.42    8.9   0.0    67   160   179   267   173   281 0.78 -
26870at50557_13249_0:003446|STRG.13597.2:1574-2434|+  -            287 108301at50557        -            228   8.6e-08   30.8   0.0   1   2   1.2e-06   0.00022   19.7   0.0   108   164   113   169    93   173 0.92 -
26870at50557_13249_0:003446|STRG.13597.2:1574-2434|+  -            287 108301at50557        -            228   8.6e-08   30.8   0.0   2   2    0.0024      0.42    8.9   0.0    67   160   179   267   173   281 0.78 -
26870at50557_13249_0:003446|STRG.13597.3:1574-2434|+  -            287 108301at50557        -            228   8.6e-08   30.8   0.0   1   2   1.2e-06   0.00022   19.7   0.0   108   164   113   169    93   173 0.92 -
26870at50557_13249_0:003446|STRG.13597.3:1574-2434|+  -            287 108301at50557        -            228   8.6e-08   30.8   0.0   2   2    0.0024      0.42    8.9   0.0    67   160   179   267   173   281 0.78 -
65980at50557_224129_0:002010|STRG.8280.13:479-1201|+  -            241 108301at50557        -            228   2.7e-07   29.2   4.0   1   3   0.00024     0.043   12.2   0.3    69   160     8    94     3   114 0.82 -
65980at50557_224129_0:002010|STRG.8280.13:479-1201|+  -            241 108301at50557        -            228   2.7e-07   29.2   4.0   2   3    0.0027      0.48    8.8   0.4   109   183   111   185    98   186 0.81 -
65980at50557_224129_0:002010|STRG.8280.13:479-1201|+  -            241 108301at50557        -            228   2.7e-07   29.2   4.0   3   3   0.00038     0.068   11.6   0.0   107   160   177   230   173   238 0.94 -
65980at50557_224129_0:002010|STRG.8280.8:2085-2807|+  -            241 108301at50557        -            228   2.7e-07   29.2   4.0   1   3   0.00024     0.043   12.2   0.3    69   160     8    94     3   114 0.82 -
65980at50557_224129_0:002010|STRG.8280.8:2085-2807|+  -            241 108301at50557        -            228   2.7e-07   29.2   4.0   2   3    0.0027      0.48    8.8   0.4   109   183   111   185    98   186 0.81 -
65980at50557_224129_0:002010|STRG.8280.8:2085-2807|+  -            241 108301at50557        -            228   2.7e-07   29.2   4.0   3   3   0.00038     0.068   11.6   0.0   107   160   177   230   173   238 0.94 -
35300at50557_103372_0:000db9|STRG.14778.1:0-863|+     -            288 108301at50557        -            228   2.8e-06   25.9   7.7   1   3   4.5e-05    0.0079   14.6   0.2   101   167     2    72     1    82 0.83 -
35300at50557_103372_0:000db9|STRG.14778.1:0-863|+     -            288 108301at50557        -            228   2.8e-06   25.9   7.7   2   3     0.038       6.8    5.0   0.1   110   155    84   136    69   168 0.67 -
35300at50557_103372_0:000db9|STRG.14778.1:0-863|+     -            288 108301at50557        -            228   2.8e-06   25.9   7.7   3   3   0.00079      0.14   10.5   0.3    87   156   173   243   151   256 0.81 -
89121at50557_41427_0:000114|STRG.12819.1:1861-2799|+  -            313 108301at50557        -            228   4.1e-06   25.3   2.4   1   3     0.068        12    4.2   0.0    85   165     7    87     2    99 0.86 -
89121at50557_41427_0:000114|STRG.12819.1:1861-2799|+  -            313 108301at50557        -            228   4.1e-06   25.3   2.4   2   3    0.0002     0.036   12.5   0.2   118   166   123   171   102   176 0.91 -
89121at50557_41427_0:000114|STRG.12819.1:1861-2799|+  -            313 108301at50557        -            228   4.1e-06   25.3   2.4   3   3    0.0095       1.7    7.0   0.2   142   171   181   210   175   238 0.68 -
89121at50557_143995_0:002338|STRG.11039.1:1189-2028|+ -            280 108301at50557        -            228   1.9e-05   23.2   1.8   1   2     7e-05     0.012   14.0   1.2    77   174    64   157    19   172 0.84 -
89121at50557_143995_0:002338|STRG.11039.1:1189-2028|+ -            280 108301at50557        -            228   1.9e-05   23.2   1.8   2   2    0.0041      0.72    8.2   0.0   106   156   225   275   183   280 0.91 -
57156at50557_197043_0:0019bd|STRG.11193.1:886-1203|+  -            106 108301at50557        -            228   0.00012   20.6   0.0   1   1   7.3e-07   0.00013   20.4   0.0    62   163     2    98     1   106 0.86 -
153723at50557_7176_0:003cd5|STRG.6055.3:1-1284|+      -            428 108301at50557        -            228   0.00092   17.7   0.2   1   2   5.2e-06   0.00092   17.7   0.2    74   138     2    68     1    86 0.80 -
153723at50557_7176_0:003cd5|STRG.6055.3:1-1284|+      -            428 108301at50557        -            228   0.00092   17.7   0.2   2   2       0.7   1.2e+02    0.9   0.6    22    71    78   127    66   146 0.83 -
89121at50557_79782_0:0011ea|STRG.11542.1:606-1376|+   -            257 108301at50557        -            228     0.011   14.1   0.5   1   2    0.0077       1.4    7.3   0.0    53    92    30    70    11    76 0.72 -
89121at50557_79782_0:0011ea|STRG.11542.1:606-1376|+   -            257 108301at50557        -            228     0.011   14.1   0.5   2   2     0.041       7.2    4.9   0.1   117   148   226   257   185   257 0.86 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/108301at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/108301at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/108301at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:21:21 2024
# [ok]
