#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
48053at50557_104421_0:0017a2|STRG.3533.1:31-1551|+     -            507 48053at50557         -            417  3.2e-232  769.6   8.4   1   1  6.7e-232    4e-230  762.7   8.4     1   417     9   504     9   504 0.93 -
40115at50557_7370_0:002473|STRG.8742.1:174-1016|+      -            281 48053at50557         -            417   1.4e-18   65.8   2.2   1   2   3.2e-08   1.9e-06   25.8   0.3   249   351     5   123     3   128 0.72 -
40115at50557_7370_0:002473|STRG.8742.1:174-1016|+      -            281 48053at50557         -            417   1.4e-18   65.8   2.2   2   2   2.5e-12   1.5e-10   39.4   0.1   283   414   132   278   125   281 0.81 -
40115at50557_1629725_0:001335|STRG.11659.2:192-1055|+  -            288 48053at50557         -            417   2.9e-17   61.5   0.2   1   3     0.031       1.8    6.1   0.0   333   416    25   116     5   118 0.68 -
40115at50557_1629725_0:001335|STRG.11659.2:192-1055|+  -            288 48053at50557         -            417   2.9e-17   61.5   0.2   2   3   6.2e-09   3.7e-07   28.2   0.0   271   344   126   204   121   207 0.82 -
40115at50557_1629725_0:001335|STRG.11659.2:192-1055|+  -            288 48053at50557         -            417   2.9e-17   61.5   0.2   3   3   8.8e-12   5.2e-10   37.6   0.0   286   380   181   284   177   287 0.86 -
40115at50557_1629725_0:001335|STRG.11659.3:196-1059|+  -            288 48053at50557         -            417   2.9e-17   61.5   0.2   1   3     0.031       1.8    6.1   0.0   333   416    25   116     5   118 0.68 -
40115at50557_1629725_0:001335|STRG.11659.3:196-1059|+  -            288 48053at50557         -            417   2.9e-17   61.5   0.2   2   3   6.2e-09   3.7e-07   28.2   0.0   271   344   126   204   121   207 0.82 -
40115at50557_1629725_0:001335|STRG.11659.3:196-1059|+  -            288 48053at50557         -            417   2.9e-17   61.5   0.2   3   3   8.8e-12   5.2e-10   37.6   0.0   286   380   181   284   177   287 0.86 -
57752at50557_121225_0:0018b6|STRG.4044.1:539-1453|+    -            305 48053at50557         -            417   1.9e-15   55.5   4.9   1   4    0.0045      0.27    8.9   0.0   219   250     1    36     1    39 0.81 -
57752at50557_121225_0:0018b6|STRG.4044.1:539-1453|+    -            305 48053at50557         -            417   1.9e-15   55.5   4.9   2   4   6.3e-09   3.7e-07   28.2   0.4   330   417    21   117    17   117 0.80 -
57752at50557_121225_0:0018b6|STRG.4044.1:539-1453|+    -            305 48053at50557         -            417   1.9e-15   55.5   4.9   3   4   0.00044     0.026   12.2   0.1   216   255    83   126    76   132 0.82 -
57752at50557_121225_0:0018b6|STRG.4044.1:539-1453|+    -            305 48053at50557         -            417   1.9e-15   55.5   4.9   4   4   7.8e-08   4.6e-06   24.6   0.2   235   378   148   301   120   305 0.72 -
57752at50557_121225_0:0018b6|STRG.4044.2:589-1503|+    -            305 48053at50557         -            417   1.9e-15   55.5   4.9   1   4    0.0045      0.27    8.9   0.0   219   250     1    36     1    39 0.81 -
57752at50557_121225_0:0018b6|STRG.4044.2:589-1503|+    -            305 48053at50557         -            417   1.9e-15   55.5   4.9   2   4   6.3e-09   3.7e-07   28.2   0.4   330   417    21   117    17   117 0.80 -
57752at50557_121225_0:0018b6|STRG.4044.2:589-1503|+    -            305 48053at50557         -            417   1.9e-15   55.5   4.9   3   4   0.00044     0.026   12.2   0.1   216   255    83   126    76   132 0.82 -
57752at50557_121225_0:0018b6|STRG.4044.2:589-1503|+    -            305 48053at50557         -            417   1.9e-15   55.5   4.9   4   4   7.8e-08   4.6e-06   24.6   0.2   235   378   148   301   120   305 0.72 -
57752at50557_103372_0:000c5a|STRG.2346.1:163-1527|+    -            455 48053at50557         -            417   5.7e-15   53.9   0.3   1   3   2.4e-06   0.00014   19.7   0.0   288   347   154   220   135   229 0.80 -
57752at50557_103372_0:000c5a|STRG.2346.1:163-1527|+    -            455 48053at50557         -            417   5.7e-15   53.9   0.3   2   3   4.7e-06   0.00028   18.7   0.3   188   253   236   305   218   312 0.83 -
57752at50557_103372_0:000c5a|STRG.2346.1:163-1527|+    -            455 48053at50557         -            417   5.7e-15   53.9   0.3   3   3   0.00046     0.027   12.2   0.0   282   387   316   436   309   445 0.68 -
57752at50557_103372_0:000c5a|STRG.2346.3:163-1527|+    -            455 48053at50557         -            417   5.7e-15   53.9   0.3   1   3   2.4e-06   0.00014   19.7   0.0   288   347   154   220   135   229 0.80 -
57752at50557_103372_0:000c5a|STRG.2346.3:163-1527|+    -            455 48053at50557         -            417   5.7e-15   53.9   0.3   2   3   4.7e-06   0.00028   18.7   0.3   188   253   236   305   218   312 0.83 -
57752at50557_103372_0:000c5a|STRG.2346.3:163-1527|+    -            455 48053at50557         -            417   5.7e-15   53.9   0.3   3   3   0.00046     0.027   12.2   0.0   282   387   316   436   309   445 0.68 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+    -            712 48053at50557         -            417   7.8e-15   53.5  11.4   1   6      0.11       6.2    4.4   0.0   196   256    17    86     3    91 0.71 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+    -            712 48053at50557         -            417   7.8e-15   53.5  11.4   2   6   0.00023     0.013   13.2   0.0   284   362    97   182    88   201 0.79 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+    -            712 48053at50557         -            417   7.8e-15   53.5  11.4   3   6   0.00045     0.027   12.2   0.0   196   254   269   331   246   336 0.82 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+    -            712 48053at50557         -            417   7.8e-15   53.5  11.4   4   6   0.00032     0.019   12.7   0.1   215   373   371   536   349   538 0.79 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+    -            712 48053at50557         -            417   7.8e-15   53.5  11.4   5   6   0.00097     0.057   11.1   0.0   285   348   481   551   475   557 0.78 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+    -            712 48053at50557         -            417   7.8e-15   53.5  11.4   6   6    0.0038      0.23    9.1   0.4   236   341   598   712   589   712 0.79 -
40115at50557_7370_0:002473|STRG.851.1:242-1114|+       -            291 48053at50557         -            417   1.1e-14   53.0   3.3   1   3    0.0039      0.23    9.1   0.0   317   352     9    44     4    49 0.84 -
40115at50557_7370_0:002473|STRG.851.1:242-1114|+       -            291 48053at50557         -            417   1.1e-14   53.0   3.3   2   3   1.1e-07   6.3e-06   24.2   0.2   193   353    60   214    50   228 0.73 -
40115at50557_7370_0:002473|STRG.851.1:242-1114|+       -            291 48053at50557         -            417   1.1e-14   53.0   3.3   3   3   0.00067     0.039   11.6   0.1   196   246   235   291   223   291 0.81 -
31374at50557_103372_0:0017b9|STRG.7093.1:92-2047|+     -            652 48053at50557         -            417   2.7e-14   51.7   0.2   1   5     0.037       2.2    5.9   0.0   281   312   325   356   316   394 0.77 -
31374at50557_103372_0:0017b9|STRG.7093.1:92-2047|+     -            652 48053at50557         -            417   2.7e-14   51.7   0.2   2   5    0.0026      0.15    9.7   0.0   287   342   404   466   398   468 0.82 -
31374at50557_103372_0:0017b9|STRG.7093.1:92-2047|+     -            652 48053at50557         -            417   2.7e-14   51.7   0.2   3   5   4.2e-07   2.5e-05   22.2   0.0   200   253   457   514   453   522 0.88 -
31374at50557_103372_0:0017b9|STRG.7093.1:92-2047|+     -            652 48053at50557         -            417   2.7e-14   51.7   0.2   4   5     2e-05    0.0012   16.7   0.0   286   344   487   552   485   561 0.78 -
31374at50557_103372_0:0017b9|STRG.7093.1:92-2047|+     -            652 48053at50557         -            417   2.7e-14   51.7   0.2   5   5   4.6e-05    0.0027   15.5   0.0   288   352   531   602   525   610 0.77 -
14512at50557_103372_0:0005b9|STRG.15079.1:353-2929|+   -            859 48053at50557         -            417   4.4e-14   51.0   0.0   1   2   4.3e-09   2.5e-07   28.7   0.0   282   348   106   179    13   187 0.74 -
14512at50557_103372_0:0005b9|STRG.15079.1:353-2929|+   -            859 48053at50557         -            417   4.4e-14   51.0   0.0   2   2   0.00034      0.02   12.6   0.0   283   382   191   300   188   329 0.73 -
14512at50557_103372_0:0005b9|STRG.15079.2:353-2986|+   -            878 48053at50557         -            417   4.8e-14   50.9   0.0   1   2   4.4e-09   2.6e-07   28.7   0.0   282   348   106   179    13   187 0.74 -
14512at50557_103372_0:0005b9|STRG.15079.2:353-2986|+   -            878 48053at50557         -            417   4.8e-14   50.9   0.0   2   2   0.00035     0.021   12.6   0.0   283   382   191   300   188   329 0.73 -
33043at50557_103372_0:000263|STRG.1342.1:112-2508|+    -            799 48053at50557         -            417   8.8e-14   50.0   0.6   1   6     0.028       1.7    6.3   0.0   317   379   111   177    81   177 0.67 -
33043at50557_103372_0:000263|STRG.1342.1:112-2508|+    -            799 48053at50557         -            417   8.8e-14   50.0   0.6   2   6   3.7e-05    0.0022   15.8   0.0   291   362   165   242   152   252 0.78 -
33043at50557_103372_0:000263|STRG.1342.1:112-2508|+    -            799 48053at50557         -            417   8.8e-14   50.0   0.6   3   6      0.45        27    2.3   0.0   324   347   258   281   249   286 0.82 -
33043at50557_103372_0:000263|STRG.1342.1:112-2508|+    -            799 48053at50557         -            417   8.8e-14   50.0   0.6   4   6      0.16       9.7    3.8   0.0   324   344   441   461   401   477 0.80 -
33043at50557_103372_0:000263|STRG.1342.1:112-2508|+    -            799 48053at50557         -            417   8.8e-14   50.0   0.6   5   6   0.00026     0.016   13.0   0.0   192   248   494   554   477   563 0.85 -
33043at50557_103372_0:000263|STRG.1342.1:112-2508|+    -            799 48053at50557         -            417   8.8e-14   50.0   0.6   6   6     0.026       1.5    6.4   0.0   288   386   534   641   530   658 0.65 -
40115at50557_1629725_0:001335|STRG.16669.1:1671-2474|+ -            268 48053at50557         -            417   9.5e-14   49.9   3.9   1   4   6.6e-08   3.9e-06   24.8   0.2   195   252     2    61     1    70 0.90 -
40115at50557_1629725_0:001335|STRG.16669.1:1671-2474|+ -            268 48053at50557         -            417   9.5e-14   49.9   3.9   2   4       2.5   1.5e+02   -0.1   0.0   296   315    85   104    72   110 0.73 -
40115at50557_1629725_0:001335|STRG.16669.1:1671-2474|+ -            268 48053at50557         -            417   9.5e-14   49.9   3.9   3   4   7.3e-07   4.3e-05   21.4   0.0   186   254   116   186   109   189 0.89 -
40115at50557_1629725_0:001335|STRG.16669.1:1671-2474|+ -            268 48053at50557         -            417   9.5e-14   49.9   3.9   4   4    0.0043      0.25    9.0   0.0   185   252   155   224   154   234 0.86 -
40115at50557_1629725_0:001335|STRG.16669.2:1464-2267|+ -            268 48053at50557         -            417   9.5e-14   49.9   3.9   1   4   6.6e-08   3.9e-06   24.8   0.2   195   252     2    61     1    70 0.90 -
40115at50557_1629725_0:001335|STRG.16669.2:1464-2267|+ -            268 48053at50557         -            417   9.5e-14   49.9   3.9   2   4       2.5   1.5e+02   -0.1   0.0   296   315    85   104    72   110 0.73 -
40115at50557_1629725_0:001335|STRG.16669.2:1464-2267|+ -            268 48053at50557         -            417   9.5e-14   49.9   3.9   3   4   7.3e-07   4.3e-05   21.4   0.0   186   254   116   186   109   189 0.89 -
40115at50557_1629725_0:001335|STRG.16669.2:1464-2267|+ -            268 48053at50557         -            417   9.5e-14   49.9   3.9   4   4    0.0043      0.25    9.0   0.0   185   252   155   224   154   234 0.86 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+    -            697 48053at50557         -            417     1e-13   49.8  12.9   1   4   0.00014    0.0081   13.9   0.3   282   364    80   169    23   196 0.79 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+    -            697 48053at50557         -            417     1e-13   49.8  12.9   2   4   0.00038     0.023   12.4   0.0   196   254   254   316   229   331 0.83 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+    -            697 48053at50557         -            417     1e-13   49.8  12.9   3   4    0.0001    0.0061   14.3   0.1   215   376   356   524   334   542 0.70 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+    -            697 48053at50557         -            417     1e-13   49.8  12.9   4   4    0.0036      0.21    9.2   0.4   236   341   583   697   572   697 0.79 -
13625at50557_103372_0:00203b|STRG.1696.1:4-2655|+      -            884 48053at50557         -            417   1.1e-13   49.6   2.7   1   7    0.0041      0.24    9.0   0.0   314   359   100   145    81   174 0.85 -
13625at50557_103372_0:00203b|STRG.1696.1:4-2655|+      -            884 48053at50557         -            417   1.1e-13   49.6   2.7   2   7       8.2   4.8e+02   -1.8   0.0   282   308   270   296   265   339 0.82 -
13625at50557_103372_0:00203b|STRG.1696.1:4-2655|+      -            884 48053at50557         -            417   1.1e-13   49.6   2.7   3   7   0.00021     0.012   13.3   0.0   303   354   341   390   325   395 0.86 -
13625at50557_103372_0:00203b|STRG.1696.1:4-2655|+      -            884 48053at50557         -            417   1.1e-13   49.6   2.7   4   7   6.6e-06   0.00039   18.2   0.0   315   416   395   508   387   509 0.73 -
13625at50557_103372_0:00203b|STRG.1696.1:4-2655|+      -            884 48053at50557         -            417   1.1e-13   49.6   2.7   5   7     0.013      0.79    7.4   0.0   187   257   443   520   441   532 0.81 -
13625at50557_103372_0:00203b|STRG.1696.1:4-2655|+      -            884 48053at50557         -            417   1.1e-13   49.6   2.7   6   7       1.6        96    0.5   0.0   276   311   583   618   572   628 0.78 -
13625at50557_103372_0:00203b|STRG.1696.1:4-2655|+      -            884 48053at50557         -            417   1.1e-13   49.6   2.7   7   7       5.5   3.2e+02   -1.3   0.0   302   324   850   872   842   877 0.82 -
40115at50557_7370_0:002473|STRG.851.2:242-1281|+       -            265 48053at50557         -            417   1.5e-13   49.3   1.7   1   3     0.003      0.18    9.5   0.0   317   352     9    44     4    54 0.85 -
40115at50557_7370_0:002473|STRG.851.2:242-1281|+       -            265 48053at50557         -            417   1.5e-13   49.3   1.7   2   3   1.3e-07   7.9e-06   23.8   0.2   196   353    63   214    58   226 0.70 -
40115at50557_7370_0:002473|STRG.851.2:242-1281|+       -            265 48053at50557         -            417   1.5e-13   49.3   1.7   3   3     0.047       2.8    5.6   0.0   196   224   235   263   226   265 0.90 -
80377at50557_456900_0:000374|STRG.2144.1:90-1136|+     -            349 48053at50557         -            417   5.3e-13   47.4   0.0   1   4   0.00063     0.037   11.7   0.0   197   253    73   134    44   149 0.62 -
80377at50557_456900_0:000374|STRG.2144.1:90-1136|+     -            349 48053at50557         -            417   5.3e-13   47.4   0.0   2   4   8.8e-10   5.2e-08   31.0   0.1   286   417   107   253   104   253 0.77 -
80377at50557_456900_0:000374|STRG.2144.1:90-1136|+     -            349 48053at50557         -            417   5.3e-13   47.4   0.0   3   4   5.6e-05    0.0033   15.2   0.0   297   346   202   258   199   268 0.77 -
80377at50557_456900_0:000374|STRG.2144.1:90-1136|+     -            349 48053at50557         -            417   5.3e-13   47.4   0.0   4   4     0.052       3.1    5.4   0.0   192   236   287   331   268   348 0.86 -
43553at50557_79782_0:002ee3|STRG.2177.1:267-1127|+     -            287 48053at50557         -            417   1.1e-12   46.4   2.8   1   3     0.034         2    6.0   0.2   218   253    10    49     6    88 0.82 -
43553at50557_79782_0:002ee3|STRG.2177.1:267-1127|+     -            287 48053at50557         -            417   1.1e-12   46.4   2.8   2   3   1.6e-07   9.5e-06   23.6   0.0   287   351   113   183   100   189 0.81 -
43553at50557_79782_0:002ee3|STRG.2177.1:267-1127|+     -            287 48053at50557         -            417   1.1e-12   46.4   2.8   3   3   8.4e-05     0.005   14.6   0.0   286   348   195   266   189   286 0.78 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+    -            481 48053at50557         -            417   1.2e-12   46.2   0.1   1   3   1.3e-09   7.5e-08   30.5   0.0   284   416   125   277   113   278 0.76 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+    -            481 48053at50557         -            417   1.2e-12   46.2   0.1   2   3     0.023       1.4    6.6   0.0   193   255   337   404   333   423 0.73 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+    -            481 48053at50557         -            417   1.2e-12   46.2   0.1   3   3     0.043       2.5    5.7   0.0   290   342   421   480   410   481 0.72 -
57752at50557_69319_0:000ee5|STRG.14283.1:195-998|+     -            268 48053at50557         -            417   1.3e-12   46.2   0.1   1   3   0.00059     0.035   11.8   0.0   194   247    43   100    14   104 0.90 -
57752at50557_69319_0:000ee5|STRG.14283.1:195-998|+     -            268 48053at50557         -            417   1.3e-12   46.2   0.1   2   3    0.0041      0.24    9.0   0.0   196   248    87   145    87   150 0.72 -
57752at50557_69319_0:000ee5|STRG.14283.1:195-998|+     -            268 48053at50557         -            417   1.3e-12   46.2   0.1   3   3   1.1e-07   6.7e-06   24.1   0.0   193   247   172   230   157   237 0.90 -
14512at50557_29053_0:0002b6|STRG.13347.1:210-920|+     -            237 48053at50557         -            417   8.4e-12   43.5   0.1   1   3   1.4e-05   0.00081   17.2   0.0   196   247    23    78     6    82 0.87 -
14512at50557_29053_0:0002b6|STRG.13347.1:210-920|+     -            237 48053at50557         -            417   8.4e-12   43.5   0.1   2   3    0.0005      0.03   12.0   0.0   212   250    81   122    78   131 0.79 -
14512at50557_29053_0:0002b6|STRG.13347.1:210-920|+     -            237 48053at50557         -            417   8.4e-12   43.5   0.1   3   3     0.001      0.06   11.0   0.0   196   247   179   236   174   237 0.78 -
80377at50557_568069_0:004eea|STRG.3544.1:64-918|+      -            285 48053at50557         -            417   2.6e-11   41.9   0.3   1   3      0.16       9.7    3.8   0.0   310   343     4    37     1    64 0.79 -
80377at50557_568069_0:004eea|STRG.3544.1:64-918|+      -            285 48053at50557         -            417   2.6e-11   41.9   0.3   2   3   9.5e-05    0.0056   14.4   0.1   294   373    68   155    56   166 0.80 -
80377at50557_568069_0:004eea|STRG.3544.1:64-918|+      -            285 48053at50557         -            417   2.6e-11   41.9   0.3   3   3   1.2e-06   7.4e-05   20.6   0.0   319   381   182   246   173   282 0.72 -
40115at50557_144034_0:000898|STRG.1523.1:1234-2103|+   -            290 48053at50557         -            417   2.9e-11   41.7   0.1   1   3      0.18        11    3.6   0.0   315   409     7   112     3   120 0.69 -
40115at50557_144034_0:000898|STRG.1523.1:1234-2103|+   -            290 48053at50557         -            417   2.9e-11   41.7   0.1   2   3   1.2e-09   6.9e-08   30.6   0.0   268   349   118   212   106   235 0.72 -
40115at50557_144034_0:000898|STRG.1523.1:1234-2103|+   -            290 48053at50557         -            417   2.9e-11   41.7   0.1   3   3     0.061       3.6    5.2   0.0   179   246   217   290   212   290 0.72 -
40115at50557_144034_0:000898|STRG.1523.2:1420-2289|+   -            290 48053at50557         -            417   2.9e-11   41.7   0.1   1   3      0.18        11    3.6   0.0   315   409     7   112     3   120 0.69 -
40115at50557_144034_0:000898|STRG.1523.2:1420-2289|+   -            290 48053at50557         -            417   2.9e-11   41.7   0.1   2   3   1.2e-09   6.9e-08   30.6   0.0   268   349   118   212   106   235 0.72 -
40115at50557_144034_0:000898|STRG.1523.2:1420-2289|+   -            290 48053at50557         -            417   2.9e-11   41.7   0.1   3   3     0.061       3.6    5.2   0.0   179   246   217   290   212   290 0.72 -
80377at50557_39758_0:001a6c|STRG.909.1:1981-2742|+     -            254 48053at50557         -            417   4.5e-11   41.1   0.3   1   3     0.018       1.1    6.9   0.0   285   330    22    67    16    75 0.74 -
80377at50557_39758_0:001a6c|STRG.909.1:1981-2742|+     -            254 48053at50557         -            417   4.5e-11   41.1   0.3   2   3   2.8e-08   1.7e-06   26.0   0.1   288   414    69   208    65   211 0.79 -
80377at50557_39758_0:001a6c|STRG.909.1:1981-2742|+     -            254 48053at50557         -            417   4.5e-11   41.1   0.3   3   3     0.019       1.1    6.9   0.0   164   209   206   253   202   254 0.80 -
80377at50557_39758_0:001a6c|STRG.909.2:931-1692|+      -            254 48053at50557         -            417   4.5e-11   41.1   0.3   1   3     0.018       1.1    6.9   0.0   285   330    22    67    16    75 0.74 -
80377at50557_39758_0:001a6c|STRG.909.2:931-1692|+      -            254 48053at50557         -            417   4.5e-11   41.1   0.3   2   3   2.8e-08   1.7e-06   26.0   0.1   288   414    69   208    65   211 0.79 -
80377at50557_39758_0:001a6c|STRG.909.2:931-1692|+      -            254 48053at50557         -            417   4.5e-11   41.1   0.3   3   3     0.019       1.1    6.9   0.0   164   209   206   253   202   254 0.80 -
80377at50557_39758_0:001a6c|STRG.909.3:1592-2353|+     -            254 48053at50557         -            417   4.5e-11   41.1   0.3   1   3     0.018       1.1    6.9   0.0   285   330    22    67    16    75 0.74 -
80377at50557_39758_0:001a6c|STRG.909.3:1592-2353|+     -            254 48053at50557         -            417   4.5e-11   41.1   0.3   2   3   2.8e-08   1.7e-06   26.0   0.1   288   414    69   208    65   211 0.79 -
80377at50557_39758_0:001a6c|STRG.909.3:1592-2353|+     -            254 48053at50557         -            417   4.5e-11   41.1   0.3   3   3     0.019       1.1    6.9   0.0   164   209   206   253   202   254 0.80 -
80377at50557_39758_0:001a6c|STRG.909.4:1798-2559|+     -            254 48053at50557         -            417   4.5e-11   41.1   0.3   1   3     0.018       1.1    6.9   0.0   285   330    22    67    16    75 0.74 -
80377at50557_39758_0:001a6c|STRG.909.4:1798-2559|+     -            254 48053at50557         -            417   4.5e-11   41.1   0.3   2   3   2.8e-08   1.7e-06   26.0   0.1   288   414    69   208    65   211 0.79 -
80377at50557_39758_0:001a6c|STRG.909.4:1798-2559|+     -            254 48053at50557         -            417   4.5e-11   41.1   0.3   3   3     0.019       1.1    6.9   0.0   164   209   206   253   202   254 0.80 -
80377at50557_39758_0:001a6c|STRG.909.6:1692-2453|+     -            254 48053at50557         -            417   4.5e-11   41.1   0.3   1   3     0.018       1.1    6.9   0.0   285   330    22    67    16    75 0.74 -
80377at50557_39758_0:001a6c|STRG.909.6:1692-2453|+     -            254 48053at50557         -            417   4.5e-11   41.1   0.3   2   3   2.8e-08   1.7e-06   26.0   0.1   288   414    69   208    65   211 0.79 -
80377at50557_39758_0:001a6c|STRG.909.6:1692-2453|+     -            254 48053at50557         -            417   4.5e-11   41.1   0.3   3   3     0.019       1.1    6.9   0.0   164   209   206   253   202   254 0.80 -
80377at50557_39758_0:001a6c|STRG.909.5:1512-2213|+     -            234 48053at50557         -            417   5.1e-11   40.9   0.3   1   3     0.029       1.7    6.2   0.0   286   318     3    35     1    54 0.73 -
80377at50557_39758_0:001a6c|STRG.909.5:1512-2213|+     -            234 48053at50557         -            417   5.1e-11   40.9   0.3   2   3     2e-08   1.2e-06   26.5   0.1   288   414    49   188    42   191 0.79 -
80377at50557_39758_0:001a6c|STRG.909.5:1512-2213|+     -            234 48053at50557         -            417   5.1e-11   40.9   0.3   3   3     0.015      0.86    7.2   0.0   163   209   185   233   180   234 0.81 -
49370at50557_2015173_0:001990|STRG.15772.1:604-1590|+  -            329 48053at50557         -            417   5.8e-11   40.7   0.0   1   5       3.6   2.1e+02   -0.7   0.0   218   252    36    74    16    91 0.77 -
49370at50557_2015173_0:001990|STRG.15772.1:604-1590|+  -            329 48053at50557         -            417   5.8e-11   40.7   0.0   2   5       7.8   4.6e+02   -1.8   0.0   280   317    84   121    70   138 0.71 -
49370at50557_2015173_0:001990|STRG.15772.1:604-1590|+  -            329 48053at50557         -            417   5.8e-11   40.7   0.0   3   5     0.005       0.3    8.7   0.0   187   249   135   203   113   208 0.77 -
49370at50557_2015173_0:001990|STRG.15772.1:604-1590|+  -            329 48053at50557         -            417   5.8e-11   40.7   0.0   4   5   2.9e-05    0.0017   16.1   0.0   292   373   186   271   183   273 0.73 -
