#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
89317at50557_144034_0:0004c3|STRG.834.1:130-843|+     -            238 89317at50557         -            194  5.3e-111  368.2  13.9   1   1    2e-113  6.1e-111  368.0  13.9     1   193    21   233    21   234 0.95 -
89317at50557_34740_0:00197f|STRG.6135.3:810-1580|+    -            257 89317at50557         -            194   1.8e-18   66.2  15.3   2   3   4.4e-07   0.00013   21.0   0.3     2    56    82   137    81   149 0.86 -
89317at50557_34740_0:00197f|STRG.6135.3:810-1580|+    -            257 89317at50557         -            194   1.8e-18   66.2  15.3   3   3   1.9e-13   5.8e-11   41.7   0.9     3    63   169   231   167   236 0.93 -
89317at50557_680683_0:000b83|STRG.6135.1:810-1493|+   -            228 89317at50557         -            194   6.8e-18   64.3  15.1   1   3   0.00017     0.051   12.5   2.0     3    56     2    57     1    74 0.86 -
89317at50557_680683_0:000b83|STRG.6135.1:810-1493|+   -            228 89317at50557         -            194   6.8e-18   64.3  15.1   2   3   3.6e-07   0.00011   21.3   0.3     2    56    82   137    81   149 0.86 -
89317at50557_680683_0:000b83|STRG.6135.1:810-1493|+   -            228 89317at50557         -            194   6.8e-18   64.3  15.1   3   3   1.2e-12   3.6e-10   39.1   0.8     3    53   169   220   167   227 0.91 -
89317at50557_680683_0:000b83|STRG.6135.4:734-1417|+   -            228 89317at50557         -            194   6.8e-18   64.3  15.1   1   3   0.00017     0.051   12.5   2.0     3    56     2    57     1    74 0.86 -
89317at50557_680683_0:000b83|STRG.6135.4:734-1417|+   -            228 89317at50557         -            194   6.8e-18   64.3  15.1   2   3   3.6e-07   0.00011   21.3   0.3     2    56    82   137    81   149 0.86 -
89317at50557_680683_0:000b83|STRG.6135.4:734-1417|+   -            228 89317at50557         -            194   6.8e-18   64.3  15.1   3   3   1.2e-12   3.6e-10   39.1   0.8     3    53   169   220   167   227 0.91 -
89317at50557_680683_0:000b83|STRG.6135.5:734-1417|+   -            228 89317at50557         -            194   6.8e-18   64.3  15.1   1   3   0.00017     0.051   12.5   2.0     3    56     2    57     1    74 0.86 -
89317at50557_680683_0:000b83|STRG.6135.5:734-1417|+   -            228 89317at50557         -            194   6.8e-18   64.3  15.1   2   3   3.6e-07   0.00011   21.3   0.3     2    56    82   137    81   149 0.86 -
89317at50557_680683_0:000b83|STRG.6135.5:734-1417|+   -            228 89317at50557         -            194   6.8e-18   64.3  15.1   3   3   1.2e-12   3.6e-10   39.1   0.8     3    53   169   220   167   227 0.91 -
89317at50557_680683_0:000b83|STRG.6135.6:734-1417|+   -            228 89317at50557         -            194   6.8e-18   64.3  15.1   1   3   0.00017     0.051   12.5   2.0     3    56     2    57     1    74 0.86 -
89317at50557_680683_0:000b83|STRG.6135.6:734-1417|+   -            228 89317at50557         -            194   6.8e-18   64.3  15.1   2   3   3.6e-07   0.00011   21.3   0.3     2    56    82   137    81   149 0.86 -
89317at50557_680683_0:000b83|STRG.6135.6:734-1417|+   -            228 89317at50557         -            194   6.8e-18   64.3  15.1   3   3   1.2e-12   3.6e-10   39.1   0.8     3    53   169   220   167   227 0.91 -
89317at50557_680683_0:000b83|STRG.6135.7:734-1417|+   -            228 89317at50557         -            194   6.8e-18   64.3  15.1   1   3   0.00017     0.051   12.5   2.0     3    56     2    57     1    74 0.86 -
89317at50557_680683_0:000b83|STRG.6135.7:734-1417|+   -            228 89317at50557         -            194   6.8e-18   64.3  15.1   2   3   3.6e-07   0.00011   21.3   0.3     2    56    82   137    81   149 0.86 -
89317at50557_680683_0:000b83|STRG.6135.7:734-1417|+   -            228 89317at50557         -            194   6.8e-18   64.3  15.1   3   3   1.2e-12   3.6e-10   39.1   0.8     3    53   169   220   167   227 0.91 -
89317at50557_168631_0:001c75|STRG.6135.2:929-1360|+   -            144 89317at50557         -            194   1.6e-16   59.8   5.5   1   2   1.7e-07   5.1e-05   22.3   0.4     2    56     1    56     1    68 0.86 -
89317at50557_168631_0:001c75|STRG.6135.2:929-1360|+   -            144 89317at50557         -            194   1.6e-16   59.8   5.5   2   2   5.3e-13   1.6e-10   40.3   0.6     3    53    88   139    86   144 0.93 -
89317at50557_7224_0:001109|STRG.14040.1:3267-3905|+   -            213 89317at50557         -            194   1.9e-16   59.6  23.5   1   3   1.5e-10   4.6e-08   32.2   5.7     2    58     3    60     2    76 0.88 -
89317at50557_7224_0:001109|STRG.14040.1:3267-3905|+   -            213 89317at50557         -            194   1.9e-16   59.6  23.5   2   3   9.9e-09     3e-06   26.3   1.8    10    55    78   123    68   144 0.88 -
89317at50557_7224_0:001109|STRG.14040.1:3267-3905|+   -            213 89317at50557         -            194   1.9e-16   59.6  23.5   3   3   0.00019     0.058   12.3   1.6    12    59   160   207   147   212 0.84 -
89317at50557_7224_0:001109|STRG.14040.2:3147-3785|+   -            213 89317at50557         -            194   1.9e-16   59.6  23.5   1   3   1.5e-10   4.6e-08   32.2   5.7     2    58     3    60     2    76 0.88 -
89317at50557_7224_0:001109|STRG.14040.2:3147-3785|+   -            213 89317at50557         -            194   1.9e-16   59.6  23.5   2   3   9.9e-09     3e-06   26.3   1.8    10    55    78   123    68   144 0.88 -
89317at50557_7224_0:001109|STRG.14040.2:3147-3785|+   -            213 89317at50557         -            194   1.9e-16   59.6  23.5   3   3   0.00019     0.058   12.3   1.6    12    59   160   207   147   212 0.84 -
89317at50557_38123_0:00252b|STRG.833.1:393-713|+      -            107 89317at50557         -            194   8.5e-13   47.7   4.1   1   1   9.7e-15   2.9e-12   45.9   4.1     8   105     1   107     1   107 0.85 -
90369at50557_29031_0:002749|STRG.14205.1:0-2480|+     -            827 89317at50557         -            194   5.5e-11   41.8   7.3   1   2   8.4e-05     0.026   13.5   0.3    11   114   419   462   410   497 0.61 -
90369at50557_29031_0:002749|STRG.14205.1:0-2480|+     -            827 89317at50557         -            194   5.5e-11   41.8   7.3   2   2   4.2e-10   1.3e-07   30.8   2.0     8   124   530   655   523   675 0.76 -
89317at50557_13249_0:000fb7|STRG.14040.1:1998-2483|+  -            162 89317at50557         -            194   6.6e-11   41.5  15.1   1   3   2.2e-07   6.8e-05   21.9   0.3    13    53     2    42     1    52 0.93 -
89317at50557_13249_0:000fb7|STRG.14040.1:1998-2483|+  -            162 89317at50557         -            194   6.6e-11   41.5  15.1   2   3   2.3e-07   6.9e-05   21.9   1.6    10    54    72   115    64   129 0.84 -
89317at50557_13249_0:000fb7|STRG.14040.1:1998-2483|+  -            162 89317at50557         -            194   6.6e-11   41.5  15.1   3   3     0.011       3.3    6.6   1.3     9    32   138   161   127   162 0.87 -
89317at50557_13249_0:000fb7|STRG.14040.2:1878-2363|+  -            162 89317at50557         -            194   6.6e-11   41.5  15.1   1   3   2.2e-07   6.8e-05   21.9   0.3    13    53     2    42     1    52 0.93 -
89317at50557_13249_0:000fb7|STRG.14040.2:1878-2363|+  -            162 89317at50557         -            194   6.6e-11   41.5  15.1   2   3   2.3e-07   6.9e-05   21.9   1.6    10    54    72   115    64   129 0.84 -
89317at50557_13249_0:000fb7|STRG.14040.2:1878-2363|+  -            162 89317at50557         -            194   6.6e-11   41.5  15.1   3   3     0.011       3.3    6.6   1.3     9    32   138   161   127   162 0.87 -
89317at50557_535359_0:0022dc|STRG.14613.1:1249-1683|+ -            145 89317at50557         -            194   2.9e-07   29.7   4.5   1   2     0.027       8.3    5.3   0.6     7    23     9    25     4    33 0.73 -
89317at50557_535359_0:0022dc|STRG.14613.1:1249-1683|+ -            145 89317at50557         -            194   2.9e-07   29.7   4.5   2   2   1.1e-08   3.3e-06   26.2   0.3    89   180    38   137    27   142 0.76 -
89317at50557_535359_0:0022dc|STRG.14613.2:1666-2100|+ -            145 89317at50557         -            194   2.9e-07   29.7   4.5   1   2     0.027       8.3    5.3   0.6     7    23     9    25     4    33 0.73 -
89317at50557_535359_0:0022dc|STRG.14613.2:1666-2100|+ -            145 89317at50557         -            194   2.9e-07   29.7   4.5   2   2   1.1e-08   3.3e-06   26.2   0.3    89   180    38   137    27   142 0.76 -
89317at50557_1155016_0:000ed3|STRG.14041.1:82-438|+   -            119 89317at50557         -            194     1e-05   24.6   0.4   1   2   7.8e-05     0.024   13.6   0.0    11    48     1    38     1    53 0.89 -
89317at50557_1155016_0:000ed3|STRG.14041.1:82-438|+   -            119 89317at50557         -            194     1e-05   24.6   0.4   2   2    0.0014      0.43    9.5   0.1    10    40    83   113    74   117 0.88 -
89317at50557_29031_0:001282|STRG.10167.1:248-577|+    -            110 89317at50557         -            194   0.00065   18.7   4.9   1   1     7e-05     0.021   13.8   4.9    75   163     3    96     1   110 0.59 -
72000at50557_378494_0:002eaf|STRG.1191.2:456-764|+    -            103 89317at50557         -            194   0.00081   18.4   0.9   1   1   3.2e-06   0.00098   18.1   0.9     8    55    46    94    38   101 0.87 -
90369at50557_29031_0:002749|STRG.14204.4:806-2743|+   -            646 89317at50557         -            194      0.02   13.8   1.4   1   1   0.00013     0.038   12.9   1.4     9    64   465   518   457   552 0.76 -
90369at50557_29031_0:002749|STRG.14204.5:806-2743|+   -            646 89317at50557         -            194      0.02   13.8   1.4   1   1   0.00013     0.038   12.9   1.4     9    64   465   518   457   552 0.76 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/89317at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/89317at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/89317at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:31:16 2024
# [ok]
