#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
42648at50557_520822_0:00251c|STRG.7529.1:2-1294|+    -            431 42648at50557         -            349  2.6e-174  578.1  23.7   1   1  5.5e-176  1.5e-173  575.6  23.7     1   349    40   431    40   431 0.93 -
41050at50557_28612_0:003878|STRG.14226.1:510-1649|+  -            380 42648at50557         -            349   8.9e-21   73.1  21.8   3   4   3.7e-06   0.00099   17.1   2.3   100   153   179   232   147   237 0.93 -
41050at50557_28612_0:003878|STRG.14226.1:510-1649|+  -            380 42648at50557         -            349   8.9e-21   73.1  21.8   4   4   4.2e-17   1.1e-14   53.1   3.4    94   210   251   367   239   376 0.89 -
42648at50557_7004_0:0018bf|STRG.9284.2:2554-3090|+   -            179 42648at50557         -            349   6.1e-16   57.2   5.7   1   2   0.00024     0.065   11.1   0.0   166   212    25    71    19    76 0.90 -
42648at50557_7004_0:0018bf|STRG.9284.2:2554-3090|+   -            179 42648at50557         -            349   6.1e-16   57.2   5.7   2   2     6e-16   1.6e-13   49.3   5.0    80   201    50   175    47   179 0.83 -
41050at50557_74869_0:000332|STRG.4097.1:1526-2479|+  -            318 42648at50557         -            349   2.3e-13   48.8  16.3   1   2   3.5e-15   9.3e-13   46.8   8.1   118   330     7   236     4   258 0.81 -
41050at50557_74869_0:000332|STRG.4097.1:1526-2479|+  -            318 42648at50557         -            349   2.3e-13   48.8  16.3   2   2    0.0045       1.2    6.9   1.3   117   160   270   313   249   318 0.61 -
41050at50557_74869_0:000332|STRG.4097.2:1070-2023|+  -            318 42648at50557         -            349   2.3e-13   48.8  16.3   1   2   3.5e-15   9.3e-13   46.8   8.1   118   330     7   236     4   258 0.81 -
41050at50557_74869_0:000332|STRG.4097.2:1070-2023|+  -            318 42648at50557         -            349   2.3e-13   48.8  16.3   2   2    0.0045       1.2    6.9   1.3   117   160   270   313   249   318 0.61 -
41050at50557_7539_0:001472|STRG.2141.1:684-1643|+    -            320 42648at50557         -            349   1.8e-08   32.7  19.6   1   3     0.054        14    3.4   0.1     4    38     8    42     5    84 0.80 -
41050at50557_7539_0:001472|STRG.2141.1:684-1643|+    -            320 42648at50557         -            349   1.8e-08   32.7  19.6   2   3     5e-06    0.0013   16.7   7.4   234   321    94   180    72   196 0.84 -
41050at50557_7539_0:001472|STRG.2141.1:684-1643|+    -            320 42648at50557         -            349   1.8e-08   32.7  19.6   3   3   7.3e-07   0.00019   19.4   1.6    96   184   201   289   191   304 0.86 -
8280at50557_74869_0:001375|STRG.2849.1:443-2005|+    -            521 42648at50557         -            349   1.8e-07   29.4   6.5   1   3     0.027       7.3    4.4   0.0   116   149   157   188   117   206 0.57 -
8280at50557_74869_0:001375|STRG.2849.1:443-2005|+    -            521 42648at50557         -            349   1.8e-07   29.4   6.5   2   3   2.5e-06   0.00067   17.6   0.9   120   275   210   367   191   370 0.73 -
8280at50557_74869_0:001375|STRG.2849.1:443-2005|+    -            521 42648at50557         -            349   1.8e-07   29.4   6.5   3   3   0.00079      0.21    9.4   0.2   197   345   362   513   356   518 0.69 -
8280at50557_74869_0:001375|STRG.2849.3:220-1782|+    -            521 42648at50557         -            349   1.8e-07   29.4   6.5   1   3     0.027       7.3    4.4   0.0   116   149   157   188   117   206 0.57 -
8280at50557_74869_0:001375|STRG.2849.3:220-1782|+    -            521 42648at50557         -            349   1.8e-07   29.4   6.5   2   3   2.5e-06   0.00067   17.6   0.9   120   275   210   367   191   370 0.73 -
8280at50557_74869_0:001375|STRG.2849.3:220-1782|+    -            521 42648at50557         -            349   1.8e-07   29.4   6.5   3   3   0.00079      0.21    9.4   0.2   197   345   362   513   356   518 0.69 -
8280at50557_74869_0:001375|STRG.2849.4:609-2171|+    -            521 42648at50557         -            349   1.8e-07   29.4   6.5   1   3     0.027       7.3    4.4   0.0   116   149   157   188   117   206 0.57 -
8280at50557_74869_0:001375|STRG.2849.4:609-2171|+    -            521 42648at50557         -            349   1.8e-07   29.4   6.5   2   3   2.5e-06   0.00067   17.6   0.9   120   275   210   367   191   370 0.73 -
8280at50557_74869_0:001375|STRG.2849.4:609-2171|+    -            521 42648at50557         -            349   1.8e-07   29.4   6.5   3   3   0.00079      0.21    9.4   0.2   197   345   362   513   356   518 0.69 -
42648at50557_6973_0:00277a|STRG.13609.1:2041-2832|+  -            264 42648at50557         -            349     2e-07   29.2  12.4   1   3   3.7e-06   0.00099   17.1   0.3    11    65    16    76    10    85 0.77 -
42648at50557_6973_0:00277a|STRG.13609.1:2041-2832|+  -            264 42648at50557         -            349     2e-07   29.2  12.4   2   3     0.046        12    3.6   1.8   263   346   101   183    66   189 0.71 -
42648at50557_6973_0:00277a|STRG.13609.1:2041-2832|+  -            264 42648at50557         -            349     2e-07   29.2  12.4   3   3     1e-05    0.0028   15.6   0.7    98   171   180   257   177   263 0.74 -
42648at50557_6973_0:00277a|STRG.13609.2:1913-2704|+  -            264 42648at50557         -            349     2e-07   29.2  12.4   1   3   3.7e-06   0.00099   17.1   0.3    11    65    16    76    10    85 0.77 -
42648at50557_6973_0:00277a|STRG.13609.2:1913-2704|+  -            264 42648at50557         -            349     2e-07   29.2  12.4   2   3     0.046        12    3.6   1.8   263   346   101   183    66   189 0.71 -
42648at50557_6973_0:00277a|STRG.13609.2:1913-2704|+  -            264 42648at50557         -            349     2e-07   29.2  12.4   3   3     1e-05    0.0028   15.6   0.7    98   171   180   257   177   263 0.74 -
42648at50557_6973_0:00277a|STRG.13609.3:2911-3702|+  -            264 42648at50557         -            349     2e-07   29.2  12.4   1   3   3.7e-06   0.00099   17.1   0.3    11    65    16    76    10    85 0.77 -
42648at50557_6973_0:00277a|STRG.13609.3:2911-3702|+  -            264 42648at50557         -            349     2e-07   29.2  12.4   2   3     0.046        12    3.6   1.8   263   346   101   183    66   189 0.71 -
42648at50557_6973_0:00277a|STRG.13609.3:2911-3702|+  -            264 42648at50557         -            349     2e-07   29.2  12.4   3   3     1e-05    0.0028   15.6   0.7    98   171   180   257   177   263 0.74 -
8280at50557_74869_0:001375|STRG.2849.2:60-1850|+     -            597 42648at50557         -            349   3.1e-07   28.6   6.3   1   3     0.026         7    4.4   0.1   116   149   233   264   189   293 0.59 -
8280at50557_74869_0:001375|STRG.2849.2:60-1850|+     -            597 42648at50557         -            349   3.1e-07   28.6   6.3   2   3   2.9e-06   0.00077   17.5   1.1   132   276   297   444   275   463 0.73 -
8280at50557_74869_0:001375|STRG.2849.2:60-1850|+     -            597 42648at50557         -            349   3.1e-07   28.6   6.3   3   3     0.001      0.28    9.0   0.2   197   345   438   589   432   593 0.69 -
8280at50557_7160_0:00112a|STRG.2851.1:326-1354|+     -            343 42648at50557         -            349   4.5e-07   28.1   4.2   1   3      0.29        78    1.0   0.1   240   296    22    75    10    83 0.79 -
8280at50557_7160_0:00112a|STRG.2851.1:326-1354|+     -            343 42648at50557         -            349   4.5e-07   28.1   4.2   2   3    0.0013      0.34    8.7   1.0   141   188    87   138    65   147 0.62 -
8280at50557_7160_0:00112a|STRG.2851.1:326-1354|+     -            343 42648at50557         -            349   4.5e-07   28.1   4.2   3   3   7.4e-07    0.0002   19.4   0.2   143   324   137   319   134   328 0.74 -
42648at50557_69319_0:0001f2|STRG.8279.2:432-1565|+   -            378 42648at50557         -            349   3.6e-06   25.1   1.0   1   2   9.9e-07   0.00026   19.0   0.6    55   161    86   196    73   241 0.74 -
42648at50557_69319_0:0001f2|STRG.8279.2:432-1565|+   -            378 42648at50557         -            349   3.6e-06   25.1   1.0   2   2     0.039        10    3.9   0.0   120   322   335   369   323   378 0.49 -
42648at50557_69319_0:0001f2|STRG.8279.3:293-1426|+   -            378 42648at50557         -            349   3.6e-06   25.1   1.0   1   2   9.9e-07   0.00026   19.0   0.6    55   161    86   196    73   241 0.74 -
42648at50557_69319_0:0001f2|STRG.8279.3:293-1426|+   -            378 42648at50557         -            349   3.6e-06   25.1   1.0   2   2     0.039        10    3.9   0.0   120   322   335   369   323   378 0.49 -
42648at50557_37344_0:002112|STRG.8279.1:169-1305|+   -            379 42648at50557         -            349   3.6e-06   25.1   1.0   1   2   9.9e-07   0.00027   19.0   0.6    55   161    87   197    74   242 0.74 -
42648at50557_37344_0:002112|STRG.8279.1:169-1305|+   -            379 42648at50557         -            349   3.6e-06   25.1   1.0   2   2     0.039        10    3.9   0.0   120   322   336   370   324   379 0.49 -
41766at50557_286306_0:004435|STRG.9956.2:380-1873|+  -            498 42648at50557         -            349   5.5e-06   24.5  10.5   1   3   1.5e-05     0.004   15.1   0.1     1    67    31    99    31   160 0.64 -
41766at50557_286306_0:004435|STRG.9956.2:380-1873|+  -            498 42648at50557         -            349   5.5e-06   24.5  10.5   2   3   0.00059      0.16    9.9   1.8    79   186   215   337   202   348 0.58 -
41766at50557_286306_0:004435|STRG.9956.2:380-1873|+  -            498 42648at50557         -            349   5.5e-06   24.5  10.5   3   3     0.072        19    3.0   0.3    97   207   350   472   346   484 0.64 -
41766at50557_103372_0:0028c3|STRG.9956.5:41-1597|+   -            519 42648at50557         -            349   6.7e-06   24.2  10.9   1   3   1.6e-05    0.0043   15.0   0.1     1    66    36   103    36   165 0.64 -
41766at50557_103372_0:0028c3|STRG.9956.5:41-1597|+   -            519 42648at50557         -            349   6.7e-06   24.2  10.9   2   3   0.00036     0.097   10.5   2.3    79   189   220   345   209   393 0.60 -
41766at50557_103372_0:0028c3|STRG.9956.5:41-1597|+   -            519 42648at50557         -            349   6.7e-06   24.2  10.9   3   3     0.051        14    3.5   0.4    97   208   355   478   348   510 0.67 -
41766at50557_144034_0:000df6|STRG.9956.4:134-1696|+  -            521 42648at50557         -            349   6.8e-06   24.2  10.9   1   3   1.6e-05    0.0043   15.0   0.1     1    66    38   105    38   167 0.64 -
41766at50557_144034_0:000df6|STRG.9956.4:134-1696|+  -            521 42648at50557         -            349   6.8e-06   24.2  10.9   2   3   0.00036     0.097   10.5   2.3    79   189   222   347   211   395 0.60 -
41766at50557_144034_0:000df6|STRG.9956.4:134-1696|+  -            521 42648at50557         -            349   6.8e-06   24.2  10.9   3   3     0.052        14    3.5   0.4    97   208   357   480   350   512 0.67 -
41766at50557_103372_0:0028c3|STRG.9956.3:164-1696|+  -            511 42648at50557         -            349   6.8e-06   24.2  11.0   1   3   1.6e-05    0.0042   15.0   0.1     1    67    28    96    28   157 0.64 -
41766at50557_103372_0:0028c3|STRG.9956.3:164-1696|+  -            511 42648at50557         -            349   6.8e-06   24.2  11.0   2   3   0.00038       0.1   10.5   2.4    79   189   212   337   201   385 0.60 -
41766at50557_103372_0:0028c3|STRG.9956.3:164-1696|+  -            511 42648at50557         -            349   6.8e-06   24.2  11.0   3   3     0.051        13    3.5   0.5    97   208   347   470   339   502 0.67 -
8280at50557_38123_0:003113|STRG.2121.1:201-1232|+    -            344 42648at50557         -            349   7.8e-06   24.0   2.3   1   3       3.8     1e+03   -2.7   0.0   258   279    56    77    49    81 0.76 -
8280at50557_38123_0:003113|STRG.2121.1:201-1232|+    -            344 42648at50557         -            349   7.8e-06   24.0   2.3   2   3     0.009       2.4    6.0   0.1   208   274   116   182    86   202 0.65 -
8280at50557_38123_0:003113|STRG.2121.1:201-1232|+    -            344 42648at50557         -            349   7.8e-06   24.0   2.3   3   3   4.6e-06    0.0012   16.8   0.2   142   181   217   259   178   272 0.78 -
41766at50557_103372_0:0028c3|STRG.9956.1:314-1762|+  -            483 42648at50557         -            349   1.2e-05   23.4  11.0   1   3   3.1e-05    0.0084   14.0   0.1     3    67     2    68     1   129 0.63 -
41766at50557_103372_0:0028c3|STRG.9956.1:314-1762|+  -            483 42648at50557         -            349   1.2e-05   23.4  11.0   2   3   0.00035     0.093   10.6   2.7    78   209   183   333   171   358 0.60 -
41766at50557_103372_0:0028c3|STRG.9956.1:314-1762|+  -            483 42648at50557         -            349   1.2e-05   23.4  11.0   3   3     0.047        13    3.6   0.5    97   208   319   442   311   474 0.67 -
41050at50557_113334_0:003566|STRG.3666.1:768-911|+   -             48 42648at50557         -            349    0.0017   16.3   0.0   1   1   6.4e-06    0.0017   16.3   0.0     6    38     3    35     1    48 0.79 -
83902at50557_7200_0:001fae|STRG.8902.1:738-992|+     -             85 42648at50557         -            349     0.015   13.2   0.1   1   1   6.1e-05     0.016   13.1   0.1   223   292     9    77     1    83 0.81 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/42648at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/42648at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/42648at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:26:39 2024
# [ok]
