#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
75144at50557_34720_0:000d74|STRG.8257.1:134-1306|+   -            391 75144at50557         -            307  3.3e-148  491.7   1.4   1   1  7.5e-149  2.3e-146  485.6   1.4     1   307     7   381     7   381 0.87 -
57613at50557_610380_0:00141b|STRG.811.1:151-1353|+   -            401 75144at50557         -            307   5.1e-40  136.3   0.1   2   2      0.71   2.2e+02   -0.4   0.0   294   307   376   389   342   389 0.88 -
75144at50557_30025_0:002475|STRG.402.1:281-2152|+    -            381 75144at50557         -            307   1.1e-31  109.0   0.1   1   1   1.5e-31   4.6e-29  100.3   0.1     1   286     2   343     2   381 0.68 -
52703at50557_103372_0:001b91|STRG.10130.1:110-1360|+ -            417 75144at50557         -            307   9.4e-26   89.5   0.1   1   1   1.5e-26   4.4e-24   84.0   0.1    33   280    61   343    38   353 0.74 -
52703at50557_103372_0:001b91|STRG.10130.2:110-1372|+ -            421 75144at50557         -            307   1.1e-25   89.3   0.1   1   1   1.5e-26   4.7e-24   83.9   0.1    33   280    65   347    44   357 0.74 -
57613at50557_112268_0:002522|STRG.110.1:33-488|+     -            152 75144at50557         -            307   3.6e-24   84.3   0.0   1   1   1.5e-24   4.6e-22   77.4   0.0   161   282     3   135     1   143 0.80 -
57613at50557_38123_0:002cba|STRG.89.1:6-410|+        -            135 75144at50557         -            307   6.5e-20   70.3   0.0   1   1   2.7e-22   8.3e-20   70.0   0.0    27   124    30   127    22   129 0.93 -
75144at50557_28612_0:003734|STRG.402.2:260-841|+     -            194 75144at50557         -            307   7.2e-20   70.2   0.0   1   1   2.8e-22   8.5e-20   69.9   0.0     1   161     9   193     9   194 0.77 -
75144at50557_28612_0:003734|STRG.402.3:174-755|+     -            194 75144at50557         -            307   7.2e-20   70.2   0.0   1   1   2.8e-22   8.5e-20   69.9   0.0     1   161     9   193     9   194 0.77 -
75144at50557_7539_0:003503|STRG.5163.1:219-1508|+    -            430 75144at50557         -            307   4.5e-19   67.6   0.2   1   3   4.2e-15   1.3e-12   46.3   0.0    53   145    87   187    78   213 0.86 -
75144at50557_7539_0:003503|STRG.5163.1:219-1508|+    -            430 75144at50557         -            307   4.5e-19   67.6   0.2   2   3     0.007       2.1    6.2   0.0   225   244   297   316   257   330 0.86 -
75144at50557_7539_0:003503|STRG.5163.1:219-1508|+    -            430 75144at50557         -            307   4.5e-19   67.6   0.2   3   3   0.00021     0.063   11.2   0.0   240   283   334   378   325   422 0.80 -
75144at50557_7539_0:003503|STRG.9301.1:152-1384|+    -            411 75144at50557         -            307   4.4e-18   64.3   0.1   1   2   4.8e-14   1.4e-11   42.9   0.0    53   161    75   196    57   213 0.82 -
75144at50557_7539_0:003503|STRG.9301.1:152-1384|+    -            411 75144at50557         -            307   4.4e-18   64.3   0.1   2   2   5.3e-06    0.0016   16.5   0.0   239   294   316   383   282   405 0.67 -
75144at50557_7539_0:003503|STRG.9301.2:24-1256|+     -            411 75144at50557         -            307   4.4e-18   64.3   0.1   1   2   4.8e-14   1.4e-11   42.9   0.0    53   161    75   196    57   213 0.82 -
75144at50557_7539_0:003503|STRG.9301.2:24-1256|+     -            411 75144at50557         -            307   4.4e-18   64.3   0.1   2   2   5.3e-06    0.0016   16.5   0.0   239   294   316   383   282   405 0.67 -
57613at50557_38123_0:002cba|STRG.6423.1:174-572|+    -            133 75144at50557         -            307   8.5e-14   50.2   0.1   1   1   4.6e-16   1.4e-13   49.5   0.1    17   107    35   131    10   133 0.73 -
57613at50557_7536_0:002bce|STRG.402.2:1724-2080|+    -            119 75144at50557         -            307   1.5e-11   42.9   0.0   1   1     7e-12   2.1e-09   35.8   0.0   223   294     2    97     1   119 0.64 -
57613at50557_7536_0:002bce|STRG.402.3:1638-1994|+    -            119 75144at50557         -            307   1.5e-11   42.9   0.0   1   1     7e-12   2.1e-09   35.8   0.0   223   294     2    97     1   119 0.64 -
52703at50557_29053_0:000b62|STRG.2582.2:642-1595|+   -            318 75144at50557         -            307   4.7e-11   41.2   0.0   1   1   4.2e-12   1.3e-09   36.5   0.0    70   282    62   288     1   310 0.67 -
52703at50557_116153_0:001375|STRG.2582.3:134-1135|+  -            334 75144at50557         -            307   5.5e-11   41.0   0.0   1   1     5e-12   1.5e-09   36.2   0.0    70   282    62   288     1   310 0.67 -
75144at50557_132113_0:003254|STRG.6776.1:851-1636|+  -            262 75144at50557         -            307   1.4e-09   36.4   0.0   1   1   5.5e-12   1.7e-09   36.1   0.0    65   283     3   247     1   259 0.75 -
57613at50557_6973_0:0030bf|STRG.6424.1:1-444|+       -            148 75144at50557         -            307     3e-09   35.3   0.1   1   2     4e-09   1.2e-06   26.7   0.0   221   279     8    82     6    95 0.79 -
57613at50557_6973_0:0030bf|STRG.6424.1:1-444|+       -            148 75144at50557         -            307     3e-09   35.3   0.1   2   2      0.16        48    1.8   0.1   293   307   125   139    86   139 0.82 -
150643at50557_315563_0:0000a6|STRG.15335.1:69-365|+  -             99 75144at50557         -            307   1.9e-06   26.1   0.0   1   1   1.3e-08   4.1e-06   25.0   0.0   251   307    17    90     5    90 0.73 -
45419at50557_51655_0:002e4f|STRG.1272.8:1608-1862|+  -             85 75144at50557         -            307      0.07   11.1   0.0   1   1   0.00023      0.07   11.1   0.0    85   128     2    45     1    71 0.88 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/75144at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/75144at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/75144at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:30:09 2024
# [ok]
