#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
66691at50557_456900_0:002b0f|STRG.1398.1:336-1436|+   -            367 66691at50557         -            296  2.5e-144  478.9   8.7   1   1  9.7e-146  7.3e-144  477.3   8.7     1   290    15   355    15   360 0.89 -
71739at50557_7213_0:002b67|STRG.12964.1:279-1157|+    -            293 66691at50557         -            296   5.2e-10   37.9   1.2   1   2   9.2e-07   6.9e-05   21.1   0.9    26   146    57   171    53   180 0.86 -
71739at50557_7213_0:002b67|STRG.12964.1:279-1157|+    -            293 66691at50557         -            296   5.2e-10   37.9   1.2   2   2   0.00014     0.011   13.9   0.1    92   189   195   288   136   293 0.62 -
56099at50557_103372_0:001a7e|STRG.15538.1:74-1405|+   -            444 66691at50557         -            296     1e-09   36.9   0.3   1   2     0.016       1.2    7.2   0.0   134   198    82   139    64   146 0.76 -
56099at50557_103372_0:001a7e|STRG.15538.1:74-1405|+   -            444 66691at50557         -            296     1e-09   36.9   0.3   2   2   8.3e-09   6.2e-07   27.8   0.1    29   150   237   355   207   369 0.82 -
31374at50557_217634_0:001dc6|STRG.14278.4:255-656|+   -            134 66691at50557         -            296     2e-09   36.0   0.1   1   2   1.9e-08   1.4e-06   26.6   0.0   122   198     8    77     6    88 0.90 -
31374at50557_217634_0:001dc6|STRG.14278.4:255-656|+   -            134 66691at50557         -            296     2e-09   36.0   0.1   2   2     0.011       0.8    7.7   0.1   118   148    88   118    83   133 0.65 -
40115at50557_1629725_0:001335|STRG.11659.2:192-1055|+ -            288 66691at50557         -            296   2.2e-09   35.8   0.2   1   2     0.076       5.7    4.9   0.0    27    92     3    69     1    79 0.68 -
40115at50557_1629725_0:001335|STRG.11659.2:192-1055|+ -            288 66691at50557         -            296   2.2e-09   35.8   0.2   2   2   7.6e-09   5.7e-07   27.9   0.0    22   199    83   247    68   258 0.85 -
40115at50557_1629725_0:001335|STRG.11659.3:196-1059|+ -            288 66691at50557         -            296   2.2e-09   35.8   0.2   1   2     0.076       5.7    4.9   0.0    27    92     3    69     1    79 0.68 -
40115at50557_1629725_0:001335|STRG.11659.3:196-1059|+ -            288 66691at50557         -            296   2.2e-09   35.8   0.2   2   2   7.6e-09   5.7e-07   27.9   0.0    22   199    83   247    68   258 0.85 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+   -            481 66691at50557         -            296   4.4e-09   34.8   9.7   1   3    0.0038      0.29    9.2   0.8   120   200   121   194   117   213 0.79 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+   -            481 66691at50557         -            296   4.4e-09   34.8   9.7   2   3      0.02       1.5    6.8   0.9    22    84   198   263   191   282 0.71 -
40115at50557_103372_0:0021d6|STRG.4040.1:259-1701|+   -            481 66691at50557         -            296   4.4e-09   34.8   9.7   3   3   4.3e-06   0.00032   18.9   0.2    70   184   365   468   337   479 0.60 -
80377at50557_37344_0:0017d3|STRG.13748.1:892-1851|+   -            320 66691at50557         -            296   6.3e-09   34.3   1.8   1   5     0.024       1.8    6.6   0.0   117   148    67    98    57   102 0.85 -
80377at50557_37344_0:0017d3|STRG.13748.1:892-1851|+   -            320 66691at50557         -            296   6.3e-09   34.3   1.8   2   5   0.00012    0.0091   14.1   0.1    25    70   110   155   106   159 0.91 -
80377at50557_37344_0:0017d3|STRG.13748.1:892-1851|+   -            320 66691at50557         -            296   6.3e-09   34.3   1.8   3   5      0.32        24    2.9   0.1   119   155   172   208   168   223 0.82 -
80377at50557_37344_0:0017d3|STRG.13748.1:892-1851|+   -            320 66691at50557         -            296   6.3e-09   34.3   1.8   4   5     0.053         4    5.4   0.0   275   293   229   247   211   250 0.80 -
80377at50557_37344_0:0017d3|STRG.13748.1:892-1851|+   -            320 66691at50557         -            296   6.3e-09   34.3   1.8   5   5       3.8   2.9e+02   -0.7   0.0    74    91   263   280   255   291 0.75 -
80377at50557_37344_0:0017d3|STRG.13748.2:892-1851|+   -            320 66691at50557         -            296   6.3e-09   34.3   1.8   1   5     0.024       1.8    6.6   0.0   117   148    67    98    57   102 0.85 -
80377at50557_37344_0:0017d3|STRG.13748.2:892-1851|+   -            320 66691at50557         -            296   6.3e-09   34.3   1.8   2   5   0.00012    0.0091   14.1   0.1    25    70   110   155   106   159 0.91 -
80377at50557_37344_0:0017d3|STRG.13748.2:892-1851|+   -            320 66691at50557         -            296   6.3e-09   34.3   1.8   3   5      0.32        24    2.9   0.1   119   155   172   208   168   223 0.82 -
80377at50557_37344_0:0017d3|STRG.13748.2:892-1851|+   -            320 66691at50557         -            296   6.3e-09   34.3   1.8   4   5     0.053         4    5.4   0.0   275   293   229   247   211   250 0.80 -
80377at50557_37344_0:0017d3|STRG.13748.2:892-1851|+   -            320 66691at50557         -            296   6.3e-09   34.3   1.8   5   5       3.8   2.9e+02   -0.7   0.0    74    91   263   280   255   291 0.75 -
80377at50557_37344_0:0017d3|STRG.13748.3:892-1851|+   -            320 66691at50557         -            296   6.3e-09   34.3   1.8   1   5     0.024       1.8    6.6   0.0   117   148    67    98    57   102 0.85 -
80377at50557_37344_0:0017d3|STRG.13748.3:892-1851|+   -            320 66691at50557         -            296   6.3e-09   34.3   1.8   2   5   0.00012    0.0091   14.1   0.1    25    70   110   155   106   159 0.91 -
80377at50557_37344_0:0017d3|STRG.13748.3:892-1851|+   -            320 66691at50557         -            296   6.3e-09   34.3   1.8   3   5      0.32        24    2.9   0.1   119   155   172   208   168   223 0.82 -
80377at50557_37344_0:0017d3|STRG.13748.3:892-1851|+   -            320 66691at50557         -            296   6.3e-09   34.3   1.8   4   5     0.053         4    5.4   0.0   275   293   229   247   211   250 0.80 -
80377at50557_37344_0:0017d3|STRG.13748.3:892-1851|+   -            320 66691at50557         -            296   6.3e-09   34.3   1.8   5   5       3.8   2.9e+02   -0.7   0.0    74    91   263   280   255   291 0.75 -
40115at50557_144034_0:000898|STRG.1523.1:1234-2103|+  -            290 66691at50557         -            296     1e-08   33.6   0.3   1   3    0.0043      0.32    9.0   0.3    25   102     2    77     1   111 0.84 -
40115at50557_144034_0:000898|STRG.1523.1:1234-2103|+  -            290 66691at50557         -            296     1e-08   33.6   0.3   2   3       2.1   1.6e+02    0.2   0.0    40    62   104   126    76   133 0.72 -
40115at50557_144034_0:000898|STRG.1523.1:1234-2103|+  -            290 66691at50557         -            296     1e-08   33.6   0.3   3   3   8.1e-07   6.1e-05   21.2   0.0    28   148   134   250   127   266 0.89 -
40115at50557_144034_0:000898|STRG.1523.2:1420-2289|+  -            290 66691at50557         -            296     1e-08   33.6   0.3   1   3    0.0043      0.32    9.0   0.3    25   102     2    77     1   111 0.84 -
40115at50557_144034_0:000898|STRG.1523.2:1420-2289|+  -            290 66691at50557         -            296     1e-08   33.6   0.3   2   3       2.1   1.6e+02    0.2   0.0    40    62   104   126    76   133 0.72 -
40115at50557_144034_0:000898|STRG.1523.2:1420-2289|+  -            290 66691at50557         -            296     1e-08   33.6   0.3   3   3   8.1e-07   6.1e-05   21.2   0.0    28   148   134   250   127   266 0.89 -
48053at50557_104421_0:0017a2|STRG.3533.1:31-1551|+    -            507 66691at50557         -            296   1.4e-08   33.2   0.2   1   3    0.0089      0.67    8.0   0.1    39   101   233   293   205   328 0.70 -
48053at50557_104421_0:0017a2|STRG.3533.1:31-1551|+    -            507 66691at50557         -            296   1.4e-08   33.2   0.2   2   3   4.6e-07   3.5e-05   22.0   0.1    22   199   258   425   254   437 0.78 -
48053at50557_104421_0:0017a2|STRG.3533.1:31-1551|+    -            507 66691at50557         -            296   1.4e-08   33.2   0.2   3   3       1.4     1e+02    0.8   0.0    16    52   467   500   445   505 0.77 -
43121at50557_103372_0:001d6c|STRG.7934.1:0-1529|+     -            510 66691at50557         -            296   3.1e-08   32.0   0.4   1   2   0.00019     0.015   13.4   0.0   110   200   205   296   195   307 0.89 -
43121at50557_103372_0:001d6c|STRG.7934.1:0-1529|+     -            510 66691at50557         -            296   3.1e-08   32.0   0.4   2   2   3.4e-05    0.0025   15.9   0.2   121   195   309   376   299   390 0.87 -
40115at50557_7370_0:002473|STRG.851.2:242-1281|+      -            265 66691at50557         -            296   3.3e-08   32.0   0.9   1   2   2.9e-07   2.2e-05   22.7   0.2    25   199     2   163     1   166 0.87 -
40115at50557_7370_0:002473|STRG.851.2:242-1281|+      -            265 66691at50557         -            296   3.3e-08   32.0   0.9   2   2      0.12       9.1    4.3   0.1    29    87   132   189   123   261 0.52 -
40115at50557_7370_0:002473|STRG.851.1:242-1114|+      -            291 66691at50557         -            296   5.6e-08   31.2   1.3   1   2   2.6e-07     2e-05   22.8   0.9    25   200     2   164     1   249 0.90 -
40115at50557_7370_0:002473|STRG.851.1:242-1114|+      -            291 66691at50557         -            296   5.6e-08   31.2   1.3   2   2      0.38        29    2.6   0.1    35    97   181   244   165   280 0.61 -
49370at50557_79782_0:001886|STRG.4583.1:1568-2554|+   -            329 66691at50557         -            296     6e-08   31.1   0.1   1   3   2.9e-05    0.0022   16.1   0.0    22    91    36   104     1   122 0.88 -
49370at50557_79782_0:001886|STRG.4583.1:1568-2554|+   -            329 66691at50557         -            296     6e-08   31.1   0.1   2   3       2.1   1.6e+02    0.2   0.0    27    58   173   203   162   213 0.83 -
49370at50557_79782_0:001886|STRG.4583.1:1568-2554|+   -            329 66691at50557         -            296     6e-08   31.1   0.1   3   3     0.026         2    6.4   0.0    23    95   247   318   230   322 0.74 -
43553at50557_79782_0:002ee3|STRG.2177.1:267-1127|+    -            287 66691at50557         -            296   6.3e-08   31.0   3.9   1   4     0.059       4.5    5.3   0.0   261   295    16    49     4    50 0.66 -
43553at50557_79782_0:002ee3|STRG.2177.1:267-1127|+    -            287 66691at50557         -            296   6.3e-08   31.0   3.9   2   4     0.013      0.99    7.4   0.2   167   200    56    89    46   138 0.77 -
43553at50557_79782_0:002ee3|STRG.2177.1:267-1127|+    -            287 66691at50557         -            296   6.3e-08   31.0   3.9   3   4   0.00067     0.051   11.7   0.0    25    67   142   184   132   186 0.90 -
43553at50557_79782_0:002ee3|STRG.2177.1:267-1127|+    -            287 66691at50557         -            296   6.3e-08   31.0   3.9   4   4     0.096       7.3    4.6   0.0    27    62   186   221   182   258 0.88 -
80377at50557_123851_0:001311|STRG.4282.1:494-1288|+   -            265 66691at50557         -            296   7.4e-08   30.8   0.2   1   3      0.16        12    3.9   0.0   169   204     6    41     1    48 0.85 -
80377at50557_123851_0:001311|STRG.4282.1:494-1288|+   -            265 66691at50557         -            296   7.4e-08   30.8   0.2   2   3   2.1e-05    0.0016   16.6   0.0   122   150    68    96    63   109 0.83 -
80377at50557_123851_0:001311|STRG.4282.1:494-1288|+   -            265 66691at50557         -            296   7.4e-08   30.8   0.2   3   3     0.024       1.8    6.6   0.2   122   199   112   185    98   234 0.47 -
31374at50557_133901_0:001035|STRG.14278.2:1079-2605|+ -            509 66691at50557         -            296   9.6e-08   30.4   1.0   1   2   2.8e-07   2.1e-05   22.8   0.0   122   198   352   421   350   430 0.91 -
31374at50557_133901_0:001035|STRG.14278.2:1079-2605|+ -            509 66691at50557         -            296   9.6e-08   30.4   1.0   2   2     0.086       6.4    4.7   0.0   118   148   432   462   428   491 0.73 -
31374at50557_133901_0:001035|STRG.14278.1:1137-2681|+ -            515 66691at50557         -            296     1e-07   30.4   1.1   1   2   2.8e-07   2.1e-05   22.7   0.0   122   198   358   427   356   436 0.91 -
31374at50557_133901_0:001035|STRG.14278.1:1137-2681|+ -            515 66691at50557         -            296     1e-07   30.4   1.1   2   2     0.087       6.5    4.7   0.0   118   148   438   468   434   497 0.73 -
31374at50557_133901_0:001035|STRG.14278.3:356-1900|+  -            515 66691at50557         -            296     1e-07   30.4   1.1   1   2   2.8e-07   2.1e-05   22.7   0.0   122   198   358   427   356   436 0.91 -
31374at50557_133901_0:001035|STRG.14278.3:356-1900|+  -            515 66691at50557         -            296     1e-07   30.4   1.1   2   2     0.087       6.5    4.7   0.0   118   148   438   468   434   497 0.73 -
13625at50557_103372_0:00203b|STRG.1696.1:4-2655|+     -            884 66691at50557         -            296     1e-07   30.4   2.1   1   4     3e-06   0.00023   19.4   0.1    32   147    13   128     7   156 0.87 -
13625at50557_103372_0:00203b|STRG.1696.1:4-2655|+     -            884 66691at50557         -            296     1e-07   30.4   2.1   2   4       5.5   4.2e+02   -1.2   0.1   104   141   251   289   240   340 0.63 -
13625at50557_103372_0:00203b|STRG.1696.1:4-2655|+     -            884 66691at50557         -            296     1e-07   30.4   2.1   3   4         1        78    1.2   0.1   118   196   351   422   336   446 0.72 -
13625at50557_103372_0:00203b|STRG.1696.1:4-2655|+     -            884 66691at50557         -            296     1e-07   30.4   2.1   4   4     0.047       3.6    5.6   0.0    27    92   478   543   471   556 0.76 -
80377at50557_77166_0:002f29|STRG.8999.1:1027-1941|+   -            305 66691at50557         -            296   1.6e-07   29.7   4.2   1   3   0.00025     0.019   13.1   0.0   122   184    25    82    19    92 0.71 -
80377at50557_77166_0:002f29|STRG.8999.1:1027-1941|+   -            305 66691at50557         -            296   1.6e-07   29.7   4.2   2   3     0.037       2.8    5.9   0.0    31    68    68   105    60   133 0.78 -
80377at50557_77166_0:002f29|STRG.8999.1:1027-1941|+   -            305 66691at50557         -            296   1.6e-07   29.7   4.2   3   3    0.0015      0.12   10.5   0.2    21   200   100   269    95   281 0.71 -
78072at50557_156304_0:001dd8|STRG.4182.1:1645-2361|+  -            239 66691at50557         -            296   4.4e-07   28.3   1.4   1   3   7.9e-06    0.0006   18.0   0.0    25   104     2    84     1    96 0.77 -
78072at50557_156304_0:001dd8|STRG.4182.1:1645-2361|+  -            239 66691at50557         -            296   4.4e-07   28.3   1.4   2   3     0.013         1    7.4   0.1    26    64   101   139    94   164 0.83 -
78072at50557_156304_0:001dd8|STRG.4182.1:1645-2361|+  -            239 66691at50557         -            296   4.4e-07   28.3   1.4   3   3       1.5   1.2e+02    0.6   0.0   167   194   194   221   160   232 0.81 -
78072at50557_156304_0:001dd8|STRG.4182.3:1821-2537|+  -            239 66691at50557         -            296   4.4e-07   28.3   1.4   1   3   7.9e-06    0.0006   18.0   0.0    25   104     2    84     1    96 0.77 -
78072at50557_156304_0:001dd8|STRG.4182.3:1821-2537|+  -            239 66691at50557         -            296   4.4e-07   28.3   1.4   2   3     0.013         1    7.4   0.1    26    64   101   139    94   164 0.83 -
78072at50557_156304_0:001dd8|STRG.4182.3:1821-2537|+  -            239 66691at50557         -            296   4.4e-07   28.3   1.4   3   3       1.5   1.2e+02    0.6   0.0   167   194   194   221   160   232 0.81 -
80377at50557_568069_0:004eea|STRG.3544.1:64-918|+     -            285 66691at50557         -            296     5e-07   28.1   1.5   1   4     0.047       3.5    5.6   0.0   166   204     6    44     1    51 0.65 -
80377at50557_568069_0:004eea|STRG.3544.1:64-918|+     -            285 66691at50557         -            296     5e-07   28.1   1.5   2   4    0.0038      0.29    9.2   0.2    34    98    57   119    46   128 0.75 -
80377at50557_568069_0:004eea|STRG.3544.1:64-918|+     -            285 66691at50557         -            296     5e-07   28.1   1.5   3   4     0.042       3.2    5.8   0.0   113   198   171   249   141   255 0.73 -
80377at50557_568069_0:004eea|STRG.3544.1:64-918|+     -            285 66691at50557         -            296     5e-07   28.1   1.5   4   4      0.31        24    2.9   0.0   117   140   258   281   252   283 0.83 -
80377at50557_104688_0:000c4b|STRG.16082.2:190-741|+   -            184 66691at50557         -            296   5.5e-07   28.0   2.4   1   2     0.093         7    4.6   0.0    46    99     3    61     1    71 0.76 -
80377at50557_104688_0:000c4b|STRG.16082.2:190-741|+   -            184 66691at50557         -            296   5.5e-07   28.0   2.4   2   2   3.3e-06   0.00025   19.2   0.6    15    95    79   157    75   165 0.77 -
80377at50557_104688_0:000c4b|STRG.16082.3:190-741|+   -            184 66691at50557         -            296   5.5e-07   28.0   2.4   1   2     0.093         7    4.6   0.0    46    99     3    61     1    71 0.76 -
80377at50557_104688_0:000c4b|STRG.16082.3:190-741|+   -            184 66691at50557         -            296   5.5e-07   28.0   2.4   2   2   3.3e-06   0.00025   19.2   0.6    15    95    79   157    75   165 0.77 -
40115at50557_411798_0:002bfa|STRG.16114.1:1087-1872|+ -            262 66691at50557         -            296   7.7e-07   27.5   0.9   1   3      0.02       1.5    6.8   0.3   160   211    13    66     2    92 0.79 -
40115at50557_411798_0:002bfa|STRG.16114.1:1087-1872|+ -            262 66691at50557         -            296   7.7e-07   27.5   0.9   2   3   3.2e-05    0.0024   16.0   0.0    23    93    99   168    81   180 0.83 -
40115at50557_411798_0:002bfa|STRG.16114.1:1087-1872|+ -            262 66691at50557         -            296   7.7e-07   27.5   0.9   3   3      0.63        48    1.9   0.0    23    53   229   259   191   262 0.82 -
80377at50557_456900_0:000374|STRG.2144.1:90-1136|+    -            349 66691at50557         -            296   7.8e-07   27.5   0.2   1   2     0.007      0.53    8.3   0.1   122   201    60   133    54   216 0.82 -
80377at50557_456900_0:000374|STRG.2144.1:90-1136|+    -            349 66691at50557         -            296   7.8e-07   27.5   0.2   2   2   0.00024     0.018   13.1   0.0    21   143   218   342   212   347 0.75 -
31374at50557_197043_0:003de5|STRG.11659.1:192-809|+   -            206 66691at50557         -            296   1.2e-06   26.8   0.2   1   2   0.00012    0.0089   14.1   0.1   116   193    58   128     9   133 0.74 -
31374at50557_197043_0:003de5|STRG.11659.1:192-809|+   -            206 66691at50557         -            296   1.2e-06   26.8   0.2   2   2     0.012      0.91    7.5   0.0    22    67   138   183   135   200 0.71 -
80377at50557_34740_0:001fa0|STRG.16082.1:128-676|+    -            183 66691at50557         -            296   1.3e-06   26.7   2.6   1   2     0.021       1.5    6.8   0.0    43    99    24    85    19    95 0.82 -
80377at50557_34740_0:001fa0|STRG.16082.1:128-676|+    -            183 66691at50557         -            296   1.3e-06   26.7   2.6   2   2   7.6e-06   0.00057   18.0   0.8    15    92   103   178    99   183 0.74 -
