#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
104832at50557_34720_0:0019e7|STRG.10248.1:303-1124|+  -            274 104832at50557        -            207   3.8e-77  257.4  14.8   1   1   2.7e-77   3.5e-75  251.0  14.8     1   205     4   260     4   264 0.83 -
104832at50557_315563_0:002a5b|STRG.415.5:491-1114|+   -            208 104832at50557        -            207   6.9e-05   21.4   0.1   2   2   1.2e-05    0.0015   17.0   0.0   127   176   153   206   138   208 0.81 -
104832at50557_315563_0:002a5b|STRG.415.6:491-1114|+   -            208 104832at50557        -            207   6.9e-05   21.4   0.1   1   2      0.32        42    2.5   0.0   106   165    46   115    36   138 0.70 -
104832at50557_315563_0:002a5b|STRG.415.6:491-1114|+   -            208 104832at50557        -            207   6.9e-05   21.4   0.1   2   2   1.2e-05    0.0015   17.0   0.0   127   176   153   206   138   208 0.81 -
129956at50557_441921_0:0017da|STRG.3168.1:1173-1403|+ -             77 104832at50557        -            207   0.00027   19.5   0.0   1   1   2.4e-06   0.00031   19.3   0.0   124   165    16    62     6    71 0.75 -
129956at50557_13686_0:0011f5|STRG.1910.1:2618-2845|+  -             76 104832at50557        -            207    0.0016   17.0   0.0   1   1   1.4e-05    0.0018   16.8   0.0   121   164     9    62     4    72 0.73 -
129956at50557_13686_0:0011f5|STRG.1910.2:1182-1409|+  -             76 104832at50557        -            207    0.0016   17.0   0.0   1   1   1.4e-05    0.0018   16.8   0.0   121   164     9    62     4    72 0.73 -
129956at50557_13686_0:0011f5|STRG.1910.3:950-1177|+   -             76 104832at50557        -            207    0.0016   17.0   0.0   1   1   1.4e-05    0.0018   16.8   0.0   121   164     9    62     4    72 0.73 -
129956at50557_13686_0:0011f5|STRG.1910.4:2679-2906|+  -             76 104832at50557        -            207    0.0016   17.0   0.0   1   1   1.4e-05    0.0018   16.8   0.0   121   164     9    62     4    72 0.73 -
129956at50557_13686_0:0011f5|STRG.1910.5:997-1224|+   -             76 104832at50557        -            207    0.0016   17.0   0.0   1   1   1.4e-05    0.0018   16.8   0.0   121   164     9    62     4    72 0.73 -
83433at50557_1507135_0:0010eb|STRG.8927.12:100-981|+  -            294 104832at50557        -            207    0.0026   16.3   0.0   1   2    0.0055      0.72    8.3   0.0   127   166    30    67    25    91 0.82 -
83433at50557_1507135_0:0010eb|STRG.8927.12:100-981|+  -            294 104832at50557        -            207    0.0026   16.3   0.0   2   2     0.024       3.1    6.2   0.0   125   173   107   157    73   170 0.75 -
83433at50557_1507135_0:0010eb|STRG.8927.11:100-987|+  -            296 104832at50557        -            207    0.0026   16.3   0.0   1   2    0.0056      0.73    8.3   0.0   127   166    30    67    25    91 0.82 -
83433at50557_1507135_0:0010eb|STRG.8927.11:100-987|+  -            296 104832at50557        -            207    0.0026   16.3   0.0   2   2     0.024       3.2    6.2   0.0   125   173   107   157    73   170 0.75 -
83433at50557_1507135_0:0010eb|STRG.8927.16:224-1111|+ -            296 104832at50557        -            207    0.0026   16.3   0.0   1   2    0.0056      0.73    8.3   0.0   127   166    30    67    25    91 0.82 -
83433at50557_1507135_0:0010eb|STRG.8927.16:224-1111|+ -            296 104832at50557        -            207    0.0026   16.3   0.0   2   2     0.024       3.2    6.2   0.0   125   173   107   157    73   170 0.75 -
83433at50557_156304_0:001c1d|STRG.8927.15:224-1177|+  -            318 104832at50557        -            207    0.0032   16.0   0.0   1   2    0.0063      0.83    8.1   0.0   127   166    30    67    25    90 0.82 -
83433at50557_156304_0:001c1d|STRG.8927.15:224-1177|+  -            318 104832at50557        -            207    0.0032   16.0   0.0   2   2     0.027       3.5    6.1   0.0   125   173   107   157    73   171 0.75 -
83433at50557_13686_0:000d60|STRG.8927.9:123-1121|+    -            333 104832at50557        -            207    0.0036   15.8   0.0   1   2    0.0068      0.89    8.0   0.0   127   166    30    67    25    90 0.82 -
83433at50557_13686_0:000d60|STRG.8927.9:123-1121|+    -            333 104832at50557        -            207    0.0036   15.8   0.0   2   2     0.028       3.6    6.0   0.0   125   173   107   157    71   171 0.75 -
83433at50557_286306_0:001317|STRG.8927.8:105-1094|+   -            330 104832at50557        -            207    0.0037   15.8   0.0   1   2    0.0067      0.88    8.0   0.0   127   166    36    73    31    96 0.82 -
83433at50557_286306_0:001317|STRG.8927.8:105-1094|+   -            330 104832at50557        -            207    0.0037   15.8   0.0   2   2     0.027       3.6    6.0   0.0   125   173   113   163    77   177 0.75 -
83433at50557_286306_0:001317|STRG.8927.7:106-1140|+   -            345 104832at50557        -            207    0.0041   15.6   0.0   1   2    0.0071      0.94    7.9   0.0   127   166    36    73    31    96 0.82 -
83433at50557_286306_0:001317|STRG.8927.7:106-1140|+   -            345 104832at50557        -            207    0.0041   15.6   0.0   2   2     0.029       3.9    5.9   0.0   125   173   113   163    77   177 0.75 -
83433at50557_286306_0:001317|STRG.8927.6:106-1146|+   -            347 104832at50557        -            207    0.0042   15.6   0.0   1   2    0.0072      0.94    7.9   0.0   127   166    36    73    31    96 0.82 -
83433at50557_286306_0:001317|STRG.8927.6:106-1146|+   -            347 104832at50557        -            207    0.0042   15.6   0.0   2   2      0.03       3.9    5.9   0.0   125   173   113   163    77   177 0.75 -
83433at50557_13686_0:000d60|STRG.8927.1:126-1235|+    -            370 104832at50557        -            207    0.0044   15.5   0.0   1   2    0.0079         1    7.8   0.0   127   166    30    67    25    90 0.82 -
83433at50557_13686_0:000d60|STRG.8927.1:126-1235|+    -            370 104832at50557        -            207    0.0044   15.5   0.0   2   2     0.037       4.8    5.6   0.0   125   173   107   157    76   171 0.76 -
83433at50557_13686_0:000d60|STRG.8927.4:125-1189|+    -            355 104832at50557        -            207    0.0045   15.5   0.0   1   2    0.0074      0.98    7.9   0.0   127   166    30    67    25    90 0.82 -
83433at50557_13686_0:000d60|STRG.8927.4:125-1189|+    -            355 104832at50557        -            207    0.0045   15.5   0.0   2   2     0.031         4    5.9   0.0   125   173   107   157    71   171 0.75 -
83433at50557_286306_0:001317|STRG.8927.5:106-1173|+   -            356 104832at50557        -            207    0.0045   15.5   0.0   1   2    0.0075      0.98    7.9   0.0   127   166    36    73    31    96 0.82 -
83433at50557_286306_0:001317|STRG.8927.5:106-1173|+   -            356 104832at50557        -            207    0.0045   15.5   0.0   2   2     0.031       4.1    5.8   0.0   125   173   113   163    77   177 0.75 -
83433at50557_13686_0:000d60|STRG.8927.13:250-1362|+   -            371 104832at50557        -            207    0.0049   15.4   0.0   1   2    0.0079         1    7.8   0.0   127   166    30    67    25    90 0.82 -
83433at50557_13686_0:000d60|STRG.8927.13:250-1362|+   -            371 104832at50557        -            207    0.0049   15.4   0.0   2   2     0.037       4.8    5.6   0.0   125   173   107   157    76   171 0.76 -
83433at50557_13686_0:000d60|STRG.8927.2:125-1237|+    -            371 104832at50557        -            207    0.0049   15.4   0.0   1   2    0.0079         1    7.8   0.0   127   166    30    67    25    90 0.82 -
83433at50557_13686_0:000d60|STRG.8927.2:125-1237|+    -            371 104832at50557        -            207    0.0049   15.4   0.0   2   2     0.037       4.8    5.6   0.0   125   173   107   157    76   171 0.76 -
83433at50557_13686_0:000d60|STRG.8927.3:125-1237|+    -            371 104832at50557        -            207    0.0049   15.4   0.0   1   2    0.0079         1    7.8   0.0   127   166    30    67    25    90 0.82 -
83433at50557_13686_0:000d60|STRG.8927.3:125-1237|+    -            371 104832at50557        -            207    0.0049   15.4   0.0   2   2     0.037       4.8    5.6   0.0   125   173   107   157    76   171 0.76 -
49780at50557_13686_0:001eb7|STRG.11411.1:2-2191|+     -            730 104832at50557        -            207    0.0049   15.4   0.0   1   3      0.23        30    3.0   0.0   128   161    87   121    72   152 0.79 -
49780at50557_13686_0:001eb7|STRG.11411.1:2-2191|+     -            730 104832at50557        -            207    0.0049   15.4   0.0   2   3       1.2   1.6e+02    0.7   0.0   143   166   307   330   261   350 0.80 -
49780at50557_13686_0:001eb7|STRG.11411.1:2-2191|+     -            730 104832at50557        -            207    0.0049   15.4   0.0   3   3     0.012       1.6    7.1   0.0   128   164   368   404   362   412 0.92 -
117816at50557_121225_0:000cee|STRG.4365.1:114-617|+   -            168 104832at50557        -            207     0.005   15.4   0.1   1   2     0.012       1.6    7.2   0.0   114   167     4    69     1    88 0.70 -
117816at50557_121225_0:000cee|STRG.4365.1:114-617|+   -            168 104832at50557        -            207     0.005   15.4   0.1   2   2     0.015       1.9    6.9   0.0   141   166   132   157    77   168 0.80 -
117816at50557_121225_0:000cee|STRG.4365.2:130-633|+   -            168 104832at50557        -            207     0.005   15.4   0.1   1   2     0.012       1.6    7.2   0.0   114   167     4    69     1    88 0.70 -
117816at50557_121225_0:000cee|STRG.4365.2:130-633|+   -            168 104832at50557        -            207     0.005   15.4   0.1   2   2     0.015       1.9    6.9   0.0   141   166   132   157    77   168 0.80 -
83433at50557_286306_0:001317|STRG.8927.10:82-1303|+   -            378 104832at50557        -            207    0.0052   15.3   0.0   1   2    0.0081       1.1    7.7   0.0   127   166    36    73    31    96 0.82 -
83433at50557_286306_0:001317|STRG.8927.10:82-1303|+   -            378 104832at50557        -            207    0.0052   15.3   0.0   2   2     0.038         5    5.6   0.0   125   173   113   163    82   177 0.76 -
83433at50557_286306_0:001317|STRG.8927.14:206-1427|+  -            378 104832at50557        -            207    0.0052   15.3   0.0   1   2    0.0081       1.1    7.7   0.0   127   166    36    73    31    96 0.82 -
83433at50557_286306_0:001317|STRG.8927.14:206-1427|+  -            378 104832at50557        -            207    0.0052   15.3   0.0   2   2     0.038         5    5.6   0.0   125   173   113   163    82   177 0.76 -
129956at50557_7159_0:0030fc|STRG.11122.1:2393-2608|+  -             72 104832at50557        -            207     0.006   15.1   0.0   1   1   4.5e-05     0.006   15.1   0.0   136   169    34    64     9    72 0.72 -
129956at50557_7159_0:0030fc|STRG.11122.2:2048-2263|+  -             72 104832at50557        -            207     0.006   15.1   0.0   1   1   4.5e-05     0.006   15.1   0.0   136   169    34    64     9    72 0.72 -
129956at50557_7159_0:0030fc|STRG.11122.3:2367-2582|+  -             72 104832at50557        -            207     0.006   15.1   0.0   1   1   4.5e-05     0.006   15.1   0.0   136   169    34    64     9    72 0.72 -
129956at50557_7159_0:0030fc|STRG.11122.4:2703-2918|+  -             72 104832at50557        -            207     0.006   15.1   0.0   1   1   4.5e-05     0.006   15.1   0.0   136   169    34    64     9    72 0.72 -
129956at50557_7159_0:0030fc|STRG.11122.5:2376-2591|+  -             72 104832at50557        -            207     0.006   15.1   0.0   1   1   4.5e-05     0.006   15.1   0.0   136   169    34    64     9    72 0.72 -
129956at50557_7176_0:003daf|STRG.11122.7:1307-1522|+  -             72 104832at50557        -            207     0.006   15.1   0.0   1   1   4.5e-05     0.006   15.1   0.0   136   169    34    64     9    72 0.72 -
129956at50557_7176_0:003daf|STRG.11122.8:745-960|+    -             72 104832at50557        -            207     0.006   15.1   0.0   1   1   4.5e-05     0.006   15.1   0.0   136   169    34    64     9    72 0.72 -
129956at50557_7176_0:003daf|STRG.11122.9:276-491|+    -             72 104832at50557        -            207     0.006   15.1   0.0   1   1   4.5e-05     0.006   15.1   0.0   136   169    34    64     9    72 0.72 -
129956at50557_29053_0:00060a|STRG.1787.1:419-673|+    -             85 104832at50557        -            207     0.016   13.7   0.0   1   1   0.00013     0.016   13.7   0.0   128   178    24    77     6    85 0.69 -
129956at50557_29053_0:00060a|STRG.1787.2:419-673|+    -             85 104832at50557        -            207     0.016   13.7   0.0   1   1   0.00013     0.016   13.7   0.0   128   178    24    77     6    85 0.69 -
129956at50557_29053_0:00060a|STRG.1787.3:419-673|+    -             85 104832at50557        -            207     0.016   13.7   0.0   1   1   0.00013     0.016   13.7   0.0   128   178    24    77     6    85 0.69 -
129956at50557_7159_0:0030fc|STRG.2799.1:1173-1412|+   -             80 104832at50557        -            207     0.022   13.3   0.0   1   1   0.00017     0.022   13.3   0.0   140   166    38    64     7    79 0.72 -
129956at50557_7536_0:0043e4|STRG.15167.1:1561-1878|+  -            106 104832at50557        -            207     0.026   13.0   0.0   1   1   0.00026     0.034   12.6   0.0   141   164    39    62     4    79 0.77 -
129956at50557_7536_0:0043e4|STRG.15167.6:552-869|+    -            106 104832at50557        -            207     0.026   13.0   0.0   1   1   0.00026     0.034   12.6   0.0   141   164    39    62     4    79 0.77 -
129956at50557_7536_0:0043e4|STRG.15167.13:548-901|+   -            118 104832at50557        -            207     0.032   12.7   0.0   1   1   0.00035     0.046   12.2   0.0   141   164    39    62     5    78 0.77 -
129956at50557_7536_0:0043e4|STRG.15167.4:552-905|+    -            118 104832at50557        -            207     0.032   12.7   0.0   1   1   0.00035     0.046   12.2   0.0   141   164    39    62     5    78 0.77 -
129956at50557_7536_0:0043e4|STRG.15167.7:548-901|+    -            118 104832at50557        -            207     0.032   12.7   0.0   1   1   0.00035     0.046   12.2   0.0   141   164    39    62     5    78 0.77 -
129956at50557_7536_0:0043e4|STRG.15167.8:548-901|+    -            118 104832at50557        -            207     0.032   12.7   0.0   1   1   0.00035     0.046   12.2   0.0   141   164    39    62     5    78 0.77 -
83433at50557_133901_0:001dd1|STRG.1787.1:146-667|+    -            174 104832at50557        -            207     0.033   12.7   0.0   1   2       2.6   3.4e+02   -0.4   0.0   137   153    34    52    13    65 0.67 -
83433at50557_133901_0:001dd1|STRG.1787.1:146-667|+    -            174 104832at50557        -            207     0.033   12.7   0.0   2   2    0.0011      0.14   10.6   0.0   128   177   115   167    92   173 0.71 -
83433at50557_133901_0:001dd1|STRG.1787.2:146-667|+    -            174 104832at50557        -            207     0.033   12.7   0.0   1   2       2.6   3.4e+02   -0.4   0.0   137   153    34    52    13    65 0.67 -
83433at50557_133901_0:001dd1|STRG.1787.2:146-667|+    -            174 104832at50557        -            207     0.033   12.7   0.0   2   2    0.0011      0.14   10.6   0.0   128   177   115   167    92   173 0.71 -
83433at50557_133901_0:001dd1|STRG.1787.3:146-667|+    -            174 104832at50557        -            207     0.033   12.7   0.0   1   2       2.6   3.4e+02   -0.4   0.0   137   153    34    52    13    65 0.67 -
83433at50557_133901_0:001dd1|STRG.1787.3:146-667|+    -            174 104832at50557        -            207     0.033   12.7   0.0   2   2    0.0011      0.14   10.6   0.0   128   177   115   167    92   173 0.71 -
129956at50557_7176_0:003daf|STRG.14433.1:1278-1517|+  -             80 104832at50557        -            207     0.063   11.7   0.0   1   1   0.00048     0.063   11.7   0.0   140   165    38    63    10    79 0.80 -
129956at50557_7176_0:003daf|STRG.14433.2:1113-1352|+  -             80 104832at50557        -            207     0.063   11.7   0.0   1   1   0.00048     0.063   11.7   0.0   140   165    38    63    10    79 0.80 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/104832at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/104832at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/104832at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:21:10 2024
# [ok]
