#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
120478at50557_103372_0:000c5c|STRG.5979.1:207-689|+  -            161 120478at50557        -            136   3.9e-71  236.4   0.1   1   1   1.4e-73   4.6e-71  236.1   0.1     1   136     3   160     3   160 0.94 -
27737at50557_67767_0:00339d|STRG.9385.3:566-1012|+   -            149 120478at50557        -            136     2e-19   68.9   0.0   1   1   8.5e-22   2.8e-19   68.5   0.0     6   115    14   141    10   146 0.80 -
27737at50557_121845_0:000a82|STRG.15156.1:399-996|+  -            165 120478at50557        -            136   7.3e-19   67.1   0.2   1   1   4.6e-20   1.5e-17   62.9   0.2     7   117    13   152    10   160 0.75 -
27737at50557_121845_0:000a82|STRG.15156.2:320-814|+  -            165 120478at50557        -            136   7.3e-19   67.1   0.2   1   1   4.6e-20   1.5e-17   62.9   0.2     7   117    13   152    10   160 0.75 -
92898at50557_62324_0:001787|STRG.15039.1:239-733|+   -            165 120478at50557        -            136   1.7e-18   65.9   0.1   1   1   9.6e-21   3.1e-18   65.1   0.1     1   113     3   138     3   150 0.81 -
92898at50557_62324_0:001787|STRG.15039.2:239-733|+   -            165 120478at50557        -            136   1.7e-18   65.9   0.1   1   1   9.6e-21   3.1e-18   65.1   0.1     1   113     3   138     3   150 0.81 -
120478at50557_121845_0:00199d|STRG.5941.4:655-1110|+ -            152 120478at50557        -            136   3.1e-17   61.9   0.0   1   1   3.4e-19   1.1e-16   60.0   0.0     5   126     1   148     1   152 0.76 -
120478at50557_411798_0:003623|STRG.5941.1:647-1102|+ -            152 120478at50557        -            136   3.1e-17   61.9   0.0   1   1   3.4e-19   1.1e-16   60.0   0.0     5   126     1   148     1   152 0.76 -
27737at50557_121845_0:000a82|STRG.7068.3:494-868|+   -            125 120478at50557        -            136   3.9e-15   55.0   0.0   1   2   1.2e-06   0.00039   19.4   0.0     7    51    12    65     8    69 0.83 -
27737at50557_121845_0:000a82|STRG.7068.3:494-868|+   -            125 120478at50557        -            136   3.9e-15   55.0   0.0   2   2   2.9e-11   9.4e-09   34.4   0.0    72   115    68   114    64   125 0.84 -
42193at50557_123851_0:000a5d|STRG.4743.1:210-650|+   -            147 120478at50557        -            136   1.4e-13   50.1   0.4   1   1   2.4e-15   7.9e-13   47.6   0.4    11   114     4   133     1   144 0.69 -
42193at50557_123851_0:000a5d|STRG.4743.3:210-650|+   -            147 120478at50557        -            136   1.4e-13   50.1   0.4   1   1   2.4e-15   7.9e-13   47.6   0.4    11   114     4   133     1   144 0.69 -
42193at50557_7539_0:00337e|STRG.15156.3:2-398|+      -             98 120478at50557        -            136   1.7e-10   40.0   0.0   1   1   6.2e-13     2e-10   39.8   0.0    41   117     2    90     1    95 0.75 -
42193at50557_123851_0:000a5d|STRG.9748.1:424-888|+   -            155 120478at50557        -            136     2e-10   39.8   0.0   1   1     8e-13   2.6e-10   39.4   0.0     8   124     2   137     1   148 0.74 -
42193at50557_7539_0:00337e|STRG.4743.2:346-639|+     -             98 120478at50557        -            136   2.8e-10   39.3   0.1   1   1   9.9e-13   3.2e-10   39.1   0.1    41   114     1    84     1    95 0.79 -
42193at50557_7539_0:00337e|STRG.9095.1:5-304|+       -            100 120478at50557        -            136   1.4e-09   37.1   0.0   1   1   5.3e-12   1.7e-09   36.8   0.0    51   110     5    72     2    88 0.80 -
42193at50557_88501_0:0015e5|STRG.12324.2:149-3572|+  -            755 120478at50557        -            136   0.00037   19.5   0.6   1   2       2.8   9.1e+02   -1.2   0.1    85   123   109   148    89   153 0.70 -
42193at50557_88501_0:0015e5|STRG.12324.2:149-3572|+  -            755 120478at50557        -            136   0.00037   19.5   0.6   2   2   4.5e-06    0.0015   17.6   0.1     1    58   285   352   285   362 0.77 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/120478at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/120478at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/120478at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:22:17 2024
# [ok]
