#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
25500at50557_13686_0:0020f5|STRG.4579.1:202-2007|+     -            602 25500at50557         -            513  3.1e-292  968.8   7.5   1   1  3.1e-291  1.5e-289  959.9   7.5     1   513     6   599     6   599 0.91 -
78072at50557_34720_0:000cf9|STRG.13119.4:229-1245|+    -            339 25500at50557         -            513   5.9e-15   53.9   2.6   2   4   2.5e-09   1.2e-07   29.8   0.1   158   255    36   140    33   155 0.85 -
78072at50557_34720_0:000cf9|STRG.13119.4:229-1245|+    -            339 25500at50557         -            513   5.9e-15   53.9   2.6   3   4   9.7e-06   0.00048   17.9   0.1   181   250   150   225   141   238 0.83 -
78072at50557_34720_0:000cf9|STRG.13119.4:229-1245|+    -            339 25500at50557         -            513   5.9e-15   53.9   2.6   4   4      0.51        26    2.3   0.0   137   167   304   334   294   337 0.79 -
78072at50557_34720_0:000cf9|STRG.13119.3:196-1209|+    -            338 25500at50557         -            513   9.3e-15   53.3   3.0   1   4    0.0019     0.095   10.4   0.0   443   493    19    71     8    73 0.75 -
78072at50557_34720_0:000cf9|STRG.13119.3:196-1209|+    -            338 25500at50557         -            513   9.3e-15   53.3   3.0   2   4     3e-09   1.5e-07   29.5   0.1   158   255    35   139    32   150 0.86 -
78072at50557_34720_0:000cf9|STRG.13119.3:196-1209|+    -            338 25500at50557         -            513   9.3e-15   53.3   3.0   3   4   8.3e-06   0.00042   18.1   0.1   181   250   149   224   139   246 0.83 -
78072at50557_34720_0:000cf9|STRG.13119.3:196-1209|+    -            338 25500at50557         -            513   9.3e-15   53.3   3.0   4   4      0.51        25    2.3   0.0   137   167   303   333   293   336 0.79 -
40115at50557_28612_0:000941|STRG.8740.1:278-1135|+     -            286 25500at50557         -            513   1.3e-14   52.8   0.9   1   2     5e-06   0.00025   18.9   0.0   403   469     5    77     2    85 0.82 -
40115at50557_28612_0:000941|STRG.8740.1:278-1135|+     -            286 25500at50557         -            513   1.3e-14   52.8   0.9   2   2   3.4e-10   1.7e-08   32.6   0.3   138   331    89   286    80   286 0.83 -
40115at50557_7370_0:002473|STRG.8742.1:174-1016|+      -            281 25500at50557         -            513   1.8e-14   52.4   0.6   1   3      0.22        11    3.5   0.0   141   171     3    33     1    45 0.81 -
40115at50557_7370_0:002473|STRG.8742.1:174-1016|+      -            281 25500at50557         -            513   1.8e-14   52.4   0.6   2   3   1.3e-12   6.4e-11   40.6   0.4    51   248    42   236    34   242 0.88 -
40115at50557_7370_0:002473|STRG.8742.1:174-1016|+      -            281 25500at50557         -            513   1.8e-14   52.4   0.6   3   3     0.057       2.9    5.5   0.0   403   467   252   280   243   281 0.59 -
40115at50557_7370_0:002473|STRG.851.2:242-1281|+       -            265 25500at50557         -            513   4.1e-14   51.1   3.6   1   2   2.3e-06   0.00012   20.0   0.5   404   473     5    80     2   100 0.46 -
40115at50557_7370_0:002473|STRG.851.2:242-1281|+       -            265 25500at50557         -            513   4.1e-14   51.1   3.6   2   2   3.1e-12   1.6e-10   39.3   0.2   156   346    63   262    61   265 0.84 -
40115at50557_7370_0:002473|STRG.851.1:242-1114|+       -            291 25500at50557         -            513   4.8e-14   50.9   4.3   1   2   2.2e-06   0.00011   20.1   0.5    52   149     5    99     2   101 0.48 -
40115at50557_7370_0:002473|STRG.851.1:242-1114|+       -            291 25500at50557         -            513   4.8e-14   50.9   4.3   2   2   2.4e-12   1.2e-10   39.7   0.2   156   349    63   265    62   285 0.84 -
31374at50557_103372_0:0017b9|STRG.7093.1:92-2047|+     -            652 25500at50557         -            513   1.1e-13   49.7   0.2   1   3      0.52        26    2.3   0.0   449   490   331   371   314   382 0.86 -
31374at50557_103372_0:0017b9|STRG.7093.1:92-2047|+     -            652 25500at50557         -            513   1.1e-13   49.7   0.2   2   3     1e-08   5.2e-07   27.7   0.2   206   345   380   521   373   522 0.82 -
31374at50557_103372_0:0017b9|STRG.7093.1:92-2047|+     -            652 25500at50557         -            513   1.1e-13   49.7   0.2   3   3     2e-05     0.001   16.9   0.0   400   477   517   600   514   616 0.80 -
78072at50557_286306_0:00290a|STRG.13119.1:313-2259|+   -            605 25500at50557         -            513   3.4e-13   48.1   3.5   1   4    0.0046      0.23    9.1   0.0   444   493    18    69     8    71 0.75 -
78072at50557_286306_0:00290a|STRG.13119.1:313-2259|+   -            605 25500at50557         -            513   3.4e-13   48.1   3.5   2   4   8.9e-09   4.4e-07   27.9   0.1   158   254    33   136    29   146 0.86 -
78072at50557_286306_0:00290a|STRG.13119.1:313-2259|+   -            605 25500at50557         -            513   3.4e-13   48.1   3.5   3   4   2.4e-05    0.0012   16.6   0.1   181   250   147   222   142   246 0.83 -
78072at50557_286306_0:00290a|STRG.13119.1:313-2259|+   -            605 25500at50557         -            513   3.4e-13   48.1   3.5   4   4       1.6        79    0.7   0.1   137   166   301   330   292   353 0.76 -
57752at50557_103372_0:000c5a|STRG.2346.1:163-1527|+    -            455 25500at50557         -            513   4.1e-13   47.9   0.0   1   2   9.7e-05    0.0048   14.6   0.0   293   355   134   196   129   226 0.90 -
57752at50557_103372_0:000c5a|STRG.2346.1:163-1527|+    -            455 25500at50557         -            513   4.1e-13   47.9   0.0   2   2     2e-09   9.9e-08   30.1   0.0   112   300   243   430   200   441 0.81 -
57752at50557_103372_0:000c5a|STRG.2346.3:163-1527|+    -            455 25500at50557         -            513   4.1e-13   47.9   0.0   1   2   9.7e-05    0.0048   14.6   0.0   293   355   134   196   129   226 0.90 -
57752at50557_103372_0:000c5a|STRG.2346.3:163-1527|+    -            455 25500at50557         -            513   4.1e-13   47.9   0.0   2   2     2e-09   9.9e-08   30.1   0.0   112   300   243   430   200   441 0.81 -
80377at50557_456900_0:000374|STRG.2144.1:90-1136|+     -            349 25500at50557         -            513   5.8e-13   47.3   0.6   1   3   1.3e-05   0.00067   17.5   0.0   193   254    70   131    54   138 0.82 -
80377at50557_456900_0:000374|STRG.2144.1:90-1136|+     -            349 25500at50557         -            513   5.8e-13   47.3   0.6   2   3   1.9e-05   0.00093   17.0   0.0   129   253   131   256   130   267 0.83 -
80377at50557_456900_0:000374|STRG.2144.1:90-1136|+     -            349 25500at50557         -            513   5.8e-13   47.3   0.6   3   3   0.00019    0.0092   13.7   0.0    61   165   234   342   225   347 0.77 -
43553at50557_79782_0:002ee3|STRG.2177.1:267-1127|+     -            287 25500at50557         -            513   6.5e-13   47.2   2.6   1   3   0.00069     0.034   11.8   0.1   299   478    10    52     2    60 0.58 -
43553at50557_79782_0:002ee3|STRG.2177.1:267-1127|+     -            287 25500at50557         -            513   6.5e-13   47.2   2.6   2   3    0.0049      0.25    9.0   0.0   193   258    70   139    56   143 0.67 -
43553at50557_79782_0:002ee3|STRG.2177.1:267-1127|+     -            287 25500at50557         -            513   6.5e-13   47.2   2.6   3   3   7.5e-08   3.7e-06   24.9   0.1   222   353   144   281   137   285 0.81 -
40115at50557_1629725_0:001335|STRG.11659.2:192-1055|+  -            288 25500at50557         -            513   9.9e-13   46.6   4.8   1   3     0.017      0.86    7.2   0.0   439   508     3    73     2    79 0.83 -
40115at50557_1629725_0:001335|STRG.11659.2:192-1055|+  -            288 25500at50557         -            513   9.9e-13   46.6   4.8   2   3   4.7e-09   2.4e-07   28.8   0.3    60   248    57   240    51   248 0.86 -
40115at50557_1629725_0:001335|STRG.11659.2:192-1055|+  -            288 25500at50557         -            513   9.9e-13   46.6   4.8   3   3   1.7e-08   8.5e-07   27.0   0.5    22   209   100   287    98   288 0.81 -
40115at50557_1629725_0:001335|STRG.11659.3:196-1059|+  -            288 25500at50557         -            513   9.9e-13   46.6   4.8   1   3     0.017      0.86    7.2   0.0   439   508     3    73     2    79 0.83 -
40115at50557_1629725_0:001335|STRG.11659.3:196-1059|+  -            288 25500at50557         -            513   9.9e-13   46.6   4.8   2   3   4.7e-09   2.4e-07   28.8   0.3    60   248    57   240    51   248 0.86 -
40115at50557_1629725_0:001335|STRG.11659.3:196-1059|+  -            288 25500at50557         -            513   9.9e-13   46.6   4.8   3   3   1.7e-08   8.5e-07   27.0   0.5    22   209   100   287    98   288 0.81 -
49370at50557_456900_0:00265d|STRG.6693.1:222-1790|+    -            523 25500at50557         -            513   1.5e-12   46.0   0.0   1   3      0.52        26    2.3   0.0   302   354   222   274   214   286 0.85 -
49370at50557_456900_0:00265d|STRG.6693.1:222-1790|+    -            523 25500at50557         -            513   1.5e-12   46.0   0.0   2   3      0.13       6.7    4.3   0.0   194   261   294   362   273   376 0.66 -
49370at50557_456900_0:00265d|STRG.6693.1:222-1790|+    -            523 25500at50557         -            513   1.5e-12   46.0   0.0   3   3   1.4e-12   7.1e-11   40.5   0.0    58   248   329   517   314   523 0.86 -
80377at50557_30019_0:0008bb|STRG.5952.2:190-957|+      -            256 25500at50557         -            513     2e-12   45.6   1.1   1   3   6.6e-08   3.3e-06   25.1   0.0   405   471     6    78     1    81 0.81 -
80377at50557_30019_0:0008bb|STRG.5952.2:190-957|+      -            256 25500at50557         -            513     2e-12   45.6   1.1   2   3   1.1e-05   0.00056   17.7   0.1   129   237    79   185    77   212 0.73 -
80377at50557_30019_0:0008bb|STRG.5952.2:190-957|+      -            256 25500at50557         -            513     2e-12   45.6   1.1   3   3      0.97        49    1.4   0.0   206   255   198   248   175   254 0.62 -
80377at50557_116153_0:0002e6|STRG.5952.1:180-1013|+    -            278 25500at50557         -            513   3.2e-12   44.9   1.4   1   3   1.3e-07   6.6e-06   24.1   0.0   406   472     2    74     1    81 0.82 -
80377at50557_116153_0:0002e6|STRG.5952.1:180-1013|+    -            278 25500at50557         -            513   3.2e-12   44.9   1.4   2   3   1.9e-05   0.00097   16.9   0.0   129   220    74   167    73   204 0.73 -
80377at50557_116153_0:0002e6|STRG.5952.1:180-1013|+    -            278 25500at50557         -            513   3.2e-12   44.9   1.4   3   3      0.99        49    1.4   0.0    70   104   228   264   222   273 0.72 -
80377at50557_30019_0:0008bb|STRG.3220.1:1374-2234|+    -            287 25500at50557         -            513   4.1e-12   44.5   5.7   1   4     0.064       3.2    5.3   0.0   295   344     6    54     2    59 0.71 -
80377at50557_30019_0:0008bb|STRG.3220.1:1374-2234|+    -            287 25500at50557         -            513   4.1e-12   44.5   5.7   2   4    0.0033      0.17    9.5   0.3   452   513    65   123    55   123 0.80 -
80377at50557_30019_0:0008bb|STRG.3220.1:1374-2234|+    -            287 25500at50557         -            513   4.1e-12   44.5   5.7   3   4   5.3e-08   2.6e-06   25.4   0.1   402   513   133   243   126   243 0.77 -
80377at50557_30019_0:0008bb|STRG.3220.1:1374-2234|+    -            287 25500at50557         -            513   4.1e-12   44.5   5.7   4   4      0.15       7.4    4.1   0.0    52    80   258   285   247   287 0.66 -
80377at50557_30019_0:0008bb|STRG.3220.2:1148-2008|+    -            287 25500at50557         -            513   4.1e-12   44.5   5.7   1   4     0.064       3.2    5.3   0.0   295   344     6    54     2    59 0.71 -
80377at50557_30019_0:0008bb|STRG.3220.2:1148-2008|+    -            287 25500at50557         -            513   4.1e-12   44.5   5.7   2   4    0.0033      0.17    9.5   0.3   452   513    65   123    55   123 0.80 -
80377at50557_30019_0:0008bb|STRG.3220.2:1148-2008|+    -            287 25500at50557         -            513   4.1e-12   44.5   5.7   3   4   5.3e-08   2.6e-06   25.4   0.1   402   513   133   243   126   243 0.77 -
80377at50557_30019_0:0008bb|STRG.3220.2:1148-2008|+    -            287 25500at50557         -            513   4.1e-12   44.5   5.7   4   4      0.15       7.4    4.1   0.0    52    80   258   285   247   287 0.66 -
80377at50557_30019_0:0008bb|STRG.3220.3:1374-2234|+    -            287 25500at50557         -            513   4.1e-12   44.5   5.7   1   4     0.064       3.2    5.3   0.0   295   344     6    54     2    59 0.71 -
80377at50557_30019_0:0008bb|STRG.3220.3:1374-2234|+    -            287 25500at50557         -            513   4.1e-12   44.5   5.7   2   4    0.0033      0.17    9.5   0.3   452   513    65   123    55   123 0.80 -
80377at50557_30019_0:0008bb|STRG.3220.3:1374-2234|+    -            287 25500at50557         -            513   4.1e-12   44.5   5.7   3   4   5.3e-08   2.6e-06   25.4   0.1   402   513   133   243   126   243 0.77 -
80377at50557_30019_0:0008bb|STRG.3220.3:1374-2234|+    -            287 25500at50557         -            513   4.1e-12   44.5   5.7   4   4      0.15       7.4    4.1   0.0    52    80   258   285   247   287 0.66 -
78072at50557_7070_0:002a52|STRG.16420.1:1014-1856|+    -            281 25500at50557         -            513   4.4e-12   44.5   2.1   1   2   9.3e-05    0.0046   14.7   0.1   297   353    33    88     3    91 0.81 -
78072at50557_7070_0:002a52|STRG.16420.1:1014-1856|+    -            281 25500at50557         -            513   4.4e-12   44.5   2.1   2   2   2.8e-09   1.4e-07   29.6   0.3    51   248    79   278    75   281 0.77 -
78072at50557_7070_0:002a52|STRG.16420.2:1143-1985|+    -            281 25500at50557         -            513   4.4e-12   44.5   2.1   1   2   9.3e-05    0.0046   14.7   0.1   297   353    33    88     3    91 0.81 -
78072at50557_7070_0:002a52|STRG.16420.2:1143-1985|+    -            281 25500at50557         -            513   4.4e-12   44.5   2.1   2   2   2.8e-09   1.4e-07   29.6   0.3    51   248    79   278    75   281 0.77 -
80377at50557_38123_0:002ff9|STRG.10661.1:126-1727|+    -            534 25500at50557         -            513   4.4e-12   44.4   1.6   1   3   0.00012    0.0057   14.4   0.0   296   355    43   102    32   106 0.93 -
80377at50557_38123_0:002ff9|STRG.10661.1:126-1727|+    -            534 25500at50557         -            513   4.4e-12   44.4   1.6   2   3    0.0001    0.0052   14.5   0.2   454   512   106   163   100   164 0.82 -
80377at50557_38123_0:002ff9|STRG.10661.1:126-1727|+    -            534 25500at50557         -            513   4.4e-12   44.4   1.6   3   3   0.00065     0.032   11.9   0.0   216   334   379   498   358   510 0.82 -
80377at50557_38123_0:002ff9|STRG.10661.2:120-1721|+    -            534 25500at50557         -            513   4.4e-12   44.4   1.6   1   3   0.00012    0.0057   14.4   0.0   296   355    43   102    32   106 0.93 -
80377at50557_38123_0:002ff9|STRG.10661.2:120-1721|+    -            534 25500at50557         -            513   4.4e-12   44.4   1.6   2   3    0.0001    0.0052   14.5   0.2   454   512   106   163   100   164 0.82 -
80377at50557_38123_0:002ff9|STRG.10661.2:120-1721|+    -            534 25500at50557         -            513   4.4e-12   44.4   1.6   3   3   0.00065     0.032   11.9   0.0   216   334   379   498   358   510 0.82 -
80377at50557_38123_0:002ff9|STRG.10661.3:243-1844|+    -            534 25500at50557         -            513   4.4e-12   44.4   1.6   1   3   0.00012    0.0057   14.4   0.0   296   355    43   102    32   106 0.93 -
80377at50557_38123_0:002ff9|STRG.10661.3:243-1844|+    -            534 25500at50557         -            513   4.4e-12   44.4   1.6   2   3    0.0001    0.0052   14.5   0.2   454   512   106   163   100   164 0.82 -
80377at50557_38123_0:002ff9|STRG.10661.3:243-1844|+    -            534 25500at50557         -            513   4.4e-12   44.4   1.6   3   3   0.00065     0.032   11.9   0.0   216   334   379   498   358   510 0.82 -
80377at50557_38123_0:002ff9|STRG.10661.4:125-1726|+    -            534 25500at50557         -            513   4.4e-12   44.4   1.6   1   3   0.00012    0.0057   14.4   0.0   296   355    43   102    32   106 0.93 -
80377at50557_38123_0:002ff9|STRG.10661.4:125-1726|+    -            534 25500at50557         -            513   4.4e-12   44.4   1.6   2   3    0.0001    0.0052   14.5   0.2   454   512   106   163   100   164 0.82 -
80377at50557_38123_0:002ff9|STRG.10661.4:125-1726|+    -            534 25500at50557         -            513   4.4e-12   44.4   1.6   3   3   0.00065     0.032   11.9   0.0   216   334   379   498   358   510 0.82 -
13625at50557_103372_0:00203b|STRG.1696.1:4-2655|+      -            884 25500at50557         -            513   7.6e-12   43.7   2.9   1   5   2.4e-05    0.0012   16.6   0.0   405   486    51   146    14   174 0.69 -
13625at50557_103372_0:00203b|STRG.1696.1:4-2655|+      -            884 25500at50557         -            513   7.6e-12   43.7   2.9   2   5    0.0026      0.13    9.9   0.2   225   355   230   361   225   361 0.82 -
13625at50557_103372_0:00203b|STRG.1696.1:4-2655|+      -            884 25500at50557         -            513   7.6e-12   43.7   2.9   3   5   0.00015    0.0073   14.0   0.1    52    82   351   382   349   393 0.86 -
13625at50557_103372_0:00203b|STRG.1696.1:4-2655|+      -            884 25500at50557         -            513   7.6e-12   43.7   2.9   4   5    0.0018     0.087   10.5   0.1    61    83   360   383   359   467 0.77 -
13625at50557_103372_0:00203b|STRG.1696.1:4-2655|+      -            884 25500at50557         -            513   7.6e-12   43.7   2.9   5   5      0.26        13    3.3   0.0   136   470   476   553   445   604 0.57 -
40115at50557_108931_0:001d6b|STRG.7947.1:815-1852|+    -            346 25500at50557         -            513     1e-11   43.2   3.9   1   3    0.0017     0.083   10.6   0.0   440   512    11    95     3    96 0.71 -
40115at50557_108931_0:001d6b|STRG.7947.1:815-1852|+    -            346 25500at50557         -            513     1e-11   43.2   3.9   2   3   5.4e-07   2.7e-05   22.1   0.4   194   350    81   237    79   245 0.77 -
40115at50557_108931_0:001d6b|STRG.7947.1:815-1852|+    -            346 25500at50557         -            513     1e-11   43.2   3.9   3   3    0.0004      0.02   12.6   0.1   159   215   260   319   223   346 0.50 -
33043at50557_454923_0:001231|STRG.11504.1:3494-4864|+  -            457 25500at50557         -            513   1.1e-11   43.1   0.8   1   3     0.024       1.2    6.7   0.0   223   336     1   117     1   124 0.80 -
33043at50557_454923_0:001231|STRG.11504.1:3494-4864|+  -            457 25500at50557         -            513   1.1e-11   43.1   0.8   2   3     0.026       1.3    6.6   0.0   299   356   173   230   138   232 0.86 -
33043at50557_454923_0:001231|STRG.11504.1:3494-4864|+  -            457 25500at50557         -            513   1.1e-11   43.1   0.8   3   3    0.0037      0.19    9.4   0.0   447   512   226   289   217   290 0.84 -
40115at50557_1629725_0:001335|STRG.16669.1:1671-2474|+ -            268 25500at50557         -            513   7.8e-11   40.3   2.5   1   3   1.1e-05   0.00053   17.8   0.3   292   375    18   105     2   124 0.70 -
40115at50557_1629725_0:001335|STRG.16669.1:1671-2474|+ -            268 25500at50557         -            513   7.8e-11   40.3   2.5   2   3   4.9e-07   2.4e-05   22.2   0.1   233   333   120   220   110   230 0.80 -
40115at50557_1629725_0:001335|STRG.16669.1:1671-2474|+ -            268 25500at50557         -            513   7.8e-11   40.3   2.5   3   3       9.7   4.8e+02   -1.9   0.0   154   167   253   266   238   268 0.55 -
40115at50557_1629725_0:001335|STRG.16669.2:1464-2267|+ -            268 25500at50557         -            513   7.8e-11   40.3   2.5   1   3   1.1e-05   0.00053   17.8   0.3   292   375    18   105     2   124 0.70 -
40115at50557_1629725_0:001335|STRG.16669.2:1464-2267|+ -            268 25500at50557         -            513   7.8e-11   40.3   2.5   2   3   4.9e-07   2.4e-05   22.2   0.1   233   333   120   220   110   230 0.80 -
40115at50557_1629725_0:001335|STRG.16669.2:1464-2267|+ -            268 25500at50557         -            513   7.8e-11   40.3   2.5   3   3       9.7   4.8e+02   -1.9   0.0   154   167   253   266   238   268 0.55 -
43121at50557_103372_0:001d6c|STRG.7934.1:0-1529|+      -            510 25500at50557         -            513   8.8e-11   40.2   0.1   1   4    0.0049      0.25    9.0   0.0   297   338   207   248   187   253 0.81 -
43121at50557_103372_0:001d6c|STRG.7934.1:0-1529|+      -            510 25500at50557         -            513   8.8e-11   40.2   0.1   2   4   0.00013    0.0065   14.2   0.0   427   511   249   334   247   336 0.81 -
43121at50557_103372_0:001d6c|STRG.7934.1:0-1529|+      -            510 25500at50557         -            513   8.8e-11   40.2   0.1   3   4   0.00017    0.0085   13.8   0.0   300   468   303   376   295   387 0.54 -
43121at50557_103372_0:001d6c|STRG.7934.1:0-1529|+      -            510 25500at50557         -            513   8.8e-11   40.2   0.1   4   4      0.15       7.6    4.1   0.0   142   245   396   502   379   509 0.79 -
71739at50557_7213_0:002b67|STRG.12964.1:279-1157|+     -            293 25500at50557         -            513     1e-10   39.9   1.2   1   3   6.3e-11   3.1e-09   35.0   0.1   183   338    21   178    14   183 0.84 -
71739at50557_7213_0:002b67|STRG.12964.1:279-1157|+     -            293 25500at50557         -            513     1e-10   39.9   1.2   2   3       1.2        61    1.1   0.1   310   336   191   216   180   234 0.78 -
71739at50557_7213_0:002b67|STRG.12964.1:279-1157|+     -            293 25500at50557         -            513     1e-10   39.9   1.2   3   3       4.1     2e+02   -0.6   0.0   404   420   266   282   261   291 0.64 -
40115at50557_144034_0:000898|STRG.1523.1:1234-2103|+   -            290 25500at50557         -            513   1.7e-10   39.2   1.4   1   2    0.0012     0.061   11.0   0.1   193   259    61   129    47   141 0.73 -
