#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
63645at50557_34720_0:0006b0|STRG.13627.1:384-1424|+   -            347 63645at50557         -            280  6.5e-182  601.6   2.8   1   1  3.2e-183  3.7e-181  599.2   2.8     1   280    10   324    10   324 0.94 -
69548at50557_116153_0:002191|STRG.4014.3:640-1338|+   -            233 63645at50557         -            280   4.5e-13   47.7   0.5   3   4   7.9e-06   0.00092   17.2   0.2   186   260   120   195   112   200 0.83 -
69548at50557_116153_0:002191|STRG.4014.3:640-1338|+   -            233 63645at50557         -            280   4.5e-13   47.7   0.5   4   4      0.33        39    2.0   0.0   222   254   201   233   195   233 0.90 -
69548at50557_116153_0:002191|STRG.4014.4:703-1401|+   -            233 63645at50557         -            280   4.5e-13   47.7   0.5   1   4     0.088        10    3.9   0.0   224   260    10    46     4    52 0.90 -
69548at50557_116153_0:002191|STRG.4014.4:703-1401|+   -            233 63645at50557         -            280   4.5e-13   47.7   0.5   2   4   5.4e-06   0.00063   17.7   0.0   215   262    54   101    48   113 0.90 -
69548at50557_116153_0:002191|STRG.4014.4:703-1401|+   -            233 63645at50557         -            280   4.5e-13   47.7   0.5   3   4   7.9e-06   0.00092   17.2   0.2   186   260   120   195   112   200 0.83 -
69548at50557_116153_0:002191|STRG.4014.4:703-1401|+   -            233 63645at50557         -            280   4.5e-13   47.7   0.5   4   4      0.33        39    2.0   0.0   222   254   201   233   195   233 0.90 -
40115at50557_108931_0:001d6b|STRG.7947.1:815-1852|+   -            346 63645at50557         -            280   1.8e-11   42.4   6.9   1   3    0.0079      0.92    7.3   0.0   216   270     2    55     1    64 0.79 -
40115at50557_108931_0:001d6b|STRG.7947.1:815-1852|+   -            346 63645at50557         -            280   1.8e-11   42.4   6.9   2   3   2.1e-05    0.0024   15.8   4.6    89   258    66   222    50   226 0.82 -
40115at50557_108931_0:001d6b|STRG.7947.1:815-1852|+   -            346 63645at50557         -            280   1.8e-11   42.4   6.9   3   3   2.4e-08   2.7e-06   25.4   0.3    59   206   155   308   146   314 0.70 -
25500at50557_121845_0:000041|STRG.12145.1:349-1062|+  -            238 63645at50557         -            280   1.9e-11   42.3   1.5   1   2   5.8e-08   6.7e-06   24.2   0.4    97   259     3   161     1   166 0.87 -
25500at50557_121845_0:000041|STRG.12145.1:349-1062|+  -            238 63645at50557         -            280   1.9e-11   42.3   1.5   2   2   5.7e-06   0.00066   17.6   0.0   182   244   172   235   163   238 0.85 -
71739at50557_66420_0:0008cd|STRG.15094.1:772-1353|+   -            194 63645at50557         -            280   2.1e-09   35.7   0.1   1   2   3.8e-08   4.4e-06   24.8   0.2    97   256    10   161     5   162 0.84 -
71739at50557_66420_0:0008cd|STRG.15094.1:772-1353|+   -            194 63645at50557         -            280   2.1e-09   35.7   0.1   2   2   2.4e-05    0.0027   15.6   0.0   132   185   126   177   124   193 0.80 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+   -            712 63645at50557         -            280   2.5e-09   35.4  11.6   1   5    0.0017       0.2    9.5   0.2   104   180    62   132    51   152 0.76 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+   -            712 63645at50557         -            280   2.5e-09   35.4  11.6   2   5     5e-05    0.0058   14.5   0.2   106   259   269   410   256   423 0.80 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+   -            712 63645at50557         -            280   2.5e-09   35.4  11.6   3   5       1.1   1.2e+02    0.4   0.1    95   124   434   465   416   473 0.61 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+   -            712 63645at50557         -            280   2.5e-09   35.4  11.6   4   5    0.0012      0.14   10.0   0.0   228   261   477   509   466   523 0.82 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+   -            712 63645at50557         -            280   2.5e-09   35.4  11.6   5   5      0.14        16    3.2   0.0   130   204   635   707   624   712 0.75 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+   -            697 63645at50557         -            280   3.4e-09   35.0  11.9   1   5    0.0017       0.2    9.5   0.2   104   181    47   118    38   139 0.75 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+   -            697 63645at50557         -            280   3.4e-09   35.0  11.9   2   5   4.9e-05    0.0056   14.6   0.2   106   259   254   395   241   408 0.80 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+   -            697 63645at50557         -            280   3.4e-09   35.0  11.9   3   5       1.4   1.6e+02   -0.0   0.1    98   124   422   450   405   456 0.64 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+   -            697 63645at50557         -            280   3.4e-09   35.0  11.9   4   5    0.0011      0.13   10.1   0.0   228   261   462   494   451   508 0.82 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+   -            697 63645at50557         -            280   3.4e-09   35.0  11.9   5   5      0.14        16    3.3   0.0   130   204   620   692   609   697 0.75 -
40115at50557_411798_0:002bfa|STRG.16114.1:1087-1872|+ -            262 63645at50557         -            280   1.2e-08   33.2   0.6   1   4     0.085       9.9    3.9   0.0   185   236    25    73    16    83 0.81 -
40115at50557_411798_0:002bfa|STRG.16114.1:1087-1872|+ -            262 63645at50557         -            280   1.2e-08   33.2   0.6   2   4   0.00011     0.013   13.4   0.0   209   259    87   137    76   144 0.83 -
40115at50557_411798_0:002bfa|STRG.16114.1:1087-1872|+ -            262 63645at50557         -            280   1.2e-08   33.2   0.6   3   4     0.037       4.3    5.1   0.1   217   246   138   167   135   184 0.80 -
40115at50557_411798_0:002bfa|STRG.16114.1:1087-1872|+ -            262 63645at50557         -            280   1.2e-08   33.2   0.6   4   4     0.011       1.3    6.8   0.0   184   248   194   257   189   262 0.73 -
80377at50557_456900_0:000374|STRG.2144.1:90-1136|+    -            349 63645at50557         -            280   2.2e-08   32.4   0.0   1   4     0.038       4.4    5.1   0.0   194   258    69   131    47   135 0.86 -
80377at50557_456900_0:000374|STRG.2144.1:90-1136|+    -            349 63645at50557         -            280   2.2e-08   32.4   0.0   2   4    0.0015      0.17    9.7   0.0   215   258   131   174   130   191 0.90 -
80377at50557_456900_0:000374|STRG.2144.1:90-1136|+    -            349 63645at50557         -            280   2.2e-08   32.4   0.0   3   4   0.00011     0.013   13.4   0.0   154   257   198   306   182   315 0.76 -
80377at50557_456900_0:000374|STRG.2144.1:90-1136|+    -            349 63645at50557         -            280   2.2e-08   32.4   0.0   4   4       1.9   2.2e+02   -0.5   0.0   221   256   313   347   310   349 0.83 -
78072at50557_39758_0:003b38|STRG.3767.1:348-1178|+    -            277 63645at50557         -            280   2.7e-08   32.1   1.6   1   2     2e-08   2.3e-06   25.7   1.5    89   256    45   214    36   235 0.77 -
78072at50557_39758_0:003b38|STRG.3767.1:348-1178|+    -            277 63645at50557         -            280   2.7e-08   32.1   1.6   2   2       3.5   4.1e+02   -1.4   0.0    97   124   238   265   227   270 0.83 -
78072at50557_39758_0:003b38|STRG.3767.3:322-1152|+    -            277 63645at50557         -            280   2.7e-08   32.1   1.6   1   2     2e-08   2.3e-06   25.7   1.5    89   256    45   214    36   235 0.77 -
78072at50557_39758_0:003b38|STRG.3767.3:322-1152|+    -            277 63645at50557         -            280   2.7e-08   32.1   1.6   2   2       3.5   4.1e+02   -1.4   0.0    97   124   238   265   227   270 0.83 -
78072at50557_39758_0:003b38|STRG.7795.1:738-1277|+    -            180 63645at50557         -            280   2.9e-08   31.9   2.1   1   1     8e-08   9.3e-06   23.7   0.1   184   259    63   140    54   143 0.83 -
78072at50557_123851_0:000487|STRG.4718.1:423-1310|+   -            296 63645at50557         -            280   1.2e-07   29.9   1.4   1   3    0.0036      0.41    8.5   0.0   210   256     3    46     1    50 0.81 -
78072at50557_123851_0:000487|STRG.4718.1:423-1310|+   -            296 63645at50557         -            280   1.2e-07   29.9   1.4   2   3   0.00011     0.012   13.5   0.2   219   261    67   108    61   110 0.89 -
78072at50557_123851_0:000487|STRG.4718.1:423-1310|+   -            296 63645at50557         -            280   1.2e-07   29.9   1.4   3   3   1.2e-05    0.0014   16.6   0.2   182   257    75   147    73   159 0.84 -
78072at50557_7070_0:002a52|STRG.16420.1:1014-1856|+   -            281 63645at50557         -            280   1.3e-06   26.5   1.2   1   4     0.033       3.8    5.3   0.0   219   257    74   111    66   120 0.85 -
78072at50557_7070_0:002a52|STRG.16420.1:1014-1856|+   -            281 63645at50557         -            280   1.3e-06   26.5   1.2   2   4     0.051       5.9    4.7   0.1   221   255   118   153   111   160 0.84 -
78072at50557_7070_0:002a52|STRG.16420.1:1014-1856|+   -            281 63645at50557         -            280   1.3e-06   26.5   1.2   3   4   0.00018     0.021   12.7   0.0   181   257   167   241   161   253 0.86 -
78072at50557_7070_0:002a52|STRG.16420.1:1014-1856|+   -            281 63645at50557         -            280   1.3e-06   26.5   1.2   4   4       2.5   2.8e+02   -0.8   0.1   223   254   251   281   245   281 0.80 -
78072at50557_7070_0:002a52|STRG.16420.2:1143-1985|+   -            281 63645at50557         -            280   1.3e-06   26.5   1.2   1   4     0.033       3.8    5.3   0.0   219   257    74   111    66   120 0.85 -
78072at50557_7070_0:002a52|STRG.16420.2:1143-1985|+   -            281 63645at50557         -            280   1.3e-06   26.5   1.2   2   4     0.051       5.9    4.7   0.1   221   255   118   153   111   160 0.84 -
78072at50557_7070_0:002a52|STRG.16420.2:1143-1985|+   -            281 63645at50557         -            280   1.3e-06   26.5   1.2   3   4   0.00018     0.021   12.7   0.0   181   257   167   241   161   253 0.86 -
78072at50557_7070_0:002a52|STRG.16420.2:1143-1985|+   -            281 63645at50557         -            280   1.3e-06   26.5   1.2   4   4       2.5   2.8e+02   -0.8   0.1   223   254   251   281   245   281 0.80 -
40115at50557_28612_0:000941|STRG.8740.1:278-1135|+    -            286 63645at50557         -            280   1.6e-06   26.2   0.2   1   2   0.00011     0.013   13.4   0.1   105   257    22   163     7   172 0.80 -
40115at50557_28612_0:000941|STRG.8740.1:278-1135|+    -            286 63645at50557         -            280   1.6e-06   26.2   0.2   2   2   0.00026      0.03   12.2   0.1   105   254   147   286   143   286 0.75 -
49370at50557_456900_0:00265d|STRG.6693.1:222-1790|+   -            523 63645at50557         -            280   2.2e-06   25.8   1.6   1   3       3.6   4.2e+02   -1.4   0.1   215   247   255   287   235   303 0.81 -
49370at50557_456900_0:00265d|STRG.6693.1:222-1790|+   -            523 63645at50557         -            280   2.2e-06   25.8   1.6   2   3   0.00012     0.014   13.3   0.2   140   258   327   439   275   441 0.79 -
49370at50557_456900_0:00265d|STRG.6693.1:222-1790|+   -            523 63645at50557         -            280   2.2e-06   25.8   1.6   3   3   1.1e-06   0.00012   20.0   0.1   104   250   379   516   374   523 0.75 -
49370at50557_79782_0:001886|STRG.4583.1:1568-2554|+   -            329 63645at50557         -            280   3.3e-06   25.2   0.2   1   3     0.069         8    4.2   0.0   104   170     2    73     1    77 0.64 -
49370at50557_79782_0:001886|STRG.4583.1:1568-2554|+   -            329 63645at50557         -            280   3.3e-06   25.2   0.2   2   3    0.0004     0.046   11.6   0.0   227   261    87   120    77   139 0.82 -
49370at50557_79782_0:001886|STRG.4583.1:1568-2554|+   -            329 63645at50557         -            280   3.3e-06   25.2   0.2   3   3     0.032       3.7    5.3   0.0   130   205   246   319   234   327 0.77 -
78072at50557_7038_0:0021a3|STRG.15086.1:417-1265|+    -            283 63645at50557         -            280   3.8e-06   25.0   3.4   1   1   5.5e-07   6.3e-05   21.0   3.4    97   262     5   169     3   177 0.77 -
78072at50557_7038_0:0021a3|STRG.15086.2:325-1173|+    -            283 63645at50557         -            280   3.8e-06   25.0   3.4   1   1   5.5e-07   6.3e-05   21.0   3.4    97   262     5   169     3   177 0.77 -
40115at50557_116153_0:000cbb|STRG.7509.1:174-1070|+   -            299 63645at50557         -            280     6e-06   24.3   0.3   1   4     0.082       9.5    4.0   0.0   225   264     1    39     1    52 0.81 -
40115at50557_116153_0:000cbb|STRG.7509.1:174-1070|+   -            299 63645at50557         -            280     6e-06   24.3   0.3   2   4       1.3   1.5e+02    0.1   0.0   234   257    57    79    40    86 0.74 -
40115at50557_116153_0:000cbb|STRG.7509.1:174-1070|+   -            299 63645at50557         -            280     6e-06   24.3   0.3   3   4     5e-05    0.0058   14.5   0.0   134   224    87   175    83   189 0.76 -
40115at50557_116153_0:000cbb|STRG.7509.1:174-1070|+   -            299 63645at50557         -            280     6e-06   24.3   0.3   4   4       1.4   1.6e+02   -0.0   0.1   222   254   268   299   261   299 0.82 -
40115at50557_144034_0:000898|STRG.1523.1:1234-2103|+  -            290 63645at50557         -            280   9.3e-06   23.7   1.4   1   3      0.72        84    0.9   0.0   222   261     2    40     1    55 0.79 -
40115at50557_144034_0:000898|STRG.1523.1:1234-2103|+  -            290 63645at50557         -            280   9.3e-06   23.7   1.4   2   3       2.9   3.4e+02   -1.1   0.0   107   131    64    88    59    95 0.76 -
40115at50557_144034_0:000898|STRG.1523.1:1234-2103|+  -            290 63645at50557         -            280   9.3e-06   23.7   1.4   3   3   8.4e-07   9.8e-05   20.4   0.2   102   262   104   256   100   261 0.77 -
40115at50557_144034_0:000898|STRG.1523.2:1420-2289|+  -            290 63645at50557         -            280   9.3e-06   23.7   1.4   1   3      0.72        84    0.9   0.0   222   261     2    40     1    55 0.79 -
40115at50557_144034_0:000898|STRG.1523.2:1420-2289|+  -            290 63645at50557         -            280   9.3e-06   23.7   1.4   2   3       2.9   3.4e+02   -1.1   0.0   107   131    64    88    59    95 0.76 -
40115at50557_144034_0:000898|STRG.1523.2:1420-2289|+  -            290 63645at50557         -            280   9.3e-06   23.7   1.4   3   3   8.4e-07   9.8e-05   20.4   0.2   102   262   104   256   100   261 0.77 -
33043at50557_6973_0:0036f9|STRG.7514.1:1695-2330|+    -            212 63645at50557         -            280   2.3e-05   22.4   3.9   1   3      0.19        23    2.8   0.0   189   212    84   106    75   118 0.83 -
33043at50557_6973_0:0036f9|STRG.7514.1:1695-2330|+    -            212 63645at50557         -            280   2.3e-05   22.4   3.9   2   3   7.2e-06   0.00083   17.3   0.1   218   258   133   173   115   181 0.87 -
33043at50557_6973_0:0036f9|STRG.7514.1:1695-2330|+    -            212 63645at50557         -            280   2.3e-05   22.4   3.9   3   3      0.47        55    1.5   0.0    92   118   186   212   181   212 0.89 -
40115at50557_108931_0:001d6b|STRG.7514.1:1182-2330|+  -            383 63645at50557         -            280   3.3e-05   21.9   3.7   1   4      0.73        84    0.9   0.0   148   195   130   168    99   180 0.66 -
40115at50557_108931_0:001d6b|STRG.7514.1:1182-2330|+  -            383 63645at50557         -            280   3.3e-05   21.9   3.7   2   4      0.32        37    2.1   0.1   189   212   255   277   206   287 0.82 -
40115at50557_108931_0:001d6b|STRG.7514.1:1182-2330|+  -            383 63645at50557         -            280   3.3e-05   21.9   3.7   3   4   2.1e-05    0.0024   15.8   0.6   218   258   304   344   246   349 0.86 -
40115at50557_108931_0:001d6b|STRG.7514.1:1182-2330|+  -            383 63645at50557         -            280   3.3e-05   21.9   3.7   4   4         1   1.2e+02    0.4   0.1    92   118   357   383   352   383 0.89 -
31374at50557_103372_0:0017b9|STRG.7093.1:92-2047|+    -            652 63645at50557         -            280   5.7e-05   21.1   0.6   1   2     0.051       5.9    4.7   0.1   101   125   406   430   376   469 0.82 -
31374at50557_103372_0:0017b9|STRG.7093.1:92-2047|+    -            652 63645at50557         -            280   5.7e-05   21.1   0.6   2   2     7e-05    0.0082   14.1   0.0   103   203   492   585   467   595 0.83 -
80377at50557_104688_0:000c4b|STRG.16082.2:190-741|+   -            184 63645at50557         -            280   6.9e-05   20.9   2.0   1   3     0.072       8.4    4.2   0.1   113   252     8    59     1    69 0.48 -
80377at50557_104688_0:000c4b|STRG.16082.2:190-741|+   -            184 63645at50557         -            280   6.9e-05   20.9   2.0   2   3    0.0014      0.16    9.8   0.0   222   260    89   126    81   130 0.81 -
80377at50557_104688_0:000c4b|STRG.16082.2:190-741|+   -            184 63645at50557         -            280   6.9e-05   20.9   2.0   3   3     0.024       2.8    5.7   0.0   220   254   129   162   126   176 0.79 -
80377at50557_104688_0:000c4b|STRG.16082.3:190-741|+   -            184 63645at50557         -            280   6.9e-05   20.9   2.0   1   3     0.072       8.4    4.2   0.1   113   252     8    59     1    69 0.48 -
80377at50557_104688_0:000c4b|STRG.16082.3:190-741|+   -            184 63645at50557         -            280   6.9e-05   20.9   2.0   2   3    0.0014      0.16    9.8   0.0   222   260    89   126    81   130 0.81 -
80377at50557_104688_0:000c4b|STRG.16082.3:190-741|+   -            184 63645at50557         -            280   6.9e-05   20.9   2.0   3   3     0.024       2.8    5.7   0.0   220   254   129   162   126   176 0.79 -
25500at50557_13686_0:0020f5|STRG.4579.1:202-2007|+    -            602 63645at50557         -            280   7.8e-05   20.7   4.5   1   4       6.5   7.6e+02   -2.2   0.0   205   258    38    89    26   111 0.65 -
25500at50557_13686_0:0020f5|STRG.4579.1:202-2007|+    -            602 63645at50557         -            280   7.8e-05   20.7   4.5   2   4    0.0085      0.99    7.2   0.0   224   259   231   265   225   277 0.83 -
25500at50557_13686_0:0020f5|STRG.4579.1:202-2007|+    -            602 63645at50557         -            280   7.8e-05   20.7   4.5   3   4      0.34        39    2.0   0.2   102   203   330   439   317   456 0.73 -
25500at50557_13686_0:0020f5|STRG.4579.1:202-2007|+    -            602 63645at50557         -            280   7.8e-05   20.7   4.5   4   4    0.0019      0.22    9.4   0.3   161   258   461   558   452   568 0.61 -
80377at50557_34740_0:001fa0|STRG.16082.1:128-676|+    -            183 63645at50557         -            280   9.9e-05   20.3   1.2   1   3     0.058       6.7    4.5   0.1   111   251    30    82    20    93 0.53 -
80377at50557_34740_0:001fa0|STRG.16082.1:128-676|+    -            183 63645at50557         -            280   9.9e-05   20.3   1.2   2   3    0.0014      0.16    9.8   0.0   222   260   113   150   105   154 0.81 -
80377at50557_34740_0:001fa0|STRG.16082.1:128-676|+    -            183 63645at50557         -            280   9.9e-05   20.3   1.2   3   3     0.077       8.9    4.1   0.0   220   249   153   181   148   183 0.81 -
78072at50557_29058_0:001c12|STRG.7963.1:284-1030|+    -            249 63645at50557         -            280   0.00018   19.5   0.4   1   2   0.00012     0.013   13.3   0.0   183   247    11    75     5   106 0.75 -
78072at50557_29058_0:001c12|STRG.7963.1:284-1030|+    -            249 63645at50557         -            280   0.00018   19.5   0.4   2   2     0.057       6.6    4.5   0.1   220   255   154   192   122   215 0.80 -
78072at50557_56086_0:002946|STRG.16090.1:1177-1830|+  -            218 63645at50557         -            280    0.0002   19.4   1.1   1   2   0.00015     0.018   13.0   1.3   183   259     7    88     4   105 0.75 -
78072at50557_56086_0:002946|STRG.16090.1:1177-1830|+  -            218 63645at50557         -            280    0.0002   19.4   1.1   2   2         4   4.6e+02   -1.5   0.0   136   177    97   135    88   142 0.68 -
78072at50557_56086_0:002946|STRG.16090.2:657-1310|+   -            218 63645at50557         -            280    0.0002   19.4   1.1   1   2   0.00015     0.018   13.0   1.3   183   259     7    88     4   105 0.75 -
78072at50557_56086_0:002946|STRG.16090.2:657-1310|+   -            218 63645at50557         -            280    0.0002   19.4   1.1   2   2         4   4.6e+02   -1.5   0.0   136   177    97   135    88   142 0.68 -
78072at50557_56086_0:002946|STRG.16090.3:378-1031|+   -            218 63645at50557         -            280    0.0002   19.4   1.1   1   2   0.00015     0.018   13.0   1.3   183   259     7    88     4   105 0.75 -
78072at50557_56086_0:002946|STRG.16090.3:378-1031|+   -            218 63645at50557         -            280    0.0002   19.4   1.1   2   2         4   4.6e+02   -1.5   0.0   136   177    97   135    88   142 0.68 -
78072at50557_56086_0:002946|STRG.16090.4:834-1487|+   -            218 63645at50557         -            280    0.0002   19.4   1.1   1   2   0.00015     0.018   13.0   1.3   183   259     7    88     4   105 0.75 -
78072at50557_56086_0:002946|STRG.16090.4:834-1487|+   -            218 63645at50557         -            280    0.0002   19.4   1.1   2   2         4   4.6e+02   -1.5   0.0   136   177    97   135    88   142 0.68 -
78072at50557_56086_0:002946|STRG.16090.5:2035-2688|+  -            218 63645at50557         -            280    0.0002   19.4   1.1   1   2   0.00015     0.018   13.0   1.3   183   259     7    88     4   105 0.75 -
78072at50557_56086_0:002946|STRG.16090.5:2035-2688|+  -            218 63645at50557         -            280    0.0002   19.4   1.1   2   2         4   4.6e+02   -1.5   0.0   136   177    97   135    88   142 0.68 -
78072at50557_56086_0:002946|STRG.16090.6:1959-2612|+  -            218 63645at50557         -            280    0.0002   19.4   1.1   1   2   0.00015     0.018   13.0   1.3   183   259     7    88     4   105 0.75 -
78072at50557_56086_0:002946|STRG.16090.6:1959-2612|+  -            218 63645at50557         -            280    0.0002   19.4   1.1   2   2         4   4.6e+02   -1.5   0.0   136   177    97   135    88   142 0.68 -
49370at50557_2015173_0:001990|STRG.15772.1:604-1590|+ -            329 63645at50557         -            280   0.00024   19.1   3.8   1   4    0.0081      0.94    7.3   0.1   215   258    30    72     3    89 0.80 -
49370at50557_2015173_0:001990|STRG.15772.1:604-1590|+ -            329 63645at50557         -            280   0.00024   19.1   3.8   2   4    0.0021      0.24    9.2   0.2   106   171   144   204   128   218 0.77 -
49370at50557_2015173_0:001990|STRG.15772.1:604-1590|+ -            329 63645at50557         -            280   0.00024   19.1   3.8   3   4      0.16        19    3.0   0.0   207   257   197   245   186   267 0.74 -
49370at50557_2015173_0:001990|STRG.15772.1:604-1590|+ -            329 63645at50557         -            280   0.00024   19.1   3.8   4   4      0.52        60    1.4   0.0   105   131   229   256   208   317 0.61 -
43553at50557_103372_0:0013d1|STRG.6288.1:355-1868|+   -            494 63645at50557         -            280   0.00027   18.9   2.6   1   4      0.01       1.2    6.9   0.1   215   259   150   194   136   210 0.80 -
43553at50557_103372_0:0013d1|STRG.6288.1:355-1868|+   -            494 63645at50557         -            280   0.00027   18.9   2.6   2   4       3.6   4.2e+02   -1.4   0.0   224   259   202   242   194   256 0.65 -
43553at50557_103372_0:0013d1|STRG.6288.1:355-1868|+   -            494 63645at50557         -            280   0.00027   18.9   2.6   3   4     0.025       2.9    5.7   0.1   159   260   305   403   282   417 0.79 -
43553at50557_103372_0:0013d1|STRG.6288.1:355-1868|+   -            494 63645at50557         -            280   0.00027   18.9   2.6   4   4     0.067       7.7    4.3   0.0   214   256   445   488   424   494 0.81 -
43553at50557_103372_0:0013d1|STRG.6288.2:735-2248|+   -            494 63645at50557         -            280   0.00027   18.9   2.6   1   4      0.01       1.2    6.9   0.1   215   259   150   194   136   210 0.80 -
43553at50557_103372_0:0013d1|STRG.6288.2:735-2248|+   -            494 63645at50557         -            280   0.00027   18.9   2.6   2   4       3.6   4.2e+02   -1.4   0.0   224   259   202   242   194   256 0.65 -
43553at50557_103372_0:0013d1|STRG.6288.2:735-2248|+   -            494 63645at50557         -            280   0.00027   18.9   2.6   3   4     0.025       2.9    5.7   0.1   159   260   305   403   282   417 0.79 -
43553at50557_103372_0:0013d1|STRG.6288.2:735-2248|+   -            494 63645at50557         -            280   0.00027   18.9   2.6   4   4     0.067       7.7    4.3   0.0   214   256   445   488   424   494 0.81 -
57752at50557_45779_0:003ace|STRG.1582.1:1342-2250|+   -            303 63645at50557         -            280   0.00035   18.5   0.1   1   3      0.36        42    1.9   0.1   225   256     1    31     1    37 0.85 -
57752at50557_45779_0:003ace|STRG.1582.1:1342-2250|+   -            303 63645at50557         -            280   0.00035   18.5   0.1   2   3   0.00018     0.021   12.7   0.0   157   260    64   169    58   176 0.82 -
57752at50557_45779_0:003ace|STRG.1582.1:1342-2250|+   -            303 63645at50557         -            280   0.00035   18.5   0.1   3   3       1.5   1.7e+02   -0.2   0.0   221   256   225   262   182   269 0.79 -
57752at50557_45779_0:003ace|STRG.1582.2:1342-2250|+   -            303 63645at50557         -            280   0.00035   18.5   0.1   1   3      0.36        42    1.9   0.1   225   256     1    31     1    37 0.85 -
57752at50557_45779_0:003ace|STRG.1582.2:1342-2250|+   -            303 63645at50557         -            280   0.00035   18.5   0.1   2   3   0.00018     0.021   12.7   0.0   157   260    64   169    58   176 0.82 -
57752at50557_45779_0:003ace|STRG.1582.2:1342-2250|+   -            303 63645at50557         -            280   0.00035   18.5   0.1   3   3       1.5   1.7e+02   -0.2   0.0   221   256   225   262   182   269 0.79 -
57752at50557_45779_0:003ace|STRG.1582.3:1046-1954|+   -            303 63645at50557         -            280   0.00035   18.5   0.1   1   3      0.36        42    1.9   0.1   225   256     1    31     1    37 0.85 -
57752at50557_45779_0:003ace|STRG.1582.3:1046-1954|+   -            303 63645at50557         -            280   0.00035   18.5   0.1   2   3   0.00018     0.021   12.7   0.0   157   260    64   169    58   176 0.82 -
57752at50557_45779_0:003ace|STRG.1582.3:1046-1954|+   -            303 63645at50557         -            280   0.00035   18.5   0.1   3   3       1.5   1.7e+02   -0.2   0.0   221   256   225   262   182   269 0.79 -
80377at50557_108931_0:002353|STRG.9836.1:2268-2888|+  -            207 63645at50557         -            280   0.00045   18.2   0.0   1   1     5e-06   0.00057   17.8   0.0   100   203    47   150    38   181 0.78 -
