#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
28600at50557_520822_0:000c07|STRG.16357.1:661-2541|+   -            627 28600at50557         -            507  2.2e-241  800.9  16.5   1   1  1.4e-241  9.7e-240  795.5  16.5     1   497    10   609    10   620 0.87 -
129498at50557_7227_0:0034ce|STRG.5677.5:200-610|+      -            137 28600at50557         -            507   5.9e-06   24.2   0.0   1   1   8.6e-08   5.9e-06   24.2   0.0    68   120    27    82     3   121 0.80 -
107216at50557_7394_0:0010f2|STRG.16582.4:1009-1605|+   -            199 28600at50557         -            507   6.8e-06   24.0   0.1   1   1   3.5e-07   2.4e-05   22.2   0.1     3   110     8   137     6   146 0.70 -
107216at50557_7394_0:0010f2|STRG.16582.5:678-1274|+    -            199 28600at50557         -            507   6.8e-06   24.0   0.1   1   1   3.5e-07   2.4e-05   22.2   0.1     3   110     8   137     6   146 0.70 -
107216at50557_7394_0:0010f2|STRG.16582.7:836-1432|+    -            199 28600at50557         -            507   6.8e-06   24.0   0.1   1   1   3.5e-07   2.4e-05   22.2   0.1     3   110     8   137     6   146 0.70 -
107216at50557_7394_0:0010f2|STRG.16582.8:1736-2332|+   -            199 28600at50557         -            507   6.8e-06   24.0   0.1   1   1   3.5e-07   2.4e-05   22.2   0.1     3   110     8   137     6   146 0.70 -
104262at50557_2015173_0:0022de|STRG.8472.1:144-596|+   -            151 28600at50557         -            507   7.6e-06   23.8   0.1   1   1   1.2e-07   8.6e-06   23.7   0.1     4   123     2   135     1   150 0.81 -
104262at50557_2015173_0:0022de|STRG.8472.2:353-805|+   -            151 28600at50557         -            507   7.6e-06   23.8   0.1   1   1   1.2e-07   8.6e-06   23.7   0.1     4   123     2   135     1   150 0.81 -
104262at50557_2015173_0:0022de|STRG.8472.3:447-899|+   -            151 28600at50557         -            507   7.6e-06   23.8   0.1   1   1   1.2e-07   8.6e-06   23.7   0.1     4   123     2   135     1   150 0.81 -
129498at50557_7200_0:0025b6|STRG.16678.1:185-827|+     -            175 28600at50557         -            507   8.3e-06   23.7   0.1   1   1   1.5e-07     1e-05   23.4   0.1     3   146     8   167     6   172 0.75 -
129498at50557_7200_0:0025b6|STRG.16678.2:185-780|+     -            175 28600at50557         -            507   8.3e-06   23.7   0.1   1   1   1.5e-07     1e-05   23.4   0.1     3   146     8   167     6   172 0.75 -
104262at50557_103372_0:002a03|STRG.14299.1:1-1022|+    -            217 28600at50557         -            507   1.5e-05   22.9   0.0   1   1   2.8e-07   1.9e-05   22.5   0.0     4   129    34   172    32   189 0.71 -
104262at50557_64793_0:001dc9|STRG.14299.2:616-1341|+   -            242 28600at50557         -            507     2e-05   22.5   0.0   1   1   3.8e-07   2.6e-05   22.1   0.0     4   129    59   197    57   214 0.71 -
129498at50557_7493_0:00132e|STRG.12175.1:340-816|+     -            159 28600at50557         -            507   3.4e-05   21.7   0.0   1   1   6.8e-07   4.7e-05   21.3   0.0     4   148     2   153     1   159 0.73 -
129498at50557_7493_0:00132e|STRG.12175.2:220-696|+     -            159 28600at50557         -            507   3.4e-05   21.7   0.0   1   1   6.8e-07   4.7e-05   21.3   0.0     4   148     2   153     1   159 0.73 -
129498at50557_7493_0:00132e|STRG.12175.3:431-907|+     -            159 28600at50557         -            507   3.4e-05   21.7   0.0   1   1   6.8e-07   4.7e-05   21.3   0.0     4   148     2   153     1   159 0.73 -
104262at50557_88501_0:0010fe|STRG.4120.1:200-820|+     -            207 28600at50557         -            507   6.2e-05   20.9   0.3   1   2    0.0029       0.2    9.3   0.0     2    42    28    67    27    95 0.71 -
104262at50557_88501_0:0010fe|STRG.4120.1:200-820|+     -            207 28600at50557         -            507   6.2e-05   20.9   0.3   2   2    0.0017      0.12   10.1   0.1    52   122   110   180    98   200 0.79 -
109573at50557_103372_0:0023c7|STRG.6778.1:486-1139|+   -            218 28600at50557         -            507   7.1e-05   20.7   0.0   1   1   1.4e-06   9.6e-05   20.2   0.0     3   155    10   177     8   189 0.70 -
107216at50557_103372_0:00094d|STRG.13597.3:5200-5736|+ -            179 28600at50557         -            507   7.2e-05   20.6   0.5   1   1   7.6e-06   0.00052   17.8   0.5     4   155     5   170     2   174 0.72 -
107216at50557_139723_0:001fab|STRG.1934.3:1235-1615|+  -            127 28600at50557         -            507    0.0001   20.1   0.0   1   1   1.6e-06   0.00011   20.0   0.0     4   107    11   127     8   127 0.73 -
129498at50557_7029_0:0053a0|STRG.13597.2:5209-5893|+   -            171 28600at50557         -            507   0.00011   20.1   0.8   1   1   1.2e-05   0.00081   17.2   0.8     4   154     2   165     1   169 0.72 -
104262at50557_104421_0:0019e6|STRG.6104.1:11-520|+     -            170 28600at50557         -            507   0.00015   19.6   0.0   1   1   2.6e-06   0.00018   19.3   0.0     3   146    14   167    12   169 0.75 -
104262at50557_88501_0:0010fe|STRG.8069.3:233-883|+     -            217 28600at50557         -            507   0.00024   18.9   0.0   1   1   5.7e-06    0.0004   18.2   0.0     4   154    15   182    12   189 0.72 -
104262at50557_88501_0:0010fe|STRG.8069.4:233-883|+     -            217 28600at50557         -            507   0.00024   18.9   0.0   1   1   5.7e-06    0.0004   18.2   0.0     4   154    15   182    12   189 0.72 -
115559at50557_110193_0:002217|STRG.1997.2:166-552|+    -            129 28600at50557         -            507   0.00026   18.8   0.0   1   1   4.3e-06    0.0003   18.6   0.0    49   145    15   121     7   128 0.65 -
104262at50557_88501_0:0010fe|STRG.8069.1:620-1303|+    -            228 28600at50557         -            507   0.00028   18.7   0.0   1   1   6.8e-06   0.00047   18.0   0.0     4   154    26   193    23   200 0.72 -
104262at50557_88501_0:0010fe|STRG.8069.7:620-1303|+    -            228 28600at50557         -            507   0.00028   18.7   0.0   1   1   6.8e-06   0.00047   18.0   0.0     4   154    26   193    23   200 0.72 -
104262at50557_64793_0:001dc9|STRG.8069.2:1504-2211|+   -            236 28600at50557         -            507   0.00031   18.5   0.0   1   1   7.6e-06   0.00052   17.8   0.0     4   154    34   201    31   208 0.72 -
104262at50557_64793_0:001dc9|STRG.8069.5:1504-2211|+   -            236 28600at50557         -            507   0.00031   18.5   0.0   1   1   7.6e-06   0.00052   17.8   0.0     4   154    34   201    31   208 0.72 -
104262at50557_88501_0:0010fe|STRG.8069.6:107-859|+     -            251 28600at50557         -            507   0.00038   18.3   0.0   1   1   9.1e-06   0.00063   17.5   0.0     4   154    49   216    46   223 0.72 -
108755at50557_121225_0:0004e7|STRG.10263.1:764-1255|+  -            164 28600at50557         -            507   0.00044   18.0   0.0   1   1   8.2e-06   0.00057   17.7   0.0     3   147     4   160     2   163 0.66 -
108755at50557_121225_0:0004e7|STRG.10263.2:745-1236|+  -            164 28600at50557         -            507   0.00044   18.0   0.0   1   1   8.2e-06   0.00057   17.7   0.0     3   147     4   160     2   163 0.66 -
105221at50557_121845_0:0034ac|STRG.14839.2:335-973|+   -            175 28600at50557         -            507   0.00066   17.5   0.1   1   1   0.00029      0.02   12.6   0.1    97   147   121   173     5   175 0.69 -
107216at50557_7038_0:002032|STRG.568.5:442-828|+       -            129 28600at50557         -            507   0.00076   17.3   0.0   1   1   1.4e-05   0.00093   17.0   0.0     4    99    18   118    16   127 0.70 -
108271at50557_13249_0:001644|STRG.6204.1:1847-2332|+   -            162 28600at50557         -            507   0.00083   17.1   0.0   1   1   1.3e-05   0.00092   17.0   0.0     4   111     1   116     1   138 0.78 -
108271at50557_13249_0:001644|STRG.6204.2:2106-2591|+   -            162 28600at50557         -            507   0.00083   17.1   0.0   1   1   1.3e-05   0.00092   17.0   0.0     4   111     1   116     1   138 0.78 -
105221at50557_121845_0:0034ac|STRG.14839.1:338-871|+   -            178 28600at50557         -            507    0.0012   16.6   0.2   1   2       0.1       7.1    4.2   0.0     3    37     7    41     4    97 0.86 -
105221at50557_121845_0:0034ac|STRG.14839.1:338-871|+   -            178 28600at50557         -            507    0.0012   16.6   0.2   2   2   0.00078     0.054   11.2   0.4    97   147   124   176    81   178 0.77 -
119324at50557_516756_0:001c87|STRG.3941.1:1775-2137|+  -            121 28600at50557         -            507    0.0014   16.4   1.4   1   2     0.013      0.86    7.2   0.0   278   305    18    45     7    53 0.86 -
119324at50557_516756_0:001c87|STRG.3941.1:1775-2137|+  -            121 28600at50557         -            507    0.0014   16.4   1.4   2   2    0.0042      0.29    8.7   0.2   165   192    54    81    48   107 0.84 -
119324at50557_516756_0:001c87|STRG.3941.3:3211-3573|+  -            121 28600at50557         -            507    0.0014   16.4   1.4   1   2     0.013      0.86    7.2   0.0   278   305    18    45     7    53 0.86 -
119324at50557_516756_0:001c87|STRG.3941.3:3211-3573|+  -            121 28600at50557         -            507    0.0014   16.4   1.4   2   2    0.0042      0.29    8.7   0.2   165   192    54    81    48   107 0.84 -
119324at50557_516756_0:001c87|STRG.3941.4:3164-3526|+  -            121 28600at50557         -            507    0.0014   16.4   1.4   1   2     0.013      0.86    7.2   0.0   278   305    18    45     7    53 0.86 -
119324at50557_516756_0:001c87|STRG.3941.4:3164-3526|+  -            121 28600at50557         -            507    0.0014   16.4   1.4   2   2    0.0042      0.29    8.7   0.2   165   192    54    81    48   107 0.84 -
99773at50557_520822_0:00002c|STRG.2761.1:9-1190|+      -            394 28600at50557         -            507    0.0014   16.3   0.2   1   2       0.1       7.1    4.2   0.0     5    33    37    65    33    96 0.80 -
99773at50557_520822_0:00002c|STRG.2761.1:9-1190|+      -            394 28600at50557         -            507    0.0014   16.3   0.2   2   2    0.0016      0.11   10.2   0.2    75   149   165   244   141   255 0.72 -
107216at50557_28612_0:00371f|STRG.1934.1:1259-1612|+   -            118 28600at50557         -            507    0.0016   16.2   0.0   1   2    0.0093      0.64    7.6   0.0     4    30     3    29     1    33 0.92 -
107216at50557_28612_0:00371f|STRG.1934.1:1259-1612|+   -            118 28600at50557         -            507    0.0016   16.2   0.0   2   2     0.011      0.73    7.4   0.0    71   144    32   116    29   118 0.60 -
129498at50557_1049336_0:003e46|STRG.4646.1:164-700|+   -            179 28600at50557         -            507     0.003   15.3   0.0   1   1   8.2e-05    0.0056   14.4   0.0     4   119    13   135    10   166 0.74 -
104262at50557_29053_0:001062|STRG.16692.3:417-1058|+   -            214 28600at50557         -            507    0.0032   15.2   0.0   1   1     6e-05    0.0041   14.8   0.0     3   145    13   171    11   190 0.72 -
112578at50557_29031_0:0005ec|STRG.4448.2:175-561|+     -            129 28600at50557         -            507    0.0054   14.4   0.1   1   2   0.00014    0.0096   13.6   0.0   277   304     3    30     1    60 0.87 -
112578at50557_29031_0:0005ec|STRG.4448.2:175-561|+     -            129 28600at50557         -            507    0.0054   14.4   0.1   2   2       7.1   4.9e+02   -1.9   0.0   282   301    75    94    66   110 0.78 -
104262at50557_13164_0:00360e|STRG.9955.1:459-971|+     -            171 28600at50557         -            507     0.018   12.8   0.0   1   1   0.00029      0.02   12.6   0.0    63   119    54   117    36   155 0.74 -
